0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13232 33354	5	 * 	291.40	DCR|5VULN|3DUR|1DMG	158DUR|2ERES|38CGEN|45678VULN|58BPWR|9DMG|aRCR
104	15631 13316	5	   	262.19	DCR|2VULN|3DMG|2DUR|2CDMG	1aDUR|2CGEN|3aCDMG|478DMG|5MBVNT|6RCR|9aVULN|aBPWR
105	15631 23844	5	   	262.19	DCR|2VULN|3DMG|2DUR|2CDMG	19DUR|2CGEN|39CDMG|478DMG|5MBVNT|69VULN|9BPWR|aRCR
106	23353 23121	10	   	262.16	DCR|4VULN|1TLV|2LIT|1CDMG|1AART	1AART|2489VULN|38LIT|5CDMG|6TLV|78LWND|8BPWR|aRCR
107	23353 24121	9	   	261.96	DCR|4VULN|1TLV|2LIT|1CDMG|1AART	1AART|247aVULN|38LIT|5CDMG|6TLV|9RCR
108	23353 24125	10	   	261.96	DCR|4VULN|1TLV|2LIT|1CDMG|1AART	1AART|247aVULN|38LIT|5CDMG|6TLV|9RCR
109	23353 24141	8	   	261.96	DCR|4VULN|1TLV|2LIT|1CDMG|1AART	1AART|247aVULN|38LIT|5CDMG|6TLV|9RCR
110	15613 32353	7	 * 	261.75	DCR|3VULN|2DUR|3CDMG|1DMG|1SELL	18DUR|2CGEN|368CDMG|458VULN|7SELL|8BPWR|9DMG|aRCR
111	23353 24322	9	   	261.72	DCR|4VULN|2CDMG|1TLV|1AART	1AART|2478VULN|3LIT|5aCDMG|6TLV|9RCR
112	23353 24342	8	   	261.72	DCR|4VULN|2CDMG|1TLV|1AART	1AART|2478VULN|3LIT|5aCDMG|6TLV|9RCR
113	46413 22112	10	 * 	261.67	DCR|2VULN|3DUR|3LIT|1TLV|1CDMG|1AART	189LIT|2AART|348DUR|5CDMG|6TLV|78VULN|8BPWR|aRCR
114	46413 22123	8	   	261.67	DCR|2VULN|3DUR|3LIT|1TLV|1CDMG|1AART	18aLIT|2AART|348DUR|5CDMG|6TLV|78VULN|8BPWR|9RCR
115	12211 14254	3	   	261.44	DCR|4VULN|2DMG|1DUR	1DUR|2RPLT|3ZMB|467aVULN|59DMG|8RCR
116	31111 14254	1	   	261.44	DCR|4VULN|2DMG|1DUR	1MLV|2RPLT|3DUR|467aVULN|59DMG|8RCR
