0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14234 31431	10	 * 	293.51	DCR|3VULN|2DMG|2DUR|2TLV|2CDMG	19TLV|29DUR|34CDMG|56DMG|79aVULN|8RCR|9BPWR
31	25366 11323	1	 * 	270.30	ACR|4VULN|3DUR|3ASPD|1DMG	158DUR|2RCR|3BBNT|458ASPD|58BPWR|678aVULN|9DMG
32	25312 41321	1	   	270.30	ACR|4VULN|3DUR|3ASPD|1DMG	158DUR|2RCR|3BBNT|4578VULN|58BPWR|689ASPD|aDMG
33	25331 11534	7	   	269.79	DCR|3VULN|3DUR|3LIT|1ASPD|1AART	178DUR|268LIT|368VULN|4AART|5RCVC|68BPWR|9ASPD|aRCR
34	12514 23224	10	 * 	269.44	DCR|4VULN|2DUR|2TLV|1ASPD	15TLV|2ASPD|3689VULN|45DUR|5BPWR|7BEXP|aRCR
35	12514 53322	7	   	268.76	DCR|3VULN|2DUR|2TLV|1CDMG|1ASPD	15TLV|2ASPD|378VULN|45DUR|5BPWR|6LIT|9CDMG|aRCR
36	25312 62322	1	   	268.16	ACR|4VULN|3DUR|2DMG|1ASPD	158DUR|2RCR|3BBNT|4568VULN|58BPWR|78DMG|9ASPD|aZMB
37	25312 62323	1	   	268.16	ACR|4VULN|3DUR|2DMG|1ASPD	158DUR|2RCR|3BBNT|4568VULN|58BPWR|78DMG|9ASPD|aBELT
38	25312 62324	1	   	268.16	ACR|4VULN|3DUR|2DMG|1ASPD	158DUR|2RCR|3BBNT|4568VULN|58BPWR|78DMG|9ASPD|aCGEN
39	25312 62326	1	   	268.16	ACR|4VULN|3DUR|2DMG|1ASPD	158DUR|2RCR|3BBNT|4568VULN|58BPWR|78DMG|9ASPD|aMLV
40	25312 62315	1	   	268.06	ACR|4VULN|3DUR|2DMG|1ASPD	158DUR|2RCR|3BBNT|4568VULN|58BPWR|78DMG|9ERES|aASPD
41	25312 62361	1	   	268.06	ACR|4VULN|3DUR|2DMG|1ASPD	158DUR|2RCR|3BBNT|4568VULN|58BPWR|78DMG|9TBNT|aASPD
42	25312 62351	1	   	267.92	ACR|4VULN|3DUR|2DMG|1ASPD|1SELL	158DUR|2RCR|3BBNT|4568VULN|58BPWR|78DMG|9SELL|aASPD
43	12532 55333	3	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	17TLV|2ASPD|379VULN|4LHND|5DMG|67DUR|7BPWR|8LWND|aRCR
44	23223 25443	1	   	266.91	DCR|3VULN|3DUR|2DMG	15aDUR|2LWND|3aBEXP|45DMG|5aBPWR|6ZMB|78aVULN|9RCR
45	23223 25443	2	   	266.91	DCR|3VULN|3DUR|2DMG	15aDUR|2LWND|3aBEXP|45DMG|5aBPWR|6ZMB|78aVULN|9RCR
46	21132 62343	3	   	266.81	DCR|3VULN|3DUR|2DMG	18aDUR|2FEWX|35aVULN|4LWND|6ZMB|7aDMG|9RCR|aBPWR
47	21162 62343	4	   	266.81	DCR|3VULN|3DUR|2DMG	18aDUR|2FEWX|35aVULN|4LWND|6ZMB|7aDMG|9RCR|aBPWR
48	21432 62343	2	   	266.81	DCR|3VULN|3DUR|2DMG	18aDUR|2FEWX|35aVULN|4LWND|6ZMB|7aDMG|9RCR|aBPWR
49	23121 62343	4	   	266.81	DCR|3VULN|3DUR|2DMG	18aDUR|2LWND|34aVULN|5BEXP|6ZMB|7aDMG|9RCR|aBPWR
50	21153 24711	6	   	266.71	DCR|3VULN|3DUR|2DMG	167DUR|2FEWX|378VULN|47DMG|5MBVNT|7BPWR|9RCVC|aRCR
51	21153 24761	6	   	266.71	DCR|3VULN|3DUR|2DMG	167DUR|29FEWX|378VULN|47DMG|5MBVNT|7BPWR|aRCR
52	21153 26223	9	   	266.71	DCR|3VULN|3DUR|2DMG	16aDUR|2FEWX|39aVULN|4aDMG|5MBVNT|7RCR|8RPLT|aBPWR
53	21153 26843	8	   	266.71	DCR|3VULN|3DUR|2DMG	16aDUR|2FEWX|38aVULN|4aDMG|5MBVNT|7RCR|9RPLT|aBPWR
54	12311 24552	10	 * 	266.63	DCR|3VULN|3ASPD|2DUR|2TLV	18TLV|258ASPD|3LWND|47DUR|689VULN|8BPWR|aRCR
55	23115 21845	10	   	266.61	DCR|3VULN|3DUR|2DMG	16aDUR|2LWND|38aVULN|4LEGI|5aDMG|7MBVNT|9RCR|aBPWR
56	14234 31431	9	   	266.60	DCR|2VULN|2DMG|2DUR|2TLV|2CDMG	19TLV|29DUR|34CDMG|56DMG|79VULN|8RCR|9BPWR|aLHND
57	14234 31432	10	   	266.60	DCR|2VULN|2DMG|2DUR|2TLV|2CDMG	19TLV|29DUR|34CDMG|56DMG|79VULN|8RCR|9BPWR|aFEWX
58	14234 31433	10	   	266.60	DCR|2VULN|2DMG|2DUR|2TLV|2CDMG	19TLV|29DUR|34CDMG|56DMG|79VULN|8RCR|9BPWR|aDMSP
59	21353 22525	1	 * 	266.56	DCR|2VULN|3DMG|3DUR|1ASPD	148DUR|2ASPD|38CGEN|568DMG|7RCR|8BPWR|9aVULN
60	25363 12532	5	 * 	266.56	DCR|4VULN|3DUR|2LIT	168DUR|28LIT|348aVULN|5DLOT|7RCVC|8BPWR|9RCR
61	14234 31433	9	   	266.50	DCR|2VULN|2DMG|2DUR|2TLV|2CDMG	19TLV|29DUR|34CDMG|56DMG|79VULN|8RCR|9BPWR|aERES
62	25312 41324	1	   	266.49	ACR|4VULN|3DUR|3ASPD|1TLV	158DUR|2RCR|3BBNT|4578VULN|58BPWR|689ASPD|aTLV
63	14234 31432	9	   	266.36	DCR|2VULN|2DMG|2DUR|2TLV|2CDMG|1SELL	19TLV|29DUR|34CDMG|56DMG|79VULN|8RCR|9BPWR|aSELL
64	23154 23136	3	   	265.81	DCR|2VULN|3DUR|2DMG|1TLV|1AART	19aDUR|2LWND|3aVULN|4AART|5CGEN|6TLV|7aDMG|8RCR|aBPWR
65	24111 61363	1	   	265.73	DCR|4VULN|2DUR|1TLV|1ASPD	14DUR|25RPLT|3468VULN|4BPWR|7RCR|9ASPD|aTLV
66	24112 61363	1	   	265.73	DCR|4VULN|2DUR|1TLV|1ASPD	14DUR|2RPLT|3468VULN|4BPWR|5RCVC|7RCR|9ASPD|aTLV
67	16514 12213	9	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1NUKE	1TLV|2NUKE|35aVULN|45DUR|5BPWR|6CDMG|7DMG|8LHND|9RCR
68	12512 61412	5	   	265.63	DCR|4VULN|2DUR|1TLV|1ASPD	1TLV|2ASPD|378aVULN|49DUR|5LWND|6RCR
69	12513 61412	5	   	265.63	DCR|4VULN|2DUR|1TLV|1ASPD	1TLV|2ASPD|378aVULN|49DUR|5LHND|6RCR
70	25312 62311	1	   	265.36	ACR|4VULN|3DUR|2DMG	158DUR|2RCR|3BBNT|4568VULN|58BPWR|78DMG|9ERES|aLIT
71	11422 46222	6	   	264.77	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1ASPD|1SELL	19TLV|2SELL|3CDMG|49DMG|5LIT|6ASPD|79VULN|8RCR|9BPWR|aDUR
72	11426 26222	5	   	264.77	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1ASPD|1SELL	19TLV|2SELL|3CDMG|49DMG|5ASPD|6LIT|79VULN|8RCR|9BPWR|aDUR
73	23161 62143	5	   	264.59	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUR|24LWND|36aVULN|5ASPD|7FEWX|8aDMG|9RCR|aBPWR
74	23163 62143	3	   	264.59	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUR|25LWND|36aVULN|4ASPD|7FEWX|8aDMG|9RCR|aBPWR
