0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41325 11213	6	 * 	279.53	DCR|4VULN|3DMG|2DUR	179FEWX|2RMIN|3aDUR|467aVULN|57aDMG|7aBPWR|8RCR
22	15213 25241	1	 * 	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1MLV|279aVULN|3DMG|4TLV|5ERES|6DUR|8RCR
23	15213 25241	2	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1MLV|279aVULN|3DMG|4TLV|5ERES|6DUR|8RCR
24	35213 25241	2	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1CGEN|279aVULN|3DMG|4TLV|5ERES|6DUR|8RCR
25	35213 25241	1	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1CGEN|279aVULN|3DMG|4TLV|5ERES|6DUR|8RCR
26	41322 21245	6	   	256.27	DCR|3VULN|2DMG|2DUR|1CDMG	17FEWX|2RMIN|35DUR|479VULN|67DMG|7BPWR|8RCR|aCDMG
27	15423 23531	7	   	255.86	DCR|4VULN|3DUR	17MLV|2467VULN|357DUR|7BPWR|8ASPD|9LIT|aRCR
28	35122 22235	6	   	255.85	DCR|3VULN|3DUR|2DMG	17CGEN|27aVULN|3BEXP|459DUR|67DMG|7BPWR|8RCR
29	45213 31243	2	 * 	253.54	DCR|3VULN|3DMG|1TLV	1aFEWX|2CGEN|36aDMG|4TLV|5ERES|79aVULN|8RCR|aBPWR
30	15213 31166	2	   	253.44	DCR|3VULN|3DMG|1TLV	19MLV|279VULN|36aDMG|4TLV|59ERES|8RCR|9BPWR
31	15213 31166	1	   	253.44	DCR|3VULN|3DMG|1TLV	19MLV|279VULN|36aDMG|4TLV|59ERES|8RCR|9BPWR
32	15423 23323	10	   	252.90	DCR|4VULN|3DUR|1CDMG	17MLV|2467VULN|357DUR|7BPWR|8CGEN|9RCR|aCDMG
33	15223 41161	2	   	252.80	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	149MLV|269VULN|3DMG|5TLV|79ASPD|8RCR|9BPWR|aDUR
34	15223 41161	1	   	252.80	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	149MLV|269VULN|3DMG|5TLV|79ASPD|8RCR|9BPWR|aDUR
35	35413 23151	8	 * 	252.71	DCR|3VULN|3DUR|1TLV	147CGEN|267VULN|357DUR|7BPWR|8TLV|9LIT|aRCR
36	15224 22611	5	 * 	252.22	DCR|4VULN|2DUR|1TLV	17MLV|247aVULN|39FEWX|5TLV|67DUR|7BPWR|8RCR
37	15314 22241	5	   	252.22	DCR|4VULN|2DUR|1TLV	17MLV|279aVULN|3RMIN|4ZMB|5TLV|67DUR|7BPWR|8RCR
38	35314 22241	5	   	252.22	DCR|4VULN|2DUR|1TLV	17CGEN|279aVULN|3RMIN|4ZMB|5TLV|67DUR|7BPWR|8RCR
39	15423 21315	7	   	252.02	DCR|4VULN|2DUR|1TLV	1MLV|2469VULN|35DUR|7TLV|8RCVC|aRCR
40	15423 21325	9	   	252.02	DCR|4VULN|2DUR|1TLV	1MLV|2468VULN|35DUR|7TLV|9LHND|aRCR
41	15423 21335	8	   	252.02	DCR|4VULN|2DUR|1TLV	1MLV|2468VULN|35DUR|7TLV|9RCVC|aRCR
42	35413 21315	8	   	252.02	DCR|4VULN|2DUR|1TLV	14CGEN|2689VULN|35DUR|7TLV|aRCR
43	12255 22342	1	   	251.20	DCR|3VULN|2DMG|1DUR|2LIT	17MLV|2DUR|37DMG|4ASPD|58LIT|679VULN|7BPWR|aRCR
44	41125 11241	6	   	251.18	DCR|5VULN|2DMG	17FEWX|2RMIN|3BEXP|4679aVULN|57DMG|7BPWR|8RCR
45	15423 31161	5	 * 	251.04	DCR|3VULN|2DUR|1TLV|1DMG	19MLV|247VULN|35DUR|6DMG|8RCR|aTLV
46	12213 21241	1	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1MLV|26DUR|3DMG|4TLV|5ERES|79aVULN|8RCR
47	15213 25231	1	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1MLV|27aVULN|3DMG|4TLV|5ERES|69DUR|8RCR
48	15213 25231	2	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1MLV|27aVULN|3DMG|4TLV|5ERES|69DUR|8RCR
49	32213 21241	1	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1CGEN|26DUR|3DMG|4TLV|5ERES|79aVULN|8RCR
50	32433 31241	1	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1CGEN|24DUR|3ERES|5TLV|6DMG|79aVULN|8RCR
51	35213 25231	2	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1CGEN|27aVULN|3DMG|4TLV|5ERES|69DUR|8RCR
52	35213 25231	1	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1CGEN|27aVULN|3DMG|4TLV|5ERES|69DUR|8RCR
53	15253 22241	2	   	250.83	DCR|3VULN|2DMG|2DUR	17MLV|29aVULN|37DMG|4ASPD|5ERES|67DUR|7BPWR|8RCR
54	15253 22241	1	   	250.83	DCR|3VULN|2DMG|2DUR	17MLV|29aVULN|37DMG|4ASPD|5ERES|67DUR|7BPWR|8RCR
55	35253 22241	2	   	250.83	DCR|3VULN|2DMG|2DUR	17CGEN|29aVULN|37DMG|4ASPD|5ERES|67DUR|7BPWR|8RCR
56	35253 22241	1	   	250.83	DCR|3VULN|2DMG|2DUR	17CGEN|29aVULN|37DMG|4ASPD|5ERES|67DUR|7BPWR|8RCR
57	12225 12241	7	   	249.64	DCR|5VULN|1DMG|1DUR	1MLV|2BEXP|3DUR|4679aVULN|5DMG|8RCR
58	12225 15241	6	   	249.64	DCR|5VULN|1DMG|1DUR	1MLV|2BEXP|3DUR|4679aVULN|5DMG|8RCR
59	13425 12241	7	   	249.64	DCR|5VULN|1DMG|1DUR	1MLV|2LWND|3DUR|4679aVULN|5DMG|8RCR
60	15123 22241	7	   	249.64	DCR|5VULN|1DMG|1DUR	1MLV|2479aVULN|3BEXP|5DUR|6DMG|8RCR
61	15123 25241	6	   	249.64	DCR|5VULN|1DMG|1DUR	1MLV|2479aVULN|3BEXP|5DUR|6DMG|8RCR
62	15223 25241	6	   	249.64	DCR|5VULN|1DMG|1DUR	1MLV|2479aVULN|3FEWX|5DUR|6DMG|8RCR
63	42412 36211	10	 * 	249.53	DCR|2VULN|3DUR|1TLV|1DMG|1AART	18FEWX|25BEXP|3AART|458DUR|58BPWR|68VULN|7RCR|9TLV|aDMG
