0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13333 54343	6	 * 	301.02	DCR|5VULN|3DMG|2TLV	147DMG|2LEGI|34679VULN|47BPWR|57TLV|8ERES|aRCR
32	12412 63226	5	   	279.75	DCR|2VULN|3DMG|2DUR|1TLV|2CDMG	127DMG|37CDMG|4aDUR|5FEWX|67VULN|7BPWR|8RCR|9TLV
33	12433 63226	3	   	279.75	DCR|2VULN|3DMG|2DUR|1TLV|2CDMG	127DMG|37CDMG|4LWND|5aDUR|67VULN|7BPWR|8RCR|9TLV
34	12413 53226	6	   	279.65	DCR|2VULN|3DMG|2DUR|1TLV|2CDMG	127DMG|37CDMG|4aDUR|5DUST|67VULN|7BPWR|8RCR|9TLV
35	13333 15132	9	   	278.00	DCR|3VULN|3DMG|1TLV|1DUR	147DMG|2LEGI|348VULN|4BPWR|5TLV|6LIT|9RCR|aDUR
36	13333 46114	6	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	148DMG|2LEGI|348VULN|48BPWR|58TLV|6BELT|7RCR|9CGEN|aDUR
37	13333 46121	6	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	148DMG|2LEGI|348VULN|48BPWR|58TLV|6BELT|7RCR|9DUR|aFEWX
38	13333 46123	6	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	148DMG|2LEGI|348VULN|48BPWR|58TLV|6BELT|7RCR|9DUR|aLHND
39	13333 46126	6	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	148DMG|2LEGI|348VULN|48BPWR|58TLV|6aBELT|7RCR|9DUR
40	13333 46124	6	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	148DMG|2LEGI|348VULN|48BPWR|58TLV|6BELT|7RCR|9DUR|aDUST
41	23152 14332	1	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	129VULN|3CGEN|479DMG|59TLV|6BBNT|8RCR|9BPWR|aDUR
42	13333 14425	5	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	147DMG|2LEGI|347VULN|47BPWR|57TLV|6DMSP|8BBNT|9RCR|aDUR
43	23423 12612	1	   	277.80	DCR|3VULN|3DUR|2DMG|1CDMG	12aVULN|3CDMG|47aDUR|5LIT|6BEXP|8RCR|9aDMG|aBPWR
44	23423 52612	1	   	277.80	DCR|3VULN|3DUR|2DMG|1CDMG	12aVULN|3CDMG|47aDUR|5LIT|6FEWX|8RCR|9aDMG|aBPWR
45	26423 12612	1	   	277.80	DCR|3VULN|3DUR|2DMG|1CDMG	13aVULN|2CDMG|47aDUR|5LIT|6BEXP|8RCR|9aDMG|aBPWR
46	12332 11525	1	   	277.26	DCR|4VULN|2DMG|2CDMG|1DUR	18DMG|2DUR|38CDMG|4578VULN|6BBNT|8BPWR|9ASPD|aRCR
47	12332 62525	1	   	277.26	DCR|4VULN|2DMG|2CDMG|1DUR	18DMG|2DUR|38CDMG|4568VULN|7TBNT|8BPWR|9ASPD|aRCR
48	13343 34422	9	   	277.26	DCR|4VULN|2DMG|2CDMG|1DUR	1aDMG|2LEGI|367aVULN|4LIT|5DUR|8RCR|9aCDMG|aBPWR
49	23112 53515	9	   	277.05	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	178VULN|28DUR|3BELT|4AART|58ASPD|6RCR|8BPWR|9TLV|aDMG
50	22626 22311	1	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	137VULN|2TLV|47DUR|57DMG|6DLOT|7BPWR|8RPLT|9LIT|aRCR
51	23233 42542	8	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	189VULN|23DUR|48DMG|58TLV|6BELT|7RPLT|8BPWR|aRCR
52	23233 46115	6	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	18aVULN|23DUR|48DMG|58TLV|6BELT|7RCR|8BPWR|9BBNT
53	13332 14422	9	   	276.66	DCR|4VULN|3DMG|2CDMG	14aDMG|2LEGI|347aVULN|4aBPWR|5DUST|6LIT|8RCR|9aCDMG
54	22652 31322	1	   	276.58	DCR|4VULN|2DMG|2TLV	136aVULN|2aTLV|4aDMG|5TBNT|7BBNT|8RCR|9AART|aBPWR
55	13333 13121	10	   	276.58	DCR|3VULN|3DMG|2TLV|2LIT	148DMG|2LEGI|34aVULN|48BPWR|58TLV|68LIT|7RPLT|9RCR
56	12213 43452	1	   	276.55	DCR|4VULN|3DUR|2DMG|1SELL	17DMG|258DUR|357aVULN|4SELL|57BPWR|67DUST|9RCR
57	12213 43652	1	   	276.55	DCR|4VULN|3DUR|2DMG|1SELL	17DMG|259DUR|357aVULN|4SELL|57BPWR|67DUST|8RCR
58	13331 32442	8	   	276.49	DCR|5VULN|3DMG	149DMG|2LEGI|3489aVULN|49BPWR|59FEWX|6AART|7RCR
59	13332 32442	8	   	276.29	DCR|5VULN|3DMG	149DMG|2LEGI|3489aVULN|49BPWR|59DUST|6AART|7RCR
60	13333 16432	8	   	276.17	DCR|2VULN|3DMG|2TLV|2DUR	14aDMG|2LEGI|34VULN|4aBPWR|5aTLV|6LIT|7ZMB|8RCR|9aDUR
61	23233 44225	5	   	276.17	DCR|2VULN|3DMG|2TLV|2DUR	17VULN|23DUR|467DMG|57TLV|7BPWR|8LHND|9RCR|aLIT
62	23236 24225	4	   	276.17	DCR|2VULN|3DMG|2TLV|2DUR	17VULN|23DUR|457DMG|67TLV|7BPWR|8LHND|9RCR|aLIT
63	23233 44422	5	   	276.07	DCR|2VULN|3DMG|2TLV|2DUR	17VULN|23DUR|467DMG|57TLV|7BPWR|8BBNT|9RCR|aLIT
64	23236 24422	4	   	276.07	DCR|2VULN|3DMG|2TLV|2DUR	17VULN|23DUR|457DMG|67TLV|7BPWR|8BBNT|9RCR|aLIT
65	12333 61215	1	   	275.77	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	15DMG|2DUR|3CDMG|456VULN|5BPWR|78TLV|9ERES|aRCR
66	26336 31523	1	   	275.71	DCR|3VULN|3DUR|2DMG|2CDMG	178VULN|2aCDMG|3BBNT|458DUR|68DMG|8BPWR|9RCR
67	13333 22636	5	   	275.27	DCR|3VULN|3DMG|2TLV|1CDMG	147DMG|2LEGI|347VULN|47BPWR|57TLV|6DLOT|8RPLT|9CDMG|aRCR
68	22622 51532	1	 * 	275.26	DCR|4VULN|2TLV|2DUR|2LIT	137aVULN|27TLV|4aDUR|5DUST|67LIT|7aBPWR|8aLWND|9RCR
69	13333 56511	10	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	14DMG|2LEGI|3468VULN|4BPWR|5TLV|7DUR|9LHND|aRCR
70	13333 56531	10	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	14DMG|2LEGI|3468VULN|4BPWR|5TLV|7DUR|9BEXP|aRCR
71	13313 63662	2	 * 	274.54	DCR|2VULN|3DMG|2DUR|3CDMG|2LIT	17aDMG|2LEGI|34aCDMG|57DUR|67VULN|7aBPWR|8RCR|9aLIT
72	12333 54225	1	   	273.83	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD|1CDMG	15DMG|27DUR|3CDMG|45VULN|5BPWR|69ASPD|8TLV|aRCR
73	12412 53223	6	   	273.47	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	127DMG|37CDMG|4DUR|5FEWX|67VULN|7BPWR|8RCR|9TLV|aLIT
74	12412 63223	5	   	273.47	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	127DMG|37CDMG|4DUR|5FEWX|67VULN|7BPWR|8RCR|9TLV|aLIT
75	12443 63223	3	   	273.47	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	127DMG|37CDMG|4FEWX|5DUR|67VULN|7BPWR|8RCR|9TLV|aLIT
76	12333 43221	1	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	157DMG|27DUR|3CDMG|45VULN|57BPWR|67DUST|8RCR|9TLV|aFEWX
77	12333 43222	1	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	157DMG|27DUR|3CDMG|45VULN|57BPWR|67DUST|8RCR|9TLV|aBEXP
78	12333 43223	1	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	157DMG|27DUR|3CDMG|45VULN|57BPWR|67DUST|8RCR|9TLV|aLHND
79	12333 43224	1	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	157DMG|27DUR|3CDMG|45VULN|57BPWR|67DUST|8RCR|9TLV|aLWND
80	12333 43225	1	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	157DMG|27DUR|3CDMG|45VULN|57BPWR|67DUST|8RCR|9TLV|aCGEN
81	12414 63221	4	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	127DMG|3CDMG|47DUR|5LEGI|67VULN|7BPWR|8RCR|9TLV|aFEWX
82	12414 63222	4	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	127DMG|3CDMG|47DUR|5LEGI|67VULN|7BPWR|8RCR|9TLV|aBEXP
83	12414 63223	4	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	127DMG|3CDMG|47DUR|5LEGI|67VULN|7BPWR|8RCR|9TLV|aLHND
84	13613 63226	4	   	272.67	DCR|2VULN|3DMG|3DUR|1TLV|1SELL	147DMG|2LEGI|3SELL|47BPWR|57aDUR|67VULN|8RCR|9TLV
85	12433 51343	10	   	272.39	DCR|4VULN|2DMG|1TLV|1CDMG	12DMG|3CDMG|467aVULN|5DUST|8RCR|9TLV
86	12212 11525	1	   	271.63	DCR|4VULN|2DMG|2DUR|1SELL	18DMG|28DUR|3578VULN|4SELL|6BBNT|8BPWR|9ASPD|aRCR
87	12212 62525	1	   	271.63	DCR|4VULN|2DMG|2DUR|1SELL	18DMG|28DUR|3568VULN|4SELL|7TBNT|8BPWR|9ASPD|aRCR
88	12213 43643	1	   	271.63	DCR|4VULN|2DMG|2DUR|1SELL	17DMG|25DUR|3579VULN|4SELL|57BPWR|67DUST|8RCR|aLIT
89	21231 44333	1	   	271.40	DCR|3VULN|3DMG|3DUR	169VULN|279DMG|3BBNT|459DUR|8RCR|9BPWR|aBEXP
90	21231 44334	1	   	271.40	DCR|3VULN|3DMG|3DUR	169VULN|279DMG|3BBNT|459DUR|8RCR|9BPWR|aFEWX
91	23234 44333	4	   	271.40	DCR|3VULN|3DMG|3DUR	169VULN|239DUR|479DMG|5BBNT|8RCR|9BPWR|aBEXP
92	23623 14331	3	   	271.40	DCR|3VULN|3DMG|3DUR	19aVULN|249DUR|3RCVC|579DMG|6BBNT|8RCR|9BPWR
93	23623 14333	1	   	271.40	DCR|3VULN|3DMG|3DUR	129VULN|349DUR|579DMG|6BBNT|8RCR|9BPWR|aBEXP
94	23623 14334	1	   	271.40	DCR|3VULN|3DMG|3DUR	129VULN|349DUR|579DMG|6BBNT|8RCR|9BPWR|aFEWX
95	26623 14331	2	   	271.40	DCR|3VULN|3DMG|3DUR	19aVULN|2RCVC|349DUR|579DMG|6BBNT|8RCR|9BPWR
96	21231 44332	1	   	271.30	DCR|3VULN|3DMG|3DUR	169VULN|279DMG|3BBNT|459DUR|8RCR|9BPWR|aTBNT
97	23234 44332	4	   	271.30	DCR|3VULN|3DMG|3DUR	169VULN|239DUR|479DMG|5BBNT|8RCR|9BPWR|aTBNT
98	23623 14332	1	   	271.30	DCR|3VULN|3DMG|3DUR	129VULN|349DUR|579DMG|6BBNT|8RCR|9BPWR|aTBNT
