0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26625 11333	10	 * 	308.99	DCR|5VULN|3DUR|2DMG	169DUR|2BEXP|39DMG|4589aVULN|7RCR|9BPWR
29	22153 23642	5	   	286.01	DCR|4VULN|3DUR|1CDMG|1ASPD	137DUR|236aVULN|3BPWR|4CDMG|5AART|8RCR|9ASPD
30	22152 22345	10	   	284.64	DCR|4VULN|2DUR|3CDMG|1DMG	13DUR|235aVULN|35BPWR|457CDMG|6LWND|8DMG|9RCR
31	22515 53212	7	   	282.66	DCR|3VULN|3DMG|3DUR	179DUR|279VULN|3RPLT|4BEXP|5LHND|679DMG|79BPWR|8RCR|aFEWX
32	22143 21531	9	   	282.56	DCR|3VULN|3DMG|3DUR	139DUR|23aVULN|39BPWR|489DMG|5RCVC|69FEWX|7RCR
33	22143 21533	10	   	282.56	DCR|3VULN|3DMG|3DUR	139DUR|23aVULN|39BPWR|489DMG|5RCVC|69FEWX|7RCR
34	22143 31531	9	   	282.56	DCR|3VULN|3DMG|3DUR	139DUR|23aVULN|39BPWR|489DMG|5RCVC|69BEXP|7RCR
35	22143 51531	9	   	282.56	DCR|3VULN|3DMG|3DUR	139DUR|23aVULN|39BPWR|489DMG|5RCVC|69LHND|7RCR
36	22515 53211	7	   	282.56	DCR|3VULN|3DMG|3DUR	179DUR|279VULN|3RPLT|4BEXP|5LHND|679DMG|79BPWR|8RCR|aERES
37	22515 53213	7	   	282.56	DCR|3VULN|3DMG|3DUR	179DUR|279VULN|3RPLT|4BEXP|5LHND|679DMG|79BPWR|8RCR|aTBNT
38	32313 53641	10	   	282.56	DCR|3VULN|3DMG|3DUR	1RPLT|2LEGI|379VULN|4BEXP|579DUR|679DMG|79BPWR|8RMIN|aRCR
39	32313 53212	7	   	282.56	DCR|3VULN|3DMG|3DUR	1RPLT|2LEGI|379VULN|4BEXP|579DUR|679DMG|79BPWR|8RCR|aFEWX
40	32313 53216	7	   	282.56	DCR|3VULN|3DMG|3DUR	1RPLT|2LEGI|379VULN|4aBEXP|579DUR|679DMG|79BPWR|8RCR
41	26623 11531	9	   	282.46	DCR|3VULN|3DMG|3DUR	169DUR|25BEXP|389DMG|49aVULN|7RCR|9BPWR
42	32313 53211	7	   	282.46	DCR|3VULN|3DMG|3DUR	1RPLT|2LEGI|379VULN|4BEXP|579DUR|679DMG|79BPWR|8RCR|aERES
43	32313 53213	7	   	282.46	DCR|3VULN|3DMG|3DUR	1RPLT|2LEGI|379VULN|4BEXP|579DUR|679DMG|79BPWR|8RCR|aTBNT
44	32313 53214	7	   	282.46	DCR|3VULN|3DMG|3DUR	1RPLT|2LEGI|379VULN|4BEXP|579DUR|679DMG|79BPWR|8RCR|aDUST
45	22152 65213	6	   	282.42	DCR|3VULN|3DUR|3CDMG|1TLV|1ASPD	136DUR|235VULN|35BPWR|458CDMG|7TLV|9ASPD|aRCR
46	22152 42131	5	   	281.85	DCR|3VULN|2DMG|2DUR|2CDMG	13DUR|235VULN|35BPWR|45CDMG|6LIT|78DMG|9RMIN|aRCR
47	22152 63131	5	   	281.85	DCR|3VULN|2DMG|2DUR|2CDMG	13DUR|235VULN|35BPWR|45CDMG|68DMG|7LIT|9RMIN|aRCR
48	22156 42131	4	   	281.85	DCR|3VULN|2DMG|2DUR|2CDMG	13DUR|235VULN|35BPWR|45CDMG|6LIT|78DMG|9RMIN|aRCR
49	22156 63131	4	   	281.85	DCR|3VULN|2DMG|2DUR|2CDMG	13DUR|235VULN|35BPWR|45CDMG|68DMG|7LIT|9RMIN|aRCR
50	22154 11313	5	   	281.60	DCR|4VULN|3DUR|1TLV|1CDMG	138DUR|2357VULN|3BPWR|4CDMG|6RCVC|9TLV|aRCR
51	22154 21313	5	   	281.60	DCR|4VULN|3DUR|1TLV|1CDMG	138DUR|2357VULN|3BPWR|4CDMG|6DMSP|9TLV|aRCR
52	22153 24236	4	   	281.09	DCR|4VULN|2DUR|1CDMG|1ASPD	13DUR|2367VULN|3BPWR|4CDMG|5AART|8LIT|9RCR|aASPD
53	22153 24236	5	   	281.09	DCR|4VULN|2DUR|1CDMG|1ASPD	13DUR|2367VULN|3BPWR|4CDMG|5AART|8LIT|9RCR|aASPD
54	22152 22341	9	   	279.59	DCR|3VULN|2DMG|2DUR|3CDMG	13DUR|235VULN|35BPWR|457CDMG|6LWND|8aDMG|9RCR
