0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65312 26312	8	 * 	285.29	DCR|3VULN|3DMG|2DUR|1TLV	127DMG|28BPWR|368VULN|48DUR|5MBVNT|9TLV|aRCR
17	65332 53222	4	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	124DMG|2BPWR|356VULN|7DUR|8LWND|9RCR|aTLV
18	63623 41234	9	 * 	270.41	DCR|4VULN|3DMG|1AART	189DMG|2MBVNT|368aVULN|468ERES|5AART|68BPWR|7RCR
19	63623 41234	10	   	270.41	DCR|4VULN|3DMG|1AART	189DMG|2MBVNT|368aVULN|468ERES|5AART|68BPWR|7RCR
20	61453 34242	2	   	269.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	13DMG|23LIT|3BPWR|4TLV|5MBVNT|69aVULN|7RCR|8DUR
21	61453 34242	1	   	269.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	13DMG|23LIT|3BPWR|4TLV|5MBVNT|69aVULN|7RCR|8DUR
22	63373 12162	10	 * 	269.77	DCR|3VULN|2DMG|2ASPD|1TLV|1AART	18DMG|2MBVNT|3CGEN|489VULN|5AART|68ASPD|7RCR|8BPWR|aTLV
23	63328 23428	9	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|2MBVNT|3CGEN|48DUR|5RMIN|678VULN|8BPWR|9TLV|aRCR
24	63373 12161	10	 * 	269.18	DCR|3VULN|3DMG|2ASPD|1AART	18aDMG|2MBVNT|3CGEN|489VULN|5AART|68ASPD|7RCR|8BPWR
25	63373 12164	9	   	269.18	DCR|3VULN|3DMG|2ASPD|1AART	18aDMG|2MBVNT|3CGEN|489VULN|5AART|68ASPD|7RCR|8BPWR
26	65312 51311	7	 * 	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	127DMG|27BPWR|37VULN|478DUR|5MBVNT|6RPLT|9CDMG|aRCR
27	63312 81148	2	   	269.04	DCR|3VULN|3DMG|2DUR	19aDMG|2MBVNT|3LEGI|45aVULN|6RCR|7aDUR|8RPLT|aBPWR
28	65312 26322	8	   	269.04	DCR|3VULN|3DMG|2DUR	127DMG|28BPWR|368VULN|48DUR|5MBVNT|9RMIN|aRCR
29	65312 26312	9	   	268.94	DCR|3VULN|3DMG|2DUR	127DMG|28BPWR|368VULN|48DUR|5MBVNT|9ERES|aRCR
30	65332 53321	4	   	268.94	DCR|3VULN|3DMG|2DUR	124DMG|2BPWR|356VULN|7aDUR|8ERES|9RCR
31	62131 43433	1	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	1aDMG|23aVULN|45LIT|6LWND|7TBNT|8RCR|9aDUR|aBPWR
32	62131 52433	1	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	1aDMG|23aVULN|45LIT|6TBNT|7LWND|8RCR|9aDUR|aBPWR
33	65312 74144	8	   	268.14	DCR|2VULN|3DMG|2DUR|1TLV|1AART	128DMG|28BPWR|38VULN|48DUR|5MBVNT|6RMIN|7AART|9TLV|aRCR
34	65311 53331	10	   	268.10	DCR|3VULN|3DMG|1DUR|1CDMG	12aDMG|2BPWR|379VULN|4DUR|5LWND|6RCR|8CDMG
35	22232 31664	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	17LWND|2aDUR|378VULN|4BEXP|5CDMG|67DMG|7BPWR|9RCR
36	13226 51341	2	   	267.17	DCR|3VULN|2DMG|2TLV|1CDMG|1ASPD	1aTLV|2CDMG|3aDUST|456VULN|7ASPD|8aDMG|9RCR|aBPWR
37	63121 32366	1	   	267.09	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1AART	1DMG|2DUR|39aVULN|4TLV|5AART|68CDMG|7RCR
38	21452 21332	1	 * 	266.61	DCR|3VULN|3DUR|2DMG	1LWND|256VULN|369DUR|4BBNT|6BPWR|78DMG|aRCR
39	22252 21332	3	   	266.61	DCR|3VULN|3DUR|2DMG	1LWND|269DUR|356VULN|4BBNT|6BPWR|78DMG|aRCR
40	22252 21332	2	   	266.61	DCR|3VULN|3DUR|2DMG	1LWND|269DUR|356VULN|4BBNT|6BPWR|78DMG|aRCR
41	41452 21332	1	   	266.61	DCR|3VULN|3DUR|2DMG	1BEXP|256VULN|369DUR|4BBNT|6BPWR|78DMG|aRCR
42	62411 31513	1	   	266.27	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1AART	18DMG|28VULN|3TLV|4DUR|5AART|68CDMG|7RPLT|8BPWR|9LIT|aRCR
43	63231 33535	1	   	266.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	18DMG|28DUR|3RMIN|4TLV|5BEXP|6AART|78VULN|8BPWR|9CDMG|aRCR
44	65311 53123	10	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	12DMG|2BPWR|378VULN|4DUR|5LWND|6RCR|9TLV|aASPD
45	63313 41611	1	 * 	265.58	DCR|2VULN|3DMG|2TLV|1DUR|1AART	178DMG|2DUR|3LEGI|48VULN|5AART|68TLV|8BPWR|9RCR|aLIT
46	62343 21613	1	   	265.54	DCR|2VULN|3DMG|2DUR|1CDMG|1AART	178DMG|28VULN|3LWND|4AART|5ERES|68DUR|8BPWR|9RCR|aCDMG
47	63372 42351	6	   	265.25	DCR|4VULN|2DMG|2CDMG	1aDMG|2MBVNT|3CGEN|457aVULN|6aCDMG|8RMIN|9RCR|aBPWR
48	63113 81643	2	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	1DMG|2MBVNT|34aVULN|578DUR|6RCR|9TLV
49	63328 23448	8	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	18DMG|2MBVNT|3CGEN|48DUR|5RMIN|678VULN|8BPWR|9ASPD|aRCR
50	63121 32166	1	   	264.49	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1AART	1DMG|2DUR|39aVULN|48TLV|5AART|6CDMG|7RCR
51	63113 82154	2	   	264.29	DCR|3VULN|2DMG|2DUR|1ASPD	18DMG|2MBVNT|347VULN|59DUR|6RCR|aASPD
52	63623 41232	10	   	264.01	DCR|3VULN|3DMG|1TLV|1AART	189DMG|2MBVNT|368VULN|468ERES|5AART|68BPWR|7RCR|aTLV
53	63623 41237	10	   	264.01	DCR|3VULN|3DMG|1DUR|1AART	189DMG|2MBVNT|368VULN|468ERES|5AART|68BPWR|7RCR|aDUR
54	13122 31126	9	   	263.82	DCR|4VULN|2CDMG|1DMG|1TLV	1TLV|24CDMG|3BEXP|5DMG|689aVULN|7RCR
55	63113 82148	2	   	263.35	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	18DMG|2MBVNT|347VULN|5DUR|6RCR|9ASPD|aCDMG
56	63742 34242	5	   	263.26	DCR|3VULN|2DMG|1TLV|1DUR	13DMG|2MBVNT|3BPWR|4LIT|5TLV|69aVULN|7RCR|8DUR
57	63742 34532	5	   	263.26	DCR|3VULN|2DMG|1TLV|1DUR	13DMG|2MBVNT|3BPWR|4LIT|5TLV|68aVULN|7RCR|9DUR
58	63748 34242	4	   	263.26	DCR|3VULN|2DMG|1TLV|1DUR	13DMG|2MBVNT|3BPWR|4LIT|5TLV|69aVULN|7RCR|8DUR
59	63324 72744	6	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	18DMG|2MBVNT|3CGEN|48DUR|5AART|6RCR|78aVULN|8BPWR|9ERES
60	63373 12163	9	 * 	263.04	DCR|3VULN|2DMG|3ASPD|1AART	18DMG|2MBVNT|3CGEN|489VULN|5AART|68aASPD|7RCR|8BPWR
61	63741 11246	9	   	262.82	DCR|3VULN|3DMG|2LIT|1AART	13aDMG|2MBVNT|3aBPWR|4aLIT|5AART|6BELT|7RCR|89aVULN
62	21255 23226	1	   	262.00	DCR|4VULN|1TLV|1DUR|1CDMG	1LWND|238aVULN|4CDMG|5LIT|6RCR|7TLV|9DUR
63	21562 23226	1	   	262.00	DCR|4VULN|1TLV|1DUR|1CDMG	1LWND|258aVULN|3CDMG|4LIT|6RCR|7TLV|9DUR
64	62132 53433	1	   	261.79	DCR|3VULN|2DMG|2DUR	1aDMG|23aVULN|4LIT|5LWND|6TBNT|7RCVC|8RCR|9aDUR|aBPWR
65	62133 43433	1	   	261.79	DCR|3VULN|2DMG|2DUR	1aDMG|23aVULN|4LIT|5RCVC|6LWND|7TBNT|8RCR|9aDUR|aBPWR
66	62133 52433	1	   	261.79	DCR|3VULN|2DMG|2DUR	1aDMG|23aVULN|4LIT|5RCVC|6TBNT|7LWND|8RCR|9aDUR|aBPWR
67	32288 14833	10	   	261.77	DCR|3VULN|2DUR|2AART|2LIT|1CDMG	18AART|27LIT|3MBVNT|4CDMG|57DUR|679VULN|7BPWR|aRCR
68	22232 31125	9	 * 	261.69	DCR|2VULN|2DMG|2DUR|2CDMG|2LIT	17LWND|29DUR|37VULN|4BEXP|59CDMG|67DMG|79BPWR|89LIT|aRCR
69	63113 82152	2	   	261.59	DCR|3VULN|2DMG|2DUR	18DMG|2MBVNT|347VULN|59DUR|6RCR|aLIT
70	62161 12431	1	   	261.54	DCR|4VULN|2DMG|1DUR	15DMG|2357VULN|4RMIN|5BPWR|6LWND|8DUR|9RCR|aZMB
71	62161 12432	1	   	261.54	DCR|4VULN|2DMG|1DUR	15DMG|2357VULN|4RMIN|5BPWR|6LWND|8DUR|9RCR|aCGEN
72	62161 12433	1	   	261.54	DCR|4VULN|2DMG|1DUR	15DMG|2357VULN|4aRMIN|5BPWR|6LWND|8DUR|9RCR
73	62161 22431	1	   	261.54	DCR|4VULN|2DMG|1DUR	15DMG|2357VULN|4RMIN|5BPWR|6LHND|8DUR|9RCR|aZMB
74	62161 22432	1	   	261.54	DCR|4VULN|2DMG|1DUR	15DMG|2357VULN|4RMIN|5BPWR|6LHND|8DUR|9RCR|aCGEN
75	62161 22433	1	   	261.54	DCR|4VULN|2DMG|1DUR	15DMG|2357VULN|4aRMIN|5BPWR|6LHND|8DUR|9RCR
76	65311 53111	10	   	261.44	DCR|4VULN|2DMG|1DUR	12DMG|2BPWR|378aVULN|4DUR|5LWND|6RCR|9LHND
77	62161 32431	1	   	261.44	DCR|4VULN|2DMG|1DUR	15DMG|2357VULN|4RMIN|5BPWR|6DUST|8DUR|9RCR|aZMB
78	62161 32432	1	   	261.44	DCR|4VULN|2DMG|1DUR	15DMG|2357VULN|4RMIN|5BPWR|6DUST|8DUR|9RCR|aCGEN
79	62161 32433	1	   	261.44	DCR|4VULN|2DMG|1DUR	15DMG|2357VULN|4aRMIN|5BPWR|6DUST|8DUR|9RCR
80	63623 41232	9	   	261.41	DCR|3VULN|3DMG|1CDMG|1AART	189DMG|2MBVNT|368VULN|468ERES|5AART|68BPWR|7RCR|aCDMG
81	63112 26422	1	   	261.34	DCR|4VULN|2DMG|1DUR	18DMG|2DUR|349aVULN|5RPLT|6TBNT|7RCR
82	63113 82134	2	   	261.34	DCR|4VULN|2DMG|1DUR	18DMG|2MBVNT|347aVULN|5DUR|6RCR|9CGEN
83	63613 82134	3	   	261.34	DCR|4VULN|2DMG|1DUR	18DMG|2MBVNT|347aVULN|5DUR|6RCR|9CGEN
84	65312 23148	9	   	261.34	DCR|4VULN|2DMG|1DUR	12DMG|2BPWR|3689VULN|4DUR|5MBVNT|7LHND|aRCR
85	63644 61432	9	   	261.30	DCR|4VULN|2DMG|1DUR|1SELL	17DMG|2MBVNT|3789VULN|47BEXP|5SELL|6RCR|7BPWR|aDUR
86	63113 47348	2	   	261.24	DCR|4VULN|2DMG|1DUR	18DMG|2MBVNT|3469VULN|5DUR|7TBNT|aRCR
87	22232 31135	9	   	260.96	DCR|3VULN|2DMG|1DUR|1CDMG	17LWND|2DUR|379VULN|4BEXP|5CDMG|67DMG|7BPWR|8LIT|aRCR
88	62161 12135	1	   	260.84	DCR|4VULN|3DMG	15aDMG|2357VULN|4RMIN|5BPWR|6LWND|8DUST|9RCR
89	62161 22135	1	   	260.84	DCR|4VULN|3DMG	15aDMG|2357VULN|4RMIN|5BPWR|6LHND|8DUST|9RCR
90	62161 32235	1	   	260.84	DCR|4VULN|3DMG	15aDMG|2357VULN|4RMIN|5BPWR|6DUST|8BEXP|9RCR
91	65231 23151	10	   	260.84	DCR|4VULN|3DMG	124DMG|2BPWR|3LWND|5DMSP|678aVULN|9RCR
92	65331 22151	10	   	260.84	DCR|4VULN|3DMG	124DMG|2BPWR|368aVULN|5DMSP|7FEWX|9RCR
93	65331 23151	10	   	260.84	DCR|4VULN|3DMG	124DMG|2BPWR|368aVULN|5DMSP|7LHND|9RCR
94	65332 52331	4	   	260.84	DCR|4VULN|3DMG	124DMG|2BPWR|3567VULN|8FEWX|9CGEN|aRCR
95	65311 53333	10	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	12DMG|2BPWR|379VULN|4DUR|5LWND|6RCR|8CDMG|aLIT
96	65333 33326	8	   	260.74	DCR|4VULN|3DMG	124DMG|2BPWR|378aVULN|5RMIN|6DUST|9RCR
97	63644 61431	10	   	260.70	DCR|4VULN|3DMG|1SELL	17aDMG|2MBVNT|3789VULN|47BEXP|5SELL|6RCR|7BPWR
98	62221 41611	1	   	260.30	DCR|2VULN|3DMG|2DUR|1AART	178DMG|28VULN|3CGEN|4FEWX|5AART|68DUR|8BPWR|9RCR|aLIT
99	13662 22341	7	 * 	260.29	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	1aTLV|2CDMG|3aZMB|45DMG|67DUR|8aVULN|9RCR|aBPWR
100	63324 72731	6	   	260.20	DCR|2VULN|3DMG|2DUR|1AART	189DMG|2MBVNT|3CGEN|48DUR|5AART|6RCR|78VULN|8BPWR|aLIT
101	62343 21611	1	   	260.20	DCR|2VULN|3DMG|2DUR|1AART	178DMG|28VULN|3LWND|4AART|5ERES|68DUR|8BPWR|9RCR|aLIT
102	65332 24323	4	   	260.16	DCR|3VULN|3DMG|1CDMG	124DMG|2BPWR|359VULN|6LHND|7RCR|8LIT|aCDMG
103	21313 32666	1	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	1LWND|247VULN|3ASPD|568DUR|9RCR|aDMG
104	11231 12611	1	   	260.02	DCR|3VULN|1DUR|1TLV|1CDMG|1ASPD|1AART	1TLV|2LIT|3AART|4ASPD|5DUR|678VULN|9CDMG|aRCR
105	11231 12611	2	   	260.02	DCR|3VULN|1DUR|1TLV|1CDMG|1ASPD|1AART	1TLV|2LIT|3AART|4ASPD|5DUR|678VULN|9CDMG|aRCR
106	13135 26242	2	   	260.00	DCR|4VULN|2CDMG|1TLV|1DUR	1TLV|25CDMG|3TBNT|457aVULN|5BPWR|6LWND|8DUR|9RCR
107	63113 42228	2	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DMG|2MBVNT|3467VULN|5DUR|8RMIN|9TLV|aRCR
108	63113 42528	2	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DMG|2MBVNT|3467VULN|5DUR|8ZMB|9TLV|aRCR
109	63613 42228	3	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DMG|2MBVNT|3467VULN|5DUR|8RMIN|9TLV|aRCR
110	16511 31161	2	 * 	259.96	DCR|2VULN|3DUR|2DMG|2TLV	1aTLV|25CGEN|345DUR|5aBPWR|6RCVC|7aDMG|8aVULN|9RCR
111	63113 82144	2	   	259.91	DCR|3VULN|2DMG|2ASPD|1DUR	18DMG|2MBVNT|347VULN|5DUR|6RCR|9aASPD
112	63613 82144	3	   	259.91	DCR|3VULN|2DMG|2ASPD|1DUR	18DMG|2MBVNT|347VULN|5DUR|6RCR|9aASPD
113	63122 32661	1	   	259.86	DCR|2VULN|3DUR|2DMG|2TLV	1aDMG|268DUR|37VULN|4aTLV|5aCGEN|9RCR|aBPWR
114	12511 31161	2	   	259.76	DCR|2VULN|3DUR|2DMG|2TLV	1aTLV|25ERES|345DUR|5aBPWR|6RCVC|7aDMG|8aVULN|9RCR
115	61432 22341	2	 * 	259.76	DCR|2VULN|3DUR|2DMG|3LIT	13DMG|235LIT|35BPWR|456DUR|7ZMB|8aVULN|9RCR
116	61432 22341	1	   	259.76	DCR|2VULN|3DUR|2DMG|3LIT	13DMG|235LIT|35BPWR|456DUR|7ZMB|8aVULN|9RCR
117	61432 62123	1	   	259.76	DCR|2VULN|3DUR|2DMG|3LIT	13DMG|235LIT|35BPWR|457DUR|6RPLT|8aVULN|9RCR
118	61432 62123	2	   	259.76	DCR|2VULN|3DUR|2DMG|3LIT	13DMG|235LIT|35BPWR|457DUR|6RPLT|8aVULN|9RCR
119	61432 21134	2	   	259.52	DCR|2VULN|3DUR|2DMG|3LIT|1SELL	13DMG|235LIT|35BPWR|456DUR|7SELL|8aVULN|9RCR
120	61432 21134	1	   	259.52	DCR|2VULN|3DUR|2DMG|3LIT|1SELL	13DMG|235LIT|35BPWR|456DUR|7SELL|8aVULN|9RCR
121	63623 41233	10	   	258.77	DCR|3VULN|3DMG|1ASPD|1AART	189DMG|2MBVNT|368VULN|468ERES|5AART|68BPWR|7RCR|aASPD
122	63623 41263	10	   	258.77	DCR|3VULN|3DMG|1ASPD|1AART	18aDMG|2MBVNT|368VULN|468ERES|5AART|68BPWR|7RCR|9ASPD
123	13122 14166	9	   	258.76	DCR|3VULN|2DMG|2CDMG|1TLV	1TLV|24CDMG|3BEXP|56DMG|78aVULN|9RCR
124	13322 14166	9	   	258.76	DCR|3VULN|2DMG|2CDMG|1TLV	1TLV|24CDMG|3LHND|56DMG|78aVULN|9RCR
125	62313 32663	1	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	1DMG|247VULN|3LWND|568DUR|9RCR|aAART
126	63113 12663	1	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	1DMG|258DUR|347VULN|6LWND|9RCR|aAART
127	63113 22663	1	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	1DMG|258DUR|347VULN|6LHND|9RCR|aAART
128	63312 32663	1	   	258.58	DCR|3VULN|3DUR|1DMG|1AART	1DMG|268DUR|3LEGI|457VULN|9RCR|aAART
129	21452 21141	1	   	258.44	DCR|4VULN|2DUR|1DMG	1LWND|2568VULN|36DUR|4BBNT|6BPWR|7DMG|9RPLT|aRCR
130	22252 21141	3	   	258.44	DCR|4VULN|2DUR|1DMG	1LWND|26DUR|3568VULN|4BBNT|6BPWR|7DMG|9RPLT|aRCR
131	22252 21141	2	   	258.44	DCR|4VULN|2DUR|1DMG	1LWND|26DUR|3568VULN|4BBNT|6BPWR|7DMG|9RPLT|aRCR
132	22252 22641	3	   	258.44	DCR|4VULN|2DUR|1DMG	1LWND|26DUR|3567VULN|4BBNT|6BPWR|8RPLT|9DMG|aRCR
133	22252 22641	2	   	258.44	DCR|4VULN|2DUR|1DMG	1LWND|26DUR|3567VULN|4BBNT|6BPWR|8RPLT|9DMG|aRCR
134	22252 25133	2	   	258.44	DCR|4VULN|2DUR|2CDMG	18LWND|26DUR|3568VULN|4BBNT|68BPWR|78CDMG|9ERES|aRCR
135	22252 25133	3	   	258.44	DCR|4VULN|2DUR|2CDMG	18LWND|26DUR|3568VULN|4BBNT|68BPWR|78CDMG|9ERES|aRCR
136	65311 52132	6	   	258.38	DCR|2VULN|3DMG|2DUR|1TLV	128DMG|2BPWR|37VULN|49DUR|5LWND|6RCR|aTLV
137	65311 53132	7	   	258.38	DCR|2VULN|3DMG|2DUR|1TLV	128DMG|2BPWR|37VULN|49DUR|5LWND|6RCR|aTLV
138	65332 21622	4	   	258.38	DCR|2VULN|3DMG|2DUR|1TLV	124DMG|2BPWR|35VULN|6LHND|78DUR|9RCR|aTLV
139	63113 82634	2	   	258.34	DCR|4VULN|2DUR|1DMG	1DMG|2MBVNT|347aVULN|58DUR|6RCR|9CGEN
140	65332 11522	4	   	258.28	DCR|2VULN|3DMG|2DUR|1TLV	124DMG|2BPWR|35VULN|6DUST|78DUR|9RCR|aTLV
141	65312 34222	9	   	258.28	DCR|2VULN|3DMG|2DUR|1TLV	129DMG|2BPWR|38VULN|47DUR|5MBVNT|6TLV|aRCR
142	63113 42458	2	   	258.24	DCR|4VULN|2DUR|1DMG	1DMG|2MBVNT|3467VULN|59DUR|8LEGI|aRCR
143	63113 47138	2	   	258.24	DCR|4VULN|2DUR|1DMG	1DMG|2MBVNT|3468VULN|59DUR|7TBNT|aRCR
144	21243 13433	1	   	257.78	DCR|4VULN|2DUR|1ASPD	1aLWND|234aVULN|5LIT|6ASPD|7TBNT|8RCR|9aDUR|aBPWR
145	21243 14433	1	   	257.78	DCR|4VULN|2DUR|1ASPD	1aLWND|234aVULN|5LIT|6ASPD|7BBNT|8RCR|9aDUR|aBPWR
146	21362 22163	1	   	257.78	DCR|4VULN|2DUR|1ASPD	1aLWND|289aVULN|3ASPD|4LIT|5TBNT|6aDUR|7RCR|aBPWR
147	62411 32326	1	   	257.76	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1AART	19DMG|2aVULN|3TLV|4DUR|5AART|68CDMG|7RCR
148	63121 32326	1	   	257.76	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1AART	19DMG|2DUR|3aVULN|4TLV|5AART|68CDMG|7RCR
149	13122 31112	9	   	257.42	DCR|3VULN|2CDMG|1DMG|1DUR|1TLV	1TLV|24CDMG|3BEXP|5DMG|68aVULN|7RCR|9DUR
150	13122 31114	10	   	257.42	DCR|3VULN|2CDMG|1DMG|1DUR|1TLV	1TLV|24CDMG|3BEXP|5DMG|68aVULN|7RCR|9DUR
151	13122 31124	9	   	257.42	DCR|3VULN|2CDMG|1DMG|1DUR|1TLV	1TLV|24CDMG|3BEXP|5DMG|689VULN|7RCR|aDUR
152	63372 42742	6	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DMG|2MBVNT|3CGEN|457aVULN|6CDMG|8DUR|9RCR
153	63372 45142	8	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DMG|2MBVNT|3CGEN|458aVULN|6CDMG|7DUR|9RCR
154	63622 54342	8	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1DMG|2MBVNT|357aVULN|4ERES|6DUR|8CDMG|9RCR
155	63622 42742	6	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1DMG|2MBVNT|357aVULN|4ERES|6CDMG|8DUR|9RCR
156	63622 45142	8	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1DMG|2MBVNT|358aVULN|4ERES|6CDMG|7DUR|9RCR
157	63313 41612	1	   	257.27	DCR|2VULN|3DMG|2TLV|1DUR|1AART	178DMG|2DUR|3LEGI|48VULN|5AART|68TLV|8BPWR|9RCR|aLWND
158	63313 41613	1	   	257.27	DCR|2VULN|3DMG|2TLV|1DUR|1AART	178DMG|2DUR|3LEGI|48VULN|5AART|68TLV|8BPWR|9RCR|aBEXP
159	21241 15142	1	   	257.08	DCR|5VULN|1TLV|1CDMG	156LWND|2345aVULN|5BPWR|7CDMG|8TLV|9RCR
160	13614 11341	2	 * 	256.98	DCR|2VULN|2DMG|2ASPD|2TLV|2CDMG	1aTLV|26CDMG|3aDMG|4BEXP|57ASPD|8aVULN|9RCR|aBPWR
161	13624 11341	2	   	256.98	DCR|2VULN|2DMG|2ASPD|2TLV|2CDMG	1aTLV|26CDMG|3aDMG|4LWND|57ASPD|8aVULN|9RCR|aBPWR
162	63113 82644	2	 * 	256.91	DCR|3VULN|2DUR|2ASPD|1DMG	1DMG|2MBVNT|347VULN|58DUR|6RCR|9aASPD
163	63623 41263	8	   	256.76	DCR|3VULN|2DMG|1CDMG|1ASPD|1AART	18DMG|2MBVNT|368VULN|468ERES|5AART|68BPWR|7RCR|9CDMG|aASPD
164	13113 65511	1	   	256.75	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1TLV|25DUR|34VULN|6DMG|7LIT|8AART|9CDMG|aRCR
165	63121 41611	1	   	256.75	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1DMG|26DUR|38VULN|4TLV|5AART|7LIT|9CDMG|aRCR
166	22263 13643	8	   	256.56	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1LWND|25DUR|35aVULN|4AART|5BPWR|6ASPD|7RPLT|8RCR|9DMG
167	63373 12136	8	   	256.51	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG|1AART	18DMG|2MBVNT|3CGEN|48VULN|5AART|68ASPD|7RCR|8BPWR|9CDMG|aDUR
168	32273 22843	6	   	256.38	DCR|2VULN|2ASPD|1DMG|1TLV|1DUR|2LIT|1AART	1AART|28LIT|3MBVNT|48ASPD|5TLV|6DUR|78VULN|8BPWR|9DMG|aRCR
169	63582 22442	2	   	256.27	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	16DMG|2MBVNT|3TLV|4CDMG|58DUR|7aVULN|9RCR
170	65312 34342	8	   	256.27	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	12DMG|2BPWR|3aVULN|47DUR|5MBVNT|6TLV|8CDMG|9RCR
171	15633 31151	8	 * 	256.26	DCR|3VULN|2DMG|3TLV|1CDMG	15aTLV|2LWND|38aVULN|4CDMG|6ZMB|7RCR|9aDMG|aBPWR
