0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24632 24112	9	 * 	292.39	DCR|4VULN|3DUR|3ASPD|1AART	18aASPD|2RPLT|348aVULN|58aDUR|6RCR|7RCVC|8aBPWR|9AART
36	24632 22111	10	 * 	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	18ASPD|2RPLT|348VULN|578DUR|6RCR|8BPWR|9FEWX|aDMG
37	24632 22126	10	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	18ASPD|2RPLT|348VULN|578DUR|6RCR|8BPWR|9CGEN|aDMG
38	24632 22131	10	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	18ASPD|2RPLT|348VULN|578DUR|6RCR|8BPWR|9LWND|aDMG
39	24235 24112	9	   	269.75	DCR|3VULN|3DUR|3ASPD|1AART	18aASPD|25RPLT|38aDUR|48aVULN|6RCR|7RCVC|8aBPWR|9AART
40	24662 22222	9	   	269.73	DCR|3VULN|2DMG|3ASPD|1TLV	19aASPD|2RPLT|359VULN|4TLV|6LHND|7RCR|89DMG|9BPWR
41	24632 23122	10	   	269.31	DCR|4VULN|3ASPD|2DUR	178ASPD|2RPLT|348aVULN|58DUR|6RCR|8BPWR|9DMSP
42	24632 21223	10	   	268.52	DCR|3VULN|2DMG|2ASPD|1DUR	19ASPD|2RPLT|349VULN|5DUR|6RCR|7CGEN|89DMG|9BPWR|aLIT
43	24632 21224	9	   	268.52	DCR|3VULN|2DMG|2ASPD|1DUR	19ASPD|2RPLT|349VULN|5DUR|6RCR|7CGEN|89DMG|9BPWR|aLIT
44	23252 13515	6	   	268.09	DCR|4VULN|2DUR|2ASPD	17ASPD|2FEWX|37DUR|4679VULN|5RMIN|7BPWR|8RCR|aLIT
45	24632 13621	6	 * 	267.85	DCR|2VULN|2DMG|2DUR|2ASPD|2CDMG	17ASPD|2RPLT|34VULN|57DUR|67CDMG|7BPWR|8aDMG|9RCR
46	21233 56511	1	 * 	266.77	DCR|3VULN|2DUR|2ASPD|2TLV|1AART	18ASPD|2RMIN|34DUR|58TLV|678VULN|8BPWR|9RCR|aAART
47	24632 23111	9	 * 	266.73	DCR|3VULN|3ASPD|2DUR|1DMG	178ASPD|2RPLT|348VULN|58DUR|6RCR|8BPWR|9LHND|aDMG
48	24632 23123	9	   	266.73	DCR|3VULN|3ASPD|2DUR|1DMG	178ASPD|2RPLT|348VULN|58DUR|6RCR|8BPWR|9DMSP|aDMG
49	24632 23151	9	   	266.73	DCR|3VULN|3ASPD|2DUR|1DMG	178ASPD|2RPLT|348VULN|58DUR|6RCR|8BPWR|9BEXP|aDMG
50	24632 23161	8	   	266.73	DCR|3VULN|3ASPD|2DUR|1DMG	178ASPD|2RPLT|348VULN|58DUR|6RCR|8BPWR|9LWND|aDMG
51	24632 23151	8	   	266.63	DCR|3VULN|3ASPD|2DUR|1DMG	178ASPD|2RPLT|348VULN|58DUR|6RCR|8BPWR|9DUST|aDMG
52	24632 22113	10	   	266.62	DCR|3VULN|3DUR|2ASPD|1TLV	18ASPD|2RPLT|348VULN|578DUR|6RCR|8BPWR|9FEWX|aTLV
53	24632 22133	10	   	266.62	DCR|3VULN|3DUR|2ASPD|1TLV	18ASPD|2RPLT|348VULN|578DUR|6RCR|8BPWR|9LWND|aTLV
54	22253 34235	9	   	266.50	DCR|4VULN|2DMG|2ASPD	16ASPD|2MLV|3LWND|4569VULN|6BPWR|78DMG|aRCR
55	11666 13122	7	   	265.35	DCR|4VULN|2DMG|2TLV	124ZMB|2aBPWR|368aVULN|5aDMG|7aTLV|9RCR
56	23253 33613	9	   	264.52	DCR|4VULN|1DMG|1DUR|1ASPD|1AART	1ASPD|2FEWX|3DUR|479aVULN|5AART|6DMG|8RCR
57	24632 22325	7	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	1ASPD|2RPLT|34aVULN|57DUR|6RCR|89DMG
58	25223 11122	9	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|28LHND|3aDUR|4TLV|56VULN|7RCR|9aDMG|aBPWR
59	25223 44312	7	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2LHND|3aDUR|4TLV|58VULN|6aDMG|7RCR|9RCVC|aBPWR
60	26223 11212	8	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2LWND|3aDUR|4TLV|56VULN|7RCR|8aDMG|9RCVC|aBPWR
61	26223 11222	9	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2LWND|3aDUR|4TLV|56VULN|7RCR|8aDMG|9DMSP|aBPWR
62	26223 11252	8	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2LWND|3aDUR|4TLV|56VULN|7RCR|8aDMG|9DMSP|aBPWR
63	26223 11612	7	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2LWND|3aDUR|4TLV|56VULN|7RCR|8aDMG|9RCVC|aBPWR
64	26223 11652	7	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2LWND|3aDUR|4TLV|56VULN|7RCR|8aDMG|9DMSP|aBPWR
65	26223 44312	7	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2LWND|3aDUR|4TLV|58VULN|6aDMG|7RCR|9RCVC|aBPWR
66	24235 22111	8	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	18ASPD|25RPLT|378DUR|48aVULN|6RCR|8BPWR|9CDMG
67	24632 22112	8	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	18ASPD|2RPLT|348VULN|578DUR|6RCR|8BPWR|9CDMG|aZMB
68	24632 22116	9	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	18ASPD|2RPLT|348VULN|578DUR|6RCR|8BPWR|9FEWX|aCDMG
69	24632 22116	8	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	18ASPD|2RPLT|348VULN|578DUR|6RCR|8BPWR|9CDMG|aMLV
70	24632 22136	9	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	18ASPD|2RPLT|348VULN|578DUR|6RCR|8BPWR|9LWND|aCDMG
71	24632 22113	8	   	263.92	DCR|3VULN|3DUR|2ASPD|1CDMG	18ASPD|2RPLT|348VULN|578DUR|6RCR|8BPWR|9CDMG|aLEGI
72	24632 22114	8	   	263.92	DCR|3VULN|3DUR|2ASPD|1CDMG	18ASPD|2RPLT|348VULN|578DUR|6RCR|8BPWR|9CDMG|aERES
73	16633 13513	6	   	263.59	DCR|5VULN|1DMG|1DUR	17ZMB|27LWND|3DMG|4DUR|5679aVULN|7BPWR|8RCR
74	24231 52121	2	   	263.45	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1ASPD|2RPLT|3CDMG|4DUR|5aDMG|678VULN|9RCR
75	24241 52121	4	   	263.45	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1ASPD|2RPLT|3DUR|4CDMG|5aDMG|678VULN|9RCR
76	24632 23361	6	   	263.45	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1ASPD|2RPLT|347VULN|5DUR|6RCR|8aDMG|9CDMG
77	33116 52613	3	   	263.39	DCR|5VULN|1DMG|1TLV	1LHND|2FEWX|3479aVULN|5TLV|6RCR|8DMG
78	32312 54612	2	   	262.92	DCR|4VULN|2DMG|2AART	14aLHND|2RPLT|346aVULN|4aBPWR|58AART|7RCR|9aDMG
79	32322 54612	2	   	262.82	DCR|4VULN|2DMG|2AART	1aLHND|2RPLT|346aVULN|58AART|7RCR|9aDMG|aBPWR
