0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42422 22113	4	 * 	309.41	DCR|5VULN|2DMG|2DUR|1CDMG	1367aVULN|23DUR|36BPWR|4LHND|56DMG|8CDMG|9RCR
34	42415 13213	3	   	283.19	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	136aVULN|23DUR|3BPWR|4ASPD|5CDMG|7MLV|8DMG|9RCR
35	42433 53113	5	   	283.09	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	136aVULN|23DUR|3BPWR|4ERES|5DMG|7ASPD|8CDMG|9RCR
36	42412 42113	3	   	282.67	DCR|5VULN|2DUR|1CDMG|1ASPD	1367aVULN|23DUR|3BPWR|4ASPD|5LWND|8CDMG|9RCR
37	42424 12113	4	   	282.67	DCR|5VULN|2DUR|1CDMG|1ASPD	1357aVULN|23DUR|3BPWR|4LHND|6ASPD|8CDMG|9RCR
38	42112 13343	3	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	157aVULN|2DUR|37CDMG|4MBVNT|67DMG|7BPWR|8RCVC|9RCR
39	42411 12126	10	 * 	281.10	DCR|5VULN|3DUR	13678VULN|237DUR|37BPWR|4RMIN|57BEXP|9RCR|aAART
40	42443 22313	3	   	280.59	DCR|4VULN|2DUR|1DMG|1CDMG	1369VULN|23DUR|36BPWR|4DMG|56FEWX|7LIT|8CDMG|aRCR
41	41441 22313	3	   	280.39	DCR|4VULN|2DUR|1DMG|1CDMG	1369VULN|23DUST|36BPWR|4DMG|56DUR|7LIT|8CDMG|aRCR
42	42432 42313	3	   	280.39	DCR|4VULN|2DUR|1DMG|1CDMG	1369VULN|23DUR|3BPWR|4DUST|5DMG|7LIT|8CDMG|aRCR
43	42433 14121	8	   	280.17	DCR|4VULN|3DUR|1DMG	1389VULN|239DUR|39BPWR|4ERES|5DMG|69BEXP|7RCR|aLIT
44	42612 13213	5	   	280.17	DCR|4VULN|1DMG|2CDMG|1TLV|1DUR	156aVULN|2DUR|3TLV|45CDMG|5BPWR|7MLV|8DMG|9RCR
45	42612 16213	5	   	280.17	DCR|4VULN|1DMG|2CDMG|1TLV|1DUR	156aVULN|2DUR|3TLV|45CDMG|5BPWR|7RMIN|8DMG|9RCR
46	42232 42135	3	   	279.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	167VULN|2DUR|3ASPD|4TLV|59DMG|8CDMG|aRCR
47	42234 12135	3	   	279.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	157VULN|2DUR|3ASPD|4TLV|69DMG|8CDMG|aRCR
48	42414 23332	5	   	279.55	DCR|5VULN|3DUR	13589VULN|238DUR|38BPWR|4RMIN|6BBNT|7RCR|aLIT
