0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36336 33132	9	 * 	291.30	DCR|5VULN|3DUR|3TLV	14589VULN|2DMSP|3ERES|689TLV|789DUR|89BPWR|aRCR
121	32331 33436	1	   	264.45	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	18VULN|2TBNT|3ASPD|48aDUR|5CDMG|6BEXP|78DMG|8BPWR|9RCR
122	33531 33436	2	   	264.45	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	18VULN|2ASPD|3BBNT|48aDUR|5CDMG|6BEXP|78DMG|8BPWR|9RCR
123	33621 33436	4	   	264.45	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	18VULN|2ASPD|38aDUR|4CDMG|5BBNT|6BEXP|78DMG|8BPWR|9RCR
124	36621 22315	1	   	264.44	DCR|5VULN|2ASPD|1TLV	1246aVULN|34ASPD|4BPWR|5TBNT|7TLV|8RCR|9ERES
125	36621 22352	1	   	264.44	DCR|5VULN|2ASPD|1TLV	12469VULN|34ASPD|4BPWR|5TBNT|7TLV|8RCR|aDUST
126	36623 32315	1	   	264.44	DCR|5VULN|2ASPD|1TLV	1245aVULN|34ASPD|4BPWR|6BBNT|7TLV|8RCR|9ERES
127	36623 32352	1	   	264.44	DCR|5VULN|2ASPD|1TLV	12459VULN|34ASPD|4BPWR|6BBNT|7TLV|8RCR|aDUST
128	36212 21642	9	   	264.43	DCR|4VULN|2DUR|2LIT|1ASPD	1689VULN|2DMSP|3ASPD|4RPLT|59LIT|79DUR|9BPWR|aRCR
129	36621 22335	1	   	264.30	DCR|5VULN|2ASPD|1TLV|1SELL	1246aVULN|34ASPD|4BPWR|5TBNT|7TLV|8RCR|9SELL
130	36623 32335	1	   	264.30	DCR|5VULN|2ASPD|1TLV|1SELL	1245aVULN|34ASPD|4BPWR|6BBNT|7TLV|8RCR|9SELL
131	36433 24213	1	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	127VULN|3MLV|479DUR|5RMIN|67LIT|7BPWR|8RCR|aDMG
132	33121 11624	8	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	179VULN|27ASPD|3LWND|4CDMG|5RPLT|678DUR|7BPWR|aRCR
133	33521 11624	8	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	179VULN|27ASPD|3FEWX|4CDMG|5RPLT|678DUR|7BPWR|aRCR
134	31151 53221	10	   	264.02	DCR|4VULN|1DMG|2CDMG|1TLV	189aVULN|2RMIN|3aLWND|4DMG|5TLV|6aCDMG|7RCR|aBPWR
135	34151 21321	5	   	264.02	DCR|4VULN|1DMG|2CDMG|1TLV	1679VULN|2CGEN|39LWND|4DMG|5TLV|89CDMG|9BPWR|aRCR
136	34151 53221	10	   	264.02	DCR|4VULN|1DMG|2CDMG|1TLV	189aVULN|2CGEN|3aLWND|4DMG|5TLV|6aCDMG|7RCR|aBPWR
137	35334 63216	1	 * 	263.79	ACR|4VULN|2DMG|2DUR|3LIT|1NUKE	148aVULN|2MBVNT|3RCR|5NUKE|68DMG|78aLIT|8aBPWR|9aDUR
138	31623 31325	9	   	263.47	DCR|3VULN|3DUR|3CDMG	179VULN|2RMIN|357DUR|457CDMG|57BPWR|6LEGI|8RCR|aLIT
139	31623 31326	10	   	263.47	DCR|3VULN|3DUR|3CDMG	179VULN|2RMIN|357DUR|457CDMG|57BPWR|6LEGI|8RCR|aLIT
140	33611 55121	7	   	263.15	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	179VULN|2ASPD|39DUR|48CGEN|5TLV|69CDMG|9BPWR|aRCR
141	33611 55221	8	   	263.15	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	179VULN|2ASPD|39DUR|4CGEN|5TLV|69CDMG|8RCVC|9BPWR|aRCR
142	31533 14223	7	   	263.09	DCR|4VULN|2DUR|2LIT|1AART	159aVULN|2RMIN|3FEWX|4AART|6RCR|79LIT|89DUR|9BPWR
143	33622 32121	8	   	263.05	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	168VULN|2ASPD|37DUR|46CDMG|5RMIN|6BPWR|9TLV|aRCR
144	36353 12125	9	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	19aVULN|2DMSP|36ERES|4aDMG|5aDUR|7RCR|8AART|aBPWR
145	34164 21312	2	   	262.96	DCR|3VULN|3DMG|1CDMG|1ASPD	15aVULN|2CGEN|3ASPD|456DMG|5BPWR|7CDMG|8RCR|9RCVC
146	31622 31521	5	   	262.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	19VULN|25RMIN|39DUR|48CDMG|6TLV|79DMG|9BPWR|aRCR
147	31624 31321	4	   	262.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	19VULN|28RMIN|39DUR|45CDMG|6TLV|79DMG|9BPWR|aRCR
148	31661 31521	5	   	262.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	19VULN|2RMIN|39DUR|4DMSP|58CDMG|6TLV|79DMG|9BPWR|aRCR
149	31164 21312	1	   	262.86	DCR|3VULN|3DMG|1CDMG|1ASPD	15aVULN|2ERES|3ASPD|456DMG|5BPWR|7CDMG|8RCR|9RCVC
150	31164 21325	1	   	262.86	DCR|3VULN|3DMG|1CDMG|1ASPD	15aVULN|2ERES|3ASPD|456DMG|5BPWR|7CDMG|8RCR|9MLV
151	33626 13253	2	   	262.74	DCR|2VULN|2DMG|2DUR|2ASPD|2LIT	18VULN|2aASPD|38DUR|4BEXP|57LIT|68DMG|8BPWR|9RCR
152	33626 13253	3	   	262.74	DCR|2VULN|2DMG|2DUR|2ASPD|2LIT	18VULN|2aASPD|38DUR|4BEXP|57LIT|68DMG|8BPWR|9RCR
153	33122 23221	10	 * 	262.57	DCR|4VULN|2ASPD|2TLV|1CDMG	189aVULN|2aASPD|3LWND|4CDMG|5RMIN|6aTLV|7RCR|aBPWR
154	36622 16221	1	   	262.57	DCR|4VULN|2ASPD|2TLV|1CDMG	1249VULN|34ASPD|49BPWR|59CGEN|6CDMG|7DUST|89TLV|aRCR
155	33622 22521	6	 * 	262.49	DCR|3VULN|2ASPD|2TLV|2CDMG|1DUR	179VULN|29ASPD|3DUR|48CDMG|5RMIN|69TLV|9BPWR|aRCR
156	33622 25521	7	   	262.49	DCR|3VULN|2ASPD|2TLV|2CDMG|1DUR	179VULN|29ASPD|3DUR|48CDMG|5RMIN|69TLV|9BPWR|aRCR
157	33661 23342	3	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	14aVULN|2aASPD|3DUR|5RPLT|6RCR|7DMG|8MBVNT|9aCDMG|aBPWR
158	33661 23342	2	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	14aVULN|2aASPD|3DUR|5RPLT|6RCR|7DMG|8MBVNT|9aCDMG|aBPWR
159	51312 23563	7	   	262.34	DCR|2VULN|2DMG|2DUR|3CDMG|1AART	158CDMG|2RCVC|39DMG|49DUR|69VULN|7RCR|9BPWR|aAART
160	31123 21662	10	   	262.10	DCR|3VULN|2DUR|3CDMG|1DMG	179VULN|2RMIN|35LWND|457CDMG|57BPWR|67DUR|8DMG|aRCR
161	31523 21662	10	   	262.10	DCR|3VULN|2DUR|3CDMG|1DMG	179VULN|2RMIN|35FEWX|457CDMG|57BPWR|67DUR|8DMG|aRCR
162	31621 13255	6	 * 	262.00	DCR|3VULN|2DUR|3CDMG|3LIT	18aVULN|2RMIN|36DUR|48aCDMG|5RPLT|78aLIT|8aBPWR|9RCR
