0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61221 32345	10	 * 	297.87	DCR|4VULN|3DUR|3CDMG|3LIT	178DUR|249LIT|379aVULN|579CDMG|6RCR|79BPWR
71	41532 36221	8	   	273.07	DCR|5VULN|2DUR|2LIT	1348aVULN|23LIT|38BPWR|58DUR|68FEWX|7RCR|9CGEN
72	41532 26211	9	   	272.97	DCR|5VULN|2DUR|2LIT	1348aVULN|23LIT|38BPWR|58DUR|68LWND|7RCR|9ERES
73	41532 36211	9	   	272.97	DCR|5VULN|2DUR|2LIT	1348aVULN|23LIT|38BPWR|58DUR|68FEWX|7RCR|9ERES
74	43343 11622	5	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	135aVULN|2LWND|4aDMG|6DUR|7RCR|8ASPD|9aLHND|aBPWR
75	43343 13322	6	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	135aVULN|2LWND|4aDMG|6ASPD|7DUR|8RCR|9aLHND|aBPWR
76	43343 31622	6	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	135aVULN|2LWND|4aDMG|6DUR|7RCR|8ASPD|9aLHND|aBPWR
77	43543 13322	6	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	145aVULN|2LWND|3aDMG|6ASPD|7DUR|8RCR|9aLHND|aBPWR
78	43343 13142	6	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	135aVULN|2LWND|4aDMG|6ASPD|7DUR|8aDUST|9RCR|aBPWR
79	42312 18842	4	   	271.44	DCR|5VULN|3DUR	1348aVULN|2FEWX|58aLWND|6MBVNT|78aDUR|8aBPWR|9RCR
80	42312 51116	10	   	271.34	DCR|5VULN|3DUR	13478VULN|27FEWX|5DMSP|679DUR|7BPWR|aRCR
81	43313 12842	5	   	271.14	DCR|5VULN|3DUR	1348aVULN|2LWND|58aDUR|6MBVNT|78aDUST|8aBPWR|9RCR
82	43321 38842	3	   	271.14	DCR|5VULN|3DUR	1358aVULN|2LWND|4MBVNT|68aDUST|78aDUR|8aBPWR|9RCR
83	41532 26233	10	   	270.96	DCR|4VULN|2DUR|2AART|2LIT	1348VULN|23LIT|38BPWR|58DUR|68LWND|7RCR|9aAART
84	61221 32144	8	   	270.81	DCR|3VULN|2DUR|2CDMG|1DMG|2LIT	17DUR|24LIT|379VULN|57CDMG|6RCR|7BPWR|8ZMB|aDMG
85	61221 32164	9	   	270.81	DCR|3VULN|2DUR|2CDMG|1DMG|2LIT	17DUR|24LIT|379VULN|57CDMG|6RCR|7BPWR|8ZMB|aDMG
86	61221 32241	7	   	270.81	DCR|3VULN|2DUR|2CDMG|1DMG|2LIT	17DUR|24LIT|379VULN|57CDMG|6RCR|7BPWR|8DMG|aRPLT
87	61221 32242	7	   	270.81	DCR|3VULN|2DUR|2CDMG|1DMG|2LIT	17DUR|24LIT|379VULN|57CDMG|6RCR|7BPWR|8DMG|aRCVC
88	61221 32223	7	   	270.71	DCR|3VULN|2DUR|2CDMG|1DMG|2LIT	17DUR|24LIT|37aVULN|57CDMG|6RCR|7BPWR|8DMG|9DUST
89	61221 32231	7	   	270.71	DCR|3VULN|2DUR|1DMG|2CDMG|2LIT	17DUR|24LIT|37aVULN|57CDMG|6RCR|7BPWR|8DMG|9TBNT
90	61221 32243	7	   	270.71	DCR|3VULN|2DUR|1DMG|2CDMG|2LIT	17DUR|24LIT|379VULN|57CDMG|6RCR|7BPWR|8DMG|aERES
91	61221 32261	7	   	270.71	DCR|3VULN|2DUR|1DMG|2CDMG|2LIT	17DUR|24LIT|37aVULN|57CDMG|6RCR|7BPWR|8DMG|9BBNT
92	13322 56242	3	 * 	270.63	DCR|3VULN|3DUR|2ASPD|1DMG	17aFEWX|28ASPD|37aDUR|4LWND|5DMG|67aVULN|7aBPWR|9RCR
93	61611 32341	10	   	270.22	DCR|3VULN|3DUR|3CDMG|2LIT	178DUR|29LIT|3RCVC|479VULN|579CDMG|6RCR|79BPWR|aBEXP
94	61611 32341	9	   	270.22	DCR|3VULN|3DUR|3CDMG|2LIT	178DUR|29LIT|3RCVC|479VULN|579CDMG|6RCR|79BPWR|aLHND
95	61611 32342	10	   	270.22	DCR|3VULN|3DUR|3CDMG|2LIT	178DUR|29LIT|3RCVC|479VULN|579CDMG|6RCR|79BPWR|aFEWX
96	61611 32343	9	   	270.22	DCR|3VULN|3DUR|3CDMG|2LIT	178DUR|29LIT|3RCVC|479VULN|579CDMG|6RCR|79BPWR|aLWND
97	61611 32342	9	   	270.12	DCR|3VULN|3DUR|3CDMG|2LIT	178DUR|29LIT|3RCVC|479VULN|579CDMG|6RCR|79BPWR|aTBNT
98	42221 32442	8	   	270.06	DCR|4VULN|3CDMG|3LIT|1DUR	178aVULN|28FEWX|347LIT|578CDMG|6RCR|78BPWR|9DUR
99	43221 32442	8	   	270.06	DCR|4VULN|3CDMG|3LIT|1DUR	178aVULN|28LWND|347LIT|578CDMG|6RCR|78BPWR|9DUR
100	61221 32346	8	   	270.02	DCR|3VULN|3DUR|3CDMG|2LIT	178DUR|24LIT|37aVULN|579CDMG|6RCR|7BPWR
101	41534 31331	5	   	269.81	DCR|4VULN|1DMG|1TLV|2LIT|1ASPD	134aVULN|23LIT|3BPWR|5BEXP|6ASPD|7DMG|8TLV|9RCR
102	41542 31331	5	   	269.81	DCR|4VULN|1DMG|1TLV|2LIT|1ASPD	135aVULN|23LIT|3BPWR|4BEXP|6ASPD|7DMG|8TLV|9RCR
103	43312 31551	5	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR	1349VULN|2LWND|5AART|6DUR|7DMG|8RCR|aTLV
104	41615 22221	6	   	269.72	DCR|4VULN|2ASPD|1DUR|2LIT	148aVULN|28LIT|3RMIN|5AART|6RCR|78ASPD|8BPWR|9DUR
105	41551 11331	4	   	269.71	DCR|4VULN|1DMG|1TLV|2LIT|1ASPD	135aVULN|23LIT|3BPWR|4ASPD|6DUST|7DMG|8TLV|9RCR
106	42343 13311	6	   	269.64	DCR|4VULN|2DUR|1DMG|1ASPD	135aVULN|2aFEWX|4DMG|6ASPD|7aDUR|8RCR|9RPLT|aBPWR
107	42543 13311	6	   	269.64	DCR|4VULN|2DUR|1DMG|1ASPD	145aVULN|2aFEWX|3DMG|6ASPD|7aDUR|8RCR|9RPLT|aBPWR
108	43343 13311	6	   	269.64	DCR|4VULN|2DUR|1DMG|1ASPD	135aVULN|2aLWND|4DMG|6ASPD|7aDUR|8RCR|9RPLT|aBPWR
109	43543 13311	6	   	269.64	DCR|4VULN|2DUR|1DMG|1ASPD	145aVULN|2aLWND|3DMG|6ASPD|7aDUR|8RCR|9RPLT|aBPWR
110	41132 52433	4	 * 	269.10	DCR|5VULN|1DMG|1CDMG	14567VULN|2LIT|3DMSP|8DMG|9RCR|aCDMG
111	43221 32453	10	 * 	268.82	DCR|3VULN|2DMG|3CDMG|3LIT	178VULN|28LWND|347LIT|578CDMG|6RCR|78BPWR|9aDMG
112	41513 15244	8	   	268.55	DCR|4VULN|1TLV|1DUR|2LIT|1CDMG	1389VULN|23LIT|3BPWR|4TLV|5DUR|6CDMG|7MBVNT|aRCR
113	41513 15244	7	   	268.55	DCR|4VULN|1TLV|1DUR|2LIT|1CDMG	1389VULN|23LIT|3BPWR|4TLV|5DUR|6CDMG|7MBVNT|aRCR
114	63332 43125	7	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	18DUR|2LWND|38aVULN|4MLV|59LIT|6RCR|78DMG|8BPWR
115	41515 23321	10	   	268.42	DCR|3VULN|2DMG|3LIT|1TLV	139VULN|237LIT|3BPWR|4TLV|5AART|6RCR|8aDMG
116	61211 43125	7	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	18DUR|29LIT|38aVULN|4MLV|5DUST|6RCR|78DMG|8BPWR
117	61222 43184	10	   	268.09	DCR|3VULN|2DMG|2DUR|2LIT|1SELL	1aDUR|24LIT|35aVULN|6SELL|7MBVNT|8RCR|9aDMG|aBPWR
118	43333 52253	9	   	268.05	DCR|4VULN|3DUR|1TLV	1358VULN|28LWND|4TLV|6CGEN|789DUR|8BPWR|aRCR
119	43333 62263	9	   	267.95	DCR|4VULN|3DUR|1TLV	1358VULN|28LWND|4TLV|6ERES|789DUR|8BPWR|aRCR
