0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13333 42335	7	 * 	310.78	DCR|5VULN|3DMG|2TLV	179DMG|247DUST|3479aVULN|479BPWR|5AART|6RCR|89TLV
26	13333 21542	4	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|24DUST|349aVULN|49BPWR|5LHND|6TLV|7RCR|89DUR
27	13336 21542	4	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|24DUST|349aVULN|49BPWR|5BEXP|6TLV|7RCR|89DUR
28	13351 11542	6	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|2DUST|349aVULN|5TLV|6LHND|7RCR|89DUR|9BPWR
29	13353 21542	4	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|2DUST|349aVULN|5LHND|6TLV|7RCR|89DUR|9BPWR
30	13411 21542	1	   	289.67	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|239aVULN|4DUST|5LEGI|6TLV|7RCR|89DUR|9BPWR
31	14311 61322	1	   	289.41	DCR|3VULN|3DMG|1TLV|3CDMG	18aDMG|2TLV|38aCDMG|4RCVC|58aVULN|6MBVNT|7AART|8aBPWR|9RCR
32	13123 56162	1	   	286.32	DCR|3VULN|2DMG|3TLV|2DUR|1SELL	1aDMG|248VULN|34aTLV|4aBPWR|5AART|6SELL|7RCR|9aDUR
33	13121 31233	1	   	285.11	DCR|3VULN|2DMG|2TLV|2DUR	15DMG|247VULN|34TLV|4BPWR|6ASPD|8RCR|9aDUR
34	14621 31233	1	   	285.11	DCR|3VULN|2DMG|2TLV|2DUR	15DMG|24TLV|347VULN|4BPWR|6ASPD|8RCR|9aDUR
35	13331 66211	9	   	284.48	DCR|3VULN|3DMG|2DUR|1TLV	17aDMG|247DUST|34aVULN|47aBPWR|5TLV|67DUR|8RCR|9aBEXP
36	13331 66231	8	   	284.48	DCR|3VULN|3DMG|2DUR|1TLV	17aDMG|247DUST|34aVULN|47aBPWR|5TLV|67DUR|8RCR|9aLHND
37	13331 66261	8	   	284.48	DCR|3VULN|3DMG|2DUR|1TLV	17aDMG|247DUST|34aVULN|47aBPWR|5TLV|67DUR|8RCR|9aLWND
38	63134 31131	8	 * 	284.46	ACR|4VULN|3DUR|2DMG|1TLV|1CDMG	128DUR|38DMG|4RCR|5TLV|6CDMG|789aVULN|8BPWR
39	13331 66251	10	   	284.28	DCR|3VULN|3DMG|2DUR|1TLV	179DMG|247DUST|34aVULN|47BPWR|5TLV|67DUR|8RCR
40	65151 22321	10	 * 	284.00	DCR|4VULN|3DUR|2ASPD|2LIT|1CDMG	157DUR|28LIT|3CDMG|4589VULN|58BPWR|68ASPD|aRCR
41	13121 13112	1	   	283.58	DCR|3VULN|3DMG|2TLV|1CDMG	156DMG|249VULN|34TLV|4BPWR|7RCR|8CDMG|aASPD
42	14621 13112	1	   	283.58	DCR|3VULN|3DMG|2TLV|1CDMG	156DMG|24TLV|349VULN|4BPWR|7RCR|8CDMG|aASPD
43	62352 25331	1	 * 	283.09	DCR|4VULN|3DUR|3ASPD|1DMG	178DUR|2FEWX|3RPLT|478ASPD|5678VULN|78BPWR|9DMG|aRCR
44	11113 23422	6	   	283.00	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	123DMG|28BPWR|48VULN|5AART|68DUR|7RCR|9TLV|aCDMG
45	61352 25331	2	   	282.99	DCR|4VULN|3DUR|3ASPD|1DMG	178DUR|2DUST|3RPLT|478ASPD|5678VULN|78BPWR|9DMG|aRCR
46	13121 13425	1	 * 	282.57	DCR|4VULN|3DMG|3TLV	156DMG|249aVULN|348TLV|4BPWR|7RCR
47	13121 13435	1	   	282.57	DCR|4VULN|3DMG|3TLV	156DMG|249aVULN|348TLV|49BPWR|7RCR
48	13353 42363	7	   	282.15	DCR|4VULN|2DMG|1TLV|1CDMG	17DMG|27DUST|3478VULN|5AART|6RCR|7BPWR|9CDMG|aTLV
49	13121 13116	1	   	281.59	DCR|3VULN|3DMG|2TLV|2CDMG	156DMG|249VULN|34TLV|4BPWR|7RCR|8aCDMG
50	14621 13116	1	   	281.59	DCR|3VULN|3DMG|2TLV|2CDMG	156DMG|24TLV|349VULN|4BPWR|7RCR|8aCDMG
51	13236 42314	1	   	281.04	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD|1CDMG	1DMG|29aVULN|3CDMG|4BEXP|59DUR|6TLV|7RCR|89ASPD|9BPWR
52	13331 21541	4	 * 	280.99	DCR|2VULN|3DMG|3DUR|2TLV	19aDMG|249DUST|34VULN|49aBPWR|5LEGI|6aTLV|7RCR|89aDUR
