0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24212 24116	6	 * 	283.36	DCR|2VULN|3DMG|2DUR|1TLV|3ASPD	129ASPD|39DUR|45VULN|6TLV|789DMG|9BPWR|aRCR
31	34333 13614	2	   	265.45	DCR|3VULN|3DMG|2ASPD|1CDMG	1aERES|24ASPD|34aDMG|4aBPWR|5CDMG|6LIT|79aVULN|8RCR
32	21612 56111	5	   	264.64	DCR|4VULN|3DMG|2ASPD	19ASPD|2CGEN|389DMG|4579VULN|6RCR|9BPWR|aLHND
33	21612 56113	5	   	264.64	DCR|4VULN|3DMG|2ASPD	19ASPD|2CGEN|389DMG|4579VULN|6RCR|9BPWR|aBEXP
34	21612 56112	5	   	264.54	DCR|4VULN|3DMG|2ASPD	19ASPD|2CGEN|389DMG|4579VULN|6RCR|9BPWR|aBBNT
35	22311 31626	8	   	264.09	DCR|5VULN|1TLV|1DUR	1ASPD|2RCVC|34568VULN|7DUR|9TLV|aRCR
36	22311 31656	9	   	264.09	DCR|5VULN|1TLV|1DUR	1ASPD|2RCVC|34568VULN|7DUR|9TLV|aRCR
37	63242 11222	4	   	263.90	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|2aCGEN|38aVULN|4RMIN|5DUR|6RCR|7TLV|9aDMG|aBPWR
38	63352 11222	2	   	263.90	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|2aCGEN|3ZMB|48aVULN|5DUR|6RCR|7TLV|9aDMG|aBPWR
39	23523 11222	3	   	263.80	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|2FEWX|38aVULN|4CGEN|5AART|6RCR|7TLV|9aDMG|aBPWR
40	23543 13222	4	   	263.80	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|2FEWX|38aVULN|4TLV|5AART|6RCR|7CGEN|9aDMG|aBPWR
41	25523 11222	3	   	263.80	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|2BEXP|38aVULN|4CGEN|5AART|6RCR|7TLV|9aDMG|aBPWR
42	25543 13222	4	   	263.80	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|2BEXP|38aVULN|4TLV|5AART|6RCR|7CGEN|9aDMG|aBPWR
43	25553 11222	3	   	263.80	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|2BEXP|38aVULN|4AART|5CGEN|6RCR|7TLV|9aDMG|aBPWR
44	22311 34415	5	   	263.70	DCR|4VULN|3DUR|2ASPD	19ASPD|2RCVC|3459VULN|689DUR|7RCR|9BPWR|aLIT
45	23553 11222	4	   	263.70	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|2FEWX|38aVULN|4ERES|5AART|6RCR|7TLV|9aDMG|aBPWR
46	25553 11222	4	   	263.70	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|2BEXP|38aVULN|4ERES|5AART|6RCR|7TLV|9aDMG|aBPWR
47	66352 13222	1	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|2TLV|39DMG|48aVULN|5DUR|6RCR|7CGEN
48	24311 33313	6	 * 	263.11	DCR|5VULN|1TLV|3ASPD	129ASPD|34569VULN|7RCR|8LEGI|9BPWR|aTLV
49	24311 34411	5	   	262.83	DCR|4VULN|3DUR|3ASPD	129ASPD|3459VULN|689DUR|7RCR|9BPWR|aLWND
50	24311 34412	5	   	262.83	DCR|4VULN|3DUR|3ASPD	129ASPD|3459VULN|689DUR|7RCR|9BPWR|aCGEN
51	24311 34413	5	   	262.83	DCR|4VULN|3DUR|3ASPD	129ASPD|3459VULN|689DUR|7RCR|9BPWR|aMLV
52	42331 43216	4	 * 	262.68	DCR|3VULN|2DMG|2DUR|3LIT	148LWND|289LIT|3aDMG|5aDUR|68aVULN|7RCR|8aBPWR
53	11253 21143	2	 * 	262.36	DCR|4VULN|2DMG|2CDMG|1AART	1aCDMG|2LWND|369aVULN|4TBNT|5aDMG|7AART|8RCR|aBPWR
54	15253 21143	1	   	262.36	DCR|4VULN|2DMG|2CDMG|1AART	1aCDMG|2LHND|369aVULN|4TBNT|5aDMG|7AART|8RCR|aBPWR
55	21612 56133	5	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|2CGEN|38DMG|457VULN|6RCR|9TLV|aDUR
56	23536 63122	9	   	262.35	DCR|3VULN|2DMG|1TLV|2ASPD	17ASPD|2FEWX|37aVULN|4LIT|5DUST|67DMG|7BPWR|8TLV|9RCR
57	25323 15123	4	 * 	261.82	DCR|3VULN|3TLV|3ASPD|1DMG|1AART	179ASPD|28BEXP|379TLV|479VULN|5AART|6RCR|79BPWR|aDMG
58	13633 11143	6	   	261.68	DCR|4VULN|2DUR|3CDMG|1AART	15aCDMG|2ZMB|3aDUR|459aVULN|5aBPWR|6AART|7TBNT|8RCR
59	13633 61143	5	   	261.68	DCR|4VULN|2DUR|3CDMG|1AART	15aCDMG|2ZMB|3aDUR|459aVULN|5aBPWR|6AART|7TBNT|8RCR
60	24212 53114	10	   	260.77	DCR|3VULN|2DUR|1TLV|2ASPD|1CDMG	12ASPD|37DUR|456VULN|8CDMG|9RCR|aTLV
61	22212 54511	6	   	260.51	DCR|5VULN|2DUR|2ASPD	19ASPD|2RCVC|39DUR|45689VULN|7RCR|9BPWR|aMLV
62	22212 54512	6	   	260.51	DCR|5VULN|2DUR|2ASPD	19ASPD|2RCVC|39DUR|45689VULN|7RCR|9BPWR|aLWND
63	22311 34511	5	   	260.51	DCR|5VULN|2DUR|2ASPD	19ASPD|2RCVC|34589VULN|69DUR|7RCR|9BPWR|aMLV
64	22311 34512	5	   	260.51	DCR|5VULN|2DUR|2ASPD	19ASPD|2RCVC|34589VULN|69DUR|7RCR|9BPWR|aLWND
65	22311 34514	5	   	260.51	DCR|5VULN|2DUR|2ASPD	19ASPD|2RCVC|34589VULN|69DUR|7RCR|9BPWR|aLHND
66	22311 34516	5	   	260.51	DCR|5VULN|2DUR|2ASPD	19ASPD|2RCVC|34589VULN|69DUR|7RCR|9BPWR|aRPLT
67	22311 34563	5	 * 	260.33	DCR|4VULN|2DUR|1TLV	1ASPD|2RCVC|3458VULN|6aDUR|7RCR|9TLV
68	21612 16212	9	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	1aASPD|2CGEN|3aDMG|45VULN|6DLOT|7TLV|8RCR|9aDUR|aBPWR
69	25532 25212	7	   	259.94	DCR|3VULN|3DUR|3ASPD|1AART	178ASPD|2BEXP|378VULN|4LIT|5LHND|678DUR|78BPWR|9AART|aRCR
70	22311 31114	10	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1ASPD|2RCVC|3456VULN|7DUR|8CDMG|9RCR|aTLV
71	13663 16313	5	 * 	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	17CDMG|2ZMB|37DUR|4TLV|5ASPD|678VULN|7BPWR|9BBNT|aRCR
72	13663 36313	6	   	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	17CDMG|2ZMB|37DUR|4TLV|5ASPD|678VULN|7BPWR|9BBNT|aRCR
73	21612 51115	5	   	259.33	DCR|3VULN|3DMG|3ASPD	179ASPD|2CGEN|389DMG|459VULN|6RCR|9BPWR|aLIT
74	14123 31622	9	   	259.24	DCR|3VULN|2DUR|1TLV|2CDMG	15CDMG|2DUST|3TLV|45DUR|5BPWR|69aVULN|7LIT|8RCR
75	14123 31662	8	   	259.24	DCR|3VULN|2DUR|1TLV|2CDMG	15CDMG|2DUST|3TLV|45DUR|5BPWR|69aVULN|7LIT|8RCR
76	25323 15323	4	   	258.79	DCR|3VULN|2TLV|2ASPD|1DUR|1AART	17ASPD|2BEXP|37TLV|479VULN|5AART|6RCR|7BPWR|8DUR|aLIT
77	21612 56213	5	   	258.65	DCR|4VULN|2DMG|2ASPD|1AART	19ASPD|28CGEN|39DMG|4579VULN|6RCR|9BPWR|aAART
78	22212 14514	5	   	257.91	DCR|4VULN|2DUR|3ASPD	169ASPD|2RCVC|39DUR|4589VULN|7RCR|9BPWR|aLIT
79	22311 14514	4	   	257.91	DCR|4VULN|2DUR|3ASPD	169ASPD|2RCVC|3489VULN|59DUR|7RCR|9BPWR|aLIT
80	42312 25622	7	 * 	257.85	DCR|3VULN|2DMG|1TLV|3LIT	18LWND|28aLIT|35DMG|4TLV|689VULN|7RCR|8BPWR
81	24311 33114	6	 * 	257.85	DCR|5VULN|1DMG|2ASPD	12ASPD|34569VULN|7RCR|8LIT|aDMG
82	24212 11332	10	   	257.81	DCR|4VULN|2DUR|3ASPD	127ASPD|37DUR|4579VULN|6DLOT|7BPWR|8LIT|aRCR
83	24362 11332	10	   	257.81	DCR|4VULN|2DUR|3ASPD	127ASPD|3579VULN|47DUR|6DLOT|7BPWR|8LIT|aRCR
84	22315 41621	8	   	256.98	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	17ASPD|2RCVC|347VULN|5AART|67DUR|7BPWR|8TLV|9RMIN|aRCR
85	22315 41631	9	   	256.98	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	17ASPD|2RCVC|347VULN|5AART|67DUR|7BPWR|8TLV|9CGEN|aRCR
86	11132 26251	6	 * 	256.89	DCR|2VULN|3DMG|2TLV|2CDMG	17CDMG|2LWND|37TLV|4aVULN|5ERES|678DMG|7BPWR|9RCR
87	34612 53113	5	   	256.50	DCR|4VULN|3DMG	179ERES|2ASPD|389DMG|459aVULN|6RCR|9BPWR
88	24212 16222	8	   	256.45	DCR|3VULN|2TLV|3ASPD|1DUR	129ASPD|3DUR|459VULN|6DLOT|79TLV|8RCR|9BPWR|aLIT
89	21612 51216	5	   	256.42	DCR|4VULN|2DMG|3ASPD	179ASPD|28CGEN|39DMG|459aVULN|6RCR|9BPWR
90	42332 25623	7	 * 	256.31	DCR|4VULN|1TLV|1DMG|2LIT	148LWND|28LIT|3DMG|5TLV|689aVULN|7RCR|8BPWR
91	24311 21411	5	   	256.22	DCR|4VULN|2DMG|3ASPD	12aASPD|345aVULN|6aDMG|7TBNT|8MBVNT|9RCR|aBPWR
92	24311 23411	5	   	256.22	DCR|4VULN|2DMG|3ASPD	12aASPD|345aVULN|6aDMG|7BBNT|8MBVNT|9RCR|aBPWR
93	23323 15216	4	   	256.19	DCR|3VULN|2TLV|2ASPD|1CDMG|1AART	17ASPD|2FEWX|37TLV|479VULN|5AART|6RCR|7BPWR|8CDMG|aLIT
94	42253 21143	1	   	256.05	DCR|4VULN|2DMG|1CDMG|1AART	1aLWND|2CDMG|369aVULN|4TBNT|5aDMG|7AART|8RCR|aBPWR
95	62132 62331	1	   	255.44	DCR|4VULN|2DUR|1DMG|1AART	1AART|2DUST|3468VULN|57DUR|9DMG|aRCR
96	62132 62331	2	   	255.44	DCR|4VULN|2DUR|1DMG|1AART	1AART|2DUST|3468VULN|57DUR|9DMG|aRCR
97	22311 34414	5	   	255.40	DCR|4VULN|3DUR|2ASPD	19ASPD|2RCVC|3459VULN|689DUR|7RCR|9BPWR|aLWND
98	22311 34416	5	   	255.40	DCR|4VULN|3DUR|2ASPD	19ASPD|2RCVC|3459VULN|689DUR|7RCR|9BPWR|aRPLT
99	24311 33635	6	   	255.39	DCR|5VULN|2ASPD|1DUR|1AART	12ASPD|3456aVULN|7RCR|8AART|9DUR
100	24311 33142	6	   	255.31	DCR|4VULN|1TLV|2ASPD|1AART	12ASPD|3456VULN|7RCR|8LIT|9TLV|aAART
101	22212 54411	6	   	255.30	DCR|4VULN|3DUR|2ASPD	19ASPD|2RCVC|389DUR|4569VULN|7RCR|9BPWR|aTBNT
102	22212 54412	6	   	255.30	DCR|4VULN|3DUR|2ASPD	19ASPD|2RCVC|389DUR|4569VULN|7RCR|9BPWR|aBBNT
103	22311 34411	5	   	255.30	DCR|4VULN|3DUR|2ASPD	19ASPD|2RCVC|3459VULN|689DUR|7RCR|9BPWR|aTBNT
104	22311 34412	5	   	255.30	DCR|4VULN|3DUR|2ASPD	19ASPD|2RCVC|3459VULN|689DUR|7RCR|9BPWR|aBBNT
105	24132 22513	10	   	255.02	DCR|3VULN|1TLV|3ASPD|1DUR|2LIT	127ASPD|37LIT|4MLV|5DUR|679VULN|7BPWR|8TLV|aRCR
106	32212 11166	9	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1ERES|2BELT|3578VULN|4TLV|6CDMG|9DMG|aRCR
107	23323 15522	4	 * 	254.62	DCR|2VULN|2DMG|3TLV|3ASPD|1AART	17aASPD|2FEWX|37aTLV|47VULN|5AART|6RCR|7aBPWR|8ERES|9aDMG
108	25323 15522	4	   	254.62	DCR|2VULN|2DMG|3TLV|3ASPD|1AART	17aASPD|2BEXP|37aTLV|47VULN|5AART|6RCR|7aBPWR|8ERES|9aDMG
109	14123 31624	9	 * 	254.61	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	15CDMG|2DUST|3TLV|45DUR|5BPWR|69VULN|7LIT|8RCR|aDMG
110	14123 31625	10	   	254.61	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	15CDMG|2DUST|3TLV|45DUR|5BPWR|69VULN|7LIT|8RCR|aDMG
111	23323 15144	4	   	254.29	DCR|3VULN|2TLV|1DMG|2ASPD|1AART	17ASPD|2FEWX|37TLV|47aVULN|5AART|6RCR|7BPWR|8BEXP|9DMG
112	23323 15355	4	   	254.19	DCR|3VULN|2TLV|1DMG|2ASPD|1AART	17ASPD|2FEWX|37TLV|47aVULN|5AART|6RCR|7BPWR|8MBVNT|9DMG
113	42312 53633	6	   	253.51	DCR|2VULN|3DMG|1TLV|1DUR	18LWND|2LIT|358DMG|4TLV|6BEXP|78VULN|8BPWR|9RCR|aDUR
114	42312 63633	5	   	253.51	DCR|2VULN|3DMG|1TLV|1DUR	18LWND|2LIT|358DMG|4TLV|6BEXP|78VULN|8BPWR|9RCR|aDUR
115	24311 33363	6	   	253.49	DCR|4VULN|1TLV|2ASPD|1DUR	12ASPD|3456VULN|7RCR|8LEGI|9TLV|aDUR
116	13632 26251	6	 * 	253.45	DCR|2VULN|3DMG|2DUR|2CDMG	17CDMG|2ZMB|37DUR|4aVULN|5ERES|678DMG|7BPWR|9RCR
117	21336 56112	2	   	253.41	DCR|2VULN|3DMG|1TLV|1DUR	1ASPD|24CGEN|348DMG|4BPWR|57VULN|6RCR|9DUR|aTLV
