0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53423 35212	10	 * 	286.22	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1aCDMG|2RMIN|3ASPD|47aVULN|5TLV|6RCR|8DUR|9aDMG|aBPWR
57	26122 32346	2	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aMLV
58	26222 32341	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aFEWX
59	26222 32342	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aCGEN
60	26222 32343	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3aLHND|4RPLT|589VULN|689LIT|7RCR|89BPWR
61	26222 32344	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aLWND
62	26222 32346	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aMLV
63	26252 32341	4	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aFEWX
64	26252 32342	4	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aCGEN
65	26252 32343	4	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3aLHND|4RPLT|589VULN|689LIT|7RCR|89BPWR
66	26322 32341	2	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aFEWX
67	26322 32341	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aFEWX
68	26322 32342	2	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aCGEN
69	26322 32342	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aCGEN
70	26322 32343	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aLHND
71	26322 32343	2	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aLHND
72	26322 32344	2	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aLWND
73	26322 32344	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aLWND
74	26322 32346	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aMLV
75	26322 32346	2	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aMLV
76	26352 32341	4	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aFEWX
77	26352 32342	4	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aCGEN
78	26352 32343	4	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aLHND
79	26622 32341	4	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3RPLT|4LHND|589VULN|689LIT|7RCR|89BPWR|aFEWX
80	26622 32342	4	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3RPLT|4LHND|589VULN|689LIT|7RCR|89BPWR|aCGEN
81	26622 32343	4	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3RPLT|4aLHND|589VULN|689LIT|7RCR|89BPWR
82	26632 32341	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3RPLT|4LHND|589VULN|689LIT|7RCR|89BPWR|aFEWX
83	26632 32342	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3RPLT|4LHND|589VULN|689LIT|7RCR|89BPWR|aCGEN
84	26632 32343	3	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3RPLT|4aLHND|589VULN|689LIT|7RCR|89BPWR
85	54313 31312	10	   	258.86	DCR|3VULN|2DMG|2CDMG|1TLV	1aCDMG|2DUST|38aVULN|4DMSP|5TLV|6RCR|7BEXP|9aDMG|aBPWR
86	54313 35112	10	   	258.86	DCR|3VULN|2DMG|2CDMG|1TLV	1aCDMG|2DUST|37aVULN|4DMSP|5TLV|6RCR|8FEWX|9aDMG|aBPWR
87	26622 32341	3	   	258.78	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3RPLT|4DUST|589VULN|689LIT|7RCR|89BPWR|aFEWX
88	26622 32342	3	   	258.78	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3RPLT|4DUST|589VULN|689LIT|7RCR|89BPWR|aCGEN
89	26622 32343	3	   	258.78	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3RPLT|4DUST|589VULN|689LIT|7RCR|89BPWR|aLHND
90	25122 32345	1	   	258.78	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aERES
91	25322 32345	1	   	258.78	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aERES
92	26122 32345	2	   	258.78	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aERES
93	26222 32345	3	   	258.78	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aERES
94	26322 32345	3	   	258.78	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aERES
95	26322 32345	2	   	258.78	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aERES
96	34613 35112	10	 * 	258.72	DCR|3VULN|2DMG|2TLV|1DUR|1SELL	1RCVC|2aTLV|37aVULN|4SELL|5DUR|6RCR|8FEWX|9aDMG|aBPWR
97	34613 35312	10	 * 	258.72	DCR|3VULN|2DMG|2TLV|1DUR|1SELL	1RCVC|2aTLV|37aVULN|4SELL|5DUR|6RCR|8BEXP|9aDMG|aBPWR
98	32135 72344	7	   	258.71	DCR|4VULN|1DMG|1DUR|2LIT	1RCVC|2DUR|367aVULN|46LIT|5MBVNT|6BPWR|8DMG|9RCR
99	13441 53211	1	 * 	258.44	DCR|4VULN|2DUR|1DMG	1LHND|2379VULN|4DMG|58DUR|6RCR|aCGEN
100	13441 53223	1	   	258.44	DCR|4VULN|2DUR|1DMG	1LHND|237aVULN|4DMG|58DUR|6RCR|9CGEN
101	32111 46263	4	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|27DUR|389aVULN|4RPLT|5DMG|6RCR
102	13441 53212	1	   	258.34	DCR|4VULN|2DUR|1DMG	1LHND|2379VULN|4DMG|58DUR|6RCR|aMBVNT
103	13441 53213	1	   	258.34	DCR|4VULN|2DUR|1DMG	1LHND|2379VULN|4DMG|58DUR|6RCR|aERES
104	12522 43335	9	   	258.34	DCR|4VULN|2DUR|1DMG	1LHND|24DUST|349aVULN|4BPWR|56DUR|7RCR|8DMG
105	32315 21521	4	   	257.87	DCR|2VULN|3DUR|2DMG|1AART	1RCVC|238DUR|48DMG|5LHND|6LIT|78VULN|8BPWR|9RCR|aAART
106	61112 24215	2	   	257.68	DCR|4VULN|2DUR|1ASPD	1ASPD|27DUR|368aVULN|4FEWX|5LIT|9RCR
107	32135 24648	7	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1RCVC|28DUR|37VULN|48LIT|5MBVNT|68DMG|8BPWR|9RCR|aTLV
108	13441 52213	1	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1LHND|238aVULN|4DMG|5DUR|6RCR|7CDMG|9DMSP
109	33141 52263	3	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1RCVC|2LWND|389aVULN|4DMG|5DUR|6RCR|7CDMG
110	33341 52263	2	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1RCVC|2LWND|389aVULN|4DMG|5DUR|6RCR|7CDMG
111	21635 36223	8	 * 	257.23	DCR|4VULN|2TLV|1DMG|1AART	1AART|2BEXP|36TLV|4DMG|589aVULN|7RCR
112	34631 16212	10	 * 	256.26	DCR|3VULN|2DMG|2TLV|1CDMG	1RCVC|2aTLV|37aVULN|4MBVNT|5FEWX|6CDMG|8RCR|9aDMG|aBPWR
