0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61134 12115	3	 * 	269.43	DCR|2VULN|3DUR|2DMG|2CDMG|1AART	1AART|28CDMG|38VULN|458DUR|6TBNT|7RCR|8BPWR|9aDMG
13	32663 62322	2	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	1aCGEN|2FEWX|3aDMG|4TLV|5DUR|67aVULN|8RCVC|9RCR|aBPWR
14	42363 62322	3	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1aDUST|2CGEN|3aDMG|4TLV|5DUR|67aVULN|8RCVC|9RCR|aBPWR
15	61134 12131	2	   	254.69	DCR|2VULN|2DUR|1DMG|2CDMG|2AART	13AART|28CDMG|48DUR|58VULN|6TBNT|7RCR|8BPWR|9DMG|aLIT
16	61653 22232	10	   	253.63	DCR|3VULN|2DMG|2AART|1CDMG	14AART|2CDMG|3CGEN|578VULN|69DMG|aRCR
17	63253 22232	10	   	253.63	DCR|3VULN|2DMG|2AART|1CDMG	14AART|2CGEN|3CDMG|578VULN|69DMG|aRCR
18	33363 23146	9	 * 	253.61	DCR|3VULN|3DUR|1TLV	1CGEN|2DMSP|346DUR|56aVULN|6BPWR|7LIT|8TLV|9RCR
19	41611 33326	1	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	14DUST|2TLV|3DMG|57aVULN|68DUR|9RCR
20	61134 12111	3	   	251.84	DCR|2VULN|3DUR|1DMG|2CDMG|1AART	1AART|28CDMG|38VULN|458DUR|6TBNT|7RCR|8BPWR|9DMG|aFEWX
21	61134 12112	3	   	251.84	DCR|2VULN|3DUR|1DMG|2CDMG|1AART	1AART|28CDMG|38VULN|458DUR|6TBNT|7RCR|8BPWR|9DMG|aLWND
22	61134 12114	3	   	251.84	DCR|2VULN|3DUR|1DMG|2CDMG|1AART	1AART|28CDMG|38VULN|458DUR|6TBNT|7RCR|8BPWR|9DMG|aRPLT
23	61134 12113	3	   	251.74	DCR|2VULN|3DUR|1DMG|2CDMG|1AART	1AART|28CDMG|38VULN|458DUR|6TBNT|7RCR|8BPWR|9DMG|aLEGI
24	61134 12116	3	   	251.74	DCR|2VULN|3DUR|1DMG|2CDMG|1AART	1AART|28CDMG|38VULN|458DUR|6TBNT|7RCR|8BPWR|9DMG|aDUST
25	15221 41332	5	 * 	251.60	DCR|4VULN|3DUR	18BEXP|235DUST|458DUR|58BPWR|6789VULN|aRCR
26	15225 41332	4	   	251.60	DCR|4VULN|3DUR	18BEXP|235DUST|458DUR|58BPWR|6789VULN|aRCR
27	33363 24533	10	   	251.60	DCR|4VULN|3DUR	1CGEN|2DMSP|346DUR|5679VULN|6BPWR|8MBVNT|aRCR
28	61234 12123	2	 * 	251.50	DCR|3VULN|2DUR|3CDMG|1AART	1AART|238CDMG|48DUR|58aVULN|6TBNT|7RCR|8BPWR|9RPLT
29	61334 12123	2	   	251.50	DCR|3VULN|2DUR|3CDMG|1AART	1AART|238CDMG|38BPWR|48DUR|58aVULN|6TBNT|7RCR|9RPLT
30	21624 31263	1	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	17FEWX|2TLV|3DMG|4CDMG|568VULN|9RCR|aDUR
31	62351 31312	1	   	251.09	DCR|2VULN|2DMG|2DUR|2LIT|1AART	1AART|28LIT|38DMG|45DUR|6DUST|78VULN|8BPWR|9RPLT|aRCR
32	62351 31363	1	   	251.09	DCR|2VULN|2DMG|2DUR|2LIT|1AART	1AART|28LIT|38DMG|45DUR|6DUST|78VULN|8BPWR|9RCR|aCGEN
33	61143 12136	5	 * 	250.94	DCR|3VULN|1DMG|2CDMG|1TLV|1AART	1AART|28CDMG|358VULN|48LWND|6TBNT|7RCR|8BPWR|9DMG|aTLV
34	52322 31622	7	   	249.38	DCR|4VULN|2DUR|1ASPD	1aERES|2FEWX|3aDUR|4ASPD|5CGEN|678aVULN|9RCR|aBPWR
35	33363 24334	7	 * 	249.12	DCR|3VULN|3DUR|1DMG	1CGEN|2DMSP|346DUR|567VULN|6BPWR|8FEWX|9DMG|aRCR
36	11353 33361	2	 * 	249.12	DCR|3VULN|3DUR|2CDMG	18BEXP|2LWND|38aVULN|467DUR|58CDMG|8BPWR|9RCR
37	11423 33361	3	   	249.12	DCR|3VULN|3DUR|2CDMG	18BEXP|2LWND|38CDMG|467DUR|58aVULN|8BPWR|9RCR
38	11441 33361	5	   	249.12	DCR|3VULN|3DUR|2CDMG	18BEXP|2LWND|38CDMG|48aVULN|567DUR|8BPWR|9RCR
39	21333 33361	2	   	249.12	DCR|3VULN|3DUR|2CDMG	18FEWX|2LWND|38aVULN|467DUR|58CDMG|8BPWR|9RCR
40	21423 33361	3	   	249.12	DCR|3VULN|3DUR|2CDMG	18FEWX|2LWND|38CDMG|467DUR|58aVULN|8BPWR|9RCR
41	21441 33361	5	   	249.12	DCR|3VULN|3DUR|2CDMG	18FEWX|2LWND|38CDMG|48aVULN|567DUR|8BPWR|9RCR
42	52312 33622	7	   	249.02	DCR|3VULN|3DUR|1DMG	1aERES|2FEWX|37aDUR|4DMG|5CGEN|68aVULN|9RCR|aBPWR
43	61232 31363	3	 * 	248.98	ACR|3VULN|3DUR|3CDMG|1TLV|1AART	1AART|29aCDMG|3RCR|49aDUR|5TLV|6CGEN|7BELT|89aVULN|9aBPWR
44	41333 33361	2	   	248.92	DCR|3VULN|3DUR|2CDMG	18DUST|2LWND|38aVULN|467DUR|58CDMG|8BPWR|9RCR
45	41423 33361	3	   	248.92	DCR|3VULN|3DUR|2CDMG	18DUST|2LWND|38CDMG|467DUR|58aVULN|8BPWR|9RCR
46	61234 12153	2	 * 	248.82	DCR|2VULN|3DUR|3CDMG|1ASPD|1AART	1AART|238CDMG|48aDUR|58VULN|6TBNT|7RCR|8BPWR|9ASPD
47	61334 12153	2	   	248.82	DCR|2VULN|3DUR|3CDMG|1ASPD|1AART	1AART|238CDMG|38BPWR|48aDUR|58VULN|6TBNT|7RCR|9ASPD
48	61134 12135	3	   	248.02	DCR|2VULN|3DUR|2CDMG|1TLV|1AART	1AART|28CDMG|38VULN|458DUR|6TBNT|7RCR|8BPWR|9BELT|aTLV
49	61361 43122	9	   	248.02	DCR|2VULN|3DUR|2CDMG|1TLV|1AART	1AART|28CDMG|3TLV|4LEGI|578DUR|68VULN|8BPWR|9RMIN|aRCR
50	21116 62111	10	   	247.11	DCR|3VULN|2DMG|1DUR	1FEWX|2LWND|3DUR|49DMG|5LIT|678VULN|aRCR
51	33412 63411	1	   	247.10	DCR|4VULN|1TLV|1CDMG|1AART	15CGEN|2579VULN|3TBNT|4AART|5BPWR|6TLV|8RCR|aCDMG
52	24116 62111	10	   	247.01	DCR|3VULN|2DMG|1DUR	1FEWX|2LEGI|3DUR|49DMG|5LIT|678VULN|aRCR
53	25116 62111	10	   	247.01	DCR|3VULN|2DMG|1DUR	1FEWX|2DUST|3DUR|49DMG|5LIT|678VULN|aRCR
54	41116 62111	10	   	247.01	DCR|3VULN|2DMG|1DUR	1DUST|2LWND|3DUR|49DMG|5LIT|678VULN|aRCR
55	61434 12131	2	   	246.92	DCR|2VULN|2DUR|1DMG|2CDMG|1AART	1AART|28CDMG|3DMSP|48DUR|58VULN|6TBNT|7RCR|8BPWR|9DMG|aLIT
56	14323 35253	2	 * 	246.90	DCR|5VULN|2TLV|1SELL	18BEXP|2LEGI|35689VULN|4SELL|78TLV|8BPWR|aRCR
57	33363 23145	10	   	246.77	DCR|2VULN|3DUR|1DMG|1TLV	1CGEN|2DMSP|346DUR|56VULN|6BPWR|7LIT|8TLV|9RCR|aDMG
58	53363 22351	8	   	246.77	DCR|2VULN|3DUR|1DMG|1CDMG|1ASPD	1ERES|2DMSP|346DUR|56VULN|6BPWR|7DMG|8CDMG|9RCR|aASPD
59	33613 16324	1	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD	1CGEN|267VULN|3DMG|4DUST|58DUR|9RCR|aASPD
60	33216 16324	1	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD	1CGEN|247VULN|3LEGI|58DUR|6DMG|9RCR|aASPD
61	53113 34611	1	   	246.57	DCR|2VULN|3DUR|1DMG|1TLV	139ERES|29VULN|4LIT|5TLV|679DUR|8RCR|9BPWR|aDMG
62	32232 15232	1	 * 	246.55	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	1CGEN|2aASPD|3ZMB|4RCVC|5DMG|6aDUR|7TLV|8RCR|9aVULN|aBPWR
63	32262 15232	1	   	246.55	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	14CGEN|2aASPD|3ZMB|5DMG|6aDUR|7TLV|8RCR|9aVULN|aBPWR
64	61134 12132	2	   	246.38	DCR|2VULN|2DUR|1DMG|2CDMG|2AART	13AART|28CDMG|48DUR|58VULN|6TBNT|7RCR|8BPWR|9DMG|aLHND
65	61134 12133	2	   	246.38	DCR|2VULN|2DUR|1DMG|2CDMG|2AART	13AART|28CDMG|48DUR|58VULN|6TBNT|7RCR|8BPWR|9DMG|aZMB
66	61134 12134	2	   	246.38	DCR|2VULN|2DUR|1DMG|2CDMG|2AART	13AART|28CDMG|48DUR|58VULN|6TBNT|7RCR|8BPWR|9DMG|aFEWX
67	61134 12136	2	   	246.38	DCR|2VULN|2DUR|1DMG|2CDMG|2AART	13AART|28CDMG|48DUR|58VULN|6TBNT|7RCR|8BPWR|9DMG|aLWND
68	61134 12128	2	   	246.28	DCR|2VULN|2DUR|1DMG|2CDMG|2AART	13AART|28CDMG|48DUR|58VULN|6TBNT|7RCR|8BPWR|9MBVNT|aDMG
69	21624 31261	1	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	17FEWX|2TLV|3DMG|4CDMG|568VULN|9RCR|aASPD
70	31145 34133	8	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1CGEN|2RPLT|3DMG|459VULN|6ASPD|7RCR|8TLV|aCDMG
71	33225 13252	8	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1CGEN|2DMSP|3TLV|4ASPD|5DMG|6CDMG|7RCR|89aVULN
72	33225 13252	7	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1CGEN|2DMSP|3TLV|4ASPD|5DMG|6CDMG|7RCR|89aVULN
73	36225 13252	7	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	12CGEN|3TLV|4ASPD|5DMG|6CDMG|7RCR|89aVULN
74	36225 13252	8	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	12CGEN|3TLV|4ASPD|5DMG|6CDMG|7RCR|89aVULN
75	61111 62613	7	   	245.83	DCR|3VULN|2CDMG|1DUR|2LIT|1AART	1AART|29CDMG|39aVULN|4ZMB|5DUR|6RPLT|79LIT|8RCR|9BPWR
76	53225 13252	7	   	245.76	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1ERES|2DMSP|3TLV|4ASPD|5DMG|6CDMG|7RCR|89aVULN
77	53225 13352	8	   	245.76	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1ERES|2DMSP|3TLV|4ASPD|5DMG|6CDMG|7RCR|89aVULN
78	61143 12161	5	 * 	245.57	DCR|4VULN|2CDMG|1AART	1AART|28CDMG|358aVULN|48LWND|6TBNT|7RCR|8BPWR|9LIT
79	62261 43112	8	   	245.52	DCR|2VULN|3DUR|1DMG|1CDMG|1AART	1AART|28MLV|3CDMG|4LEGI|578DUR|68VULN|8BPWR|9DMG|aRCR
80	63261 43112	8	   	245.52	DCR|2VULN|3DUR|1DMG|1CDMG|1AART	1AART|28CGEN|3CDMG|4LEGI|578DUR|68VULN|8BPWR|9DMG|aRCR
81	33613 16322	1	   	245.36	DCR|3VULN|2DUR|1DMG|1AART	1CGEN|267VULN|3DMG|4DUST|58DUR|9RCR|aAART
82	33216 16322	1	   	245.36	DCR|3VULN|2DUR|1DMG|1AART	1CGEN|247VULN|3LEGI|58DUR|6DMG|9RCR|aAART
83	61461 33214	7	   	244.67	DCR|2VULN|2DMG|2CDMG|1ASPD|1AART	1AART|2aCDMG|3LIT|4aVULN|5ASPD|6MBVNT|7FEWX|8aDMG|9RCR|aBPWR
84	62312 43225	1	   	244.64	DCR|2VULN|2DMG|2DUR|1AART	1AART|2LIT|3aDMG|4LWND|5FEWX|6aVULN|7BEXP|8RCR|9aDUR|aBPWR
85	61131 36814	7	   	244.57	DCR|2VULN|2DMG|2CDMG|1ASPD|1AART	1AART|2aCDMG|3aVULN|4LIT|5ASPD|6MBVNT|7aDMG|8LEGI|9RCR|aBPWR
86	62121 16363	6	   	244.35	DCR|4VULN|1DUR|1ASPD|1AART	1AART|2MLV|368aVULN|4DUST|5ASPD|7RCR|9DUR
87	21116 62121	10	   	244.10	DCR|3VULN|2DUR|1DMG	1FEWX|2LWND|39DUR|4DMG|5LIT|678VULN|aRCR
88	24116 62121	10	   	244.00	DCR|3VULN|2DUR|1DMG	1FEWX|2LEGI|39DUR|4DMG|5LIT|678VULN|aRCR
89	25116 62121	10	   	244.00	DCR|3VULN|2DUR|1DMG	1FEWX|2DUST|39DUR|4DMG|5LIT|678VULN|aRCR
90	33613 16321	1	   	244.00	DCR|3VULN|2DUR|1DMG	1CGEN|267VULN|3DMG|4DUST|58DUR|9RCR|aLIT
91	41116 62121	10	   	244.00	DCR|3VULN|2DUR|1DMG	1DUST|2LWND|39DUR|4DMG|5LIT|678VULN|aRCR
92	33216 16321	1	   	244.00	DCR|3VULN|2DUR|1DMG	1CGEN|247VULN|3LEGI|58DUR|6DMG|9RCR|aLIT
93	22126 31622	7	   	243.85	DCR|4VULN|1DMG|1DUR	1aFEWX|2CGEN|3aERES|4DUR|5DMG|678aVULN|9RCR|aBPWR
94	32126 31622	7	   	243.85	DCR|4VULN|1DMG|1DUR	1aCGEN|2FEWX|3aERES|4DUR|5DMG|678aVULN|9RCR|aBPWR
95	33556 32122	1	 * 	243.61	DCR|4VULN|2ASPD|2LIT	1CGEN|2489VULN|37LIT|56ASPD|aRCR
96	61133 66213	5	   	243.24	DCR|3DUR|1VULN|1DMG|2CDMG|1TLV|1AART	1AART|26CDMG|3VULN|4LIT|569DUR|6BPWR|7TLV|8DMG|aRCR
97	35131 16334	8	 * 	243.23	DCR|5VULN|1DUR	1CGEN|2DUR|3ERES|46789VULN|5LWND|aRCR
98	35423 13124	8	   	243.10	DCR|4VULN|1DUR|1ASPD	1CGEN|2DUR|3LWND|4ASPD|569aVULN|7LIT|8RCR
99	31145 34212	10	   	243.06	DCR|2VULN|2DMG|2CDMG|1DUR|1ASPD	19CGEN|2RPLT|39DMG|45VULN|6ASPD|7RCR|89CDMG|9BPWR|aDUR
100	31145 34213	10	   	243.06	DCR|2VULN|2DMG|2CDMG|1TLV|1ASPD	19CGEN|2RPLT|39DMG|45VULN|6ASPD|7RCR|89CDMG|9BPWR|aTLV
101	61143 12131	5	   	242.99	DCR|3VULN|1DMG|2CDMG|1AART	1AART|28CDMG|358VULN|48LWND|6TBNT|7RCR|8BPWR|9DMG|aLIT
102	61155 12131	3	   	242.99	DCR|3VULN|1DMG|2CDMG|1AART	1AART|28CDMG|358VULN|4TBNT|68BEXP|7RCR|8BPWR|9DMG|aLIT
103	65143 12131	5	   	242.99	DCR|3VULN|1DMG|2CDMG|1AART	1AART|28FEWX|358VULN|48CDMG|6TBNT|7RCR|8BPWR|9DMG|aLIT
104	66143 12131	5	   	242.99	DCR|3VULN|1DMG|2CDMG|1AART	1AART|28BEXP|358VULN|48CDMG|6TBNT|7RCR|8BPWR|9DMG|aLIT
105	13132 13312	8	   	242.92	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2BELT|3aDMG|4LHND|5TLV|6aVULN|7LWND|8RCR|9aDUR|aBPWR
106	13146 13312	8	   	242.92	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2BELT|3aDMG|4TLV|5LHND|6aVULN|7LWND|8RCR|9aDUR|aBPWR
107	13132 63342	9	   	242.92	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2BELT|3aDMG|4LHND|5TLV|6aDUR|7LWND|8RCR|9aVULN|aBPWR
108	13132 63352	8	   	242.92	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2BELT|3aDMG|4LHND|5TLV|6aDUR|7LWND|8RCR|9aVULN|aBPWR
109	43142 13332	8	   	242.82	DCR|2VULN|2DMG|2DUR|1TLV	1DUST|2BELT|3aDMG|4TLV|5BEXP|6aVULN|7LWND|8RCR|9aDUR|aBPWR
110	43142 15332	8	   	242.82	DCR|2VULN|2DMG|2DUR|1TLV	1DUST|2BELT|3aDMG|4TLV|5BEXP|6aVULN|7LHND|8RCR|9aDUR|aBPWR
111	33363 24343	10	   	242.71	DCR|3VULN|3DUR|1CDMG	1CGEN|2DMSP|346DUR|567VULN|6BPWR|8BELT|9RCR|aCDMG
112	53611 11622	1	 * 	242.03	DCR|2VULN|3DMG|2DUR	1aERES|28VULN|36aDMG|4DUST|5CGEN|7aDUR|9RCR|aBPWR
113	23133 36434	3	   	241.99	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1FEWX|2BELT|3aDMG|4CDMG|5TLV|6aCGEN|7DUR|8RCR|9aVULN|aBPWR
114	65132 16211	6	   	241.88	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	1AART|2FEWX|356VULN|4LHND|7RCR|8DMG|9DUR|aASPD
115	13141 11443	7	   	241.79	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BEXP|2BELT|38DMG|4TLV|5DUR|6aVULN|7CDMG|9RCR
116	62321 11361	1	   	241.61	DCR|2VULN|2DMG|3LIT|1DUR|1AART	1AART|28aLIT|38DMG|4BEXP|5DUR|6DMSP|78VULN|8BPWR|9RCR
117	61113 26141	6	   	241.61	DCR|2VULN|2DMG|2CDMG|1DUR|1AART	1AART|28CDMG|38VULN|4ZMB|5BEXP|68DMG|7TBNT|8BPWR|9RCR|aDUR
118	61113 63141	5	   	241.61	DCR|2VULN|2DMG|2CDMG|1DUR|1AART	1AART|28CDMG|38VULN|4ZMB|5BEXP|6BBNT|78DMG|8BPWR|9RCR|aDUR
119	61112 63141	4	   	241.51	DCR|2VULN|2DMG|2CDMG|1DUR|1AART	1AART|28CDMG|38VULN|4ZMB|5DUST|6BBNT|78DMG|8BPWR|9RCR|aDUR
120	11661 33226	1	 * 	241.17	DCR|3VULN|2TLV|1DMG|1DUR	18BEXP|24TLV|3DMG|57aVULN|6DUR|9RCR
121	61161 42211	7	   	240.61	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1AART|2CDMG|379VULN|4ERES|5DUR|6TLV|8RCR|aBEXP
122	61161 42212	7	   	240.61	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1AART|2CDMG|379VULN|4ERES|5DUR|6TLV|8RCR|aLWND
123	61161 42213	7	   	240.61	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1AART|2CDMG|379VULN|4ERES|5DUR|6TLV|8RCR|aFEWX
124	61162 12211	7	   	240.61	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1AART|2CDMG|379VULN|4ERES|5TLV|6DUR|8RCR|aBEXP
125	61162 12212	7	   	240.61	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1AART|2CDMG|379VULN|4ERES|5TLV|6DUR|8RCR|aLWND
126	61162 12213	7	   	240.61	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1AART|2CDMG|379VULN|4ERES|5TLV|6DUR|8RCR|aFEWX
127	61162 12214	7	   	240.61	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1AART|2CDMG|379VULN|4ERES|5TLV|6DUR|8RCR|aCGEN
128	61162 12216	7	   	240.61	DCR|3VULN|1DUR|1TLV|1CDMG|1AART	1AART|2CDMG|379VULN|4ERES|5TLV|6DUR|8RCR|aLHND
129	61162 12215	7	   	240.51	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1AART|2CDMG|379VULN|4ERES|5TLV|6DUR|8RCR|aTBNT
130	65143 33313	9	   	240.48	DCR|3VULN|2CDMG|2LIT|1ASPD|1AART	1AART|2FEWX|356VULN|46CDMG|6BPWR|79LIT|8ASPD|aRCR
131	66143 33313	9	   	240.48	DCR|3VULN|2CDMG|2LIT|1ASPD|1AART	1AART|2BEXP|356VULN|46CDMG|6BPWR|79LIT|8ASPD|aRCR
132	61134 12421	3	   	240.40	DCR|2VULN|2DUR|1DMG|1CDMG|1AART	1AART|2CDMG|39VULN|45DUR|6TBNT|7RCR|8DMG|aLIT
133	61134 12432	3	   	240.40	DCR|2VULN|2DUR|1DMG|1CDMG|1AART	1AART|2CDMG|3aVULN|45DUR|6TBNT|7RCR|8DMG|9LIT
134	31345 33611	7	   	240.39	DCR|3VULN|3ASPD|1DUR	17CGEN|2RPLT|367ASPD|457VULN|7BPWR|8RCR|9LIT|aDUR
135	33363 25334	9	   	240.06	DCR|3VULN|3DUR|1ASPD	1CGEN|2DMSP|346DUR|569VULN|6BPWR|7FEWX|8ASPD|aRCR
136	33222 11232	4	 * 	240.05	DCR|2VULN|2DUR|2TLV|1DMG|1ASPD	1CGEN|2DMSP|3aTLV|4ASPD|5DMG|6aDUR|7ZMB|8RCR|9aVULN|aBPWR
137	33225 11232	5	   	240.05	DCR|2VULN|2DUR|2TLV|1DMG|1ASPD	1CGEN|2DMSP|3aTLV|4ASPD|5DMG|6aDUR|7ZMB|8RCR|9aVULN|aBPWR
138	36222 11232	4	   	240.05	DCR|2VULN|2DUR|2TLV|1DMG|1ASPD	12CGEN|3aTLV|4ASPD|5DMG|6aDUR|7ZMB|8RCR|9aVULN|aBPWR
139	36225 11232	5	   	240.05	DCR|2VULN|2DUR|2TLV|1DMG|1ASPD	12CGEN|3aTLV|4ASPD|5DMG|6aDUR|7ZMB|8RCR|9aVULN|aBPWR
140	52322 33622	7	   	239.96	DCR|3VULN|3DUR|1ASPD	1aERES|2FEWX|37aDUR|4ASPD|5CGEN|68aVULN|9RCR|aBPWR
141	33363 22164	7	   	239.80	DCR|2VULN|3DUR|2DMG	1CGEN|2DMSP|346DUR|56VULN|6BPWR|79DMG|8BEXP|aRCR
142	33363 22364	7	   	239.80	DCR|2VULN|3DUR|2DMG	1CGEN|2DMSP|346DUR|56VULN|6BPWR|79DMG|8LHND|aRCR
143	33363 22434	9	   	239.80	DCR|2VULN|3DUR|2DMG	1CGEN|2DMSP|346DUR|56VULN|6BPWR|79DMG|8LWND|aRCR
144	33363 22534	9	   	239.80	DCR|2VULN|3DUR|2DMG	1CGEN|2DMSP|346DUR|56VULN|6BPWR|79DMG|8LHND|aRCR
145	53363 22234	9	   	239.70	DCR|2VULN|3DUR|2DMG	1ERES|2DMSP|346DUR|56VULN|6BPWR|79DMG|8FEWX|aRCR
146	52111 21511	1	 * 	239.52	DCR|2VULN|3ASPD|2DUR|1DMG	134ERES|278ASPD|57VULN|67DUR|7BPWR|9DMG|aRCR
147	61134 12121	2	   	239.45	DCR|2VULN|3DUR|2CDMG|2AART	13AART|28CDMG|48aDUR|58VULN|6TBNT|7RCR|8BPWR|9MBVNT
148	61134 12251	2	   	239.45	DCR|2VULN|3DUR|2CDMG|2AART	13AART|29CDMG|49aDUR|59VULN|6TBNT|7RCR|8LEGI|9BPWR
