0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32334 11156	2	 * 	284.02	DCR|5VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|4589aVULN|5BPWR|6RCR|7DUR
24	33124 53311	4	 * 	271.36	DCR|3VULN|3DMG|3DUR|1SELL	1RPLT|278VULN|378DMG|478DUR|5SELL|6TBNT|78BPWR|9LWND|aRCR
25	33124 53326	4	 * 	271.36	DCR|3VULN|3DMG|3DUR|1SELL	1RPLT|278VULN|378DMG|478DUR|5SELL|6TBNT|78BPWR|9CGEN|aRCR
26	33124 53331	4	 * 	271.36	DCR|3VULN|3DMG|3DUR|1SELL	1RPLT|278VULN|378DMG|478DUR|5SELL|6TBNT|78BPWR|9FEWX|aRCR
27	33124 53341	4	 * 	271.36	DCR|3VULN|3DMG|3DUR|1SELL	1RPLT|278VULN|378DMG|478DUR|5SELL|6TBNT|78BPWR|9BEXP|aRCR
28	32634 11112	1	 * 	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1RPLT|2TLV|35aDMG|458VULN|5BPWR|6RCR|7DUR|9BELT
29	32634 11332	1	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1RPLT|2TLV|35aDMG|459VULN|5BPWR|6RCR|7DUR|8BELT
30	33364 42215	5	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1RPLT|279VULN|37LIT|47DMG|5MBVNT|6RCR|7BPWR|8DUR|aTLV
31	32634 11113	1	 * 	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2TLV|35DMG|458VULN|5BPWR|6RCR|7aDUR|9BELT
32	32634 11141	1	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2TLV|35DMG|458VULN|5BPWR|6RCR|79DUR|aRMIN
33	32634 11142	1	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2TLV|35DMG|458VULN|5BPWR|6RCR|79DUR|aDMSP
34	32634 11143	1	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2TLV|35DMG|458VULN|5BPWR|6RCR|79DUR|aBEXP
35	32634 11333	1	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2TLV|35DMG|459VULN|5BPWR|6RCR|7aDUR|8BELT
36	32634 31151	1	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2TLV|35DMG|458VULN|5BPWR|6LWND|79DUR|aRCR
37	32111 11456	5	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|23DMG|47DUR|5TLV|6RCR|89aVULN
38	32125 11146	4	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|23DMG|48aVULN|5TLV|6RCR|79DUR
39	32634 13152	1	   	268.60	DCR|4VULN|2DMG|1TLV|1AART	1RPLT|2TLV|35DMG|4589VULN|5BPWR|6RCR|7LWND|aAART
40	32123 31332	8	 * 	267.86	DCR|2VULN|3DMG|2TLV|2DUR	1RPLT|237DMG|4aVULN|5RCVC|6aDUR|8RCR|9aTLV|aBPWR
41	25114 22235	4	   	267.79	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CGEN|2RPLT|35DMG|457VULN|5BPWR|6CDMG|8DUR|9RCR|aTLV
42	25134 22235	3	   	267.79	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CGEN|2RPLT|35DMG|457VULN|5BPWR|6CDMG|8DUR|9RCR|aTLV
43	31114 11166	4	   	267.79	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RPLT|2CGEN|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aCDMG
44	31114 22235	4	   	267.79	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RPLT|2CGEN|35DMG|457VULN|5BPWR|6CDMG|8DUR|9RCR|aTLV
45	31134 11166	3	   	267.79	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RPLT|2CGEN|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aCDMG
46	31134 22235	3	   	267.79	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RPLT|2CGEN|35DMG|457VULN|5BPWR|6CDMG|8DUR|9RCR|aTLV
47	31634 22235	2	   	267.79	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RPLT|2CGEN|35DMG|457VULN|5BPWR|6CDMG|8DUR|9RCR|aTLV
48	32334 13156	2	   	267.77	DCR|5VULN|2TLV|1DMG	1RPLT|2DMG|35TLV|4589aVULN|5BPWR|6RCR|7LWND
49	32535 21335	2	 * 	267.73	DCR|3DMG|1VULN|2TLV|2DUR|2CDMG|1AART	1RPLT|248DMG|34DUR|48BPWR|58TLV|68CDMG|7RCR|9VULN|aAART
50	32634 12233	1	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RPLT|2TLV|35DMG|459VULN|5BPWR|6RCR|7CDMG|8TBNT|aDUR
51	32634 21233	1	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RPLT|2TLV|35DMG|459VULN|5BPWR|6CDMG|7RCR|8TBNT|aDUR
52	32634 11123	1	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RPLT|2TLV|35DMG|458VULN|5BPWR|6RCR|7DUR|9BBNT|aCDMG
53	32634 11133	1	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RPLT|2TLV|35DMG|458VULN|5BPWR|6RCR|7DUR|9TBNT|aCDMG
54	33133 14145	5	   	267.39	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	1RPLT|25aVULN|3DMG|4aASPD|6RCR|7TLV|8CGEN|9aDUR|aBPWR
55	31114 11156	4	 * 	267.33	DCR|5VULN|2DMG|1DUR	1RPLT|2CGEN|35DMG|4589aVULN|5BPWR|6RCR|7DUR
56	31134 11156	3	   	267.33	DCR|5VULN|2DMG|1DUR	1RPLT|2CGEN|35DMG|4589aVULN|5BPWR|6RCR|7DUR
57	63123 68113	2	   	266.67	DCR|2VULN|3DUR|2DMG|1TLV|1AART|1SELL	1SELL|29VULN|3AART|4TLV|59DMG|6MBVNT|7RCR|89aDUR|9BPWR
58	32535 22531	2	   	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RPLT|24DMG|34DUR|4BPWR|5TLV|6CDMG|79VULN|8RCR|aLIT
59	32334 11116	2	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|458aVULN|5BPWR|6RCR|7DUR|9BELT
60	32334 11151	2	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|4589VULN|5BPWR|6RCR|7DUR|aRMIN
61	32334 11152	2	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|4589VULN|5BPWR|6RCR|7DUR|aDMSP
62	32334 11153	2	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|4589VULN|5BPWR|6RCR|7DUR|aBEXP
63	32334 11154	2	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|4589VULN|5BPWR|6RCR|7DUR|aLHND
64	32334 11155	2	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|4589VULN|5BPWR|6RCR|7DUR|aRCVC
65	32334 11336	2	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|459aVULN|5BPWR|6RCR|7DUR|8BELT
66	32334 13143	2	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|458aVULN|5BPWR|6RCR|7LWND|9DUR
67	32334 15143	2	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|458aVULN|5BPWR|6RCR|7LHND|9DUR
68	32334 51151	2	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|4589VULN|5BPWR|6BEXP|7DUR|aRCR
69	32334 11166	2	 * 	265.58	DCR|4VULN|3TLV|1DMG|1DUR	1RPLT|2DMG|359TLV|458aVULN|5BPWR|6RCR|7DUR
70	32335 11156	2	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|489aVULN|6RCR|7DUR
71	53325 15212	10	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	1RMIN|24DMG|347DUR|4BPWR|59VULN|6LIT|8RCR|aTLV
72	32535 32231	2	 * 	265.34	DCR|2VULN|3DUR|2DMG|2TLV	1RPLT|24DMG|346DUR|46BPWR|56TLV|7TBNT|8aVULN|9RCR
73	45253 13313	1	 * 	265.25	DCR|4VULN|3DUR|1TLV	138DUR|2DMSP|38BPWR|4578VULN|6BBNT|9TLV|aRCR
74	53111 41313	3	 * 	265.16	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	1RMIN|258DMG|38VULN|48CDMG|6RPLT|7RCR|8BPWR|9DUR|aTLV
75	33133 12362	5	 * 	265.03	DCR|4VULN|3CDMG|3ASPD|1DMG	1RPLT|258aVULN|3DMG|48aASPD|6RCR|78aCDMG|8aBPWR|9RCVC
76	32334 15511	2	 * 	264.14	DCR|3VULN|2DMG|2TLV|1AART	1RPLT|29DMG|35TLV|459VULN|59BPWR|6RCR|79LHND|8AART|aLIT
77	53114 41312	3	 * 	264.09	DCR|3VULN|2DMG|1TLV|3CDMG	1RMIN|28DMG|358VULN|458CDMG|58BPWR|6RPLT|7RCR|9RCVC|aTLV
78	53325 15211	10	 * 	264.05	DCR|3VULN|3DUR|2DMG	1RMIN|24DMG|347DUR|4BPWR|59aVULN|6LIT|8RCR
79	25114 11162	4	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1CGEN|2RPLT|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aAART
80	25134 11162	3	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1CGEN|2RPLT|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aAART
81	31114 11162	4	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1RPLT|2CGEN|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aAART
82	31134 11162	3	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1RPLT|2CGEN|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aAART
83	31634 11162	2	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1RPLT|2CGEN|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aAART
84	35134 11162	3	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1RPLT|2MLV|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aAART
85	31114 11146	4	 * 	263.57	DCR|4VULN|2DMG|2DUR	1RPLT|2CGEN|35DMG|458aVULN|5BPWR|6RCR|79DUR
86	31134 11146	3	   	263.57	DCR|4VULN|2DMG|2DUR	1RPLT|2CGEN|35DMG|458aVULN|5BPWR|6RCR|79DUR
87	25113 43121	5	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|2RPLT|36DMG|456VULN|6BPWR|7TLV|8DUR|9ASPD|aRCR
88	25114 11161	4	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|2RPLT|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aASPD
89	25134 11161	3	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|2RPLT|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aASPD
90	31113 43121	5	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1RPLT|2CGEN|36DMG|456VULN|6BPWR|7TLV|8DUR|9ASPD|aRCR
91	31114 11161	4	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1RPLT|2CGEN|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aASPD
92	31134 11161	3	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1RPLT|2CGEN|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aASPD
93	31634 11161	2	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1RPLT|2CGEN|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aASPD
94	32634 11115	1	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1RPLT|2TLV|35DMG|458VULN|5BPWR|6RCR|7DUR|9BELT|aLIT
95	32634 11335	1	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1RPLT|2TLV|35DMG|459VULN|5BPWR|6RCR|7DUR|8BELT|aLIT
96	35134 11161	3	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1RPLT|2MLV|35DMG|458VULN|5BPWR|6RCR|7DUR|9TLV|aASPD
97	32334 11412	2	   	262.42	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|2aDMG|35TLV|45aVULN|5aBPWR|6RCR|7DUR|8LHND|9aFEWX
98	32334 11462	2	   	262.42	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|2aDMG|35TLV|45aVULN|5aBPWR|6RCR|7DUR|8LHND|9aLWND
99	32634 11412	1	   	262.42	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|2aTLV|35DMG|45aVULN|5aBPWR|6RCR|7DUR|8LHND|9aFEWX
100	32634 11124	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1RPLT|2TLV|35DMG|458VULN|5BPWR|6RCR|7DUR|9BBNT|aLIT
101	32634 11134	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1RPLT|2TLV|35DMG|458VULN|5BPWR|6RCR|7DUR|9TBNT|aLIT
102	32334 11262	2	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|2aDMG|35TLV|45aVULN|5aBPWR|6RCR|7DUR|8DUST|9aLWND
103	32634 11262	1	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|2aTLV|35DMG|45aVULN|5aBPWR|6RCR|7DUR|8DUST|9aLWND
104	51112 63521	3	   	262.27	DCR|3VULN|3DUR|3CDMG|1AART	1RMIN|278VULN|3ASPD|478CDMG|5BBNT|678DUR|78BPWR|9AART|aRCR
105	32334 11112	2	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|2aDMG|35TLV|458VULN|5BPWR|6RCR|7DUR|9BELT
106	32334 11332	2	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|2aDMG|35TLV|459VULN|5BPWR|6RCR|7DUR|8BELT
107	32334 14523	2	 * 	262.22	DCR|3VULN|2DMG|3TLV|1DUR	1RPLT|28DMG|357TLV|458VULN|58BPWR|6RCR|9CGEN|aDUR
108	32634 11161	1	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|29TLV|35DMG|458VULN|5BPWR|6RCR|7DUR|aRMIN
109	32634 11162	1	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|29TLV|35DMG|458VULN|5BPWR|6RCR|7DUR|aDMSP
110	32634 11163	1	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|29TLV|35DMG|458VULN|5BPWR|6RCR|7DUR|aBEXP
111	32125 11166	4	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|23DMG|48aVULN|59TLV|6RCR|7DUR
112	32334 14223	2	   	262.12	DCR|3VULN|2DMG|3TLV|2ASPD	1RPLT|2aDMG|357TLV|45aVULN|5aBPWR|6RCR|8TBNT|9aASPD
113	32334 14533	2	   	262.12	DCR|3VULN|2DMG|3TLV|1DUR	1RPLT|28DMG|357TLV|458VULN|58BPWR|6RCR|9ERES|aDUR
114	32435 12362	2	   	261.95	DCR|3VULN|3DMG|3CDMG	1RPLT|28aDMG|3ASPD|48aVULN|59RCVC|6RCR|78aCDMG|8aBPWR
115	35134 14313	3	 * 	261.82	DCR|3VULN|3DMG|2TLV	1RPLT|2aMLV|358DMG|45aVULN|5aBPWR|6RCR|7aTLV|9BELT
116	63123 68111	2	   	261.75	DCR|2VULN|2DMG|2DUR|1TLV|1AART|1SELL	1SELL|29VULN|3AART|4TLV|59DMG|6MBVNT|7RCR|89DUR|9BPWR|aLIT
117	32125 41121	4	   	261.62	DCR|3VULN|3DMG|2TLV	1RPLT|237DMG|468VULN|56TLV|6BPWR|9RCR|aLHND
118	32125 41122	4	   	261.62	DCR|3VULN|3DMG|2TLV	1RPLT|237DMG|468VULN|56TLV|6BPWR|9RCR|aLWND
119	32125 41124	4	   	261.62	DCR|3VULN|3DMG|2TLV	1RPLT|237DMG|468VULN|56TLV|6BPWR|9RCR|aCGEN
120	32634 61121	1	   	261.62	DCR|3VULN|3DMG|2TLV	1RPLT|26TLV|357DMG|458VULN|5BPWR|9RCR|aLHND
121	32634 61122	1	   	261.62	DCR|3VULN|3DMG|2TLV	1RPLT|26TLV|357DMG|458VULN|5BPWR|9RCR|aLWND
122	32635 41121	1	   	261.62	DCR|3VULN|3DMG|2TLV	1RPLT|25TLV|367DMG|468VULN|6BPWR|9RCR|aLHND
123	32635 41122	1	   	261.62	DCR|3VULN|3DMG|2TLV	1RPLT|25TLV|367DMG|468VULN|6BPWR|9RCR|aLWND
124	32125 41123	4	   	261.52	DCR|3VULN|3DMG|2TLV	1RPLT|237DMG|468VULN|56TLV|6BPWR|9RCR|aDUST
125	32634 61123	1	   	261.52	DCR|3VULN|3DMG|2TLV	1RPLT|26TLV|357DMG|458VULN|5BPWR|9RCR|aDUST
126	32635 41123	1	   	261.52	DCR|3VULN|3DMG|2TLV	1RPLT|25TLV|367DMG|468VULN|6BPWR|9RCR|aDUST
127	51153 12612	9	 * 	260.78	DCR|3VULN|3DMG|3ASPD|1AART	1RMIN|268VULN|368ASPD|4RPLT|5AART|68BPWR|789DMG|aRCR
128	42113 44312	5	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	19DUR|2LHND|349VULN|5AART|6LWND|7ASPD|89DMG|9BPWR|aRCR
129	42114 24312	4	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	19DUR|2LHND|349VULN|5LWND|6AART|7ASPD|89DMG|9BPWR|aRCR
130	42114 24312	3	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	19DUR|2LHND|349VULN|5LWND|6AART|7ASPD|89DMG|9BPWR|aRCR
131	42126 24312	3	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	19DUR|2LHND|359VULN|4LWND|6AART|7ASPD|89DMG|9BPWR|aRCR
132	42126 24312	4	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	19DUR|2LHND|359VULN|4LWND|6AART|7ASPD|89DMG|9BPWR|aRCR
133	42116 14331	3	   	260.33	DCR|4VULN|2DUR|1TLV	1aDUR|2LHND|3457VULN|6RCR|8ASPD|9TLV
134	42116 14331	4	   	260.33	DCR|4VULN|2DUR|1TLV	1aDUR|2LHND|3457VULN|6RCR|8ASPD|9TLV
135	41111 11313	5	   	260.26	ACR|4VULN|3DMG|3DUR	19aDUR|2RCR|349aVULN|5ZMB|6DLOT|7DUST|89aDMG|9aBPWR
136	33132 22335	4	   	259.95	DCR|3VULN|2DMG|1TLV|1CDMG	1RPLT|289VULN|38DMG|4ASPD|5CDMG|68LWND|7RCR|8BPWR|aTLV
137	32634 12331	1	   	259.85	DCR|3VULN|2DMG|1TLV|1CDMG	1RPLT|2TLV|35DMG|459VULN|5BPWR|6RCR|7CDMG|8LWND|aLIT
138	32634 21331	1	   	259.85	DCR|3VULN|2DMG|1TLV|1CDMG	1RPLT|2TLV|35DMG|459VULN|5BPWR|6CDMG|7RCR|8LWND|aLIT
139	32634 32531	1	   	259.85	DCR|3VULN|2DMG|1TLV|1CDMG	1RPLT|2TLV|35DMG|459VULN|5BPWR|6LWND|7CDMG|8RCR|aLIT
140	32111 16155	5	   	259.79	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|23aDMG|4aDUR|5TLV|6RCR|7RMIN|8CGEN|9aVULN|aBPWR
141	32111 13132	5	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|23aDMG|4aDUR|5TLV|6RCR|7BEXP|8aVULN|9BBNT|aBPWR
142	32111 13152	5	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|23aDMG|4aDUR|5TLV|6RCR|7BEXP|8aVULN|9TBNT|aBPWR
143	32111 15152	5	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|23aDMG|4aDUR|5TLV|6RCR|7LHND|8aVULN|9TBNT|aBPWR
144	32111 44152	7	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|23aDMG|4aDUR|5TLV|6LHND|7RCR|8aVULN|9TBNT|aBPWR
145	32111 44252	8	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|23aDMG|4aDUR|5TLV|6LHND|7RCR|8aVULN|9TBNT|aBPWR
146	32111 64152	7	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|23aDMG|4aDUR|5TLV|6LWND|7RCR|8aVULN|9TBNT|aBPWR
147	32111 64632	7	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|23aDMG|4aDUR|5TLV|6LWND|7RCR|8BBNT|9aVULN|aBPWR
148	32115 13132	4	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|23aDMG|4aDUR|5TLV|6RCR|7BEXP|8aVULN|9BBNT|aBPWR
149	32115 13152	4	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|23aDMG|4aDUR|5TLV|6RCR|7BEXP|8aVULN|9TBNT|aBPWR
150	32115 15152	4	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|23aDMG|4aDUR|5TLV|6RCR|7LHND|8aVULN|9TBNT|aBPWR
151	32634 12335	1	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	1RPLT|2aTLV|35DMG|459VULN|5BPWR|6RCR|7CDMG|8LWND
152	32634 21335	1	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	1RPLT|2aTLV|35DMG|459VULN|5BPWR|6CDMG|7RCR|8LWND
153	32535 12214	2	   	259.59	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|249DMG|34DUR|4BPWR|5TLV|6RCR|7ERES|8aVULN
154	24422 22212	10	   	259.53	DCR|4VULN|2DUR|1DMG|1CDMG	1CGEN|2CDMG|348aVULN|5DMG|69DUR|7RCR
155	32634 12232	1	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1RPLT|2aTLV|35DMG|459VULN|5BPWR|6RCR|7CDMG|8TBNT
156	32634 21232	1	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1RPLT|2aTLV|35DMG|459VULN|5BPWR|6CDMG|7RCR|8TBNT
157	42116 14333	4	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|2LHND|3457VULN|6RCR|8ASPD|9TLV|aCDMG
158	42116 14333	3	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|2LHND|3457VULN|6RCR|8ASPD|9TLV|aCDMG
159	33121 14635	7	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|28aVULN|3DMG|4aDUR|5BEXP|6RCR|7FEWX|9aTLV|aBPWR
160	32334 11113	2	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|2DMG|35TLV|458VULN|5BPWR|6RCR|7aDUR|9BELT
161	32334 11141	2	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|2DMG|35TLV|458VULN|5BPWR|6RCR|79DUR|aRMIN
