0	Index      	 *	Score 	Summary	Detail	
1	32314 23113	 * 	222.77	ACR|3DMG|1BASARM|2VULN|1ASPD	18LWND|289DMG|3BASARM|4ERES|5RCR|68VULN|7RPLT|8BPWR|aASPD
23	32314 23153	   	200.71	ACR|1BASARM|2DMG|2VULN|1BEXP	189LWND|28DMG|3BASARM|4ERES|5RCR|68VULN|7RPLT|8BPWR|aBEXP
24	32314 23164	   	200.71	ACR|1BASARM|2DMG|2VULN|1BEXP	18LWND|28DMG|3BASARM|4ERES|5RCR|68VULN|7RPLT|8BPWR|9CGEN|aBEXP
25	11334 41633	   	200.68	ACR|2BASARM|2BEXP|1DMG|1AAC	1RMIN|2DUR|36BASARM|4DMG|5RCR|79BEXP|8AAC|aDUST
26	11334 21214	   	200.61	ACR|1BASARM|2DMG|2VULN|1BEXP	1RMIN|2DUR|3BASARM|4aDMG|5RCR|69VULN|7LHND|8BEXP
27	11334 26612	   	200.61	ACR|1BASARM|2DMG|2VULN|1AART	1RMIN|2DUR|3BASARM|4aDMG|5RCR|68VULN|7CGEN|9AART
28	11334 15522	   	200.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1RMIN|2DUR|3BASARM|47DMG|5RCR|6TLV|8DUST|9BEXP|aASPD
29	23334 44113	   	200.51	ACR|1BASARM|2DMG|2VULN|1BEXP	12FEWX|3aFLTFST|4BEXP|5RCR|6BASARM|7aVULN|8DUST|9aDMG|aBPWR
30	11334 41321	   	199.60	ACR|2BASARM|1DMG|1BEXP|1CDMG|1AAC	1RMIN|2DUR|36BASARM|4DMG|5RCR|7BEXP|8ZMB|9AAC|aCDMG
31	62353 11124	 * 	199.33	ACR|1BASARM|1ASPD|1DMG|2CDMG	1MLV|2LIT|3RCR|4ASPD|5BELT|6DMG|7aCDMG|8TLV|9BASARM
32	11334 52263	   	198.37	ACR|1BASARM|1DMG|1ASPD|1BEXP|1AAC	1RMIN|2DUR|3BASARM|4DMG|5RCR|6BEXP|7AAC|8CGEN|9VULN|aASPD
33	55332 32412	   	198.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1RCVC|2RCR|3FEWX|47LIT|5ASPD|6BASARM|8SNIFST|9DMG|aBEXP
34	55332 33412	   	198.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1RCVC|2RCR|3FEWX|4LIT|5ASPD|6BASARM|7AME|8DMG|9DUR|aCDMG
35	52643 31221	 * 	197.96	ACR|1BASARM|2BEXP|1ASPD|1DMG	13RCVC|2ASPD|4BASARM|5RCR|6DMSP|7LWND|8aBEXP|9DMG
36	55332 32141	   	197.88	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1RCVC|2RCR|3FEWX|47LIT|5ASPD|6BASARM|8SELL|9DMG|aBEXP
37	11334 53116	   	197.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1RMIN|2DUR|3BASARM|4DMG|5RCR|69BEXP|7RPLT|8MULARM|aASPD
38	52643 13221	   	197.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	13RCVC|2ASPD|4BASARM|5RCR|6ERES|7aBEXP|8ZMB|9DMG
39	52643 23221	   	197.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	13RCVC|2ASPD|4BASARM|5RCR|6TLV|7aBEXP|8ZMB|9DMG
40	52643 32221	   	197.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	13RCVC|2ASPD|4BASARM|5RCR|6DMSP|7LEGI|8aBEXP|9DMG
41	55332 36344	   	197.78	ACR|1BASARM|1ASPD|1DMG|1CDMG|1SELL	1RCVC|2RCR|3FEWX|4LIT|5ASPD|6BASARM|7MBVNT|8CDMG|9SELL|aDMG
42	52643 13121	   	197.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	13RCVC|2ASPD|4BASARM|5RCR|6ERES|7aBEXP|8AME|9DMG
43	52643 23121	   	197.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	13RCVC|2ASPD|4BASARM|5RCR|6TLV|7aBEXP|8AME|9DMG
44	32325 43141	 * 	197.74	DCR|2BASARM|2DMG|2AART|1ASPD	1LWND|28DMG|36BASARM|4LHND|5ASPD|79AART|aRCR
45	11334 41342	 * 	197.70	ACR|2BASARM|1ASPD|1DMG|1BEXP	1RMIN|2DUR|36BASARM|4DMG|5RCR|7BEXP|8ZMB|9LWND|aASPD
46	11334 41362	   	197.70	ACR|2BASARM|1ASPD|1DMG|1BEXP	1RMIN|2DUR|36BASARM|4DMG|5RCR|7BEXP|8ZMB|9LHND|aASPD
47	11334 46322	   	197.70	ACR|2BASARM|1ASPD|1DMG|1BEXP	1RMIN|2DUR|36BASARM|4DMG|5RCR|7LHND|8ZMB|9BEXP|aASPD
48	41531 15123	 * 	197.67	ACR|3BEXP|3VULN|1ASPD|1DMG	15aBEXP|259VULN|3DLOT|4RCR|5BPWR|6LIT|7ASPD|8DMG
49	11334 41432	   	197.60	ACR|2BASARM|1ASPD|1DMG|1BEXP	1RMIN|2DUR|36BASARM|4DMG|5RCR|7BEXP|8TLV|9LWND|aASPD
50	11334 42522	   	197.60	ACR|2BASARM|1ASPD|1DMG|1BEXP	1RMIN|2DUR|36BASARM|4DMG|5RCR|7MLV|8DUST|9BEXP|aASPD
51	32314 42126	   	197.50	ACR|2BASARM|1ASPD|1DMG|1AART	19LWND|2DMG|38BASARM|4ERES|5RCR|6VENICY|7AART|aASPD
52	32314 56123	 * 	197.37	ACR|1BASARM|2AART|1DMG|1BEXP|1AAC	1LWND|2DMG|3BASARM|4ERES|5RCR|6CGEN|7aAART|8AAC|9BEXP
53	11334 23463	   	197.30	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AART	1RMIN|2DUR|3BASARM|4DMG|5RCR|6VULN|7RPLT|8CDMG|9AART|aBEXP
54	11334 43226	 * 	197.23	ACR|2BASARM|3DMG	1RMIN|2DUR|36BASARM|49aDMG|5RCR|7DMSP|8ZMB
55	55332 31115	 * 	197.14	ACR|1BASARM|2ASPD|1AAC	1RCVC|2RCR|3FEWX|4LIT|5aASPD|6BASARM|7VULN|8AAC|9MDPS
56	11334 43126	   	197.13	ACR|2BASARM|3DMG	1RMIN|2DUR|36BASARM|49aDMG|5RCR|7DMSP|8AME
57	11334 53422	   	196.77	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1RMIN|2DUR|3BASARM|4DMG|5RCR|6BEXP|7RPLT|8CDMG|9RCVC|aASPD
58	32314 56311	   	196.67	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1LWND|2DMG|3BASARM|4ERES|5RCR|6CGEN|7AART|8DUR|9ASPD|aCDMG
59	53334 42211	   	196.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1RCVC|2LSRICY|3DUR|4BEXP|5RCR|6BASARM|7CDMG|8ASPD|9DMG|aCGEN
60	53334 42212	   	196.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1RCVC|2LSRICY|3DUR|4BEXP|5RCR|6BASARM|7CDMG|8ASPD|9DMG|aRMIN
61	53334 42213	   	196.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1RCVC|2LSRICY|3DUR|4BEXP|5RCR|6BASARM|7CDMG|8ASPD|9DMG|aFEWX
62	32314 42214	   	196.47	ACR|1BASARM|2VULN|1DMG|1AART|1CDMG	1LWND|2DMG|3BASARM|4ERES|5RCR|6VENICY|7AART|89VULN|aCDMG
63	32314 42421	   	196.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1LWND|2DMG|3BASARM|4ERES|5RCR|6VENICY|7AART|8BEXP|9MDPS|aASPD
64	11334 15631	   	196.30	ACR|3DMG|1BASARM|1AART	1RMIN|2aDUR|3BASARM|47aDMG|5RCR|6aTLV|8RPLT|9AART|aBPWR
65	11334 51124	   	196.30	ACR|3DMG|1BASARM|1BEXP	1RMIN|2DUR|3BASARM|49aDMG|5RCR|6BEXP|7LWND|8LHND
66	11334 51324	   	196.30	ACR|3DMG|1BASARM|1BEXP	1RMIN|2DUR|3BASARM|49aDMG|5RCR|6BEXP|7LWND|8FEWX
67	32314 23432	   	196.27	ACR|1BASARM|2CDMG|1ASPD|1DMG	1LWND|2DMG|3BASARM|4ERES|5RCR|6VULN|7RPLT|89CDMG|aASPD
68	32314 31224	   	196.20	ACR|3DMG|1BASARM|1BEXP	1LWND|29aDMG|3BASARM|4ERES|5RCR|6FEWX|7LHND|8BEXP
69	32314 63224	   	196.20	ACR|3DMG|1BASARM|1BEXP	1LWND|29aDMG|3BASARM|4ERES|5RCR|6LHND|7DUR|8BEXP
70	11334 15412	   	196.20	ACR|3DMG|1BASARM|1AART	1RMIN|2DUR|3BASARM|47aDMG|5RCR|6TLV|8LHND|9AART
71	11334 51224	   	196.20	ACR|3DMG|1BASARM|1BEXP	1RMIN|2DUR|3BASARM|49aDMG|5RCR|6BEXP|7LWND|8DUST
72	11334 15512	   	196.10	ACR|3DMG|1BASARM|1AART	1RMIN|2DUR|3BASARM|47aDMG|5RCR|6TLV|8DUST|9AART
73	52514 32112	 * 	195.88	ACR|2ASPD|1DMG|1BASICY|1BEXP|1AART	1RCVC|25ASPD|3RCR|4LHND|6DUST|7BEXP|8BASICY|9AART|aDMG
74	32314 22221	   	195.79	ACR|1BASARM|2DMG|1CDMG|1AAC	1LWND|29DMG|3BASARM|4ERES|5RCR|6VULN|7AAC|8CGEN|aCDMG
75	11334 15351	   	195.79	ACR|1BASARM|2DMG|1CDMG|1AAC	1RMIN|2DUR|3BASARM|47DMG|5RCR|6TLV|8AAC|9VULN|aCDMG
76	32314 15351	   	195.69	ACR|1BASARM|2DMG|1CDMG|1AAC	1LWND|27DMG|3BASARM|4ERES|5RCR|6TLV|8AAC|9VULN|aCDMG
77	32314 31265	 * 	195.58	ACR|1BASARM|2DMG|2BEXP	1LWND|2aDMG|3BASARM|4ERES|5RCR|6aFEWX|7LHND|8aBEXP|9BELT|aBPWR
78	11334 41221	   	195.43	ACR|2BASARM|2DMG|1BEXP	1RMIN|2aDUR|36BASARM|4aDMG|5RCR|7BEXP|8FEWX|9aLIT|aBPWR
79	11334 42631	   	195.43	ACR|2BASARM|2DMG|1AART	1RMIN|2aDUR|36BASARM|4aDMG|5RCR|7aMLV|8RPLT|9AART|aBPWR
80	55332 32126	   	195.40	ACR|1BASARM|2ASPD|1AART|1SELL	1RCVC|2RCR|3FEWX|47LIT|5aASPD|6BASARM|8SELL|9AART
81	11334 22361	   	195.36	ACR|1BASARM|2DMG|2VULN|1AAC	1RMIN|29DUR|3BASARM|49DMG|5RCR|69VULN|7AAC|8MDPS|9BPWR|aRPLT
82	11334 22362	   	195.36	ACR|1BASARM|2DMG|2VULN|1AAC	1RMIN|29aDUR|3BASARM|49DMG|5RCR|69VULN|7AAC|8MDPS|9BPWR
83	11334 22363	   	195.36	ACR|1BASARM|2DMG|2VULN|1AAC	1RMIN|29DUR|3BASARM|49DMG|5RCR|69VULN|7AAC|8MDPS|9BPWR|aFEWX
84	11334 15523	   	195.28	ACR|1BASARM|2DMG|2BEXP	1RMIN|2DUR|3BASARM|47DMG|5RCR|6TLV|8DUST|9aBEXP
85	11334 22364	   	195.26	ACR|1BASARM|2DMG|2VULN|1AAC	1RMIN|29DUR|3BASARM|49DMG|5RCR|69VULN|7AAC|8MDPS|9BPWR|aDUST
86	11334 22365	   	195.26	ACR|1BASARM|2DMG|2VULN|1AAC	1RMIN|29DUR|3BASARM|49DMG|5RCR|69VULN|7AAC|8MDPS|9BPWR|aAME
87	11334 41223	   	195.23	ACR|2BASARM|2DMG|1BEXP	1RMIN|2DUR|36BASARM|4aDMG|5RCR|7BEXP|8FEWX|9LIT
88	11334 42126	   	195.23	ACR|2BASARM|2DMG|1CDMG	1RMIN|2DUR|36BASARM|4aDMG|5RCR|7MLV|8CDMG|9RPLT
89	11334 42412	   	195.23	ACR|2BASARM|2DMG|1AART	1RMIN|2DUR|36BASARM|4aDMG|5RCR|7MLV|8LHND|9AART
90	11334 46312	   	195.23	ACR|2BASARM|2DMG|1AART	1RMIN|2DUR|36BASARM|4aDMG|5RCR|7LHND|8ZMB|9AART
91	32314 15313	   	195.16	ACR|1BASARM|2DMG|1ASPD|1AAC	1LWND|27DMG|3BASARM|4ERES|5RCR|6TLV|8AAC|9RPLT|aASPD
92	23334 43313	   	195.14	ACR|1BASARM|2DMG|2BEXP|1SELL	12FEWX|3FLTFST|4aBEXP|5RCR|6BASARM|79DMG|8SELL
93	23534 43313	   	195.14	ACR|1BASARM|2DMG|2BEXP|1SELL	12FEWX|3AIRHEL|4aBEXP|5RCR|6BASARM|79DMG|8SELL
94	11334 42512	   	195.13	ACR|2BASARM|2DMG|1AART	1RMIN|2DUR|36BASARM|4aDMG|5RCR|7MLV|8DUST|9AART
95	32314 42124	   	195.13	ACR|2BASARM|2DMG|1AART	19aLWND|2aDMG|38BASARM|4ERES|5RCR|6aVENICY|7AART|aBPWR
96	11334 21211	   	194.95	ACR|1BASARM|3VULN|1DMG|1BEXP	1RMIN|2DUR|3BASARM|4DMG|5RCR|69aVULN|7LHND|8BEXP
97	41531 21122	 * 	194.62	ACR|1BASARM|3VULN|2BEXP	15BEXP|257VULN|3DLOT|4RCR|5BPWR|6CGEN|8NUKE|9BASARM|aBELT
98	41531 21123	   	194.62	ACR|1BASARM|3VULN|2BEXP	15BEXP|257VULN|3DLOT|4RCR|5BPWR|6aCGEN|8NUKE|9BASARM
99	41531 21124	   	194.62	ACR|1BASARM|3VULN|2BEXP	15BEXP|257VULN|3DLOT|4RCR|5BPWR|6CGEN|8NUKE|9BASARM|aLHND
100	41531 21125	   	194.62	ACR|1BASARM|3VULN|2BEXP	15BEXP|257VULN|3DLOT|4RCR|5BPWR|6CGEN|8NUKE|9BASARM|aRMIN
101	41531 21126	   	194.52	ACR|1BASARM|3VULN|2BEXP	15BEXP|257VULN|3DLOT|4RCR|5BPWR|6CGEN|8NUKE|9BASARM|aDUST
102	41531 31122	   	194.52	ACR|1BASARM|3VULN|2BEXP	15BEXP|257VULN|3DLOT|4RCR|5BPWR|6ERES|8NUKE|9BASARM|aBELT
103	41531 31123	   	194.52	ACR|1BASARM|3VULN|2BEXP	15BEXP|257VULN|3DLOT|4RCR|5BPWR|6ERES|8NUKE|9BASARM|aCGEN
104	41531 31124	   	194.52	ACR|1BASARM|3VULN|2BEXP	15BEXP|257VULN|3DLOT|4RCR|5BPWR|6ERES|8NUKE|9BASARM|aLHND
105	41531 31125	   	194.52	ACR|1BASARM|3VULN|2BEXP	15BEXP|257VULN|3DLOT|4RCR|5BPWR|6ERES|8NUKE|9BASARM|aRMIN
106	41531 31126	   	194.42	ACR|1BASARM|3VULN|2BEXP	15BEXP|257VULN|3DLOT|4RCR|5BPWR|6ERES|8NUKE|9BASARM|aDUST
107	11334 56212	   	194.29	ACR|1BASARM|2DMG|1BEXP|1AART	1RMIN|2DUR|3BASARM|4aDMG|5RCR|6BEXP|78CGEN|9AART
108	21535 12152	   	194.23	ACR|1BASARM|2VULN|1DMG|1BASICY	1FEWX|27VULN|3DLOT|4RCR|5BASICY|6DMSP|8DMG|9DUST|aBASARM
109	55332 32523	 * 	194.21	ACR|1BASARM|1ASPD|2AAC|1AART	1RCVC|2RCR|3FEWX|47LIT|5ASPD|6BASARM|8aAAC|9AART
110	11334 15112	   	194.19	ACR|1BASARM|2DMG|1AART|1CDMG	1RMIN|2DUR|3BASARM|47DMG|5RCR|6TLV|8CDMG|9CGEN|aAART
111	11334 15131	   	194.19	ACR|1BASARM|2DMG|1BEXP|1CDMG	1RMIN|2DUR|3BASARM|47DMG|5RCR|6TLV|8CDMG|9LHND|aBEXP
112	11334 65112	   	194.19	ACR|1BASARM|2DMG|1AART|1CDMG	1RMIN|2DUR|3BASARM|47DMG|5RCR|6ERES|8CDMG|9CGEN|aAART
113	11334 65131	   	194.19	ACR|1BASARM|2DMG|1BEXP|1CDMG	1RMIN|2DUR|3BASARM|47DMG|5RCR|6ERES|8CDMG|9LHND|aBEXP
114	32314 15131	   	194.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1LWND|27DMG|3BASARM|4ERES|5RCR|6TLV|8CDMG|9LHND|aBEXP
115	32314 15143	   	194.09	ACR|1BASARM|2DMG|1AART|1CDMG	1LWND|27DMG|3BASARM|4ERES|5RCR|6TLV|8CDMG|9RCVC|aAART
116	32314 41411	   	194.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1LWND|29DMG|3BASARM|4ERES|5RCR|6VENICY|7DUR|8BEXP|aCDMG
117	11334 15151	   	194.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1RMIN|2DUR|3BASARM|47DMG|5RCR|6TLV|8CDMG|9DUST|aBEXP
118	32314 15151	   	193.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	1LWND|27DMG|3BASARM|4ERES|5RCR|6TLV|8CDMG|9DUST|aBEXP
119	32314 45111	   	193.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	1LWND|29DMG|3BASARM|4ERES|5RCR|6VENICY|7BEXP|8DUST|aCDMG
120	11334 41242	 * 	193.79	ACR|2BASARM|1DMG|2AAC|1BEXP	1RMIN|2DUR|36BASARM|4DMG|5RCR|7BEXP|8FEWX|9aAAC
121	11334 41621	   	193.79	ACR|2BASARM|1DMG|2AAC|1BEXP	1RMIN|2aDUR|36BASARM|4DMG|5RCR|7BEXP|89AAC
122	11334 41622	   	193.79	ACR|2BASARM|1DMG|2AAC|1BEXP	1RMIN|2DUR|36BASARM|4DMG|5RCR|7BEXP|89AAC|aZMB
123	11334 41623	   	193.69	ACR|2BASARM|1DMG|2AAC|1BEXP	1RMIN|2DUR|36BASARM|4DMG|5RCR|7BEXP|89AAC|aDUST
124	55332 31111	   	193.20	ACR|1BASARM|1ASPD|1BEXP|1AAC	1RCVC|2RCR|3FEWX|4LIT|5ASPD|6BASARM|7VULN|8AAC|9MDPS|aBEXP
125	55332 31113	   	193.20	ACR|1BASARM|1ASPD|1AART|1AAC	1RCVC|2RCR|3FEWX|4LIT|5ASPD|6BASARM|7VULN|8AAC|9MDPS|aAART
126	55332 31125	   	193.20	ACR|1BASARM|1ASPD|1BEXP|1AAC	1RCVC|2RCR|3FEWX|4LIT|5ASPD|6BASARM|7VULN|8AAC|9NUKE|aBEXP
127	55332 31126	   	193.20	ACR|1BASARM|1ASPD|1CDMG|1AAC	1RCVC|2RCR|3FEWX|4LIT|5ASPD|6BASARM|7VULN|8AAC|9NUKE|aCDMG
128	11334 23533	   	193.14	ACR|1BASARM|2BEXP|1DMG|1AAC	1RMIN|2DUR|3BASARM|4DMG|5RCR|6VULN|7RPLT|8AAC|9aBEXP
129	11334 53513	   	193.14	ACR|1BASARM|2BEXP|1DMG|1AAC	1RMIN|2DUR|3BASARM|4DMG|5RCR|6aBEXP|7RPLT|8AAC|9VULN
130	11334 53531	   	193.14	ACR|1BASARM|2BEXP|1DMG|1AAC	1RMIN|2DUR|3BASARM|4DMG|5RCR|69BEXP|7RPLT|8AAC|aVULN
131	55332 31135	   	193.06	ACR|1BASARM|1ASPD|1BEXP|1AAC|1SELL	1RCVC|2RCR|3FEWX|4LIT|5ASPD|6BASARM|7VULN|8AAC|9SELL|aBEXP
132	62353 11121	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MLV|2LIT|3RCR|4ASPD|5BELT|6DMG|7CDMG|8TLV|9BASARM|aRCVC
133	62353 11123	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MLV|2LIT|3RCR|4ASPD|5BELT|6DMG|7CDMG|8TLV|9BASARM|aRPLT
134	62353 11125	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MLV|2LIT|3RCR|4ASPD|5BELT|6DMG|7CDMG|8TLV|9BASARM|aDUR
135	62353 11126	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MLV|2LIT|3RCR|4ASPD|5BELT|6DMG|7CDMG|8TLV|9BASARM|aZMB
136	62353 11521	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MLV|2LIT|3RCR|4ASPD|5BELT|6DMG|7CDMG|8AME|9BASARM|aRCVC
137	62353 11523	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MLV|2LIT|3RCR|4ASPD|5BELT|6DMG|7CDMG|8AME|9BASARM|aRPLT
138	62353 11122	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MLV|2LIT|3RCR|4ASPD|5BELT|6DMG|7CDMG|8TLV|9BASARM|aMDPS
139	62353 11522	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MLV|2LIT|3RCR|4ASPD|5BELT|6DMG|7CDMG|8AME|9BASARM|aMDPS
140	11334 42351	   	192.89	ACR|2BASARM|1DMG|1CDMG|1AAC	1RMIN|2DUR|36BASARM|4DMG|5RCR|7MLV|8AAC|9VULN|aCDMG
141	11334 52241	   	192.86	ACR|1BASARM|1DMG|2AAC|1BEXP|1CDMG	1RMIN|2DUR|3BASARM|4DMG|5RCR|6BEXP|79AAC|8CGEN|aCDMG
142	32314 53351	   	192.79	ACR|2BASARM|1DMG|1CDMG|1AAC	1LWND|2DMG|37BASARM|4ERES|5RCR|6CGEN|8AAC|9VULN|aCDMG
143	55332 32531	   	192.78	ACR|1BASARM|1ASPD|1DMG|1AAC	1RCVC|2RCR|39FEWX|47LIT|5ASPD|6BASARM|8AAC|aDMG
144	55133 62331	   	192.78	ACR|1BASARM|1ASPD|1DMG|1AAC	1RCVC|2RCR|3LHND|47LIT|5MLV|6AAC|8DMG|9BASARM|aASPD
