0	Index      	 *	Score 	Summary	Detail	
1	42232 36336	 * 	199.95	ACR|2VULN|2BEXP|1DMG|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|79BEXP|8DMG|aCDMG
44	42231 24212	   	180.11	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7LWND|8BASARM|9AART|aLHND
45	42231 24213	   	180.11	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7LWND|8BASARM|9AART|aDUR
46	42431 13211	   	180.11	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|2DUST|3FEWX|4RCR|5TLV|6VULN|7LHND|8BASARM|9AART|aBEXP
47	42431 14211	   	180.11	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|2DUST|3FEWX|4RCR|5TLV|6VULN|7LWND|8BASARM|9AART|aBEXP
48	42232 31155	 * 	179.77	ACR|2VULN|1DMG|2CDMG|1AART	1MDPS|2DUST|36VULN|4RCR|5AART|79CDMG|8FEWX|aDMG
49	42232 32255	   	179.77	ACR|2VULN|1DMG|2CDMG|1AART	1MDPS|2DUST|36VULN|4RCR|5AART|7FEWX|89CDMG|aDMG
50	42232 31253	 * 	179.67	ACR|2VULN|1ASPD|2CDMG|1AART	1MDPS|2DUST|36VULN|4RCR|5AART|7aCDMG|8SNIFST|9ASPD
51	42232 31254	   	179.67	ACR|2VULN|1ASPD|1AART|1CDMG|1AAC	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8SNIFST|9ASPD|aAAC
52	12151 32663	 * 	179.37	3VULN|3BEXP|2DMG|1ASPD|1AART|1CDMG	1RMIN|238VULN|4CDMG|58aBEXP|6AART|78DMG|8BPWR|9ASPD
53	42236 13232	 * 	179.12	ACR|1VULN|2BEXP|3CDMG|1ASPD	1MDPS|2aDUST|3VULN|4RCR|56aCDMG|7LHND|8ASPD|9aBEXP|aBPWR
54	42231 24236	   	179.11	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|79LWND|8BASARM|aAART
55	42436 32213	   	179.11	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|2DUST|3FEWX|4RCR|5BEXP|6VULN|7ERES|8BASARM|9DMSP|aAART
56	42436 32223	   	179.11	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|2DUST|39FEWX|4RCR|5BEXP|6VULN|7ERES|8BASARM|aAART
57	42231 23226	   	179.01	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|29DUST|3VULN|4RCR|5TLV|6BEXP|7LHND|8BASARM|aAART
58	42231 24226	   	179.01	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|29DUST|3VULN|4RCR|5TLV|6BEXP|7LWND|8BASARM|aAART
59	42236 13211	 * 	178.73	ACR|3ASPD|1VULN|2CDMG	1MDPS|2DUST|3VULN|4RCR|56CDMG|7LHND|89aASPD
60	42232 36123	 * 	178.47	ACR|3VULN|1DMG|1AART|1BEXP	1MDPS|2DUST|368VULN|4RCR|5AART|7BEXP|9DUR|aDMG
61	42232 36141	 * 	178.47	ACR|3VULN|1ASPD|1AART|1BEXP	1MDPS|2DUST|368VULN|4RCR|5AART|7BEXP|9ASPD|aLHND
62	42232 36142	   	178.47	ACR|3VULN|1ASPD|1AART|1BEXP	1MDPS|2DUST|368VULN|4RCR|5AART|7BEXP|9ASPD|aRMIN
63	42232 36143	   	178.37	ACR|3VULN|1ASPD|1AART|1BEXP	1MDPS|2aDUST|368VULN|4RCR|5AART|7BEXP|9ASPD
64	42232 36163	   	178.37	ACR|3VULN|1ASPD|1AART|1BEXP	1MDPS|2DUST|368VULN|4RCR|5AART|7BEXP|9AIRARM|aASPD
65	42232 32342	   	177.87	ACR|2VULN|1ASPD|1DMG|1AART	1MDPS|2DUST|36VULN|4RCR|5AART|7FEWX|8DMG|9RPLT|aASPD
66	42232 35342	   	177.87	ACR|2VULN|1ASPD|1DMG|1AART	1MDPS|2DUST|36VULN|4RCR|5AART|7LHND|8DMG|9RPLT|aASPD
67	42235 21211	   	177.87	ACR|1BASARM|1VULN|1AART|1AAC	1MDPS|2DUST|3VULN|4RCR|5BELT|6AART|7RPLT|8LWND|9AAC|aBASARM
68	42235 21311	   	177.87	ACR|1BASARM|1VULN|1AART|1AAC	1MDPS|2DUST|3VULN|4RCR|5BELT|6AART|7RPLT|8LHND|9AAC|aBASARM
69	42231 23261	   	177.11	ACR|1BASARM|1VULN|1BEXP|1CDMG	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7LHND|8BASARM|9CDMG|aZMB
70	42231 23263	   	177.11	ACR|1BASARM|1VULN|1BEXP|1CDMG	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7LHND|8BASARM|9CDMG|aRPLT
71	42231 23265	   	177.11	ACR|1BASARM|1VULN|1BEXP|1CDMG	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7LHND|8BASARM|9CDMG|aFEWX
72	42436 32231	   	177.11	ACR|1BASARM|1VULN|1BEXP|1CDMG	1MDPS|2DUST|3FEWX|4RCR|5BEXP|6VULN|7ERES|8BASARM|9CDMG|aZMB
73	42436 32233	   	177.11	ACR|1BASARM|1VULN|1BEXP|1CDMG	1MDPS|2DUST|3FEWX|4RCR|5BEXP|6VULN|7ERES|8BASARM|9CDMG|aRPLT
74	42232 22263	 * 	176.98	ACR|3AART|1VULN|2CDMG	1MDPS|2DUST|3VULN|4RCR|57aAART|6LWND|89CDMG
75	42236 23325	   	176.87	ACR|1VULN|2BEXP|2CDMG|1AART|1AAC	1MDPS|2aDUST|3VULN|4RCR|5aCDMG|6AAC|7aBEXP|8LEGI|9AART|aBPWR
76	42231 23262	   	176.86	ACR|1BASARM|1VULN|1BEXP|1CDMG|1SELL	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7LHND|8BASARM|9CDMG|aSELL
77	42436 32232	   	176.86	ACR|1BASARM|1VULN|1BEXP|1CDMG|1SELL	1MDPS|2DUST|3FEWX|4RCR|5BEXP|6VULN|7ERES|8BASARM|9CDMG|aSELL
78	24636 23113	 * 	176.52	DCR|2DMG|2BEXP|1VULN|1ASPD|1AART	13BEXP|24CGEN|5AART|67DMG|8ASPD|9VULN|aRCR
79	42232 22212	   	176.28	ACR|2AART|1VULN|1ASPD|1CDMG	1MDPS|2DUST|3VULN|4RCR|57AART|6LWND|8CDMG|9CGEN|aASPD
80	42232 22216	   	176.28	ACR|2AART|1VULN|1DMG|1CDMG	1MDPS|2DUST|3VULN|4RCR|57AART|6LWND|8CDMG|9CGEN|aDMG
81	42232 22123	 * 	176.26	ACR|2VULN|2AART|1DMG	1MDPS|2DUST|38VULN|4RCR|57AART|6LWND|9DUR|aDMG
82	42232 22141	   	176.26	ACR|2VULN|2AART|1ASPD	1MDPS|2DUST|38VULN|4RCR|57AART|6LWND|9ASPD|aLHND
83	42232 22142	   	176.26	ACR|2VULN|2AART|1ASPD	1MDPS|2DUST|38VULN|4RCR|57AART|6LWND|9ASPD|aRMIN
84	42232 22145	   	176.26	ACR|2VULN|2AART|1ASPD	1MDPS|2DUST|38VULN|4RCR|57AART|6LWND|9ASPD|aMLV
85	42232 22663	   	176.26	ACR|2VULN|2AART|1DMG	1MDPS|2DUST|39VULN|4RCR|57AART|6LWND|8LHND|aDMG
86	42232 22222	   	176.18	ACR|2AART|1VULN|1ASPD|1CDMG	1MDPS|2DUST|3VULN|4RCR|57AART|6LWND|8CDMG|9AME|aASPD
87	42232 22226	   	176.18	ACR|2AART|1VULN|1DMG|1CDMG	1MDPS|2DUST|3VULN|4RCR|57AART|6LWND|8CDMG|9AME|aDMG
88	42232 22143	   	176.16	ACR|2VULN|2AART|1ASPD	1MDPS|2aDUST|38VULN|4RCR|57AART|6LWND|9ASPD
89	42232 22163	   	176.16	ACR|2VULN|2AART|1ASPD	1MDPS|2DUST|38VULN|4RCR|57AART|6LWND|9AIRARM|aASPD
90	42236 23122	   	175.79	ACR|1VULN|1ASPD|1AART|1BEXP|1CDMG|1AAC	1MDPS|2DUST|3VULN|4RCR|5CDMG|6AAC|7BEXP|8LWND|9AART|aASPD
91	42236 13262	 * 	175.71	ACR|2VULN|2ASPD|2CDMG	1MDPS|2aDUST|3aVULN|4RCR|56CDMG|7LHND|8aASPD|9MBVNT|aBPWR
92	42236 23322	   	175.69	ACR|1VULN|1ASPD|1AART|1BEXP|1CDMG|1AAC	1MDPS|2DUST|3VULN|4RCR|5CDMG|6AAC|7BEXP|8LEGI|9AART|aASPD
93	42231 35111	 * 	175.63	ACR|2ASPD|1VULN|1DMG|1CDMG	1MDPS|2DUST|3VULN|4RCR|5TLV|6SPLREG|78ASPD|9CDMG|aDMG
94	42232 36112	 * 	175.55	ACR|4VULN|2BEXP|1AART	1MDPS|2DUST|3689VULN|4RCR|5AART|7aBEXP
95	42232 32353	   	175.40	ACR|2VULN|2DMG|1AART	1MDPS|2DUST|36VULN|4RCR|5AART|7FEWX|8aDMG|9ZMB
96	42232 35353	   	175.40	ACR|2VULN|2DMG|1AART	1MDPS|2DUST|36VULN|4RCR|5AART|7LHND|8aDMG|9ZMB
97	12155 11342	 * 	175.31	3VULN|3BEXP|2DMG|2ASPD|1CDMG	1RMIN|23aVULN|4CDMG|5aASPD|679BEXP|8aDMG|aBPWR
98	42232 32333	   	175.30	ACR|2VULN|2DMG|1AART	1MDPS|2DUST|36VULN|4RCR|5AART|7FEWX|8aDMG|9ERES
99	42232 22332	 * 	175.28	ACR|2AART|1VULN|1DMG|1BEXP	1MDPS|2DUST|3VULN|4RCR|57AART|6LWND|8DMG|9BEXP|aRMIN
100	42232 22335	   	175.28	ACR|2AART|1VULN|1DMG|1BEXP	1MDPS|2DUST|3VULN|4RCR|57AART|6LWND|8DMG|9BEXP|aBELT
101	42232 22344	   	175.28	ACR|2AART|1VULN|1DMG|1BEXP	1MDPS|2DUST|3VULN|4RCR|57AART|6LWND|8DMG|9RPLT|aBEXP
102	42232 22331	   	175.18	ACR|2AART|1VULN|1DMG|1BEXP	1MDPS|2aDUST|3VULN|4RCR|57AART|6LWND|8DMG|9BEXP
103	42232 22334	   	175.18	ACR|2AART|1VULN|1DMG|1BEXP	1MDPS|2DUST|3VULN|4RCR|57AART|6LWND|8DMG|9BEXP|aAME
104	42232 31663	 * 	175.16	ACR|2VULN|2AART|2CDMG	1MDPS|2DUST|36VULN|4RCR|5aAART|79CDMG|8LWND
105	42232 35263	   	175.16	ACR|2VULN|2AART|2CDMG	1MDPS|2DUST|36VULN|4RCR|5aAART|7LHND|89CDMG
106	42234 13232	   	174.89	ACR|1VULN|2BEXP|1ASPD|2CDMG	1MDPS|2aDUST|3VULN|4RCR|5RCVC|6aCDMG|7LHND|8ASPD|9aBEXP|aBPWR
107	42232 36162	 * 	174.76	ACR|3VULN|2AART|1BEXP	1MDPS|2DUST|368VULN|4RCR|5aAART|7BEXP|9AIRARM
108	42231 21263	 * 	174.73	ACR|2ASPD|1VULN|1DMG|1BEXP	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7RPLT|8aASPD|9DMG
109	42236 43232	   	174.59	ACR|1VULN|2BEXP|1ASPD|2CDMG	1MDPS|2aDUST|3VULN|4RCR|5aCDMG|6RCVC|7LHND|8ASPD|9aBEXP|aBPWR
110	42234 13211	   	174.23	ACR|3ASPD|1VULN|1CDMG	1MDPS|2DUST|3VULN|4RCR|5RCVC|6CDMG|7LHND|89aASPD
111	42236 43211	   	173.93	ACR|3ASPD|1VULN|1CDMG	1MDPS|2DUST|3VULN|4RCR|5CDMG|6RCVC|7LHND|89aASPD
112	42236 13236	 * 	173.79	ACR|1VULN|1ASPD|2CDMG|1AART|1BEXP	1MDPS|2DUST|3VULN|4RCR|56CDMG|7LHND|8ASPD|9BEXP|aAART
113	42236 21216	 * 	173.39	ACR|1VULN|1ASPD|1DMG|2AAC|1CDMG	1MDPS|2DUST|3VULN|4RCR|5CDMG|68AAC|7DUR|9ASPD|aDMG
114	42236 23261	 * 	173.29	ACR|1VULN|1ASPD|2CDMG|2AAC|1BEXP	1MDPS|2DUST|3VULN|4RCR|59CDMG|68AAC|7BEXP|aASPD
115	42231 52433	 * 	173.18	ACR|2AART|1VULN|1ASPD|1BEXP	1MDPS|2DUST|3VULN|4RCR|5TLV|68AART|7LIT|9BEXP|aASPD
116	43326 23333	   	173.18	ACR|1BASARM|1VULN|1ASPD|1AAC	1MDPS|2ZMB|3AIRARM|4AME|5RCR|6ASPD|7LIT|8VULN|9AAC|aBASARM
117	42436 31323	   	172.69	ACR|2BEXP|1VULN|1ASPD|1DMG	1MDPS|2DUST|3FEWX|4RCR|58BEXP|6VULN|7DMG|9RCVC|aASPD
118	42232 36261	 * 	172.05	ACR|3VULN|1AART|1BEXP|1CDMG	1MDPS|2DUST|369VULN|4RCR|5AART|7BEXP|8CDMG|aMLV
119	42232 36262	   	172.05	ACR|3VULN|1AART|1BEXP|1CDMG	1MDPS|2DUST|369VULN|4RCR|5AART|7BEXP|8CDMG|aLIT
120	42232 36263	   	172.05	ACR|3VULN|1AART|1BEXP|1CDMG	1MDPS|2DUST|369VULN|4RCR|5AART|7BEXP|8CDMG|aDMSP
121	42236 53232	   	171.98	ACR|1VULN|2BEXP|1ASPD|2CDMG	1MDPS|26aDUST|3VULN|4RCR|5aCDMG|7LHND|8ASPD|9aBEXP|aBPWR
122	42236 21161	   	171.87	ACR|1BASARM|1VULN|1CDMG|1AAC	1MDPS|2DUST|3VULN|4RCR|5CDMG|6AAC|7DUR|8LWND|9BASARM|aZMB
123	42236 21163	   	171.87	ACR|1BASARM|1VULN|1CDMG|1AAC	1MDPS|2DUST|3VULN|4RCR|5CDMG|6AAC|7DUR|8LWND|9BASARM|aRPLT
124	42236 22261	   	171.87	ACR|1BASARM|1VULN|1CDMG|1AAC	1MDPS|2DUST|3VULN|4RCR|5CDMG|6AAC|7LWND|8DUR|9BASARM|aZMB
125	42236 22263	   	171.87	ACR|1BASARM|1VULN|1CDMG|1AAC	1MDPS|2DUST|3VULN|4RCR|5CDMG|6AAC|7LWND|8DUR|9BASARM|aRPLT
126	42236 21361	   	171.77	ACR|1BASARM|1VULN|1CDMG|1AAC	1MDPS|2DUST|3VULN|4RCR|5CDMG|6AAC|7DUR|8LEGI|9BASARM|aZMB
127	42236 21363	   	171.77	ACR|1BASARM|1VULN|1CDMG|1AAC	1MDPS|2DUST|3VULN|4RCR|5CDMG|6AAC|7DUR|8LEGI|9BASARM|aRPLT
128	42431 53232	 * 	171.69	ACR|1BASARM|2ASPD	1MDPS|2DUST|3FEWX|4RCR|5TLV|6ZMB|7DUR|89ASPD|aBASARM
129	42236 21162	   	171.62	ACR|1BASARM|1VULN|1CDMG|1AAC|1SELL	1MDPS|2DUST|3VULN|4RCR|5CDMG|6AAC|7DUR|8LWND|9BASARM|aSELL
130	42236 22262	   	171.62	ACR|1BASARM|1VULN|1CDMG|1AAC|1SELL	1MDPS|2DUST|3VULN|4RCR|5CDMG|6AAC|7LWND|8DUR|9BASARM|aSELL
131	42236 21362	   	171.52	ACR|1BASARM|1VULN|1CDMG|1AAC|1SELL	1MDPS|2DUST|3VULN|4RCR|5CDMG|6AAC|7DUR|8LEGI|9BASARM|aSELL
132	42232 31112	   	171.46	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8FEWX|9CGEN|aASPD
133	42232 31312	   	171.46	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8RMIN|9LHND|aASPD
134	42232 31331	   	171.46	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8RMIN|9ASPD|aMLV
135	42232 31332	   	171.46	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8RMIN|9ASPD|aLIT
136	42232 31333	   	171.46	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8RMIN|9ASPD|aDMSP
137	42232 31334	   	171.46	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8RMIN|9ASPD|aCGEN
138	42232 31343	   	171.46	ACR|2VULN|1DMG|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8RMIN|9LIT|aDMG
139	42232 31362	   	171.46	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8RMIN|9LWND|aASPD
140	42232 31612	   	171.46	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8LWND|9CGEN|aASPD
141	42232 31616	   	171.46	ACR|2VULN|1DMG|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8LWND|9CGEN|aDMG
142	42232 32212	   	171.46	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7FEWX|8CDMG|9CGEN|aASPD
143	42232 32326	   	171.46	ACR|2VULN|1DMG|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|79FEWX|8DMG|aCDMG
144	42232 35212	   	171.46	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7LHND|8CDMG|9CGEN|aASPD
145	42232 31122	   	171.36	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8FEWX|9AME|aASPD
146	42232 31252	   	171.36	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8SNIFST|9ASPD|aMLV
147	42232 31255	   	171.36	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8SNIFST|9ASPD|aLWND
148	42232 31325	   	171.36	ACR|2VULN|1DMG|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8RMIN|9AME|aDMG
149	42232 31435	   	171.36	ACR|2VULN|1DMG|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8AEMAG|9LHND|aDMG
150	42232 31622	   	171.36	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8LWND|9AME|aASPD
151	42232 31626	   	171.36	ACR|2VULN|1DMG|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8LWND|9AME|aDMG
152	42232 32222	   	171.36	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7FEWX|8CDMG|9AME|aASPD
153	42232 35222	   	171.36	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7LHND|8CDMG|9AME|aASPD
154	42232 36251	   	171.36	ACR|2VULN|2CDMG|1AART|1BEXP	1MDPS|2DUST|36VULN|4RCR|5AART|7BEXP|89CDMG|aMLV
155	42232 36252	   	171.36	ACR|2VULN|2CDMG|1AART|1BEXP	1MDPS|2DUST|36VULN|4RCR|5AART|7BEXP|89CDMG|aLIT
156	42232 36253	   	171.36	ACR|2VULN|2CDMG|1AART|1BEXP	1MDPS|2DUST|36VULN|4RCR|5AART|7BEXP|89CDMG|aDMSP
157	42236 53211	   	171.32	ACR|3ASPD|1VULN|1CDMG	1MDPS|26DUST|3VULN|4RCR|5CDMG|7LHND|89aASPD
158	42231 52111	   	171.26	ACR|1BASARM|1VULN|1AART	1MDPS|2DUST|3VULN|4RCR|5TLV|6AART|7LIT|8RCVC|9ERES|aBASARM
159	42232 31251	   	171.26	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8SNIFST|9ASPD|aAEMAG
160	42232 31256	   	171.26	ACR|2VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8SNIFST|9ASPD|aAME
