0	Index      	 *	Score 	Summary	Detail	
1	32322 57146	 * 	294.89	DCR|DCR|2VULN|1TLV|2DUR	18DUR|2MBVNT|3AART|46VULN|56AEFRZ|6BPWR|7TLV|9aRCR
31	33255 13115	   	266.05	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUR|2MLV|3AAC|4LIT|56VULN|7DMG|8RCR|9AART|aTLV
32	25222 48337	   	265.95	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1AART|27VULN|3DMG|4AAC|5MBVNT|6DUR|8MLV|9RCR|aTLV
33	24214 34346	   	265.28	DCR|DCR|1VULN|1MLV|2DUR	1AART|2DMSP|3VULN|47DUR|5MBVNT|6FEWX|8MLV|9aRCR
34	25114 34346	   	265.28	DCR|DCR|1VULN|1MLV|2DUR	1AART|2VULN|3RCVC|47DUR|5MBVNT|6FEWX|8MLV|9aRCR
35	32324 41346	   	265.28	DCR|DCR|1VULN|1MLV|2DUR	16DUR|2MBVNT|3AART|4VULN|57LWND|8MLV|9aRCR
36	32324 44346	   	265.28	DCR|DCR|1VULN|1MLV|2DUR	16DUR|2MBVNT|3AART|4VULN|5LWND|7RCVC|8MLV|9aRCR
37	24214 24346	   	265.18	DCR|DCR|1VULN|1MLV|2DUR	1AART|2DMSP|3VULN|47DUR|5MBVNT|6BEXP|8MLV|9aRCR
38	25114 24346	   	265.18	DCR|DCR|1VULN|1MLV|2DUR	1AART|2VULN|3RCVC|47DUR|5MBVNT|6BEXP|8MLV|9aRCR
39	32322 34346	   	265.18	DCR|DCR|1VULN|1MLV|2DUR	17DUR|2MBVNT|3AART|4VULN|5AEFRZ|6FEWX|8MLV|9aRCR
40	32328 14346	   	265.18	DCR|DCR|1VULN|1MLV|2DUR	17DUR|2MBVNT|3AART|4VULN|5FEWX|6AEFRZ|8MLV|9aRCR
41	32322 24346	   	265.08	DCR|DCR|1VULN|1MLV|2DUR	17DUR|2MBVNT|3AART|4VULN|5AEFRZ|6BEXP|8MLV|9aRCR
