0	Index      	 *	Score 	Summary	Detail	
1	44321 21422	 * 	283.04	ACR|DCR|3VULN|1TLV|1DMG	1TBNT|26RCR|3TLV|4FEWX|59aVULN|7DUST|8DMG
14	44321 23372	 * 	273.75	ACR|DCR|2VULN|2TLV|1DMG	1TBNT|26RCR|37TLV|4FEWX|5aVULN|8MBVNT|9DMG
15	44321 21421	   	273.23	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1TBNT|26RCR|3TLV|4FEWX|59VULN|7DUST|8DMG|aCDMG
16	22333 45224	 * 	272.83	DCR|DCR|2VULN|1DMG	1RPLT|2LWND|37VULN|4AART|5DMG|6aRCR|8MDPS|9DMSP
17	22333 45214	   	272.73	DCR|DCR|2VULN|1DMG	1RPLT|2LWND|37VULN|4AART|5DMG|6aRCR|89MDPS
18	44321 22311	 * 	271.46	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1CDMG	1TBNT|26RCR|3TLV|4FEWX|5VULN|7CGEN|8DMG|9MLV|aCDMG
19	44221 23311	   	271.36	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1CDMG	1TBNT|26RCR|3ERES|4FEWX|5VULN|7TLV|8DMG|9MLV|aCDMG
20	22333 46114	   	270.96	DCR|DCR|1VULN|1MLV|1DMG	1RPLT|2LWND|3VULN|4AART|5DMG|6aRCR|7CGEN|8MLV|9LEGI
21	44321 23351	   	269.94	ACR|DCR|2VULN|2TLV|1ASPD	1TBNT|26RCR|37TLV|4FEWX|59VULN|8MBVNT|aASPD
22	44311 33321	 * 	268.80	ACR|3VULN|3TLV|3ASPD|1MLV	1TBNT|2RCR|378TLV|4BEXP|578VULN|678ASPD|78BPWR|9LWND|aMLV
23	44311 33361	   	268.80	ACR|3VULN|3TLV|3ASPD|1MLV	1TBNT|2RCR|378TLV|4BEXP|578VULN|678ASPD|78BPWR|9FEWX|aMLV
24	21362 22311	 * 	268.30	DCR|DCR|1VULN|1TLV|1DMG|1SELL	18RPLT|2ERES|3LIT|4TLV|5SELL|6DMG|79RCR|aVULN
25	44321 26111	   	268.28	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1TBNT|26RCR|3TLV|4FEWX|5VULN|7AAC|8CGEN|9MLV|aCDMG
26	21362 22211	 * 	268.20	DCR|DCR|1VULN|1TLV|1DMG|1SELL	1RPLT|2ERES|3LIT|4TLV|5SELL|6DMG|79RCR|8AEFRZ|aVULN
27	14345 23212	 * 	267.13	DCR|DCR|2MLV|1DMG	1RAT|2LHND|3aMLV|4DMG|5DUST|67RCR|8DUR|9LIT
28	14346 23212	   	267.13	DCR|DCR|2MLV|1DMG	1RAT|2LHND|3aMLV|4DMG|5BEXP|67RCR|8DUR|9LIT
29	44321 22314	   	266.11	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TBNT|26RCR|3TLV|4FEWX|5VULN|7CGEN|8DMG|9MLV|aDUR
30	44221 23314	   	266.01	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TBNT|26RCR|3ERES|4FEWX|5VULN|7TLV|8DMG|9MLV|aDUR
31	44321 22361	   	265.44	ACR|DCR|2DMG|1VULN|1TLV|1ASPD	1TBNT|26RCR|3TLV|4FEWX|5VULN|7CGEN|89DMG|aASPD
32	44221 23361	   	265.34	ACR|DCR|2DMG|1VULN|1TLV|1ASPD	1TBNT|26RCR|3ERES|4FEWX|5VULN|7TLV|89DMG|aASPD
33	62424 33244	   	264.63	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2DUST|3MBVNT|4ASPD|5TLV|69CGEN|7aRCR|8VULN
34	26141 41341	   	264.63	DCR|DCR|1VULN|1TLV|1ASPD	1RPLT|2ASPD|3CGEN|4LWND|5MDPS|6VULN|7TLV|8MBVNT|9aRCR
35	26151 41341	   	264.63	DCR|DCR|1VULN|1TLV|1ASPD	1RPLT|2ASPD|3CGEN|4LHND|5MDPS|6VULN|7TLV|8MBVNT|9aRCR
36	26231 41341	   	264.53	DCR|DCR|1VULN|1TLV|1ASPD	1RPLT|2ASPD|3LWND|4ERES|5MDPS|6VULN|7TLV|8MBVNT|9aRCR
37	36132 41341	   	264.53	DCR|DCR|2VULN|1DMG	1CGEN|24VULN|3RPLT|5DMG|6TBNT|7AME|8MBVNT|9aRCR
38	25433 31311	   	264.48	DCR|DCR|1VULN|1TLV|1ASPD|1SELL	1RPLT|2SELL|3ASPD|4TLV|5CGEN|69RCR|7AEBURN|8LIT|aVULN
39	44321 24122	   	263.08	ACR|DCR|3VULN|1TLV	1TBNT|26RCR|3TLV|4FEWX|59aVULN|7LHND|8AME
40	44321 21122	   	262.98	ACR|DCR|3VULN|1TLV	1TBNT|26RCR|3TLV|4FEWX|59aVULN|7DUST|8AME
41	43142 11423	 * 	262.71	DCR|2VULN|2TLV|1MLV|1DMG|2RAT	1TBNT|27TLV|3AETHUN|4MLV|57RAT|67VULN|7BPWR|8RCR|9BBNT|aDMG
42	44311 33353	 * 	262.64	ACR|4VULN|3TLV|3ASPD	1TBNT|2RCR|378TLV|4BEXP|578aVULN|678ASPD|78BPWR|9MDPS
43	44321 26311	   	262.14	ACR|DCR|1VULN|1TLV|1DMG|1AAC|1CDMG	1TBNT|26RCR|3TLV|4FEWX|5VULN|7AAC|8DMG|9AME|aCDMG
44	22323 82538	   	261.65	DCR|DCR|1VULN|1DMG|1AAC	1RPLT|2LWND|3VULN|4MBVNT|5DMG|6LHND|7DUR|8aRCR|9AAC
45	22316 26241	   	261.35	DCR|DCR|2VULN|1AAC	1RPLT|2LWND|38VULN|4TBNT|5AAC|6DMSP|7MBVNT|9aRCR
46	22316 46241	   	261.35	DCR|DCR|2VULN|1AAC	1RPLT|26LWND|38VULN|4TBNT|5AAC|7MBVNT|9aRCR
47	46141 32132	 * 	261.34	DCR|3MLV|2VULN|1TLV	1TBNT|24aMLV|3AETHUN|5TLV|6RCR|7aVULN|8aBEXP|9RMIN|aBPWR
48	22316 18241	   	261.25	DCR|DCR|2VULN|1AAC	1RPLT|2LWND|38VULN|4TBNT|5AAC|6MBVNT|7AEFBLL|9aRCR
49	22316 56241	   	261.25	DCR|DCR|2VULN|1AAC	1RPLT|2LWND|38VULN|4TBNT|5AAC|6AEWIND|7MBVNT|9aRCR
50	44321 23422	   	261.02	ACR|DCR|2TLV|1VULN|1DMG	1TBNT|26RCR|37TLV|4FEWX|5VULN|8RAT|9DUR|aDMG
51	56133 41341	   	260.61	DCR|DCR|2VULN|1ASPD	1ERES|24VULN|3RPLT|5ASPD|6TBNT|7AME|8MBVNT|9aRCR
52	56133 43341	   	260.61	DCR|DCR|2VULN|1ASPD	1ERES|24VULN|3RPLT|5ASPD|6TBNT|7CGEN|8MBVNT|9aRCR
53	61434 73341	   	260.51	DCR|DCR|2VULN|1ASPD	1LHND|24VULN|3MBVNT|5DUST|6MDPS|7ASPD|8RPLT|9aRCR
54	62431 73341	   	260.51	DCR|DCR|2VULN|1ASPD	1LHND|25DUST|3MBVNT|45VULN|5BPWR|6MDPS|7ASPD|8RPLT|9aRCR
55	44321 25321	   	260.10	ACR|DCR|2VULN|1TLV|1CDMG	1TBNT|26RCR|3TLV|4FEWX|5aVULN|7RAT|8CDMG|9VENFST
56	43613 63341	 * 	259.80	DCR|DCR|1TLV|1MLV|1DMG	1TBNT|2TLV|3RPLT|4FEWX|5DMSP|6DMG|7MLV|8MBVNT|9aRCR
57	43622 63341	   	259.80	DCR|DCR|1TLV|1MLV|1DMG	1TBNT|2TLV|3RPLT|45LHND|6DMG|7MLV|8MBVNT|9aRCR
58	44321 21262	   	259.58	ACR|DCR|2VULN|1TLV|1DMG	1TBNT|26RCR|3TLV|4FEWX|5aVULN|7DUST|8RCVC|9DMG
59	44321 22342	   	259.58	ACR|DCR|2VULN|1TLV|1DMG|1MSE	1TBNT|26RCR|3TLV|4FEWX|59VULN|7CGEN|8DMG|aMSE
60	44321 22343	   	259.58	ACR|DCR|2VULN|1TLV|1DMG	1TBNT|26RCR|3TLV|4FEWX|59VULN|7CGEN|8DMG|aERES
61	44221 23342	   	259.48	ACR|DCR|2VULN|1TLV|1DMG|1MSE	1TBNT|26RCR|3ERES|4FEWX|59VULN|7TLV|8DMG|aMSE
62	44221 23343	   	259.48	ACR|DCR|2VULN|1TLV|1DMG	1TBNT|26RCR|3aERES|4FEWX|59VULN|7TLV|8DMG
63	44321 21423	   	259.48	ACR|DCR|2VULN|1TLV|1DMG	1TBNT|26RCR|3TLV|4FEWX|59VULN|7DUST|8DMG|aFRZFST
64	44311 33352	   	259.38	ACR|3VULN|3TLV|3ASPD|1AAC	1TBNT|2RCR|378TLV|4BEXP|578VULN|678ASPD|78BPWR|9MDPS|aAAC
65	44321 23371	   	259.33	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	1TBNT|26RCR|37TLV|4FEWX|5VULN|8MBVNT|9DMG|aCDMG
66	14345 23222	   	259.16	DCR|DCR|1MLV|1DMG|2DUR|1NUKE	1RAT|2LHND|3MLV|4DMG|5DUST|67RCR|89DUR|aNUKE
67	14346 23222	   	259.16	DCR|DCR|1MLV|1DMG|2DUR|1NUKE	1RAT|2LHND|3MLV|4DMG|5BEXP|67RCR|89DUR|aNUKE
68	44321 23432	 * 	258.85	ACR|DCR|2TLV|1VULN|1MLV	1TBNT|26RCR|37TLV|4FEWX|5VULN|8RAT|9BBNT|aMLV
69	22333 42145	   	258.51	DCR|DCR|1VULN|1DMG|1CDMG	1RPLT|28LWND|3VULN|4AART|5DMG|6aRCR|7CDMG|9RCVC
70	31224 14864	 * 	258.10	ACR|DCR|2MLV|1VULN|1DMG	1CGEN|2DUR|3aRCR|4LWND|5VULN|6MBVNT|7DMG|89MLV
71	44321 22313	   	257.80	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TBNT|26RCR|3TLV|4FEWX|5VULN|7CGEN|8DMG|9MLV|aLHND
72	44321 22315	   	257.80	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TBNT|26RCR|3TLV|4FEWX|5VULN|7aCGEN|8DMG|9MLV
73	44321 22316	   	257.80	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TBNT|26RCR|3TLV|4FEWX|5VULN|7CGEN|8DMG|9MLV|aBELT
74	44221 23313	   	257.70	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TBNT|26RCR|3ERES|4FEWX|5VULN|7TLV|8DMG|9MLV|aLHND
75	44221 23315	   	257.70	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TBNT|26RCR|3ERES|4FEWX|5VULN|7TLV|8DMG|9MLV|aCGEN
76	44321 22312	   	257.70	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TBNT|26RCR|3TLV|4FEWX|5VULN|7CGEN|8DMG|9MLV|aAEFBLL
77	44221 23312	   	257.60	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TBNT|26RCR|3ERES|4FEWX|5VULN|7TLV|8DMG|9MLV|aAEFBLL
78	44221 23316	   	257.60	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TBNT|26RCR|3ERES|4FEWX|5VULN|7TLV|8DMG|9MLV|aAETHUN
79	22333 43453	 * 	257.54	DCR|3DMG|2MLV|1VULN|1AAC	1RPLT|2aLWND|3VULN|4AART|58aDMG|6RCR|7AAC|9aMLV|aBPWR
80	23263 25613	 * 	257.54	DCR|2DMG|1VULN|1TLV|1MLV|1AAC|1ASPD	1RPLT|2RCVC|3VULN|48DMG|5ASPD|6AAC|7TLV|9RCR|aMLV
81	44321 23423	 * 	256.72	ACR|DCR|3TLV|1VULN|2DUR	1TBNT|26RCR|37aTLV|4aFEWX|5VULN|8RAT|9aDUR|aBPWR
82	44321 26212	   	256.51	ACR|DCR|2VULN|1TLV|1AAC	1TBNT|26RCR|3TLV|4FEWX|5aVULN|7AAC|8ZMB|9AME
83	44321 21331	   	256.41	ACR|DCR|2VULN|1TLV|1AAC	1TBNT|26RCR|3TLV|4FEWX|5aVULN|7DUST|8BELT|9AAC
84	23343 43341	   	255.88	DCR|DCR|1TLV|1MLV|1ASPD	1RPLT|2RCVC|3LEGI|4TLV|5ASPD|6BBNT|7MLV|8MBVNT|9aRCR
85	23363 35341	   	255.88	DCR|DCR|1TLV|1MLV|1ASPD	1RPLT|2RCVC|3LEGI|4MLV|5ASPD|6TLV|7TBNT|8MBVNT|9aRCR
86	23363 41341	   	255.88	DCR|DCR|1TLV|1MLV|1ASPD	1RPLT|2RCVC|3LEGI|4MLV|5ASPD|6BBNT|7TLV|8MBVNT|9aRCR
87	62424 33614	   	255.88	DCR|DCR|1TLV|1MLV|1ASPD	1LHND|2DUST|3MBVNT|4ASPD|5TLV|6CGEN|7aRCR|8BBNT|9MLV
88	44321 22241	   	255.87	ACR|DCR|2VULN|1TLV|1ASPD	1TBNT|26RCR|3TLV|4FEWX|59VULN|7CGEN|8ZMB|aASPD
89	44221 23141	   	255.77	ACR|DCR|2VULN|1TLV|1ASPD	1TBNT|26RCR|3ERES|4FEWX|59VULN|7TLV|8CGEN|aASPD
90	44221 23241	   	255.77	ACR|DCR|2VULN|1TLV|1ASPD	1TBNT|26RCR|3ERES|4FEWX|59VULN|7TLV|8ZMB|aASPD
91	44321 21241	   	255.77	ACR|DCR|2VULN|1TLV|1ASPD	1TBNT|26RCR|3TLV|4FEWX|59VULN|7DUST|8RCVC|aASPD
92	44321 22141	   	255.77	ACR|DCR|2VULN|1TLV|1ASPD	1TBNT|26RCR|3TLV|4FEWX|59VULN|7CGEN|8ERES|aASPD
93	44321 26322	   	255.43	ACR|DCR|1VULN|1TLV|1DMG|1AAC	1TBNT|26RCR|3TLV|4FEWX|5VULN|7AAC|8DMG|9BBNT|aRAT
94	61125 32422	 * 	255.18	DCR|3VULN|1TLV|1MLV|1AAC	15LHND|247VULN|3TBNT|6RCR|8TLV|9MLV|aAAC
95	61431 31462	   	255.16	DCR|2VULN|2MLV|1TLV|1ASPD	1LHND|24VULN|3MBVNT|5ASPD|6ZMB|7RCR|8TLV|9aMLV
96	22631 43153	   	255.11	DCR|2VULN|2MLV|1AAC|1ASPD|2AART	1RPLT|2aLWND|39AART|4ASPD|5aVULN|6RCR|7AAC|8aMLV|aBPWR
97	44321 26113	   	254.63	ACR|DCR|1VULN|1TLV|1MLV|1AAC	1TBNT|26RCR|3TLV|4FEWX|5VULN|7AAC|8CGEN|9MLV|aLHND
98	44321 21336	   	254.53	ACR|DCR|1VULN|1TLV|1MLV|1AAC	1TBNT|26RCR|3TLV|4FEWX|5VULN|7DUST|8BELT|9AAC|aMLV
99	44321 26112	   	254.53	ACR|DCR|1VULN|1TLV|1MLV|1AAC	1TBNT|26RCR|3TLV|4FEWX|5VULN|7AAC|8CGEN|9MLV|aAEFBLL
100	44321 23612	   	253.79	ACR|DCR|2VULN|2TLV	1TBNT|26RCR|37TLV|4FEWX|5aVULN|8LHND|9AME
101	36521 51232	   	253.77	DCR|2VULN|1TLV|1MLV|1AAC|1CDMG	14CGEN|24VULN|3AAC|4BPWR|5LHND|6TLV|7AART|8RCR|9CDMG|aMLV
102	44321 23312	   	253.69	ACR|DCR|2VULN|2TLV	1TBNT|26RCR|37TLV|4FEWX|5aVULN|8MBVNT|9AME
103	44321 23328	   	253.69	ACR|DCR|2VULN|2TLV	1TBNT|26RCR|37TLV|4FEWX|5aVULN|8MBVNT|9BBNT
104	44321 23354	   	253.69	ACR|DCR|2VULN|2TLV	1TBNT|26RCR|37TLV|4FEWX|59VULN|8MBVNT|aCGEN
105	44321 23382	   	253.69	ACR|DCR|2VULN|2TLV	1TBNT|26RCR|37TLV|4FEWX|5aVULN|8MBVNT|9RMIN
106	44321 23352	   	253.59	ACR|DCR|2VULN|2TLV|1MSE	1TBNT|26RCR|37TLV|4FEWX|59VULN|8MBVNT|aMSE
107	44321 23353	   	253.59	ACR|DCR|2VULN|2TLV	1TBNT|26RCR|37TLV|4FEWX|59VULN|8MBVNT|aERES
108	43162 11423	   	253.40	DCR|2VULN|2TLV|1DMG|1AAC|2RAT	1TBNT|27TLV|3AETHUN|4AAC|57RAT|67VULN|7BPWR|8RCR|9BBNT|aDMG
109	44321 24121	   	253.27	ACR|DCR|2VULN|1TLV|1CDMG	1TBNT|26RCR|3TLV|4FEWX|59VULN|7LHND|8AME|aCDMG
110	44321 21121	   	253.17	ACR|DCR|2VULN|1TLV|1CDMG	1TBNT|26RCR|3TLV|4FEWX|59VULN|7DUST|8AME|aCDMG
111	44321 21521	   	253.07	ACR|DCR|2VULN|1TLV|1CDMG	1TBNT|26RCR|3TLV|4FEWX|59VULN|7DUST|8ERES|aCDMG
112	22333 46334	   	253.06	DCR|DCR|1VULN|1DMG	1RPLT|2LWND|3VULN|4AART|5DMG|6aRCR|7CGEN|8ERES|9DUR
113	22333 46621	   	253.06	DCR|DCR|1VULN|1DMG	1RPLT|2LWND|3VULN|4AART|5DMG|69RCR|7CGEN|8DUR|aAEBURN
114	22333 46622	   	253.06	DCR|DCR|1VULN|1DMG	1RPLT|2LWND|3VULN|4AART|5DMG|69RCR|7CGEN|8DUR|aMDPS
115	22333 46623	   	253.06	DCR|DCR|1VULN|1DMG	1RPLT|2LWND|3VULN|4AART|5DMG|69RCR|7CGEN|8DUR|aAEWIND
