0	Index      	 *	Score 	Summary	Detail	
1	56222 52232	 * 	298.44	DCR|DCR|1VULN|1TLV|1DMG|1ASPD|1CDMG	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LIT|9CDMG|aTLV
23	51612 22125	 * 	288.10	DCR|3VULN|3ASPD|2DMG|1MLV	178VULN|2RMIN|37DMG|4MLV|5LHND|679ASPD|7BPWR|aRCR
24	51315 21116	 * 	287.48	DCR|4VULN|2MLV|1DMG|1AAC	1589VULN|2RMIN|3AAC|46MLV|7DMG|aRCR
25	54332 22125	 * 	287.31	DCR|3VULN|2TLV|3ASPD|1AAC	178VULN|27TLV|3AAC|4LEGI|5RMIN|679ASPD|7BPWR|aRCR
26	52221 26223	   	286.06	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1VULN|2FEWX|3LIT|4CDMG|5TLV|6RPLT|79RCR|8RAT|aAAC
27	53262 23452	   	285.71	DCR|DCR|2VULN|1AAC|1ASPD	19VULN|2AART|3AEBURN|4MBVNT|5AAC|6DUST|78RCR|aASPD
28	34313 56414	 * 	284.79	DCR|DCR|1TLV|1MLV|1DMG|1AAC	1BEXP|2TLV|3AAC|4MLV|5MBVNT|68RCR|7AART|9MDPS|aDMG
29	56222 52223	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LIT|9TLV|aSPLARM
30	56222 52224	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LIT|9TLV|aRPLT
31	56222 52311	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8SPLARM|9LIT|aTLV
32	56222 52431	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LHND|9TLV|aLWND
33	56222 52131	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8DUST|9TLV|aLWND
34	56222 52132	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8DUST|9TLV|aDMSP
35	56222 52133	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8DUST|9TLV|aFEWX
36	56222 52221	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LIT|9TLV|aMDPS
37	56222 52222	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LIT|9TLV|aAEFRZ
38	56222 52433	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LHND|9TLV|aAEPOI
39	56222 52434	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LHND|9TLV|aERES
40	56222 52134	   	284.59	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8DUST|9TLV|aAEFBLL
41	53662 23441	   	284.42	DCR|DCR|2VULN|1AAC|2DUR	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9aDUR
42	51315 25223	   	284.27	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	15VULN|2RMIN|3AAC|46MLV|7RCR|8AART|9DMG|aTLV
43	16622 25213	   	284.17	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1AEBURN|29VULN|36MLV|4TLV|5DMG|7RCR|8AART|aAAC
44	54316 23321	 * 	284.02	DCR|2MLV|2TLV|1VULN|1DMG|1AAC|1CDMG	1VULN|25TLV|3AAC|46MLV|7CDMG|8RCR|9AART|aDMG
45	54316 23333	 * 	283.73	DCR|2VULN|2MLV|2TLV|1AAC|1CDMG	1aVULN|25TLV|3AAC|46MLV|7CDMG|8RCR|9LWND
46	54316 23311	   	283.63	DCR|2VULN|2MLV|2TLV|1AAC|1CDMG	1aVULN|25TLV|3AAC|46MLV|7CDMG|8RCR|9ERES
47	16622 23116	 * 	282.43	DCR|3VULN|2MLV|1TLV|1DMG	1AEBURN|289VULN|36MLV|4TLV|5DMG|7CGEN|aRCR
48	51214 42213	   	282.29	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2RMIN|3CDMG|4RPLT|5DMG|67RCR|8LIT|9TLV|aVENICY
49	51214 42311	   	282.29	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2RMIN|3CDMG|4RPLT|5DMG|67RCR|8VENICY|9LIT|aTLV
50	31214 42212	   	282.19	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1BEXP|2RMIN|3CDMG|4RPLT|5DMG|67RCR|8LIT|9TLV|aVULN
51	51214 42211	   	282.19	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2RMIN|3CDMG|4RPLT|5DMG|67RCR|8LIT|9TLV|aMDPS
52	51214 42212	   	282.19	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2RMIN|3CDMG|4RPLT|5DMG|67RCR|8LIT|9TLV|aAEFBLL
53	56222 52312	   	280.78	DCR|DCR|2VULN|1DMG|1ASPD	1aVULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8SPLARM|9LIT
54	56222 52321	   	280.78	DCR|DCR|2VULN|1DMG|1ASPD	19VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8SPLARM|aLHND
55	56222 52323	   	280.78	DCR|DCR|2VULN|1DMG|1ASPD	19VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8SPLARM|aTBNT
56	56222 52441	   	280.78	DCR|DCR|2VULN|1DMG|1ASPD	19VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LHND|aFEWX
57	56222 52444	   	280.78	DCR|DCR|2VULN|1DMG|1ASPD	19VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LHND|aZMB
58	56222 52141	   	280.68	DCR|DCR|2VULN|1DMG|1ASPD	19VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8DUST|aFEWX
59	56222 52144	   	280.68	DCR|DCR|2VULN|1DMG|1ASPD	19VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8DUST|aZMB
60	36222 52327	   	280.58	DCR|DCR|2VULN|1DMG|1ASPD	1BEXP|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8CANARM|9aVULN
61	34313 56424	 * 	279.93	DCR|DCR|2AAC|1TLV|1MLV	1BEXP|2TLV|3aAAC|4MLV|5MBVNT|68RCR|7AART|9SPLARM
62	34313 56434	   	279.83	DCR|DCR|2AAC|1TLV|1MLV	1BEXP|2TLV|3aAAC|4MLV|5MBVNT|68RCR|7AART|9SPLREG
63	34313 56441	   	279.69	DCR|DCR|1TLV|1MLV|1AAC|2DUR	1BEXP|2TLV|3AAC|4MLV|5MBVNT|68RCR|7AART|9aDUR
64	51216 42213	   	279.12	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1VULN|2RMIN|3CDMG|4RPLT|5AAC|67RCR|8LIT|9TLV|aVENICY
65	51216 42311	   	279.12	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1VULN|2RMIN|3CDMG|4RPLT|5AAC|67RCR|8VENICY|9LIT|aTLV
66	54316 23322	 * 	279.06	DCR|2MLV|2TLV|1VULN|2AAC|1CDMG	1VULN|25TLV|3aAAC|46MLV|7CDMG|8RCR|9AART
67	31216 42212	   	279.02	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1BEXP|2RMIN|3CDMG|4RPLT|5AAC|67RCR|8LIT|9TLV|aVULN
68	51216 42211	   	279.02	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1VULN|2RMIN|3CDMG|4RPLT|5AAC|67RCR|8LIT|9TLV|aMDPS
69	51216 42212	   	279.02	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1VULN|2RMIN|3CDMG|4RPLT|5AAC|67RCR|8LIT|9TLV|aAEFBLL
70	53664 23332	 * 	278.90	DCR|4VULN|2MLV|2CDMG	135aVULN|2AART|3aBPWR|4MBVNT|6BBNT|7RCR|8aCDMG|9aMLV
71	51312 22156	 * 	278.31	DCR|3VULN|2MLV|2ASPD|1AAC	178VULN|2RMIN|3AAC|49MLV|57LHND|67ASPD|7BPWR|aRCR
72	44211 52232	   	278.28	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1NUKE|2VULN|3MBVNT|4ASPD|5CGEN|67RCR|8LIT|9CDMG|aTLV
73	51214 42312	   	278.28	DCR|DCR|2VULN|1DMG|1CDMG	1aVULN|2RMIN|3CDMG|4RPLT|5DMG|67RCR|8VENICY|9LIT
74	51214 42321	   	278.28	DCR|DCR|2VULN|1DMG|1CDMG	19VULN|2RMIN|3CDMG|4RPLT|5DMG|67RCR|8VENICY|aLHND
75	51214 42323	   	278.28	DCR|DCR|2VULN|1DMG|1CDMG	19VULN|2RMIN|3CDMG|4aRPLT|5DMG|67RCR|8VENICY
76	51214 42322	   	278.18	DCR|DCR|2VULN|1DMG|1CDMG|1SELL	19VULN|2RMIN|3CDMG|4RPLT|5DMG|67RCR|8VENICY|aSELL
77	51313 22467	   	278.11	DCR|3VULN|2MLV|2ASPD|1AAC	17aVULN|2RMIN|3AAC|47MLV|5MBVNT|67ASPD|7BPWR|8DUST|9RCR
78	54316 23312	 * 	277.98	DCR|3MLV|2TLV|1VULN|1AAC|1CDMG	1VULN|25TLV|3AAC|46aMLV|7CDMG|8RCR|9ERES
79	53662 23444	   	277.87	DCR|DCR|2VULN|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9DUR|aBBNT
80	54315 23323	   	277.86	DCR|2VULN|2MLV|1TLV|1AAC|1CDMG	15VULN|2TLV|3AAC|46MLV|7CDMG|8RCR|9AART|aLIT
81	53662 23443	   	277.77	DCR|DCR|2VULN|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9DUR|aMDPS
82	44211 52324	   	277.50	DCR|DCR|2VULN|1AAC|1ASPD	1NUKE|29VULN|3MBVNT|4ASPD|5CGEN|67RCR|8SPLARM|aAAC
83	44211 52442	   	277.50	DCR|DCR|2VULN|1AAC|1ASPD	1NUKE|29VULN|3MBVNT|4ASPD|5CGEN|67RCR|8LHND|aAAC
84	52221 26225	   	277.47	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2FEWX|3LIT|4CDMG|5TLV|6RPLT|79RCR|8RAT|aDUR
85	44211 52142	   	277.40	DCR|DCR|2VULN|1AAC|1ASPD	1NUKE|29VULN|3MBVNT|4ASPD|5CGEN|67RCR|8DUST|aAAC
86	36222 52218	   	275.95	DCR|DCR|1TLV|1MLV|1DMG|1ASPD	1BEXP|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LIT|9TLV|aMLV
87	51216 42312	   	275.11	DCR|DCR|2VULN|1AAC|1CDMG	1aVULN|2RMIN|3CDMG|4RPLT|5AAC|67RCR|8VENICY|9LIT
88	51216 42321	   	275.11	DCR|DCR|2VULN|1AAC|1CDMG	19VULN|2RMIN|3CDMG|4RPLT|5AAC|67RCR|8VENICY|aLHND
89	51216 42322	   	275.01	DCR|DCR|2VULN|1AAC|1CDMG|1SELL	19VULN|2RMIN|3CDMG|4RPLT|5AAC|67RCR|8VENICY|aSELL
90	51216 42323	   	275.01	DCR|DCR|2VULN|1AAC|1CDMG	19VULN|2RMIN|3CDMG|4RPLT|5AAC|67RCR|8VENICY|aMBVNT
91	44213 51344	   	274.90	DCR|3VULN|2MLV|2CDMG|1ASPD	1NUKE|258VULN|3MBVNT|4ASPD|68CDMG|78MLV|8BPWR|9RCR|aDUR
92	51313 22744	 * 	274.71	DCR|2VULN|2MLV|2ASPD|1DMG|1AAC	17VULN|2RMIN|3AAC|47MLV|5MBVNT|67ASPD|7BPWR|8MSLREG|9DMG|aRCR
93	44211 52322	   	274.26	DCR|DCR|2VULN|1ASPD|1CDMG	1NUKE|29VULN|3MBVNT|4ASPD|5CGEN|67RCR|8SPLARM|aCDMG
94	51611 43312	 * 	273.24	DCR|3MLV|2VULN|1DMG|1AAC	16VULN|2RMIN|3DMG|47aMLV|5RAT|8RCR|9AAC
95	34313 56444	   	273.14	DCR|DCR|1TLV|1MLV|1AAC	1BEXP|2TLV|3AAC|4MLV|5MBVNT|68RCR|7AART|9DUR|aBBNT
96	16622 25133	 * 	273.05	DCR|2VULN|2MLV|2TLV|1DMG	1AEBURN|29VULN|36MLV|4aTLV|5DMG|7RCR|8DUST
97	34313 56443	   	273.04	DCR|DCR|1TLV|1MLV|1AAC	1BEXP|2TLV|3AAC|4MLV|5MBVNT|68RCR|7AART|9DUR|aMDPS
98	44211 52432	   	272.93	DCR|DCR|1VULN|1TLV|1ASPD	1NUKE|2VULN|3MBVNT|4ASPD|5CGEN|67RCR|8LHND|9TLV|aAART
99	16622 26333	   	272.62	DCR|2VULN|2MLV|1TLV|1DMG|1CDMG	1AEBURN|2aVULN|36MLV|4TLV|5DMG|7CDMG|8RCR|9LWND
100	54132 21116	 * 	272.52	DCR|3VULN|2TLV|1MLV|1DMG	189VULN|24TLV|3AME|5DMG|6MLV|7RCVC|aRCR
101	16622 26311	   	272.52	DCR|2VULN|2MLV|1TLV|1DMG|1CDMG	1AEBURN|2aVULN|36MLV|4TLV|5DMG|7CDMG|8RCR|9ERES
102	44211 52233	   	272.39	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1NUKE|2VULN|3MBVNT|4ASPD|5CGEN|67RCR|8LIT|9CDMG|aMLV
103	51315 25213	 * 	270.68	DCR|3VULN|2MLV|2AAC	159VULN|2RMIN|3aAAC|46MLV|7RCR|8AART
104	51115 21116	   	270.59	DCR|4VULN|2MLV|1DMG	1589VULN|2RMIN|3AME|46MLV|7DMG|aRCR
105	16315 21116	   	270.49	DCR|4VULN|2MLV|1DMG	1AEBURN|2589VULN|3FEWX|46MLV|7DMG|aRCR
106	16622 26321	 * 	270.44	DCR|2MLV|2DMG|1VULN|1TLV|1CDMG	1AEBURN|2VULN|36MLV|4TLV|5aDMG|7CDMG|8RCR|9AART
107	54312 13512	   	270.03	DCR|3VULN|1TLV|1MLV|1AAC|2DUR	179VULN|2TLV|3AAC|4MLV|5LHND|6aDUR|8RCR
108	34315 13512	   	269.93	DCR|3VULN|1TLV|1MLV|1AAC|2DUR	1BEXP|2TLV|3AAC|4MLV|579VULN|6aDUR|8RCR
109	51315 25131	 * 	269.60	DCR|3VULN|3MLV|1AAC	159VULN|2RMIN|3AAC|46aMLV|7RCR|8DUST
110	56222 52344	   	269.59	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1VULN|2ASPD|3MBVNT|49CGEN|5DMG|67RCR|8SPLARM|aAAC
111	53662 23421	   	269.56	DCR|DCR|2VULN|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9SPLARM|aFEWX
112	53662 23422	   	269.56	DCR|DCR|2VULN|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9SPLARM|aFRZARM
113	53662 23424	   	269.56	DCR|DCR|2VULN|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9SPLARM|aRCVC
114	54315 23332	   	269.55	DCR|2VULN|2MLV|1TLV|1AAC|1CDMG	15VULN|2TLV|3AAC|46MLV|7CDMG|8RCR|9LWND|aFEWX
115	54412 31131	   	269.51	DCR|3VULN|2TLV|1DMG|1ASPD	146VULN|24TLV|3BBNT|4BPWR|5DMG|7ASPD|8ERES|9RAT|aRCR
116	36222 52464	   	269.49	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1BEXP|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LWND|9VULN|aAAC
117	53262 23454	   	269.46	DCR|DCR|2VULN|1AAC	19VULN|2AART|3AEBURN|4MBVNT|5AAC|6DUST|78RCR|aBBNT
118	53662 23411	   	269.46	DCR|DCR|2VULN|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9MDPS|aAME
119	53662 23412	   	269.46	DCR|DCR|2VULN|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9MDPS|aFEWX
120	53662 23431	   	269.46	DCR|DCR|2VULN|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9SPLREG|aFEWX
121	53662 23432	   	269.46	DCR|DCR|2VULN|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9SPLREG|aFRZARM
122	53662 23434	   	269.46	DCR|DCR|2VULN|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9SPLREG|aRCVC
123	51313 35415	   	269.45	DCR|2VULN|2MLV|1TLV|1AAC|1CDMG	19VULN|2RMIN|3AAC|48MLV|5MBVNT|6CDMG|7TLV|aRCR
124	54313 31125	   	269.45	DCR|2VULN|2MLV|1TLV|1AAC|1CDMG	18VULN|2TLV|3AAC|47MLV|5MBVNT|6CDMG|9CGEN|aRCR
125	54315 23313	   	269.45	DCR|2VULN|2MLV|1TLV|1AAC|1CDMG	15VULN|2TLV|3AAC|46MLV|7CDMG|8RCR|9ERES|aLHND
126	54315 23331	   	269.45	DCR|2VULN|2MLV|1TLV|1AAC|1CDMG	15VULN|2TLV|3AAC|46MLV|7CDMG|8RCR|9LWND|aBEXP
127	54323 31415	   	269.45	DCR|2VULN|2MLV|1TLV|1AAC|1CDMG	19VULN|2TLV|3AAC|4CGEN|5MBVNT|6CDMG|78MLV|aRCR
128	55132 43312	   	269.45	DCR|2VULN|2MLV|1TLV|1AAC|2RAT	15VULN|24RAT|3RMIN|6TLV|7aMLV|8RCR|9AAC
129	36222 52164	   	269.39	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1BEXP|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8DUST|9VULN|aAAC
130	53262 23451	   	269.36	DCR|DCR|2VULN|1AAC	19VULN|2AART|3AEBURN|4MBVNT|5AAC|6DUST|78RCR|aBEXP
131	53262 23453	   	269.36	DCR|DCR|2VULN|1AAC	19VULN|2AART|3AEBURN|4MBVNT|5AAC|6DUST|78RCR|aMDPS
132	53662 23413	   	269.36	DCR|DCR|2VULN|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9MDPS|aBASARM
133	36115 13512	   	269.29	DCR|3VULN|1TLV|1MLV|1ASPD|2DUR	1BEXP|2ASPD|3TLV|4MLV|579VULN|6aDUR|8RCR
134	16515 23223	   	269.17	DCR|2VULN|2MLV|1TLV|1CDMG	1AEBURN|25VULN|3DUR|46MLV|7CDMG|8RCR|9AART|aTLV
135	52221 26221	   	269.17	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2FEWX|3LIT|4CDMG|5TLV|6RPLT|79RCR|8RAT|aLHND
136	52221 26224	   	269.17	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2aFEWX|3LIT|4CDMG|5TLV|6RPLT|79RCR|8RAT
137	52221 26226	   	269.17	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2FEWX|3LIT|4CDMG|5TLV|6RPLT|79RCR|8RAT|aCGEN
138	52221 26222	   	269.07	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2FEWX|3LIT|4CDMG|5TLV|6RPLT|79RCR|8RAT|aBEXP
139	66283 42231	   	268.96	DCR|3VULN|3MLV|1ASPD	17DUST|2ASPD|3MBVNT|47aVULN|567MLV|7BPWR|8BELT|9RCR
140	44211 52443	   	268.92	DCR|DCR|2VULN|1ASPD	1NUKE|29VULN|3MBVNT|4ASPD|5CGEN|67RCR|8LHND|aDUR
141	55122 41312	   	268.83	DCR|3VULN|1TLV|1MLV|1AAC|2RAT	145VULN|24RAT|3RMIN|4BPWR|6TLV|7CGEN|8RCR|9AAC|aMLV
142	55122 43311	   	268.83	DCR|3VULN|1TLV|1MLV|1AAC|2RAT	145VULN|24RAT|3RMIN|4BPWR|6TLV|7MLV|8RCR|9AAC|aLWND
143	55122 43313	   	268.83	DCR|3VULN|1TLV|1MLV|1AAC|2RAT	145VULN|24RAT|3RMIN|4BPWR|6TLV|7MLV|8RCR|9AAC|aAME
144	44211 52143	   	268.82	DCR|DCR|2VULN|1ASPD	1NUKE|29VULN|3MBVNT|4ASPD|5CGEN|67RCR|8DUST|aDUR
145	54334 22121	 * 	268.46	4VULN|3DMG|2TLV|3ASPD|1AAC	178aVULN|2aTLV|3AAC|4LEGI|57aDMG|679ASPD|7aBPWR
