0	Index      	 *	Score 	Summary	Detail	
1	33133 33524	 * 	288.48	橙橙2易伤1伤害2时间1平台	1平台28时间3低血量敌人4技能59易伤67核a伤害
24	62412 31224	   	265.84	橙橙3易伤	124易伤34雷电4序列升级5双倍秒伤6挖尘7敌人爆炸8a核9加一
25	22131 35241	   	265.75	橙橙2易伤1暴击	1暴击2时间35易伤4随机矿6技能点7a核8低血量敌人9赏金邻近
26	22131 35251	   	265.75	橙橙2易伤1暴击	1暴击2时间35易伤4随机矿6技能点7a核8低血量敌人9赏金塔
27	22131 35441	   	265.75	橙橙2易伤1暴击	1暴击2时间35易伤4随机矿6技能点7a核8最后敌人9赏金邻近
28	22131 35451	   	265.75	橙橙2易伤1暴击	1暴击2时间35易伤4随机矿6技能点7a核8最后敌人9赏金塔
29	22131 45341	   	265.75	橙橙2易伤1暴击	1暴击2时间35易伤4随机矿6金币生成7a核8挖尘9赏金邻近
30	22131 45351	   	265.75	橙橙2易伤1暴击	1暴击2时间35易伤4随机矿6金币生成7a核8挖尘9赏金塔
31	62442 31224	   	265.74	橙橙3易伤	124易伤3雷电5双倍秒伤6挖尘7敌人爆炸8a核9加一
32	22131 35341	   	265.65	橙橙2易伤1暴击	1暴击2时间35易伤4随机矿6技能点7a核8挖尘9赏金邻近
33	22131 35351	   	265.65	橙橙2易伤1暴击	1暴击2时间35易伤4随机矿6技能点7a核8挖尘9赏金塔
34	22133 62521	   	263.73	橙橙1易伤1矿等2时间1暴击	1暴击27时间3易伤4随机矿5赏金塔6a核8最后敌人9矿等
35	22133 62221	   	263.63	橙橙1易伤1矿等2时间1暴击	1暴击27时间3易伤4随机矿5赏金塔6a核8挖尘9矿等
36	22133 62321	   	263.63	橙橙1易伤1矿等2时间1暴击	1暴击27时间3易伤4随机矿5赏金塔6a核8挖青9矿等
37	26133 62421	   	263.63	橙橙1易伤1矿等2时间1暴击	1暴击2挖尘3易伤4随机矿5赏金塔6a核78时间9矿等
38	22133 63361	 * 	263.49	橙橙1易伤2暴击1矿等	19暴击2时间3易伤4随机矿5赏金塔6a核7矿等8基地爆炸
39	31335 33415	   	262.96	橙橙1易伤1攻速1暴击1平台	1平台2低血量敌人3易伤4技能5敌人爆炸67核8攻速9暴击a时间
40	33133 33413	   	262.96	橙橙1易伤1攻速1暴击1平台	1平台2时间3低血量敌人4技能5易伤67核8攻速9暴击a金币生成
41	33133 33415	   	262.96	橙橙1易伤1攻速1暴击1平台	1平台2时间3低血量敌人4技能5易伤67核8攻速9暴击a立即金币
42	33133 33453	   	262.96	橙橙1易伤1攻速1暴击1平台	1平台2时间3低血量敌人4技能5易伤67核8攻速9基地爆炸a暴击
43	33135 33412	   	262.96	橙橙1易伤1攻速1暴击1平台	1平台2时间3低血量敌人4技能5敌人爆炸67核8攻速9暴击a易伤
44	33135 33443	   	262.96	橙橙1易伤1攻速1暴击1平台	1平台2时间3低血量敌人4技能5敌人爆炸67核8攻速9易伤a暴击
45	33144 33412	   	262.96	橙橙1易伤1攻速1暴击1平台	1平台2时间3低血量敌人4敌人爆炸5技能67核8攻速9暴击a易伤
46	33635 33413	   	262.96	橙橙1易伤1攻速1暴击1平台	1平台2时间3易伤4技能5敌人爆炸67核8攻速9暴击a金币生成
47	35133 33415	   	262.96	橙橙1易伤1攻速1暴击1平台	1平台2敌人爆炸3低血量敌人4技能5易伤67核8攻速9暴击a时间
48	33133 33411	   	262.86	橙橙1易伤1暴击1攻速1平台	1平台2时间3低血量敌人4技能5易伤67核8攻速9暴击a掉矿
49	33133 33412	   	262.86	橙橙1易伤1暴击1攻速1平台	1平台2时间3低血量敌人4技能5易伤67核8攻速9暴击a激光减费
50	33133 33414	   	262.86	橙橙1易伤1攻速1暴击1平台	1平台2时间3低血量敌人4技能5易伤67核8攻速9暴击a挖尘
51	33133 33416	   	262.86	橙橙1易伤1攻速1暴击1平台1策反	1平台2时间3低血量敌人4技能5易伤67核8攻速9暴击a策反
52	33133 33423	   	262.86	橙橙1易伤1攻速1暴击1平台	1平台2时间3低血量敌人4技能5易伤67核8攻速9加一a暴击
53	33164 33412	   	262.86	橙橙1易伤1攻速1暴击1平台	1平台2时间3低血量敌人4挖尘5技能67核8攻速9暴击a易伤
54	33635 33411	   	262.86	橙橙1易伤1暴击1攻速1平台	1平台2时间3易伤4技能5敌人爆炸67核8攻速9暴击a掉矿
55	33635 33412	   	262.86	橙橙1易伤1暴击1攻速1平台	1平台2时间3易伤4技能5敌人爆炸67核8攻速9暴击a激光减费
56	33635 33423	   	262.86	橙橙1易伤1攻速1暴击1平台	1平台2时间3易伤4技能5敌人爆炸67核8攻速9加一a暴击
57	33133 33534	   	262.17	橙橙1易伤1伤害2时间1平台	1平台28时间3低血量敌人4技能5易伤67核9激光减费a伤害
58	33133 33614	   	261.86	橙橙2易伤1平台	1平台2时间3低血量敌人4技能5a易伤67核8雷电9基地爆炸
59	33133 33654	   	261.86	橙橙2易伤1平台	1平台2时间3低血量敌人4技能5a易伤67核8雷电9最后敌人
60	33133 33663	   	261.86	橙橙2易伤1平台	1平台2时间3低血量敌人4技能5a易伤67核8雷电9金币生成
61	31335 33534	   	261.86	橙橙2易伤1平台	1平台2低血量敌人3a易伤4技能5敌人爆炸67核8时间9雷电
62	35133 33534	   	261.86	橙橙2易伤1平台	1平台2敌人爆炸3低血量敌人4技能5a易伤67核8时间9雷电
63	31133 33534	   	261.76	橙橙2易伤1平台	1平台2低血量敌人3挖青4技能5a易伤67核8时间9雷电
64	33133 33134	   	261.76	橙橙2易伤1平台	1平台2时间3低血量敌人4技能5a易伤67核8挖尘9雷电
65	33133 33635	   	261.76	橙橙2易伤1平台	1平台2时间3低血量敌人4技能5a易伤67核8雷电9加一
66	33635 33134	   	261.76	橙橙2易伤1平台	1平台2时间3a易伤4技能5敌人爆炸67核8挖尘9雷电
67	33635 33342	   	261.76	橙橙2易伤1平台	1平台2时间3a易伤4技能5敌人爆炸67核8等级9激光减费
68	33635 33113	   	261.66	橙橙2易伤1平台	1平台2时间3a易伤4技能5敌人爆炸67核8挖尘9双倍物品
69	33635 33242	   	261.66	橙橙2易伤1平台	1平台2时间3a易伤4技能5敌人爆炸67核8技能点9激光减费
70	33644 33113	   	261.66	橙橙2易伤1平台	1平台2时间3a易伤4敌人爆炸5技能67核8挖尘9双倍物品
71	66213 21335	   	260.98	橙橙2易伤1矿等1策反	15易伤2狙击对黄3矿等4赏金塔6挖尘7a核8立即金币9策反
72	31335 33428	   	260.97	橙橙1易伤1伤害1攻速1平台	1平台2低血量敌人3易伤4技能5敌人爆炸67核8攻速9加一a伤害
73	35133 33428	   	260.97	橙橙1易伤1伤害1攻速1平台	1平台2敌人爆炸3低血量敌人4技能5易伤67核8攻速9加一a伤害
74	31133 33428	   	260.87	橙橙1易伤1伤害1攻速1平台	1平台2低血量敌人3挖青4技能5易伤67核8攻速9加一a伤害
75	21335 35343	   	260.62	橙橙1易伤1伤害1暴击1平台1策反	1暴击2技能点3易伤4最后敌人5核弹6平台79核8策反a伤害
76	61432 33422	 * 	260.30	橙橙2矿等1易伤1平台	1易伤2技能点3平台4a矿等5随机矿6爆破对壮78核9赏金塔
77	22212 56632	   	258.87	橙橙1易伤1暴击1全技能1平台	1暴击2时间3全技能4爆破对壮5基地爆炸6平台79核8易伤a最后敌人
78	22212 56633	   	258.87	橙橙1易伤1暴击1全技能1平台	1暴击2时间3全技能4爆破对壮5基地爆炸6平台79核8易伤a低血量敌人
79	33133 33464	   	258.87	橙橙1易伤1攻速1全技能1平台	1平台2时间3低血量敌人4技能5易伤67核8攻速9掉矿a全技能
80	62361 11261	 * 	258.79	紫橙3易伤1暴击	127易伤3暴击4a核568掉矿9时间
81	22212 56631	   	258.77	橙橙1易伤1暴击1全技能1平台	1暴击2时间3全技能4爆破对壮5基地爆炸6平台79核8易伤a加农对毒
82	22213 56632	   	258.77	橙橙1易伤1暴击1全技能1平台	1暴击2时间3全技能4爆破对壮5挖尘6平台79核8易伤a最后敌人
83	22213 56633	   	258.77	橙橙1易伤1暴击1全技能1平台	1暴击2时间3全技能4爆破对壮5挖尘6平台79核8易伤a低血量敌人
84	64213 22744	   	258.75	橙橙2易伤2时间	17易伤2加一34时间57雷电67敌人爆炸7序列升级8双倍秒伤9a核
85	22213 56631	   	258.67	橙橙1易伤1暴击1全技能1平台	1暴击2时间3全技能4爆破对壮5挖尘6平台79核8易伤a加农对毒
86	64213 11744	   	258.55	橙橙2易伤2时间	16易伤2加一34时间5雷电7最后敌人8双倍秒伤9a核
87	64213 16144	   	258.55	橙橙2易伤2时间	16易伤2加一34时间5雷电7双倍秒伤8最后敌人9a核
