0	Index      	 *	Score 	Summary	Detail	
1	24151 62132	 * 	288.32	DCR|3VULN|2MLV|2ASPD|1DMG	1DMG|2TBNT|35ASPD|45aVULN|5BPWR|69MLV|7RAT|8RCR
54	25521 51311	   	265.91	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|2aVULN|3TLV|4BEXP|5AME|6RAT|79MLV|8RCR
55	36353 31311	   	265.91	DCR|2VULN|2MLV|1TLV|1DMG	1CGEN|2RAT|3DMG|4BEXP|5aVULN|6TLV|79MLV|8RCR
56	25353 24744	 * 	265.49	DCR|3VULN|3DMG|1TLV	179DMG|249VULN|39LHND|5RCVC|6MBVNT|8RCR|9BPWR|aTLV
57	21643 41381	 * 	265.25	DCR|DCR|2DMG|1MLV|2CDMG	18DMG|28LWND|3MBVNT|4LSRHEA|5MSLREG|6aRCR|78CDMG|8BPWR|9MLV
58	21646 41381	   	265.25	DCR|DCR|2DMG|1MLV|2CDMG	18DMG|28LWND|3MBVNT|4LSRHEA|5BASHEA|6aRCR|78CDMG|8BPWR|9MLV
59	21648 41381	   	265.25	DCR|DCR|2DMG|1MLV|2CDMG	18DMG|28LWND|3MBVNT|4LSRHEA|5SNIFST|6aRCR|78CDMG|8BPWR|9MLV
60	24151 62131	   	264.75	DCR|2VULN|2MLV|2ASPD|1DMG	1DMG|2TBNT|35ASPD|45VULN|5BPWR|69MLV|7RAT|8RCR|aBEXP
61	24151 62133	   	264.75	DCR|2VULN|2MLV|2ASPD|1DMG	1DMG|2TBNT|35ASPD|45VULN|5BPWR|69MLV|7RAT|8RCR|aERES
62	25341 31361	   	264.69	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD|2RAT	1DMG|2aVULN|3LHND|49RAT|5ASPD|6TLV|7MLV|8RCR
63	21133 41543	   	264.43	DCR|DCR|2VULN|1DMG	1DMG|2LWND|3FEWX|4ERES|5aVULN|6LHND|78RCR|9DUST
64	21233 41563	   	264.43	DCR|DCR|2VULN|1DMG	1DMG|2LWND|3DUST|4ERES|5aVULN|6LHND|78RCR|9FEWX
65	21333 51563	   	264.43	DCR|DCR|2VULN|1DMG	1DMG|2LWND|3LHND|4ERES|5aVULN|6BEXP|78RCR|9FEWX
66	25313 11543	   	264.43	DCR|DCR|2VULN|1DMG	1DMG|2aVULN|36LHND|4MDPS|5CGEN|78RCR|9DUST
67	21333 51543	   	264.33	DCR|DCR|2VULN|1DMG	1DMG|2LWND|3LHND|4ERES|5aVULN|6BEXP|78RCR|9DUST
68	22155 11623	 * 	263.86	DCR|5VULN|1MLV|1DMG	1DMG|2ERES|3AEFBLL|45789VULN|6MLV|aRCR
69	23355 11623	   	263.86	DCR|5VULN|1MLV|1DMG	1DMG|2AEWIND|3ERES|45789VULN|6MLV|aRCR
70	36343 31326	   	263.78	DCR|2VULN|1TLV|1MLV|1DMG|1CDMG	1CGEN|2RAT|3DMG|4DUR|5aVULN|6TLV|7MLV|8RCR|9CDMG
71	21651 36213	   	263.54	DCR|DCR|1DMG|1AAC|1ASPD|1CDMG	1DMG|2LWND|3MBVNT|4RAT|5ASPD|68RCR|7AAC|9DUR|aCDMG
72	36663 31311	   	262.84	DCR|2VULN|2MLV|1TLV|1AAC	1CGEN|2RAT|3LHND|4AAC|5aVULN|6TLV|79MLV|8RCR
73	25313 11532	   	262.65	DCR|DCR|1VULN|1MLV|1DMG	1DMG|2VULN|36LHND|4MDPS|59CGEN|78RCR|aMLV
74	21644 33532	   	262.55	DCR|DCR|1VULN|1MLV|1DMG	1DMG|2LWND|3MBVNT|4LSRHEA|5RPLT|68RCR|7LIT|9VULN|aMLV
75	25313 11562	   	262.55	DCR|DCR|1VULN|1MLV|1DMG	1DMG|2VULN|36LHND|49MDPS|5CGEN|78RCR|aMLV
76	36343 31315	   	262.49	DCR|2MLV|1VULN|1TLV|1DMG|1ASPD	1CGEN|2RAT|3DMG|4DUR|5VULN|6TLV|79MLV|8RCR|aASPD
77	25132 41521	   	262.34	DCR|DCR|2DMG|1VULN	19DMG|2VULN|3FEWX|4ERES|5DUR|6LHND|78RCR|aCGEN
78	25132 41522	   	262.34	DCR|DCR|2DMG|1VULN	19DMG|2VULN|3FEWX|4ERES|5DUR|6LHND|78RCR|aTBNT
79	21133 41524	   	262.34	DCR|DCR|2DMG|1VULN	19DMG|2LWND|3FEWX|4ERES|5VULN|6LHND|78RCR|aDUR
80	25313 11524	   	262.34	DCR|DCR|2DMG|1VULN	19DMG|2VULN|36LHND|4MDPS|5CGEN|78RCR|aDUR
81	21233 41524	   	262.24	DCR|DCR|2DMG|1VULN	19DMG|2LWND|3DUST|4ERES|5VULN|6LHND|78RCR|aDUR
82	21333 51524	   	262.24	DCR|DCR|2DMG|1VULN	19DMG|2LWND|3LHND|4ERES|5VULN|6BEXP|78RCR|aDUR
83	25132 41523	   	262.24	DCR|DCR|2DMG|1VULN	19DMG|2VULN|3FEWX|4ERES|5DUR|6LHND|78RCR|aMDPS
84	25232 41521	   	262.24	DCR|DCR|2DMG|1VULN	19DMG|2VULN|3DUST|4ERES|5DUR|6LHND|78RCR|aCGEN
85	25232 41522	   	262.24	DCR|DCR|2DMG|1VULN	19DMG|2VULN|3DUST|4ERES|5DUR|6LHND|78RCR|aTBNT
86	25332 51521	   	262.24	DCR|DCR|2DMG|1VULN	19DMG|2VULN|3LHND|4ERES|5DUR|6BEXP|78RCR|aCGEN
87	25332 51522	   	262.24	DCR|DCR|2DMG|1VULN	19DMG|2VULN|3LHND|4ERES|5DUR|6BEXP|78RCR|aTBNT
88	36431 31311	   	262.20	DCR|2VULN|2MLV|1TLV|1ASPD	1CGEN|2RAT|3aVULN|4LWND|5ASPD|6TLV|79MLV|8RCR
89	45341 31311	   	262.20	DCR|2VULN|2MLV|1TLV|1ASPD	1ZMB|2aVULN|3LHND|4RAT|5ASPD|6TLV|79MLV|8RCR
90	52441 31311	   	262.20	DCR|2VULN|2MLV|1TLV|1ASPD	1LWND|2aVULN|3ZMB|4RAT|5ASPD|6TLV|79MLV|8RCR
91	52621 53311	   	262.20	DCR|2VULN|2MLV|1TLV|1ASPD	1LWND|2aVULN|3ASPD|49MLV|5TLV|6RAT|7ZMB|8RCR
92	52642 31311	   	262.20	DCR|2VULN|2MLV|1TLV|1ASPD	1LWND|2aVULN|3ASPD|4RAT|5CGEN|6TLV|79MLV|8RCR
93	25232 41523	   	262.14	DCR|DCR|2DMG|1VULN	19DMG|2VULN|3DUST|4ERES|5DUR|6LHND|78RCR|aMDPS
94	25332 51523	   	262.14	DCR|DCR|2DMG|1VULN	19DMG|2VULN|3LHND|4ERES|5DUR|6BEXP|78RCR|aMDPS
95	36153 31311	   	262.10	DCR|2VULN|2MLV|1TLV|1ASPD	1CGEN|2RAT|3ASPD|4BEXP|5aVULN|6TLV|79MLV|8RCR
96	36441 31311	   	262.10	DCR|2VULN|2MLV|1TLV|1ASPD	1CGEN|2RAT|3aVULN|4LEGI|5ASPD|6TLV|79MLV|8RCR
97	13114 47432	 * 	261.59	DCR|2VULN|2MLV|2TLV	1BBNT|2RCVC|3TBNT|48MLV|58TLV|6MBVNT|78VULN|8BPWR|9RCR|aDUR
98	23223 62462	   	261.36	DCR|2VULN|2MLV|2DMG|1AAC	18DMG|27AEWIND|3MDPS|48MLV|58VULN|6TBNT|8BPWR|9RCR|aAAC
99	25313 11526	   	260.98	DCR|DCR|2DMG|1VULN	19DMG|2VULN|36LHND|4MDPS|5CGEN|78RCR|aRAT
100	22211 16355	   	260.68	DCR|2VULN|2DMG|1TLV|1MLV	15DMG|2ERES|3LIT|4TLV|6DUR|7RCR|89VULN|aMLV
101	25321 51523	 * 	260.36	DCR|3MLV|1VULN|1TLV|1DMG	1DMG|2VULN|39LHND|478MLV|5TLV|6RAT|aRCR
102	16333 21211	 * 	260.36	DCR|4VULN|1TLV|1DMG|1SELL	1BBNT|2678VULN|3DUR|4DMG|5SELL|9RCR|aTLV
103	25121 34631	   	260.09	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DMG|27VULN|3FEWX|4MLV|5TLV|6TBNT|8AAC|9RCR|aDUR
104	25321 34631	   	260.09	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DMG|27VULN|3LHND|4MLV|5TLV|6TBNT|8AAC|9RCR|aDUR
105	25221 34631	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DMG|27VULN|3DUST|4MLV|5TLV|6TBNT|8AAC|9RCR|aDUR
106	36143 31326	   	259.97	DCR|2VULN|1TLV|1MLV|1ASPD|1CDMG	1CGEN|2RAT|3ASPD|4DUR|5aVULN|6TLV|7MLV|8RCR|9CDMG
107	53123 11561	   	259.86	DCR|DCR|1VULN|1DMG|1SELL	1LWND|2RCVC|3VULN|4SELL|5DUR|6AART|7RAT|8aRCR|9DMG
108	52123 11561	   	259.76	DCR|DCR|1VULN|1DMG|1SELL	1LWND|2VULN|3AEBURN|4SELL|5DUR|6AART|7RAT|8aRCR|9DMG
109	25353 24741	 * 	259.60	DCR|3VULN|3DMG|1MLV	179DMG|249VULN|39LHND|5RCVC|6MBVNT|8RCR|9BPWR|aMLV
110	25612 11212	   	259.54	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2VULN|3VENFST|4MBVNT|5RAT|69RCR|7RPLT|8LHND|aASPD
111	21642 11512	   	259.54	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2LWND|3MBVNT|4LSRHEA|5RAT|69RCR|7RPLT|8VULN|aASPD
112	21644 35512	   	259.54	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2LWND|3MBVNT|4LSRHEA|5RPLT|69RCR|7RAT|8VULN|aASPD
113	12151 61611	   	259.41	DCR|2VULN|1TLV|2ASPD|1MLV|1CDMG	1BBNT|27CGEN|35ASPD|45VULN|5BPWR|6MLV|8CDMG|9RCR|aTLV
114	12151 62611	   	259.41	DCR|2VULN|1TLV|2ASPD|1MLV|1CDMG	1BBNT|2CGEN|35ASPD|45VULN|5BPWR|6MLV|7RCVC|8CDMG|9RCR|aTLV
115	12151 41134	   	259.31	DCR|2VULN|1TLV|2ASPD|1MLV|2RAT	1BBNT|2CGEN|35ASPD|45VULN|5BPWR|6aRAT|7TLV|8RCR|9MLV
116	36343 51311	   	259.12	DCR|2VULN|2MLV|1DMG|1AAC	1CGEN|2RAT|3DMG|4DUR|5aVULN|6AAC|79MLV|8RCR
117	21621 56311	   	258.87	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|2LWND|3MBVNT|4aMLV|5TLV|6RCR|7LEGI|89VULN
118	21643 41581	   	258.74	DCR|DCR|2DMG|1MLV|1CDMG	18DMG|2LWND|3MBVNT|4LSRHEA|5MSLREG|6aRCR|7CDMG|9MLV
119	24152 32124	 * 	258.43	DCR|3DMG|1VULN|1TLV|2ASPD|2RAT	16aDMG|2TBNT|3aASPD|4VULN|5TLV|7aRAT|8RCR|9BBNT|aBPWR
120	25132 41512	   	258.41	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|2VULN|3FEWX|4ERES|5DUR|6LHND|78RCR|9CDMG|aRMIN
121	25313 11515	   	258.41	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|2VULN|36LHND|4MDPS|5CGEN|78RCR|9CDMG|aDUR
122	25321 15361	   	258.35	DCR|3VULN|1TLV|1MLV|1DMG	1DMG|268VULN|3LHND|4MLV|5TLV|7RPLT|9RCR|aCGEN
123	25321 15362	   	258.35	DCR|3VULN|1TLV|1MLV|1DMG	1DMG|268VULN|3LHND|4MLV|5TLV|7RPLT|9RCR|aBBNT
