0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35336 31162	7	 * 	300.51	橙4易伤3伤害1时间1暴击	178掉矿2全技能378伤害4578易伤6核78序列升级9暴击a时间
25	26134 22431	9	   	275.90	橙4易伤3伤害2雷电	18雷电2立即金币358伤害4678易伤8序列升级9策反a核
26	35336 31131	10	   	274.39	橙5易伤2伤害	17掉矿2全技能37伤害4578a易伤6核7序列升级9随机矿
27	35336 31151	9	   	274.39	橙5易伤2伤害	17掉矿2全技能37伤害45789易伤6核7序列升级a最后敌人
28	35336 31152	9	   	274.39	橙5易伤2伤害	17掉矿2全技能37伤害45789易伤6核7序列升级a敌人爆炸
29	35336 31153	10	   	274.39	橙5易伤2伤害	17掉矿2全技能37伤害45789易伤6核7序列升级a金币生成
30	22235 52531	6	   	273.37	橙4易伤2攻速1伤害1等级	1雷电279a易伤3等级45攻速6核8伤害
31	22235 52531	7	   	273.37	橙4易伤2攻速1伤害1等级	1雷电279a易伤3等级45攻速6核8伤害
32	35336 31111	10	   	271.10	橙4易伤2伤害1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9时间a平台
33	35336 31111	9	   	271.10	橙4易伤2伤害1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9时间a金币生成
34	35336 31112	9	   	271.10	橙4易伤2伤害1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9时间a最后敌人
35	35336 31112	10	   	271.10	橙4易伤2伤害1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9时间a最后敌人
36	35336 31113	9	   	271.10	橙4易伤2伤害1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9时间a敌人爆炸
37	35336 31113	10	   	271.10	橙4易伤2伤害1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9时间a矿等
38	35336 31114	10	   	271.10	橙4易伤2伤害1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9时间a低血量敌人
39	35336 31115	10	   	271.10	橙4易伤2伤害1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9时间a金币生成
40	35336 31122	9	   	271.10	橙4易伤2伤害1等级	17掉矿2全技能37伤害4578易伤6核7序列升级9平台a等级
41	35336 31133	10	   	271.10	橙4易伤2伤害1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9随机矿a时间
42	35336 31136	8	   	271.10	橙4易伤2伤害1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9随机矿a时间
43	35336 31136	9	   	271.10	橙4易伤2伤害1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9随机矿a时间
44	35336 31114	8	   	271.00	橙4易伤2伤害1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9挖尘a时间
45	35336 31116	9	   	271.00	橙4易伤2伤害1时间	17a掉矿2全技能37伤害4578易伤6核7序列升级9时间
46	35336 31334	8	   	271.00	橙4易伤2伤害1时间	17掉矿2全技能37伤害4579易伤6核7序列升级8挖尘a时间
47	35336 31334	7	   	271.00	橙4易伤2伤害1时间	17掉矿2全技能37伤害4579易伤6核7序列升级8挖尘a时间
48	35336 31121	7	   	270.61	橙4易伤3伤害	178掉矿2全技能378伤害4578易伤6核78序列升级9a敌人爆炸
49	35336 31122	7	   	270.61	橙4易伤3伤害	178掉矿2全技能378伤害4578易伤6核78序列升级9敌人爆炸a低血量敌人
50	35336 31123	7	   	270.61	橙4易伤3伤害	178掉矿2全技能378伤害4578易伤6核78序列升级9敌人爆炸a策反
51	35336 31125	7	   	270.61	橙4易伤3伤害	178掉矿2全技能378伤害4578易伤6核78序列升级9敌人爆炸a双倍矿
52	35336 31126	7	   	270.61	橙4易伤3伤害	178掉矿2全技能378伤害4578易伤6核78序列升级9敌人爆炸a最后敌人
53	35336 31131	7	   	270.61	橙4易伤3伤害	178掉矿2全技能378伤害4578易伤6核78序列升级9矿等a策反
54	35336 31134	7	   	270.61	橙4易伤3伤害	178掉矿2全技能378伤害4578易伤6核78序列升级9矿等a低血量敌人
55	35336 31135	7	   	270.61	橙4易伤3伤害	178掉矿2全技能378伤害4578易伤6核78序列升级9矿等a金币生成
