0	Index      	 *	Score 	Summary	Detail	
1	24135 42121	 * 	266.10	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG|1RPLT	1RMIN|2DLOT|3RPLT|4aRCR|5MLV|6ASPD|7DMG|8VULN|9CDMG
17	11333 64371	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4LWND|5VULN|6MLV|7aRCR|8AIRARM|9TLV
18	11333 64531	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4LWND|5VULN|6MLV|7aRCR|8TSLFST|9CGEN
19	11333 64571	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4LWND|5VULN|6MLV|7aRCR|8TSLFST|9TLV
20	11346 63821	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4BEXP|5VULN|6MLV|7BLASTR|8aRCR|9CGEN
21	11346 64321	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4BEXP|5VULN|6MLV|7aRCR|8AIRARM|9CGEN
22	11346 64371	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4BEXP|5VULN|6MLV|7aRCR|8AIRARM|9TLV
23	11346 64521	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4BEXP|5VULN|6MLV|7aRCR|8TSLFST|9CGEN
24	13531 24821	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2CANTOX|3MBVNT|4FEWX|5MLV|6AART|7VULN|8aRCR|9CGEN
25	13531 24871	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2CANTOX|3MBVNT|4FEWX|5MLV|6AART|7VULN|8aRCR|9TLV
26	11333 63851	   	247.44	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4LWND|5VULN|6MLV|7BLASTR|8aRCR|9ERES
27	11333 63881	   	247.44	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4LWND|5VULN|6MLV|7BLASTR|8aRCR|9AME
28	11333 64351	   	247.44	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4LWND|5VULN|6MLV|7aRCR|8AIRARM|9ERES
29	11333 64381	   	247.44	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4LWND|5VULN|6MLV|7aRCR|8AIRARM|9AME
30	11333 64551	   	247.44	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4LWND|5VULN|6MLV|7aRCR|8TSLFST|9ERES
31	11333 64581	   	247.44	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4LWND|5VULN|6MLV|7aRCR|8TSLFST|9AME
32	11346 64351	   	247.44	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4BEXP|5VULN|6MLV|7aRCR|8AIRARM|9ERES
33	11346 64381	   	247.44	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4BEXP|5VULN|6MLV|7aRCR|8AIRARM|9AME
34	13531 24851	   	247.44	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2CANTOX|3MBVNT|4FEWX|5MLV|6AART|7VULN|8aRCR|9ERES
35	13531 24881	   	247.44	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2CANTOX|3MBVNT|4FEWX|5MLV|6AART|7VULN|8aRCR|9AME
36	51162 12253	   	242.31	DCR|DCR|1VULN|1CDMG	1VULN|2FEWX|3ERES|4DUR|5CDMG|6BBNT|7aRCR|8MBVNT|9RMIN
37	26332 16341	   	240.41	DCR|DCR|1VULN|1DMG	16RMIN|2MDPS|3MBVNT|4BELT|5RCVC|7aRCR|8DMG|9VULN
38	26332 46341	   	240.41	DCR|DCR|1VULN|1DMG	1RMIN|2MDPS|3MBVNT|4BELT|56RCVC|7aRCR|8DMG|9VULN
39	34113 32611	   	240.41	DCR|DCR|1VULN|1DMG	1MDPS|2LIT|3DMG|4LHND|5VULN|6BELT|7aRCR|8CGEN|9AIRARM
40	35221 41315	 * 	240.19	DCR|3VULN|2MLV|1CDMG|1RPLT	1MDPS|27aVULN|3RPLT|4CDMG|5MBVNT|6aMLV|8RCR|9aCGEN|aBPWR
41	35221 41365	   	239.99	DCR|3VULN|2MLV|1CDMG|1RPLT	1MDPS|27aVULN|3RPLT|4CDMG|5MBVNT|6aMLV|8RCR|9aERES|aBPWR
42	34333 64123	   	239.67	DCR|DCR|1VULN|1AART|1RPLT	1MDPS|2LIT|3FEWX|4LHND|5VULN|6DUST|79RCR|8AART|aRPLT
43	51432 26222	 * 	239.30	DCR|3VULN|1DMG|1MLV|1RPLT	139VULN|25FEWX|4DUR|6RPLT|7DMG|8RCR|aMLV
44	42116 23361	   	238.44	DCR|DCR|1DMG|1ASPD|1AART|1RPLT	1BEXP|2AAC|3ERES|4ASPD|5RPLT|69RCR|7LEGI|8DMG|aAART
45	35233 45333	   	238.42	DCR|DCR|1VULN|1RPLT	1MDPS|2VULN|3RPLT|4BEXP|5TBNT|6LWND|7DUR|8aRCR|9TLV
46	34333 64122	   	238.32	DCR|DCR|1VULN|1AART	1MDPS|2LIT|3FEWX|4LHND|5VULN|6DUST|79RCR|8AART|aDUR
47	35233 45313	   	238.32	DCR|DCR|1VULN|1RPLT	1MDPS|2VULN|3RPLT|4BEXP|5TBNT|6LWND|7DUR|8aRCR|9ERES
48	54211 32114	   	237.99	DCR|3VULN|1MLV|1ASPD|1CDMG|1AART|1ZMB	15aVULN|2CDMG|3MLV|4ZMB|6ASPD|7AART|8RCR|9FEWX
49	31325 13364	   	236.81	ACR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1MDPS|2RPLT|3DUR|4CDMG|59RCR|6FEWX|7VULN|8LHND|aASPD
50	51214 26222	   	236.79	DCR|2VULN|2MLV|1DMG|1ASPD|1RPLT	19VULN|2FEWX|3RCVC|4ASPD|5aMLV|6RPLT|7DMG|8RCR
51	12514 26222	   	236.69	DCR|2VULN|2MLV|1DMG|1ASPD|1RPLT	1RCVC|2DUST|39VULN|4ASPD|5aMLV|6RPLT|7DMG|8RCR
52	15252 22621	 * 	236.68	DCR|4VULN|2MLV|1SELL	1RCVC|2SELL|348aVULN|48BPWR|58VENFST|68MLV|7MDPS|9RCR
