0	Index      	 *	Score 	Summary	Detail	
1	52325 52311	 * 	272.91	DCR|DCR|1VULN|1DMG|1MLV|1AART|1ZMB	1AAC|2DUR|3VULN|4AART|5DMG|6MLV|7aRCR|8ZMB|9VENTOX
18	23134 34823	   	255.52	DCR|DCR|1VULN|1DMG|1AART	1FLTFST|2DMG|3DUR|4BELT|5AART|6MBVNT|7BEXP|8VULN|9aRCR
19	23134 35823	   	255.42	DCR|DCR|1VULN|1DMG|1AART	1FLTFST|2DMG|3DUR|4BELT|5AART|6MBVNT|7DUST|8VULN|9aRCR
20	52325 32311	   	255.38	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1AAC|2DUR|3VULN|4AART|5DMG|6TLV|7aRCR|8ZMB|9VENTOX
21	23522 47621	   	253.43	ACR|DCR|2DMG|1VULN|1MLV|1AART	1FLTFST|29DMG|3MBVNT|4aRCR|5LHND|6VULN|7MLV|8AART
22	23341 32426	   	251.31	DCR|DCR|1VULN|1DMG|1CDMG	1FLTFST|2DMG|3LSRICY|4LHND|5LIT|69RCR|7BBNT|8VULN|aCDMG
23	23411 32426	   	251.21	DCR|DCR|1VULN|1DMG|1CDMG	1FLTFST|2DMG|3LWND|4BLASTR|5LIT|69RCR|7BBNT|8VULN|aCDMG
24	23211 32426	   	251.11	DCR|DCR|1VULN|1DMG|1CDMG	1FLTFST|2DMG|3LEGI|4BLASTR|5LIT|69RCR|7BBNT|8VULN|aCDMG
25	23211 36426	   	251.11	DCR|DCR|1VULN|1DMG|1CDMG	1FLTFST|2DMG|3LEGI|4BLASTR|5LIT|69RCR|7TBNT|8VULN|aCDMG
26	23241 32426	   	251.11	DCR|DCR|1VULN|1DMG|1CDMG	1FLTFST|2DMG|3LEGI|4BASICY|5LIT|69RCR|7BBNT|8VULN|aCDMG
27	23251 32426	   	251.11	DCR|DCR|1VULN|1DMG|1CDMG	1FLTFST|2DMG|3LEGI|4AIRARM|5LIT|69RCR|7BBNT|8VULN|aCDMG
28	23545 51321	 * 	250.14	DCR|DCR|2DMG|1MLV|1AART	1FLTFST|29DMG|3MBVNT|4MLV|5AART|6aRCR|7DUST|8FEWX
29	23545 51421	   	250.04	DCR|DCR|2DMG|1MLV|1AART	1FLTFST|29DMG|3MBVNT|4MLV|5AART|6aRCR|7DUST|8LEGI
30	22662 44111	   	248.91	DCR|DCR|1VULN|1ASPD|1AART	12FLTFST|2BPWR|3DUR|4ASPD|5MBVNT|6VULN|7aRCR|8AART|9AME
31	14221 32262	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	14FEWX|2VULN|3ERES|5VENFST|69RCR|7BEXP|8CDMG|aMLV
32	15321 32262	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	14FEWX|2ERES|3VULN|5VENFST|69RCR|7BEXP|8CDMG|aMLV
33	14221 36262	   	248.58	DCR|DCR|1VULN|1MLV|1CDMG	14FEWX|2VULN|3ERES|5VENFST|69RCR|7DUST|8CDMG|aMLV
34	15321 36262	   	248.58	DCR|DCR|1VULN|1MLV|1CDMG	14FEWX|2ERES|3VULN|5VENFST|69RCR|7DUST|8CDMG|aMLV
35	22125 32262	   	248.48	DCR|DCR|1VULN|1MLV|1CDMG	12FLTFST|2BPWR|3VULN|4ERES|5DUST|69RCR|7FEWX|8CDMG|aMLV
36	22125 33262	   	248.48	DCR|DCR|1VULN|1MLV|1CDMG	12FLTFST|2BPWR|3VULN|4ERES|5DUST|69RCR|7BEXP|8CDMG|aMLV
37	23544 24134	 * 	248.38	DCR|3VULN|2DMG|2MLV	19FLTFST|29DMG|3MBVNT|45MLV|6BEXP|789VULN|9BPWR|aRCR
38	23548 47134	   	248.38	DCR|3VULN|2DMG|2MLV	19FLTFST|29DMG|3MBVNT|47MLV|5LWND|689VULN|9BPWR|aRCR
39	13221 11566	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1FEWX|2DUST|3ERES|4BELT|5RPLT|6CGEN|78RCR|9DMG|aVULN
40	23536 43223	   	247.12	DCR|DCR|1VULN|1DMG|1AART	1FLTFST|2DMG|3MBVNT|4DUST|5BELT|6FEWX|7VULN|8AART|9aRCR
41	51325 32311	   	246.97	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1AAC|2DUST|3VULN|4AART|5DMG|6TLV|7aRCR|8ZMB|9VENTOX
42	51322 52311	   	246.87	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1AAC|2DUST|3VULN|4AART|5ERES|6DMG|7aRCR|8ZMB|9VENTOX
43	14163 22631	 * 	246.51	ACR|DCR|2VULN|1CDMG|1RPLT	13FEWX|2aVULN|4RPLT|59RCR|6ERES|7CDMG|8DUR
44	23311 32422	   	245.96	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3LSRICY|4DUR|5LIT|69RCR|7BBNT|8VULN|aRMIN
45	23311 32423	   	245.96	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3LSRICY|4DUR|5LIT|69RCR|7BBNT|8VULN|aCGEN
46	23311 32424	   	245.96	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3LSRICY|4DUR|5LIT|69RCR|7BBNT|8VULN|aFEWX
47	23311 32425	   	245.96	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3LSRICY|4DUR|5LIT|69RCR|7BBNT|8VULN|aBELT
48	23311 36422	   	245.96	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3LSRICY|4DUR|5LIT|69RCR|7TBNT|8VULN|aRMIN
49	23311 36423	   	245.96	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3LSRICY|4DUR|5LIT|69RCR|7TBNT|8VULN|aCGEN
50	23311 36424	   	245.96	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3LSRICY|4DUR|5LIT|69RCR|7TBNT|8VULN|aFEWX
51	23311 36425	   	245.96	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3LSRICY|4DUR|5LIT|69RCR|7TBNT|8VULN|aBELT
52	23111 32422	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BLASTR|5LIT|69RCR|7BBNT|8VULN|aRMIN
53	23111 32423	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BLASTR|5LIT|69RCR|7BBNT|8VULN|aCGEN
54	23111 32424	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BLASTR|5LIT|69RCR|7BBNT|8VULN|aFEWX
55	23111 32425	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BLASTR|5LIT|69RCR|7BBNT|8VULN|aBELT
56	23111 36422	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BLASTR|5LIT|69RCR|7TBNT|8VULN|aRMIN
57	23111 36423	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BLASTR|5LIT|69RCR|7TBNT|8VULN|aCGEN
58	23111 36424	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BLASTR|5LIT|69RCR|7TBNT|8VULN|aFEWX
59	23111 36425	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BLASTR|5LIT|69RCR|7TBNT|8VULN|aBELT
60	23141 32422	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BASICY|5LIT|69RCR|7BBNT|8VULN|aRMIN
61	23141 32423	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BASICY|5LIT|69RCR|7BBNT|8VULN|aCGEN
62	23141 32424	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BASICY|5LIT|69RCR|7BBNT|8VULN|aFEWX
63	23141 32425	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BASICY|5LIT|69RCR|7BBNT|8VULN|aBELT
64	23141 36422	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BASICY|5LIT|69RCR|7TBNT|8VULN|aRMIN
65	23141 36423	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BASICY|5LIT|69RCR|7TBNT|8VULN|aCGEN
66	23151 32422	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4AIRARM|5LIT|69RCR|7BBNT|8VULN|aRMIN
67	23151 32423	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4AIRARM|5LIT|69RCR|7BBNT|8VULN|aCGEN
68	23151 32424	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4AIRARM|5LIT|69RCR|7BBNT|8VULN|aFEWX
69	23151 32425	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4AIRARM|5LIT|69RCR|7BBNT|8VULN|aBELT
70	23151 36422	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4AIRARM|5LIT|69RCR|7TBNT|8VULN|aRMIN
71	23151 36423	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4AIRARM|5LIT|69RCR|7TBNT|8VULN|aCGEN
72	23311 32421	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3LSRICY|4DUR|5LIT|69RCR|7BBNT|8VULN|aMDPS
73	23311 36421	   	245.86	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3LSRICY|4DUR|5LIT|69RCR|7TBNT|8VULN|aMDPS
74	23111 32421	   	245.76	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BLASTR|5LIT|69RCR|7BBNT|8VULN|aMDPS
75	23111 36421	   	245.76	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BLASTR|5LIT|69RCR|7TBNT|8VULN|aMDPS
76	23141 32421	   	245.76	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BASICY|5LIT|69RCR|7BBNT|8VULN|aMDPS
77	23141 36421	   	245.76	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4BASICY|5LIT|69RCR|7TBNT|8VULN|aMDPS
78	23151 32421	   	245.76	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4AIRARM|5LIT|69RCR|7BBNT|8VULN|aMDPS
79	23151 36421	   	245.76	DCR|DCR|1VULN|1DMG	1FLTFST|2DMG|3DUR|4AIRARM|5LIT|69RCR|7TBNT|8VULN|aMDPS
80	51331 13346	   	243.60	DCR|DCR|2VULN	1AAC|29DUST|39VULN|4LHND|5BEXP|69VENFST|7MDPS|8aRCR|9BPWR
81	11111 43253	 * 	243.45	DCR|DCR|1VULN|2ASPD|1ZMB	1FEWX|2TBNT|3MSLFST|4ZMB|57ASPD|6aRCR|8VULN|9BBNT
82	21311 43253	 * 	243.45	DCR|DCR|1VULN|2ASPD|1ZMB	1FLTFST|2BBNT|3FEWX|4ZMB|57ASPD|6aRCR|8VULN|9TBNT
83	21111 43553	 * 	243.35	DCR|DCR|1VULN|2ASPD|1ZMB	1FLTFST|2BBNT|3VULN|4ZMB|57ASPD|6aRCR|8DUST|9TBNT
84	21211 43253	 * 	243.35	DCR|DCR|1VULN|2ASPD|1ZMB	1FLTFST|2BBNT|3DUST|4ZMB|57ASPD|6aRCR|8VULN|9TBNT
85	61111 43253	 * 	243.35	DCR|DCR|1VULN|2ASPD|1ZMB	1DUST|2TBNT|3MSLFST|4ZMB|57ASPD|6aRCR|8VULN|9BBNT
