0	Index      	 *	Score 	Summary	Detail	
1	35513 33315	 * 	284.03	ACR|DCR|3VULN|1MLV|1ASPD|1RPLT	1BBNT|2RMIN|3aRCR|4MLV|5RPLT|679VULN|8ASPD
14	32125 74441	   	262.18	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|36VULN|4AAC|5MBVNT|7FEWX|8RMIN|9aRCR
15	32125 74541	   	262.18	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|36VULN|4AAC|5MBVNT|7FEWX|8CGEN|9aRCR
16	32125 83341	   	262.18	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|37VULN|4AAC|5MBVNT|6RMIN|8BEXP|9aRCR
17	32125 83541	   	262.18	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|37VULN|4AAC|5MBVNT|6RMIN|8LHND|9aRCR
18	32225 77241	   	262.18	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|3FEWX|4AAC|5MBVNT|67VULN|8TLV|9aRCR
19	32225 77441	   	262.18	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|3FEWX|4AAC|5MBVNT|67VULN|8RMIN|9aRCR
20	32125 33441	   	262.08	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|37VULN|4AAC|5MBVNT|6ERES|8LHND|9aRCR
21	32125 71441	   	262.08	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|36VULN|4AAC|5MBVNT|7AME|8LHND|9aRCR
22	32162 52251	   	262.08	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|36VULN|4LIT|5TBNT|7aRCR|8CANARM|9AME
23	32163 62251	   	262.08	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|35VULN|4LIT|6TBNT|7aRCR|8CANARM|9AME
24	32325 77341	   	261.98	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|3ERES|4LWND|5MBVNT|67VULN|8NUKE|9aRCR
25	31542 13841	   	261.89	DCR|DCR|2VULN|1ASPD|2ZMB	1BBNT|28ZMB|38TLV|4MBVNT|5FEWX|6ASPD|78VULN|8BPWR|9aRCR
26	31342 13841	   	261.69	DCR|DCR|2VULN|1ASPD|2ZMB	1BBNT|28ZMB|38ERES|4MBVNT|5FEWX|6ASPD|78VULN|8BPWR|9aRCR
27	35513 31215	   	260.57	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1BBNT|28RMIN|3aRCR|4MLV|5RPLT|69VULN|7ASPD
28	26611 21115	 * 	258.48	DCR|DCR|1VULN|1DMG|1RPLT	14CGEN|2DUR|3RPLT|5DUST|6aRCR|7BEXP|8DMG|9VULN
29	21641 21115	   	255.37	DCR|DCR|1VULN|1DMG|2RPLT	1CGEN|2LHND|34RPLT|5DUST|6aRCR|7BEXP|8DMG|9VULN
30	36131 32125	   	254.26	DCR|DCR|1VULN|1DMG|1CDMG	1BBNT|2CGEN|3VULN|4FRZARM|5CDMG|6FEWX|7TLV|8aRCR|9DMG
31	36111 32125	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1BBNT|2CGEN|3VULN|4VENFST|5CDMG|6FEWX|7TLV|8aRCR|9DMG
32	36131 52125	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1BBNT|2CGEN|3VULN|4FRZARM|5CDMG|6ERES|7FEWX|8aRCR|9DMG
33	36211 42125	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1BBNT|2CGEN|3FEWX|4CANSTR|5CDMG|6VULN|7TLV|8aRCR|9DMG
34	36231 42125	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1BBNT|2CGEN|3FEWX|4BASHEA|5CDMG|6VULN|7TLV|8aRCR|9DMG
35	36111 52125	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1BBNT|2CGEN|3VULN|4VENFST|5CDMG|6ERES|7FEWX|8aRCR|9DMG
