0	Index      	 *	Score 	Summary	Detail	
1	51562 22222	 * 	282.40	DCR|3VULN|2DMG|2CDMG|1MLV|1ASPD|1AART	159VULN|2MLV|39DMG|4AART|6RCR|7AAC|89CDMG|9BPWR|aASPD
28	41122 66232	   	265.18	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1NUKE|2FLTARM|3ASPD|4VULN|5MLV|6CDMG|7aRCR|8BEXP|9ERES
29	44623 13221	 * 	264.29	DCR|3VULN|2DMG|2MLV|1RPLT	1NUKE|27MLV|3RPLT|457VULN|67DMG|7BPWR|8FEWX|9RCR|aLIT
30	44623 13222	   	264.29	DCR|3VULN|2DMG|2MLV|1RPLT	1NUKE|27MLV|3RPLT|457VULN|67DMG|7BPWR|8FEWX|9RCR|aBEXP
31	44623 13223	   	264.29	DCR|3VULN|2DMG|2MLV|1RPLT	1NUKE|27MLV|3RPLT|457VULN|67DMG|7BPWR|8FEWX|9RCR|aTBNT
32	51543 13221	   	264.29	DCR|3VULN|2DMG|2MLV|1RPLT	157VULN|27MLV|37DMG|4RPLT|6NUKE|7BPWR|8FEWX|9RCR|aLIT
33	51543 13222	   	264.29	DCR|3VULN|2DMG|2MLV|1RPLT	157VULN|27MLV|37DMG|4RPLT|6NUKE|7BPWR|8FEWX|9RCR|aBEXP
34	51543 13223	   	264.29	DCR|3VULN|2DMG|2MLV|1RPLT	157VULN|27MLV|37DMG|4RPLT|6NUKE|7BPWR|8FEWX|9RCR|aTBNT
35	42233 13255	   	263.15	DCR|DCR|1VULN|2MLV|1AART	1NUKE|2VULN|35AME|45MLV|5BPWR|6LHND|7AART|8aRCR|9BEXP
36	42233 13245	   	263.05	DCR|DCR|1VULN|2MLV|1AART	1NUKE|2VULN|35AME|45MLV|5BPWR|6LHND|7AART|8aRCR|9LEGI
37	51232 61622	   	263.05	DCR|DCR|1VULN|2MLV|1RPLT	1VULN|24MLV|39AME|5BLASTR|6RPLT|7BEXP|8aRCR
38	51533 22215	   	263.04	DCR|3VULN|2DMG|2MLV	158VULN|24MLV|38DMG|6TBNT|78TLV|8BPWR|9DUR|aRCR
39	51232 63622	   	262.95	DCR|DCR|1VULN|2MLV|1RPLT	1VULN|24MLV|39AME|5BLASTR|6RPLT|7DUST|8aRCR
40	51115 14833	   	262.91	DCR|DCR|1VULN|2MLV|1RPLT|1ZMB	1VULN|28MLV|3CANARM|4LIT|5MBVNT|6RPLT|7aRCR|9ZMB
41	51115 14313	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1VULN|2MLV|3CANARM|4LIT|5MBVNT|6RPLT|7aRCR|8RCVC|9ASPD
42	51115 14513	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1VULN|2MLV|3CANARM|48LIT|5MBVNT|6RPLT|7aRCR|9ASPD
43	34521 22325	 * 	260.91	ACR|DCR|3VULN|1AART|1ZMB	1FEWX|2BEXP|3aRCR|458VULN|6AART|7DUR|9ZMB
44	33521 22325	 * 	260.81	ACR|DCR|3VULN|1AART|1ZMB	1FEWX|2aRCR|3DUST|458VULN|6AART|7DUR|9ZMB
45	51133 25632	   	259.59	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	1VULN|2MLV|3CANARM|4AAC|5DUR|6ASPD|7aRCR|8SELL|9ERES
46	52331 12253	   	258.48	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2LHND|3CGEN|4FRZFST|5DUR|6DMG|7aRCR|8LIT|9RPLT
47	52331 12413	   	258.48	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2LHND|3CGEN|4FRZFST|5DUR|6DMG|7aRCR|8RPLT|9LIT
48	54211 31363	   	258.29	DCR|DCR|2VULN|1AART	13VULN|234BEXP|3BPWR|5LIT|6ERES|7AART|8RCVC|9aRCR
49	54212 31363	   	258.29	DCR|DCR|2VULN|1AART	13VULN|234BEXP|3BPWR|5ERES|6LIT|7AART|8RCVC|9aRCR
50	26623 21632	   	258.19	DCR|DCR|2VULN|1RPLT	1LWND|29RCVC|3RPLT|45VULN|6TSLARM|7BEXP|8aRCR
51	12223 61563	   	258.19	DCR|DCR|2VULN|1AART	13AME|258BEXP|45VULN|5BPWR|6LIT|7AART|9aRCR
52	54211 31163	   	258.19	DCR|DCR|2VULN|1AART	13VULN|234BEXP|3BPWR|5LIT|6ERES|7AART|8AELOIC|9aRCR
53	54212 31163	   	258.19	DCR|DCR|2VULN|1AART	13VULN|234BEXP|3BPWR|5ERES|6LIT|7AART|8AELOIC|9aRCR
54	26623 23632	   	258.09	DCR|DCR|2VULN|1RPLT	1LWND|29RCVC|3RPLT|45VULN|6TSLARM|7DUST|8aRCR
55	15623 21622	   	257.99	DCR|DCR|2VULN|1RPLT	19AME|2TLV|3RPLT|45VULN|6FLTFST|7BEXP|8aRCR
56	16623 21622	   	257.99	DCR|DCR|2VULN|1RPLT	19AME|2CGEN|3RPLT|45VULN|6FLTFST|7BEXP|8aRCR
57	15623 23622	   	257.89	DCR|DCR|2VULN|1RPLT	19AME|2TLV|3RPLT|45VULN|6FLTFST|7DUST|8aRCR
58	53113 81438	   	257.42	ACR|DCR|2VULN|1DMG|1MLV	1aVULN|28RCR|3aLWND|4RMIN|5MBVNT|6DMG|7MLV|9aCGEN|aBPWR
59	52513 81421	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	1aVULN|2LHND|38RCR|4RMIN|5MBVNT|6DMG|7MLV|9LWND
60	53253 24711	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	17VULN|2aRCR|3DMG|4BEXP|5MBVNT|6MLV|8RMIN|9FEWX
61	53113 81435	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	1aVULN|28RCR|3LWND|4RMIN|5MBVNT|6DMG|7MLV|9CGEN
62	53113 81448	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	1aVULN|28RCR|3aLWND|4RMIN|5MBVNT|6DMG|7MLV|9aAME|aBPWR
63	53113 81481	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	1aVULN|28RCR|3LWND|4RMIN|5MBVNT|6DMG|7MLV|9BEXP
64	53253 24111	   	257.12	ACR|DCR|2VULN|1DMG|1MLV	17VULN|2aRCR|3DMG|4BEXP|5MBVNT|6MLV|8ERES|9FEWX
65	53113 81445	   	257.12	ACR|DCR|2VULN|1DMG|1MLV	1aVULN|28RCR|3LWND|4RMIN|5MBVNT|6DMG|7MLV|9AME
66	51622 16223	 * 	257.04	DCR|5VULN|1MLV|1AART	1579aVULN|2MLV|3DUR|4AART|6LHND|8RCR
67	53253 24171	   	257.02	ACR|DCR|2VULN|1DMG|1MLV	17VULN|2aRCR|3DMG|4BEXP|5MBVNT|6MLV|8ERES|9DUST
68	52124 16441	   	256.83	DCR|DCR|2VULN	18VULN|2LHND|36BEXP|4AAC|5DUR|7MBVNT|9aRCR
69	12653 41441	   	256.73	DCR|DCR|2VULN	1AME|2BEXP|3DUR|4AAC|5MBVNT|6TLV|78VULN|9aRCR
70	12653 81441	   	256.73	DCR|DCR|2VULN	1AME|2BEXP|3DUR|4AAC|5MBVNT|6RMIN|78VULN|9aRCR
71	62633 81441	   	256.59	DCR|DCR|2VULN|1ZMB	1TLV|2BEXP|3DUR|4ZMB|5MBVNT|6RMIN|78VULN|9aRCR
72	12633 41441	   	256.49	DCR|DCR|2VULN|1ZMB	1AME|2BEXP|3DUR|4ZMB|5MBVNT|6TLV|78VULN|9aRCR
73	12633 81441	   	256.49	DCR|DCR|2VULN|1ZMB	1AME|2BEXP|3DUR|4ZMB|5MBVNT|6RMIN|78VULN|9aRCR
74	51562 21231	   	256.27	DCR|3VULN|2MLV|1DMG|1AART|1RPLT	15aVULN|2aMLV|3DMG|4AART|6RCR|7LWND|8aBLASTR|9RPLT|aBPWR
75	51613 13112	 * 	255.64	DCR|2VULN|3MLV|2ASPD|1CDMG	17VULN|279MLV|3DUR|4CDMG|57ASPD|6NUKE|7BPWR|8FRZICY|aRCR
76	54523 13222	 * 	255.60	ACR|5VULN|2MLV|2CDMG|1AART	1479aVULN|2BEXP|3RCR|5AART|69MLV|89CDMG|9BPWR
77	53243 26141	   	254.54	ACR|DCR|2VULN|1DMG|2DUR	18VULN|2aRCR|3DMG|4FEWX|5MBVNT|69DUR|7BEXP
78	53212 21255	 * 	254.51	ACR|DCR|1VULN|2MLV|1DMG|1AART	1VULN|2aRCR|3DMG|4CGEN|5BEXP|6AART|79MLV|8FEWX
79	53233 25141	   	254.44	ACR|DCR|2VULN|1DMG|2DUR	18VULN|2aRCR|3DMG|4DUST|5MBVNT|69DUR|7FEWX
80	42511 32632	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1NUKE|2VULN|3DMG|4BEXP|5DMSP|6LSRICY|7LHND|8CDMG|9aRCR
81	42513 32632	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1NUKE|2VULN|3DMG|45BEXP|6LSRICY|7LHND|8CDMG|9aRCR
82	51531 21115	 * 	253.44	DCR|2VULN|3MLV|2DMG	17VULN|245MLV|35DMG|5BPWR|6AME|8LHND|9DUR|aRCR
83	51531 21215	   	253.44	DCR|2VULN|3MLV|2DMG	17VULN|245MLV|35DMG|5BPWR|6AME|8FEWX|9DUR|aRCR
84	53216 43112	   	253.44	ACR|DCR|2VULN|1DMG|1CDMG	17VULN|29RCR|3DMG|4CGEN|5CDMG|6TBNT|8AAC|aRMIN
85	53216 43113	   	253.44	ACR|DCR|2VULN|1DMG|1CDMG	17VULN|29RCR|3DMG|4CGEN|5CDMG|6TBNT|8AAC|aDMSP
86	53216 63112	   	253.44	ACR|DCR|2VULN|1DMG|1CDMG	17VULN|29RCR|3DMG|4CGEN|5CDMG|6BBNT|8AAC|aRMIN
87	53216 63113	   	253.44	ACR|DCR|2VULN|1DMG|1CDMG	17VULN|29RCR|3DMG|4CGEN|5CDMG|6BBNT|8AAC|aDMSP
88	53226 43112	   	253.34	ACR|DCR|2VULN|1DMG|1CDMG	17VULN|29RCR|3DMG|4ERES|5CDMG|6TBNT|8AAC|aCGEN
89	53226 43113	   	253.34	ACR|DCR|2VULN|1DMG|1CDMG	17VULN|29RCR|3DMG|4ERES|5CDMG|6TBNT|8aAAC
90	53226 63112	   	253.34	ACR|DCR|2VULN|1DMG|1CDMG	17VULN|29RCR|3DMG|4ERES|5CDMG|6BBNT|8AAC|aCGEN
91	53226 63113	   	253.34	ACR|DCR|2VULN|1DMG|1CDMG	17VULN|29RCR|3DMG|4ERES|5CDMG|6BBNT|8aAAC
92	53211 33116	   	253.34	ACR|DCR|2VULN|1DMG|1CDMG	1aVULN|29RCR|3DMG|4CGEN|5MDPS|6CDMG|7FEWX|8AAC
93	53211 36116	   	253.34	ACR|DCR|2VULN|1DMG|1CDMG	1aVULN|29RCR|3DMG|4CGEN|5MDPS|6CDMG|7LHND|8AAC
94	53216 43111	   	253.34	ACR|DCR|2VULN|1DMG|1CDMG	17VULN|29RCR|3DMG|4CGEN|5CDMG|6TBNT|8AAC|aERES
95	53216 63111	   	253.34	ACR|DCR|2VULN|1DMG|1CDMG	17VULN|29RCR|3DMG|4CGEN|5CDMG|6BBNT|8AAC|aERES
96	42233 26141	   	253.29	DCR|DCR|1VULN|2MLV	1NUKE|2VULN|35AME|45MLV|5BPWR|6MDPS|7MBVNT|8DMSP|9aRCR
97	42433 26141	   	253.29	DCR|DCR|1VULN|2MLV	1NUKE|2VULN|35ERES|45MLV|5BPWR|6MDPS|7MBVNT|8DMSP|9aRCR
98	53221 63116	   	253.24	ACR|DCR|2VULN|1DMG|1CDMG	1aVULN|29RCR|3DMG|4ERES|5MDPS|6CDMG|7FEWX|8AAC
99	53226 43111	   	253.24	ACR|DCR|2VULN|1DMG|1CDMG	17VULN|29RCR|3DMG|4aERES|5CDMG|6TBNT|8AAC
100	53226 63111	   	253.24	ACR|DCR|2VULN|1DMG|1CDMG	17VULN|29RCR|3DMG|4aERES|5CDMG|6BBNT|8AAC
101	53231 34216	   	253.24	ACR|DCR|2VULN|1DMG|1CDMG	1aVULN|29RCR|3DMG|4DUST|5CDMG|6CGEN|7AAC|8MDPS
102	53221 24116	   	253.24	ACR|DCR|2VULN|1DMG|1CDMG	1aVULN|29RCR|3DMG|4ERES|5MDPS|6LHND|7CDMG|8AAC
103	42433 26441	   	253.19	DCR|DCR|1VULN|2MLV	1NUKE|2VULN|35ERES|45MLV|5BPWR|6MDPS|7MBVNT|8AELOIC|9aRCR
104	53253 21731	   	253.06	ACR|DCR|1VULN|2MLV|1DMG	1VULN|2aRCR|3DMG|4BEXP|5MBVNT|67MLV|8RMIN|9DUR
105	53253 21131	   	252.96	ACR|DCR|1VULN|2MLV|1DMG	1VULN|2aRCR|3DMG|4BEXP|5MBVNT|67MLV|8ERES|9DUR
106	31611 23531	   	252.69	DCR|3VULN|2MLV|1ASPD|1CDMG	17FEWX|27MLV|3DUR|4CDMG|567VULN|7BPWR|8ASPD|9RCR|aBEXP
107	31611 23532	   	252.69	DCR|3VULN|2MLV|1ASPD|1CDMG	17FEWX|27MLV|3DUR|4CDMG|567VULN|7BPWR|8ASPD|9RCR|aTLV
108	31611 23533	   	252.69	DCR|3VULN|2MLV|1ASPD|1CDMG	17FEWX|27MLV|3DUR|4CDMG|567VULN|7BPWR|8ASPD|9RCR|aBBNT
109	31611 23534	   	252.69	DCR|3VULN|2MLV|1ASPD|1CDMG	17FEWX|27MLV|3DUR|4CDMG|567VULN|7BPWR|8ASPD|9RCR|aLWND
110	31611 23535	   	252.69	DCR|3VULN|2MLV|1ASPD|1CDMG	17FEWX|27MLV|3DUR|4CDMG|567VULN|7BPWR|8ASPD|9RCR|aLIT
111	31611 23536	   	252.59	DCR|3VULN|2MLV|1ASPD|1CDMG	17FEWX|27MLV|3DUR|4CDMG|567VULN|7BPWR|8ASPD|9RCR|aMDPS
