0	Index      	 *	Score 	Summary	Detail	
1	13642 16313	 * 	290.85	DCR|DCR|2DMG|1VULN|2MLV|2ZMB	1RCVC|25MLV|3VULN|49ZMB|68DMG|7aRCR
22	12653 23133	   	268.69	DCR|DCR|2VULN|1DMG	1RCVC|2aBEXP|3DMG|49VULN|5BBNT|6LHND|78RCR
23	12655 33131	   	268.69	DCR|DCR|2VULN|1DMG	1RCVC|2BEXP|3DMG|49VULN|5LHND|6TBNT|78RCR|aLWND
24	12655 33133	   	268.69	DCR|DCR|2VULN|1DMG	1RCVC|2aBEXP|3DMG|49VULN|5LHND|6TBNT|78RCR
25	35653 23131	   	268.69	DCR|DCR|2VULN|1DMG	12LWND|3DMG|49VULN|5BBNT|6aLHND|78RCR
26	41211 52117	 * 	268.60	DCR|3VULN|3MLV|2DMG	1AAC|259VULN|3MBVNT|4MGNSTR|69DMG|789MLV|9BPWR|aRCR
27	12653 23132	   	268.59	DCR|DCR|2VULN|1DMG	1RCVC|2BEXP|3DMG|49VULN|5BBNT|6LHND|78RCR|aDUST
28	12653 23135	   	268.59	DCR|DCR|2VULN|1DMG	1RCVC|2BEXP|3DMG|49VULN|5BBNT|6LHND|78RCR|aERES
29	12654 33131	   	268.59	DCR|DCR|2VULN|1DMG	1RCVC|2BEXP|3DMG|49VULN|5DUST|6TBNT|78RCR|aLWND
30	12654 33133	   	268.59	DCR|DCR|2VULN|1DMG	1RCVC|2BEXP|3DMG|49VULN|5DUST|6TBNT|78RCR|aDMSP
31	12655 33132	   	268.59	DCR|DCR|2VULN|1DMG	1RCVC|2BEXP|3DMG|49VULN|5LHND|6TBNT|78RCR|aDUST
32	35653 23133	   	268.59	DCR|DCR|2VULN|1DMG	12LWND|3DMG|49VULN|5BBNT|6LHND|78RCR|aERES
33	53613 33114	   	268.59	DCR|DCR|2VULN|1DMG	1DUST|2BEXP|3aVULN|4DMG|5RCVC|6TBNT|78RCR|9BBNT
34	53613 33131	   	268.59	DCR|DCR|2VULN|1DMG	1DUST|2BEXP|39VULN|4DMG|5RCVC|6TBNT|78RCR|aLWND
35	53613 33133	   	268.59	DCR|DCR|2VULN|1DMG	1DUST|2BEXP|39VULN|4DMG|5RCVC|6TBNT|78RCR|aDMSP
36	53613 33134	   	268.59	DCR|DCR|2VULN|1DMG	1DUST|2aBEXP|39VULN|4DMG|5RCVC|6TBNT|78RCR
37	53613 43131	   	268.59	DCR|DCR|2VULN|1DMG	1DUST|2BEXP|39VULN|4DMG|5RCVC|6BBNT|78RCR|aLWND
38	53613 43133	   	268.59	DCR|DCR|2VULN|1DMG	1DUST|2BEXP|39VULN|4DMG|5RCVC|6BBNT|78RCR|aDMSP
39	12654 33132	   	268.49	DCR|DCR|2VULN|1DMG	1RCVC|2BEXP|3DMG|49VULN|5aDUST|6TBNT|78RCR
40	53611 53131	   	268.49	DCR|DCR|2VULN|1DMG	16DUST|2BEXP|39VULN|4DMG|5TBNT|78RCR|aLWND
41	53611 53133	   	268.49	DCR|DCR|2VULN|1DMG	16DUST|2BEXP|39VULN|4DMG|5TBNT|78RCR|aDMSP
42	53613 33132	   	268.49	DCR|DCR|2VULN|1DMG	1aDUST|2BEXP|39VULN|4DMG|5RCVC|6TBNT|78RCR
43	53613 33135	   	268.49	DCR|DCR|2VULN|1DMG	1DUST|2BEXP|39VULN|4DMG|5RCVC|6TBNT|78RCR|aERES
44	53613 43132	   	268.49	DCR|DCR|2VULN|1DMG	1aDUST|2BEXP|39VULN|4DMG|5RCVC|6BBNT|78RCR
45	53611 53132	   	268.39	DCR|DCR|2VULN|1DMG	16aDUST|2BEXP|39VULN|4DMG|5TBNT|78RCR
46	14623 23123	   	266.45	DCR|DCR|1VULN|1DMG|1MLV	1RCVC|2VULN|3DMG|4DUR|5BBNT|6LHND|78RCR|9TLV|aMLV
47	14625 33123	   	266.45	DCR|DCR|1VULN|1DMG|1MLV	1RCVC|2VULN|3DMG|4DUR|5LHND|6TBNT|78RCR|9TLV|aMLV
48	14623 23143	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1RCVC|2VULN|3DMG|4DUR|5BBNT|6LHND|78RCR|9ERES|aMLV
49	14623 23122	   	262.57	DCR|DCR|1VULN|1DMG|1CDMG	1RCVC|2VULN|3DMG|4DUR|5BBNT|6LHND|78RCR|9TLV|aCDMG
50	14625 33122	   	262.57	DCR|DCR|1VULN|1DMG|1CDMG	1RCVC|2VULN|3DMG|4DUR|5LHND|6TBNT|78RCR|9TLV|aCDMG
51	14623 23142	   	262.47	DCR|DCR|1VULN|1DMG|1CDMG	1RCVC|2VULN|3DMG|4DUR|5BBNT|6LHND|78RCR|9ERES|aCDMG
52	21263 43341	   	262.28	DCR|DCR|2VULN|1ASPD	1LIT|2AAC|3ASPD|46VULN|5BEXP|79RCR|8LHND|aBBNT
53	21263 43342	   	262.28	DCR|DCR|2VULN|1ASPD	1LIT|2aAAC|3ASPD|46VULN|5BEXP|79RCR|8LHND
54	21263 43343	   	262.28	DCR|DCR|2VULN|1ASPD	1LIT|2AAC|3ASPD|46VULN|5BEXP|79RCR|8LHND|aRMIN
55	41234 38448	   	262.23	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1AAC|2VULN|3MBVNT|4CDMG|5DMG|6ZMB|7DUR|8aRCR|9CGEN
56	21111 43346	   	261.93	DCR|DCR|2VULN|1CDMG|1ZMB	1LIT|2AAC|3LEGI|4ZMB|56VULN|79RCR|8LHND|aCDMG
57	32351 55212	 * 	261.76	DCR|3VULN|3DMG|2DUR|1RPLT	19LWND|2RPLT|358DMG|49DUR|679VULN|9BPWR|aRCR
58	63613 33134	 * 	261.64	ACR|DCR|2VULN|1DMG|1CDMG	1MDPS|2BEXP|3DUR|48RCR|5DMG|6aVULN|7FEWX|9CDMG
