0	Index      	 *	Score 	Summary	Detail	
1	42213 13126	 * 	295.50	DCR|DCR|3VULN|1CDMG|1AART	15LWND|235VULN|4AAC|5BPWR|6CDMG|7aRCR|8AART|9CGEN
27	61135 32116	   	266.35	DCR|DCR|2VULN|1RPLT|1ZMB	1RPLT|2BEXP|3ZMB|4TBNT|5RCVC|69VULN|7DUR|8aRCR
28	23224 33211	 * 	266.27	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8TLV|9ERES|aVULN
29	23224 33321	 * 	266.27	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8DUST|9RCVC|aVULN
30	23224 33411	 * 	266.27	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8CGEN|9ERES|aVULN
31	23224 33511	 * 	266.27	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9AME|aBEXP
32	23224 33514	 * 	266.27	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9AME|aFEWX
33	23224 33515	 * 	266.27	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9AME|aTBNT
34	23224 33522	 * 	266.27	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB|1MSE	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9BELT|aMSE
35	23224 33541	 * 	266.27	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9FRZFST|aRMIN
36	23224 33543	 * 	266.27	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9FRZFST|aBEXP
37	23224 33561	 * 	266.27	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9ERES|aBEXP
38	23224 33344	 * 	266.17	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8DUST|9SNIFST|aVULN
39	23224 33512	 * 	266.17	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9AME|aDUST
40	23224 33513	 * 	266.17	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9AME|aERES
41	23224 33562	 * 	266.17	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9ERES|aDUST
42	23224 33563	 * 	266.17	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9aERES
43	23224 33131	 * 	266.03	DCR|DCR|1VULN|2ASPD|2CDMG|2ZMB	13CDMG|23ASPD|3BPWR|4MDPS|58ZMB|67RCR|9MBVNT|aVULN
