0	Index      	 *	Score 	Summary	Detail	
1	66232 13223	 * 	279.10	DCR|DCR|3VULN|1CDMG|1SELL|1ZMB	157VULN|2ZMB|3CDMG|4LHND|6MDPS|8aRCR|9SELL
43	66411 13223	   	256.86	DCR|DCR|2VULN|1CDMG|1SELL|1ZMB	17VULN|2ZMB|3RMIN|4CDMG|5AME|6MDPS|8aRCR|9SELL
44	43353 14132	 * 	255.66	DCR|2VULN|3MLV|2DMG|2DUR	179MLV|2TBNT|37VULN|49TLV|5BEXP|67DUR|79BPWR|89DMG|aRCR
45	61531 42231	 * 	255.46	DCR|3VULN|3ASPD|1DMG|3DUR	178VULN|278ASPD|3BBNT|478DUR|5DLOT|6TBNT|78BPWR|9RCR|aDMG
46	61631 42231	   	255.46	DCR|3VULN|3ASPD|1DMG|3DUR	178VULN|278ASPD|3TBNT|478DUR|5DLOT|6BBNT|78BPWR|9RCR|aDMG
47	64131 42231	   	255.46	DCR|3VULN|3ASPD|1DMG|3DUR	178VULN|2BBNT|378ASPD|478DUR|5DLOT|6TBNT|78BPWR|9RCR|aDMG
48	42322 43334	 * 	254.71	DCR|4VULN|2MLV|2DUR|1RPLT	1aMLV|2AAC|3RPLT|4RMIN|578aVULN|6aDUR|9RCR|aBPWR
49	16221 53142	   	252.96	DCR|DCR|1VULN|1ASPD|1CDMG|1ZMB	1DUR|2ZMB|3CDMG|4TBNT|5CGEN|6MDPS|79RCR|8ASPD|aVULN
50	44351 22333	 * 	252.77	DCR|DCR|3MLV|1DMG	125MLV|2BPWR|39AAC|4MDPS|6BEXP|7aRCR|8DMG
51	62513 12261	 * 	252.75	DCR|3VULN|2MLV|1DMG|1CDMG	18aVULN|2DUR|36MLV|4DMG|5CDMG|7MDPS|9RCR
52	63112 12125	   	252.10	DCR|DCR|2VULN	16VULN|2FLTFST|3CGEN|45LHND|7DUR|8aRCR|9LWND
53	63112 16115	   	252.10	DCR|DCR|2VULN	16VULN|2FLTFST|3CGEN|45LHND|7FEWX|8aRCR|9DUR
54	63113 12125	   	252.10	DCR|DCR|2VULN	16VULN|2FLTFST|3CGEN|4LHND|5RCVC|7DUR|8aRCR|9LWND
55	63113 16115	   	252.10	DCR|DCR|2VULN	16VULN|2FLTFST|3CGEN|4LHND|5RCVC|7FEWX|8aRCR|9DUR
56	63312 13115	   	252.00	DCR|DCR|2VULN	16VULN|2FLTFST|3AME|45LHND|7BEXP|8aRCR|9DUR
57	63312 16115	   	252.00	DCR|DCR|2VULN	16VULN|2FLTFST|3AME|45LHND|7FEWX|8aRCR|9DUR
58	63313 13115	   	252.00	DCR|DCR|2VULN	16VULN|2FLTFST|3AME|4LHND|5RCVC|7BEXP|8aRCR|9DUR
59	63313 16115	   	252.00	DCR|DCR|2VULN	16VULN|2FLTFST|3AME|4LHND|5RCVC|7FEWX|8aRCR|9DUR
60	61211 31423	 * 	251.85	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	16VULN|2ASPD|3CDMG|4aRCR|5MBVNT|7LIT|8AART|9CGEN
61	61211 33247	   	251.75	ACR|DCR|2VULN|1ASPD|1CDMG|1RPLT	16VULN|2ASPD|3CDMG|4aRCR|5MBVNT|7DUST|8RPLT|9BBNT
62	13245 36223	 * 	251.12	DCR|DCR|1DMG|2CDMG|1MLV|1SELL	1DUR|2MLV|34CDMG|5RMIN|6MDPS|7DMG|8aRCR|9SELL
63	43322 21112	   	250.63	DCR|DCR|2MLV|1VULN	19MLV|2TBNT|3VULN|4SPLJET|5MBVNT|6aRCR|78RCVC
64	63252 21112	   	250.63	DCR|DCR|2MLV|1VULN	1VULN|2FLTFST|3BBNT|49MLV|5MBVNT|6aRCR|78RCVC
65	43322 21512	   	250.53	DCR|DCR|2MLV|1VULN	19MLV|2TBNT|3VULN|4SPLJET|5MBVNT|6aRCR|7RCVC|8AELOIC
66	63252 21512	   	250.53	DCR|DCR|2MLV|1VULN	1VULN|2FLTFST|3BBNT|49MLV|5MBVNT|6aRCR|7RCVC|8AELOIC
67	62513 32261	 * 	250.10	DCR|3VULN|1DMG|2CDMG|1MLV|2DUR	18aVULN|26DUR|3MLV|4DMG|56CDMG|6BPWR|7MDPS|9RCR
68	42113 13261	 * 	250.05	DCR|4VULN|2MLV|2CDMG	17MLV|2AAC|3FEWX|47CDMG|5MDPS|678aVULN|7BPWR|9RCR
69	42362 12613	   	249.65	DCR|2VULN|2DMG|2MLV|1ASPD|1RPLT	16MLV|2AAC|3RPLT|4aDMG|59VULN|7RCR|8ASPD
70	41253 28144	   	249.50	DCR|2VULN|2DMG|2MLV|1CDMG|1RPLT|1ZMB	1aMLV|2RPLT|3aVULN|4ZMB|5MBVNT|6RCR|7CDMG|8RCVC|9aDMG|aBPWR
