0	Code 	Date      	Index      	 *	Score 	Summary	Detail	Bounty	
18	P9B6I	74581_06_12	43413 22222	   	376.48	橙5易伤3伤害2等级3时间2暴击	1379a易伤29a伤害47等级57暴击6核79a序列升级89a时间	8
19	UA57R	89008_12_21	61142 22151	   	376.48	橙5易伤3伤害2等级3时间2暴击	178伤害2789a易伤3a暴击4a等级578时间6核78a序列升级	8
20	ZVFFG	4794_08_08	35222 33141	   	376.48	橙5易伤3伤害2等级3时间2暴击	1378a易伤278时间4a暴击5a等级678伤害78a序列升级9核	7
21	4O8D3	15630_05_15	41113 31542	   	376.48	橙5易伤3伤害2等级3时间2暴击	189时间289伤害3a暴击4a等级5789a易伤6核89a序列升级	2
22	4O8D3	15630_05_15	41213 31542	   	376.48	橙5易伤3伤害2等级3时间2暴击	189时间289伤害3a暴击4a等级5789a易伤6核89a序列升级	3
23	ELP7M	44117_06_12	52523 23631	   	376.48	橙5易伤3伤害2等级3时间2暴击	1589a易伤289伤害3a暴击4a等级689时间7核89a序列升级	3
24	ES3PB	44685_04_28	12146 23322	   	376.48	橙5易伤3伤害2等级3时间2暴击	1489a易伤289伤害3a暴击5a等级6核789时间89a序列升级	10
25	OKFPQ	72710_04_27	56122 26311	   	376.48	橙5易伤3伤害2等级3时间2暴击	178伤害2a等级378时间4578a易伤6核78a序列升级9a暴击	10
26	2B2FG	8705_08_25	52121 55332	   	372.66	橙5易伤3伤害2等级3时间2攻速	179伤害2479a易伤3a攻速5a等级679时间79a序列升级8核	3
27	Z7NT7	2665_01_20	31232 33661	   	372.66	橙5易伤3伤害2等级3时间2攻速	178伤害278时间39等级49攻速5789a易伤6核789序列升级	9
28	33KCE	10909_01_08	62342 61313	   	372.66	橙5易伤3伤害2等级3时间2攻速	16789易伤278伤害39等级49攻速578时间789序列升级a核	10
29	811J3	25031_06_04	12253 32261	   	372.66	橙5易伤3伤害2等级3时间2攻速	178伤害2678a易伤3a等级4a攻速578时间78a序列升级9核	1
30	9G88F	29266_10_03	15135 34131	   	372.66	橙5易伤3伤害2等级3时间2攻速	1378a易伤278伤害4a攻速5a等级678时间78a序列升级9核	7
31	B44M8	33921_12_20	53432 32333	   	372.66	橙5易伤3伤害2等级3时间2攻速	178伤害2478a易伤3a等级5a攻速678时间78a序列升级9核	8
32	B44M8	33921_12_20	53462 12333	   	372.66	橙5易伤3伤害2等级3时间2攻速	178伤害2678a易伤3a等级4a攻速578时间78a序列升级9核	8
33	B44M8	33921_12_20	53513 32333	   	372.66	橙5易伤3伤害2等级3时间2攻速	178伤害2378a易伤4a攻速5a等级678时间78a序列升级9核	8
34	BF6OO	34914_09_01	34212 34243	   	372.66	橙5易伤3伤害2等级3时间2攻速	178时间24789易伤39攻速59等级678伤害789序列升级a核	3
35	FTD9H	47672_08_04	31541 13362	   	372.66	橙5易伤3伤害2等级3时间2攻速	1578a易伤2a等级378时间478伤害6核78a序列升级9a攻速	5
36	G1QVO	48069_11_06	24251 24233	   	372.66	橙5易伤3伤害2等级3时间2攻速	179时间2789a易伤3a攻速4a等级579伤害6核79a序列升级	5
37	L8RK8	63054_03_05	25423 26323	   	372.66	橙5易伤3伤害2等级3时间2攻速	14789易伤278伤害39等级59攻速678时间789序列升级a核	4
38	4TPTN	16128_01_25	62341 11521	   	372.66	橙5易伤3伤害2等级3时间2攻速	189伤害2489a易伤3a攻速5a等级6核789时间89a序列升级	9
39	7BUHN	23138_11_11	33562 11243	   	372.66	橙5易伤3伤害2等级3时间2攻速	1279a易伤379时间4a攻速5a等级679伤害79a序列升级8核	1
40	QLNNL	78564_01_30	22366 31311	   	372.66	橙5易伤3伤害2等级3时间2攻速	1689a易伤289时间3a等级4a攻速589伤害7核89a序列升级	1
41	QLNNL	78564_01_30	23366 31311	   	372.66	橙5易伤3伤害2等级3时间2攻速	1689a易伤289时间3a等级4a攻速589伤害7核89a序列升级	2
42	R9ERH	80333_07_03	31123 23613	   	372.66	橙5易伤3伤害2等级3时间2攻速	1489a易伤289时间3a等级5a攻速6核789伤害89a序列升级	8
43	ZIJEM	3639_06_10	33633 53262	   	371.37	橙5易伤3伤害2等级3时间2雷电	178伤害25789易伤39等级49雷电678时间789序列升级a核	8
44	FRJ4C	47509_07_14	32345 13361	   	371.37	橙5易伤3伤害2等级3时间2雷电	179伤害2379a易伤4a等级5a雷电679时间79a序列升级8核	10
45	VKMML	92825_12_28	36214 12413	   	371.37	橙5易伤3伤害2等级3时间2雷电	178伤害278时间39雷电49等级56789易伤789序列升级a核	4
46	Z91T8	2782_10_23	34242 22323	   	371.37	橙5易伤3伤害2等级3时间2雷电	1278a易伤378伤害4a等级5a雷电678时间78a序列升级9核	7
47	3I4G4	12210_03_23	51336 12324	   	371.37	橙5易伤3伤害2等级3时间2雷电	1579a易伤29a时间37等级47雷电6核79a序列升级89a伤害	8
48	9PONE	30120_05_14	52314 36321	   	371.37	橙5易伤3伤害2等级3时间2雷电	178伤害278时间3a等级4a雷电5789a易伤6核78a序列升级	3
49	9PONE	30120_05_14	52314 36321	   	371.37	橙5易伤3伤害2等级3时间2雷电	178伤害278时间3a等级4a雷电5789a易伤6核78a序列升级	4
50	ARM8V	33163_10_30	32133 24535	   	371.37	橙5易伤3伤害2等级3时间2雷电	189时间2389a易伤4a等级5a雷电689伤害7核89a序列升级	8
51	BB2AE	34543_05_03	24141 13241	   	371.37	橙5易伤3伤害2等级3时间2雷电	178时间278伤害3a雷电4a等级5789a易伤6核78a序列升级	6
52	BVJ1E	36384_07_10	33533 36133	   	371.37	橙5易伤3伤害2等级3时间2雷电	178伤害278时间3a雷电4a等级5678a易伤78a序列升级9核	8
53	FOTPL	47270_04_14	24223 32432	   	371.37	橙5易伤3伤害2等级3时间2雷电	178时间2478a易伤3a雷电5a等级678伤害78a序列升级9核	4
54	G823S	48628_02_18	32523 16351	   	371.37	橙5易伤3伤害2等级3时间2雷电	1278a易伤378伤害4a等级5a雷电678时间78a序列升级9核	7
55	HU3Q8	53477_07_18	16133 33524	   	371.37	橙5易伤3伤害2等级3时间2雷电	178伤害2678a易伤3a等级4a雷电578时间78a序列升级9核	7
56	K2GG6	59613_10_12	14221 63226	   	371.37	橙5易伤3伤害2等级3时间2雷电	1789a易伤279伤害3a雷电4a等级579时间6核79a序列升级	9
57	LO1VB	64417_09_14	24353 22523	   	371.37	橙5易伤3伤害2等级3时间2雷电	1489a易伤289伤害3a等级5a雷电689时间7核89a序列升级	7
58	MBPVZ	66189_07_23	33226 21351	   	371.37	橙5易伤3伤害2等级3时间2雷电	178时间2a等级3478a易伤578伤害6核78a序列升级9a雷电	8
59	N2J41	68233_11_02	12516 23225	   	371.37	橙5易伤3伤害2等级3时间2雷电	179时间279伤害3a等级4a雷电5679a易伤79a序列升级8核	7
60	PZ3VH	73753_10_06	56321 31211	   	371.37	橙5易伤3伤害2等级3时间2雷电	1579a易伤29a时间37等级47雷电6核79a序列升级89a伤害	10
61	R8NRP	80269_01_15	21411 32542	   	371.37	橙5易伤3伤害2等级3时间2雷电	1389a易伤289伤害4a等级5a雷电6核789时间89a序列升级	10
62	TK4T3	87034_04_14	31123 61621	   	371.37	橙5易伤3伤害2等级3时间2雷电	1578a易伤2a等级378时间478伤害6核78a序列升级9a雷电	4
63	TK4T3	87034_04_14	31413 61621	   	371.37	橙5易伤3伤害2等级3时间2雷电	1578a易伤2a等级378伤害478时间6核78a序列升级9a雷电	4
64	6VULC	22062_08_04	12232 12624	   	371.37	橙5易伤3伤害2等级3时间2雷电	1279a易伤379时间4a雷电5a等级679伤害79a序列升级8核	9
65	GEVO6	49249_07_05	24234 13336	   	371.37	橙5易伤3伤害2等级3时间2雷电	12789易伤378时间49等级59雷电678伤害789序列升级a核	1
66	S2VUT	82624_05_09	11236 36226	   	371.37	橙5易伤3伤害2等级3时间2雷电	178时间25789易伤39雷电49等级678伤害789序列升级a核	2
67	2AG79	8654_06_18	43251 61321	   	371.37	橙5易伤3伤害2等级3时间2雷电	178时间2a等级3578a易伤478伤害6核78a序列升级9a雷电	1
68	19Z3Q	5648_09_05	21132 36355	   	370.06	橙5易伤3伤害2等级3时间1暴击	17a伤害2478a易伤34等级47a序列升级5暴击67a时间9核	9
69	2EZSE	8970_04_27	11433 22136	   	370.06	橙5易伤3伤害2等级3时间1暴击	179伤害23579易伤457时间579序列升级6核89等级a暴击	2
70	2EZSE	8970_04_27	11433 22136	   	370.06	橙5易伤3伤害2等级3时间1暴击	179伤害23579易伤457时间579序列升级6核89等级a暴击	3
71	2EZSE	8970_04_27	11443 22136	   	370.06	橙5易伤3伤害2等级3时间1暴击	179伤害23579易伤457时间579序列升级6核89等级a暴击	4
72	2VP7U	10563_10_13	12611 45212	   	370.06	橙5易伤3伤害2等级3时间1暴击	168伤害29等级389时间45689易伤689序列升级7核a暴击	5
73	4GE9R	14929_03_07	13623 23422	   	370.06	橙5易伤3伤害2等级3时间1暴击	1578a易伤28a时间3暴击45等级58a序列升级68a伤害9核	2
74	D8Q8S	40083_02_22	52323 15253	   	370.06	橙5易伤3伤害2等级3时间1暴击	18a伤害2358a易伤45等级58a序列升级6暴击78a时间9核	3
75	HA876	51695_07_30	16123 61421	   	370.06	橙5易伤3伤害2等级3时间1暴击	179伤害24等级34579易伤479序列升级679时间8核a暴击	5
76	I934Q	54462_07_16	31414 33132	   	370.06	橙5易伤3伤害2等级3时间1暴击	17a时间267伤害3暴击4a等级5679a易伤67a序列升级8核	8
77	3LBIS	12499_03_27	42521 13162	   	370.06	橙5易伤3伤害2等级3时间1暴击	15689易伤29等级389伤害458时间589序列升级7核a暴击	10
78	5IPRK	18011_11_30	12321 41662	   	370.06	橙5易伤3伤害2等级3时间1暴击	13789易伤238伤害389序列升级4暴击59等级689时间a核	2
79	6T65V	21814_07_11	61412 11362	   	370.06	橙5易伤3伤害2等级3时间1暴击	13678易伤23等级378序列升级478伤害578时间9核a暴击	4
80	6T65V	21814_07_11	61433 11362	   	370.06	橙5易伤3伤害2等级3时间1暴击	13578易伤23等级378序列升级478时间678伤害9核a暴击	5
81	7QJMA	24454_02_27	34431 26132	   	370.06	橙5易伤3伤害2等级3时间1暴击	13478易伤23等级378序列升级578时间678伤害9暴击a核	9
82	8HGKM	26509_01_25	52154 22112	   	370.06	橙5易伤3伤害2等级3时间1暴击	13478易伤23等级378序列升级578伤害678时间9核a暴击	5
83	B524C	34004_07_05	12122 42223	   	370.06	橙5易伤3伤害2等级3时间1暴击	1578a易伤278时间3暴击45等级578序列升级678伤害9核	6
84	B5279	34004_10_06	12331 36316	   	370.06	橙5易伤3伤害2等级3时间1暴击	178时间24789易伤34等级478序列升级5暴击678伤害a核	6
85	C7FEL	37092_03_11	12225 45223	   	370.06	橙5易伤3伤害2等级3时间1暴击	1578a易伤278伤害3暴击45等级578序列升级678时间9核	8
86	EZLC2	42222_08_02	51126 16211	   	370.06	橙5易伤3伤害2等级3时间1暴击	15689易伤29等级389时间468伤害689序列升级7核a暴击	7
87	E1SFZ	42332_03_08	13224 35113	   	370.06	橙5易伤3伤害2等级3时间1暴击	1569a易伤29a伤害3暴击46等级69a序列升级79a时间8核	4
88	E1SFZ	42332_03_08	13264 35113	   	370.06	橙5易伤3伤害2等级3时间1暴击	1569a易伤29a伤害3暴击46等级69a序列升级79a时间8核	3
89	EVI16	44994_05_29	51332 32126	   	370.06	橙5易伤3伤害2等级3时间1暴击	12689易伤389时间4暴击56等级689序列升级789伤害a核	7
90	FZMUL	45097_12_02	42163 13163	   	370.06	橙5易伤3伤害2等级3时间1暴击	17a时间2478a易伤34等级47a序列升级5暴击67a伤害9核	3
91	F5NJZ	45548_04_13	53351 36323	   	370.06	橙5易伤3伤害2等级3时间1暴击	19a时间2489a易伤34等级49a序列升级5暴击6核79a伤害	7
92	F78HD	45685_07_08	22145 26321	   	370.06	橙5易伤3伤害2等级3时间1暴击	178伤害24等级34678易伤478序列升级578时间9核a暴击	2
93	JECPB	57809_01_20	24533 42331	   	370.06	橙5易伤3伤害2等级3时间1暴击	13479易伤24等级479序列升级579时间679伤害8核a暴击	6
94	JG1B8	57956_05_30	34243 13233	   	370.06	橙5易伤3伤害2等级3时间1暴击	157时间29等级379伤害45789易伤579序列升级6核a暴击	6
95	JG1B8	57956_05_30	41223 13233	   	370.06	橙5易伤3伤害2等级3时间1暴击	15789易伤29等级379伤害457时间579序列升级6核a暴击	6
96	K5M52	59898_10_10	25312 36323	   	370.06	橙5易伤3伤害2等级3时间1暴击	15689易伤29等级389伤害468时间689序列升级7核a暴击	9
97	K5M52	59898_10_10	25312 36323	   	370.06	橙5易伤3伤害2等级3时间1暴击	15689易伤29等级389伤害468时间689序列升级7核a暴击	8
98	KJV7A	61180_03_23	63333 53214	   	370.06	橙5易伤3伤害2等级3时间1暴击	178伤害24等级34678易伤478序列升级578时间9暴击a核	3
99	L8H2K	63024_08_05	56112 12623	   	370.06	橙5易伤3伤害2等级3时间1暴击	189时间24589易伤35等级589序列升级6暴击789伤害a核	4
100	MP76G	67392_12_19	46623 32232	   	370.06	橙5易伤3伤害2等级3时间1暴击	13689易伤238伤害389序列升级4暴击59等级789时间a核	2
101	N4J6E	68413_06_24	65113 12623	   	370.06	橙5易伤3伤害2等级3时间1暴击	18a时间2458a易伤35等级58a序列升级6暴击78a伤害9核	6
102	OFHL8	72266_12_12	41112 16124	   	370.06	橙5易伤3伤害2等级3时间1暴击	12489易伤34等级489序列升级589时间6核789伤害a暴击	6
103	TJPVZ	87003_08_12	21413 21255	   	370.06	橙5易伤3伤害2等级3时间1暴击	17a时间2478a易伤34等级47a序列升级5暴击67a伤害9核	7
104	TPTNI	87552_06_20	64341 23331	   	370.06	橙5易伤3伤害2等级3时间1暴击	179时间247伤害34579易伤479序列升级6核89等级a暴击	7
105	VGV2N	92490_08_12	43243 26212	   	370.06	橙5易伤3伤害2等级3时间1暴击	1367a易伤2暴击47a时间567伤害67a序列升级8a等级9核	6
106	1C7GA	5938_07_20	61236 21263	   	370.06	橙5易伤3伤害2等级3时间1暴击	1349a易伤239伤害39a序列升级5暴击6核7a等级89a时间	7
107	37VD5	11298_10_14	51413 36212	   	370.06	橙5易伤3伤害2等级3时间1暴击	13789易伤23等级379序列升级479伤害579时间6核a暴击	3
108	5QV6V	18744_08_26	23454 23232	   	370.06	橙5易伤3伤害2等级3时间1暴击	137伤害23479易伤379序列升级579时间6核89等级a暴击	10
109	5QV6V	18744_08_26	23454 23233	   	370.06	橙5易伤3伤害2等级3时间1暴击	137伤害23479易伤379序列升级579时间6核89等级a暴击	9
110	642H8	19561_05_28	34143 11322	   	370.06	橙5易伤3伤害2等级3时间1暴击	19a伤害2359a易伤45等级59a序列升级6暴击79a时间8核	10
111	6662B	19750_09_29	41253 33212	   	370.06	橙5易伤3伤害2等级3时间1暴击	1349a易伤249伤害49a序列升级5暴击6a等级79a时间8核	7
112	9MI7M	29833_01_07	11244 36132	   	370.06	橙5易伤3伤害2等级3时间1暴击	1249a易伤349伤害49a序列升级5暴击6核7a等级89a时间	2
113	A63OP	31227_11_30	32212 43214	   	370.06	橙5易伤3伤害2等级3时间1暴击	1359a易伤239伤害39a序列升级4暴击6a等级7核89a时间	8
114	KGJCF	60877_11_19	25314 33423	   	370.06	橙5易伤3伤害2等级3时间1暴击	189伤害24等级34689易伤489序列升级589时间7核a暴击	5
115	LZUMK	62345_01_25	43232 51333	   	370.06	橙5易伤3伤害2等级3时间1暴击	157伤害29等级379时间45789易伤579序列升级6核a暴击	7
116	SPDDQ	84635_11_08	32162 56313	   	370.06	橙5易伤3伤害2等级3时间1暴击	178时间29等级35789易伤478伤害6核789序列升级a暴击	6
117	SPLQB	84659_05_19	53235 36131	   	370.06	橙5易伤3伤害2等级3时间1暴击	178伤害29等级378时间45789易伤6核789序列升级a暴击	8
118	B1EGF	33680_05_07	11354 35323	   	370.06	橙5易伤3伤害2等级3时间1暴击	1378a易伤23等级378序列升级478时间578伤害6核9暴击	6
119	BSLKK	36122_08_31	11133 32435	   	370.06	橙5易伤3伤害2等级3时间1暴击	1589a易伤28a伤害3暴击45等级58a序列升级68a时间7核	5
120	PK43J	75548_06_08	31626 23114	   	370.06	橙5易伤3伤害2等级3时间1暴击	1589a易伤28a伤害3暴击45等级58a序列升级68a时间7核	2
121	Q9P6D	77491_08_03	22122 14534	   	370.06	橙5易伤3伤害2等级3时间1暴击	1378a易伤23等级378序列升级478时间578伤害6核9暴击	9
122	NNULN	70150_04_04	31312 22161	 * 	369.29	橙5易伤3伤害2等级2时间3暴击	1579a易伤29a伤害37时间47等级6核79a序列升级89a暴击	8
123	Z6V51	2595_08_25	63212 36131	   	369.29	橙5易伤3伤害2等级2时间3暴击	178伤害278暴击3a等级4a时间5789a易伤6核78a序列升级	5
124	TEKGO	86539_10_07	44131 12215	   	369.14	橙4易伤3伤害2等级3时间2暴击	178伤害2核弹3a暴击478a易伤578时间6核78a序列升级9a等级	5
125	O1U8V	71046_04_19	41215 23421	   	369.14	橙4易伤3伤害2等级3时间2暴击	189时间289a易伤3a等级4核弹5a暴击6核789伤害89a序列升级	5
126	DR1IQ	41718_07_11	36422 62131	   	367.97	橙4易伤3伤害2等级3时间2攻速1暴击	178a易伤2暴击378时间4a攻速5a等级678伤害78a序列升级9核	5
127	8B9O2	25951_06_12	22131 43643	   	367.79	橙4易伤3伤害2等级3时间2暴击	178伤害2全技能378时间49暴击59等级6789易伤789序列升级a核	10
128	ORVO6	73383_01_16	12611 41342	   	367.79	橙4易伤3伤害2等级3时间2暴击	1全技能278时间378a易伤4a暴击5a等级678伤害78a序列升级9核	2
129	4E8U4	14734_09_15	32661 21263	   	367.79	橙4易伤3伤害2等级3时间2暴击	189时间289a易伤3a暴击4a等级5全技能689伤害7核89a序列升级	6
130	4O6AG	15624_07_14	32315 32351	   	367.79	橙4易伤3伤害2等级3时间2暴击	178时间278伤害3a暴击4a等级578a易伤6核78a序列升级9全技能	8
131	4O6AG	15624_07_14	32315 32451	   	367.79	橙4易伤3伤害2等级3时间2暴击	178时间278伤害3a暴击4a等级578a易伤6核78a序列升级9全技能	7
132	74MO7	22488_12_27	12343 15163	   	367.79	橙4易伤3伤害2等级3时间2暴击	189伤害2全技能389时间4a等级5a暴击6核789a易伤89a序列升级	7
133	H5F6D	51266_07_22	23213 12535	   	367.79	橙4易伤3伤害2等级3时间2暴击	189a易伤289时间3全技能4a等级5a暴击6核789伤害89a序列升级	7
134	K6B34	59957_06_25	12335 14134	   	367.79	橙4易伤3伤害2等级3时间2暴击	189时间289a易伤3a暴击4a等级5全技能6核789伤害89a序列升级	8
135	VANIA	91931_04_05	42314 22212	   	367.79	橙4易伤3伤害2等级3时间2暴击	178伤害278时间3a等级4a暴击5全技能678a易伤78a序列升级9核	5
136	2ZZPM	7714_01_22	33332 33212	   	367.42	橙5易伤3伤害2等级3时间	178伤害2核弹39等级478时间5789a易伤6核789序列升级	9
137	2ZZPM	7714_01_22	33332 33212	   	367.42	橙5易伤3伤害2等级3时间	178伤害2核弹39等级478时间5789a易伤6核789序列升级	10
138	7TTQT	24751_09_30	22621 24131	 * 	367.42	橙5易伤3伤害3等级3时间	1379a易伤27a时间479等级5核弹6核79a序列升级89a伤害	8
139	KEBKA	60676_09_17	16111 41252	   	367.42	橙5易伤3伤害2等级3时间	1578a易伤2a等级378伤害478时间6核弹78a序列升级9核	9
140	MQ2SC	67470_08_01	32222 32165	   	367.42	橙5易伤3伤害2等级3时间	178伤害2578a易伤378时间4核弹6核78a序列升级9a等级	10
141	NGZF7	69437_07_27	25531 11315	   	367.42	橙5易伤3伤害2等级3时间	1378a易伤2a等级478伤害5核弹678时间78a序列升级9核	9
142	RQ6ZD	81833_11_12	62312 33325	   	367.42	橙5易伤3伤害2等级3时间	1357a易伤23等级37a序列升级47a伤害67a时间8核9核弹	4
143	ZE33L	3234_10_02	52421 25222	   	367.42	橙5易伤3伤害2等级3时间	1核弹26789易伤39等级479时间567伤害679序列升级a核	2
144	ZE33L	3234_10_02	53421 25222	   	367.42	橙5易伤3伤害2等级3时间	1核弹26789易伤39等级479时间567伤害679序列升级a核	1
145	2O2VU	9873_05_23	14335 23243	   	367.42	橙5易伤3伤害2等级3时间	179时间2a等级379伤害4579a易伤6核79a序列升级8核弹	8
146	3VLOM	13424_12_09	62322 11323	   	367.42	橙5易伤3伤害2等级3时间	1278a易伤3核弹478伤害578时间6核78a序列升级9a等级	10
147	5TL1B	18985_04_08	11322 25223	   	367.42	橙5易伤3伤害2等级3时间	178时间2核弹39等级478伤害56789易伤789序列升级a核	9
148	8EATE	26223_11_13	41333 46222	   	367.42	橙5易伤3伤害2等级3时间	18a时间25等级3458a易伤58a序列升级6核78a伤害9核弹	4
149	BFMFZ	34958_09_02	65322 21224	   	367.42	橙5易伤3伤害2等级3时间	178伤害24等级34578易伤478序列升级678时间9核弹a核	4
150	CE7RK	37698_11_28	31521 21161	   	367.42	橙5易伤3伤害2等级3时间	17a时间24等级3457a易伤47a序列升级67a伤害8核9核弹	7
151	CHNZ9	38010_07_09	13325 25253	   	367.42	橙5易伤3伤害2等级3时间	189时间2核弹35等级45689易伤589序列升级789伤害a核	7
152	DZ7G6	39312_10_16	12613 41115	   	367.42	橙5易伤3伤害2等级3时间	1468a易伤24等级3核弹48a序列升级58a时间78a伤害9核	9
153	DJ6RF	41015_07_30	22623 25352	   	367.42	橙5易伤3伤害2等级3时间	12489易伤34等级489序列升级5核弹689时间789伤害a核	2
154	DJKLS	41054_05_03	13133 33522	   	367.42	橙5易伤3伤害2等级3时间	1689a易伤2a等级3核弹489伤害589时间7核89a序列升级	8
155	ERO14	44652_05_12	31122 35153	   	367.42	橙5易伤3伤害3等级3时间	1核弹2579a易伤37a等级479伤害6核79a序列升级89a时间	4
156	G35PA	48189_11_03	62231 22115	   	367.42	橙5易伤3伤害2等级3时间	178时间24等级34578易伤478序列升级678伤害9核弹a核	8
157	GPOT3	50217_03_10	42251 11116	   	367.42	橙5易伤3伤害3等级3时间	1379a易伤27a伤害479等级5核弹6核79a序列升级89a时间	4
158	JB52I	57518_04_15	23221 35146	   	367.42	橙5易伤3伤害2等级3时间	178时间24等级3478a易伤478序列升级5核弹678伤害9核	3
159	OF666	72234_10_15	31343 12512	   	367.42	橙5易伤3伤害2等级3时间	1核弹278伤害3a等级4789a易伤578时间6核78a序列升级	9
160	PJDRG	75486_01_17	32611 65112	   	367.42	橙5易伤3伤害2等级3时间	1349a易伤23等级39a序列升级5核弹6核79a时间89a伤害	1
161	PLCG6	75661_09_06	32226 12436	   	367.42	橙5易伤3伤害2等级3时间	1478a易伤278时间378伤害5核弹6核78a序列升级9a等级	10
162	QU9JN	79331_12_05	14352 22431	   	367.42	橙5易伤3伤害2等级3时间	1378a易伤23等级378序列升级478时间5核弹678伤害9核	8
163	TGUNB	86747_10_24	24522 32162	   	367.42	橙5易伤3伤害2等级3时间	1589a易伤2a等级389伤害489时间6核7核弹89a序列升级	8
164	VR71C	93410_01_31	11531 31243	   	367.42	橙5易伤3伤害2等级3时间	13489易伤24等级489序列升级589伤害689时间7核弹a核	4
165	3V6IQ	13382_05_15	22162 33361	   	367.42	橙5易伤3伤害2等级3时间	1核弹2479a易伤34等级49a序列升级59a伤害69a时间8核	10
166	3V6IQ	13382_05_15	22162 33366	   	367.42	橙5易伤3伤害2等级3时间	1核弹2479a易伤34等级49a序列升级59a伤害69a时间8核	9
167	CUTJR	39195_05_12	12122 41253	   	367.42	橙5易伤3伤害2等级3时间	1679a易伤2a等级3核弹479时间579伤害79a序列升级8核	9
168	LNRM3	64400_01_27	13361 44331	   	367.42	橙5易伤3伤害2等级3时间	1核弹289伤害35等级4589a易伤589序列升级689时间7核	3
169	OA1ME	71773_08_12	13652 43332	   	367.42	橙5易伤3伤害2等级3时间	189时间2a等级3589a易伤489伤害6核7核弹89a序列升级	8
170	RREMH	81947_12_13	23134 52363	   	367.42	橙5易伤3伤害2等级3时间	1379a易伤23等级39a序列升级49a伤害59a时间6核8核弹	8
171	6R5BI	21632_10_11	21112 23466	   	366.86	橙5易伤3伤害2等级2时间3攻速	1279a易伤39a伤害47等级57时间6核79a序列升级89a攻速	4
172	RR6IA	81925_02_24	31333 65363	   	366.86	橙5易伤3伤害2等级2时间3攻速	1279a易伤39a伤害47时间57等级6核79a序列升级89a攻速	9
173	VCSCV	92124_03_28	22113 56151	 * 	366.86	橙5易伤2等级3时间2伤害3暴击	1379a易伤29a暴击47伤害57等级6核79a序列升级89a时间	4
174	72TD5	22328_03_20	21216 61612	   	366.68	橙4易伤3伤害2等级3时间2雷电1暴击	178a易伤2暴击378时间4a等级5a雷电678伤害78a序列升级9核	8
175	FHAZI	46586_10_22	35111 16325	   	366.68	橙4易伤3伤害2等级3时间2雷电1暴击	179a易伤2暴击379伤害4a雷电5a等级679时间79a序列升级8核	10
176	IKSDE	55520_04_05	33515 42321	   	366.68	橙4易伤3伤害2等级3时间2雷电1暴击	178时间2a雷电378伤害4暴击5a等级678a易伤78a序列升级9核	6
