0	Index      	 *	Score 	Summary	Detail	
1	23432 23227	 * 	281.25	橙橙2伤害1易伤2攻速	13挖尘23伤害3序列升级4赏金塔56攻速7a核8易伤9加一
32	61422 33114	   	257.10	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5赏金塔6攻速7掉矿89核a双倍物品
33	61423 22114	   	257.10	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5掉矿6赏金邻近7攻速89核a双倍物品
34	52342 23227	   	257.10	橙橙1易伤2攻速1暴击1卖塔	1赏金邻近2卖塔3敌人爆炸46攻速5暴击7a核8易伤9加一
35	52342 23236	   	256.96	橙橙1易伤2攻速1暴击2卖塔	1赏金邻近29卖塔3敌人爆炸46攻速5暴击7a核8易伤
36	33612 22356	 * 	254.66	紫橙3易伤1矿等	12等级34a易伤59核6雷电7技能8矿等
37	43413 22351	   	254.30	橙橙1易伤1矿等1平台1全技能1策反	1策反2等级3基地爆炸4矿等5易伤69核7平台8金币生成a全技能
38	61433 62133	   	253.46	橙橙2易伤1平台	1额外掉落23易伤3序列升级4最后敌人5平台6技能点7a核8赏金塔9雷电
39	33512 53621	   	252.95	橙橙1易伤1矿等1平台1卖塔	12等级3矿等4易伤5卖塔6a核7最后敌人8时间9平台
40	42322 14731	   	251.86	橙橙2易伤1策反	1策反24低血量敌人38易伤5加一6最后敌人7a核9时间
41	42612 14731	   	251.86	橙橙2易伤1策反	1策反2低血量敌人3双倍矿48易伤5加一6最后敌人7a核9时间
42	42322 14431	   	251.81	橙橙2易伤2策反	18策反24低血量敌人38易伤5加一68最后敌人7a核8序列升级9时间
43	42355 14431	   	251.81	橙橙2易伤2策反	18策反26低血量敌人38易伤48最后敌人5加一7a核8序列升级9时间
44	42612 14431	   	251.81	橙橙2易伤2策反	18策反2低血量敌人3双倍矿48易伤5加一68最后敌人7a核8序列升级9时间
45	42412 14731	   	251.71	橙橙2易伤2策反	13策反23低血量敌人3序列升级48易伤5加一6最后敌人7a核9时间
46	31313 12421	   	251.41	橙橙1易伤1伤害1攻速	1等级2随机矿3技能4易伤5伤害6攻速7敌人爆炸8低血量敌人9a核
47	31313 12521	   	251.41	橙橙1易伤1伤害1攻速	1等级2随机矿3技能4易伤5伤害6攻速7敌人爆炸8最后敌人9a核
48	31313 14421	   	251.41	橙橙1易伤1伤害1攻速	1等级2随机矿3技能4易伤5伤害6攻速7基地爆炸8低血量敌人9a核
49	31313 14521	   	251.41	橙橙1易伤1伤害1攻速	1等级2随机矿3技能4易伤5伤害6攻速7基地爆炸8最后敌人9a核
