0	Index      	 *	Score 	Summary	Detail	
1	51326 21513	 * 	298.88	橙橙2易伤1伤害2暴击2时间	1技能28易伤3伤害48时间5挖尘6低血量敌人78暴击8序列升级9a核
24	33132 63113	   	275.60	橙橙3易伤	17挖尘2平台3掉矿47低血量敌人567易伤7序列升级8随机矿9a核
25	42622 12113	   	275.60	橙橙3易伤	1金币生成256易伤3平台4挖尘7基地爆炸8随机矿9a核
26	42622 13113	   	275.60	橙橙3易伤	1金币生成256易伤3平台4挖尘7最后敌人8随机矿9a核
27	42622 16113	   	275.60	橙橙3易伤	1金币生成256易伤3平台4挖尘7低血量敌人8随机矿9a核
28	42632 13113	   	275.60	橙橙3易伤	1金币生成256易伤3平台4基地爆炸7挖尘8随机矿9a核
29	32232 63113	   	275.50	橙橙3易伤	17挖尘2低血量敌人37技能点4平台567易伤7序列升级8随机矿9a核
30	42313 54213	   	273.36	橙橙1易伤1伤害1攻速1暴击	1金币生成2易伤3伤害4等级5时间6暴击7攻速8基地爆炸9a核
31	51121 54313	   	271.20	橙橙2易伤1攻速1暴击	1技能25易伤3基地爆炸4低血量敌人6暴击7攻速8最后敌人9a核
32	33432 55213	   	270.99	橙橙2易伤1矿等	1挖尘2平台3敌人爆炸4等级57易伤6矿等8双倍矿9a核
33	34232 22113	   	270.99	橙橙2易伤1矿等	1挖尘25易伤3矿等4平台6立即金币7基地爆炸8随机矿9a核
34	34232 23113	   	270.99	橙橙2易伤1矿等	1挖尘25易伤3矿等4平台6立即金币7最后敌人8随机矿9a核
35	34232 26113	   	270.99	橙橙2易伤1矿等	1挖尘25易伤3矿等4平台6立即金币7低血量敌人8随机矿9a核
36	36432 22113	   	270.99	橙橙2易伤1矿等	1挖尘2矿等35易伤4平台6立即金币7基地爆炸8随机矿9a核
37	36432 23113	   	270.99	橙橙2易伤1矿等	1挖尘2矿等35易伤4平台6立即金币7最后敌人8随机矿9a核
38	36432 26113	   	270.99	橙橙2易伤1矿等	1挖尘2矿等35易伤4平台6立即金币7低血量敌人8随机矿9a核
39	32232 55313	   	270.89	橙橙2易伤1矿等	1挖尘2低血量敌人3技能点4平台57易伤6矿等8a核9立即金币
40	33132 55313	   	270.89	橙橙2易伤1矿等	1挖尘2平台3掉矿4低血量敌人57易伤6矿等8a核9立即金币
41	34232 32113	   	270.89	橙橙2易伤1矿等	16挖尘25易伤3矿等4平台7基地爆炸8随机矿9a核
42	34232 33113	   	270.89	橙橙2易伤1矿等	16挖尘25易伤3矿等4平台7最后敌人8随机矿9a核
43	34232 36113	   	270.89	橙橙2易伤1矿等	16挖尘25易伤3矿等4平台7低血量敌人8随机矿9a核
44	36432 32113	   	270.89	橙橙2易伤1矿等	16挖尘2矿等35易伤4平台7基地爆炸8随机矿9a核
45	36432 33113	   	270.89	橙橙2易伤1矿等	16挖尘2矿等35易伤4平台7最后敌人8随机矿9a核
46	36432 36113	   	270.89	橙橙2易伤1矿等	16挖尘2矿等35易伤4平台7低血量敌人8随机矿9a核
47	32232 55333	   	270.79	橙橙2易伤1矿等	19挖尘2低血量敌人3技能点4平台57易伤6矿等8a核
48	33132 55333	   	270.79	橙橙2易伤1矿等	19挖尘2平台3掉矿4低血量敌人57易伤6矿等8a核
49	33132 55613	   	270.79	橙橙2易伤1矿等	1挖尘2平台38掉矿4低血量敌人57易伤6矿等9a核
50	51342 24213	 * 	268.99	橙橙2伤害1易伤1暴击	1技能2易伤34伤害5敌人爆炸6最后敌人7暴击8基地爆炸9a核
51	26224 24323	   	268.89	橙橙2伤害1易伤1暴击	1赏金邻近2暴击3毒液对黄4最后敌人5a伤害68核7易伤9双倍矿
