0	Index      	 *	Score 	Summary	Detail	
1	56333 33432	 * 	189.79	ACR|3DMG|2VULN|1AART|1ZMB	15aVENICY|2NUKE|35aDMG|4RCR|5aBPWR|6AART|7FEWX|8ZMB|9aVULN
15	22525 11351	   	173.79	DCR|3VULN|1AART|1DMG|1ZMB	1LHND|2RCVC|38aVULN|4ZMB|5DMG|6RPLT|7RCR|9AART
16	61624 21333	   	173.61	DCR|2AART|2VULN|2CDMG|2DUR	1CGEN|28AART|39VULN|4aCDMG|57DUR|6RCR
17	61412 53123	   	173.36	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	147CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|8aDUR|9VULN
18	61622 24333	   	172.92	DCR|3VULN|2AART|1CDMG	1CGEN|28AART|39aVULN|4CDMG|5FEWX|6RCR|7RCVC
19	61623 24333	   	172.82	DCR|3VULN|2AART|1CDMG	1CGEN|28AART|39aVULN|4CDMG|5DUST|6RCR|7RCVC
20	61224 24311	 * 	172.53	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1CGEN|2AART|356DUR|4CDMG|78VULN|9RCR|aDMG
21	61112 23425	   	172.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CGEN|2AART|3CDMG|4BELT|5ZMB|6DUR|79aVULN|8RCR
22	61222 21161	 * 	171.41	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1CGEN|27AART|3DUR|4CDMG|5FEWX|6RCR|8ASPD|9DMG|aVULN
23	61223 21161	   	171.31	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1CGEN|27AART|3DUR|4CDMG|5DUST|6RCR|8ASPD|9DMG|aVULN
24	61624 21331	 * 	171.11	DCR|2AART|2VULN|3DUR|1CDMG	1CGEN|28AART|39VULN|4CDMG|57aDUR|6RCR
25	61622 26333	   	170.71	DCR|3VULN|2AART|1CDMG	17CGEN|28AART|39aVULN|4CDMG|5FEWX|6RCR
26	61623 26333	   	170.61	DCR|3VULN|2AART|1CDMG	17CGEN|28AART|39aVULN|4CDMG|5DUST|6RCR
27	21525 11351	   	170.08	DCR|3VULN|1AART|1DMG|1ZMB	12LHND|38aVULN|4ZMB|5DMG|6RPLT|7RCR|9AART
28	23525 11351	   	170.08	DCR|3VULN|1AART|1DMG|1ZMB	12LHND|2BPWR|38aVULN|4ZMB|5DMG|6RPLT|7RCR|9AART
29	43341 31224	 * 	170.03	DCR|3DMG|1VULN|2CDMG|2ZMB|1ASPD	18LWND|27CDMG|38ZMB|4VULN|5ASPD|689DMG|8BPWR|aRCR
30	61112 13426	   	169.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2AART|3CDMG|4BELT|5ZMB|6LHND|79VULN|8RCR|aDMG
31	61116 13532	 * 	169.73	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1CGEN|2AART|38CDMG|4BELT|57VULN|6DMG|9RCR|aASPD
32	53116 33331	   	169.42	DCR|2VULN|2DMG|1AART	1aVENICY|2AART|3RMIN|4aVULN|5LIT|6RCR|7DUST|8RCVC|9aDMG|aBPWR
33	43341 32136	 * 	169.40	DCR|2VULN|1DMG|1CDMG|1FLTHEA|1ZMB|1DUR|1ASPD	1LWND|2CDMG|3ZMB|4aVULN|5ASPD|6DMG|7DUR|8RCR|9FLTHEA
34	61412 11131	   	169.12	DCR|2VULN|2DMG|1AART|1ZMB	14CGEN|2AART|34DMG|4BPWR|5ZMB|68VULN|7FEWX|9BEXP|aRCR
35	61412 11151	   	169.12	DCR|2VULN|2DMG|1AART|1ZMB	14CGEN|2AART|34DMG|4BPWR|5ZMB|68VULN|7FEWX|9LWND|aRCR
36	61412 15131	   	169.12	DCR|2VULN|2DMG|1AART|1ZMB	14CGEN|2AART|34DMG|4BPWR|5ZMB|68VULN|7LWND|9BEXP|aRCR
37	61622 22331	   	168.51	DCR|2AART|2VULN|2CDMG|1DUR	17CGEN|28AART|39VULN|47CDMG|57FEWX|6RCR|7BPWR|aDUR
38	61231 33434	   	168.41	DCR|3VULN|1AART|1DMG|2DUR	19CGEN|2AART|39DUR|4LHND|5DLOT|6DMG|789VULN|9BPWR|aRCR
39	61622 25331	   	168.31	DCR|2AART|2VULN|2CDMG|1DUR	1CGEN|28AART|39VULN|47CDMG|5FEWX|6RCR|aDUR
40	61623 22331	   	168.31	DCR|2AART|2VULN|2CDMG|1DUR	17CGEN|28AART|39VULN|47CDMG|57DUST|6RCR|7BPWR|aDUR
41	61623 25331	   	168.21	DCR|2AART|2VULN|2CDMG|1DUR	1CGEN|28AART|39VULN|47CDMG|5DUST|6RCR|aDUR
42	43341 33133	   	168.08	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD	1LWND|2CDMG|3ZMB|4VULN|5ASPD|6DMG|7BEXP|8RCR|9FLTHEA|aAART
43	61412 51123	   	168.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7FEWX|8VULN|9DMSP|aDUR
44	61412 53121	   	168.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	147CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|8DUR|9VULN|aRMIN
45	61412 53122	   	168.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	147CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|8DUR|9VULN|aBEXP
46	61222 23335	   	168.07	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	19CGEN|2AART|3DUR|49CDMG|5FEWX|6RCR|7MLV|89VULN|9BPWR|aZMB
47	56333 31351	   	168.04	ACR|3DMG|1AART|1VULN|1DUR	15VENICY|2NUKE|35aDMG|4RCR|5BPWR|6AART|7LHND|8VULN|9DUR
48	56333 33351	   	168.04	ACR|3DMG|1AART|1VULN|1DUR	15VENICY|2NUKE|35aDMG|4RCR|5BPWR|6AART|7FEWX|8VULN|9DUR
49	61412 52231	   	167.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7TLV|8ASPD|9RPLT|aVULN
50	61223 23635	   	167.97	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	19CGEN|2AART|3DUR|49CDMG|5DUST|6RCR|7MLV|89VULN|9BPWR|aZMB
51	61412 52212	   	167.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7TLV|8ASPD|9NUKE|aVULN
52	61412 52221	   	167.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7TLV|8ASPD|9BASHEA|aVULN
53	61622 22314	 * 	167.61	DCR|2AART|2VULN|3CDMG	17CGEN|28AART|3aVULN|479CDMG|57FEWX|6RCR|7BPWR
54	61623 22314	   	167.41	DCR|2AART|2VULN|3CDMG	17CGEN|28AART|3aVULN|479CDMG|57DUST|6RCR|7BPWR
55	61413 23345	   	167.35	DCR|2VULN|2DMG|1AART|1DUR	14CGEN|2AART|34DMG|4BPWR|5DUR|6aVULN|7LWND|8MBVNT|9RCR
56	61624 21332	   	167.29	DCR|2AART|2VULN|1CDMG|2DUR	1CGEN|28AART|39VULN|4CDMG|57DUR|6RCR|aLWND
57	61412 26322	 * 	166.98	DCR|3DMG|1AART|1VULN|1ZMB	14CGEN|2AART|347DMG|4BPWR|5ZMB|6CANSTR|8TLV|9VULN|aRCR
58	61622 22163	   	166.48	DCR|1AART|1DMG|2CDMG|1VULN|1ASPD|1DUR	17CGEN|2AART|3VULN|47CDMG|57FEWX|6RCR|7BPWR|8ASPD|9DMG|aDUR
59	61222 25161	   	166.28	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1CGEN|2AART|3DUR|47CDMG|5FEWX|6RCR|8ASPD|9DMG|aVULN
60	61223 25161	   	166.18	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1CGEN|2AART|3DUR|47CDMG|5DUST|6RCR|8ASPD|9DMG|aVULN
61	22113 51321	   	166.04	DCR|2AART|2VULN|1CDMG|1ASPD|1DUR	1LHND|2RCVC|3DUR|4CDMG|59AART|6ASPD|7aVULN|8RCR
62	62523 36131	   	165.92	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|25DMG|38VULN|4ZMB|6DUST|7AART|9BEXP|aRCR
63	61413 23221	 * 	165.85	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	14CGEN|29AART|34DMG|4BPWR|5DUR|6VULN|7LWND|8ASPD|aRCR
64	61111 13422	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2AART|3CDMG|4BELT|5LWND|6DMG|79VULN|8RCR|aDUR
65	61113 13423	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2AART|3CDMG|4BELT|5FEWX|6DMG|79VULN|8RCR|aDUR
66	61622 22433	   	165.78	DCR|3VULN|1AART|2CDMG	178CGEN|2AART|39aVULN|47CDMG|57FEWX|6RCR|7BPWR
67	61623 22433	   	165.58	DCR|3VULN|1AART|2CDMG	178CGEN|2AART|39aVULN|47CDMG|57DUST|6RCR|7BPWR
68	25241 22331	 * 	165.52	DCR|3VULN|1AART|2ASPD|1CDMG	1LHND|25ASPD|3CDMG|49aVULN|6AART|7LEGI|8RCR
69	25261 21331	   	165.52	DCR|3VULN|1AART|2ASPD|1CDMG	1LHND|25ASPD|3CDMG|4LEGI|6AART|79aVULN|8RCR
70	61412 33241	   	165.41	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	14CGEN|2AART|34DMG|4BPWR|5ZMB|6MLV|7DUR|8ASPD|9VULN|aRCR
71	61512 22434	 * 	165.39	DCR|2VULN|3ZMB|1AART|1DUR	14aCGEN|2AART|34aZMB|4aBPWR|5MBVNT|6RCR|7ERES|8DUR|9aVULN
72	61226 21161	   	165.26	DCR|1AART|1DMG|1VULN|1CDMG|2DUR|1ASPD	1CGEN|2AART|37DUR|4CDMG|5LWND|6RCR|8ASPD|9DMG|aVULN
73	61111 13435	   	165.19	DCR|2VULN|1AART|1DMG|2CDMG	1CGEN|2AART|39CDMG|4BELT|5LWND|6DMG|7aVULN|8RCR
74	61113 13435	   	165.19	DCR|2VULN|1AART|1DMG|2CDMG	1CGEN|2AART|39CDMG|4BELT|5FEWX|6DMG|7aVULN|8RCR
75	61112 33615	 * 	165.07	DCR|2AART|3ZMB|2CDMG|1VULN	1CGEN|28AART|36CDMG|4BELT|567ZMB|6BPWR|9RCR|aVULN
76	61412 53111	   	164.96	DCR|3DMG|1AART|1ZMB|1DUR	147CGEN|2AART|349DMG|4BPWR|5ZMB|6RCR|8DUR|aRCVC
77	61411 51214	   	164.95	DCR|2VULN|2DMG|1AART|1ASPD	14CGEN|2AART|34DMG|4BPWR|5RPLT|6ASPD|78VULN|9MBVNT|aRCR
78	61132 26121	   	164.47	DCR|2AART|1DMG|1VULN|1CDMG|1DUR	1CGEN|24AART|3CDMG|5RPLT|6RCR|7DUR|8LSRICY|9VULN|aDMG
79	61622 24331	   	164.20	DCR|2AART|2VULN|1CDMG|1DUR	1CGEN|28AART|39VULN|4CDMG|5FEWX|6RCR|7RCVC|aDUR
80	61623 24331	   	164.10	DCR|2AART|2VULN|1CDMG|1DUR	1CGEN|28AART|39VULN|4CDMG|5DUST|6RCR|7RCVC|aDUR
81	62521 16131	   	164.08	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|2DMG|368VULN|4ZMB|5LWND|7AART|9BEXP|aRCR
82	61622 22341	 * 	164.05	DCR|2AART|1DMG|2CDMG|1VULN	17CGEN|28AART|3VULN|47CDMG|579FEWX|6RCR|7BPWR|aDMG
83	61312 53112	 * 	164.03	DCR|1AART|1DMG|1VULN|2ASPD|1ZMB|1DUR	147CGEN|2AART|34ASPD|4BPWR|5ZMB|6RCR|8DUR|9DMG|aVULN
84	61223 23451	   	163.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2AART|3DUR|4CDMG|5DUST|6RCR|7MLV|8ZMB|9DMG|aVULN
85	61623 22353	   	163.85	DCR|2AART|1DMG|2CDMG|1VULN	17CGEN|28AART|3VULN|47CDMG|57DUST|6RCR|7BPWR|9DMG|aFEWX
86	61623 22351	   	163.75	DCR|2AART|1VULN|1DMG|2CDMG	17CGEN|28AART|3VULN|47CDMG|57DUST|6RCR|7BPWR|9DMG|aERES
87	61622 23133	   	163.68	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2AART|39VULN|4CDMG|5FEWX|6RCR|7BEXP|8MGNLIT|aDMG
88	61412 53113	   	163.66	DCR|3DMG|1AART|1ZMB|1DUR	147CGEN|2AART|349DMG|4BPWR|5ZMB|6RCR|8DUR|aRMIN
89	61622 24313	   	163.58	DCR|2AART|2VULN|2CDMG	1CGEN|28AART|3aVULN|49CDMG|5FEWX|6RCR|7RCVC
90	61133 63511	 * 	163.56	DCR|2AART|2DMG|1CDMG|1ZMB	1CGEN|24AART|3CDMG|5MBVNT|6BELT|7RCR|8aDMG|9ZMB
91	61412 53112	   	163.56	DCR|3DMG|1AART|1ZMB|1DUR	147CGEN|2AART|349DMG|4BPWR|5ZMB|6RCR|8DUR|aLSRHEA
92	61623 24313	   	163.48	DCR|2AART|2VULN|2CDMG	1CGEN|28AART|3aVULN|49CDMG|5DUST|6RCR|7RCVC
93	53116 33433	   	163.48	DCR|2VULN|1AART|1DMG|1CDMG	1VENICY|2AART|3RMIN|48VULN|5LIT|6RCR|7DUST|9DMG|aCDMG
94	61423 62332	   	163.48	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2AART|3DMG|4DUST|5ERES|6RCR|78VULN|9LHND|aCDMG
95	61224 24313	   	163.47	DCR|2VULN|1AART|3DUR|1CDMG|1ZMB	1CGEN|2AART|356DUR|4CDMG|78VULN|9RCR|aZMB
96	61413 23344	 * 	163.41	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	14CGEN|2AART|34DMG|4BPWR|5DUR|6VULN|7LWND|8MBVNT|9RCR|aFLTHEA
97	61412 32351	   	163.27	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	14CGEN|2AART|34DMG|4BPWR|5ZMB|6MLV|7RPLT|8RCR|9DUR|aVULN
98	61222 23333	   	163.10	DCR|2VULN|1AART|3CDMG|1DUR	19CGEN|2AART|3DUR|49aCDMG|5FEWX|6RCR|7MLV|89VULN|9BPWR
99	61112 23435	   	163.07	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	1CGEN|2AART|39CDMG|4BELT|5ZMB|6DUR|7aVULN|8RCR
100	61223 23633	   	163.00	DCR|2VULN|1AART|3CDMG|1DUR	19CGEN|2AART|3DUR|49aCDMG|5DUST|6RCR|7MLV|89VULN|9BPWR
101	61412 15221	   	162.98	DCR|2AART|2DMG|1VULN|1ZMB	14CGEN|29AART|34DMG|4BPWR|5ZMB|6VULN|7LWND|8BEXP|aRCR
102	56333 32341	   	162.93	ACR|2VULN|2DMG|1AART	15VENICY|2NUKE|35DMG|4RCR|5BPWR|6AART|7ERES|8DMSP|9aVULN
103	61116 13533	   	162.79	DCR|2VULN|1AART|1DMG|2CDMG	1CGEN|2AART|38CDMG|4BELT|57VULN|6DMG|9RCR|aFEWX
104	61624 21113	   	162.78	DCR|2VULN|1AART|1CDMG|2DUR|1ASPD	1CGEN|2AART|3aVULN|4CDMG|57DUR|6RCR|8ASPD|9LIT
105	22543 15333	   	162.78	DCR|3VULN|1AART|1DMG	1LHND|2RCVC|36aVULN|4FEWX|5DMG|7RCR|8LIT|9AART
106	61116 13531	   	162.69	DCR|2VULN|1AART|1DMG|2CDMG	1CGEN|2AART|38CDMG|4BELT|57VULN|6DMG|9RCR|aDUST
107	43341 33136	   	162.46	DCR|2VULN|1DMG|1CDMG|1FLTHEA|1ZMB|1ASPD	1LWND|2CDMG|3ZMB|4aVULN|5ASPD|6DMG|7BEXP|8RCR|9FLTHEA
108	61222 22515	   	162.35	DCR|2AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1CGEN|29AART|3DUR|4CDMG|5FEWX|6RCR|7VULN|8ASPD|aZMB
109	21113 51321	   	162.34	DCR|2AART|2VULN|1CDMG|1ASPD|1DUR	12LHND|3DUR|4CDMG|59AART|6ASPD|7aVULN|8RCR
110	23113 51321	   	162.34	DCR|2AART|2VULN|1CDMG|1ASPD|1DUR	12LHND|2BPWR|3DUR|4CDMG|59AART|6ASPD|7aVULN|8RCR
111	61223 22515	   	162.25	DCR|2AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1CGEN|29AART|3DUR|4CDMG|5DUST|6RCR|7VULN|8ASPD|aZMB
112	15243 52321	 * 	162.21	DCR|2AART|2VULN|2ASPD|1CDMG	17FEWX|27ASPD|3CDMG|4aVULN|59AART|67LWND|7BPWR|8RCR
113	61222 24161	   	162.17	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1CGEN|2AART|3DUR|4CDMG|5FEWX|6RCR|7RCVC|8ASPD|9DMG|aVULN
114	56333 23162	   	162.10	ACR|3DMG|1AART|1VULN	15VENICY|2NUKE|35aDMG|4RCR|5BPWR|6LIT|7RCVC|8AART|9VULN
115	61223 24161	   	162.07	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1CGEN|2AART|3DUR|4CDMG|5DUST|6RCR|7RCVC|8ASPD|9DMG|aVULN
116	61624 21313	   	162.06	DCR|2AART|3CDMG|1VULN|2DUR	1CGEN|28AART|3VULN|49aCDMG|57DUR|6RCR
117	61112 23422	   	162.05	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1CGEN|2AART|3CDMG|4BELT|5ZMB|6aDUR|79VULN|8RCR
118	25231 22331	   	162.01	DCR|3VULN|1AART|1CDMG|1ASPD	1LHND|2ASPD|3CDMG|4RCVC|59aVULN|6AART|7LEGI|8RCR
119	61222 22134	   	162.00	DCR|2AART|2VULN|1CDMG|1DUR	1CGEN|2aAART|3DUR|4CDMG|5FEWX|6RCR|79VULN|8MGNLIT
120	61622 21134	   	162.00	DCR|2AART|2VULN|1CDMG|1DUR	1CGEN|2aAART|39VULN|4CDMG|5FEWX|6RCR|7DUR|8MGNLIT
121	61622 26331	   	162.00	DCR|2AART|2VULN|1CDMG|1DUR	17CGEN|28AART|39VULN|4CDMG|5FEWX|6RCR|aDUR
122	61223 22134	   	161.90	DCR|2AART|2VULN|1CDMG|1DUR	1CGEN|2aAART|3DUR|4CDMG|5DUST|6RCR|79VULN|8MGNLIT
123	61623 21134	   	161.90	DCR|2AART|2VULN|1CDMG|1DUR	1CGEN|2aAART|39VULN|4CDMG|5DUST|6RCR|7DUR|8MGNLIT
124	61623 26331	   	161.90	DCR|2AART|2VULN|1CDMG|1DUR	17CGEN|28AART|39VULN|4CDMG|5DUST|6RCR|aDUR
125	42633 51321	   	161.81	DCR|2AART|2VULN|2CDMG|1ASPD	1LWND|24BEXP|34CDMG|4BPWR|59AART|6ASPD|7aVULN|8RCR
126	43233 51321	   	161.81	DCR|2AART|2VULN|2CDMG|1ASPD	1LWND|24CDMG|34BEXP|4BPWR|59AART|6ASPD|7aVULN|8RCR
127	43243 51321	   	161.71	DCR|2AART|2VULN|2CDMG|1ASPD	1LWND|24CDMG|3BEXP|59AART|6ASPD|7aVULN|8RCR
128	61412 51233	   	161.65	DCR|2DMG|1AART|1CDMG|1ZMB|1ASPD	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7FEWX|8CDMG|9LHND|aASPD
129	15243 32263	   	161.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2ASPD|3CDMG|4aVULN|5AART|6RPLT|7DMG|8BEXP|9RCR
130	62113 13363	   	161.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DMG|3DUR|4CDMG|5AART|6RPLT|7BEXP|8aVULN|9RCR
131	61622 22334	   	161.57	DCR|2AART|2VULN|2CDMG	17CGEN|28AART|39VULN|47CDMG|57FEWX|6RCR|7BPWR|aBEXP
132	61622 22335	   	161.57	DCR|2AART|2VULN|2CDMG	17CGEN|28AART|39VULN|47CDMG|57FEWX|6RCR|7BPWR|aLIT
133	61622 22336	   	161.57	DCR|2AART|2VULN|2CDMG	17CGEN|28AART|39VULN|47CDMG|57aFEWX|6RCR|7BPWR
134	61622 22353	   	161.57	DCR|2AART|2VULN|2CDMG	17CGEN|28AART|3aVULN|47CDMG|57FEWX|6RCR|7BPWR|9MLV
135	61412 51213	   	161.55	DCR|2DMG|1AART|1CDMG|1ZMB|1ASPD	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7FEWX|8CDMG|9MBVNT|aASPD
136	61412 51322	   	161.55	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7FEWX|8DUR|9LEGI|aCDMG
137	56333 32411	 * 	161.52	ACR|3DMG|1AART|1CDMG|1ASPD	15VENICY|2NUKE|359DMG|4RCR|5BPWR|6AART|7ERES|8ASPD|aCDMG
138	61622 22332	   	161.47	DCR|2AART|2VULN|2CDMG	17CGEN|28AART|39VULN|47CDMG|57FEWX|6RCR|7BPWR|aERES
139	61523 52332	   	161.45	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1CGEN|2AART|3ZMB|4DUST|5ASPD|6RCR|78VULN|9LHND|aCDMG
140	25241 23321	   	161.41	DCR|2VULN|2AART|2ASPD|1CDMG	1LHND|25ASPD|3CDMG|4aVULN|69AART|7BEXP|8RCR
141	61623 22334	   	161.37	DCR|2AART|2VULN|2CDMG	17CGEN|28AART|39VULN|47CDMG|57DUST|6RCR|7BPWR|aBEXP
142	61623 22335	   	161.37	DCR|2AART|2VULN|2CDMG	17CGEN|28AART|39VULN|47CDMG|57DUST|6RCR|7BPWR|aLIT
143	61623 22336	   	161.37	DCR|2AART|2VULN|2CDMG	17CGEN|28AART|39VULN|47CDMG|57DUST|6RCR|7BPWR|aFEWX
144	61623 22363	   	161.37	DCR|2AART|2VULN|2CDMG	17CGEN|28AART|3aVULN|47CDMG|57DUST|6RCR|7BPWR|9RMIN
145	61622 26313	   	161.37	DCR|2AART|2VULN|2CDMG	17CGEN|28AART|3aVULN|49CDMG|5FEWX|6RCR
146	61111 13212	   	161.34	DCR|2AART|1DMG|1VULN|1CDMG|1ZMB	1CGEN|2aAART|3CDMG|4BELT|5LWND|6DMG|7VULN|8ZMB|9RCR
147	61112 45312	   	161.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|2aAART|3CDMG|4BELT|5ZMB|6VULN|7DMG|8BEXP|9RCR
148	61113 13212	   	161.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|2aAART|3CDMG|4BELT|5FEWX|6DMG|7VULN|8ZMB|9RCR
149	61622 25332	   	161.27	DCR|2AART|2VULN|2CDMG	1CGEN|28AART|39VULN|47CDMG|5FEWX|6RCR|aERES
150	61623 22332	   	161.27	DCR|2AART|2VULN|2CDMG	17CGEN|28AART|39VULN|47CDMG|57DUST|6RCR|7BPWR|aERES
151	61623 26313	   	161.27	DCR|2AART|2VULN|2CDMG	17CGEN|28AART|3aVULN|49CDMG|5DUST|6RCR
152	43341 32153	   	161.27	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1LWND|2CDMG|3ZMB|4VULN|5ASPD|6DMG|7DUR|8RCR|9DUST|aAART
153	61116 14212	   	161.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|2aAART|3CDMG|4BELT|5VULN|6DMG|7DUST|8ZMB|9RCR
154	53216 33433	 * 	161.17	DCR|2AART|2VULN|1DMG	1VENICY|2aAART|3ERES|48VULN|5LIT|6RCR|7DUST|9DMG
155	61623 25332	   	161.17	DCR|2AART|2VULN|2CDMG	1CGEN|28AART|39VULN|47CDMG|5DUST|6RCR|aERES
156	61412 51121	   	161.13	DCR|2DMG|1AART|1VULN|1ZMB	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7FEWX|8VULN|9DMSP|aRMIN
157	61412 51122	   	161.13	DCR|2DMG|1AART|1VULN|1ZMB	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7FEWX|8VULN|9DMSP|aBEXP
158	61412 51131	   	161.13	DCR|2DMG|1AART|1VULN|1ZMB	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7FEWX|8VULN|9LHND|aBELT
159	61412 53221	   	161.13	DCR|2DMG|1AART|1VULN|1ZMB	147CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|8BEXP|9VULN|aRMIN
160	61412 53222	   	161.13	DCR|2DMG|1AART|1VULN|1ZMB	147CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|8aBEXP|9VULN
161	61413 21133	   	161.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	14CGEN|2AART|34DMG|4BPWR|5DUR|6VULN|7CDMG|8BEXP|9LHND|aRCR
162	61413 21523	   	161.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	14CGEN|2AART|34DMG|4BPWR|5DUR|6VULN|7CDMG|8LHND|9LWND|aRCR
