0	Index      	 *	Score 	Summary	Detail	
1	22166 32432	 * 	210.20	ACR|4VULN|3DMG|2CDMG	1RCR|2ERES|357DMG|45CDMG|5BPWR|689aVULN
78	23263 12111	 * 	188.51	ACR|5VULN|2AART	1RCR|2BASHEA|3aAART|45689VULN|7RPLT
79	24123 13661	   	188.09	ACR|3DMG|2VULN|1AART	1RCR|2DMSP|3AART|49VULN|59LIT|6LHND|7FEWX|89aDMG|9BPWR
80	23263 15136	   	188.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCR|2BASHEA|3AART|456VULN|7DMG|8ERES|9DUR|aZMB
81	24123 33661	   	187.99	ACR|3DMG|2VULN|1AART	1RCR|2DMSP|3AART|49VULN|59LIT|6DUST|7FEWX|89aDMG|9BPWR
82	24126 13126	   	187.89	ACR|3VULN|2DMG|1AART	1RCR|2DMSP|3AART|49aVULN|5MLV|6RMIN|7aERES|8aDMG|aBPWR
83	24121 13126	   	187.79	ACR|3VULN|2DMG|1AART	1RCR|2DMSP|3AART|49aVULN|5TLV|6RMIN|7aERES|8aDMG|aBPWR
84	23261 11154	   	187.69	ACR|3DMG|2VULN|1AART	1RCR|2BASHEA|3AART|46VULN|5NUKE|7RPLT|89aDMG
85	23263 15163	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|2BASHEA|3AART|456VULN|79DMG|8ERES|aLEGI
86	22143 63323	 * 	187.41	ACR|5VULN|2DMG	1RCR|27ERES|37DMG|4BELT|5679aVULN|7BPWR|8LIT
87	22166 32235	   	187.39	ACR|3DMG|2VULN|2CDMG|1DUR	1RCR|2ERES|357DMG|45CDMG|5BPWR|6aVULN|8LWND|9DUR
88	22166 33115	   	187.39	ACR|3DMG|2VULN|2CDMG|1DUR	1RCR|2ERES|358DMG|45CDMG|5BPWR|6aVULN|7DUR|9LWND
89	22166 33221	   	187.39	ACR|3VULN|2DMG|2CDMG|1DUR	1RCR|2ERES|35DMG|45CDMG|5BPWR|69aVULN|7DUR|8LIT
90	21633 21635	   	187.34	ACR|3VULN|3DMG|1ZMB	1RCR|2aLHND|37aDMG|4CGEN|5ZMB|6DMSP|89aVULN|aBPWR
91	21633 31635	   	187.34	ACR|3VULN|3DMG|1ZMB	1RCR|2aLHND|37aDMG|46CGEN|5ZMB|89aVULN|aBPWR
92	22166 33125	   	187.29	ACR|3DMG|2VULN|2CDMG|1DUR	1RCR|2ERES|358DMG|45CDMG|5BPWR|6aVULN|7DUR|9DUST
93	22162 43133	   	187.19	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1RCR|2ERES|368DMG|4CDMG|5BEXP|7DUR|9AART|aVULN
94	22164 43133	   	187.19	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1RCR|2ERES|368DMG|4CDMG|5FEWX|7DUR|9AART|aVULN
95	22113 43133	   	187.19	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1RCR|2ERES|368DMG|4FEWX|5CDMG|7DUR|9AART|aVULN
96	22133 43133	   	187.19	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1RCR|2ERES|368DMG|4BEXP|5CDMG|7DUR|9AART|aVULN
97	23326 36112	   	187.09	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2BASHEA|3589VULN|4LHND|6AART|7CDMG|aZMB
98	23233 26142	   	187.02	ACR|3VULN|1AART|1CDMG|2DUR|1ZMB	1RCR|2BASHEA|3AART|49DUR|568VULN|7CDMG|aZMB
99	23233 36142	   	187.02	ACR|3VULN|1AART|1CDMG|2DUR|1ZMB	1RCR|2BASHEA|3AART|49DUR|578VULN|6CDMG|aZMB
100	23313 52631	   	186.69	ACR|3VULN|2DMG|1AART	1RCR|2aBASHEA|39aVULN|4BELT|5AART|6MGNSTR|7FEWX|8aDMG|aBPWR
101	24124 12124	   	186.68	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	1RCR|2DMSP|35AART|49VULN|6ASPD|7FEWX|8DMG|aCDMG
102	24124 21124	   	186.68	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1RCR|2DMSP|35AART|49VULN|6CGEN|7DUR|8DMG|aCDMG
103	23233 26434	   	186.58	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1RCR|2BASHEA|39AART|4DUR|56VULN|7CDMG|8FEWX|aDMG
104	23233 26634	   	186.58	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1RCR|2BASHEA|39AART|4DUR|56VULN|7CDMG|8LWND|aDMG
105	23233 36434	   	186.58	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1RCR|2BASHEA|39AART|4DUR|57VULN|6CDMG|8FEWX|aDMG
106	23233 36634	   	186.58	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1RCR|2BASHEA|39AART|4DUR|57VULN|6CDMG|8LWND|aDMG
107	22166 12335	 * 	186.49	ACR|3DMG|2VULN|3CDMG	1RCR|2ERES|358DMG|457CDMG|5BPWR|6RPLT|9aVULN
108	23233 35134	   	186.48	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1RCR|2BASHEA|39AART|4DUR|5VULN|6CDMG|7ERES|8aDMG
109	23335 31316	   	186.38	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	1RCR|2BASHEA|39VULN|4ASPD|5DMG|6DMSP|7AART|8CDMG|aFLTHEA
110	23215 16134	   	186.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1RCR|2BASHEA|3AART|4ASPD|5ZMB|68VULN|7CDMG|9LEGI|aDMG
111	22163 31562	 * 	185.38	ACR|2VULN|2DMG|3ASPD|1CDMG|1DUR	1RCR|2ERES|39DMG|4CDMG|5DUR|69aASPD|7LIT|89VULN|9BPWR
112	24124 11121	   	185.26	ACR|2AART|2VULN|1DMG|2DUR|1ASPD	1RCR|2DMSP|35AART|49VULN|6ASPD|7aDUR|8DMG
113	11361 11154	   	185.11	ACR|3DMG|1AART|1VULN|1FLTHEA|1ZMB|1SELL	1VULN|2LWND|3FLTHEA|4RCR|5ZMB|6SELL|7AART|89aDMG
114	23233 25266	   	184.83	ACR|4VULN|1AART|1FLTHEA|1DUR	1RCR|2BASHEA|3AART|4DUR|568aVULN|7FLTHEA|9RMIN
115	23233 26111	   	184.83	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|5689VULN|7CDMG|aLWND
116	23233 26115	   	184.83	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|5689VULN|7CDMG|aBELT
117	23233 36111	   	184.83	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|5789VULN|6CDMG|aLWND
118	23233 36115	   	184.83	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|5789VULN|6CDMG|aBELT
119	23233 26113	   	184.73	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|5689VULN|7CDMG|aTLV
120	23233 26114	   	184.73	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|5689VULN|7CDMG|aERES
121	23233 26136	   	184.73	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|568aVULN|7CDMG|9LEGI
122	23233 26167	   	184.73	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|568aVULN|7CDMG|9MBVNT
123	23233 36113	   	184.73	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|5789VULN|6CDMG|aTLV
124	23233 36114	   	184.73	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|5789VULN|6CDMG|aERES
125	23233 36136	   	184.73	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|578aVULN|6CDMG|9LEGI
126	23233 36167	   	184.73	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|578aVULN|6CDMG|9MBVNT
127	23326 63121	   	184.54	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCR|2BASHEA|356VULN|4LHND|7DMG|8ZMB|9AART|aDUR
128	23213 16116	   	184.37	ACR|3VULN|1AART|1CDMG|1FLTHEA|1ASPD	1RCR|2BASHEA|3AART|4ASPD|5RMIN|689VULN|7CDMG|aFLTHEA
129	23263 12154	   	184.30	ACR|4VULN|1AART|1DMG	1RCR|2BASHEA|3AART|4568VULN|7RPLT|9BEXP|aDMG
130	23263 15351	   	184.30	ACR|4VULN|1AART|1DMG	1RCR|2BASHEA|3AART|456aVULN|7DMG|8LIT|9CGEN
131	23263 12134	   	184.20	ACR|4VULN|1AART|1DMG	1RCR|2BASHEA|3AART|4568VULN|7RPLT|9LEGI|aDMG
132	23263 12164	   	184.20	ACR|4VULN|1AART|1DMG	1RCR|2BASHEA|3AART|4568VULN|7RPLT|9DUST|aDMG
133	23263 15141	   	184.20	ACR|4VULN|1AART|1DMG	1RCR|2BASHEA|3AART|456aVULN|7DMG|8ERES|9LIT
134	23263 15311	   	184.20	ACR|4VULN|1AART|1DMG	1RCR|2BASHEA|3AART|456aVULN|7DMG|8LIT|9TLV
135	11366 63133	   	184.15	ACR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	156VULN|2LWND|3FLTHEA|4RCR|7DMG|8ZMB|9AART|aLHND
136	23263 15251	   	184.10	ACR|4VULN|1AART|1DMG	1RCR|2BASHEA|3AART|456aVULN|7DMG|89DUST
137	22623 24134	   	184.08	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|27ERES|3CGEN|47MLV|57VULN|6AART|7BPWR|89DMG|aCDMG
138	23263 15433	   	184.08	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCR|2BASHEA|3AART|456VULN|7DMG|8ASPD|9DUR|aDMSP
139	24124 51122	   	184.03	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1RCR|2DMSP|35AART|49VULN|6ZMB|7DUR|8DMG|aLHND
140	24124 52121	   	184.03	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1RCR|2DMSP|35AART|49VULN|6ZMB|7FEWX|8DMG|aDUR
141	23263 12146	   	184.00	ACR|5VULN|1AART|1DUR	1RCR|2BASHEA|3AART|4568aVULN|7RPLT|9DUR
142	23214 11475	   	183.98	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1RCR|2BASHEA|3AART|4ASPD|5MBVNT|68aVULN|7DUR|9DMG
143	23263 15421	   	183.98	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1RCR|2BASHEA|3AART|456VULN|7DMG|8ASPD|9DUST|aDUR
144	23335 26136	   	183.94	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1RCR|2BASHEA|389VULN|4ASPD|5DMG|6BEXP|7ZMB|aAART
145	24124 33121	   	183.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1RCR|2DMSP|35AART|49VULN|6DUST|7ZMB|8DMG|aDUR
146	21635 13343	   	183.89	ACR|3VULN|2DMG|1AART	1RCR|28LHND|38DMG|4CGEN|5LWND|678VULN|8BPWR|9FEWX|aAART
147	21635 13353	   	183.89	ACR|3VULN|2DMG|1AART	1RCR|28LHND|38DMG|4CGEN|5LWND|678VULN|8BPWR|9BEXP|aAART
148	23262 25232	   	183.85	ACR|3VULN|1AART|1DMG|1FLTHEA	1RCR|2BASHEA|3AART|468VULN|5LHND|7FLTHEA|9FEWX|aDMG
149	23263 55232	   	183.85	ACR|3VULN|1AART|1DMG|1FLTHEA	1RCR|2BASHEA|3AART|458VULN|6LWND|7FLTHEA|9FEWX|aDMG
150	23263 65232	   	183.85	ACR|3VULN|1AART|1DMG|1FLTHEA	1RCR|2BASHEA|3AART|458VULN|6LHND|7FLTHEA|9FEWX|aDMG
151	25143 25232	   	183.85	ACR|3VULN|1AART|1DMG|1FLTHEA	1RCR|2LWND|3AART|4VENICY|568VULN|7FLTHEA|9FEWX|aDMG
152	24122 34342	   	183.85	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2DMSP|3AART|478VULN|5CDMG|6TLV|9DMG|aLIT
153	23263 15432	   	183.83	ACR|3VULN|1AART|1DMG|1DUR|1ASPD|1SELL	1RCR|2BASHEA|3AART|456VULN|7DMG|8ASPD|9DUR|aSELL
154	21635 13323	   	183.79	ACR|3VULN|2DMG|1AART	1RCR|28LHND|38DMG|4CGEN|5LWND|678VULN|8BPWR|9DUST|aAART
155	23263 15111	   	183.75	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2BASHEA|3AART|456VULN|7DMG|8ERES|9RCVC|aCDMG
156	23223 35154	   	183.75	ACR|3DMG|1AART|1VULN|1CDMG	1RCR|2BASHEA|3AART|4BEXP|5VULN|6CDMG|7ERES|89aDMG
157	23223 36134	   	183.75	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2BASHEA|3AART|4BEXP|578VULN|6CDMG|9LEGI|aDMG
158	23223 36165	   	183.75	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2BASHEA|3AART|4BEXP|578VULN|6CDMG|9MBVNT|aDMG
159	22236 16135	   	183.72	ACR|3DMG|2VULN|2DUR|1ZMB	1RCR|2aERES|3aDUR|4DMSP|5ZMB|69VULN|78aDMG|aBPWR
160	21615 14323	   	183.69	ACR|3VULN|2DMG|1AART	1RCR|28LHND|38DMG|4ERES|5LWND|678VULN|8BPWR|9DUST|aAART
161	22143 63221	   	183.69	ACR|3VULN|2DMG|1AART	1RCR|27ERES|37DMG|4BELT|567VULN|7BPWR|8BEXP|9RCVC|aAART
162	22143 63421	   	183.69	ACR|3VULN|2DMG|1AART	1RCR|27ERES|37DMG|4BELT|567VULN|7BPWR|8FEWX|9RCVC|aAART
163	22143 63511	   	183.69	ACR|3VULN|2DMG|1AART	1RCR|27ERES|37DMG|4BELT|567VULN|7BPWR|8LHND|9DMSP|aAART
164	23253 36134	   	183.65	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2BASHEA|3AART|4DUST|578VULN|6CDMG|9LEGI|aDMG
165	63111 63621	   	183.63	ACR|3VULN|2DMG|1AART|1DUR	1BELT|27DMG|367VULN|4RCR|57MLV|7BPWR|8DUR|9RCVC|aAART
166	22216 16135	   	183.62	ACR|3DMG|2VULN|2DUR|1ZMB	1RCR|24aERES|3aDUR|5ZMB|69VULN|78aDMG|aBPWR
167	22115 12351	   	183.59	ACR|3DMG|2VULN|1AART	1RCR|278ERES|389DMG|4FEWX|5LWND|68VULN|8BPWR|aAART
168	22135 12331	   	183.59	ACR|3DMG|2VULN|1AART	1RCR|278ERES|389DMG|4BEXP|5LWND|68VULN|8BPWR|aAART
169	22143 63315	   	183.59	ACR|3VULN|2DMG|1AART	1RCR|279ERES|37DMG|4BELT|567VULN|7BPWR|8LIT|aAART
170	22155 14323	   	183.59	ACR|3VULN|2DMG|1AART	1RCR|28ERES|38DMG|4LHND|5LWND|678VULN|8BPWR|9DUST|aAART
171	23326 23163	   	183.59	ACR|3VULN|2DMG|1AART	1RCR|2BASHEA|358VULN|4LHND|6BEXP|79DMG|aAART
172	23356 23163	   	183.59	ACR|3VULN|2DMG|1AART	1RCR|2BASHEA|358VULN|4FEWX|6BEXP|79DMG|aAART
