0	Index      	 *	Score 	Summary	Detail	
1	31184 17452	 * 	210.23	DCR|4VULN|2DMG|1AART|2CDMG	1MBVNT|2589VULN|3LHND|48CDMG|68DMG|7RCR|8BPWR|aAART
37	23146 21236	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3aLWND|4AART|57DMG|67VULN|7BPWR|8DUR|9RCR
38	23146 21633	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LWND|4AART|57DMG|67VULN|7BPWR|8FEWX|9RCR|aDUR
39	23245 21231	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LHND|4AART|57VULN|67DMG|7BPWR|8DUR|9RCR|aRPLT
40	23245 21233	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LHND|4AART|57VULN|67DMG|7BPWR|8DUR|9RCR|aBELT
41	23245 21235	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LHND|4AART|57VULN|67DMG|7BPWR|8DUR|9RCR|aFEWX
42	23245 21236	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LHND|4AART|57VULN|67DMG|7BPWR|8DUR|9RCR|aLWND
43	23246 21231	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LHND|4AART|57DMG|67VULN|7BPWR|8DUR|9RCR|aRPLT
44	23246 21233	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LHND|4AART|57DMG|67VULN|7BPWR|8DUR|9RCR|aBELT
45	23246 21235	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LHND|4AART|57DMG|67VULN|7BPWR|8DUR|9RCR|aFEWX
46	23246 21236	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LHND|4AART|57DMG|67VULN|7BPWR|8DUR|9RCR|aLWND
47	23146 21234	   	189.92	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LWND|4AART|57DMG|67VULN|7BPWR|8DUR|9RCR|aDUST
48	23245 21234	   	189.92	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LHND|4AART|57VULN|67DMG|7BPWR|8DUR|9RCR|aDUST
49	23246 21234	   	189.92	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LHND|4AART|57DMG|67VULN|7BPWR|8DUR|9RCR|aDUST
50	21546 21331	   	189.72	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2DUR|3RCVC|4AART|57DMG|67VULN|7BPWR|8FEWX|9RCR|aRPLT
51	31184 18354	   	189.53	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|258VULN|37LHND|48CDMG|68DMG|8BPWR|9AART|aRCR
52	21246 31315	   	188.36	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|2DUR	1CDMG|23DUR|4AART|58DMG|6RCR|7FLTHEA|9LWND|aVULN
53	21246 31361	   	188.36	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|2DUR	1CDMG|23DUR|4AART|58DMG|6RCR|7FLTHEA|9VULN|aDMSP
54	21246 31363	   	188.36	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|2DUR	1CDMG|23DUR|4AART|58DMG|6RCR|7FLTHEA|9VULN|aLWND
55	21246 31362	   	188.26	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|2DUR	1CDMG|23DUR|4AART|58DMG|6RCR|7FLTHEA|9VULN|aERES
56	31184 17453	   	187.03	DCR|4VULN|2DMG|2CDMG	1MBVNT|2589VULN|3LHND|48CDMG|68DMG|7RCR|8BPWR|aRMIN
57	31184 17454	   	186.93	DCR|4VULN|2DMG|2CDMG	1MBVNT|2589VULN|3LHND|48CDMG|68DMG|7RCR|8BPWR|aTLV
58	23146 31335	   	186.77	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	1CDMG|2RCVC|3LWND|4AART|58DMG|6RCR|7FLTHEA|9DUR|aVULN
59	31184 47452	   	186.13	DCR|4VULN|1AART|2CDMG|2ASPD	1MBVNT|2589VULN|3LHND|48CDMG|68ASPD|7RCR|8BPWR|aAART
60	38443 26822	 * 	185.44	ACR|4VULN|3DMG	1MBVNT|2LEGI|3RCR|456aVULN|5aBPWR|78aDMG|9aCGEN
61	38445 23632	   	185.24	ACR|4VULN|3DMG	1MBVNT|2LEGI|3RCR|489aVULN|57aDMG|6aERES|aBPWR
62	31184 17472	   	185.16	DCR|3VULN|2DMG|2CDMG|2DUR	1MBVNT|258VULN|3LHND|48CDMG|68DMG|7RCR|8BPWR|9aDUR
63	21242 36361	   	185.15	ACR|2VULN|1AART|1DMG|3DUR|1CDMG|1ZMB	1CDMG|237DUR|4AART|5RCR|6ZMB|89VULN|aDMG
64	21214 31361	   	184.44	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	17CDMG|237DUR|47CGEN|5AART|6RCR|7BPWR|89VULN|aDMG
65	23146 21532	   	184.25	DCR|2VULN|2DMG|1AART|2CDMG	17CDMG|2aRCVC|3LWND|4AART|57DMG|67VULN|7BPWR|8LHND|9RCR
66	23146 21632	   	184.25	DCR|2VULN|2DMG|1AART|2CDMG	17CDMG|2aRCVC|3LWND|4AART|57DMG|67VULN|7BPWR|8FEWX|9RCR
67	21264 31361	   	184.24	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	17CDMG|237DUR|47ERES|5AART|6RCR|7BPWR|89VULN|aDMG
68	21246 31331	 * 	183.95	DCR|3DMG|1AART|1CDMG|1FLTHEA|2DUR	1CDMG|23DUR|4AART|589DMG|6RCR|7FLTHEA|aFEWX
69	21246 31332	   	183.95	DCR|3DMG|1AART|1CDMG|1FLTHEA|2DUR	1CDMG|23DUR|4AART|589DMG|6RCR|7FLTHEA|aLHND
70	21246 31334	   	183.95	DCR|3DMG|1AART|1FLTHEA|1CDMG|2DUR	1CDMG|23DUR|4AART|589DMG|6RCR|7FLTHEA|aLIT
71	21246 31335	   	183.95	DCR|3DMG|1AART|1FLTHEA|1CDMG|2DUR	1CDMG|23DUR|4AART|589DMG|6RCR|7FLTHEA|aCGEN
72	31184 17421	   	183.93	DCR|3VULN|2DMG|2CDMG|1ZMB	1MBVNT|258VULN|39LHND|48CDMG|68DMG|7RCR|8BPWR|aZMB
73	21246 31333	   	183.85	DCR|3DMG|1AART|1CDMG|1FLTHEA|2DUR	1CDMG|23DUR|4AART|589DMG|6RCR|7FLTHEA|aTLV
74	31526 34474	   	183.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1MBVNT|2aVULN|3ZMB|4RCVC|5LEGI|6aDMG|7AART|8aDUR|9RCR|aBPWR
75	23146 21531	   	183.08	DCR|2VULN|2DMG|1AART|2CDMG	17CDMG|2RCVC|3LWND|4AART|57DMG|67VULN|7BPWR|8LHND|9RCR|aRPLT
76	23146 21533	   	183.08	DCR|2VULN|2DMG|1AART|2CDMG	17CDMG|2RCVC|3LWND|4AART|57DMG|67VULN|7BPWR|8LHND|9RCR|aBELT
77	23146 21631	   	183.08	DCR|2VULN|2DMG|1AART|2CDMG	17CDMG|2RCVC|3LWND|4AART|57DMG|67VULN|7BPWR|8FEWX|9RCR|aRPLT
78	24146 21323	 * 	183.02	DCR|2VULN|2DMG|1AART|3CDMG	127CDMG|3LWND|4AART|57DMG|67VULN|7BPWR|8LIT|9BEXP|aRCR
79	24245 21323	   	183.02	DCR|2VULN|2DMG|1AART|3CDMG	127CDMG|3LHND|4AART|57VULN|67DMG|7BPWR|8LIT|9BEXP|aRCR
80	24246 21323	   	183.02	DCR|2VULN|2DMG|1AART|3CDMG	127CDMG|3LHND|4AART|57DMG|67VULN|7BPWR|8LIT|9BEXP|aRCR
81	38472 23714	   	182.88	ACR|2VULN|2DMG|1AART|3DUR	1MBVNT|2LEGI|3RCR|4AART|56aDUR|7RMIN|8aDMG|9aVULN|aBPWR
82	38472 44463	   	182.88	ACR|2VULN|2DMG|1AART|3DUR	1MBVNT|2LEGI|3RCR|4AART|58aDUR|6LIT|7aDMG|9aVULN|aBPWR
83	23522 63362	 * 	182.77	DCR|3DMG|2VULN|3CDMG	138CDMG|2RCVC|38BPWR|4LWND|58VULN|68aDMG|7RCR|9BELT
84	38443 26473	 * 	182.74	ACR|4VULN|1AART|1DMG|1ASPD	1MBVNT|2LEGI|3RCR|456aVULN|5BPWR|7DMG|8ASPD|9AART
85	23522 63431	   	182.67	DCR|3DMG|2VULN|3CDMG	139CDMG|2RCVC|39BPWR|4LWND|59VULN|689DMG|7RCR|aBASHEA
86	23522 63433	   	182.67	DCR|3DMG|2VULN|3CDMG	139CDMG|2RCVC|39BPWR|4LWND|59VULN|689DMG|7RCR|aAIRHEL
87	31652 24474	 * 	182.57	DCR|3VULN|1AART|1DMG|2ZMB|2DUR	1MBVNT|26aVULN|3LEGI|4DMG|5aZMB|7AART|8aDUR|9RCR|aBPWR
88	38252 24474	   	182.57	DCR|3VULN|1AART|1DMG|2ZMB|2DUR	1MBVNT|2LEGI|36aVULN|4DMG|5aZMB|7AART|8aDUR|9RCR|aBPWR
89	23146 21315	   	182.45	DCR|2VULN|2DMG|1AART|2CDMG	17CDMG|28RCVC|3LWND|4AART|57DMG|67VULN|7BPWR|9FEWX|aRCR
90	38443 26332	 * 	182.41	ACR|5VULN|2DMG	1MBVNT|2LEGI|3RCR|4569aVULN|5aBPWR|7aDMG|8aTLV
91	38445 24632	   	182.41	ACR|5VULN|2DMG	1MBVNT|2LEGI|3RCR|4789aVULN|5aDMG|6aERES|aBPWR
92	38443 24443	 * 	182.10	ACR|5VULN|1AART|2DUR	1MBVNT|2LEGI|3RCR|4569aVULN|59BPWR|7AART|89DUR
93	21546 31331	   	182.06	DCR|3DMG|1AART|1CDMG|1FLTHEA|1DUR	1CDMG|2DUR|3RCVC|4AART|589DMG|6RCR|7FLTHEA|aFEWX
94	21546 31332	   	182.06	DCR|3DMG|1AART|1CDMG|1FLTHEA|1DUR	1CDMG|2DUR|3RCVC|4AART|589DMG|6RCR|7FLTHEA|aLHND
95	21546 31333	   	181.96	DCR|3DMG|1AART|1CDMG|1FLTHEA|1DUR	1CDMG|2DUR|3RCVC|4AART|589DMG|6RCR|7FLTHEA|aTLV
96	31684 13337	   	181.93	DCR|4VULN|2DMG|2CDMG	1MBVNT|2589VULN|3LEGI|48CDMG|68DMG|7RCVC|8BPWR|aRCR
97	38284 13337	   	181.93	DCR|4VULN|2DMG|2CDMG	1MBVNT|2LEGI|3589VULN|48CDMG|68DMG|7RCVC|8BPWR|aRCR
98	38443 65412	   	181.59	ACR|4VULN|1AART|1CDMG|1ZMB	1MBVNT|2LEGI|3RCR|459aVULN|5BPWR|6CDMG|7AART|8ZMB
99	21246 31631	   	181.53	DCR|1AART|1VULN|1DMG|3DUR|1CDMG|1FLTHEA|1ASPD	1CDMG|239DUR|4AART|5DMG|6RCR|7FLTHEA|8ASPD|aVULN
100	31184 13381	   	181.33	DCR|3VULN|2DMG|2CDMG|1ZMB	1MBVNT|258VULN|3LHND|48CDMG|68DMG|7RCVC|8BPWR|9RCR|aZMB
101	43334 31422	   	181.32	DCR|3VULN|2DMG|1AART|1SELL	179ERES|27DMG|379CGEN|4SELL|5AART|6RCR|79BPWR|89aVULN
102	31651 24474	   	181.26	DCR|3VULN|1AART|1DMG|2ASPD|2DUR	1MBVNT|26aVULN|3LEGI|4DMG|5aASPD|7AART|8aDUR|9RCR|aBPWR
103	38251 24474	   	181.26	DCR|3VULN|1AART|1DMG|2ASPD|2DUR	1MBVNT|2LEGI|36aVULN|4DMG|5aASPD|7AART|8aDUR|9RCR|aBPWR
104	31684 13321	   	181.23	DCR|3VULN|2DMG|2CDMG|1ZMB	1MBVNT|258VULN|3LEGI|48CDMG|68DMG|7RCVC|8BPWR|9RCR|aZMB
105	38284 13321	   	181.23	DCR|3VULN|2DMG|2CDMG|1ZMB	1MBVNT|2LEGI|358VULN|48CDMG|68DMG|7RCVC|8BPWR|9RCR|aZMB
106	21242 31331	   	181.21	ACR|1AART|1VULN|1DMG|3DUR|1FLTHEA|1CDMG|1ZMB	1CDMG|239DUR|4AART|5RCR|6ZMB|7FLTHEA|8DMG|aVULN
107	31184 17471	   	181.17	DCR|3VULN|2DMG|2CDMG|1DUR	1MBVNT|258VULN|3LHND|48CDMG|68DMG|7RCR|8BPWR|9DUR|aRCVC
108	31884 17124	   	180.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1MBVNT|25VULN|3BEXP|4CDMG|69DMG|7RCR|8DUR|aAART
109	21246 25333	 * 	180.66	DCR|3DMG|1AART|1VULN|1CDMG|2DUR	1CDMG|23DUR|4AART|589DMG|6VULN|7AIRHEL|aRCR
110	31155 23632	   	180.54	ACR|4VULN|3DMG	1MBVNT|289aVULN|3LHND|47aDMG|5RCR|6aERES|aBPWR
111	31455 23632	   	180.54	ACR|4VULN|3DMG	1MBVNT|289aVULN|3FEWX|47aDMG|5RCR|6aERES|aBPWR
112	23146 21115	   	180.48	DCR|2VULN|2DMG|1AART|2CDMG	17CDMG|2RCVC|3LWND|4AART|57DMG|67VULN|7BPWR|89DUST|aRCR
113	36743 17422	   	180.48	DCR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2DMSP|38VULN|49LHND|58CDMG|68DMG|7RCR|8BPWR|aAART
114	38443 26534	   	180.24	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1MBVNT|2LEGI|3RCR|456VULN|5BPWR|7DMG|8AART|9DUR|aZMB
