0	Index      	 *	Score 	Summary	Detail	
1	61334 71441	 * 	204.34	ACR|4VULN|2DMG|1AART|2ZMB	1aDMG|2MBVNT|367aVULN|4RMIN|5RCR|8AART|9aZMB|aBPWR
92	35321 13636	 * 	175.37	DCR|2VULN|2DMG|3DUR|1CDMG|1ZMB|1SELL	159DUR|2ZMB|37VULN|45DMG|5BPWR|6SELL|8RCR|aCDMG
93	61311 38472	 * 	175.36	DCR|3DMG|2VULN|2ASPD|1CDMG	178DMG|2MBVNT|37VULN|4RPLT|5RMIN|67ASPD|7BPWR|9RCR|aCDMG
94	61374 31432	   	175.29	ACR|2VULN|2DMG|1AART|2ZMB	18DMG|2MBVNT|38VULN|4CGEN|5RCR|6FEWX|78ZMB|8BPWR|9AART|aRCVC
95	61281 71421	   	175.27	DCR|2VULN|2DMG|1AART|2ZMB	19DMG|2MBVNT|3LEGI|4FEWX|59ZMB|69VULN|7RCR|8BELT|9BPWR|aAART
96	61364 31432	   	175.19	ACR|2VULN|2DMG|1AART|2ZMB	18DMG|2MBVNT|38VULN|4TLV|5RCR|6FEWX|78ZMB|8BPWR|9AART|aRCVC
97	61334 71427	   	175.19	ACR|3VULN|2DMG|1AART	1aDMG|2MBVNT|367VULN|4RMIN|5RCR|8AART|9CGEN
98	61221 71421	   	175.17	DCR|2VULN|2DMG|1AART|2ZMB	19DMG|2MBVNT|3LEGI|4DUST|59ZMB|69VULN|7RCR|8BELT|9BPWR|aAART
99	35321 13651	   	175.16	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	15DUR|2ZMB|37aVULN|45DMG|5BPWR|6SELL|8RCR|9RCVC
100	61442 38132	   	175.07	DCR|2VULN|2DMG|2AART	1aDMG|2MBVNT|3RCVC|47VULN|5DLOT|69AART|8RCR
101	32123 53626	 * 	174.82	DCR|3VULN|2AART|1DMG|1DUR|1SELL	1DUR|267VULN|3MLV|4DMG|5SELL|8RCR|9aAART
102	63162 51123	 * 	174.75	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1DMG|2ERES|3RCR|4VENICY|58VULN|6AART|79CDMG|aDUR
103	61313 84453	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	16DMG|2MBVNT|39VULN|4RPLT|5AART|7BELT|8RCR|aCDMG
