0	Index      	 *	Score 	Summary	Detail	
1	24611 22253	 * 	207.13	DCR|4VULN|2DMG|3ZMB|1DUR|1ASPD	1379VULN|239ZMB|39BPWR|4DUR|5BEXP|69DMG|8RCR|aASPD
26	32133 27315	   	190.62	ACR|3DMG|2VULN|1AART|2DUR	1aDUR|2DMSP|3CGEN|4RCR|5MBVNT|69aDMG|7AART|8aVULN|aBPWR
27	32233 27315	   	190.52	ACR|3DMG|2VULN|1AART|2DUR	1aDUR|2DMSP|3ERES|4RCR|5MBVNT|69aDMG|7AART|8aVULN|aBPWR
28	21325 23266	   	190.46	ACR|3DMG|2VULN|1AART|1DUR|1ASPD	19VULN|2ERES|369DMG|4RCR|5ASPD|7DUR|89BEXP|9BPWR|aAART
29	21325 23366	   	190.46	ACR|3DMG|2VULN|1AART|1DUR|1ASPD	19VULN|2ERES|369DMG|4RCR|5ASPD|7DUR|89FEWX|9BPWR|aAART
30	31233 27315	   	190.42	ACR|3DMG|2VULN|1AART|2DUR	1aDUR|23ERES|4RCR|5MBVNT|69aDMG|7AART|8aVULN|aBPWR
31	24122 32264	   	190.01	DCR|3VULN|3DMG|3ZMB	189VULN|289ZMB|3BEXP|4DMSP|5MBVNT|6LWND|789DMG|89BPWR|aRCR
32	24122 52264	   	190.01	DCR|3VULN|3DMG|3ZMB	189VULN|289ZMB|3BEXP|4DMSP|5MBVNT|6LHND|789DMG|89BPWR|aRCR
33	24512 42264	   	190.01	DCR|3VULN|3DMG|3ZMB	189VULN|289ZMB|3MBVNT|4FEWX|5BEXP|6DMSP|789DMG|89BPWR|aRCR
34	24521 32264	   	190.01	DCR|3VULN|3DMG|3ZMB	189VULN|289ZMB|3MBVNT|4DMSP|5BEXP|6LWND|789DMG|89BPWR|aRCR
35	33353 21252	 * 	189.92	DCR|3DMG|2VULN|1AART|3DUR	139DUR|2BEXP|49VULN|569DMG|7RMIN|8RCR|9BPWR|aAART
36	36353 21252	   	189.92	DCR|3DMG|2VULN|1AART|3DUR	139DUR|2FEWX|49VULN|569DMG|7RMIN|8RCR|9BPWR|aAART
37	34222 26314	 * 	189.82	ACR|2VULN|2DMG|1AART|2ZMB|2DUR	1aDUR|2aZMB|3ERES|4RCR|5RMIN|69DMG|7AART|8aVULN|aBPWR
38	23325 21661	   	189.69	DCR|3VULN|2DMG|2ZMB|2DUR|1ASPD	179VULN|27BEXP|39DUR|4MLV|57DMG|6RCR|79BPWR|89ZMB|aASPD
39	21322 22142	 * 	189.63	ACR|3VULN|2DMG|2AART	19aVULN|2ERES|36DMG|4RCR|5RMIN|78AART
40	21323 52142	   	189.63	ACR|3VULN|2DMG|2AART	19aVULN|2ERES|35DMG|4RCR|6RMIN|78AART
41	32421 22254	   	189.55	DCR|3VULN|3DMG|2DUR|1ZMB	19DUR|2DMSP|379VULN|4ZMB|5BEXP|69aDMG|8RCR|9BPWR
42	21316 21661	   	189.39	DCR|3VULN|2DMG|2ZMB|2DUR|1ASPD	179VULN|27ERES|39DMG|4DUST|57DUR|6RCR|79BPWR|89ZMB|aASPD
43	21323 34462	   	189.22	ACR|3DMG|2VULN|1AART|2DUR	1aVULN|2ERES|356DMG|4RCR|78DUR|9AART
44	31323 62365	   	189.22	ACR|3DMG|2VULN|1AART|2DUR	1aDUR|2ERES|358DMG|4RCR|67VULN|9AART
45	31323 66362	   	189.22	ACR|3DMG|2VULN|1AART|2DUR	17DUR|2ERES|358DMG|4RCR|6aVULN|9AART
46	24423 31161	   	188.89	ACR|3VULN|2DMG|1AART|1ZMB	15aVULN|2ZMB|37RMIN|4RCR|6aDMG|8AART|9aLIT|aBPWR
47	24423 32161	   	188.89	ACR|3VULN|2DMG|1AART|1ZMB	15aVULN|2ZMB|3RMIN|4RCR|6aDMG|7DMSP|8AART|9aLIT|aBPWR
48	21321 35142	   	188.59	ACR|3VULN|2DMG|1AART|1ZMB	19aVULN|2ERES|36DMG|4RCR|5DMSP|7ZMB|8AART
49	21323 65141	   	188.59	ACR|3VULN|2DMG|1AART|1ZMB	169VULN|2ERES|35DMG|4RCR|7ZMB|8AART|aFEWX
50	21323 65143	   	188.59	ACR|3VULN|2DMG|1AART|1ZMB	169VULN|2ERES|35DMG|4RCR|7ZMB|8AART|aBELT
51	24223 25142	   	188.49	ACR|3VULN|2DMG|1AART|1ZMB	19aVULN|2ZMB|37ERES|4RCR|56DMG|8AART
52	24633 22321	   	188.35	DCR|4VULN|2DMG|3ZMB	1347VULN|234ZMB|34BPWR|5DMSP|68DMG|9MLV|aRCR
53	24633 22341	   	188.35	DCR|4VULN|2DMG|3ZMB	1347VULN|234ZMB|34BPWR|5DMSP|68DMG|9CGEN|aRCR
54	24423 34133	   	188.08	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB|1ASPD	15VULN|2ZMB|3RMIN|4RCR|6DMG|78AART|9ASPD|aCDMG
55	32421 22255	   	188.00	DCR|4VULN|2DMG|2DUR|1ZMB	19DUR|2DMSP|379aVULN|4ZMB|5BEXP|69DMG|8RCR|9BPWR
56	22333 53332	 * 	187.02	DCR|3VULN|3DMG|1AART	147VULN|26DMSP|348DMG|4BPWR|5LHND|9RCR|aAART
57	24631 36311	   	186.85	DCR|3VULN|3ZMB|1DMG|1CDMG|1DUR	134VULN|234ZMB|34BPWR|5LIT|6RCR|7DUR|8MGNLIT|9CDMG|aDMG
58	22512 31342	   	186.83	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	145VULN|2DMSP|3SELL|4BPWR|6ZMB|7RCR|89DMG|aAART
59	31323 62344	   	186.78	ACR|3VULN|3DMG|1ZMB|1DUR	1DUR|2ERES|358DMG|4RCR|679VULN|aZMB
60	21323 65134	   	186.49	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	16VULN|2ERES|35DMG|4RCR|7ZMB|8AART|9aASPD
61	21323 61163	   	186.43	ACR|2VULN|2DMG|2AART|1CDMG	16VULN|2ERES|35DMG|4RCR|7LWND|8CDMG|9aAART
62	61323 62163	   	186.43	ACR|2VULN|2DMG|2AART|1CDMG	1LWND|2ERES|35DMG|4RCR|67VULN|8CDMG|9aAART
63	24153 22253	   	185.99	DCR|3VULN|2DMG|3ZMB|1ASPD	179VULN|249ZMB|3BEXP|5LWND|69DMG|8RCR|9BPWR|aASPD
64	24562 32233	   	185.43	ACR|4VULN|2DMG|1ZMB|1ASPD	168aVULN|2ZMB|3MBVNT|4RCR|58BEXP|78DMG|8BPWR|9ASPD
65	24564 32233	   	185.23	ACR|4VULN|2DMG|1ZMB|1ASPD	168aVULN|2ZMB|3MBVNT|4RCR|58DUST|78DMG|8BPWR|9ASPD
66	24423 31142	   	185.20	ACR|4VULN|1AART|1DMG|1ZMB	159aVULN|2ZMB|37RMIN|4RCR|6DMG|8AART
67	24423 32142	   	185.20	ACR|4VULN|1AART|1DMG|1ZMB	159aVULN|2ZMB|3RMIN|4RCR|6DMG|7DMSP|8AART
68	31323 34136	   	185.13	ACR|3DMG|2VULN|1AART|1DUR	1DUR|2ERES|356DMG|4RCR|7AART|8LIT|9aVULN
69	21322 22645	   	185.13	ACR|3VULN|2DMG|1AART|1DUR	19aVULN|2ERES|36DMG|4RCR|5RMIN|7AART|8DUR
70	21321 65142	   	185.10	ACR|4VULN|1AART|1DMG|1ZMB	169aVULN|2ERES|3DMG|4RCR|5DMSP|7ZMB|8AART
71	22334 62152	   	184.82	DCR|3VULN|2DMG|1AART|1CDMG	147VULN|2DMSP|34DMG|4BPWR|58ERES|6CDMG|9RCR|aAART
72	22331 26451	   	184.67	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	148VULN|2DMSP|34DMG|4BPWR|5SELL|6CDMG|7VENICY|9RCR|aAART
73	21326 66313	   	184.63	ACR|3VULN|2DMG|1AART|1DUR	19aVULN|2ERES|39DMG|4RCR|5DUR|6AIRHEL|79FEWX|8AART|9BPWR
74	21323 33618	   	184.43	ACR|3DMG|2VULN|1AART|1ASPD	1aVULN|2ERES|356DMG|4RCR|7ASPD|8AART|9MBVNT
75	21325 25142	   	184.43	ACR|3VULN|2DMG|1AART|1ASPD	19aVULN|27ERES|36DMG|4RCR|5ASPD|8AART
76	22621 21122	   	184.42	DCR|3DMG|2VULN|1AART|2ASPD	19VULN|2DMSP|39LIT|456DMG|7AART|89ASPD|9BPWR|aRCR
77	21323 65114	   	184.38	ACR|2VULN|2DMG|2AART|1ZMB	16VULN|2ERES|35DMG|4RCR|7ZMB|8aAART|9LWND
78	21323 31461	   	183.93	ACR|3DMG|2VULN|1AART|1ASPD	17VULN|27ERES|356DMG|4RCR|7BPWR|8BEXP|9AART|aASPD
79	21323 31465	   	183.93	ACR|3DMG|2VULN|1AART|1DUR	17VULN|27ERES|356DMG|4RCR|7BPWR|8BEXP|9AART|aDUR
80	21323 31532	   	183.93	ACR|3DMG|2VULN|1AART|1DUR	17VULN|27ERES|356DMG|4RCR|7BPWR|8LIT|9AART|aDUR
81	21323 62361	   	183.93	ACR|3DMG|2VULN|1AART|1ASPD	16VULN|2ERES|358DMG|4RCR|7BEXP|9AART|aASPD
82	21323 62365	   	183.93	ACR|3DMG|2VULN|1AART|1DUR	16VULN|2ERES|358DMG|4RCR|7BEXP|9AART|aDUR
83	31323 62363	   	183.93	ACR|3DMG|2VULN|1AART|1DUR	1DUR|2ERES|358DMG|4RCR|67VULN|9AART|aFEWX
84	31323 62366	   	183.93	ACR|3DMG|2VULN|1AART|1DUR	1DUR|2ERES|358DMG|4RCR|67VULN|9AART|aRMIN
85	24631 31112	   	183.88	DCR|3VULN|3ZMB|1AART|1DUR|1ASPD	134VULN|234ZMB|34BPWR|5LIT|6RCR|7ASPD|8DUR|9AART|aBEXP
86	24631 31113	   	183.88	DCR|3VULN|3ZMB|1AART|1DUR|1ASPD	134VULN|234ZMB|34BPWR|5aLIT|6RCR|7ASPD|8DUR|9AART
87	21323 31261	   	183.83	ACR|3DMG|2VULN|1AART|1ASPD	17VULN|27ERES|356DMG|4RCR|7BPWR|8DUST|9AART|aASPD
88	21323 31265	   	183.83	ACR|3DMG|2VULN|1AART|1DUR	17VULN|27ERES|356DMG|4RCR|7BPWR|8DUST|9AART|aDUR
89	31323 63362	   	183.83	ACR|3DMG|2VULN|1AART|1DUR	1DUR|27ERES|358DMG|4RCR|6aVULN|9AART
90	24631 31111	   	183.78	DCR|3VULN|3ZMB|1AART|1DUR|1ASPD	134VULN|234ZMB|34BPWR|5LIT|6RCR|7ASPD|8DUR|9AART|aDUST
91	24631 31115	   	183.78	DCR|3VULN|3ZMB|1AART|1ASPD|1DUR	134VULN|234ZMB|34BPWR|5LIT|6RCR|7ASPD|8DUR|9AART|aERES
92	22334 63363	 * 	183.71	DCR|2VULN|2DMG|2AART|1CDMG	14VULN|2DMSP|34DMG|4BPWR|5ERES|6CDMG|7LWND|8RCR|9aAART
93	34421 22252	 * 	183.57	ACR|3VULN|3ZMB|1AART|3DUR	189DUR|289ZMB|36RMIN|4RCR|5LEGI|789VULN|89BPWR|aAART
94	21323 31362	   	183.33	ACR|3DMG|2VULN|1AART|1DUR	17VULN|27ERES|356DMG|4RCR|7BPWR|8LHND|9DUR|aAART
95	21323 61362	   	183.33	ACR|3DMG|2VULN|1AART|1DUR	16VULN|2ERES|358DMG|4RCR|7LWND|9DUR|aAART
96	31323 62352	   	183.33	ACR|3DMG|2VULN|1AART|1DUR	1DUR|2ERES|358DMG|4RCR|67VULN|9LWND|aAART
97	61323 62362	   	183.33	ACR|3DMG|2VULN|1AART|1DUR	1LWND|2ERES|358DMG|4RCR|67VULN|9DUR|aAART
98	24631 35212	   	183.31	DCR|4VULN|3ZMB|1AART	1348VULN|234ZMB|34BPWR|5LIT|6RCR|7AIRHEL|9DUST|aAART
99	24631 31125	   	183.28	DCR|3VULN|3ZMB|1AART|1DUR|1ASPD	134VULN|234ZMB|34BPWR|5LIT|6RCR|7ASPD|8DUR|9CGEN|aAART
100	24631 31316	   	183.28	DCR|3VULN|3ZMB|1AART|1DUR|1ASPD	134VULN|234ZMB|34BPWR|5LIT|6RCR|7ASPD|8LHND|9DUR|aAART
101	24631 32132	   	182.95	DCR|3VULN|3ZMB|1AART|1CDMG	134VULN|234ZMB|34BPWR|5LIT|6RCR|7BELT|8LEGI|9CDMG|aAART
102	21325 23262	   	182.91	ACR|3VULN|3DMG|1DUR|1ASPD	19aVULN|2ERES|369DMG|4RCR|5ASPD|7DUR|89BEXP|9BPWR
103	21325 23362	   	182.91	ACR|3VULN|3DMG|1DUR|1ASPD	19aVULN|2ERES|369DMG|4RCR|5ASPD|7DUR|89FEWX|9BPWR
104	21323 31133	 * 	182.84	ACR|4VULN|3DMG	179aVULN|278ERES|356DMG|4RCR|7BPWR
105	23325 21662	   	182.75	DCR|3VULN|2DMG|2ZMB|2DUR	179VULN|27BEXP|39DUR|4MLV|57DMG|6RCR|79BPWR|89ZMB|aDMSP
106	24562 12234	   	182.73	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	18VULN|26ZMB|3MBVNT|4RCR|58BEXP|78DMG|8BPWR|9ASPD|aAART
107	24564 12234	   	182.53	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	18VULN|26ZMB|3MBVNT|4RCR|58DUST|78DMG|8BPWR|9ASPD|aAART
108	21316 21662	   	182.45	DCR|3VULN|2DMG|2ZMB|2DUR	179VULN|27ERES|39DMG|4DUST|57DUR|6RCR|79BPWR|89ZMB|aDMSP
109	22331 26256	 * 	181.98	DCR|4VULN|2DMG|2CDMG|1SELL	148aVULN|2DMSP|34DMG|48BPWR|5SELL|68CDMG|78VENICY|9RCR
110	31323 62163	   	181.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2ERES|35DMG|4RCR|67VULN|8CDMG|9AART|aDMSP
111	31323 62164	   	181.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2ERES|35DMG|4RCR|67VULN|8CDMG|9AART|aBEXP
112	31323 62165	   	181.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2ERES|35DMG|4RCR|67VULN|8CDMG|9AART|aFEWX
113	31323 62166	   	181.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2ERES|35DMG|4RCR|67VULN|8CDMG|9AART|aCGEN
114	31323 62161	   	181.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2aERES|35DMG|4RCR|67VULN|8CDMG|9AART
115	13281 43527	 * 	181.54	ACR|2VULN|2DMG|1AART|3DUR|1SELL	1SELL|2AART|3MBVNT|4RCR|56aDUR|7BELT|8aDMG|9aVULN|aBPWR
116	31323 62141	   	181.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2ERES|35DMG|4RCR|67VULN|8CDMG|9CGEN|aAART
117	21323 65132	   	181.18	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	16VULN|2ERES|35DMG|4RCR|7ZMB|8AART|9ASPD|aRCVC
118	24113 22254	   	181.17	DCR|3VULN|3DMG|2ZMB	179VULN|29ZMB|3BEXP|4FEWX|5DMSP|69aDMG|8RCR|9BPWR
119	24123 22254	   	181.17	DCR|3VULN|3DMG|2ZMB	179VULN|29ZMB|3BEXP|4DMSP|5LWND|69aDMG|8RCR|9BPWR
120	21356 23163	   	181.15	DCR|3VULN|2DMG|2ASPD|2DUR	19aVULN|2ERES|39DMG|4FEWX|58DUR|6RCR|79ASPD|9BPWR
121	21316 23163	   	181.05	DCR|3VULN|2DMG|2ASPD|2DUR	19aVULN|2ERES|39DMG|4DUST|58DUR|6RCR|79ASPD|9BPWR
122	21322 22144	   	180.92	ACR|2VULN|2DMG|2AART|1ASPD	19VULN|2ERES|36DMG|4RCR|5RMIN|78AART|aASPD
123	21323 52144	   	180.92	ACR|2VULN|2DMG|2AART|1ASPD	19VULN|2ERES|35DMG|4RCR|6RMIN|78AART|aASPD
124	31322 24145	   	180.92	ACR|2VULN|2DMG|2AART|1DUR	1DUR|2ERES|36DMG|4RCR|5RMIN|78AART|9aVULN
125	31323 14145	   	180.92	ACR|2VULN|2DMG|2AART|1DUR	1DUR|2ERES|35DMG|4RCR|6CGEN|78AART|9aVULN
126	33352 22252	 * 	180.82	DCR|4VULN|2DMG|3DUR	139DUR|2BEXP|479aVULN|5RMIN|69DMG|8RCR|9BPWR
127	33353 52252	   	180.82	DCR|4VULN|2DMG|3DUR	139DUR|2BEXP|479aVULN|59DMG|6RMIN|8RCR|9BPWR
128	33355 31252	   	180.82	DCR|4VULN|2DMG|3DUR	139DUR|2BEXP|459aVULN|69DMG|7RMIN|8RCR|9BPWR
129	36352 22252	   	180.82	DCR|4VULN|2DMG|3DUR	139DUR|2FEWX|479aVULN|5RMIN|69DMG|8RCR|9BPWR
130	24562 34334	   	180.47	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	16VULN|2ZMB|3MBVNT|4RCR|5BEXP|7AART|8aDMG|9ASPD
131	34421 22253	 * 	180.43	ACR|3VULN|3ZMB|1DMG|3DUR	189DUR|289ZMB|36RMIN|4RCR|5LEGI|789VULN|89BPWR|aDMG
132	13238 57322	   	180.42	DCR|3DMG|2VULN|1AART|1SELL	1SELL|2AART|3MBVNT|469DMG|5DLOT|6BPWR|7RCR|8aVULN
133	24631 33225	   	180.37	DCR|4VULN|3ZMB|1DMG	1349VULN|234ZMB|34BPWR|5LIT|6RCR|7CGEN|8MLV|aDMG
134	24631 32511	 * 	180.17	DCR|5VULN|3ZMB|1DUR	1348aVULN|234ZMB|348BPWR|58LIT|6RCR|7BELT|9DUR
135	24631 31153	   	180.14	DCR|3VULN|3ZMB|1DMG|1DUR|1ASPD	134VULN|234ZMB|34BPWR|5LIT|6RCR|7ASPD|8DUR|9FEWX|aDMG
136	24631 31163	   	180.14	DCR|3VULN|3ZMB|1DMG|1DUR|1ASPD	134VULN|234ZMB|34BPWR|5LIT|6RCR|7ASPD|8DUR|9LHND|aDMG
137	24631 31313	   	180.14	DCR|3VULN|3ZMB|1DMG|1DUR|1ASPD	134VULN|234ZMB|34BPWR|5LIT|6RCR|7ASPD|8LHND|9DUR|aDMG
138	21325 22111	 * 	180.09	ACR|3DMG|2VULN|2CDMG|1ASPD	1aVULN|29ERES|36aDMG|4RCR|5ASPD|7TLV|8aCDMG|aBPWR
139	21323 32653	   	180.04	ACR|3DMG|2VULN|1CDMG|1ZMB	1aVULN|2ERES|356DMG|4RCR|7RCVC|8ZMB|9CDMG
140	21321 34561	   	180.04	ACR|3DMG|2VULN|2CDMG|1ASPD|1SELL	19VULN|2ERES|369DMG|4RCR|5DMSP|7SELL|89CDMG|9BPWR|aASPD
141	24562 32223	   	179.94	ACR|3VULN|3DMG|1ZMB	168VULN|2ZMB|3MBVNT|4RCR|58BEXP|78aDMG|8BPWR|9TLV
142	24562 32243	   	179.94	ACR|3VULN|3DMG|1ZMB	168VULN|2ZMB|3MBVNT|4RCR|58BEXP|78aDMG|8BPWR|9NUKE
143	24423 36133	   	179.89	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	15VULN|27ZMB|3RMIN|4RCR|6DMG|8AART|9ASPD|aCDMG
144	21321 35144	   	179.87	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	19VULN|2ERES|36DMG|4RCR|5DMSP|7ZMB|8AART|aASPD
145	21323 65115	   	179.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	16VULN|2ERES|35DMG|4RCR|7ZMB|8AART|9LWND|aDUR
146	21323 65136	   	179.87	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	16VULN|2ERES|35DMG|4RCR|7ZMB|8AART|9ASPD|aBEXP
147	31321 35145	   	179.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2ERES|36DMG|4RCR|5DMSP|7ZMB|8AART|9aVULN
148	21323 31344	   	179.84	ACR|3VULN|3DMG|1ZMB	179VULN|27ERES|356DMG|4RCR|7BPWR|8LHND|aZMB
149	21323 31444	   	179.84	ACR|3VULN|3DMG|1ZMB	179VULN|27ERES|356DMG|4RCR|7BPWR|8BEXP|aZMB
150	21323 61344	   	179.84	ACR|3VULN|3DMG|1ZMB	169VULN|2ERES|358DMG|4RCR|7LWND|aZMB
151	21323 62344	   	179.84	ACR|3VULN|3DMG|1ZMB	169VULN|2ERES|358DMG|4RCR|7BEXP|aZMB
152	21323 65431	   	179.84	ACR|3VULN|3DMG|1ZMB	169VULN|2ERES|35aDMG|4RCR|7ZMB|8DMSP
153	21323 65124	   	179.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	16VULN|2ERES|35DMG|4RCR|7ZMB|8AART|9TLV|aASPD
154	21323 65131	   	179.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	16VULN|2ERES|35DMG|4RCR|7ZMB|8AART|9ASPD|aLEGI
155	21323 65135	   	179.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	16VULN|2aERES|35DMG|4RCR|7ZMB|8AART|9ASPD
156	22336 62213	   	179.77	DCR|3VULN|3DMG|1CDMG	14aVULN|2DMSP|347DMG|4BPWR|5RMIN|6CDMG|8RCR|9NUKE
157	22336 62223	   	179.77	DCR|3VULN|3DMG|1CDMG	14aVULN|2DMSP|347DMG|4BPWR|5RMIN|6CDMG|8RCR|9ERES
158	22336 62263	   	179.77	DCR|3VULN|3DMG|1CDMG	14aVULN|2DMSP|347DMG|4BPWR|5RMIN|6CDMG|8RCR|9TLV
159	24223 22163	   	179.75	ACR|2DMG|2AART|1VULN|1CDMG|1ZMB	1VULN|2ZMB|3ERES|4RCR|56DMG|7TLV|8CDMG|9aAART
160	24225 32163	   	179.75	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	15VULN|2ZMB|3ERES|4RCR|6DMG|7TLV|8CDMG|9aAART
161	21323 31244	   	179.74	ACR|3VULN|3DMG|1ZMB	179VULN|27ERES|356DMG|4RCR|7BPWR|8DUST|aZMB
162	24564 32223	   	179.74	ACR|3VULN|3DMG|1ZMB	168VULN|2ZMB|3MBVNT|4RCR|58DUST|78aDMG|8BPWR|9TLV
163	24564 32243	   	179.74	ACR|3VULN|3DMG|1ZMB	168VULN|2ZMB|3MBVNT|4RCR|58DUST|78aDMG|8BPWR|9NUKE
164	24631 31312	   	179.67	DCR|4VULN|3ZMB|2DUR|1ASPD	134aVULN|234ZMB|34aBPWR|5aLIT|6RCR|7ASPD|8LHND|9aDUR
165	24113 22255	   	179.62	DCR|4VULN|2DMG|2ZMB	179aVULN|29ZMB|3BEXP|4FEWX|5DMSP|69DMG|8RCR|9BPWR
166	24123 22255	   	179.62	DCR|4VULN|2DMG|2ZMB	179aVULN|29ZMB|3BEXP|4DMSP|5LWND|69DMG|8RCR|9BPWR
167	22311 26253	   	179.40	DCR|3DMG|2VULN|2ZMB|1DUR|1ASPD	19VULN|2DMSP|369DMG|4DUR|5BEXP|79ZMB|8RCR|9BPWR|aASPD
168	21316 22663	   	179.26	DCR|3DMG|2VULN|2ZMB|1DUR	19VULN|2ERES|39aDMG|4DUST|5DUR|6RCR|7RCVC|89ZMB|9BPWR
169	21323 32462	   	179.19	ACR|3DMG|2VULN|1AART	1aVULN|2ERES|356DMG|4RCR|7RCVC|8BEXP|9AART
170	21323 33654	   	179.17	ACR|3DMG|1AART|1VULN|2DUR|1ASPD	1VULN|2ERES|356DMG|4RCR|7ASPD|8AART|9aDUR
171	21326 53163	   	179.17	ACR|3VULN|2DMG|2ASPD|2DUR	19aVULN|2ERES|39DMG|4RCR|58DUR|6BEXP|79ASPD|9BPWR
172	21323 32262	   	179.09	ACR|3DMG|2VULN|1AART	1aVULN|2ERES|356DMG|4RCR|7RCVC|8DUST|9AART
