0	Index      	 *	Score 	Summary	Detail	
1	21222 62436	 * 	180.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1RPLT|2ZMB|3CDMG|4AART|5DUST|6RCR|78VULN|9ASPD|aDMG
74	32531 35611	 * 	165.62	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1LWND|2DMG|34DUR|5DUST|6RCR|7VULN|8AART|9CDMG|aZMB
75	14433 13114	   	165.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2DUR|356VULN|4LIT|7RCVC|8ZMB|9RCR|aAART
76	13435 11611	   	165.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2LHND|3VULN|4LIT|5aDMG|6AART|7MLV|8ZMB|9RCR
77	11316 11443	 * 	164.94	ACR|3VULN|3CDMG|1AART	18aCDMG|2RPLT|3LSRREG|48LWND|5RCR|6AART|789VULN|8BPWR
78	31253 32533	   	164.89	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1LWND|2DUR|3BEXP|4aVULN|5ZMB|6RCR|7CDMG|8AART|9ASPD
79	11346 11423	   	164.84	ACR|3VULN|3CDMG|1AART	18aCDMG|2RPLT|38LSRREG|478VULN|5RCR|6AART|8BPWR|9FEWX
80	32353 14336	 * 	164.62	DCR|3DMG|1VULN|1CDMG|2ASPD|1DUR	1LWND|268DMG|3LSRREG|4CDMG|56ASPD|6BPWR|7DUR|9RCR|aVULN
81	32353 12633	 * 	164.53	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1LWND|26DMG|3LSRREG|4CDMG|56ASPD|6BPWR|7AART|8VULN|9MBVNT|aRCR
82	11343 11535	   	164.48	DCR|3VULN|1AART|2CDMG|1ZMB	18CDMG|2RPLT|38LSRREG|478VULN|5MBVNT|6AART|8BPWR|9ZMB|aRCR
83	21236 62253	   	164.16	DCR|2VULN|2AART|1CDMG|1ZMB	1RPLT|2ZMB|3CDMG|4LEGI|58AART|6RCR|79VULN|aLIT
84	21236 62251	   	164.06	DCR|2AART|2VULN|1CDMG|1ZMB	1RPLT|2ZMB|3CDMG|4LEGI|58AART|6RCR|79VULN|aDUST
85	25335 23131	   	164.01	DCR|2VULN|2DMG|1AART	1RPLT|23VULN|4LIT|5aDMG|6RCR|7RCVC|8AART|9BEXP
86	25335 23151	   	164.01	DCR|2VULN|2DMG|1AART	1RPLT|23VULN|4LIT|5aDMG|6RCR|7RCVC|8AART|9LWND
87	31256 43142	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2DUR|3BEXP|4VULN|5AART|6CDMG|7MBVNT|8RCR|9aDMG
88	11346 13323	 * 	163.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2RPLT|3LSRREG|4VULN|5RCR|6AART|7RMIN|8aDMG|9DUR
89	32211 24423	   	163.62	DCR|3VULN|1AART|1DMG|1DUR	16LWND|2DMG|3RMIN|4DUR|57aVULN|8RCR|9AART
90	32211 34423	   	163.62	DCR|3VULN|1AART|1DMG|1DUR	1LWND|2DMG|36RMIN|4DUR|57aVULN|8RCR|9AART
91	32223 14423	   	163.62	DCR|3VULN|1AART|1DMG|1DUR	1LWND|2DMG|3RMIN|4RCVC|57aVULN|6DUR|8RCR|9AART
92	62324 35312	   	163.57	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|24DMG|3LSRREG|5AART|6CGEN|7RCR|8ZMB|9DUR|aVULN
93	62334 25312	   	163.57	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|26DMG|3LSRREG|4CGEN|5AART|7RCR|8ZMB|9DUR|aVULN
94	13435 13311	   	163.41	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|2LHND|3VULN|4LIT|5aDMG|6AART|7ASPD|8RCR|9CGEN
95	13435 13321	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|2LHND|3VULN|4LIT|5aDMG|6AART|7ASPD|8RCR|9ERES
96	25335 23251	   	163.31	DCR|2VULN|2DMG|1AART	1RPLT|23VULN|4LIT|58DMG|6RCR|7RCVC|9AART|aERES
97	25335 23252	   	163.31	DCR|2VULN|2DMG|1AART	1RPLT|23VULN|4LIT|58DMG|6RCR|7RCVC|9AART|aDUST
98	25335 23253	   	163.31	DCR|2VULN|2DMG|1AART	1RPLT|23VULN|4LIT|58DMG|6RCR|7RCVC|9AART|aCANSTR
99	11316 12122	 * 	163.21	ACR|2VULN|1AART|1DMG|2CDMG	19CDMG|2RPLT|39LSRREG|4LWND|5RCR|6AART|7LHND|89VULN|9BPWR|aDMG
100	14453 12333	 * 	163.15	DCR|2VULN|2DMG|3CDMG|1DUR	169CDMG|2DUR|39VULN|4LWND|5MGNSTR|7DMSP|89DMG|9BPWR|aRCR
101	11316 16122	   	163.11	ACR|2VULN|1AART|1DMG|2CDMG	19CDMG|2RPLT|39LSRREG|4LWND|5RCR|6AART|7DUST|89VULN|9BPWR|aDMG
102	22446 12311	   	162.92	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|2LIT|3ERES|457VULN|6AART|8DUR|9RCR|aDMG
103	21222 62236	   	162.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1RPLT|2ZMB|3CDMG|4AART|5DUST|6RCR|7VULN|8DMSP|9ASPD|aDMG
104	11236 62236	   	162.57	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1CDMG|2RPLT|3RMIN|4LEGI|58AART|6RCR|7VULN|9ASPD|aDMG
105	11222 62416	   	162.28	DCR|2VULN|1AART|1DMG|1CDMG	1CDMG|2RPLT|3RMIN|4AART|5DUST|6RCR|78VULN|9ERES|aDMG
106	52533 52133	   	162.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2DMG|3DUR|4AART|5LWND|6CGEN|7aVULN|8CDMG|9RCR
107	25335 23231	   	162.20	DCR|3VULN|2DMG|1DUR	1RPLT|239VULN|4LIT|58DMG|6RCR|7RCVC|aDUR
108	25333 33553	 * 	162.18	DCR|3VULN|1DMG|2CDMG|1DUR	1RPLT|235VULN|4LIT|6DUR|7RCR|8aCDMG|9DMG
109	25331 42325	   	162.12	DCR|4VULN|2DMG|1SELL	1RPLT|237aVULN|45aLIT|6aDMG|8SELL|9RCR|aBPWR
110	25335 12325	   	162.12	DCR|4VULN|2DMG|1SELL	1RPLT|237aVULN|4aLIT|5aDMG|6DMSP|8SELL|9RCR|aBPWR
111	62533 52133	   	162.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DMG|3DUR|4AART|5LWND|6CGEN|7aVULN|8CDMG|9RCR
112	21222 62156	   	162.10	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1RPLT|2ZMB|38CDMG|4AART|5DUST|6RCR|7VULN|9CGEN|aDMG
113	61112 13125	 * 	162.01	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	1DUST|28DUR|3ERES|4VULN|58DMG|6CGEN|78ASPD|8BPWR|9AART|aRCR
114	61312 63125	   	162.01	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	1DUST|28DUR|3CGEN|4VULN|58ASPD|6ERES|78DMG|8BPWR|9AART|aRCR
115	21222 62116	   	162.00	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1RPLT|2ZMB|38CDMG|4AART|5DUST|6RCR|7VULN|9ERES|aDMG
116	21222 62316	   	162.00	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1RPLT|2ZMB|39CDMG|4AART|5DUST|6RCR|7VULN|8NUKE|aDMG
117	25333 32111	   	161.82	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|235VULN|4LIT|6DUR|7CGEN|8AART|9RCR|aDMG
118	25362 52111	   	161.82	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|236VULN|4DUR|5MLV|7LIT|8AART|9RCR|aDMG
119	25333 36111	   	161.72	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|235VULN|4LIT|6DUR|7TLV|8AART|9RCR|aDMG
120	25335 41121	   	161.71	DCR|3VULN|2DMG|1CDMG	1RPLT|238VULN|4LIT|57DMG|6CDMG|9RCR|aLHND
121	25335 41122	   	161.71	DCR|3VULN|2DMG|1CDMG	1RPLT|238VULN|4LIT|57DMG|6CDMG|9RCR|aLWND
122	36312 33355	   	161.68	DCR|3VULN|1AART|1DMG	18LWND|2LIT|38MLV|489VULN|5AART|6BELT|7RCR|8BPWR|aDMG
123	23415 32236	   	161.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RPLT|2LWND|3LHND|47VULN|5RCR|6DMG|8ASPD|9CDMG|aAART
124	25333 16533	   	161.37	DCR|4VULN|1AART|1CDMG	1RPLT|2356VULN|4LIT|7CDMG|8FEWX|9RCR|aAART
125	11354 13142	   	161.28	DCR|3VULN|1AART|2CDMG	14CDMG|2RPLT|3LSRREG|5AART|6LWND|7RCR|89aVULN
126	25333 16133	   	161.27	DCR|4VULN|1AART|1CDMG	1RPLT|2356VULN|4LIT|7CDMG|8DUST|9RCR|aAART
127	62343 33742	   	161.18	DCR|3VULN|1AART|1DMG	1DUST|2DMG|3LSRREG|48aVULN|5BEXP|6RCR|7MBVNT|9AART
128	13435 13411	   	160.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|2LHND|3VULN|4LIT|5aDMG|6AART|7ASPD|8ERES|9RCR
129	32522 33256	   	160.80	DCR|2DMG|1AART|1VULN|1DUR|1ASPD	1LWND|25DMG|3DUR|4LHND|6RCR|7AART|8ERES|9VULN|aASPD
130	14122 53311	   	160.77	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2DUR|3RMIN|4ASPD|5VULN|6ZMB|7AART|8LIT|9RCR|aDMG
131	11531 62253	   	160.70	DCR|2AART|2VULN|1CDMG|1DUR	1CDMG|2RPLT|3DUR|4aAART|5ERES|6RCR|79VULN|8DMSP
132	14623 33533	   	160.69	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2DUR|3DMSP|4ZMB|5aVULN|6FEWX|7AART|8RCR|9ASPD
133	11342 13441	   	160.68	DCR|3VULN|1AART|2CDMG	18CDMG|2RPLT|3LSRREG|489VULN|58DUST|6AART|7RCR|8BPWR|aLIT
134	11345 13242	   	160.68	DCR|3VULN|1AART|2CDMG	18CDMG|2RPLT|3LSRREG|49aVULN|5BEXP|6AART|7RCR
135	11531 62413	   	160.60	DCR|2AART|2VULN|1CDMG|1DUR	1CDMG|2RPLT|3DUR|4aAART|59ERES|6RCR|78VULN
136	11342 13242	   	160.58	DCR|3VULN|1AART|2CDMG	18CDMG|2RPLT|3LSRREG|49aVULN|5DUST|6AART|7RCR
137	21236 62235	   	160.45	DCR|2AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1RPLT|2ZMB|3CDMG|4LEGI|58AART|6RCR|7VULN|9ASPD|aDUR
138	11342 13434	   	160.43	DCR|3VULN|1AART|2CDMG|1SELL	18CDMG|2RPLT|3LSRREG|48aVULN|58DUST|6AART|7RCR|8BPWR|9SELL
139	31253 32522	   	160.43	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1LWND|2DUR|3BEXP|4VULN|5ZMB|6RCR|7CDMG|8AART|9LHND|aDMG
140	32224 33135	   	160.33	ACR|2VULN|2DMG|1AART	19aLWND|2aDMG|3RMIN|4RCVC|5RCR|6DLOT|7AART|8aVULN|aBPWR
141	32621 35611	   	160.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	13LWND|2DMG|4DUR|5DUST|6RCR|7VULN|8AART|9CDMG|aZMB
142	33621 35611	   	160.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	12LWND|3DMG|4DUR|5DUST|6RCR|7VULN|8AART|9CDMG|aZMB
143	12162 16314	   	160.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DUST|3RMIN|4AART|5ASPD|6CGEN|7RCR|8DMG|9VULN|aZMB
144	21222 62431	   	160.25	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1RPLT|2ZMB|3CDMG|4AART|5DUST|6RCR|78VULN|9ASPD|aLWND
145	21222 62433	   	160.25	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1RPLT|2ZMB|3CDMG|4AART|5DUST|6RCR|78VULN|9ASPD|aLHND
146	21222 62434	   	160.25	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1RPLT|2ZMB|3CDMG|4AART|5DUST|6RCR|78VULN|9ASPD|aMLV
147	21222 62462	   	160.25	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2ZMB|3CDMG|4AART|5DUST|6RCR|78VULN|9DUR|aLHND
148	12162 26314	   	160.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DUST|3RMIN|4AART|5ASPD|6ERES|7RCR|8DMG|9VULN|aZMB
149	11342 16431	 * 	160.19	DCR|2VULN|1AART|1DMG|2CDMG	18CDMG|2RPLT|3LSRREG|48VULN|578DUST|6AART|8BPWR|9RCR|aDMG
150	14123 14111	   	160.17	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2DUR|3RMIN|4ASPD|5LIT|6VULN|7ZMB|8AART|9RCR|aDMG
151	14155 21111	   	160.17	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2DUR|3RMIN|4LIT|5VULN|6ZMB|7ASPD|8AART|9RCR|aDMG
152	14323 14111	   	160.17	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2DUR|3CGEN|4ASPD|5LIT|6VULN|7ZMB|8AART|9RCR|aDMG
153	14435 21112	   	160.17	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2DUR|3VULN|4LIT|5DMG|6ZMB|7ASPD|8AART|9RCR|aBELT
154	14435 21113	   	160.17	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2DUR|3VULN|4LIT|5DMG|6ZMB|7ASPD|8AART|9RCR|aCGEN
155	21222 62415	   	160.15	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2ZMB|3CDMG|4AART|5DUST|6RCR|78VULN|9ERES|aDUR
156	21222 62432	   	160.15	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1RPLT|2ZMB|3CDMG|4AART|5aDUST|6RCR|78VULN|9ASPD
157	21222 62443	   	160.15	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2ZMB|3CDMG|4AART|59DUST|6RCR|78VULN|aDUR
158	21222 62463	   	160.01	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1SELL	1RPLT|2ZMB|3CDMG|4AART|5DUST|6RCR|78VULN|9DUR|aSELL
159	22416 15131	   	160.00	ACR|3VULN|1AART|1DMG	1RPLT|2LIT|3ERES|4RCR|567VULN|8AART|9BEXP|aDMG
160	11362 23133	   	159.98	DCR|2DMG|1AART|1VULN|1CDMG	1CDMG|2RPLT|3LSRREG|4AART|5CGEN|6aDMG|7RCR|8VULN|9FEWX
161	11362 23141	   	159.98	DCR|2VULN|1AART|1DMG|1CDMG	1CDMG|2RPLT|3LSRREG|4AART|5CGEN|6DMG|7RCR|89VULN|aLIT
