0	Index      	 *	Score 	Summary	Detail	
1	13446 13234	 * 	210.14	ACR|4VULN|3DMG|3ASPD|1DUR	189ASPD|2LHND|3689VULN|4RCR|5MBVNT|789DMG|89BPWR|aDUR
34	42125 34233	   	191.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CGEN|3RCR|4CDMG|5LWND|69aVULN|7DMG|8ZMB
35	42136 53312	   	191.35	ACR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|28CGEN|3RCR|48BASHEA|5DMG|6ZMB|789VULN|8BPWR|aFLTHEA
36	35423 16221	   	191.02	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5MLV|6CGEN|7RCR|8AART|9CDMG|aRMIN
37	35423 16223	   	191.02	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5MLV|6CGEN|7RCR|8AART|9CDMG|aBEXP
38	35422 16221	   	190.92	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5ERES|6CGEN|7RCR|8AART|9CDMG|aRMIN
39	35422 16223	   	190.92	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5ERES|6CGEN|7RCR|8AART|9CDMG|aBEXP
40	22426 32221	   	190.86	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	17CGEN|2DUR|367VULN|4RMIN|57DMG|7BPWR|8AART|9CDMG|aRCR
41	35212 32221	   	190.86	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	167VULN|27DMG|3CGEN|4DUR|57MLV|7BPWR|8AART|9CDMG|aRCR
42	35423 16222	   	190.77	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	134VULN|24DMG|4BPWR|5MLV|6CGEN|7RCR|8AART|9CDMG|aSELL
43	35353 43113	   	190.77	DCR|4VULN|2DMG|1AART	1467VULN|2aDMG|3FEWX|5AART|8RCR|9LWND
44	35424 33221	   	190.76	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	134VULN|24DMG|4BPWR|5DUR|6MLV|7CGEN|8AART|9CDMG|aRCR
45	35423 33231	   	190.75	DCR|5VULN|3DMG	13468VULN|247DMG|4BPWR|5MLV|9RCR|aFEWX
46	35423 33232	   	190.75	DCR|5VULN|3DMG	13468VULN|247DMG|4BPWR|5MLV|9RCR|aLWND
47	35423 33233	   	190.75	DCR|5VULN|3DMG	13468VULN|247DMG|4BPWR|5MLV|9RCR|aBEXP
48	35425 33231	   	190.75	DCR|5VULN|3DMG	13468VULN|247DMG|4BPWR|5CGEN|9RCR|aFEWX
49	35425 33232	   	190.75	DCR|5VULN|3DMG	13468VULN|247DMG|4BPWR|5CGEN|9RCR|aLWND
50	35425 33233	   	190.75	DCR|5VULN|3DMG	13468VULN|247DMG|4BPWR|5CGEN|9RCR|aBEXP
51	35422 16222	   	190.67	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	134VULN|24DMG|4BPWR|5ERES|6CGEN|7RCR|8AART|9CDMG|aSELL
52	35422 33231	   	190.65	DCR|5VULN|3DMG	13468VULN|247DMG|4BPWR|5ERES|9RCR|aFEWX
53	35422 33232	   	190.65	DCR|5VULN|3DMG	13468VULN|247DMG|4BPWR|5ERES|9RCR|aLWND
54	35422 33233	   	190.65	DCR|5VULN|3DMG	13468VULN|247DMG|4BPWR|5ERES|9RCR|aBEXP
55	35423 33236	   	190.65	DCR|5VULN|3DMG	13468VULN|247DMG|4BPWR|5MLV|9RCR|aDUST
56	35422 33236	   	190.55	DCR|5VULN|3DMG	13468VULN|247DMG|4BPWR|5ERES|9RCR|aDUST
57	35423 33324	   	190.15	DCR|4VULN|3DMG|2DUR	1346VULN|247DMG|4BPWR|5MLV|8aDUR|9RCR
58	35422 33324	   	190.05	DCR|4VULN|3DMG|2DUR	1346VULN|247DMG|4BPWR|5ERES|8aDUR|9RCR
59	35422 42121	   	189.72	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5ERES|6AART|7MLV|8RCR|9CDMG|aRMIN
60	35422 42123	   	189.72	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5ERES|6AART|7MLV|8RCR|9CDMG|aBEXP
61	35423 43121	   	189.72	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5MLV|6AART|7ERES|8RCR|9CDMG|aRMIN
62	35423 43123	   	189.72	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5MLV|6AART|7ERES|8RCR|9CDMG|aBEXP
63	35422 42122	   	189.47	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	134VULN|24DMG|4BPWR|5ERES|6AART|7MLV|8RCR|9CDMG|aSELL
64	35423 43122	   	189.47	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	134VULN|24DMG|4BPWR|5MLV|6AART|7ERES|8RCR|9CDMG|aSELL
65	42124 32121	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2CGEN|3RCR|4CDMG|56VULN|7LHND|89DMG|aASPD
66	42124 32124	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2CGEN|3RCR|4CDMG|56VULN|7LHND|89DMG|aDUR
67	15341 13231	   	189.20	ACR|3VULN|3DMG|3ASPD	189ASPD|289VULN|3FEWX|4RCR|5aRCVC|6LHND|789DMG|89BPWR
68	15341 13233	   	189.20	ACR|3VULN|3DMG|3ASPD	189ASPD|289VULN|3FEWX|4RCR|5RCVC|6aLHND|789DMG|89BPWR
69	15341 13235	   	189.20	ACR|3VULN|3DMG|3ASPD	189ASPD|289VULN|3aFEWX|4RCR|5RCVC|6LHND|789DMG|89BPWR
70	42136 12312	   	189.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2CGEN|3RCR|4BASHEA|57DMG|6CDMG|8aVULN|9DUR
71	15341 13232	   	189.10	ACR|3VULN|3DMG|3ASPD	189ASPD|289VULN|3FEWX|4RCR|5RCVC|6LHND|789DMG|89BPWR|aTLV
72	32616 32143	   	188.74	DCR|3VULN|2DMG|1AART|2DUR|1ASPD	167VULN|2TLV|3RMIN|47DUR|57DMG|7BPWR|8ASPD|9AART|aRCR
73	42124 32122	 * 	188.60	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2CGEN|3RCR|4aCDMG|56VULN|7LHND|89DMG
74	43424 32233	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2BEXP|3DMG|4CDMG|59aVULN|6CGEN|7RCR|8ZMB
75	45343 32233	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|39aVULN|4BEXP|5DMG|6CGEN|7RCR|8ZMB
76	35343 63123	   	188.09	ACR|3DMG|2VULN|1AART|1ZMB	18VULN|27aDMG|3FEWX|4RCR|5ZMB|6CGEN|9AART
77	35343 43123	   	187.99	ACR|3DMG|2VULN|1AART|1ZMB	18VULN|27aDMG|3FEWX|4RCR|5ZMB|6TLV|9AART
78	35343 53123	   	187.99	ACR|3DMG|2VULN|1AART|1ZMB	18VULN|27aDMG|3FEWX|4RCR|5ZMB|6ERES|9AART
79	35267 32243	   	187.42	DCR|3VULN|2DMG|1AART|2ZMB	167VULN|2aDMG|37CGEN|4MBVNT|57ZMB|7BPWR|8AART|9RCR
80	64511 33232	   	187.39	ACR|3VULN|3DMG|1CDMG	1RCVC|2RCR|3NUKE|489DUST|5LWND|689VULN|789DMG|89BPWR|aCDMG
81	42136 12352	   	187.19	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|2CGEN|3RCR|4BASHEA|579DMG|6CDMG|8VULN|aDUR
82	35423 32152	   	187.15	DCR|4VULN|2DMG|1ZMB|1DUR|1ASPD	1346VULN|24DMG|4BPWR|5MLV|7DUR|8ASPD|9RCR|aZMB
83	15346 13232	   	187.10	ACR|3DMG|2VULN|3ASPD|1CDMG	189ASPD|26VULN|389FEWX|4RCR|5MBVNT|789DMG|89BPWR|aCDMG
84	12445 13232	   	187.10	ACR|3DMG|2VULN|3ASPD|1CDMG	189ASPD|289BEXP|36VULN|4RCR|5DUST|789DMG|89BPWR|aCDMG
85	35423 16344	   	187.07	DCR|3VULN|2DMG|1AART|1ZMB	134VULN|24DMG|4BPWR|5MLV|6CGEN|7RCR|8MBVNT|9ZMB|aAART
86	12433 43133	   	187.06	DCR|4VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2BEXP|3467VULN|5AART|8RCR|9DUR|aDMG
87	15353 43133	   	187.06	DCR|4VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2467VULN|3FEWX|5AART|8RCR|9DUR|aDMG
88	35422 32152	   	187.05	DCR|4VULN|2DMG|1ZMB|1DUR|1ASPD	1346VULN|24DMG|4BPWR|5ERES|7DUR|8ASPD|9RCR|aZMB
89	35422 16344	   	186.97	DCR|3VULN|2DMG|1AART|1ZMB	134VULN|24DMG|4BPWR|5ERES|6CGEN|7RCR|8MBVNT|9ZMB|aAART
90	35353 43121	   	186.83	DCR|4VULN|1AART|1DMG|1CDMG	1467VULN|2DMG|3FEWX|5AART|8RCR|9CDMG|aRMIN
91	35353 43123	   	186.83	DCR|4VULN|1AART|1DMG|1CDMG	1467VULN|2DMG|3FEWX|5AART|8RCR|9CDMG|aBEXP
92	42136 12213	 * 	186.76	ACR|3DMG|1AART|1VULN|2CDMG	1AART|28CGEN|3RCR|4BASHEA|578DMG|68CDMG|8BPWR|9LWND|aVULN
93	42136 12223	   	186.76	ACR|3DMG|1AART|1VULN|2CDMG	1AART|28CGEN|3RCR|4BASHEA|578DMG|68CDMG|8BPWR|9FEWX|aVULN
94	42136 12242	   	186.76	ACR|3DMG|1AART|1VULN|2CDMG	1AART|28CGEN|3RCR|4BASHEA|578DMG|68CDMG|8BPWR|9MGNSTR|aVULN
95	35353 43122	   	186.59	DCR|4VULN|1AART|1DMG|1CDMG|1SELL	1467VULN|2DMG|3FEWX|5AART|8RCR|9CDMG|aSELL
96	12433 43126	 * 	186.54	DCR|5VULN|1AART|1CDMG|1ASPD	1ASPD|2BEXP|3467aVULN|5AART|8RCR|9CDMG
97	61253 25222	   	186.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RCVC|23DMG|3BPWR|4ZMB|5RMIN|6aVULN|7RCR|8AART|9CDMG
98	32616 32231	 * 	186.22	DCR|3VULN|2DMG|1AART|3DUR	167VULN|2TLV|3RMIN|479DUR|57DMG|7BPWR|8AART|aRCR
99	11421 62521	 * 	186.13	DCR|4VULN|1AART|3ASPD|1CDMG	124ASPD|349aVULN|4BPWR|5RCVC|6AART|7CDMG|8RCR
100	35431 62231	   	186.12	DCR|3VULN|2DMG|1AART|3DUR	137VULN|27DMG|4ERES|5TLV|679DUR|7BPWR|8AART|aRCR
101	35423 41333	   	185.47	DCR|4VULN|2DMG|1AART	1349VULN|24DMG|4BPWR|5MLV|6AART|7BEXP|8LWND|aRCR
102	35422 41333	   	185.37	DCR|4VULN|2DMG|1AART	1349VULN|24DMG|4BPWR|5ERES|6AART|7BEXP|8LWND|aRCR
103	35422 43133	   	185.27	DCR|4VULN|2DMG|1AART	1349VULN|24DMG|4BPWR|5ERES|6AART|7LWND|8DUST|aRCR
104	35422 43333	   	185.27	DCR|4VULN|2DMG|1AART	1349VULN|24DMG|4BPWR|5ERES|6AART|7LWND|8LEGI|aRCR
105	64531 13231	   	185.04	ACR|3VULN|3DMG|1ZMB	1RCVC|2RCR|3NUKE|489VULN|5LWND|689LHND|789DMG|89BPWR|aZMB
106	35243 32243	   	185.02	DCR|3VULN|2DMG|1AART|2ZMB	167VULN|27DMG|3CGEN|4LWND|57ZMB|7BPWR|8AART|9ERES|aRCR
107	35423 33321	   	184.86	DCR|4VULN|3DMG|1DUR	1346VULN|247DMG|4BPWR|5MLV|8DUR|9RCR|aLHND
108	35423 33423	   	184.86	DCR|4VULN|3DMG|1ASPD	1346VULN|247DMG|4BPWR|5MLV|8LWND|9RCR|aASPD
109	35422 33321	   	184.76	DCR|4VULN|3DMG|1DUR	1346VULN|247DMG|4BPWR|5ERES|8DUR|9RCR|aLHND
110	35422 33423	   	184.76	DCR|4VULN|3DMG|1ASPD	1346VULN|247DMG|4BPWR|5ERES|8LWND|9RCR|aASPD
111	35423 33323	   	184.76	DCR|4VULN|3DMG|1DUR	1346VULN|247DMG|4BPWR|5MLV|8DUR|9RCR|aLEGI
112	35423 33325	   	184.76	DCR|4VULN|3DMG|1DUR	1346VULN|247DMG|4BPWR|5MLV|8DUR|9RCR|aTLV
113	35343 31631	   	184.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	19aVULN|2DMG|3FEWX|4RCR|5ZMB|6MLV|7CDMG|8AART
114	35422 33323	   	184.66	DCR|4VULN|3DMG|1DUR	1346VULN|247DMG|4BPWR|5ERES|8DUR|9RCR|aLEGI
115	35422 33325	   	184.66	DCR|4VULN|3DMG|1DUR	1346VULN|247DMG|4BPWR|5ERES|8DUR|9RCR|aTLV
116	11423 11874	 * 	184.65	ACR|4VULN|1AART|3ASPD|1CDMG	124ASPD|3468VULN|4BPWR|5RCR|7MBVNT|9AART|aCDMG
117	35623 16233	   	184.31	DCR|3DMG|2VULN|1AART|1DUR	14VULN|24aDMG|3DMSP|4BPWR|5MLV|6CGEN|7RCR|8AART|9DUR
118	61423 16233	   	184.31	DCR|3DMG|2VULN|1AART|1DUR	1RCVC|24aDMG|34VULN|4BPWR|5MLV|6CGEN|7RCR|8AART|9DUR
119	35423 16232	   	184.21	DCR|3VULN|2DMG|1AART|1DUR	134VULN|24DMG|4BPWR|5MLV|6CGEN|7RCR|8AART|9DUR|aDUST
120	35622 16233	   	184.21	DCR|3DMG|2VULN|1AART|1DUR	14VULN|24aDMG|3DMSP|4BPWR|5ERES|6CGEN|7RCR|8AART|9DUR
121	61422 16233	   	184.21	DCR|3DMG|2VULN|1AART|1DUR	1RCVC|24aDMG|34VULN|4BPWR|5ERES|6CGEN|7RCR|8AART|9DUR
122	35422 16232	   	184.11	DCR|3VULN|2DMG|1AART|1DUR	134VULN|24DMG|4BPWR|5ERES|6CGEN|7RCR|8AART|9DUR|aDUST
123	24426 32221	   	183.92	DCR|3VULN|2DMG|1AART|1CDMG	17CGEN|2BEXP|367VULN|4RMIN|57DMG|7BPWR|8AART|9CDMG|aRCR
124	11423 11581	   	183.90	ACR|3VULN|1AART|3ASPD|1DMG|1DUR	124ASPD|346VULN|4BPWR|5RCR|7MBVNT|8DMG|9AART|aDUR
125	11423 11872	 * 	183.83	ACR|5VULN|1AART|3ASPD	124ASPD|3468aVULN|4BPWR|5RCR|7MBVNT|9AART
126	34526 32221	   	183.82	DCR|3VULN|2DMG|1AART|1CDMG	167VULN|2LEGI|37CGEN|4RMIN|57DMG|7BPWR|8AART|9CDMG|aRCR
127	35423 11221	   	183.82	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5MLV|6CGEN|7BEXP|8AART|9CDMG|aRCR
128	36526 32221	   	183.82	DCR|3VULN|2DMG|1AART|1CDMG	167VULN|2DUST|37CGEN|4RMIN|57DMG|7BPWR|8AART|9CDMG|aRCR
129	35422 11221	   	183.72	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5ERES|6CGEN|7BEXP|8AART|9CDMG|aRCR
130	35423 12221	   	183.72	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5MLV|6CGEN|7DUST|8AART|9CDMG|aRCR
131	35425 11221	   	183.72	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5CGEN|6ERES|7BEXP|8AART|9CDMG|aRCR
132	35422 12221	   	183.62	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5ERES|6CGEN|7DUST|8AART|9CDMG|aRCR
133	35425 12221	   	183.62	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|24DMG|4BPWR|5CGEN|6ERES|7DUST|8AART|9CDMG|aRCR
134	35353 43221	 * 	183.61	DCR|5VULN|1AART|1DMG	1467aVULN|2DMG|3FEWX|5AART|8RPLT|9RCR
135	61311 32243	   	183.57	DCR|3DMG|2VULN|1AART|1ZMB	1RCVC|27aDMG|3MBVNT|4ZMB|57VULN|67CGEN|7BPWR|8AART|9RCR
136	22426 32143	   	183.54	DCR|3VULN|2DMG|1AART|1DUR|1ASPD	17CGEN|2DUR|367VULN|4RMIN|57DMG|7BPWR|8ASPD|9AART|aRCR
137	35212 32143	   	183.54	DCR|3VULN|2DMG|1AART|1DUR|1ASPD	167VULN|27DMG|3CGEN|4DUR|57MLV|7BPWR|8ASPD|9AART|aRCR
138	35431 12221	   	183.52	DCR|3VULN|2DMG|1AART|1CDMG	137VULN|27DMG|4ERES|5TLV|67DUST|7BPWR|8AART|9CDMG|aRCR
139	11421 62511	 * 	183.48	DCR|3VULN|2AART|3ASPD|1CDMG	124ASPD|34aVULN|4BPWR|5RCVC|69AART|7CDMG|8RCR
140	61311 42243	   	183.37	DCR|3DMG|2VULN|1AART|1ZMB	1RCVC|27aDMG|3MBVNT|4ZMB|57VULN|67ERES|7BPWR|8AART|9RCR
141	35326 31115	   	183.21	DCR|3DMG|2VULN|1AART|1ASPD	18VULN|258DMG|38FEWX|4RMIN|6RPLT|7RCR|8BPWR|9ASPD|aAART
142	35413 12213	   	183.20	DCR|4VULN|2DMG|2DUR|1ZMB	1389VULN|28DMG|4ZMB|56LIT|78DUR|8BPWR|aRCR
143	35413 22233	   	183.20	DCR|4VULN|2DMG|2DUR|1ZMB	1368VULN|28DMG|4ZMB|5LIT|78DUR|8BPWR|9DMSP|aRCR
144	35413 22243	   	183.20	DCR|4VULN|2DMG|2DUR|1ZMB	1368VULN|28DMG|4ZMB|5LIT|78DUR|8BPWR|9RCVC|aRCR
145	35613 22213	   	183.20	DCR|4VULN|2DMG|2DUR|1ZMB	1689VULN|28DMG|3DMSP|4ZMB|5LIT|78DUR|8BPWR|aRCR
146	61413 22213	   	183.20	DCR|4VULN|2DMG|2DUR|1ZMB	1RCVC|28DMG|3689VULN|4ZMB|5LIT|78DUR|8BPWR|aRCR
147	42121 44223	   	183.19	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR|1MSE	1AART|2CGEN|3RCR|4aCDMG|5MSE|6DUR|7aDMG|8ZMB|9aVULN|aBPWR
148	35351 52313	   	183.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	148VULN|2DMG|3FEWX|5LWND|6CDMG|7RCR|9ZMB|aAART
149	35622 42133	   	183.01	DCR|3DMG|2VULN|1AART|1DUR	14VULN|24aDMG|3DMSP|4BPWR|5ERES|6AART|7MLV|8RCR|9DUR
150	35623 43133	   	183.01	DCR|3DMG|2VULN|1AART|1DUR	14VULN|24aDMG|3DMSP|4BPWR|5MLV|6AART|7ERES|8RCR|9DUR
151	61422 42133	   	183.01	DCR|3DMG|2VULN|1AART|1DUR	1RCVC|24aDMG|34VULN|4BPWR|5ERES|6AART|7MLV|8RCR|9DUR
152	61423 43133	   	183.01	DCR|3DMG|2VULN|1AART|1DUR	1RCVC|24aDMG|34VULN|4BPWR|5MLV|6AART|7ERES|8RCR|9DUR
153	42136 16312	 * 	182.98	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	17AART|2CGEN|3RCR|4BASHEA|5DMG|6CDMG|8aVULN|9DUR
154	35422 42132	   	182.91	DCR|3VULN|2DMG|1AART|1DUR	134VULN|24DMG|4BPWR|5ERES|6AART|7MLV|8RCR|9DUR|aDUST
155	35423 43132	   	182.91	DCR|3VULN|2DMG|1AART|1DUR	134VULN|24DMG|4BPWR|5MLV|6AART|7ERES|8RCR|9DUR|aDUST
156	35421 21215	   	182.85	DCR|4VULN|2DMG|1CDMG|1DUR	1347VULN|24DMG|4BPWR|5RPLT|6BEXP|8DUR|9RCR|aCDMG
157	42124 14232	   	182.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CGEN|3RCR|4CDMG|59VULN|6BEXP|7DMG|8ZMB|aDUR
158	42124 32522	   	182.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CGEN|3RCR|4CDMG|56VULN|7LHND|8ZMB|9DMG|aDUR
159	42125 34232	   	182.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CGEN|3RCR|4CDMG|5LWND|69VULN|7DMG|8ZMB|aDUR
160	12446 13431	   	182.59	ACR|3VULN|3DMG|2ASPD	19ASPD|2BEXP|369VULN|4RCR|5MBVNT|789DMG|9BPWR|aRMIN
161	12446 13433	   	182.59	ACR|3VULN|3DMG|2ASPD	19ASPD|2BEXP|369VULN|4RCR|5MBVNT|789DMG|9BPWR|aMLV
162	13446 13431	   	182.59	ACR|3VULN|3DMG|2ASPD	19ASPD|2LHND|369VULN|4RCR|5MBVNT|789DMG|9BPWR|aRMIN
163	13446 13433	   	182.59	ACR|3VULN|3DMG|2ASPD	19ASPD|2LHND|369VULN|4RCR|5MBVNT|789DMG|9BPWR|aMLV
164	12446 13432	   	182.49	ACR|3VULN|3DMG|2ASPD	19ASPD|2BEXP|369VULN|4RCR|5MBVNT|789DMG|9BPWR|aDUST
165	12446 13434	   	182.49	ACR|3VULN|3DMG|2ASPD	19ASPD|2BEXP|369VULN|4RCR|5MBVNT|789DMG|9BPWR|aTLV
166	13446 13432	   	182.49	ACR|3VULN|3DMG|2ASPD	19ASPD|2LHND|369VULN|4RCR|5MBVNT|789DMG|9BPWR|aDUST
167	13446 13434	   	182.49	ACR|3VULN|3DMG|2ASPD	19ASPD|2LHND|369VULN|4RCR|5MBVNT|789DMG|9BPWR|aTLV
168	35423 33612	   	182.46	DCR|4VULN|3DMG|1ASPD	1346VULN|247DMG|4BPWR|58MLV|9ASPD|aRCR
169	35623 33212	   	182.46	DCR|4VULN|3DMG|1ASPD	1468VULN|247DMG|3DMSP|4BPWR|5MLV|9ASPD|aRCR
170	35625 33212	   	182.46	DCR|4VULN|3DMG|1ASPD	1468VULN|247DMG|3DMSP|4BPWR|5CGEN|9ASPD|aRCR
171	61423 33212	   	182.46	DCR|4VULN|3DMG|1ASPD	1RCVC|247DMG|3468VULN|4BPWR|5MLV|9ASPD|aRCR
172	61425 33212	   	182.46	DCR|4VULN|3DMG|1ASPD	1RCVC|247DMG|3468VULN|4BPWR|5CGEN|9ASPD|aRCR
