0	Index      	 *	Score 	Summary	Detail	
1	42331 52511	 * 	190.82	DCR|3DMG|2VULN|1AART|1FLTHEA	1FEWX|2FLTHEA|36VULN|4AART|57aDMG|8RCR|9LSRHEA
51	42331 51361	   	175.26	DCR|2VULN|2DMG|1AART|1FLTHEA	1FEWX|2FLTHEA|36VULN|4AART|5aDMG|79CGEN|8RCR
52	42331 51322	   	175.16	DCR|2VULN|2DMG|1AART|1FLTHEA	1FEWX|2FLTHEA|36VULN|4AART|5aDMG|7CGEN|8RCR|9LEGI
53	42332 12562	   	175.16	DCR|2VULN|2DMG|1AART|1FLTHEA	15FEWX|2FLTHEA|3aVULN|4AART|67DMG|8RCR|9DLOT
54	42331 52512	   	175.06	DCR|2VULN|2DMG|1AART|1FLTHEA	1FEWX|2FLTHEA|36VULN|4AART|57DMG|8RCR|9LSRHEA|aERES
55	32533 11134	   	174.95	ACR|2DMG|2AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|58DMG|6VULN|7ERES|9aAART
56	32533 11634	   	174.95	ACR|2VULN|2AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5DMG|68VULN|7ERES|9aAART
57	42114 13631	   	174.84	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1ASPD	13FEWX|2FLTHEA|4ASPD|5RCR|6AART|79VULN|8ZMB|aDMG
58	32533 13131	   	174.60	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|58DMG|6VULN|7ZMB|9AART|aLWND
59	32533 13134	   	174.60	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|58DMG|6VULN|7ZMB|9AART|aDMSP
60	32533 13631	   	174.60	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|5DMG|68VULN|7ZMB|9AART|aLWND
61	32533 13634	   	174.60	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|5DMG|68VULN|7ZMB|9AART|aDMSP
62	12243 13443	   	174.56	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ASPD	1DUST|2FLTHEA|3ASPD|4CGEN|58DMG|6AART|7CDMG|9RCR|aVULN
63	32533 13135	   	174.50	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|58DMG|6VULN|7ZMB|9AART|aBASICY
64	32533 13635	   	174.50	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|5DMG|68VULN|7ZMB|9AART|aBASICY
65	42164 13131	   	174.48	ACR|2VULN|2DMG|1AART|1FLTHEA	13FEWX|2FLTHEA|4aDMG|5RCR|6AART|7RMIN|89VULN
66	56233 13413	   	174.43	DCR|3VULN|1AART|1DMG|1CDMG	159VULN|2LIT|3ERES|4LWND|6RCR|7CDMG|8DMG|aAART
67	36235 26411	   	174.37	ACR|2VULN|2DMG|1AART|2DUR	1RMIN|2aDMG|3RPLT|4AART|5RCR|6MLV|7MBVNT|8aDUR|9aVULN|aBPWR
68	32526 33163	 * 	174.24	ACR|2VULN|1AART|2CDMG|2ZMB|1DUR	1RMIN|2RCVC|3RCR|4aCDMG|5AART|6aVULN|7DUR|8LIT|9aZMB|aBPWR
69	12414 12343	   	174.20	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1DUST|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|8ZMB|9CDMG|aVULN
70	55132 33336	 * 	174.12	ACR|3VULN|2DMG|2DUR|1ZMB	137VULN|2ZMB|4LHND|5RCR|69DUR|8aDMG
71	42221 35327	   	173.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1FEWX|2FLTHEA|3AART|4LHND|5DMG|67aVULN|8RCR|9MBVNT
72	42221 35331	   	173.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1FEWX|2FLTHEA|3AART|4LHND|5DMG|67aVULN|8RCR|9ERES
73	42231 35531	   	173.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1FEWX|2FLTHEA|3AART|4LWND|5DMG|67aVULN|8RCR|9ERES
74	42331 21532	   	173.46	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ASPD	19FEWX|2FLTHEA|3VULN|4AART|57DMG|6ASPD|8CDMG|aRCR
75	42331 11312	   	173.43	DCR|3DMG|1AART|1VULN|1FLTHEA	16FEWX|2FLTHEA|3VULN|4AART|56aDMG|6BPWR|7CGEN|8RCR|9LWND
76	42331 11352	   	173.43	DCR|3DMG|1AART|1VULN|1FLTHEA	16FEWX|2FLTHEA|3VULN|4AART|56aDMG|6BPWR|7CGEN|8RCR|9BEXP
77	42331 11361	   	173.43	DCR|3DMG|1AART|1VULN|1FLTHEA	16FEWX|2FLTHEA|3VULN|4AART|56aDMG|6BPWR|79CGEN|8RCR
78	32533 13112	   	173.39	ACR|3DMG|1VULN|1FLTHEA|1ZMB|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|58aDMG|6VULN|7ZMB|9DUR
79	36235 13214	   	173.38	ACR|2AART|2VULN|2DMG	1RMIN|2aDMG|3RPLT|46AART|5RCR|7LEGI|8DLOT|9aVULN|aBPWR
80	54214 12322	 * 	173.35	DCR|4VULN|1DMG|2CDMG	128aVULN|3RMIN|4DMG|5aCDMG|6RCR|7aTLV|9RCVC|aBPWR
81	42331 11322	   	173.33	DCR|3DMG|1AART|1VULN|1FLTHEA	16FEWX|2FLTHEA|3VULN|4AART|56aDMG|6BPWR|7CGEN|8RCR|9LEGI
82	42331 51311	   	173.33	DCR|3VULN|1AART|1DMG|1FLTHEA	1FEWX|2FLTHEA|36aVULN|4AART|5DMG|7CGEN|8RCR|9LWND
83	42331 51351	   	173.33	DCR|3VULN|1AART|1DMG|1FLTHEA	1FEWX|2FLTHEA|36aVULN|4AART|5DMG|7CGEN|8RCR|9BEXP
84	42332 12536	   	173.33	DCR|3DMG|1AART|1VULN|1FLTHEA	159FEWX|2FLTHEA|3VULN|4AART|67aDMG|8RCR
85	42332 12551	   	173.33	DCR|3DMG|1AART|1VULN|1FLTHEA	15FEWX|2FLTHEA|3VULN|4AART|67aDMG|8RCR|9RMIN
86	42331 51321	   	173.23	DCR|3VULN|1AART|1DMG|1FLTHEA	1FEWX|2FLTHEA|36aVULN|4AART|5DMG|7CGEN|8RCR|9LEGI
87	42332 12511	   	173.23	DCR|3DMG|1AART|1VULN|1FLTHEA	15FEWX|2FLTHEA|3VULN|4AART|67aDMG|8RCR|9LSRHEA
88	13362 11255	   	173.11	DCR|3DMG|2VULN|1ZMB|1DUR	1DUST|23VULN|4LIT|5ZMB|6RCR|79aDMG|8DUR
89	32514 33633	   	173.04	ACR|3DMG|2VULN|1CDMG	1RMIN|2RCVC|3RCR|48aDMG|5CDMG|6BELT|7aVULN|9aCANSTR|aBPWR
90	32536 33263	   	172.97	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DMG|7CDMG|8DUST|9ZMB|aVULN
91	32536 12111	   	172.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|8aVULN|9LWND
92	32536 12112	   	172.94	ACR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7aDMG|8VULN|9LWND
93	32536 12121	   	172.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|8aVULN|9LHND
94	32536 12122	   	172.94	ACR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7aDMG|8VULN|9LHND
95	32536 12133	   	172.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1aRMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|89VULN
96	32536 12134	   	172.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|89VULN|aFEWX
97	32536 12135	   	172.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|89VULN|aBEXP
98	32536 12151	   	172.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|8aVULN|9BEXP
99	32536 12152	   	172.94	ACR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7aDMG|8VULN|9BEXP
100	32536 12631	   	172.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|8BEXP|9aVULN
101	32536 12632	   	172.94	ACR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7aDMG|8BEXP|9VULN
102	36424 12312	 * 	172.88	DCR|3DMG|1AART|2CDMG|1ZMB	1RMIN|239DMG|39BPWR|4DUST|59CDMG|6RCR|79TLV|8AART|aZMB
103	32536 12132	   	172.84	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|89VULN|aERES
104	32536 12531	   	172.84	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|8DUST|9aVULN
105	32536 12532	   	172.84	ACR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7aDMG|8DUST|9VULN
106	36133 33613	 * 	172.52	DCR|3VULN|3DMG|1ZMB	1RMIN|278DMG|3BELT|467VULN|57LIT|7BPWR|9ZMB|aRCR
107	32614 12343	   	172.52	DCR|3VULN|2DMG|1CDMG	1RMIN|2RCVC|38aVULN|4aDMG|5CDMG|6RCR|7TLV|9aERES|aBPWR
108	32536 36211	   	172.51	ACR|2VULN|1AART|1DMG|2FLTHEA	1RMIN|2RCVC|3RCR|49FLTHEA|5AART|6DMG|79VULN|89CGEN|9BPWR|aLWND
109	32532 12345	   	172.47	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7DMG|8ZMB|9CDMG|aVULN
110	32532 12135	   	172.34	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7DMG|89VULN|aASPD
111	32536 31611	   	172.31	ACR|2VULN|1AART|1DMG|2FLTHEA	1RMIN|2RCVC|3RCR|49FLTHEA|5AART|6DMG|79ERES|89VULN|9BPWR|aLWND
112	42251 12336	 * 	172.22	DCR|2AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR|1ASPD	1FEWX|2FLTHEA|35AART|4ASPD|6DUR|7DMG|8ZMB|9VULN|aRCR
113	34314 37432	 * 	172.16	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|27DUST|3MBVNT|4FEWX|57DMG|67VULN|7BPWR|8RCR|9AART|aCDMG
114	42221 35312	 * 	171.83	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FEWX|2FLTHEA|3AART|4LHND|5DMG|67VULN|8RCR|9SNIHEL|aCDMG
115	42231 35512	   	171.83	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FEWX|2FLTHEA|3AART|4LWND|5DMG|67VULN|8RCR|9SNIHEL|aCDMG
116	55112 63212	   	171.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	13VULN|2ZMB|45DMG|6ASPD|7LIT|8AIRHEL|9AART|aRCR
117	12632 32563	   	171.58	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1DUST|2FLTHEA|3DUR|4AART|5FEWX|6ZMB|7DMG|8RCR|9VULN|aCDMG
118	42331 26612	   	171.58	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1FEWX|2FLTHEA|3VULN|4AART|5DMG|6ASPD|7ZMB|8RCR|9SNIHEL|aCDMG
119	43532 12611	   	171.51	DCR|3VULN|1AART|1DMG|2DUR	19FEWX|269VULN|3CGEN|4LIT|5AART|79DUR|8RCR|9BPWR|aDMG
120	52532 12611	   	171.51	DCR|3VULN|1AART|1DMG|2DUR	169VULN|29FEWX|3CGEN|4LIT|5AART|79DUR|8RCR|9BPWR|aDMG
121	36235 12212	 * 	171.45	ACR|3VULN|2AART|1DMG	1RMIN|2DMG|3RPLT|46AART|5RCR|79aVULN|8DLOT
122	43242 12611	   	171.41	DCR|3VULN|1AART|1DMG|2DUR	19FEWX|269VULN|3ERES|4LIT|5AART|79DUR|8RCR|9BPWR|aDMG
123	52242 12611	   	171.41	DCR|3VULN|1AART|1DMG|2DUR	169VULN|29FEWX|3ERES|4LIT|5AART|79DUR|8RCR|9BPWR|aDMG
124	32533 13522	   	171.39	ACR|2VULN|1DMG|1CDMG|1FLTHEA|1ZMB|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5DMG|6aVULN|7ZMB|8DUR|9CDMG
125	42332 12541	   	171.33	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	15FEWX|2FLTHEA|3VULN|4AART|67DMG|8RCR|9CDMG|aLHND
126	42332 12543	   	171.33	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	15FEWX|2FLTHEA|3VULN|4AART|67DMG|8RCR|9CDMG|aRMIN
127	55332 21341	 * 	171.27	DCR|2VULN|2DMG|1AART|2ZMB	19VULN|29ZMB|37FEWX|4LIT|5AART|6RPLT|89DMG|9BPWR|aRCR
128	42333 25632	   	171.23	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FEWX|2FLTHEA|39VULN|4AART|5LSRHEA|6CDMG|7LIT|8RCR|aDMG
129	12132 12543	   	171.23	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1DUST|2FLTHEA|35FEWX|4AART|67DMG|8RCR|9CDMG|aVULN
130	42332 12542	   	171.23	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	15FEWX|2FLTHEA|3VULN|4AART|67DMG|8RCR|9CDMG|aDUST
131	15331 18512	 * 	171.18	DCR|2AART|2VULN|2CDMG|1ZMB	1aDUST|2ZMB|3MBVNT|4RCVC|59AART|6aCDMG|7RCR|8aVULN|aBPWR
132	12131 22543	   	171.13	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	16DUST|2FLTHEA|3FEWX|4AART|57DMG|8RCR|9CDMG|aVULN
133	12331 22543	   	171.13	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	16DUST|2FLTHEA|3BEXP|4AART|57DMG|8RCR|9CDMG|aVULN
134	12331 56511	 * 	171.13	DCR|2VULN|1AART|1DMG|2ASPD|1FLTHEA	1DUST|2FLTHEA|3BEXP|4AART|5DMG|6aVULN|79ASPD|8RCR
135	32533 23611	   	171.11	ACR|2VULN|1AART|1DMG|2FLTHEA	1RMIN|2RCVC|3RCR|49FLTHEA|5DMG|69ERES|7AART|89VULN|9BPWR|aLWND
136	32533 23616	   	171.11	ACR|2VULN|1AART|2FLTHEA|1DMG	1RMIN|2RCVC|3RCR|49FLTHEA|5DMG|69ERES|7AART|89VULN|9BPWR|aRPLT
137	32533 12336	   	170.84	ACR|2VULN|2DMG|2FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4aFLTHEA|5aDMG|69VULN|7DUR|8aFEWX|aBPWR
138	42333 35331	   	170.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1FEWX|2FLTHEA|378VULN|4AART|5LSRHEA|6CGEN|9RCR|aDMG
139	12453 62131	   	170.82	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	15DUST|2FLTHEA|3RCVC|4DUR|6RCR|7AART|89VULN|aDMG
140	55132 33335	   	170.63	ACR|4VULN|1DMG|2DUR|1ZMB	137aVULN|2ZMB|4LHND|5RCR|69DUR|8DMG
141	13243 52611	   	170.61	DCR|3VULN|1AART|1DMG|2DUR	19DUST|259VULN|3ERES|4LIT|6AART|79DUR|8RCR|9BPWR|aDMG
142	13343 52611	   	170.61	DCR|3VULN|1AART|1DMG|2DUR	19DUST|239VULN|4ERES|5LIT|6AART|79DUR|8RCR|9BPWR|aDMG
143	13361 52611	   	170.61	DCR|3VULN|1AART|1DMG|2DUR	19DUST|239VULN|4LIT|5ERES|6AART|79DUR|8RCR|9BPWR|aDMG
144	42231 31625	   	170.51	DCR|2VULN|1AART|1DMG|1FLTHEA|2DUR	1FEWX|2FLTHEA|3AART|4LWND|5DMG|69VULN|7aDUR|8RCR
145	62614 13322	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2ZMB|3CGEN|4DMG|5CDMG|6RCR|7aVULN|8BEXP|9AART
146	42331 52253	   	170.36	DCR|2VULN|2DMG|1AART|1FLTHEA	1FEWX|2FLTHEA|36VULN|4AART|57DMG|8DMSP|9BASHEA|aRCR
147	32534 13432	 * 	169.84	ACR|2VULN|2AART|2ZMB|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|57ZMB|68VULN|9aAART
148	32541 13412	 * 	169.82	ACR|2AART|2VULN|1CDMG|2DUR	1RMIN|2RCVC|3RCR|4aDUR|59AART|6CDMG|7aBEXP|8aVULN|aBPWR
149	51363 42212	   	169.80	DCR|3VULN|1AART|1CDMG|2DUR	139VULN|2LEGI|4LIT|5AART|6RCR|79DUR|89CGEN|9BPWR|aCDMG
150	22214 12345	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2ZMB|3RMIN|4DMG|5CDMG|6RCR|7TLV|89VULN|aAART
151	32533 13536	   	169.44	ACR|2DMG|1VULN|2FLTHEA|2DUR|1ZMB	1RMIN|2RCVC|3RCR|4aFLTHEA|5aDMG|6VULN|7ZMB|8aDUR|9NUKE|aBPWR
152	21365 33432	 * 	169.43	ACR|3VULN|2DMG|2ASPD	18MLV|2RPLT|3RCR|48ASPD|5aDMG|6LIT|789VULN|8BPWR
153	32521 16252	 * 	169.42	ACR|2VULN|3CDMG|1AART|2DUR	1RMIN|2RCVC|3RCR|45aCDMG|5aBPWR|6aDUR|7AART|8aVULN|9MBVNT
