0	Index      	 *	Score 	Summary	Detail	
1	42231 11535	 * 	318.64	DCR|DCR|3LIT|1TLV|1VULN	1DUR|259LIT|3TLV|4VULN|6aRCR|7FEWX|8LHND
33	42233 13274	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUR|2LIT|3TLV|4VULN|5LHND|6MBVNT|7ASPD|8aRCR|9AME
34	32231 16133	 * 	293.80	DCR|3LIT|3DMG|1TLV|1VULN|1MLV	18DUST|258LIT|3TLV|4VULN|6RCR|78aDMG|8BPWR|9MLV
35	42231 16214	   	293.30	DCR|3VULN|3TLV|2LIT|2DUR	17DUR|25LIT|378TLV|47aVULN|6RCR|7BPWR|9FEWX
36	42231 16223	   	293.30	DCR|3VULN|3TLV|2LIT|2DUR	17DUR|25LIT|378TLV|47aVULN|6RCR|7BPWR|9CGEN
37	42231 16263	   	293.12	DCR|3TLV|2VULN|2LIT|2DUR|1CDMG	17DUR|25LIT|378TLV|47VULN|6RCR|7BPWR|9RPLT|aCDMG
38	42231 11611	 * 	292.83	DCR|2TLV|2LIT|2DMG|1VULN|2DUR	1aDUR|25LIT|3aTLV|4VULN|6RCR|7FEWX|8BBNT|9aDMG|aBPWR
39	15341 62233	   	292.22	DCR|2VULN|2TLV|2LIT|1DMG	1AART|2aVULN|3aTLV|4BBNT|5LSRHEA|6DMG|7RCR|8aLIT|9RCVC|aBPWR
40	32231 16135	   	291.80	DCR|3LIT|2DMG|1TLV|1VULN|1MLV|1ASPD	18DUST|258LIT|3TLV|4VULN|6RCR|78DMG|8BPWR|9MLV|aASPD
41	42231 16621	   	291.79	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8DMG|9CGEN|aFEWX
42	42231 16114	   	291.69	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8CGEN|9AIRHEA|aDMG
43	42231 16134	   	291.69	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8CGEN|9TSLHEL|aDMG
44	42231 16532	   	291.69	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8BELT|9DLOT|aDMG
45	42231 16612	   	291.69	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8DMG|9MGNSTR|aAME
46	42231 16613	   	291.69	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8DMG|9MGNSTR|aFLTHEA
47	42231 16622	   	291.69	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8DMG|9CGEN|aMDPS
48	42231 16633	   	291.69	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8DMG|9LHND|aLEGI
49	42231 13323	   	291.09	DCR|3LIT|1TLV|1VULN|2CDMG|1DMG|2DUR	19DUR|259LIT|3TLV|4VULN|6RCR|7RPLT|89CDMG|9BPWR|aDMG
50	42231 16332	   	289.59	DCR|2VULN|2TLV|2LIT|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8BBNT|9DUST|aRPLT
51	42231 16411	   	289.51	DCR|3LIT|2VULN|2TLV|2DUR	17DUR|25aLIT|37TLV|47VULN|6RCR|7BPWR|8AAC|9MGNSTR
52	42231 16111	   	289.41	DCR|3LIT|2VULN|2TLV|2DUR	17DUR|25aLIT|37TLV|47VULN|6RCR|7BPWR|8CGEN|9AIRHEA
53	42231 16131	   	289.41	DCR|3LIT|2VULN|2TLV|2DUR	17DUR|25aLIT|37TLV|47VULN|6RCR|7BPWR|8CGEN|9TSLHEL
54	42223 52246	   	288.75	DCR|DCR|1TLV|1LIT|1VULN	1DUR|2LIT|3TLV|4RPLT|5CGEN|6VULN|7aRCR|8MBVNT|9RMIN
55	15222 32542	 * 	288.70	DCR|2VULN|2TLV|2LIT|2ASPD	1AART|28VULN|3RMIN|4aTLV|5DMSP|68LIT|78ASPD|8BPWR|9RCR
