0	Index      	 *	Score 	Summary	Detail	
1	23223 31623	 * 	297.83	DCR|2VULN|2TLV|2DMG|2ASPD|1MLV	1LWND|2aDMG|3MLV|47TLV|5aASPD|6FEWX|8aVULN|9RCR|aBPWR
22	21431 32223	 * 	272.89	DCR|DCR|2TLV|1VULN|1ASPD	1LWND|2LHND|38TLV|4ASPD|5BEXP|6AME|7VULN|9aRCR
23	21523 32223	   	272.89	DCR|DCR|2TLV|1VULN|1ASPD	1LWND|2LHND|3BEXP|48TLV|5ASPD|6AME|7VULN|9aRCR
24	24431 32223	   	272.89	DCR|DCR|2TLV|1VULN|1ASPD	1LWND|2BEXP|38TLV|4ASPD|5FEWX|6AME|7VULN|9aRCR
25	24453 32223	   	272.89	DCR|DCR|2TLV|1VULN|1ASPD	1LWND|2BEXP|38TLV|4LHND|5ASPD|6AME|7VULN|9aRCR
26	41431 32223	   	272.89	DCR|DCR|2TLV|1VULN|1ASPD	1FEWX|2LHND|38TLV|4ASPD|5BEXP|6AME|7VULN|9aRCR
27	44432 32223	   	272.89	DCR|DCR|2TLV|1VULN|1ASPD	1FEWX|2BEXP|38TLV|4ASPD|5LHND|6AME|7VULN|9aRCR
28	65531 32223	   	272.89	DCR|DCR|2TLV|1VULN|1ASPD	18TLV|2LHND|3LWND|4ASPD|5BEXP|6AME|7VULN|9aRCR
29	24436 32223	   	272.79	DCR|DCR|2TLV|1VULN|1ASPD	1LWND|2BEXP|38TLV|4ASPD|5LEGI|6AME|7VULN|9aRCR
30	24443 32223	   	272.79	DCR|DCR|2TLV|1VULN|1ASPD	1LWND|2BEXP|38TLV|4DUST|5ASPD|6AME|7VULN|9aRCR
31	63451 22233	 * 	272.76	DCR|2TLV|2MLV|1LIT|1VULN|1DMG	1aTLV|2ERES|3LIT|45MLV|6DMG|7VULN|8DMSP|9RCR
32	23224 61623	   	271.72	DCR|2VULN|2TLV|2DMG|1MLV	1LWND|2aDMG|3MLV|47TLV|5aFEWX|6ZMB|8aVULN|9RCR|aBPWR
33	23225 61622	   	271.72	DCR|2VULN|2TLV|2DMG|1MLV	1LWND|2aDMG|3MLV|47TLV|5aBEXP|6ZMB|8aVULN|9RCR|aBPWR
34	61234 23123	 * 	271.63	DCR|2TLV|2LIT|1VULN|3DUR|1DMG	14TLV|2BELT|347DUR|4BPWR|5DMG|6aLIT|8VULN|9RCR
35	43233 31123	   	271.62	DCR|2TLV|2DMG|1VULN|2ASPD|1MLV	1FEWX|2aDMG|3MLV|4CGEN|5aASPD|6RMIN|7VULN|8aTLV|9RCR|aBPWR
36	53413 23123	   	271.14	DCR|2TLV|2LIT|1MLV|1DMG|2DUR	1DMSP|28DUR|38LIT|4MLV|5FLTHEA|6TBNT|78TLV|8BPWR|9DMG|aRCR
37	53416 23123	   	271.14	DCR|2TLV|2LIT|1MLV|1DMG|2DUR	1DMSP|28DUR|38LIT|4MLV|5TSLARM|6TBNT|78TLV|8BPWR|9DMG|aRCR
38	62331 32123	   	269.77	DCR|DCR|1TLV|1VULN|2DUR|1ASPD	1TLV|2LWND|38DUR|4ASPD|5BEXP|6AME|7VULN|9aRCR
39	65331 32123	   	269.77	DCR|DCR|1TLV|1VULN|2DUR|1ASPD	1TLV|2LHND|38DUR|4ASPD|5BEXP|6AME|7VULN|9aRCR
40	61166 12143	   	269.55	DCR|DCR|1TLV|1MLV|1DMG|1CDMG	1TLV|2BELT|3MBVNT|4AART|5TBNT|68RCR|7CDMG|9DMG|aMLV
41	23226 32413	   	269.49	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1LWND|2DMG|3MLV|46TLV|5LIT|7CGEN|8VULN|9RCR|aDUR
42	52312 32543	   	269.49	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1DMSP|2BEXP|3LIT|4MLV|5DUR|69TLV|7VULN|8DMG|aRCR
43	23114 11526	   	268.32	DCR|DCR|1TLV|1VULN|1DMG	1LWND|2DMG|3CGEN|4DUR|5AME|6ERES|7TLV|8VULN|9aRCR
