0	Index      	 *	Score 	Summary	Detail	
1	26252 11633	 * 	205.29	DCR|2VULN|2DMG|1AART|1ASPD	13FEWX|24VULN|57DMG|6RCR|8AART|9LHND|aASPD
32	61222 21122	   	191.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	12LIT|2BPWR|3DMG|4ERES|5DUR|6RCR|79AART|8VULN|aASPD
33	61316 21122	   	191.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	12LIT|2BPWR|3ERES|4DUR|5DMG|6RCR|79AART|8VULN|aASPD
34	63616 21122	   	191.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	13LIT|2ERES|4DUR|5DMG|6RCR|79AART|8VULN|aASPD
35	13255 33333	 * 	191.21	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR	1CGEN|2DMG|3MDPS|46DUR|5ASPD|79aVULN|8RCR
36	26452 11112	   	189.61	DCR|3VULN|2DMG|1ZMB	1FEWX|234VULN|57DMG|6RCR|8LWND|9RPLT|aZMB
37	26452 11212	   	189.61	DCR|3VULN|2DMG|1ZMB	1FEWX|234VULN|57DMG|6RCR|8BEXP|9RPLT|aZMB
38	13211 13615	 * 	189.16	DCR|3DMG|2VULN|1MDPS|1ASPD	19CGEN|289DMG|3MDPS|4ERES|5ASPD|6RPLT|79VULN|9BPWR|aRCR
39	63252 21122	 * 	189.16	DCR|2AART|2ASPD|1VULN|1DUR	1LIT|2ERES|3RCVC|4aASPD|5DUR|6RCR|79AART|8VULN
40	62254 13312	   	187.60	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LIT|2MLV|3RCVC|4ASPD|59VULN|6DUR|7CDMG|8AART|aRCR
41	26452 11133	   	187.59	DCR|3VULN|2DMG|1DUR	19FEWX|234VULN|57DMG|6RCR|8LWND|aDUR
42	63254 13312	   	187.50	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LIT|2ERES|3RCVC|4ASPD|59VULN|6DUR|7CDMG|8AART|aRCR
43	26452 11121	   	187.49	DCR|3VULN|2DMG|1DUR	1FEWX|234VULN|57DMG|6RCR|8LWND|9ERES|aDUR
44	26452 11221	   	187.49	DCR|3VULN|2DMG|1DUR	1FEWX|234VULN|57DMG|6RCR|8BEXP|9ERES|aDUR
45	26223 14324	 * 	187.32	DCR|2VULN|1AART|2CDMG|1ASPD	135FEWX|29VULN|47CDMG|6AART|8RCR|aASPD
46	26223 14325	 * 	187.32	DCR|2VULN|1AART|2CDMG|1DMG	135FEWX|29VULN|47CDMG|6AART|8RCR|aDMG
47	61213 33442	   	186.68	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	12LIT|2BPWR|3DMG|4AART|5RCVC|6VULN|7CDMG|8DUR|9ASPD|aRCR
48	26252 11621	   	186.43	DCR|2VULN|2DMG|1AART	13FEWX|24VULN|57DMG|6RCR|8AART|9DUST|aRCVC
49	13323 62325	 * 	186.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1CGEN|2DMG|3LHND|4CDMG|57ASPD|68VULN|9LWND|aRCR
50	13323 62335	   	186.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1CGEN|2DMG|3LHND|4CDMG|57ASPD|68VULN|9FEWX|aRCR
51	26223 16335	 * 	186.06	DCR|2VULN|1AART|2CDMG|3DUR	135FEWX|29VULN|49CDMG|6AART|79aDUR|8RCR|9BPWR
52	51233 11461	   	185.76	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1LWND|24ERES|3ZMB|5ASPD|6RCR|7DMG|8AART|9DUR|aVULN
53	61352 21122	   	185.76	DCR|2AART|2ASPD|1VULN|1DUR	12LIT|2BPWR|3ERES|4aASPD|5DUR|6RCR|79AART|8VULN
54	63511 21122	   	185.76	DCR|2AART|2ASPD|1VULN|1DUR	15LIT|2ERES|3aASPD|4DUR|6RCR|79AART|8VULN
55	63652 21122	   	185.76	DCR|2AART|2ASPD|1VULN|1DUR	13LIT|2ERES|4aASPD|5DUR|6RCR|79AART|8VULN
56	63516 21122	   	185.66	DCR|2AART|2ASPD|1VULN|1DUR	1LIT|25ERES|3aASPD|4DUR|6RCR|79AART|8VULN
57	26451 21333	 * 	185.60	DCR|5VULN|1DMG	1FEWX|2348aVULN|5LEGI|6ERES|7DMG|9RCR
58	26252 12215	   	185.47	DCR|3VULN|1AART|1DMG	137FEWX|248VULN|5DMG|6RCR|9LIT|aAART
59	11462 31712	 * 	185.47	DCR|3VULN|2CDMG|1ASPD	19CGEN|2LWND|3MBVNT|49aVULN|5BEXP|6RCR|7ASPD|89CDMG|9BPWR
60	24652 13221	   	185.37	DCR|3VULN|1MDPS|1AART|1DMG	1FEWX|2DMSP|348VULN|5DMG|6RCR|7MDPS|9AART|aAELBLL
61	24652 13222	   	185.37	DCR|3VULN|1MDPS|1AART|1DMG	1FEWX|2DMSP|348VULN|5DMG|6RCR|7MDPS|9AART|aRPLT
62	26252 13221	   	185.37	DCR|3VULN|1MDPS|1AART|1DMG	13FEWX|248VULN|5DMG|6RCR|7MDPS|9AART|aAELBLL
63	26252 13222	   	185.37	DCR|3VULN|1MDPS|1AART|1DMG	13FEWX|248VULN|5DMG|6RCR|7MDPS|9AART|aRPLT
64	26252 13224	   	185.37	DCR|3VULN|1MDPS|1AART|1DMG	13FEWX|248VULN|5DMG|6RCR|7MDPS|9AART|aCGEN
65	26252 13225	   	185.37	DCR|3VULN|1MDPS|1AART|1DMG	13aFEWX|248VULN|5DMG|6RCR|7MDPS|9AART
66	21462 31712	   	185.37	DCR|3VULN|2CDMG|1ASPD	19FEWX|2ERES|3MBVNT|49aVULN|5BEXP|6RCR|7ASPD|89CDMG|9BPWR
67	22462 31712	   	185.37	DCR|3VULN|2CDMG|1ASPD	19FEWX|2TLV|3MBVNT|49aVULN|5BEXP|6RCR|7ASPD|89CDMG|9BPWR
68	26252 21253	 * 	185.35	DCR|3DMG|2VULN|1CDMG	13FEWX|24VULN|579DMG|6LWND|8CDMG|aRCR
69	24652 11132	   	185.23	DCR|2VULN|2DMG|1AART	19FEWX|2DMSP|34VULN|57DMG|6RCR|8LWND|aAART
70	26252 11142	   	185.23	DCR|2VULN|2DMG|1AART	13FEWX|24VULN|57DMG|6RCR|89LWND|aAART
71	26252 11631	   	185.23	DCR|2VULN|2DMG|1AART	13FEWX|24VULN|57DMG|6RCR|8AART|9LHND|aBELT
72	26252 11632	   	185.23	DCR|2VULN|2DMG|1AART	13FEWX|24VULN|57DMG|6RCR|8AART|9aLHND
73	24426 33221	   	185.13	DCR|2VULN|2DMG|1MDPS|1AART	1FEWX|2DMSP|35DMG|4MDPS|6RCR|78VULN|9AART|aAELBLL
74	24426 33222	   	185.13	DCR|2VULN|2DMG|1MDPS|1AART	1FEWX|2DMSP|35DMG|4MDPS|6RCR|78VULN|9AART|aRPLT
75	26252 11623	   	185.13	DCR|2VULN|2DMG|1AART	13FEWX|24VULN|57DMG|6RCR|8AART|9DUST|aCGEN
76	33552 11142	   	185.13	DCR|2VULN|2DMG|1AART|1NUKE	1NUKE|2RMIN|34VULN|57DMG|6RCR|89LWND|aAART
77	33552 11631	   	185.13	DCR|2VULN|2DMG|1AART|1NUKE	1NUKE|2RMIN|34VULN|57DMG|6RCR|8AART|9LHND|aBELT
78	33552 11632	   	185.13	DCR|2VULN|2DMG|1AART|1NUKE	1NUKE|2RMIN|34VULN|57DMG|6RCR|8AART|9aLHND
79	33552 13532	   	185.13	DCR|2VULN|2DMG|1AART|1NUKE	1NUKE|2RMIN|34VULN|59DMG|6RCR|7LHND|8LWND|aAART
80	26223 14326	 * 	185.09	DCR|3VULN|1AART|2CDMG	135FEWX|29aVULN|47CDMG|6AART|8RCR
81	24426 33223	   	185.03	DCR|2VULN|2DMG|1MDPS|1AART	1FEWX|2DMSP|35DMG|4MDPS|6RCR|78VULN|9AART|aLEGI
82	26252 11622	   	185.03	DCR|2VULN|2DMG|1AART|1MSE	13FEWX|24VULN|57DMG|6RCR|8AART|9DUST|aMSE
83	33552 11621	   	184.93	DCR|2VULN|2DMG|1AART|1NUKE|1MSE	1NUKE|2RMIN|34VULN|57DMG|6RCR|8AART|9MSE|aRCVC
84	33552 11622	   	184.93	DCR|2VULN|2DMG|1AART|1NUKE|2MSE	1NUKE|2RMIN|34VULN|57DMG|6RCR|8AART|9aMSE
85	33552 11623	   	184.93	DCR|2VULN|2DMG|1AART|1NUKE|1DUR|1MSE	1NUKE|2RMIN|34VULN|57DMG|6RCR|8AART|9MSE|aDUR
86	24162 11633	   	184.91	DCR|2DMG|1VULN|1AART|1ASPD	13FEWX|2DMSP|4VULN|57DMG|6RCR|8AART|9LHND|aASPD
87	63216 21161	   	184.49	DCR|2VULN|1AART|1DMG|2DUR	1LIT|2ERES|3RCVC|49DUR|5DMG|6RCR|7AART|8aVULN
88	63252 21161	   	184.49	DCR|2VULN|1AART|1ASPD|2DUR	1LIT|2ERES|3RCVC|4ASPD|59DUR|6RCR|7AART|8aVULN
89	62524 13312	   	184.19	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LIT|24MLV|3ASPD|59VULN|6DUR|7CDMG|8AART|aRCR
90	63216 21162	   	184.17	DCR|1VULN|1AART|1ASPD|1DMG|2DUR	1LIT|2ERES|3RCVC|49DUR|5DMG|6RCR|7AART|8VULN|aASPD
91	61224 11152	   	184.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	12LIT|2BPWR|3DMG|4ERES|58VULN|6DUR|7AART|9CDMG|aRCR
92	61224 13312	   	184.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	12LIT|2BPWR|3DMG|4ERES|59VULN|6DUR|7CDMG|8AART|aRCR
93	61234 13312	   	184.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	12LIT|2BPWR|3DMG|4TLV|59VULN|6DUR|7CDMG|8AART|aRCR
94	61354 13312	   	184.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	12LIT|2BPWR|3ERES|4ASPD|59VULN|6DUR|7CDMG|8AART|aRCR
95	15245 33312	   	183.89	DCR|3VULN|1AART|1CDMG|1ZMB	1CGEN|2DUST|3ZMB|469VULN|5LIT|7CDMG|8AART|aRCR
96	21245 33312	   	183.89	DCR|3VULN|1AART|1CDMG|1ZMB	1FEWX|2ERES|3ZMB|469VULN|5LIT|7CDMG|8AART|aRCR
97	22255 33312	   	183.89	DCR|3VULN|1AART|1CDMG|1ZMB	1FEWX|2TLV|3ZMB|469VULN|5LIT|7CDMG|8AART|aRCR
98	26412 53312	   	183.89	DCR|3VULN|1AART|1CDMG|1ZMB	1FEWX|239VULN|4LIT|5TLV|6ZMB|7CDMG|8AART|aRCR
99	35255 33312	 * 	183.79	DCR|3VULN|1AART|1NUKE|1CDMG|1ZMB	1NUKE|2DUST|3ZMB|469VULN|5LIT|7CDMG|8AART|aRCR
100	13232 33333	 * 	183.49	DCR|3VULN|1MDPS|2DMG|1DUR	1CGEN|24DMG|3MDPS|5RMIN|6DUR|79aVULN|8RCR
101	13212 31653	 * 	183.37	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1CGEN|2DMG|3MDPS|4ERES|5BEXP|6RCR|7ASPD|8CDMG|9VULN|aAART
102	26141 13411	 * 	183.13	DCR|3VULN|1AART|1ASPD|1SELL	1FEWX|268VULN|3RMIN|4SELL|5CANARM|7RCR|9AART|aASPD
103	13325 43244	 * 	183.13	DCR|2VULN|2DMG|2CDMG|1AAC	1aCGEN|2aDMG|3LHND|46CDMG|5MBVNT|7RCR|8aVULN|9AAC|aBPWR
104	31416 15312	 * 	183.12	DCR|2VULN|1AART|2CDMG|1DMG|1NUKE	1NUKE|2LEGI|3AART|4LIT|5DMG|69VULN|78CDMG|aRCR
105	26453 12233	   	181.96	DCR|3VULN|1AART|1CDMG|1DUR	1FEWX|234VULN|5CDMG|6DUR|7BELT|8LIT|9AART|aRCR
106	13145 14222	 * 	181.69	DCR|2DMG|1VULN|1NUKE|1CDMG|1DUR	1CGEN|29DMG|3FEWX|4VULN|5LIT|6DUR|7CDMG|8RCR|aNUKE
107	26252 21363	   	181.59	DCR|3VULN|2DMG|1DUR	13FEWX|248VULN|57DMG|6LWND|9RCR|aDUR
108	26252 11136	   	181.51	DCR|2VULN|2DMG|1ASPD	139FEWX|24VULN|57DMG|6RCR|8LWND|aASPD
109	26252 11236	   	181.51	DCR|2VULN|2DMG|1ASPD	139FEWX|24VULN|57DMG|6RCR|8BEXP|aASPD
110	26452 11113	   	181.47	DCR|3VULN|2DMG|1AAC	1FEWX|234VULN|57DMG|6RCR|8LWND|9RPLT|aAAC
111	26452 11213	   	181.47	DCR|3VULN|2DMG|1AAC	1FEWX|234VULN|57DMG|6RCR|8BEXP|9RPLT|aAAC
112	33124 25632	 * 	181.47	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1NUKE|2RMIN|3LWND|4CDMG|5AART|6BEXP|7RCR|8ASPD|9VULN|aDMG
113	64621 11312	   	181.30	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1LIT|24DUST|34DMG|4BPWR|5CGEN|6DUR|7AART|8CDMG|9VULN|aRCR
114	64621 13312	   	181.30	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1LIT|24DUST|34DMG|4BPWR|5CGEN|6DUR|7CDMG|8AART|9VULN|aRCR
115	26452 11313	   	181.27	DCR|3VULN|2DMG|1AAC|1MSE	1FEWX|234VULN|57DMG|6RCR|8MSE|9RPLT|aAAC
116	63216 21126	 * 	181.15	DCR|2AART|1MDPS|1VULN|1DMG|1DUR	1LIT|2ERES|3RCVC|4DUR|5DMG|6RCR|79AART|8VULN|aMDPS
117	63252 21126	 * 	181.15	DCR|2AART|1MDPS|1VULN|1ASPD|1DUR	1LIT|2ERES|3RCVC|4ASPD|5DUR|6RCR|79AART|8VULN|aMDPS
118	61222 21161	   	181.09	DCR|2VULN|1AART|1DMG|2DUR	12LIT|2BPWR|3DMG|4ERES|59DUR|6RCR|7AART|8aVULN
119	61316 21161	   	181.09	DCR|2VULN|1AART|1DMG|2DUR	12LIT|2BPWR|3ERES|49DUR|5DMG|6RCR|7AART|8aVULN
120	61352 21161	   	181.09	DCR|2VULN|1AART|1ASPD|2DUR	12LIT|2BPWR|3ERES|4ASPD|59DUR|6RCR|7AART|8aVULN
121	63511 21161	   	181.09	DCR|2VULN|1AART|1ASPD|2DUR	15LIT|2ERES|3ASPD|49DUR|6RCR|7AART|8aVULN
122	26223 16331	   	181.00	DCR|2VULN|1AART|2CDMG|2DUR	135FEWX|29VULN|49CDMG|6AART|79DUR|8RCR|9BPWR|aLHND
123	26223 16332	   	181.00	DCR|2VULN|1AART|2CDMG|2DUR	135FEWX|29VULN|49CDMG|6AART|79DUR|8RCR|9BPWR|aBEXP
124	26223 16333	   	181.00	DCR|2VULN|1AART|2CDMG|2DUR	135FEWX|29VULN|49CDMG|6AART|79DUR|8RCR|9BPWR|aMLV
125	26223 16336	   	181.00	DCR|2VULN|1AART|2CDMG|2DUR	135FEWX|29VULN|49CDMG|6AART|79DUR|8RCR|9BPWR|aLIT
126	33356 53113	 * 	181.00	DCR|2DMG|2ASPD|1VULN|1NUKE|2ZMB	1NUKE|2RMIN|37DMG|4VULN|57ASPD|67ZMB|7BPWR|8LWND|9RPLT|aRCR
127	33356 53213	   	181.00	DCR|2DMG|2ASPD|1VULN|1NUKE|2ZMB	1NUKE|2RMIN|37DMG|4VULN|57ASPD|67ZMB|7BPWR|8FEWX|9RPLT|aRCR
128	33352 43352	 * 	180.98	ACR|4VULN|2DMG|1NUKE|1CDMG	1NUKE|2RMIN|39DMG|478aVULN|5RCR|6CDMG
129	26223 16334	   	180.90	DCR|2VULN|1AART|2CDMG|2DUR|1MSE	135FEWX|29VULN|49CDMG|6AART|79DUR|8RCR|9BPWR|aMSE
130	11334 11263	   	180.89	DCR|2DMG|1VULN|1AART|1CDMG	1CGEN|2LWND|34ERES|57DMG|6RCR|8CDMG|9VULN|aAART
131	61252 24211	   	180.87	DCR|1AART|1VULN|1ASPD|1DMG|2DUR	12LIT|2BPWR|3DMG|4ASPD|58DUR|6RCR|7BEXP|9AART|aVULN
132	52334 11263	   	180.79	DCR|2DMG|1AART|1VULN|1CDMG	1LWND|2TLV|34ERES|57DMG|6RCR|8CDMG|9VULN|aAART
133	61222 21162	   	180.77	DCR|1VULN|1AART|1ASPD|1DMG|2DUR	12LIT|2BPWR|3DMG|4ERES|59DUR|6RCR|7AART|8VULN|aASPD
134	61316 21162	   	180.77	DCR|1VULN|1AART|1ASPD|1DMG|2DUR	12LIT|2BPWR|3ERES|49DUR|5DMG|6RCR|7AART|8VULN|aASPD
135	26223 14433	 * 	180.74	DCR|2VULN|3CDMG|1AART|1ZMB	135FEWX|28VULN|478CDMG|6AART|8BPWR|9ZMB|aRCR
136	13235 34242	 * 	180.71	DCR|1MDPS|2DMG|1VULN|2CDMG|1NUKE	1CGEN|24DMG|3MDPS|5LIT|6VULN|79CDMG|8RCR|aNUKE
137	22332 11656	 * 	180.62	DCR|2AART|2DMG|1VULN	1FEWX|2TLV|34ERES|57DMG|6RCR|89AART|aVULN
138	13322 45232	 * 	180.52	DCR|2DMG|1VULN|2CDMG|1AART	1CGEN|25DMG|3LHND|48CDMG|6AART|7LIT|9VULN|aRCR
139	13324 16363	   	180.25	DCR|3VULN|1DMG|1CDMG|1DUR	1CGEN|2DMG|3LHND|4CDMG|5DUR|68aVULN|7RPLT|9RCR
140	54121 33621	   	179.79	DCR|2VULN|1AART|1ASPD|1CDMG	16LWND|2AART|3CGEN|4CDMG|5ASPD|7aVULN|8RCR|9ERES
141	36126 53312	   	179.71	DCR|2VULN|1AART|1NUKE|1CDMG|2DUR|1ZMB	1NUKE|24DUR|34LIT|4BPWR|59VULN|6ZMB|7CDMG|8AART|aRCR
142	26451 21331	   	179.65	DCR|4VULN|1DMG|1DUR	1FEWX|2348VULN|5LEGI|6ERES|7DMG|9RCR|aDUR
143	36255 13312	   	179.61	DCR|2VULN|1AART|1NUKE|1CDMG|2DUR|1ZMB	1NUKE|26DUR|3ZMB|49VULN|5LIT|7CDMG|8AART|aRCR
144	26252 11251	   	179.28	DCR|3VULN|2DMG	13FEWX|249VULN|57DMG|6RCR|8BEXP|aLWND
145	26252 11252	   	179.28	DCR|3VULN|2DMG	13FEWX|249VULN|57DMG|6RCR|8BEXP|aMLV
146	26252 11253	   	179.28	DCR|3VULN|2DMG	13FEWX|249VULN|57DMG|6RCR|8BEXP|aRPLT
147	26452 11131	   	179.28	DCR|3VULN|2DMG	19FEWX|234VULN|57DMG|6RCR|8aLWND
148	26452 11231	   	179.28	DCR|3VULN|2DMG	19FEWX|234VULN|57DMG|6RCR|8BEXP|aLWND
149	26452 11232	   	179.28	DCR|3VULN|2DMG	19FEWX|234VULN|57DMG|6RCR|8BEXP|aMLV
150	26452 11233	   	179.28	DCR|3VULN|2DMG	19FEWX|234VULN|57DMG|6RCR|8BEXP|aRPLT
151	24162 21362	   	179.23	DCR|2VULN|2DMG|1AART	13FEWX|2DMSP|48VULN|57DMG|6LWND|9RCR|aAART
152	26252 21162	   	179.23	DCR|2VULN|2DMG|1AART	13FEWX|24VULN|57DMG|68LWND|9RCR|aAART
153	13235 34225	 * 	179.20	DCR|3DMG|1MDPS|1VULN|1CDMG|1ZMB	1CGEN|249DMG|3MDPS|5LIT|6VULN|7CDMG|8RCR|aZMB
154	24426 33213	   	179.18	DCR|3VULN|2DMG|1MDPS	1FEWX|2DMSP|35DMG|4MDPS|6RCR|78aVULN|9BEXP
155	24652 11123	   	179.18	DCR|3VULN|2DMG	1FEWX|2DMSP|34aVULN|57DMG|6RCR|8LWND|9ERES
156	24652 11223	   	179.18	DCR|3VULN|2DMG	1FEWX|2DMSP|34aVULN|57DMG|6RCR|8BEXP|9ERES
157	26252 11123	   	179.18	DCR|3VULN|2DMG	13FEWX|24aVULN|57DMG|6RCR|8LWND|9ERES
158	26252 11223	   	179.18	DCR|3VULN|2DMG	13FEWX|24aVULN|57DMG|6RCR|8BEXP|9ERES
159	26252 11531	   	179.18	DCR|3VULN|2DMG	13FEWX|24aVULN|57DMG|6RCR|8BASARM|9LHND
160	26452 11111	   	179.18	DCR|3VULN|2DMG	1FEWX|234VULN|57DMG|6RCR|8LWND|9RPLT|aCANARM
161	26452 11122	   	179.18	DCR|3VULN|2DMG	1FEWX|234VULN|57DMG|6RCR|8LWND|9ERES|aLHND
162	26452 11211	   	179.18	DCR|3VULN|2DMG	1FEWX|234VULN|57DMG|6RCR|8BEXP|9RPLT|aCANARM
163	26452 11222	   	179.18	DCR|3VULN|2DMG	1FEWX|234VULN|57DMG|6RCR|8BEXP|9ERES|aLHND
164	33552 11251	 * 	179.18	DCR|3VULN|2DMG|1NUKE	1NUKE|2RMIN|349VULN|57DMG|6RCR|8FEWX|aLWND
165	33552 11252	   	179.18	DCR|3VULN|2DMG|1NUKE	1NUKE|2RMIN|349VULN|57DMG|6RCR|8FEWX|aMLV
166	33552 11253	   	179.18	DCR|3VULN|2DMG|1NUKE	1NUKE|2RMIN|349VULN|57DMG|6RCR|8FEWX|aRPLT
167	13325 43364	   	179.17	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1CGEN|2DMG|3LHND|46CDMG|5MBVNT|7RCR|8AART|9ZMB|aVULN
168	26224 25332	   	179.09	DCR|2DMG|1VULN|1AART|1CDMG	13FEWX|2VULN|4CDMG|5AART|6BEXP|7RCR|8LWND|9aDMG
169	26224 35232	   	179.09	DCR|2DMG|1VULN|1AART|1CDMG	13FEWX|2VULN|4CDMG|5AART|6LWND|7RCR|8BEXP|9aDMG
170	33552 11123	   	179.08	DCR|3VULN|2DMG|1NUKE	1NUKE|2RMIN|34aVULN|57DMG|6RCR|8LWND|9ERES
171	33552 11223	   	179.08	DCR|3VULN|2DMG|1NUKE	1NUKE|2RMIN|34aVULN|57DMG|6RCR|8FEWX|9ERES
172	33552 11423	   	179.08	DCR|3VULN|2DMG|1NUKE	1NUKE|2RMIN|34aVULN|57DMG|6RCR|8BEXP|9ERES
173	33552 11531	   	179.08	DCR|3VULN|2DMG|1NUKE	1NUKE|2RMIN|34aVULN|57DMG|6RCR|8BASARM|9LHND
174	54333 63211	   	179.06	DCR|1AART|1VULN|1ASPD|1CDMG|2ZMB	1LWND|2AART|35VENFST|45ZMB|5BPWR|6RCR|7CDMG|8RCVC|9VULN|aASPD
175	13332 23436	   	179.02	DCR|2VULN|2DMG|1ASPD	1CGEN|2aDMG|3LHND|4ERES|5aVULN|6ASPD|7aDUST|8RCR|9RCVC|aBPWR
176	33524 25332	 * 	178.99	DCR|2DMG|1VULN|1AART|1NUKE|1CDMG	1NUKE|2RMIN|3VULN|4CDMG|5AART|6BEXP|7RCR|8LWND|9aDMG
177	33524 35232	   	178.99	DCR|2DMG|1VULN|1AART|1NUKE|1CDMG	1NUKE|2RMIN|3VULN|4CDMG|5AART|6LWND|7RCR|8BEXP|9aDMG
