0	Index      	 *	Score 	Summary	Detail	
1	13444 31221	 * 	211.40	DCR|3VULN|2AART|1MDPS|1CDMG|1DUR	1AME|26AART|3CDMG|479VULN|5DUR|8RCR|aMDPS
84	13651 31252	   	192.65	DCR|2ASPD|1AART|1DMG|1CDMG|1ZMB|1DUR	1AME|2AART|3DUR|4DMG|5CDMG|6RCR|7RPLT|89ASPD|aZMB
85	34321 32512	 * 	191.98	DCR|3VULN|1SPLARM|1AART|1CDMG	1FEWX|257VULN|36DUST|4CDMG|8RCR|9SPLARM|aAART
86	13651 31221	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AME|2AART|3DUR|4DMG|5CDMG|6RCR|7RPLT|8ASPD|9RMIN|aVULN
87	13651 31211	   	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AME|2AART|3DUR|4DMG|5CDMG|6RCR|7RPLT|8ASPD|9ERES|aVULN
88	34251 43122	 * 	191.69	DCR|3DMG|1VULN|1ASPD|3DUR|1AAC	17aFEWX|2VULN|37aDMG|4ASPD|5CGEN|67aDUR|7aBPWR|8RCR|9AAC
89	13622 56132	   	191.68	DCR|3VULN|1AART|1DMG|1DUR	1AME|2AART|3DUR|4DLOT|5DMG|69aVULN|7RCR|8BEXP
90	13622 56332	   	191.68	DCR|3VULN|1AART|1DMG|1DUR	1AME|2AART|3DUR|4DLOT|5DMG|69aVULN|7RCR|8LWND
91	35341 21431	 * 	191.42	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG	1FEWX|29DMG|35RCVC|4AART|6RCR|7VULN|8CDMG|aMDPS
92	34253 43132	   	191.26	DCR|2VULN|2DMG|1ASPD|2DUR	17aFEWX|27VULN|3aDMG|4ASPD|5RMIN|67DUR|7aBPWR|8RCR|9aERES
93	61423 23622	 * 	190.97	DCR|4VULN|2DMG|1AAC	1AAC|2RCVC|3578VULN|47DMG|67FEWX|7BPWR|9RPLT|aRCR
94	31323 13166	   	190.94	DCR|2VULN|2DMG|1AART|1DUR	167FEWX|2TLV|3RCVC|47DMG|57VULN|7BPWR|8AART|9RCR|aDUR
95	35513 23314	 * 	190.71	ACR|4VULN|2DMG|1AART	167FEWX|29DMG|3789VULN|4RCR|579DUST|79BPWR|aAART
96	13443 61233	   	190.65	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|2AART|3CDMG|47VULN|5RCVC|6BEXP|8RCR|9DMG|aDUR
97	13523 11233	   	190.65	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|2AART|3LHND|4CDMG|5RCVC|67VULN|8RCR|9DMG|aDUR
98	13443 13233	   	190.65	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|2AART|3CDMG|46VULN|5RCVC|7LHND|8RCR|9DMG|aDUR
99	13651 31134	   	190.15	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1AME|2AART|3DUR|48DMG|5CDMG|6RCR|7RPLT|9RCVC|aVULN
100	13656 31132	   	190.05	DCR|2VULN|2AART|1DMG|1DUR	1AME|27AART|3DUR|4DMG|5aVULN|6RCVC|8RCR|9CGEN
101	16521 24133	 * 	189.70	DCR|3VULN|2CDMG|1DMG|1ZMB	1AME|23aVULN|4DMG|56CDMG|7ZMB|8FEWX|9RCR
102	16521 24233	   	189.70	DCR|3VULN|2CDMG|1DMG|1ZMB	1AME|23aVULN|4DMG|56CDMG|7ZMB|8LHND|9RCR
103	16521 24333	   	189.70	DCR|3VULN|2CDMG|1DMG|1ZMB	1AME|23aVULN|4DMG|56CDMG|7ZMB|8LWND|9RCR
104	13443 11151	 * 	189.61	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1AME|2AART|3CDMG|46VULN|5RCVC|7ERES|8ASPD|9RCR|aMDPS
105	35341 21422	   	189.58	DCR|2VULN|1AART|1DMG|1CDMG	1aFEWX|2DMG|35RCVC|4AART|6RCR|79VULN|8CDMG
106	16321 42313	   	189.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|27VULN|3RCVC|4DMG|5CDMG|6FEWX|8AART|9RCR|aDUR
107	16321 51313	   	189.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|26VULN|3RCVC|4DMG|5CDMG|7BEXP|8AART|9RCR|aDUR
108	16321 56213	   	189.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|26VULN|3RCVC|4DMG|5CDMG|7AART|8BEXP|9RCR|aDUR
109	16323 41313	   	189.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|25VULN|3RCVC|4DMG|6CDMG|7BEXP|8AART|9RCR|aDUR
110	16323 46213	   	189.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|25VULN|3RCVC|4DMG|6CDMG|7AART|8BEXP|9RCR|aDUR
111	16351 42313	   	189.51	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1AME|27VULN|3RCVC|4ASPD|5CDMG|6FEWX|8AART|9RCR|aDUR
112	16351 51313	   	189.51	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1AME|26VULN|3RCVC|4ASPD|5CDMG|7BEXP|8AART|9RCR|aDUR
113	16353 41313	   	189.51	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1AME|25VULN|3RCVC|4ASPD|6CDMG|7BEXP|8AART|9RCR|aDUR
114	34212 34224	 * 	189.50	ACR|3VULN|2AART|1DMG|1CDMG	1FEWX|289VULN|3DMG|4RCR|5LWND|6CDMG|7aAART
115	13443 51221	   	189.48	DCR|3VULN|1MDPS|1AART|1CDMG	1AME|2AART|3CDMG|479VULN|5RCVC|6LWND|8RCR|aMDPS
116	13443 61221	   	189.48	DCR|3VULN|1MDPS|1AART|1CDMG	1AME|2AART|3CDMG|479VULN|5RCVC|6BEXP|8RCR|aMDPS
117	16321 12313	   	189.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|27VULN|3RCVC|4DMG|5CDMG|6DUST|8AART|9RCR|aDUR
118	16321 53313	   	189.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|26VULN|3RCVC|4DMG|5CDMG|7DUST|8AART|9RCR|aDUR
119	16323 43313	   	189.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|25VULN|3RCVC|4DMG|6CDMG|7DUST|8AART|9RCR|aDUR
120	16351 12313	   	189.41	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1AME|27VULN|3RCVC|4ASPD|5CDMG|6DUST|8AART|9RCR|aDUR
121	16351 53313	   	189.41	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1AME|26VULN|3RCVC|4ASPD|5CDMG|7DUST|8AART|9RCR|aDUR
122	16353 43313	   	189.41	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1AME|25VULN|3RCVC|4ASPD|6CDMG|7DUST|8AART|9RCR|aDUR
123	13651 31151	   	189.40	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1AME|2AART|3DUR|48DMG|5CDMG|6RCR|7RPLT|9LHND|aVULN
124	34212 34234	 * 	189.26	ACR|2VULN|2AART|2DMG|1CDMG	1FEWX|28VULN|39DMG|4RCR|5LWND|6CDMG|7aAART
125	34231 43152	   	189.23	DCR|3VULN|2DMG|2DUR	17aFEWX|247VULN|3aDMG|5BEXP|67DUR|7aBPWR|8RCR|9aAME
126	32341 21421	   	189.22	DCR|2VULN|1MDPS|1AART|1CDMG|1ZMB	1FEWX|2ZMB|35RCVC|4AART|6RCR|79VULN|8CDMG|aMDPS
127	42341 21221	   	189.22	DCR|2VULN|1MDPS|1AART|1CDMG|1ZMB	1LWND|2ZMB|35RCVC|4AART|6RCR|79VULN|8CDMG|aMDPS
128	13365 21221	   	189.16	DCR|2VULN|2AART|1MDPS|1CDMG	1AME|24AART|3ERES|5MLV|6RCR|79VULN|8CDMG|aMDPS
129	13366 21221	   	189.16	DCR|2VULN|2AART|1MDPS|1CDMG	1AME|24AART|3ERES|5CGEN|6RCR|79VULN|8CDMG|aMDPS
130	13444 32233	   	189.13	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	17AME|26AART|3CDMG|4VULN|5aDUR|8RCR|9DMG
131	13444 33233	   	189.13	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	1AME|26AART|3CDMG|4VULN|5aDUR|7DMSP|8RCR|9DMG
132	34233 43152	   	189.13	DCR|3VULN|2DMG|2DUR	17aFEWX|247VULN|3aDMG|5DUST|67DUR|7aBPWR|8RCR|9aAME
133	61443 21123	   	189.06	DCR|2VULN|2DMG|1AART|1AAC	1AAC|2RCVC|3aVULN|4AART|5LWND|6RCR|7aLHND|8aDMG|9RMIN|aBPWR
134	34231 43132	   	189.03	DCR|3VULN|2DMG|2DUR	17aFEWX|247VULN|3aDMG|5BEXP|67DUR|7aBPWR|8RCR|9aERES
135	35531 43132	   	189.03	DCR|3VULN|2DMG|2DUR	17aFEWX|27DMG|34aVULN|5BEXP|67DUR|7aBPWR|8RCR|9aERES
136	34233 43132	   	188.93	DCR|3VULN|2DMG|2DUR	17aFEWX|247VULN|3aDMG|5DUST|67DUR|7aBPWR|8RCR|9aERES
137	35533 43132	   	188.93	DCR|3VULN|2DMG|2DUR	17aFEWX|27DMG|34aVULN|5DUST|67DUR|7aBPWR|8RCR|9aERES
138	16521 62312	   	188.55	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AME|23VULN|4DMG|5CDMG|6ZMB|7RMIN|8AART|9RCR|aRCVC
139	13551 35133	   	188.42	DCR|2DMG|1VULN|2CDMG|1AART	1AME|2AART|3LHND|49DMG|58CDMG|6RCR|7ERES|aVULN
140	34121 21431	 * 	188.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1FEWX|25VULN|3LWND|4CDMG|6DMG|7AME|8aASPD|9RCR
141	34121 26431	   	188.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1FEWX|25VULN|3LWND|4CDMG|6DMG|7MLV|8aASPD|9RCR
142	34621 21431	   	188.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1FEWX|25VULN|3BEXP|4CDMG|6DMG|7AME|8aASPD|9RCR
143	44221 21431	   	188.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1LWND|25VULN|3FEWX|4CDMG|6DMG|7AME|8aASPD|9RCR
144	34321 21431	   	188.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1FEWX|25VULN|3DUST|4CDMG|6DMG|7AME|8aASPD|9RCR
145	44321 21431	   	188.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1LWND|25VULN|3DUST|4CDMG|6DMG|7AME|8aASPD|9RCR
146	16521 62313	   	188.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AME|23VULN|4DMG|5CDMG|6ZMB|7RMIN|8AART|9RCR|aDMSP
147	34121 26333	   	188.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|25VULN|3LWND|4CDMG|6DMG|7MLV|8ZMB|9RCR|aAART
148	44221 26333	   	188.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|25VULN|3FEWX|4CDMG|6DMG|7MLV|8ZMB|9RCR|aAART
149	13525 11233	   	188.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|2AART|35LHND|4CDMG|67VULN|8RCR|9DMG|aDUR
150	34233 12431	   	188.19	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1FEWX|24VULN|3DMG|5DUST|6AAC|7CDMG|8aASPD|9RCR
151	35533 12431	   	188.19	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1FEWX|2DMG|34VULN|5DUST|6AAC|7CDMG|8aASPD|9RCR
152	44321 26333	   	188.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|25VULN|3DUST|4CDMG|6DMG|7MLV|8ZMB|9RCR|aAART
153	16521 62311	   	188.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AME|23VULN|4DMG|5CDMG|6ZMB|7RMIN|8AART|9RCR|aDUST
154	32341 21433	   	187.84	DCR|1VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|35RCVC|4AART|6RCR|7VULN|8CDMG|9DMG|aDUR
155	13365 21233	   	187.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1AME|24AART|3ERES|5MLV|6RCR|7VULN|8CDMG|9DMG|aDUR
156	13366 21233	   	187.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1AME|24AART|3ERES|5CGEN|6RCR|7VULN|8CDMG|9DMG|aDUR
157	13443 53221	   	187.72	DCR|2VULN|2AART|1MDPS|1CDMG	1AME|27AART|3CDMG|49VULN|5RCVC|6LWND|8RCR|aMDPS
158	42321 56331	   	187.72	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1MSE	1LWND|2ZMB|3RCVC|4DMG|5CDMG|68VULN|7ASPD|9RCR|aMSE
159	42321 56332	   	187.72	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2ZMB|3RCVC|4DMG|5CDMG|68VULN|7ASPD|9RCR|aDUST
160	65121 32123	   	187.68	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2ASPD|3CGEN|4DMG|5MBVNT|6VULN|7CDMG|8RCR|9AART|aDUR
161	31235 25151	   	187.63	DCR|2VULN|1AART|1ASPD|1DMG	1FEWX|2TLV|3LHND|4aVULN|5AART|6RCVC|7RCR|8DMG|9ASPD
162	31623 13166	   	187.53	DCR|2VULN|2DMG|1AART|1DUR	167FEWX|23TLV|47DMG|57VULN|7BPWR|8AART|9RCR|aDUR
163	21261 51114	 * 	187.42	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	1MDPS|26LHND|35DMG|45VULN|5BPWR|7RCVC|8RCR|9DUR|aASPD
164	32341 21423	   	187.28	DCR|2VULN|1AART|2CDMG|1ZMB	1FEWX|2ZMB|35RCVC|4AART|6RCR|79VULN|8aCDMG
