0	Index      	 *	Score 	Summary	Detail	
1	51365 33121	 * 	287.29	橙4易伤3矿等1攻速	149a易伤2攻速39a基地爆炸5双倍秒伤6核79a矿等8赏金邻近9a序列升级
60	16233 51351	   	259.01	橙橙1易伤1矿等1技能	1雷电2技能3最后敌人4易伤5掉矿68核7毒液对冰9矿等a敌人爆炸
61	15333 51351	   	258.91	橙橙1易伤1矿等1技能	1雷电2挖青3技能4易伤5掉矿68核7毒液对冰9矿等a敌人爆炸
62	16113 51352	   	258.91	橙橙1易伤1矿等1技能	1雷电2技能3易伤4敌人爆炸5掉矿68核7毒液对冰9矿等a基地爆炸
63	16123 51352	   	258.91	橙橙1易伤1矿等1技能	1雷电2技能3易伤4低血量敌人5掉矿68核7毒液对冰9矿等a挖尘
64	16123 51353	   	258.91	橙橙1易伤1矿等1技能	1雷电2技能3易伤4低血量敌人5掉矿68核7毒液对冰9矿等a雷电减费
65	16233 51352	   	258.91	橙橙1易伤1矿等1技能	1雷电2技能3最后敌人4易伤5掉矿68核7毒液对冰9矿等a挖尘
66	16233 51353	   	258.91	橙橙1易伤1矿等1技能	1雷电2技能3最后敌人4易伤5掉矿68核7毒液对冰9矿等a雷电减费
67	16162 51323	   	258.89	橙橙1易伤1伤害1技能	1雷电2技能3易伤4时间5技能点68核7毒液对冰9低血量敌人a伤害
68	15333 51352	   	258.81	橙橙1易伤1矿等1技能	1雷电2挖青3技能4易伤5掉矿68核7毒液对冰9矿等a挖尘
69	15333 51353	   	258.81	橙橙1易伤1矿等1技能	1雷电2挖青3技能4易伤5掉矿68核7毒液对冰9矿等a雷电减费
70	16163 51323	   	258.79	橙橙1易伤1伤害1技能	1雷电2技能3易伤4时间5掉矿68核7毒液对冰9低血量敌人a伤害
71	16262 51313	   	258.79	橙橙1易伤1伤害1技能	1雷电2技能3最后敌人4时间5技能点68核7基础对甲9易伤a伤害
72	22224 42226	   	258.73	橙橙1易伤1矿等	1时间2矿等3金币生成4全技能5额外掉落6赏金塔7风暴减费8易伤9a核
73	15362 51313	   	258.69	橙橙1易伤1伤害1技能	1雷电2挖青3技能4时间5技能点68核7基础对甲9易伤a伤害
74	16263 51313	   	258.69	橙橙1易伤1伤害1技能	1雷电2技能3最后敌人4时间5掉矿68核7基础对甲9易伤a伤害
75	62332 51313	   	258.69	橙橙1易伤1伤害1技能	1技能2时间3基地爆炸4雷电5技能点68核7基础对甲9易伤a伤害
76	15363 51313	   	258.59	橙橙1易伤1伤害1技能	1雷电2挖青3技能4时间5掉矿68核7基础对甲9易伤a伤害
77	62333 51313	   	258.59	橙橙1易伤1伤害1技能	1技能2时间3基地爆炸4雷电5掉矿68核7基础对甲9易伤a伤害
78	21512 15134	   	258.05	橙橙1等级1伤害1攻速	1时间2攻速3烈焰减费45立即金币6a核7等级8伤害9基地爆炸
79	21513 15134	   	257.95	橙橙1等级1伤害1攻速	1时间2攻速3烈焰减费4立即金币5毒气减费6a核7等级8伤害9基地爆炸
80	56222 43622	   	257.83	橙3易伤1等级1矿等1暴击1核弹	158易伤2加一3暴击4技能点6等级7矿等9核a核弹
81	51563 31233	 * 	257.39	橙2易伤2等级2攻速1矿等	14易伤24攻速3赏金邻近4序列升级5矿等6暴雪减费7a等级8挖尘9核
