0	Index      	 *	Score 	Summary	Detail	
1	22111 26235	 * 	214.26	4VULN|3DMG|3ASPD|1BASARM	169aVULN|2RMIN|3FEWX|49aDMG|56LWND|69aBPWR|7BASARM|89aASPD
64	23463 11362	   	192.58	ACR|2DMG|1VULN|1AART|1ASPD|1BEXP	1VULN|2TLV|3CGEN|4AART|5RCR|68DMG|7ASPD|9FEWX|aBEXP
65	33463 11212	   	192.58	ACR|2DMG|1VULN|1AART|1ASPD|1BEXP	1LWND|2AEMAG|3VULN|4AART|5RCR|6aDMG|7ASPD|8CGEN|9BEXP
66	33463 11522	   	192.58	ACR|2DMG|1VULN|1AART|1ASPD|1BEXP	1LWND|2AEMAG|3VULN|4AART|5RCR|6aDMG|7ASPD|8BEXP|9MLV
67	13463 11312	   	192.48	ACR|2DMG|1VULN|1AART|1ASPD|1BEXP	1LHND|2AEMAG|3VULN|4AART|5RCR|6aDMG|7ASPD|8NUKE|9BEXP
68	23363 11212	   	192.48	ACR|2DMG|1VULN|1AART|1ASPD|1BEXP	1VULN|2TLV|3AME|4AART|5RCR|6aDMG|7ASPD|8CGEN|9BEXP
69	33463 11312	   	192.48	ACR|2DMG|1VULN|1AART|1ASPD|1BEXP	1LWND|2AEMAG|3VULN|4AART|5RCR|6aDMG|7ASPD|8NUKE|9BEXP
70	23363 11312	   	192.38	ACR|2DMG|1VULN|1AART|1ASPD|1BEXP	1VULN|2TLV|3AME|4AART|5RCR|6aDMG|7ASPD|8NUKE|9BEXP
71	46335 22223	 * 	192.29	ACR|2DMG|1ASPD|2CDMG|1BASICY|1BEXP	1FLTARM|26CDMG|3RPLT|46DMG|5RCR|6BPWR|7BEXP|8ASPD|9LIT|aBASICY
72	56335 22223	   	192.29	ACR|2DMG|1ASPD|2CDMG|1BASICY|1BEXP	1VENFST|26CDMG|3RPLT|46DMG|5RCR|6BPWR|7BEXP|8ASPD|9LIT|aBASICY
73	26312 32536	 * 	191.77	DCR|4VULN|3ASPD|3BEXP	1479VULN|2MSLREG|3MDPS|579BEXP|679ASPD|79BPWR|8RCVC|aRCR
74	23363 62225	   	191.73	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG	16VULN|2TLV|3AME|4AART|5RCR|7RCVC|8DMG|9ASPD|aCDMG
75	46432 12213	 * 	191.56	ACR|2VULN|3CDMG|1ASPD|1AART|1BEXP	149FLTARM|249CDMG|3MDPS|49BPWR|5RCR|6BEXP|7ASPD|89VULN|aAART
76	56432 12213	   	191.56	ACR|2VULN|3CDMG|1ASPD|1AART|1BEXP	149VENFST|249CDMG|3MDPS|49BPWR|5RCR|6BEXP|7ASPD|89VULN|aAART
77	13323 14132	   	189.83	ACR|2BEXP|1VULN|1AART|1ASPD|1DMG	18LHND|2AEMAG|3AART|4aBEXP|5RCR|6DMG|7VULN|9ASPD
78	13323 62132	   	189.83	ACR|2BEXP|1VULN|1AART|1ASPD|1DMG	18LHND|2AEMAG|3AART|4aBEXP|5RCR|6VULN|7DMG|9ASPD
79	13323 11513	   	189.73	ACR|2BEXP|1AART|1ASPD|1DMG|1VULN	1LHND|2AEMAG|3AART|48BEXP|5RCR|6DMG|7ASPD|9MDPS|aVULN
80	33323 11513	   	189.73	ACR|2BEXP|1AART|1ASPD|1DMG|1VULN	1LWND|2AEMAG|3AART|48BEXP|5RCR|6DMG|7ASPD|9MDPS|aVULN
81	13323 14632	   	189.73	ACR|2BEXP|1VULN|1AART|1DMG|1ASPD	1LHND|2AEMAG|3AART|4aBEXP|5RCR|6DMG|7VULN|8AEFBLL|9ASPD
82	13323 62632	   	189.73	ACR|2BEXP|1VULN|1AART|1DMG|1ASPD	1LHND|2AEMAG|3AART|4aBEXP|5RCR|6VULN|7DMG|8AEFBLL|9ASPD
83	33323 14632	   	189.73	ACR|2BEXP|1VULN|1AART|1DMG|1ASPD	1LWND|2AEMAG|3AART|4aBEXP|5RCR|6DMG|7VULN|8AEFBLL|9ASPD
84	33323 32632	   	189.73	ACR|2BEXP|1VULN|1AART|1DMG|1ASPD	1LWND|2AEMAG|3AART|4aBEXP|5RCR|6VULN|7DMG|8AEFBLL|9ASPD
85	23363 14125	   	189.52	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG	17VULN|2TLV|3AME|4AART|5RCR|6DMG|8DMSP|9ASPD|aCDMG
86	13463 11214	 * 	189.45	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1LHND|2AEMAG|3VULN|4aAART|5RCR|6DMG|7ASPD|8CGEN|9BEXP
87	33463 11214	   	189.45	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|3VULN|4aAART|5RCR|6DMG|7ASPD|8CGEN|9BEXP
88	13463 11314	   	189.35	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1LHND|2AEMAG|3VULN|4aAART|5RCR|6DMG|7ASPD|8NUKE|9BEXP
89	13463 11511	   	189.35	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1LHND|2AEMAG|3VULN|4aAART|5RCR|6DMG|7ASPD|8BEXP|9MSLFST
90	23363 11214	   	189.35	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1VULN|2TLV|3AME|4aAART|5RCR|6DMG|7ASPD|8CGEN|9BEXP
91	23463 11531	   	189.35	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1VULN|2TLV|3CGEN|4aAART|5RCR|6DMG|7ASPD|8BEXP|9MULARM
92	23663 11214	   	189.35	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1VULN|2TLV|3ERES|4aAART|5RCR|6DMG|7ASPD|8CGEN|9BEXP
93	33463 11314	   	189.35	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|3VULN|4aAART|5RCR|6DMG|7ASPD|8NUKE|9BEXP
94	33463 11511	   	189.35	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|3VULN|4aAART|5RCR|6DMG|7ASPD|8BEXP|9MSLFST
95	23363 11314	   	189.25	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1VULN|2TLV|3AME|4aAART|5RCR|6DMG|7ASPD|8NUKE|9BEXP
96	23363 11531	   	189.25	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1VULN|2TLV|3AME|4aAART|5RCR|6DMG|7ASPD|8BEXP|9MULARM
97	23663 11314	   	189.25	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1VULN|2TLV|3ERES|4aAART|5RCR|6DMG|7ASPD|8NUKE|9BEXP
98	23663 11531	   	189.25	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1VULN|2TLV|3ERES|4aAART|5RCR|6DMG|7ASPD|8BEXP|9MULARM
99	13463 15132	   	188.83	ACR|1VULN|2BEXP|1AART|1ASPD|1DMG	18LHND|2AEMAG|3VULN|4AART|5RCR|6DMG|7aBEXP|9ASPD
100	13463 35332	   	188.83	ACR|1VULN|2BEXP|1AART|1ASPD|1DMG	16LHND|2AEMAG|3VULN|4AART|5RCR|7aBEXP|8DMG|9ASPD
101	33463 25332	   	188.83	ACR|1VULN|2BEXP|1AART|1ASPD|1DMG	16LWND|2AEMAG|3VULN|4AART|5RCR|7aBEXP|8DMG|9ASPD
102	23363 11541	   	188.73	ACR|1VULN|2BEXP|1AART|1ASPD|1DMG	1VULN|2TLV|3AME|4AART|5RCR|6DMG|7ASPD|89BEXP|aZMB
103	13313 25324	 * 	188.72	ACR|1BASARM|1VULN|1AART|1DMG	1LHND|2AEMAG|3AART|4DUR|5RCR|6LWND|7VULN|8BASARM|9LIT|aDMG
104	33313 55324	   	188.72	ACR|1BASARM|1VULN|1AART|1DMG	1LWND|2AEMAG|3AART|4DUR|5RCR|6LHND|7VULN|8BASARM|9LIT|aDMG
105	23363 16511	   	188.71	ACR|2VULN|2BEXP|1AART|1DMG|1AAC	19VULN|29TLV|3AME|4AART|5RCR|6DMG|7AAC|89BEXP|9BPWR|aZMB
106	13323 11531	 * 	188.65	ACR|2DMG|2BEXP|1AART|1ASPD	1LHND|2AEMAG|3AART|48BEXP|5RCR|6aDMG|7ASPD|9LIT
107	33323 11531	   	188.65	ACR|2DMG|2BEXP|1AART|1ASPD	1LWND|2AEMAG|3AART|48BEXP|5RCR|6aDMG|7ASPD|9LIT
108	13323 11255	 * 	188.65	ACR|2ASPD|2BEXP|1AART|1DMG	1LHND|2AEMAG|3AART|4aBEXP|5RCR|6DMG|79ASPD|8CGEN
109	23463 11413	   	188.64	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP|1CDMG	1VULN|2TLV|3CGEN|4AART|5RCR|6DMG|7ASPD|8CDMG|9LIT|aBEXP
110	23363 11543	   	188.63	ACR|1VULN|2BEXP|1AART|1ASPD|1DMG	1VULN|2TLV|3AME|4AART|5RCR|6DMG|7ASPD|89BEXP|aERES
111	23363 15632	   	188.63	ACR|1VULN|2BEXP|1AART|1ASPD|1DMG	1VULN|2TLV|3AME|4AART|5RCR|6DMG|7aBEXP|8AEMAG|9ASPD
112	13323 65331	   	188.62	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LHND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9ASPD|aZMB
113	13323 65335	   	188.62	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LHND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9ASPD|aRMIN
114	13323 65352	   	188.62	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LHND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9DUR|aASPD
115	33323 35331	   	188.62	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9ASPD|aZMB
116	33323 35335	   	188.62	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9ASPD|aRMIN
117	33323 35352	   	188.62	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9DUR|aASPD
118	23363 16513	   	188.61	ACR|2VULN|2BEXP|1AART|1DMG|1AAC	19VULN|29TLV|3AME|4AART|5RCR|6DMG|7AAC|89BEXP|9BPWR|aERES
119	13323 11355	   	188.55	ACR|2ASPD|2BEXP|1AART|1DMG	1LHND|2AEMAG|3AART|4aBEXP|5RCR|6DMG|79ASPD|8NUKE
120	13323 41355	   	188.55	ACR|2ASPD|2BEXP|1AART|1DMG	1LHND|2AEMAG|3AART|4aBEXP|5RCR|6ERES|79ASPD|8DMG
121	23363 11442	   	188.54	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP|1CDMG	1VULN|2TLV|3AME|4AART|5RCR|6DMG|7ASPD|8CDMG|9FEWX|aBEXP
122	13323 65322	   	188.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LHND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9DUST|aASPD
123	13323 65333	   	188.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LHND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9ASPD|aERES
124	13323 65334	   	188.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LHND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9ASPD|aDUST
125	13323 65342	   	188.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LHND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9LEGI|aASPD
126	33323 35322	   	188.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9DUST|aASPD
127	33323 35333	   	188.52	ACR|2VULN|1AART|1DMG|1ASPD|1BEXP	1LWND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9ASPD|aERES
128	33323 35334	   	188.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9ASPD|aDUST
129	33323 35342	   	188.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|3AART|4BEXP|5RCR|67VULN|8DMG|9LEGI|aASPD
130	23363 11535	   	188.44	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP|1CDMG	1VULN|2TLV|3AME|4AART|5RCR|6DMG|7ASPD|8BEXP|9MULARM|aCDMG
131	23463 11112	   	187.82	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	19VULN|2TLV|39CGEN|4AART|5RCR|6DMG|7ASPD|89DUR|9BPWR|aBEXP
132	23463 11612	   	187.82	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	19VULN|2TLV|39CGEN|4AART|5RCR|6DMG|7ASPD|89FEWX|9BPWR|aBEXP
133	23363 11112	   	187.62	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	19VULN|2TLV|39AME|4AART|5RCR|6DMG|7ASPD|89DUR|9BPWR|aBEXP
134	23363 11612	   	187.62	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	19VULN|2TLV|39AME|4AART|5RCR|6DMG|7ASPD|89FEWX|9BPWR|aBEXP
135	23663 11112	   	187.62	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	19VULN|2TLV|39ERES|4AART|5RCR|6DMG|7ASPD|89DUR|9BPWR|aBEXP
136	23663 11612	   	187.62	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	19VULN|2TLV|39ERES|4AART|5RCR|6DMG|7ASPD|89FEWX|9BPWR|aBEXP
137	33463 33324	   	187.62	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|36VULN|4AART|5RCR|7RPLT|8BEXP|9ASPD|aDMG
138	33463 35331	   	187.62	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|36VULN|4AART|5RCR|7BEXP|8DMG|9ASPD|aZMB
139	13463 14212	   	187.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LHND|2AEMAG|37VULN|4AART|5RCR|6DMG|8DUST|9BEXP|aASPD
140	23363 14612	   	187.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	17VULN|2TLV|3AME|4AART|5RCR|6DMG|8LWND|9BEXP|aASPD
141	23363 63324	   	187.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	16VULN|2TLV|3AME|4AART|5RCR|7RPLT|8BEXP|9ASPD|aDMG
142	23363 65331	   	187.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	16VULN|2TLV|3AME|4AART|5RCR|7BEXP|8DMG|9ASPD|aZMB
143	23463 14212	   	187.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	17VULN|2TLV|3CGEN|4AART|5RCR|6DMG|8DUST|9BEXP|aASPD
144	23663 11211	   	187.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1aVULN|2TLV|3ERES|4AART|5RCR|6DMG|7ASPD|8CGEN|9BEXP
145	33463 14212	   	187.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|37VULN|4AART|5RCR|6DMG|8DUST|9BEXP|aASPD
146	33463 35322	   	187.52	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	1LWND|2AEMAG|36VULN|4AART|5RCR|7BEXP|8DMG|9DUST|aASPD
147	33463 35333	   	187.52	ACR|2VULN|1AART|1DMG|1ASPD|1BEXP	1LWND|2AEMAG|36VULN|4AART|5RCR|7BEXP|8DMG|9ASPD|aERES
148	13323 62463	   	187.46	ACR|2DMG|2BEXP|1VULN|1AART	18LHND|28AEMAG|3AART|4aBEXP|5RCR|6VULN|78DMG|8BPWR|9LIT
149	33323 32463	   	187.46	ACR|2DMG|2BEXP|1VULN|1AART	18LWND|28AEMAG|3AART|4aBEXP|5RCR|6VULN|78DMG|8BPWR|9LIT
150	23363 14212	   	187.42	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	17VULN|2TLV|3AME|4AART|5RCR|6DMG|8DUST|9BEXP|aASPD
151	23363 65322	   	187.42	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	16VULN|2TLV|3AME|4AART|5RCR|7BEXP|8DMG|9DUST|aASPD
152	23363 65333	   	187.42	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP	16VULN|2TLV|3AME|4AART|5RCR|7BEXP|8DMG|9ASPD|aERES
