0	Index      	 *	Score 	Summary	Detail	
1	11232 11553	 * 	229.72	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1AAC	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7BEXP|8AAC|9DMG|aBASARM
20	11261 41321	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6ERES|78ASPD|9BASARM|aDMSP
21	11261 41322	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6ERES|78ASPD|9BASARM|aCGEN
22	11261 41324	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6ERES|78ASPD|9BASARM|aMLV
23	11261 41326	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6ERES|78ASPD|9BASARM|aLHND
24	11256 11323	   	220.84	ACR|2VULN|1BASARM|2ASPD|1CDMG	14VULN|2RPLT|3RCR|5aAME|6CDMG|78ASPD|9BASARM
25	11256 11325	   	220.84	ACR|2VULN|1BASARM|2ASPD|1CDMG	14VULN|2RPLT|3RCR|5AME|6CDMG|78ASPD|9BASARM|aERES
26	11261 41323	   	220.84	ACR|2VULN|1BASARM|2ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6ERES|78ASPD|9BASARM|aAME
27	11261 41325	   	220.84	ACR|2VULN|1BASARM|2ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6aERES|78ASPD|9BASARM
28	11242 23514	 * 	219.78	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG|1AAC	1VULN|2RPLT|3RCR|4LHND|5AART|6CDMG|7ASPD|8LIT|9BASARM|aAAC
29	11213 51331	 * 	218.61	ACR|3BASARM|2VULN|1AART|1AAC	18VULN|2RPLT|3RCR|4DUST|5AAC|68LWND|789BASARM|8BPWR|aAART
30	11245 31611	 * 	218.44	ACR|2BASARM|1VULN|2BEXP|1ASPD	1VULN|2RPLT|3RCR|4aLHND|5LIT|6ASPD|7aBASARM|8CGEN|9aBEXP|aBPWR
31	11245 31511	   	218.34	ACR|2BASARM|1VULN|2BEXP|1ASPD	1VULN|2RPLT|3RCR|4aLHND|5LIT|6ASPD|7aBASARM|8ERES|9aBEXP|aBPWR
32	14113 36423	 * 	217.37	ACR|3VULN|3ASPD|1AART|1AAC	17aVULN|257LIT|3RCR|47aASPD|6RCVC|7aBPWR|8AART|9AAC
33	11231 16253	   	216.30	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|57DUR|67BEXP|7BPWR|8RCVC|9DMG|aBASARM
34	11233 16253	   	216.30	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|57LHND|67BEXP|7BPWR|8RCVC|9DMG|aBASARM
35	11231 16436	   	215.70	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|57DUR|67BEXP|7BPWR|8DMG|9BASARM|aRCVC
36	11233 16436	   	215.70	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|57LHND|67BEXP|7BPWR|8DMG|9BASARM|aRCVC
37	14113 32623	 * 	215.00	ACR|3VULN|3ASPD|2BEXP	18aVULN|258LIT|3RCR|48aASPD|6RCVC|7RPLT|8aBPWR|9aBEXP
38	64113 32623	   	215.00	ACR|3VULN|3ASPD|2BEXP	158LIT|28aVULN|3RCR|48aASPD|6RCVC|7RPLT|8aBPWR|9aBEXP
39	14153 41231	 * 	214.79	ACR|1BASARM|1VULN|1DMG|1BASICY|1AART	1VULN|25LIT|3RCR|4MLV|6BASICY|7AART|8ERES|9BASARM|aDMG
40	11231 16432	   	214.39	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|57DUR|67BEXP|7BPWR|8DMG|9BASARM|aZMB
41	11231 16434	   	214.39	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|57DUR|67BEXP|7BPWR|8DMG|9BASARM|aMLV
42	11233 16432	   	214.39	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|57LHND|67BEXP|7BPWR|8DMG|9BASARM|aZMB
43	11233 16434	   	214.39	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|57LHND|67BEXP|7BPWR|8DMG|9BASARM|aMLV
44	11231 16433	   	214.29	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|57DUR|67BEXP|7BPWR|8DMG|9BASARM|aTLV
45	11233 16433	   	214.29	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|57LHND|67BEXP|7BPWR|8DMG|9BASARM|aTLV
46	11232 11233	 * 	214.19	ACR|2VULN|1BASARM|2BEXP|1ASPD	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|78BEXP|9FEWX|aBASARM
47	11232 11431	   	214.19	ACR|2VULN|1BASARM|2BEXP|1ASPD	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7aBEXP|8DUR|9BASARM
48	11232 15231	   	214.19	ACR|2VULN|1BASARM|2BEXP|1ASPD	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7LWND|8aBEXP|9BASARM
49	11251 16431	   	214.19	ACR|2VULN|1BASARM|2BEXP|1DMG	14VULN|2RPLT|3RCR|5FEWX|6aBEXP|7VENICY|8DMG|9BASARM
50	11231 13431	   	214.19	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|5DUR|6aBEXP|8DMG|9BASARM
51	11231 13553	   	214.19	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|5DUR|68BEXP|9DMG|aBASARM
52	11233 13431	   	214.19	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|5LHND|6aBEXP|8DMG|9BASARM
53	11233 13553	   	214.19	ACR|2VULN|1BASARM|2BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|5LHND|68BEXP|9DMG|aBASARM
54	11232 11331	   	214.09	ACR|2VULN|1BASARM|2BEXP|1ASPD	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7aBEXP|8DUST|9BASARM
55	11213 11354	   	213.80	ACR|1BASARM|2VULN|2ASPD|1AAC	1aVULN|2RPLT|3RCR|4DUST|5AAC|6aDUR|7BASARM|8MLV|9aASPD|aBPWR
56	51213 22364	   	213.70	ACR|1BASARM|2ASPD|2VULN|1AAC	1aLHND|2RPLT|3RCR|4DUST|5AAC|6aASPD|7AME|8BASARM|9aVULN|aBPWR
57	11213 11554	   	213.70	ACR|1BASARM|2VULN|2ASPD|1AAC	1aVULN|2RPLT|3RCR|4DUST|5AAC|6aDUR|7BASARM|8AME|9aASPD|aBPWR
58	11242 23623	 * 	213.66	ACR|2VULN|2BEXP|1ASPD|2CDMG|1AART	1aVULN|2RPLT|3RCR|4LHND|5AART|6aCDMG|7ASPD|8ZMB|9aBEXP|aBPWR
59	11213 51336	   	213.61	ACR|3BASARM|2VULN|1BEXP|1AAC	18VULN|2RPLT|3RCR|4DUST|5AAC|68LWND|789BASARM|8BPWR|aBEXP
60	11213 41354	   	213.60	ACR|1BASARM|2VULN|2ASPD|1AAC	1aVULN|2RPLT|3RCR|4aDUST|5AAC|6LEGI|7BASARM|8MLV|9aASPD|aBPWR
61	14123 51342	   	213.55	ACR|1BASARM|2VULN|2ASPD|1AAC|1SELL	1aVULN|2LIT|3RCR|4aLWND|5ERES|6BASARM|7SELL|8AAC|9aASPD|aBPWR
62	14123 51362	 * 	213.55	ACR|1BASARM|2VULN|2DMG|1AAC|1SELL	1aVULN|2LIT|3RCR|4aLWND|5ERES|6BASARM|7SELL|8AAC|9aDMG|aBPWR
63	14123 51432	 * 	213.55	ACR|1BASARM|2VULN|2DMG|1AAC|1SELL	1aVULN|2LIT|3RCR|4aLWND|5ERES|6BASARM|7SELL|8aDMG|9AAC|aBPWR
64	12624 61113	 * 	212.15	ACR|2VULN|2ASPD|2DMG|1AART	1aVULN|2RCVC|3aDMG|4LIT|5RCR|6RMIN|7MLV|8aASPD|9AART|aBPWR
65	14123 53326	   	211.68	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP|1AAC	1VULN|2LIT|3RCR|4LWND|5ERES|6BASARM|7BEXP|8CDMG|9ASPD|aAAC
66	11242 23511	   	211.47	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1VULN|2RPLT|3RCR|4LHND|5AART|6CDMG|7ASPD|8LIT|9BASARM|aFEWX
67	11242 23512	   	211.47	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1VULN|2RPLT|3RCR|4aLHND|5AART|6CDMG|7ASPD|8LIT|9BASARM
68	11242 23513	   	211.47	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1VULN|2RPLT|3RCR|4LHND|5AART|6CDMG|7ASPD|8LIT|9BASARM|aLWND
69	11242 23515	   	211.47	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1VULN|2RPLT|3RCR|4LHND|5AART|6CDMG|7ASPD|8LIT|9BASARM|aCGEN
70	11242 23516	   	211.37	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1VULN|2RPLT|3RCR|4LHND|5AART|6CDMG|7ASPD|8LIT|9BASARM|aDUST
71	11421 33161	   	211.21	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1VULN|2RPLT|38BEXP|4ERES|5RCR|6BELT|7BASARM|9AART|aDMG
72	11211 51331	   	210.20	ACR|3BASARM|2VULN|1AART	18VULN|2RPLT|3RCR|48DUST|5ZMB|6LWND|789BASARM|8BPWR|aAART
73	11245 31151	   	209.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8BEXP|9FEWX|aDMG
74	54122 63122	   	209.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1LHND|2LIT|3RCR|4LWND|5BEXP|6BASARM|7DMG|8VULN|9ZMB|aASPD
75	11245 31141	   	209.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8BEXP|9DUST|aDMG
76	11245 31163	   	209.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8BEXP|9MDPS|aDMG
77	11256 11363	 * 	209.43	ACR|3VULN|3ASPD|2CDMG|1SELL	14aVULN|2RPLT|3RCR|5AME|6aCDMG|78aASPD|9SELL|aBPWR
78	11256 11521	 * 	209.36	ACR|3VULN|1BASARM|1ASPD|1CDMG	148VULN|2RPLT|3RCR|5AME|6CDMG|7ASPD|9BASARM|aDMSP
79	11256 11522	   	209.36	ACR|3VULN|1BASARM|1ASPD|1CDMG	148VULN|2RPLT|3RCR|5AME|6CDMG|7ASPD|9BASARM|aCGEN
80	11256 32521	   	209.36	ACR|3VULN|1BASARM|1DMG|1CDMG	148VULN|2RPLT|3RCR|5AME|6DMG|7CDMG|9BASARM|aDMSP
81	11256 32522	   	209.36	ACR|3VULN|1BASARM|1DMG|1CDMG	148VULN|2RPLT|3RCR|5AME|6DMG|7CDMG|9BASARM|aCGEN
82	11261 41521	   	209.36	ACR|3VULN|1BASARM|1ASPD|1CDMG	158VULN|2RPLT|3RCR|4CDMG|6ERES|7ASPD|9BASARM|aDMSP
83	11261 41522	   	209.36	ACR|3VULN|1BASARM|1ASPD|1CDMG	158VULN|2RPLT|3RCR|4CDMG|6ERES|7ASPD|9BASARM|aCGEN
84	11256 11523	   	209.26	ACR|3VULN|1BASARM|1ASPD|1CDMG	148VULN|2RPLT|3RCR|5aAME|6CDMG|7ASPD|9BASARM
85	11256 32523	   	209.26	ACR|3VULN|1BASARM|1DMG|1CDMG	148VULN|2RPLT|3RCR|5aAME|6DMG|7CDMG|9BASARM
86	11261 41523	   	209.26	ACR|3VULN|1BASARM|1ASPD|1CDMG	158VULN|2RPLT|3RCR|4CDMG|6ERES|7ASPD|9BASARM|aAME
87	11213 51323	 * 	208.79	ACR|2BASARM|2VULN|1DMG|1AAC	18VULN|2RPLT|3RCR|4DUST|5AAC|68LWND|78BASARM|8BPWR|9LHND|aDMG
88	11213 51351	 * 	208.79	ACR|2BASARM|2VULN|1ASPD|1AAC	18VULN|2RPLT|3RCR|4DUST|5AAC|689LWND|78BASARM|8BPWR|aASPD
89	14224 61113	   	208.45	ACR|2VULN|2ASPD|2DMG|1AART	1aVULN|2aLIT|34DMG|5RCR|6RMIN|7MLV|8aASPD|9AART|aBPWR
90	11211 11354	 * 	208.34	ACR|2BASARM|2ASPD|1VULN	1VULN|2RPLT|3RCR|4aDUST|5ZMB|6DUR|7aBASARM|8MLV|9aASPD|aBPWR
91	51262 23251	   	208.31	ACR|1BASARM|2ASPD|1VULN|1CDMG	1LHND|2RPLT|3RCR|4CDMG|5aASPD|6SNITOX|7VULN|8CGEN|9BASARM
92	11211 11554	   	208.24	ACR|2BASARM|2ASPD|1VULN	1VULN|2RPLT|3RCR|4aDUST|5ZMB|6DUR|7aBASARM|8AME|9aASPD|aBPWR
93	11266 12351	   	208.21	ACR|1BASARM|2ASPD|1VULN|1CDMG	1VULN|2RPLT|3RCR|4CDMG|5FLTFST|6FEWX|7ERES|8aASPD|9BASARM
94	11266 22351	   	208.21	ACR|1BASARM|2ASPD|1VULN|1CDMG	1VULN|2RPLT|3RCR|4CDMG|5FLTFST|6LWND|7ERES|8aASPD|9BASARM
95	54122 63322	   	208.07	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1LHND|2LIT|3RCR|4LWND|5BEXP|6BASARM|7DMG|8CDMG|9ASPD|aRCVC
96	14224 36221	 * 	208.02	ACR|3DMG|2VULN|1ASPD|1AART	17VULN|27LIT|347DMG|5RCR|6RCVC|7BPWR|8ASPD|9BELT|aAART
97	11232 15643	   	207.67	ACR|2VULN|1BASARM|1ASPD|1DMG	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7LWND|8DMG|9MDPS|aBASARM
98	11232 11543	   	207.56	ACR|2VULN|1BASARM|1ASPD|1BEXP|1AAC	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7BEXP|8AAC|9MDPS|aBASARM
99	14115 26311	   	207.47	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2LIT|3RCR|4ASPD|5LWND|6BEXP|7ZMB|8AART|9BASARM|aFEWX
100	14115 26312	   	207.47	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2LIT|3RCR|4ASPD|5LWND|6BEXP|7ZMB|8AART|9BASARM|aLHND
101	14115 26313	   	207.47	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2LIT|3RCR|4ASPD|5LWND|6BEXP|7ZMB|8AART|9BASARM|aCGEN
102	14116 16311	   	207.47	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2LIT|3RCR|4ASPD|5BEXP|6LWND|7ZMB|8AART|9BASARM|aFEWX
103	14116 16312	   	207.47	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2LIT|3RCR|4ASPD|5BEXP|6LWND|7ZMB|8AART|9BASARM|aLHND
104	14116 16313	   	207.47	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2LIT|3RCR|4ASPD|5BEXP|6LWND|7ZMB|8AART|9BASARM|aCGEN
105	11245 31322	   	207.41	ACR|1BASARM|2ASPD|1VULN|1BEXP	1VULN|2RPLT|3RCR|4LHND|58LIT|69ASPD|7BASARM|aBEXP
106	11245 31422	   	207.41	ACR|1BASARM|2ASPD|1VULN|1BEXP	1VULN|28RPLT|3RCR|4LHND|5LIT|69ASPD|7BASARM|aBEXP
107	11241 61621	 * 	207.41	ACR|1BASARM|2DMG|1VULN|1BEXP	1VULN|2RPLT|3RCR|4LHND|5ZMB|6FEWX|7BASARM|89DMG|aBEXP
108	11243 13363	 * 	207.37	ACR|3VULN|2DMG|1ASPD|1CDMG	179VULN|2RPLT|3RCR|47LHND|57DMG|6RCVC|7BPWR|8CDMG|aASPD
109	14113 35113	   	207.27	ACR|3ASPD|2VULN|2BEXP	1aVULN|25LIT|3RCR|48aASPD|69RCVC|7aBEXP|aBPWR
110	11213 23132	   	207.01	ACR|2VULN|2ASPD|2DMG|1AAC	1aVULN|2RPLT|3RCR|4DUST|5AAC|6aASPD|7DUR|8CGEN|9aDMG|aBPWR
111	11213 24132	   	207.01	ACR|2VULN|2ASPD|2DMG|1AAC	1aVULN|2RPLT|3RCR|4DUST|5AAC|6aASPD|7FEWX|8CGEN|9aDMG|aBPWR
112	11213 23632	   	206.91	ACR|2VULN|2ASPD|2DMG|1AAC	1aVULN|2RPLT|3RCR|4DUST|5AAC|6aASPD|7DUR|8ERES|9aDMG|aBPWR
113	54122 63321	   	206.77	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1LHND|2LIT|3RCR|4LWND|5BEXP|6BASARM|7DMG|8CDMG|9ASPD|aDMSP
114	54122 63323	   	206.77	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1LHND|2LIT|3RCR|4LWND|5BEXP|6BASARM|7DMG|8CDMG|9ASPD|aRMIN
115	14224 33313	 * 	206.57	ACR|3VULN|3DMG|2BEXP	17aVULN|2LIT|34aDMG|5RCR|68RCVC|9aBEXP|aBPWR
116	11232 11463	   	206.36	ACR|3VULN|1BASARM|1ASPD|1BEXP	159VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7BEXP|8DUR|aBASARM
117	11251 16353	   	206.36	ACR|3VULN|1BASARM|1DMG|1BEXP	148VULN|2RPLT|3RCR|5FEWX|6BEXP|7VENICY|9DMG|aBASARM
118	11231 13353	   	206.36	ACR|3VULN|1BASARM|1DMG|1BEXP	178VULN|2RPLT|3RCR|4SNIFST|5DUR|6BEXP|9DMG|aBASARM
119	11231 13463	   	206.36	ACR|3VULN|1BASARM|1DMG|1BEXP	179VULN|2RPLT|3RCR|4SNIFST|5DUR|6BEXP|8DMG|aBASARM
120	11233 13353	   	206.36	ACR|3VULN|1BASARM|1DMG|1BEXP	178VULN|2RPLT|3RCR|4SNIFST|5LHND|6BEXP|9DMG|aBASARM
121	11233 13463	   	206.36	ACR|3VULN|1BASARM|1DMG|1BEXP	179VULN|2RPLT|3RCR|4SNIFST|5LHND|6BEXP|8DMG|aBASARM
122	14111 16325	 * 	206.29	ACR|2VULN|2ASPD|2BEXP|1AART	1aVULN|2LIT|3RCR|4aASPD|59CGEN|6LWND|7aBEXP|8AART|aBPWR
123	11224 33661	   	206.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1VULN|2RPLT|3RCR|48ERES|5BEXP|6BELT|7BASARM|9AART|aDMG
124	11232 11363	   	206.26	ACR|3VULN|1BASARM|1ASPD|1BEXP	159VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7BEXP|8DUST|aBASARM
125	11261 63632	   	206.04	ACR|3VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	15aVULN|2RPLT|3RCR|4CDMG|6BEXP|7AAC|8ASPD|9DMG
126	11211 41354	   	205.39	ACR|1BASARM|2VULN|2ASPD	1aVULN|2RPLT|3RCR|4DUST|5aZMB|6LEGI|7BASARM|8MLV|9aASPD|aBPWR
127	51262 42313	   	205.31	ACR|3ASPD|2BEXP|1VULN|1CDMG	19LHND|2RPLT|3RCR|4CDMG|589ASPD|69BEXP|7RMIN|9BPWR|aVULN
128	11211 51336	   	205.20	ACR|3BASARM|2VULN|1BEXP	18VULN|2RPLT|3RCR|48DUST|5ZMB|6LWND|789BASARM|8BPWR|aBEXP
129	11243 43363	   	204.87	ACR|3VULN|2DMG|1ASPD|1CDMG	179VULN|2RPLT|3RCR|47LHND|57DMG|6DMSP|7BPWR|8CDMG|aASPD
130	11243 53363	   	204.87	ACR|3VULN|2DMG|1ASPD|1CDMG	179VULN|26RPLT|3RCR|47LHND|57DMG|7BPWR|8CDMG|aASPD
131	14224 33113	   	204.80	ACR|3VULN|3DMG|2BEXP	17aVULN|28LIT|34aDMG|5RCR|6RCVC|9aBEXP|aBPWR
132	14123 53322	   	204.68	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1VULN|2LIT|3RCR|4LWND|5ERES|6BASARM|7BEXP|8CDMG|9ASPD|aRCVC
133	64123 53322	   	204.68	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1LIT|2VULN|3RCR|4LWND|5ERES|6BASARM|7BEXP|8CDMG|9ASPD|aRCVC
134	11255 32363	   	204.67	ACR|3VULN|2DMG|1ASPD|1CDMG	149VULN|2RPLT|3RCR|5RMIN|6aDMG|7CDMG|8ASPD
135	11256 32363	   	204.57	ACR|3VULN|2DMG|1ASPD|1CDMG	149VULN|2RPLT|3RCR|5AME|6aDMG|7CDMG|8ASPD
136	14123 53362	 * 	204.41	ACR|2BASARM|1VULN|2CDMG|1BEXP	1VULN|2aLIT|3RCR|49LWND|5ERES|6aBASARM|7BEXP|8aCDMG|aBPWR
137	11262 41133	   	204.06	ACR|2BASARM|1VULN|1DMG|1CDMG|1SELL	1VULN|2RPLT|3RCR|4CDMG|5SELL|6MDPS|79BASARM|8LWND|aDMG
138	11262 41351	   	204.06	ACR|2BASARM|1VULN|1ASPD|1CDMG|1SELL	1VULN|2RPLT|3RCR|4CDMG|5SELL|6MDPS|7aBASARM|8MLV|9ASPD
139	11245 31153	   	203.66	ACR|1BASARM|1VULN|2BEXP|1ASPD	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8aBEXP|9FEWX
140	11245 31613	   	203.66	ACR|1BASARM|1VULN|2BEXP|1ASPD	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8CGEN|9aBEXP
141	54122 63121	   	203.66	ACR|1BASARM|2BEXP|1VULN|1DMG	1LHND|2LIT|3RCR|4LWND|5aBEXP|6BASARM|7DMG|8VULN|9ZMB
142	11264 42322	 * 	203.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	1aVULN|2RPLT|3RCR|4CDMG|5DMG|69BEXP|7RMIN|8ASPD
143	11245 31113	   	203.56	ACR|1BASARM|1VULN|2BEXP|1ASPD	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8aBEXP|9AME
144	11245 31133	   	203.56	ACR|1BASARM|1VULN|2BEXP|1ASPD	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8aBEXP|9ERES
145	11245 31143	   	203.56	ACR|1BASARM|1VULN|2BEXP|1ASPD	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8aBEXP|9DUST
146	11245 31513	   	203.56	ACR|1BASARM|1VULN|2BEXP|1ASPD	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8ERES|9aBEXP
147	11245 31612	   	203.47	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8CGEN|9BEXP|aCDMG
148	54122 63133	   	203.47	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1LHND|2LIT|3RCR|4LWND|5BEXP|6BASARM|7DMG|8VULN|9DUR|aCDMG
149	11264 43322	   	203.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	1aVULN|2RPLT|3RCR|4CDMG|5DMG|69BEXP|7ERES|8ASPD
150	11231 11431	   	203.46	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2RPLT|3RCR|4SNIFST|5DUR|6aBEXP|7AEFBLL|8DMG|9BASARM
151	11231 11553	   	203.46	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2RPLT|3RCR|4SNIFST|5DUR|68BEXP|7AEFBLL|9DMG|aBASARM
