0	Index      	 *	Score 	Summary	Detail	
1	31123 35324	 * 	235.12	ACR|3VULN|3DMG|3BEXP|1AART	19aBEXP|2LWND|39aDMG|4CGEN|5RCR|6ERES|79aVULN|8AART|9aBPWR
35	32365 52131	   	209.99	ACR|2VULN|1BASARM|1ASPD|1BEXP|1AART	1BEXP|2DUR|3SNITOX|4RCR|56VULN|7AART|8ASPD|9ERES|aBASARM
36	32132 46152	   	209.75	ACR|3BEXP|2ASPD|1DMG|1VULN|1AART	149BEXP|29DUR|3DMG|5RCR|6FEWX|7AART|89ASPD|9BPWR|aVULN
37	32132 16152	   	209.65	ACR|3BEXP|2ASPD|1DMG|1VULN|1AART	149BEXP|29DUR|3DMG|5RCR|6DUST|7AART|89ASPD|9BPWR|aVULN
38	32123 12434	   	209.59	ACR|3DMG|2VULN|2BEXP|1AART	1aBEXP|2DUR|36aDMG|4CGEN|5RCR|7AME|8AART|9aVULN|aBPWR
39	31362 15612	 * 	208.64	ACR|2BASARM|3BEXP|1DMG	159BEXP|2LWND|39SNITOX|4RCR|6FEWX|7AIRARM|89BASARM|9BPWR|aDMG
40	32362 52611	   	208.54	ACR|2BASARM|3BEXP|1DMG	19aBEXP|2DUR|39SNITOX|4RCR|5DMG|6VENICY|7AAC|89BASARM|9BPWR
41	36132 12266	 * 	207.67	ACR|3ASPD|3BEXP|2CDMG|1AART	14aBEXP|28aASPD|3DUR|5RCR|6DUST|7aCDMG|9AART|aBPWR
42	32132 46151	   	205.87	ACR|3BEXP|2ASPD|1DMG|1CDMG|1AART	149BEXP|29DUR|3DMG|5RCR|6FEWX|7AART|89ASPD|9BPWR|aCDMG
43	32132 16151	   	205.77	ACR|3BEXP|2ASPD|1DMG|1CDMG|1AART	149BEXP|29DUR|3DMG|5RCR|6DUST|7AART|89ASPD|9BPWR|aCDMG
44	31263 12265	   	205.54	ACR|3DMG|3BEXP|1VULN|1AART	137BEXP|28LWND|478DUR|5RCR|678DMG|78BPWR|9VULN|aAART
45	22332 62265	   	205.54	ACR|3ASPD|3BEXP|1VULN|1AART	127DUR|38LHND|478ASPD|5RCR|678BEXP|78BPWR|9VULN|aAART
46	31132 22265	   	205.54	ACR|3DMG|3BEXP|1VULN|1AART	147BEXP|28LWND|378DMG|5RCR|678DUR|78BPWR|9VULN|aAART
47	31252 22265	   	205.54	ACR|3ASPD|3BEXP|1VULN|1AART	137BEXP|28LWND|478ASPD|5RCR|678DUR|78BPWR|9VULN|aAART
48	36362 62421	   	205.50	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1BEXP|2ASPD|3DUST|4RCVC|5RCR|6MBVNT|7CDMG|8BASARM|9aVULN
49	31123 26324	   	205.24	ACR|3DMG|3BEXP|1VULN|1AART	19aBEXP|2LWND|39aDMG|4CGEN|5RCR|6VULN|79aAME|8AART|9aBPWR
50	46423 11222	 * 	205.20	ACR|3ASPD|2VULN|2DMG	1aVULN|29aASPD|3FEWX|4CGEN|5RCR|6aDMG|7BELT|8RPLT|aBPWR
