0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16332 13415	9	 * 	303.04	DCR|5VULN|2DMG|1DUR|1CDMG	12356VULN|36BPWR|46DMG|7LIT|8CDMG|9DUR|aRCR
78	15534 32313	1	   	278.40	ACR|5VULN|2DMG|2ASPD|1TLV	1278aVULN|3RCR|4aDMG|5TLV|6LIT|9aASPD|aBPWR
79	16534 32313	2	   	278.40	ACR|5VULN|2DMG|2ASPD|1TLV	1278aVULN|3RCR|4aDMG|5TLV|6LIT|9aASPD|aBPWR
80	32256 24421	7	   	278.36	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	15DMG|25aVULN|3AART|4MBVNT|5BPWR|6RCR|7DUR|8TLV|9CDMG
81	32256 24523	10	   	278.36	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	15DMG|258VULN|3AART|4MBVNT|5BPWR|6RCR|7DUR|9TLV|aCDMG
82	32256 28321	7	   	278.36	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	15DMG|25aVULN|3AART|4MBVNT|5BPWR|6RCR|7TLV|8DUR|9CDMG
83	16333 14433	9	   	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	123VULN|36BPWR|46DMG|56DUR|7CDMG|8ASPD|9RCVC|aRCR
84	16333 14513	7	   	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	123VULN|36BPWR|46DMG|56DUR|7CDMG|8RCVC|9ASPD|aRCR
85	15211 51623	9	 * 	278.12	DCR|5VULN|2ASPD|1DMG	1568aVULN|2AART|35ASPD|4RMIN|5BPWR|7DMG|9RCR
86	52211 51623	9	   	278.12	DCR|5VULN|2ASPD|1DMG	15ASPD|2568aVULN|3AART|4RMIN|5BPWR|7DMG|9RCR
87	16363 13623	9	   	278.08	DCR|5VULN|2DUR|1DMG	1236aVULN|36BPWR|47RMIN|56DUR|8RCR|9DMG
88	52312 12142	8	   	278.04	DCR|3VULN|2DMG|3ASPD|1DUR	148ASPD|246VULN|3RMIN|46BPWR|56DMG|7LIT|9RCR|aDUR
89	16333 14423	8	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	123VULN|36BPWR|46DMG|56DUR|7CDMG|8ASPD|9DUST|aRCR
90	32154 23143	9	   	277.68	DCR|3VULN|3DMG|2TLV|1ASPD	16aDMG|24aVULN|3LIT|5RCVC|7RCR|8ASPD|9aTLV|aBPWR
91	54312 13331	7	   	277.64	DCR|3VULN|3DMG|3ASPD	136ASPD|238DMG|368BPWR|4ZMB|568VULN|78LHND|9LIT|aRCR
92	54312 15331	6	   	277.64	DCR|3VULN|3DMG|3ASPD	136ASPD|238DMG|368BPWR|4ZMB|568VULN|78LHND|9LIT|aRCR
93	52312 12341	8	   	277.58	DCR|3VULN|3DMG|2ASPD	14ASPD|246VULN|3RMIN|46BPWR|568DMG|7LIT|9RCR|aAART
94	52312 12162	8	   	277.44	DCR|3VULN|3DMG|3ASPD	148ASPD|246VULN|3RMIN|46BPWR|569DMG|7LIT|aRCR
95	52312 12362	8	   	277.44	DCR|3VULN|3DMG|3ASPD	149ASPD|246VULN|3RMIN|46BPWR|568DMG|7LIT|aRCR
96	16333 12312	10	   	277.34	DCR|3VULN|3DMG|2DUR|1NUKE	123VULN|36BPWR|469DMG|56DUR|7LIT|8NUKE|aRCR
97	32312 12415	5	   	277.19	DCR|4VULN|3DMG|1DUR	145DMG|248aVULN|3RMIN|4BPWR|6RCR|7BEXP|9DUR
98	32312 15255	5	   	277.19	DCR|4VULN|3DMG|1DUR	145DMG|249aVULN|3RMIN|4BPWR|6RCR|7DUR|8BEXP
99	32312 33534	6	   	277.19	DCR|4VULN|3DMG|1DUR	145DMG|2478VULN|3RMIN|4BPWR|6RCVC|9RCR|aDUR
100	32312 52415	6	   	277.19	DCR|4VULN|3DMG|1DUR	145DMG|248aVULN|3RMIN|4BPWR|6RCR|7BEXP|9DUR
101	32312 53355	8	   	277.19	DCR|4VULN|3DMG|1DUR	145DMG|249aVULN|3RMIN|4BPWR|6RCR|7LWND|8DUR
102	32312 53415	7	   	277.19	DCR|4VULN|3DMG|1DUR	145DMG|248aVULN|3RMIN|4BPWR|6RCR|7LWND|9DUR
103	11751 63211	2	   	277.09	DCR|4VULN|3DMG|1DUR	1578VULN|2MBVNT|356DMG|4RPLT|57BPWR|9RCR|aDUR
104	32312 13415	5	   	277.09	DCR|4VULN|3DMG|1DUR	145DMG|248aVULN|3RMIN|4BPWR|6RCR|7DUST|9DUR
105	32312 15355	5	   	277.09	DCR|4VULN|3DMG|1DUR	145DMG|249aVULN|3RMIN|4BPWR|6RCR|7DUR|8DUST
106	32312 15435	5	   	277.09	DCR|4VULN|3DMG|1DUR	145DMG|248aVULN|3RMIN|4BPWR|6RCR|7DUR|9DUST
107	32312 53415	6	   	277.09	DCR|4VULN|3DMG|1DUR	145DMG|248aVULN|3RMIN|4BPWR|6RCR|7DUST|9DUR
108	32312 16255	5	   	276.51	DCR|3VULN|3DMG|1TLV|1CDMG	145DMG|249VULN|3RMIN|4BPWR|6RCR|7CDMG|8LIT|aTLV
109	32312 51255	7	   	276.51	DCR|3VULN|3DMG|1TLV|1CDMG	145DMG|249VULN|3RMIN|4BPWR|6RCR|7LIT|8CDMG|aTLV
110	32312 51442	9	   	276.51	DCR|3VULN|3DMG|1DUR|1CDMG	145DMG|24aVULN|3RMIN|4BPWR|6RCR|7LIT|8CDMG|9DUR
111	32312 51615	9	   	276.51	DCR|3VULN|3DMG|1TLV|1CDMG	145DMG|248VULN|3RMIN|4BPWR|6RCR|7LIT|9CDMG|aTLV
112	12133 63442	1	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	1689VULN|2CGEN|3BBNT|48DMG|58LIT|7RCR|8BPWR|aDUR
113	15341 21131	10	   	276.36	DCR|4VULN|2DMG|2ASPD	145aVULN|2AART|35LHND|5aBPWR|6aDMG|7aASPD|8RCR|9RPLT
114	15441 21131	10	   	276.36	DCR|4VULN|2DMG|2ASPD	145aVULN|2AART|35LWND|5aBPWR|6aDMG|7aASPD|8RCR|9RPLT
115	15641 21131	10	   	276.36	DCR|4VULN|2DMG|2ASPD	145aVULN|2AART|35FEWX|5aBPWR|6aDMG|7aASPD|8RCR|9RPLT
116	15211 22623	9	   	276.16	DCR|4VULN|2DMG|2ASPD	158aVULN|2AART|35ASPD|4RMIN|5BPWR|67DMG|9RCR
117	15541 21131	10	   	276.16	DCR|4VULN|2DMG|2ASPD	145aVULN|2AART|35DUST|5aBPWR|6aDMG|7aASPD|8RCR|9RPLT
118	52211 22623	9	   	276.16	DCR|4VULN|2DMG|2ASPD	15ASPD|258aVULN|3AART|4RMIN|5BPWR|67DMG|9RCR
119	32633 41314	8	   	276.12	DCR|4VULN|2DMG|2DUR	1aDMG|257aVULN|3LEGI|4aDUR|6RCR|8RCVC|9DMSP|aBPWR
120	16332 11342	6	   	275.83	DCR|5VULN|2DMG|1ASPD	12356VULN|36BPWR|46DMG|7RMIN|8RCR|9ASPD|aRPLT
121	16332 11343	6	   	275.83	DCR|5VULN|2DMG|1ASPD	12356VULN|36BPWR|46DMG|7RMIN|8RCR|9ASPD|aLWND
122	16332 11344	6	   	275.83	DCR|5VULN|2DMG|1ASPD	12356VULN|36BPWR|46DMG|7RMIN|8RCR|9ASPD|aBEXP
123	16332 11345	6	   	275.83	DCR|5VULN|2DMG|1ASPD	12356VULN|36BPWR|46DMG|7RMIN|8RCR|9ASPD|aLHND
124	16332 14342	7	   	275.83	DCR|5VULN|2DMG|1ASPD	12356VULN|36BPWR|46DMG|7MLV|8RCR|9ASPD|aRPLT
125	16332 14343	7	   	275.83	DCR|5VULN|2DMG|1ASPD	12356VULN|36BPWR|46DMG|7MLV|8RCR|9ASPD|aLWND
126	32256 24522	9	   	275.71	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	15DMG|258VULN|3AART|4MBVNT|5BPWR|6RCR|7DUR|9TLV|aASPD
127	32211 51514	8	   	275.22	DCR|3VULN|3DMG|1DUR|1ASPD	157DMG|256VULN|3AART|4RMIN|5BPWR|8ASPD|9DUR|aRCR
128	32312 55433	7	   	275.22	DCR|3VULN|3DMG|1TLV|1ASPD	145DMG|248VULN|3RMIN|4BPWR|6RCR|7TLV|9AART|aASPD
129	32314 24223	5	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	14DMG|2467VULN|3RMIN|4BPWR|5FEWX|8DUR|9CDMG|aRCR
130	32314 34223	6	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	14DMG|2467VULN|3RMIN|4BPWR|5FEWX|8DUR|9CDMG|aRCR
131	32315 24223	5	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	14DMG|2467VULN|3RMIN|4BPWR|5BEXP|8DUR|9CDMG|aRCR
132	32315 34223	6	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	14DMG|2467VULN|3RMIN|4BPWR|5BEXP|8DUR|9CDMG|aRCR
133	11512 11583	6	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1467VULN|2MBVNT|3RCVC|46BPWR|56DMG|8DUR|9RCR|aCDMG
134	11512 14583	7	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1467VULN|2MBVNT|3RCVC|46BPWR|56DMG|8DUR|9RCR|aCDMG
135	16334 23251	10	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1238VULN|3BPWR|4aDMG|5CDMG|6BEXP|7TLV|9RCR
136	32313 24223	5	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	14DMG|2467VULN|3RMIN|4BPWR|5DUST|8DUR|9CDMG|aRCR
137	32313 34223	6	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	14DMG|2467VULN|3RMIN|4BPWR|5DUST|8DUR|9CDMG|aRCR
138	32316 24423	4	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	14DMG|2467VULN|3RMIN|4BPWR|5DUR|8DUST|9CDMG|aRCR
139	15211 51622	9	   	274.83	DCR|4VULN|2ASPD|1DMG|1DUR	1568VULN|2AART|35ASPD|4RMIN|5BPWR|7DMG|9RCR|aDUR
140	52211 51622	9	   	274.83	DCR|4VULN|2ASPD|1DMG|1DUR	15ASPD|2568VULN|3AART|4RMIN|5BPWR|7DMG|9RCR|aDUR
141	16334 36313	8	   	274.82	DCR|4VULN|1DMG|2CDMG|1DUR|1ASPD	1237VULN|3BPWR|4DMG|59CDMG|6ASPD|8DUR|aRCR
142	15256 24443	7	   	274.73	DCR|4VULN|2ASPD|1DMG|1DUR	1589VULN|2AART|35ASPD|4MBVNT|5BPWR|6RCR|7DUR|aDMG
143	52256 24443	7	   	274.73	DCR|4VULN|2ASPD|1DMG|1DUR	15ASPD|2589VULN|3AART|4MBVNT|5BPWR|6RCR|7DUR|aDMG
144	33312 41442	10	   	274.62	DCR|3VULN|3DMG|2TLV|1DUR	189DMG|2DUR|39TLV|4MLV|5LWND|6RCR|79aVULN|9BPWR
145	33323 41442	10	   	274.62	DCR|3VULN|3DMG|2TLV|1DUR	189DMG|2DUR|39TLV|4FEWX|5MLV|6RCR|79aVULN|9BPWR
146	33332 41442	10	   	274.52	DCR|3VULN|3DMG|2TLV|1DUR	189DMG|2DUR|39TLV|4ERES|5LWND|6RCR|79aVULN|9BPWR
147	32312 16643	5	   	274.49	DCR|4VULN|3DMG|1CDMG	145DMG|249aVULN|3RMIN|4BPWR|6RCR|7CDMG|8TBNT
148	22261 52531	9	   	274.49	DCR|5VULN|2DMG	1CGEN|25678VULN|3AART|45DMG|5BPWR|9RCR|aLHND
149	22261 52531	10	   	274.49	DCR|5VULN|2DMG	1CGEN|25678VULN|3AART|45DMG|5BPWR|9RCR|aRMIN
150	22261 52532	10	   	274.49	DCR|5VULN|2DMG	1CGEN|25678VULN|3AART|45DMG|5BPWR|9RCR|aZMB
151	22261 52532	9	   	274.49	DCR|5VULN|2DMG	1CGEN|25678VULN|3AART|45DMG|5BPWR|9RCR|aRPLT
152	22261 52533	10	   	274.49	DCR|5VULN|2DMG	1CGEN|25678VULN|3AART|45DMG|5BPWR|9RCR|aBELT
153	22261 52533	9	   	274.49	DCR|5VULN|2DMG	1CGEN|25678VULN|3AART|45DMG|5BPWR|9RCR|aRMIN
154	22261 61163	9	   	274.49	DCR|5VULN|2DMG	1CGEN|2589aVULN|3AART|45DMG|5BPWR|6RCR|7RMIN
155	32211 52531	10	   	274.49	DCR|5VULN|2DMG	15DMG|25678VULN|3AART|4aRMIN|5BPWR|9RCR
156	32211 52531	9	   	274.49	DCR|5VULN|2DMG	15DMG|25678VULN|3AART|4RMIN|5BPWR|9RCR|aLHND
157	32211 52532	9	   	274.49	DCR|5VULN|2DMG	15DMG|25678VULN|3AART|4RMIN|5BPWR|9RCR|aRPLT
158	32211 52533	10	   	274.49	DCR|5VULN|2DMG	15DMG|25678VULN|3AART|4RMIN|5BPWR|9RCR|aCGEN
159	32211 52534	10	   	274.49	DCR|5VULN|2DMG	15DMG|25678VULN|3AART|4RMIN|5BPWR|9RCR|aRCVC
160	32211 52534	9	   	274.49	DCR|5VULN|2DMG	15DMG|25678VULN|3AART|4RMIN|5BPWR|9RCR|aFEWX
161	32211 52535	9	   	274.49	DCR|5VULN|2DMG	15DMG|25678VULN|3AART|4RMIN|5BPWR|9RCR|aLWND
162	52312 12336	9	   	274.47	DCR|3VULN|3DMG|2ASPD|2LIT	14ASPD|246VULN|3RMIN|46BPWR|568DMG|79LIT|aRCR
163	52312 12346	8	   	274.47	DCR|3VULN|3DMG|2ASPD|2LIT	14ASPD|246VULN|3RMIN|46BPWR|568DMG|7aLIT|9RCR
164	32154 23116	10	   	274.47	DCR|3VULN|3DMG|2ASPD|2LIT	169DMG|24aVULN|3aLIT|5RCVC|7RCR|8aASPD|aBPWR
165	32211 52532	10	   	274.39	DCR|5VULN|2DMG	15DMG|25678VULN|3AART|4RMIN|5BPWR|9RCR|aERES
166	32211 52533	9	   	274.39	DCR|5VULN|2DMG	15DMG|25678VULN|3AART|4RMIN|5BPWR|9RCR|aDUST
167	32211 65163	9	   	274.39	DCR|5VULN|2DMG	15DMG|2589aVULN|3AART|4RMIN|5BPWR|6RCR|7ERES
168	32256 22243	7	   	274.39	DCR|5VULN|2DMG	15DMG|2589aVULN|3AART|4MBVNT|5BPWR|6RCR|7LWND
169	32256 22543	8	   	274.39	DCR|5VULN|2DMG	15DMG|2589aVULN|3AART|4MBVNT|5BPWR|6RCR|7LWND
170	32256 24246	6	   	274.39	DCR|5VULN|2DMG	15DMG|2589aVULN|3AART|4MBVNT|5BPWR|6RCR|7LHND
171	32312 51122	10	   	273.86	DCR|3VULN|3DMG|1TLV|1ASPD	145DMG|249VULN|3RMIN|4BPWR|6RCR|7LIT|8TLV|aASPD
172	32312 51661	10	   	273.86	DCR|3VULN|3DMG|1DUR|1ASPD	145DMG|248VULN|3RMIN|4BPWR|6RCR|7LIT|9ASPD|aDUR
173	32312 51662	9	   	273.86	DCR|3VULN|3DMG|1DUR|1ASPD	145DMG|248VULN|3RMIN|4BPWR|6RCR|7LIT|9ASPD|aDUR
174	32312 55222	10	   	273.86	DCR|3VULN|3DMG|1TLV|1ASPD	145DMG|249VULN|3RMIN|4BPWR|6RCR|7TLV|8LIT|aASPD
175	11616 43123	1	   	273.86	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	17aVULN|2BEXP|37DMG|4LWND|5CDMG|67ASPD|7BPWR|8DUR|9RCR
