0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63313 21142	1	 * 	277.22	DCR|4VULN|2DMG|2DUR|1CDMG	18DUR|2BELT|3469VULN|56DMG|6BPWR|7CDMG|aRCR
20	22514 13124	10	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|28DUR|38TLV|4CGEN|5DUST|678VULN|8BPWR|9DMG|aRCR
21	43153 33213	4	   	258.28	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1RMIN|26TLV|3CDMG|4DUR|569VULN|6BPWR|7RCR|8BELT|aDMG
22	52124 41321	7	   	257.93	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	18MLV|28TLV|3CDMG|46DUR|5AART|78VULN|8BPWR|9RCR|aDMG
23	52125 11321	7	   	257.93	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	18MLV|28TLV|3CDMG|45DUR|6AART|78VULN|8BPWR|9RCR|aDMG
24	13784 61233	9	 * 	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1LHND|2MBVNT|3TLV|457aVULN|6DUR|8RCR|9DMG
25	24323 32614	7	   	256.38	DCR|2VULN|1TLV|1DMG|2CDMG|2ASPD|1DUR	1RPLT|27CDMG|37VULN|4DUR|5LIT|67ASPD|7BPWR|8RCR|9DMG|aTLV
26	63113 21142	1	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|2BELT|3RCVC|469VULN|56DMG|6BPWR|7CDMG|aRCR
27	63333 21142	1	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|2BELT|369VULN|4RCVC|56DMG|6BPWR|7CDMG|aRCR
28	63513 21142	1	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|23BELT|469VULN|56DMG|6BPWR|7CDMG|aRCR
29	63313 11142	1	   	256.07	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|2BELT|349VULN|56DMG|7CDMG|aRCR
30	63313 21164	1	   	256.07	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|2BELT|346VULN|56DMG|6BPWR|7CDMG|9BBNT|aRCR
31	63313 21424	1	   	256.07	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2BELT|346VULN|56DMG|6BPWR|7CDMG|8TBNT|aRCR
32	22312 15513	8	 * 	255.77	DCR|3DUR|1VULN|2DMG|1TLV|2CDMG	1RPLT|23aDUR|4LIT|5aCDMG|6VULN|7TLV|8RCR|9aDMG|aBPWR
33	22312 15523	9	   	255.77	DCR|3DUR|1VULN|2DMG|1TLV|2CDMG	1RPLT|23aDUR|4LIT|5aCDMG|6VULN|7TLV|8RCR|9aDMG|aBPWR
34	22622 15513	8	   	255.77	DCR|3DUR|1VULN|2DMG|1TLV|2CDMG	1RPLT|24aDUR|3LIT|5aCDMG|6VULN|7TLV|8RCR|9aDMG|aBPWR
35	22622 15523	9	   	255.77	DCR|3DUR|1VULN|2DMG|1TLV|2CDMG	1RPLT|24aDUR|3LIT|5aCDMG|6VULN|7TLV|8RCR|9aDMG|aBPWR
36	41132 53263	10	 * 	255.75	DCR|3VULN|3DUR|2DMG	1RMIN|25aDUR|3ERES|47aVULN|6aDMG|8RCR|9RCVC|aBPWR
37	62114 12251	1	   	255.69	DCR|3VULN|3DUR|1DMG|2AART	18aDUR|258VULN|37AART|48BEXP|6RCR|8BPWR|9DMG
38	41132 53213	10	   	255.65	DCR|3VULN|3DUR|2DMG	1RMIN|25aDUR|39ERES|47aVULN|6aDMG|8RCR|aBPWR
39	41136 53233	10	   	255.65	DCR|3VULN|3DUR|2DMG	1RMIN|29aDUR|35ERES|47aVULN|6aDMG|8RCR|aBPWR
40	24323 32616	7	   	254.87	DCR|3VULN|1DMG|2CDMG|1DUR|2ASPD	1RPLT|27CDMG|37aVULN|4DUR|5LIT|67ASPD|7BPWR|8RCR|9DMG
41	65151 32313	10	   	254.29	DCR|4VULN|2DUR|2CDMG	17DUR|2LIT|37CDMG|4RMIN|567aVULN|7BPWR|8RCR|9FEWX
42	62112 11254	1	   	254.06	DCR|3VULN|3DUR|1TLV|1AART	158DUR|289VULN|3AART|478BEXP|6RCR|8BPWR|aTLV
43	62124 16311	1	   	253.96	DCR|3VULN|3DUR|1TLV|1AART	18aDUR|25aVULN|3AART|4DUST|6RCR|7TLV|9aCGEN|aBPWR
44	62114 16211	1	 * 	253.92	DCR|5VULN|2DUR|1AART	18DUR|2578aVULN|3AART|48BEXP|6RCR|8BPWR|9BBNT
45	13784 44843	6	 * 	253.54	DCR|3VULN|3DMG|1TLV	19LHND|2MBVNT|3TLV|459VULN|6RMIN|789DMG|9BPWR|aRCR
46	23431 32214	10	   	252.85	DCR|3VULN|2DMG|1TLV|2LIT	1RPLT|27DMG|37LIT|4RCVC|567VULN|7BPWR|8TLV|9FEWX|aRCR
47	23431 32234	10	   	252.85	DCR|3VULN|2DMG|1TLV|2LIT	1RPLT|27DMG|37LIT|4RCVC|567VULN|7BPWR|8TLV|9BEXP|aRCR
48	43224 13223	10	   	252.38	DCR|3VULN|3DUR|2TLV|1NUKE	1RMIN|2aTLV|3RCVC|4NUKE|57aVULN|69aDUR|8RCR|aBPWR
49	52114 51321	5	   	251.79	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	18MLV|28TLV|3CDMG|4BEXP|5AART|678VULN|8BPWR|9RCR|aDMG
50	65111 33241	7	 * 	251.71	DCR|3VULN|3DUR|3LIT|1CDMG	178DUR|278LIT|3CDMG|4MBVNT|5ERES|678VULN|78BPWR|9CGEN|aRCR
51	65111 33482	7	   	251.71	DCR|3VULN|3DUR|3LIT|1CDMG	17aDUR|27aLIT|3CDMG|4MBVNT|5ERES|67aVULN|7aBPWR|8RPLT|9RCR
52	65118 33211	7	   	251.71	DCR|3VULN|3DUR|3LIT|1CDMG	178DUR|278LIT|3CDMG|4MBVNT|5MLV|678VULN|78BPWR|9ERES|aRCR
53	43123 21621	5	   	251.59	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	1RMIN|28TLV|3CDMG|4AART|578VULN|68DUST|8BPWR|9RCR|aDMG
54	23431 12124	6	   	251.46	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG|1AART	1RPLT|27DMG|37LIT|4RCVC|57VULN|6AART|7BPWR|8TLV|9RCR|aCDMG
55	62136 61223	8	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2LHND|3ZMB|45aVULN|5BPWR|6DMG|7CGEN|8RCR|9TLV
56	13243 37683	2	   	251.14	DCR|2VULN|2TLV|2DUR|1DMG	1LHND|2MBVNT|3aTLV|4ASPD|5LIT|6aDUR|7DMG|8aVULN|9RCR|aBPWR
57	12151 13226	1	   	251.06	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1AART	1LHND|2aVULN|3AART|4DMG|5CGEN|6RCR|7aDUR|8TLV|9aLIT|aBPWR
58	43244 13223	9	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1RMIN|2TLV|3RCVC|4DMG|57aVULN|69DUR|8RCR
59	61631 31134	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	16DUR|2DUST|3TLV|468VULN|5DMSP|6BPWR|7RMIN|9DMG|aRCR
60	62136 11221	8	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2LHND|3ZMB|457VULN|5BPWR|6DUST|8RCR|9TLV|aDMG
61	62136 11332	9	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2LHND|3ZMB|457VULN|5BPWR|6DUST|8TLV|9DMG|aRCR
62	12153 13426	1	   	250.96	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1AART	1LHND|2aVULN|3AART|4DMG|5TLV|6RCR|7aDUR|8ERES|9aLIT|aBPWR
63	13784 61232	9	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|2MBVNT|3TLV|457VULN|6aDUR|8RCR|9DMG
64	63363 31362	1	   	250.94	DCR|3VULN|2DUR|1TLV|2CDMG	16DUR|2BELT|357VULN|48CDMG|9TLV|aRCR
65	23452 22126	8	   	250.83	DCR|3VULN|2DMG|2DUR	1RPLT|2aDMG|3LIT|49aVULN|5ERES|6RCR|7CGEN|8aDUR|aBPWR
66	23112 12544	10	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1RPLT|2DMG|3ASPD|4LIT|5CDMG|68aVULN|7RCR|9TLV
67	66232 31323	9	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2CGEN|3CDMG|49aVULN|5RPLT|6DMG|7TLV|8RCR
68	66232 31343	8	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2CGEN|3CDMG|49aVULN|5RPLT|6DMG|7TLV|8RCR
69	66232 31121	8	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2CGEN|3CDMG|489VULN|5RPLT|6DMG|7TLV|aRCR
70	13224 73752	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2MBVNT|3TLV|456VULN|7DUR|8CDMG|9RCR|aDMG
71	13784 61232	10	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2MBVNT|3TLV|457VULN|6DUR|8RCR|9DMG|aCDMG
72	24132 31121	8	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|2CDMG|3ERES|489VULN|5DUR|6DMG|7TLV|aRCR
73	24132 31323	9	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|2CDMG|3ERES|49aVULN|5DUR|6DMG|7TLV|8RCR
74	24132 31343	8	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|2CDMG|3ERES|49aVULN|5DUR|6DMG|7TLV|8RCR
75	24326 31121	8	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|2CDMG|389VULN|4DUR|5ERES|6DMG|7TLV|aRCR
76	24326 31323	9	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|2CDMG|39aVULN|4DUR|5ERES|6DMG|7TLV|8RCR
77	24326 31343	8	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|2CDMG|39aVULN|4DUR|5ERES|6DMG|7TLV|8RCR
78	24332 31121	8	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|2CDMG|389VULN|4ERES|5DUR|6DMG|7TLV|aRCR
79	24332 31323	9	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|2CDMG|39aVULN|4ERES|5DUR|6DMG|7TLV|8RCR
80	24332 31343	8	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|2CDMG|39aVULN|4ERES|5DUR|6DMG|7TLV|8RCR
81	13431 76844	4	 * 	249.53	DCR|4VULN|2TLV|1DMG	159LHND|2MBVNT|3RCVC|4579VULN|59BPWR|6RCR|89TLV|aDMG
82	65114 23532	9	   	248.99	DCR|1VULN|2DMG|2DUR|1TLV|2CDMG|2LIT	19DUR|2aLIT|39CDMG|4MBVNT|5VULN|6RCR|7TLV|89DMG|9BPWR
83	62234 32251	10	   	248.94	DCR|3VULN|2DUR|1TLV|1AART	16DUR|2LHND|3ERES|456VULN|6BPWR|7LIT|8TLV|9AART|aRCR
84	62136 22523	1	   	248.71	DCR|3VULN|2TLV|2DUR|1AART	19DUR|25aVULN|3AART|45TLV|5BPWR|6CGEN|7ERES|8RCR
85	62114 12225	1	   	248.61	DCR|3VULN|2DUR|1TLV|2AART	18DUR|258VULN|37AART|48BEXP|6RCR|8BPWR|9LWND|aTLV
86	62114 12235	1	   	248.61	DCR|3VULN|2DUR|1TLV|2AART	18DUR|258VULN|37AART|48BEXP|6RCR|8BPWR|9LHND|aTLV
87	62114 12262	1	   	248.61	DCR|3VULN|2DUR|1TLV|2AART	18DUR|258VULN|37AART|48BEXP|6RCR|8BPWR|9RPLT|aTLV
88	62124 16111	1	   	248.51	DCR|3VULN|2DUR|1TLV|2AART	1aDUR|25aVULN|39AART|4DUST|6RCR|7TLV|8aMLV|aBPWR
89	65133 23161	4	   	248.40	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	15DUR|2LIT|3CDMG|45BEXP|5BPWR|6DMG|7TLV|8RCR|9aVULN
90	22312 15515	8	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1RPLT|23DUR|4LIT|5CDMG|6aVULN|7TLV|8RCR|9DMG
91	22312 15525	9	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1RPLT|23DUR|4LIT|5CDMG|6aVULN|7TLV|8RCR|9DMG
92	22312 15553	10	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1RPLT|23DUR|4LIT|5CDMG|69VULN|7TLV|8RCR|aDMG
93	43153 33431	4	 * 	248.07	DCR|2VULN|3TLV|2DUR|1DMG|1CDMG	1RMIN|268TLV|3CDMG|49DUR|56VULN|6BPWR|7RCR|aDMG
94	52124 51323	5	   	247.98	DCR|3VULN|2TLV|1DUR|1CDMG|1AART	18MLV|28TLV|3CDMG|4DUR|5AART|678VULN|8BPWR|9RCR|aZMB
95	22312 25552	9	 * 	247.98	DCR|2VULN|3DUR|1TLV|2CDMG	1RPLT|23aDUR|4LIT|5aCDMG|6FEWX|7TLV|8RCR|9aVULN|aBPWR
96	23421 62622	7	   	247.95	DCR|2VULN|2DMG|2DUR|1CDMG|1SELL	1RPLT|27DMG|3LIT|47DUR|5SELL|67VULN|7BPWR|8RCR|9ASPD|aCDMG
97	43153 33341	4	   	247.88	DCR|3VULN|2TLV|1DUR|1CDMG|1AART	1RMIN|26TLV|3CDMG|4DUR|56aVULN|6BPWR|7RCR|8AART|9RPLT
98	52124 51322	5	   	247.88	DCR|3VULN|2TLV|1DUR|1CDMG|1AART	18MLV|28TLV|3CDMG|4DUR|5AART|678VULN|8BPWR|9RCR|aERES
99	43244 11223	10	   	247.85	DCR|2VULN|3DUR|2TLV|1DMG	17RMIN|2aTLV|3RCVC|4DMG|5aVULN|69aDUR|8RCR|aBPWR
100	65223 15213	7	   	247.72	DCR|3VULN|3DUR|3LIT|1AART	179DUR|29aLIT|3AART|4MLV|5aERES|69aVULN|8RCR|9aBPWR
101	23431 32525	9	   	247.69	DCR|4VULN|2DMG|2LIT	1RPLT|27DMG|37LIT|4RCVC|567aVULN|7BPWR|8LWND|9RCR
102	23454 32122	10	   	247.69	DCR|4VULN|2DMG|2LIT	1RPLT|27DMG|37LIT|4567VULN|7BPWR|8BELT|9RCVC|aRCR
103	43343 13263	10	   	247.56	DCR|3VULN|2TLV|2DUR	15RMIN|2aTLV|3ASPD|47aVULN|6aDUR|8RCR|9RCVC|aBPWR
104	62634 32222	9	   	247.46	DCR|3VULN|2TLV|2DUR	16DUR|2LHND|38TLV|456VULN|6BPWR|7LIT|9BEXP|aRCR
105	62634 32212	9	   	247.36	DCR|3VULN|2TLV|2DUR	16DUR|2LHND|38TLV|456VULN|6BPWR|7LIT|9LEGI|aRCR
106	12153 16531	1	   	247.35	DCR|3VULN|2DMG|1TLV|1AART	1LHND|28aVULN|3AART|49DMG|5TLV|6RCR|7TBNT
