0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21542 63333	4	 * 	284.35	DCR|4VULN|3ASPD|3TLV|1DUR|1AART	1AART|289TLV|3DUR|4DLOT|589ASPD|6RCR|789aVULN|89BPWR
65	22423 31623	2	   	260.38	DCR|2VULN|3DUR|1DMG|2LIT|1CDMG|1AART	1AART|27LIT|37VULN|457DUR|6RCR|7BPWR|8BBNT|9CDMG|aDMG
66	22223 31223	1	   	260.38	DCR|2VULN|3DUR|1DMG|2LIT|1CDMG|1AART	1AART|27VULN|37LIT|457DUR|6RCR|7BPWR|8TBNT|9CDMG|aDMG
67	22223 31623	1	   	260.38	DCR|2VULN|3DUR|1DMG|2LIT|1CDMG|1AART	1AART|27VULN|37LIT|457DUR|6RCR|7BPWR|8BBNT|9CDMG|aDMG
68	22243 31223	4	   	260.38	DCR|2VULN|3DUR|1DMG|2LIT|1CDMG|1AART	1AART|27LIT|357DUR|47VULN|6RCR|7BPWR|8TBNT|9CDMG|aDMG
69	22243 31623	4	   	260.38	DCR|2VULN|3DUR|1DMG|2LIT|1CDMG|1AART	1AART|27LIT|357DUR|47VULN|6RCR|7BPWR|8BBNT|9CDMG|aDMG
70	55121 63332	4	 * 	258.87	DCR|3VULN|2ASPD|3LIT|1TLV|1DUR	189BEXP|289LIT|35ASPD|4TLV|6RCR|789VULN|89BPWR|aDUR
71	21561 31251	10	 * 	258.68	DCR|3VULN|3DUR|3TLV|1AART	1AART|246TLV|346DUR|46BPWR|5RMIN|79aVULN|8RCR
72	22222 36255	1	 * 	258.58	DCR|3VULN|3DUR|3LIT|1AART	1AART|29aVULN|379LIT|469DUR|5TBNT|8RCR|9aBPWR
73	22252 21251	1	   	258.27	DCR|3VULN|2DMG|2LIT|1ASPD|1AART	1AART|279VULN|37LIT|4RMIN|57DMG|6RCR|7BPWR|8BELT|aASPD
74	22452 21251	2	   	258.27	DCR|3VULN|2DMG|2LIT|1ASPD|1AART	1AART|27LIT|379VULN|4RMIN|57DMG|6RCR|7BPWR|8BELT|aASPD
75	25262 21251	1	   	258.27	DCR|3VULN|2DMG|2LIT|1ASPD|1AART	1AART|2RMIN|379VULN|47LIT|57DMG|6RCR|7BPWR|8BELT|aASPD
76	45115 22223	10	 * 	257.11	DCR|3VULN|2DUR|2ASPD|3LIT	19LWND|249LIT|34ASPD|49BPWR|57DUR|689VULN|aRCR
77	22222 62252	1	   	256.60	DCR|3VULN|2DUR|1TLV|2LIT|1AART	1AART|269VULN|39LIT|49DUR|5TBNT|7DMSP|8RCR|9BPWR|aTLV
78	22242 62252	4	   	256.60	DCR|3VULN|2DUR|1TLV|2LIT|1AART	1AART|29LIT|39DUR|469VULN|5TBNT|7DMSP|8RCR|9BPWR|aTLV
79	22422 62252	2	   	256.60	DCR|3VULN|2DUR|1TLV|2LIT|1AART	1AART|29LIT|369VULN|49DUR|5TBNT|7DMSP|8RCR|9BPWR|aTLV
80	22631 62252	1	   	256.60	DCR|3VULN|2DUR|1TLV|2LIT|1AART	1AART|269VULN|3BBNT|49DUR|59LIT|7DMSP|8RCR|9BPWR|aTLV
81	22252 11155	1	   	256.17	DCR|3VULN|3DMG|1AART	1AART|279VULN|3LIT|4RMIN|579DMG|679DUST|79BPWR|8BBNT|aRCR
82	22236 11234	1	   	255.57	DCR|3VULN|1DUR|1TLV|2LIT|1CDMG|1AART	1AART|24aVULN|35LIT|6TLV|7CDMG|8DUR|9RCR
83	22236 22234	1	   	255.57	DCR|3VULN|1DUR|1TLV|2LIT|1CDMG|1AART	1AART|24aVULN|35LIT|6DUR|7CDMG|8TLV|9RCR
84	22436 11234	2	   	255.57	DCR|3VULN|1DUR|1TLV|2LIT|1CDMG|1AART	1AART|25LIT|34aVULN|6TLV|7CDMG|8DUR|9RCR
85	22436 22234	2	   	255.57	DCR|3VULN|1DUR|1TLV|2LIT|1CDMG|1AART	1AART|25LIT|34aVULN|6DUR|7CDMG|8TLV|9RCR
86	22225 63134	1	   	255.41	DCR|4VULN|1DUR|1CDMG|1AART	1AART|267aVULN|3LIT|4DUR|5CDMG|8MLV|9RCR
87	22235 63234	1	   	255.41	DCR|4VULN|1DUR|1CDMG|1AART	1AART|247aVULN|3LIT|5CGEN|6CDMG|8DUR|9RCR
88	22231 62234	1	   	255.31	DCR|4VULN|1TLV|1CDMG|1AART	1AART|246aVULN|3LIT|5DUST|7CDMG|8TLV|9RCR
89	22431 62234	2	   	255.31	DCR|4VULN|1TLV|1CDMG|1AART	1AART|2LIT|346aVULN|5DUST|7CDMG|8TLV|9RCR
90	22423 31133	2	   	254.60	DCR|2VULN|3DUR|1DMG|2AART|2LIT	1aAART|27LIT|37VULN|457DUR|6RCR|7BPWR|8DMG|9ZMB
91	22223 31133	1	   	254.60	DCR|2VULN|3DUR|1DMG|2AART|2LIT	1aAART|27VULN|37LIT|457DUR|6RCR|7BPWR|8DMG|9ZMB
92	22243 31133	4	   	254.60	DCR|2VULN|3DUR|1DMG|2AART|2LIT	1aAART|27LIT|357DUR|47VULN|6RCR|7BPWR|8DMG|9ZMB
93	53621 53232	7	   	254.38	DCR|4VULN|2DUR|1TLV|1SELL	1BEXP|2SELL|3679VULN|45DUR|8RCR|aTLV
