0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25614 11233	1	 * 	265.45	DCR|4VULN|3DUR|1TLV	138LHND|2356VULN|36BPWR|469DUR|7TLV|aRCR
73	61252 15332	5	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2FEWX|3aDMG|4aVULN|5DUST|6aDUR|7TLV|8RCR|9ERES|aBPWR
74	25133 14215	1	   	243.69	DCR|3VULN|3DMG|1DUR	1aLHND|28aVULN|3RCVC|4FEWX|5DUR|67aDMG|9RCR|aBPWR
75	14323 14215	1	   	243.69	DCR|3VULN|3DMG|1DUR	1RCVC|28aVULN|3aFEWX|4LWND|5DUR|67aDMG|9RCR|aBPWR
76	54611 42444	6	   	243.39	DCR|3VULN|3DMG|1DUR	18ERES|289DMG|3LWND|4MBVNT|5DUR|68aVULN|7RCR|8BPWR
77	66221 31433	4	 * 	242.90	DCR|2VULN|3DMG|2DUR|1AART|1SELL	1BEXP|25DUR|345DMG|5BPWR|6SELL|78VULN|9RCR|aAART
78	15311 12631	1	   	242.79	DCR|3VULN|2DMG|1DUR|2LIT	1RCVC|2RPLT|39aVULN|4LEGI|5DUR|6RCR|7aLIT|8aDMG|aBPWR
79	25633 13115	1	   	242.72	DCR|3VULN|2DMG|2DUR	13aLHND|23aVULN|3aBPWR|48FEWX|57DUR|6aDMG|9RCR
80	14111 13215	1	   	242.62	DCR|3VULN|2DMG|2DUR	16RCVC|28aVULN|3aDMG|4FEWX|5LWND|7aDUR|9RCR|aBPWR
81	14112 21515	1	   	242.62	DCR|3VULN|2DMG|2DUR	1RCVC|25aVULN|3aDMG|4FEWX|67LWND|8aDUR|9RCR|aBPWR
82	14112 23115	1	   	242.62	DCR|3VULN|2DMG|2DUR	1RCVC|25aVULN|3aDMG|48FEWX|6LWND|7aDUR|9RCR|aBPWR
83	14113 23215	1	   	242.62	DCR|3VULN|2DMG|2DUR	15RCVC|28aVULN|3aDMG|4FEWX|6LWND|7aDUR|9RCR|aBPWR
84	14114 23215	1	   	242.62	DCR|3VULN|2DMG|2DUR	1RCVC|28aVULN|3aDMG|45FEWX|6LWND|7aDUR|9RCR|aBPWR
85	14116 13215	1	   	242.62	DCR|3VULN|2DMG|2DUR	16RCVC|28aVULN|3aDMG|4FEWX|5BEXP|7aDUR|9RCR|aBPWR
86	25133 13215	1	   	242.62	DCR|3VULN|2DMG|2DUR	1aLHND|28aVULN|3RCVC|4FEWX|57DUR|6aDMG|9RCR|aBPWR
87	65133 13215	1	   	242.62	DCR|3VULN|2DMG|2DUR	1aBEXP|28aVULN|3RCVC|4FEWX|57DUR|6aDMG|9RCR|aBPWR
88	14323 13215	1	   	242.62	DCR|3VULN|2DMG|2DUR	1RCVC|28aVULN|3aFEWX|4LWND|57DUR|6aDMG|9RCR|aBPWR
89	14363 13215	1	   	242.52	DCR|3VULN|2DMG|2DUR	1RCVC|28aVULN|3aFEWX|4DUST|57DUR|6aDMG|9RCR|aBPWR
90	44111 42481	6	   	242.52	DCR|3VULN|2DMG|2DUR	18MLV|28DMG|3FEWX|4MBVNT|5aDUR|689VULN|7RCR|8BPWR
91	44211 42481	6	   	242.52	DCR|3VULN|2DMG|2DUR	18MLV|28DMG|3BEXP|4MBVNT|5aDUR|689VULN|7RCR|8BPWR
92	14632 11243	1	   	242.52	DCR|3VULN|2DMG|2DUR	1RCVC|269VULN|3BELT|4LEGI|59DMG|79DUR|8RCR|9BPWR|aDMSP
93	44311 42447	6	   	242.42	DCR|3VULN|2DMG|2DUR	18MLV|29DMG|3LEGI|4MBVNT|58DUR|68aVULN|7RCR|8BPWR
94	14632 11241	1	   	242.42	DCR|3VULN|2DMG|2DUR	1RCVC|269VULN|3BELT|4LEGI|59DMG|79DUR|8RCR|9BPWR|aBBNT
95	14632 11242	1	   	242.42	DCR|3VULN|2DMG|2DUR	1RCVC|269VULN|3BELT|4LEGI|59DMG|79DUR|8RCR|9BPWR|aERES
96	54311 42447	6	   	242.22	DCR|3VULN|2DMG|2DUR	18ERES|29DMG|3LEGI|4MBVNT|58DUR|68aVULN|7RCR|8BPWR
97	13443 14212	9	   	242.17	DCR|4VULN|2DUR|2ASPD	1RCVC|29ASPD|3MLV|489aVULN|59DUR|6RMIN|7RCR|9BPWR
98	25613 34331	1	   	241.61	DCR|3VULN|3DUR|1CDMG|1AART	1379LHND|237VULN|37BPWR|457DUR|6AART|8RCR|aCDMG
99	44111 42483	6	   	241.59	DCR|3VULN|2DMG|1DUR|1CDMG	18MLV|28DMG|3FEWX|4MBVNT|5DUR|689VULN|7RCR|8BPWR|aCDMG
100	44211 42483	6	   	241.59	DCR|3VULN|2DMG|1DUR|1CDMG	18MLV|28DMG|3BEXP|4MBVNT|5DUR|689VULN|7RCR|8BPWR|aCDMG
101	35613 34312	1	   	241.51	DCR|3VULN|3DUR|1CDMG|1AART	137LWND|237VULN|37BPWR|457DUR|6AART|8CDMG|9BBNT|aRCR
102	35613 34331	1	   	241.51	DCR|3VULN|3DUR|1CDMG|1AART	137LWND|237VULN|37BPWR|457DUR|6AART|8CDMG|9DUST|aRCR
103	31323 53433	1	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1LWND|2aDMG|3FEWX|4CDMG|5aDUST|6RCR|7DUR|89aVULN|aBPWR
104	41151 21331	9	   	241.40	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	189MLV|29LIT|35DUR|4DMG|69VULN|7RCR|9BPWR|aTLV
105	41151 21331	10	   	241.40	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	189MLV|29LIT|35DUR|4DMG|69VULN|7RCR|9BPWR|aTLV
106	21253 51126	5	 * 	241.34	DCR|2VULN|2DMG|2TLV|2CDMG	19LHND|2FEWX|39DMG|47VULN|5aCDMG|6RCR|89TLV|9BPWR
107	31253 51126	5	   	241.34	DCR|2VULN|2DMG|2TLV|2CDMG	19LWND|2FEWX|39DMG|47VULN|5aCDMG|6RCR|89TLV|9BPWR
108	14121 43135	1	 * 	241.25	DCR|4VULN|1TLV|1DMG	1RCVC|289aVULN|3DMG|4TLV|5LWND|6RCR|7FEWX
109	14122 43135	1	   	241.15	DCR|4VULN|1TLV|1DMG	1RCVC|289aVULN|3DMG|4TLV|5DUST|6RCR|7FEWX
110	21532 35127	2	   	241.15	DCR|4VULN|1TLV|1DMG	1LHND|2FEWX|3MBVNT|4TLV|568aVULN|7DMG|9RCR
111	35531 35124	1	   	241.15	DCR|4VULN|1TLV|1DMG	1LWND|268aVULN|3MBVNT|4TLV|5LHND|7DMG|9RCR
112	35542 35124	1	   	241.15	DCR|4VULN|1TLV|1DMG	1LWND|268aVULN|3MBVNT|4LHND|5TLV|7DMG|9RCR
113	51151 63233	10	   	241.10	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	1ERES|27LIT|35DUR|4DMG|6RCR|8TLV|9aVULN
114	43314 43132	1	   	240.96	DCR|4VULN|1DMG|1DUR|1AART	1MLV|2DMG|3589VULN|4DUR|6RCR|7FEWX|aAART
115	35612 12351	1	   	240.92	DCR|3VULN|2TLV|2ASPD|1DUR	139LWND|239VULN|39BPWR|4DUR|58ASPD|6BELT|79TLV|aRCR
116	13614 21621	4	   	240.57	DCR|2VULN|2DMG|3ASPD|1DUR|1CDMG	1RCVC|238ASPD|4CDMG|58DMG|6RPLT|78VULN|8BPWR|9RCR|aDUR
117	21212 42411	1	   	240.16	DCR|2VULN|2DMG|1DUR|2LIT|1CDMG	1LHND|2aDMG|3RMIN|4DUR|5ASPD|6RCR|7aLIT|8CDMG|9aVULN|aBPWR
118	31212 42411	1	   	240.16	DCR|2VULN|2DMG|1DUR|2LIT|1CDMG	1LWND|2aDMG|3RMIN|4DUR|5ASPD|6RCR|7aLIT|8CDMG|9aVULN|aBPWR
119	54343 21111	2	 * 	240.07	DCR|3VULN|1TLV|2CDMG|1DMG	18ERES|2DMG|348VULN|58CDMG|6DMSP|7BBNT|8BPWR|9TLV|aRCR
120	21212 45211	1	   	239.92	DCR|2VULN|2DMG|2CDMG|1DUR	1LHND|2aDMG|3RMIN|4DUR|5ASPD|6RCR|7aCDMG|8LIT|9aVULN|aBPWR
121	31212 45211	1	   	239.92	DCR|2VULN|2DMG|2CDMG|1DUR	1LWND|2aDMG|3RMIN|4DUR|5ASPD|6RCR|7aCDMG|8LIT|9aVULN|aBPWR
122	41612 53321	2	   	239.82	DCR|2VULN|2DMG|2CDMG|1DUR	1MLV|2LIT|3aDMG|4aCDMG|5DUR|6RCR|7aVULN|8ASPD|9DUST|aBPWR
123	43311 22653	1	   	239.77	DCR|2VULN|3DUR|1TLV|1DMG	159MLV|2DMG|39VULN|479DUR|6BELT|8RCR|9BPWR|aTLV
124	51612 53321	2	   	239.72	DCR|2VULN|2DMG|2CDMG|1DUR	1ERES|2LIT|3aDMG|4aCDMG|5DUR|6RCR|7aVULN|8ASPD|9DUST|aBPWR
125	41152 31113	7	   	239.61	DCR|4VULN|1DMG|1DUR	1MLV|2LIT|3DUR|4DMG|569aVULN|7RCR|8CGEN
126	41152 31613	8	   	239.61	DCR|4VULN|1DMG|1DUR	1MLV|2LIT|3DUR|4DMG|569aVULN|7RCR|8CGEN
127	41152 62113	6	   	239.61	DCR|4VULN|1DMG|1DUR	1MLV|2LIT|3DUR|4DMG|579aVULN|6RCR|8CGEN
128	51153 21432	7	   	239.58	DCR|2VULN|2DMG|2DUR|1CDMG	15ERES|2LIT|38DUR|45DMG|5BPWR|6aVULN|7RCR|9CDMG
129	11343 15532	5	   	239.57	DCR|4VULN|2DUR|1CDMG	1RCVC|2LWND|3DMSP|4679VULN|56DUR|6BPWR|8RCR|aCDMG
130	25532 51442	1	 * 	239.33	DCR|5VULN|1TLV	1LHND|2589aVULN|3MBVNT|4TLV|6RCR|7TBNT
131	41541 21113	7	   	239.28	DCR|3VULN|2DUR|1TLV	1MLV|2LIT|3TLV|45DUR|69aVULN|7RCR|8CGEN
132	51152 33622	7	   	239.26	DCR|4VULN|1DMG|1DUR|1SELL	1ERES|2LIT|3DUR|4DMG|569aVULN|7SELL|8RCR
133	25614 13233	1	   	239.25	DCR|4VULN|3DUR	138LHND|2356VULN|36BPWR|469DUR|7RMIN|aRCR
134	25613 13151	1	   	239.25	DCR|4VULN|3DUR	13LHND|2368VULN|36BPWR|456DUR|7BELT|9RCR|aZMB
135	25613 13153	1	   	239.25	DCR|4VULN|3DUR	13LHND|2368VULN|36BPWR|456DUR|7BELT|9RCR|aCGEN
136	35613 13151	1	   	239.25	DCR|4VULN|3DUR	13LWND|2368VULN|36BPWR|456DUR|7BELT|9RCR|aZMB
137	35613 13153	1	   	239.25	DCR|4VULN|3DUR	13LWND|2368VULN|36BPWR|456DUR|7BELT|9RCR|aCGEN
138	51542 31123	7	   	239.18	DCR|3VULN|2DUR|1TLV	1ERES|2LIT|3TLV|49DUR|56aVULN|7RCR|8CGEN
139	25532 27121	1	   	239.18	DCR|3VULN|2DUR|1TLV	1LHND|258VULN|3MBVNT|4TLV|6ASPD|7aDUR|9RCR
140	25113 13156	1	   	239.15	DCR|4VULN|3DUR	1LHND|268aVULN|3RCVC|456DUR|6BPWR|7BELT|9RCR
141	35113 13156	1	   	239.15	DCR|4VULN|3DUR	1LWND|268aVULN|3RCVC|456DUR|6BPWR|7BELT|9RCR
142	11343 15531	5	   	239.15	DCR|4VULN|3DUR	1RCVC|2LWND|3DMSP|4679VULN|56aDUR|6BPWR|8RCR
143	25613 13152	1	   	239.15	DCR|4VULN|3DUR	13LHND|2368VULN|36BPWR|456DUR|7BELT|9RCR|aERES
144	35613 13152	1	   	239.15	DCR|4VULN|3DUR	13LWND|2368VULN|36BPWR|456DUR|7BELT|9RCR|aERES
145	25532 53411	1	 * 	239.05	DCR|3VULN|2TLV|2DUR	18LHND|25aVULN|3MBVNT|48TLV|6RCR|78DUR|8BPWR|9TBNT
146	41152 12613	7	   	238.76	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	1MLV|2aLIT|3DUR|4DMG|579VULN|6CDMG|8RCR
147	51152 12623	7	   	238.66	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	1ERES|2aLIT|3DUR|4DMG|579VULN|6CDMG|8RCR
148	44311 42483	6	   	238.48	DCR|3VULN|2DUR|1DMG|1CDMG	18MLV|2DMG|3LEGI|4MBVNT|58DUR|689VULN|7RCR|8BPWR|aCDMG
149	16215 22622	2	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1RCVC|2LIT|3CDMG|4CGEN|5DUR|6TLV|7RCR|89aVULN
150	16315 22622	3	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1RCVC|2LIT|3CDMG|4CGEN|5DUR|6TLV|7RCR|89aVULN
151	21353 51124	5	   	238.22	DCR|3VULN|2TLV|2ASPD|1CDMG	19LHND|2FEWX|39ASPD|47aVULN|5CDMG|6RCR|89TLV|9BPWR
152	31353 51124	5	   	238.22	DCR|3VULN|2TLV|2ASPD|1CDMG	19LWND|2FEWX|39ASPD|47aVULN|5CDMG|6RCR|89TLV|9BPWR
153	13312 61146	5	 * 	238.21	DCR|3VULN|2DUR|3ASPD|1AART	1RCVC|24aASPD|3aDUR|5BELT|6RCR|7AART|89aVULN|aBPWR
154	51225 22622	2	   	238.15	DCR|3VULN|1TLV|1DUR|1CDMG	14ERES|2LIT|3CDMG|5DUR|6TLV|7RCR|89aVULN
155	44311 42481	6	   	238.06	DCR|3VULN|3DUR|1DMG	18MLV|2DMG|3LEGI|4MBVNT|58aDUR|689VULN|7RCR|8BPWR
156	25613 11263	1	   	238.06	DCR|3VULN|3DUR|1DMG	13LHND|236VULN|36BPWR|456DUR|7MBVNT|8DMG|9TBNT|aRCR
157	61215 14333	1	   	238.04	DCR|3VULN|2TLV|1DMG|1AART	1aBEXP|2DMG|3RMIN|4AART|59aVULN|6aTLV|7BBNT|8RCR|aBPWR
158	44332 14213	10	   	237.89	DCR|3VULN|2DMG|1TLV	19MLV|29DMG|3LEGI|4RCVC|589VULN|6RMIN|7RCR|9BPWR|aTLV
159	21256 11216	5	   	237.79	DCR|3VULN|2DMG|1TLV	1LHND|2FEWX|36DMG|48aVULN|5TLV|7CGEN|9RCR
160	31256 11216	5	   	237.79	DCR|3VULN|2DMG|1TLV	1LWND|2FEWX|36DMG|48aVULN|5TLV|7CGEN|9RCR
161	41153 21351	8	   	237.75	DCR|2VULN|2DMG|1TLV|1DUR	158MLV|2LIT|3DUR|45DMG|5BPWR|69VULN|7RCR|aTLV
162	21256 12216	5	   	237.69	DCR|3VULN|2DMG|1TLV	1LHND|2FEWX|36DMG|48aVULN|5TLV|7ERES|9RCR
163	31256 12216	5	   	237.69	DCR|3VULN|2DMG|1TLV	1LWND|2FEWX|36DMG|48aVULN|5TLV|7ERES|9RCR
164	25113 34263	1	   	237.67	DCR|2VULN|3DUR|1TLV|1AART	17LHND|27VULN|3RCVC|457DUR|6AART|7BPWR|8ASPD|9RCR|aTLV
165	35113 34263	1	   	237.67	DCR|2VULN|3DUR|1TLV|1AART	17LWND|27VULN|3RCVC|457DUR|6AART|7BPWR|8ASPD|9RCR|aTLV
166	31223 23262	4	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1LWND|2FEWX|34DMG|5ASPD|6TLV|7DUR|89VULN|aRCR
167	31223 24222	4	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1LWND|2FEWX|34DMG|5ASPD|6TLV|78VULN|9DUR|aRCR
168	61223 24222	4	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1BEXP|2FEWX|34DMG|5ASPD|6TLV|78VULN|9DUR|aRCR
