0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12316 12636	4	 * 	295.62	DCR|5VULN|3DUR|2CDMG|1AART	18CDMG|24578VULN|345DUR|458BPWR|6AART|9ASPD|aRCR
78	12316 33255	5	   	272.86	DCR|4VULN|3DUR|1DMG|1CDMG	1CDMG|246aVULN|348DUR|4BPWR|5ZMB|7DMG|9RCR
79	34123 34621	5	   	272.77	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	145VULN|23DUR|69TLV|7DMG|8CDMG|aRCR
80	32265 52323	7	   	272.67	DCR|3VULN|3DUR|1TLV|2CDMG	147VULN|2MLV|367DUR|57CDMG|7BPWR|8RCR|9TLV|aLIT
81	12316 21326	4	   	272.64	DCR|3VULN|3DUR|2TLV|2CDMG	1aCDMG|245VULN|345DUR|45aBPWR|6RCVC|7aTLV|8RCR|9aMLV
82	12326 61312	3	   	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	14CDMG|259VULN|356DUR|5BPWR|7TLV|8RCR|aASPD
83	12326 61312	2	   	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	14CDMG|259VULN|356DUR|5BPWR|7TLV|8RCR|aASPD
84	12326 61313	2	   	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	14CDMG|259VULN|356DUR|5BPWR|7TLV|8RCR|aLIT
85	12326 61313	3	   	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	14CDMG|259VULN|356DUR|5BPWR|7TLV|8RCR|aLIT
86	12316 32326	4	 * 	272.54	DCR|3VULN|3DUR|3TLV|2CDMG	1aCDMG|245VULN|345DUR|45aBPWR|67aTLV|8RCR|9aMLV
87	12315 61326	4	   	272.54	DCR|3VULN|3DUR|2TLV|2CDMG	1aCDMG|245VULN|346DUR|4aBPWR|7aTLV|8RCR|9aMLV
88	12316 26211	7	   	272.54	DCR|3VULN|3DUR|2TLV|2CDMG	17CDMG|247VULN|349DUR|47BPWR|5ZMB|67TLV|8RPLT|aRCR
89	12316 26311	8	   	272.54	DCR|3VULN|3DUR|2TLV|2CDMG	17CDMG|247VULN|349DUR|47BPWR|5ZMB|67TLV|8RPLT|aRCR
90	32224 61242	1	   	272.45	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	17aVULN|2AART|37CDMG|4aDUR|5LWND|67LHND|7aBPWR|8RCR|9aDMG
91	12316 32321	4	   	272.44	DCR|3VULN|3DUR|2TLV|2CDMG	1aCDMG|245VULN|345DUR|45BPWR|67TLV|8RCR|9MLV
92	34124 11163	6	 * 	272.44	DCR|3VULN|3DUR|2TLV|1DMG	14aVULN|23aDUR|5DMG|6LWND|7aTLV|8RCR|9LEGI|aBPWR
93	34124 51113	6	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	14aVULN|23aDUR|5DMG|6FEWX|7aTLV|8RCR|9LEGI|aBPWR
94	31265 33261	5	   	272.39	DCR|4VULN|2DMG|1TLV|1CDMG	1469VULN|2DUST|3TLV|5CDMG|78DMG|aRCR
95	31526 23261	4	   	272.39	DCR|4VULN|2DMG|1TLV|1CDMG	1349VULN|2DUST|5CDMG|6TLV|78DMG|aRCR
96	34216 21242	6	   	272.35	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	17aVULN|27DUR|3aLHND|4DUST|57CDMG|6AART|7aBPWR|8RCR|9aDMG
97	34233 31242	6	   	272.35	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	17aVULN|2aDUR|37LHND|47CDMG|5AART|6LEGI|7aBPWR|8RCR|9aDMG
98	31146 21242	6	   	272.25	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	17aVULN|27DUST|3aDUR|4LHND|57CDMG|6AART|7aBPWR|8RCR|9aDMG
99	31632 31242	4	   	272.25	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	17aVULN|27DUST|3aCDMG|4LHND|5AART|67DUR|7aBPWR|8RCR|9aDMG
100	31633 31242	5	   	272.25	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	17aVULN|27DUST|3aCDMG|4LHND|5AART|67DUR|7aBPWR|8RCR|9aDMG
101	12315 82644	10	   	272.19	DCR|4VULN|2DUR|1TLV|2CDMG	19CDMG|249aVULN|34DUR|49BPWR|5MBVNT|6TLV|79MLV|8RCR
102	61333 52152	9	 * 	271.40	DCR|3VULN|3DMG|3DUR	168DUR|2DUST|3RPLT|458VULN|78aDMG|8BPWR|9RCR
103	12315 82642	10	   	271.20	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19CDMG|249VULN|34DUR|49BPWR|5MBVNT|6TLV|79MLV|8RCR|aDMG
104	43613 12322	8	   	271.14	DCR|5VULN|3DUR|1CDMG	1DMSP|279ERES|3CDMG|4679aVULN|579DUR|79BPWR|8RCR
105	34523 63322	5	   	270.47	DCR|5VULN|2DUR|1TLV	13456VULN|26DUR|6BPWR|7CGEN|8TLV|9RCR|aMLV
106	12315 47381	7	   	270.40	DCR|3VULN|3DUR|1TLV|3CDMG	167CDMG|247VULN|347DUR|47BPWR|5MBVNT|8TLV|9FEWX|aRCR
107	32265 52321	7	   	270.40	DCR|3VULN|3DUR|1TLV|3CDMG	147VULN|2MLV|367DUR|57aCDMG|7BPWR|8RCR|9TLV
108	34523 63321	5	   	270.37	DCR|5VULN|2DUR|1TLV	13456VULN|26DUR|6BPWR|7CGEN|8TLV|9RCR|aDUST
109	34123 62622	8	   	270.37	DCR|5VULN|2DUR|1TLV	14568VULN|23DUR|7LWND|9RCR|aTLV
110	34123 62632	9	   	270.37	DCR|5VULN|2DUR|1TLV	14568VULN|23DUR|7LWND|9RCR|aTLV
111	34123 63622	8	   	270.37	DCR|5VULN|2DUR|1TLV	14568VULN|23DUR|7BEXP|9RCR|aTLV
112	12352 12322	8	   	270.30	DCR|3VULN|3DUR|1TLV|3CDMG	179CDMG|246VULN|379DUR|579ERES|79BPWR|8RCR|aTLV
113	13536 11226	6	   	269.86	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3479VULN|4BPWR|5DMG|6RCR|8BELT|aTLV
114	13536 11423	6	   	269.86	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3479VULN|4BPWR|5DMG|6RCR|8LHND|aTLV
115	13536 11623	6	   	269.86	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3479VULN|4BPWR|5DMG|6RCR|8LWND|aTLV
116	13536 12332	9	   	269.86	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|349aVULN|4BPWR|5DMG|6RCR|7TLV|8BELT
117	13536 15323	5	   	269.86	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3469VULN|4BPWR|5DMG|7BEXP|8RCR|aTLV
118	13536 16111	8	   	269.86	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3478VULN|4BPWR|5DMG|6RCR|9TLV|aCGEN
119	13536 16133	9	   	269.86	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3478VULN|4BPWR|5DMG|6RCR|9FEWX|aTLV
120	13536 16223	8	   	269.86	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3479VULN|4BPWR|5DMG|6RCR|8LWND|aTLV
121	13536 16323	8	   	269.86	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3479VULN|4BPWR|5DMG|6RCR|8BEXP|aTLV
122	13536 61323	5	   	269.86	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3479VULN|4BPWR|5DMG|6BEXP|8RCR|aTLV
123	36231 13113	4	 * 	269.79	DCR|3VULN|3DMG|1TLV|1DUR	16aVULN|2aBEXP|3TLV|4DUR|57aDMG|8RCR|9LEGI|aBPWR
124	13536 16113	8	   	269.76	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3478VULN|4BPWR|5DMG|6RCR|9TLV|aERES
125	13536 51323	5	   	269.76	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3479VULN|4BPWR|5DMG|6DUST|8RCR|aTLV
126	13536 61323	6	   	269.76	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3479VULN|4BPWR|5DMG|6DUST|8RCR|aTLV
127	31231 13113	4	   	269.59	DCR|3VULN|3DMG|1TLV|1DUR	16aVULN|2aDUST|3TLV|4DUR|57aDMG|8RCR|9LEGI|aBPWR
128	12316 53236	4	   	269.50	DCR|3VULN|3DUR|2DMG|1CDMG	1CDMG|245VULN|345DUR|45BPWR|6RPLT|7aDMG|8RCR|9BELT
129	31332 52113	1	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	138VULN|2TLV|48LIT|58DMG|6BBNT|7RCR|8BPWR|9DUR|aLHND
130	31332 52115	1	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	138VULN|2TLV|48LIT|58DMG|6BBNT|7RCR|8BPWR|9DUR|aCGEN
131	31332 52116	1	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	138VULN|2TLV|48LIT|58DMG|6BBNT|7RCR|8BPWR|9DUR|aBEXP
132	31332 52112	1	   	268.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	138VULN|2TLV|48LIT|58DMG|6BBNT|7RCR|8BPWR|9DUR|aTBNT
133	12316 21346	6	   	268.88	DCR|3VULN|2TLV|2DUR|2CDMG|1AART	18CDMG|248VULN|34DUR|48BPWR|5ZMB|68TLV|7AART|9BBNT|aRCR
134	12316 21346	5	   	268.88	DCR|3VULN|2TLV|2DUR|2CDMG|1AART	18CDMG|248VULN|34DUR|48BPWR|5ZMB|68TLV|7AART|9BBNT|aRCR
135	34124 22423	10	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	148VULN|23DUR|58DMG|6BELT|78FEWX|8BPWR|9RCR|aTLV
136	34124 23423	10	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	148VULN|23DUR|58DMG|6BELT|78BEXP|8BPWR|9RCR|aTLV
137	31332 52111	1	   	268.75	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1SELL	138VULN|2TLV|48LIT|58DMG|6BBNT|7RCR|8BPWR|9DUR|aSELL
138	31332 52124	1	   	268.75	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1SELL	138VULN|2TLV|48LIT|58DMG|6BBNT|7RCR|8BPWR|9SELL|aDUR
139	12315 53253	4	   	268.42	DCR|3VULN|3DUR|1DMG|1CDMG	1CDMG|245VULN|348DUR|4BPWR|6ASPD|7DMG|9RCR|aLIT
140	13536 12336	9	 * 	268.41	DCR|3VULN|2TLV|3LIT|1DMG|2CDMG	1aCDMG|24aLIT|349VULN|4aBPWR|5DMG|6RCR|7aTLV|8BELT
141	33324 34214	5	 * 	268.35	DCR|4VULN|3DMG|2CDMG	1469VULN|2RCVC|3DUST|579DMG|89CDMG|9BPWR|aRCR
142	33324 41214	5	   	268.35	DCR|4VULN|3DMG|2CDMG	1479VULN|2RCVC|3DUST|569DMG|89CDMG|9BPWR|aRCR
143	13536 16112	10	 * 	268.31	DCR|5VULN|1DMG|2CDMG|2LIT	19CDMG|24LIT|3478aVULN|4BPWR|5DMG|6RCR
144	31332 52125	1	   	268.16	DCR|3VULN|3DMG|1TLV|2LIT|1SELL	138VULN|2TLV|48LIT|58aDMG|6BBNT|7RCR|8BPWR|9SELL
145	34522 13123	4	   	268.13	DCR|4VULN|2DUR|1TLV|2ASPD|1SELL	1349VULN|29DUR|5SELL|6BELT|79ASPD|8RCR|9BPWR|aTLV
146	34526 13123	5	   	268.13	DCR|4VULN|2DUR|1TLV|2ASPD|1SELL	1349VULN|29DUR|5SELL|6BELT|79ASPD|8RCR|9BPWR|aTLV
147	34123 66121	9	   	267.84	DCR|4VULN|2DUR|1DMG|1CDMG	1456VULN|23DUR|7DMG|8CDMG|9RCR|aLIT
148	13536 13512	6	   	267.76	DCR|4VULN|2DMG|2CDMG|2LIT	18CDMG|24LIT|348aVULN|48BPWR|58DMG|6RCR|7BELT|9RMIN
149	13536 13521	6	   	267.76	DCR|4VULN|2DMG|2CDMG|2LIT	18CDMG|24LIT|3489VULN|48BPWR|58DMG|6RCR|7BELT|aRPLT
150	13536 13523	6	   	267.76	DCR|4VULN|2DMG|2CDMG|2LIT	18CDMG|24LIT|3489VULN|48BPWR|58DMG|6RCR|7BELT|aLHND
151	12316 25341	4	   	267.75	DCR|4VULN|3DUR|2LIT|1CDMG	1CDMG|2458VULN|345DUR|45BPWR|6RCVC|7aLIT|9RCR
152	12316 11234	4	   	267.71	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	1CDMG|245VULN|345DUR|45BPWR|6AART|7BELT|8TLV|9CGEN|aRCR
153	12316 21333	4	   	267.71	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	1CDMG|245VULN|345DUR|45BPWR|6RCVC|7TLV|8RCR|9BEXP|aAART
154	12316 21353	4	   	267.71	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	1CDMG|245VULN|345DUR|45BPWR|6RCVC|7TLV|8RCR|9FEWX|aAART
155	31231 14214	5	   	267.66	DCR|3VULN|2TLV|2DUR|2LIT|1CDMG	189VULN|2DUST|39TLV|4aDUR|5CDMG|6RCR|79LIT|9BPWR
156	12326 56323	2	   	267.65	DCR|3VULN|2DUR|1TLV|2CDMG	14CDMG|259VULN|35DUR|5BPWR|6ASPD|7RCR|8LIT|aTLV
157	12326 56323	3	   	267.65	DCR|3VULN|2DUR|1TLV|2CDMG	14CDMG|259VULN|35DUR|5BPWR|6ASPD|7RCR|8LIT|aTLV
158	12315 33625	4	   	267.62	DCR|4VULN|3DUR|2CDMG	17CDMG|2457VULN|347DUR|47BPWR|6RPLT|8LIT|9LHND|aRCR
159	12315 61333	4	   	267.61	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	1CDMG|245VULN|346DUR|4BPWR|7TLV|8RCR|9BEXP|aAART
160	12315 61353	4	   	267.61	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	1CDMG|245VULN|346DUR|4BPWR|7TLV|8RCR|9FEWX|aAART
161	12316 21343	4	   	267.61	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	1CDMG|245VULN|345DUR|45BPWR|6RCVC|7TLV|8RCR|9DUST|aAART
162	12356 61333	4	   	267.61	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	1CDMG|245VULN|356DUR|5BPWR|7TLV|8RCR|9BEXP|aAART
163	12316 21116	6	   	267.61	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	1CDMG|24aVULN|349DUR|4BPWR|5ZMB|6TLV|7AART|8RCR
164	12316 21116	5	   	267.61	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	1CDMG|24aVULN|349DUR|4BPWR|5ZMB|6TLV|7AART|8RCR
