0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23484 31414	1	 * 	267.23	DCR|3VULN|3DUR|2TLV|2LIT	189DUR|2MBVNT|34LIT|568VULN|78TLV|8BPWR|aRCR
21	36224 23335	6	   	257.84	ACR|3VULN|3DUR|2DMG|3TLV	1RCR|29aVULN|3RPLT|4aDMG|5LEGI|69aDUR|789TLV|9aBPWR
22	36523 62231	8	   	256.45	ACR|4VULN|2DMG|1TLV|1DUR|1CDMG	1RCR|2379VULN|4TLV|57ERES|67DMG|7BPWR|8CDMG|aDUR
23	31435 13124	8	 * 	256.32	ACR|3VULN|3DMG|3ASPD|3LIT|2AART	1RCR|259ASPD|35aDMG|46AART|59aBPWR|79aLIT|89aVULN
24	36523 62332	7	   	255.95	ACR|4VULN|3DMG|1TLV|1CDMG	1RCR|2378VULN|4TLV|578ERES|678DMG|78BPWR|9CDMG|aCGEN
25	36523 62333	7	   	255.95	ACR|4VULN|3DMG|1TLV|1CDMG	1RCR|2378VULN|4TLV|578ERES|678DMG|78BPWR|9CDMG|aFEWX
26	36523 62313	7	   	255.85	ACR|4VULN|3DMG|1TLV|1CDMG	1RCR|2378VULN|4TLV|578ERES|678DMG|78BPWR|9DUST|aCDMG
27	36523 62331	7	   	255.85	ACR|4VULN|3DMG|1TLV|1CDMG	1RCR|2378VULN|4TLV|578ERES|678DMG|78BPWR|9CDMG|aBBNT
28	31415 12512	8	   	255.84	ACR|3VULN|2DMG|2TLV|2ASPD|1DUR|1AART	1RCR|28ASPD|38DMG|4DUR|59aVULN|6AART|78TLV|8BPWR
29	36623 42231	9	 * 	255.64	ACR|5VULN|3TLV|1DMG|2CDMG	1RCR|25679VULN|37LWND|479TLV|79BPWR|89CDMG|aDMG
30	33234 31483	1	 * 	255.44	ACR|5VULN|2TLV|3LIT|1DMG	1RCR|2MBVNT|35689VULN|458LIT|58BPWR|78TLV|aDMG
31	62423 42321	10	 * 	254.24	DCR|3VULN|2DMG|1TLV|1DUR	189CGEN|2BEXP|39DMG|4TLV|5DUR|679VULN|9BPWR|aRCR
32	24236 31316	1	   	254.05	DCR|4VULN|1TLV|1DUR	1DUR|2569VULN|3FEWX|4LIT|7TLV|8RCR|aASPD
33	24236 31316	4	   	254.05	DCR|4VULN|1TLV|1DUR	1DUR|2LIT|3FEWX|4569VULN|7TLV|8RCR|aASPD
34	24336 31316	4	   	254.05	DCR|4VULN|1TLV|1DUR	1DUR|2LIT|3BEXP|4569VULN|7TLV|8RCR|aASPD
35	36433 32241	6	 * 	254.05	ACR|4VULN|2DUR|3CDMG|2ASPD|1AART	1RCR|257aVULN|3AART|47aCDMG|67ASPD|7aBPWR|8LIT|9aDUR
36	53123 46222	2	   	253.96	DCR|3VULN|3DUR|1TLV|1AART	1RCVC|2LEGI|356DUR|456VULN|56BPWR|7RCR|8TLV|9AART|aLHND
37	53123 46223	2	   	253.96	DCR|3VULN|3DUR|1TLV|1AART	1RCVC|2LEGI|356DUR|456VULN|56BPWR|7RCR|8TLV|9AART|aBEXP
38	53123 46221	2	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	1RCVC|2LEGI|356DUR|456VULN|56BPWR|7RCR|8TLV|9AART|aTBNT
39	33234 31448	1	   	253.35	ACR|4VULN|2TLV|3LIT|1DMG|1DUR	1RCR|2MBVNT|3568VULN|458LIT|58BPWR|78TLV|9DUR|aDMG
40	55232 22326	2	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|2ASPD|3DMG|489VULN|5DUR|6RCR|7LIT|aTLV
41	23321 41325	6	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	16DUR|2MLV|3RMIN|4LIT|56aVULN|6BPWR|7TLV|8RCR|9CDMG
42	24333 41325	6	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	16DUR|2LIT|35BEXP|46aVULN|6BPWR|7TLV|8RCR|9CDMG
43	25321 41325	6	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	16DUR|23LHND|4LIT|56aVULN|6BPWR|7TLV|8RCR|9CDMG
44	14636 31321	4	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|2LIT|3aDUR|456VULN|7TLV|8RCR|9CDMG
45	23233 28574	1	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	15DUR|2MBVNT|3BELT|457VULN|5BPWR|6ASPD|8RCR|9TLV|aCDMG
46	24235 31325	5	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	15DUR|2LIT|3FEWX|46aVULN|7TLV|8RCR|9CDMG
47	24313 31325	1	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	13DUR|26aVULN|4LIT|5FEWX|7TLV|8RCR|9CDMG
48	24315 31325	1	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	13DUR|26aVULN|4LIT|5LWND|7TLV|8RCR|9CDMG
49	24335 31325	5	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	15DUR|2LIT|3BEXP|46aVULN|7TLV|8RCR|9CDMG
50	24316 31325	1	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	13DUR|26aVULN|4LIT|5LEGI|7TLV|8RCR|9CDMG
51	24433 31325	4	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	15DUR|2LIT|3DUST|46aVULN|7TLV|8RCR|9CDMG
52	24536 31321	4	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	1aDUR|2LIT|3LEGI|456VULN|7TLV|8RCR|9CDMG
53	24623 31325	2	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	15DUR|2LIT|36aVULN|4DUST|7TLV|8RCR|9CDMG
54	26521 31325	5	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	13DUR|23DUST|3BPWR|4LIT|56aVULN|7TLV|8RCR|9CDMG
55	53123 46212	2	   	252.51	DCR|3VULN|3DUR|1TLV	1RCVC|2LEGI|356DUR|456VULN|56BPWR|7RCR|8TLV|9TBNT|aLIT
56	53123 46311	2	   	252.51	DCR|3VULN|3DUR|1TLV	1RCVC|2LEGI|356DUR|456VULN|56BPWR|7RCR|8LIT|9DUST|aTLV
57	25212 61335	7	 * 	252.48	DCR|3VULN|3DUR|3TLV|1NUKE	19aDUR|2aLHND|3RPLT|49aVULN|5NUKE|6RCR|789TLV|9aBPWR
58	25212 63431	6	   	252.38	DCR|3VULN|3DUR|2TLV|1NUKE	179DUR|2LHND|3RPLT|49aVULN|5NUKE|6RCR|89TLV|9BPWR
59	26212 61335	7	   	252.28	DCR|3VULN|3DUR|3TLV|1NUKE	19aDUR|2aDUST|3RPLT|49aVULN|5NUKE|6RCR|789TLV|9aBPWR
60	26212 63335	6	   	252.28	DCR|3VULN|3DUR|3TLV|1NUKE	19aDUR|2aDUST|3RPLT|49aVULN|5NUKE|6RCR|789TLV|9aBPWR
61	36433 12122	7	   	251.96	ACR|4VULN|2DUR|1DMG|2LIT|1CDMG|1AART	1RCR|2589VULN|3AART|4CDMG|68DUR|78LIT|8BPWR|aDMG
62	36521 42232	10	   	251.93	ACR|5VULN|2TLV|2CDMG|1DUR	1RCR|23679VULN|47TLV|579BEXP|79BPWR|89CDMG|aDUR
63	16423 42212	10	   	251.64	DCR|3VULN|2DMG|1TLV|1CDMG	17LHND|2TLV|37DMG|467VULN|5RMIN|7BPWR|8CDMG|9CGEN|aRCR
64	24313 15531	2	 * 	251.12	DCR|2VULN|3DUR|2DMG|3LIT	147DUR|247LIT|3aRCVC|47BPWR|57DMG|6RCR|89VULN
65	24313 15532	2	   	251.02	DCR|2VULN|3DUR|2DMG|3LIT	147DUR|247LIT|3RCVC|47BPWR|57DMG|6RCR|89VULN|aBBNT
66	24313 15533	2	   	251.02	DCR|2VULN|3DUR|2DMG|3LIT|1NUKE	147DUR|247LIT|3RCVC|47BPWR|57DMG|6RCR|89VULN|aNUKE
67	36523 62322	7	   	250.61	ACR|4VULN|3DMG|1TLV	1RCR|2378VULN|4TLV|578ERES|678DMG|78BPWR|9LWND|aLIT
68	36522 61111	9	   	250.44	ACR|5VULN|2TLV|1DMG|2LIT	1RCR|2389aVULN|4aTLV|5CGEN|6DMG|7aLIT|aBPWR
69	36522 62313	7	 * 	250.44	ACR|4VULN|3DMG|2TLV|1SELL	1RCR|2378VULN|4aTLV|578CGEN|678DMG|78BPWR|9SELL
70	36523 61111	9	   	250.34	ACR|5VULN|2TLV|1DMG|2LIT	1RCR|2389aVULN|4aTLV|5ERES|6DMG|7aLIT|aBPWR
71	16153 12413	2	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2TLV|3CDMG|4DUR|5DMG|68aVULN|7FEWX|9RCR
72	33228 84712	1	   	250.08	ACR|3VULN|2DMG|2DUR|1TLV|1CDMG	1RCR|2MBVNT|38aVULN|4BELT|5CDMG|68DMG|78DUR|8BPWR|9TLV
73	33726 53133	1	   	250.08	ACR|3VULN|2DMG|2DUR|1TLV|1CDMG	1RCR|2MBVNT|39DMG|4CDMG|59aVULN|6LHND|7TLV|89DUR|9BPWR
74	33523 42242	8	   	249.23	ACR|5VULN|2TLV|1DMG|1CDMG	1RCR|27LWND|35679VULN|47TLV|7BPWR|8CDMG|aDMG
75	25431 63333	8	   	248.94	DCR|3VULN|2DUR|1TLV|1AART	14DUR|2LHND|3AART|58aVULN|6RCR|7LIT|9TLV
76	36522 62221	10	   	248.70	ACR|4VULN|2DMG|1TLV|1CDMG	1RCR|237aVULN|4TLV|57CGEN|67DMG|7BPWR|8CDMG|9ASPD
77	31432 11424	4	   	248.45	ACR|3VULN|3DMG|3ASPD|3LIT|1AART	1RCR|269ASPD|35aDMG|4AART|79aVULN|89aLIT|9aBPWR
78	36125 62322	7	 * 	248.39	ACR|5VULN|3DMG|1CDMG	1RCR|25789VULN|3CGEN|478DMG|678ZMB|78BPWR|aCDMG
79	23233 24438	1	 * 	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	15DUR|2MBVNT|3BELT|45VULN|5BPWR|6ASPD|7TLV|8DMG|9CDMG|aRCR
80	36433 12261	9	 * 	248.26	ACR|3VULN|2DMG|2DUR|2CDMG|1AART	1RCR|25aVULN|3AART|4aCDMG|69DUR|7LIT|8aDMG|aBPWR
81	36513 21136	4	 * 	248.22	ACR|3VULN|3DUR|1TLV|2CDMG|2ASPD	1RCR|23aVULN|469DUR|5TLV|7aCDMG|8aASPD|aBPWR
82	24621 41321	6	   	248.11	DCR|2VULN|3DUR|1TLV|2LIT|1CDMG	16aDUR|23LIT|4LWND|56VULN|6BPWR|7TLV|8RCR|9CDMG
83	24236 31321	4	   	248.01	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1DUR|2LIT|3FEWX|456VULN|7TLV|8RCR|9CDMG|aAART
84	24236 31321	1	   	248.01	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1DUR|256VULN|3FEWX|4LIT|7TLV|8RCR|9CDMG|aAART
85	24336 31321	4	   	248.01	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1DUR|2LIT|3BEXP|456VULN|7TLV|8RCR|9CDMG|aAART
86	24436 31321	1	   	248.01	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1DUR|256VULN|3BEXP|4LIT|7TLV|8RCR|9CDMG|aAART
87	23143 42216	8	   	247.98	DCR|4VULN|2DUR|1CDMG	17DUR|2MLV|37FEWX|4567VULN|7BPWR|8CDMG|9RCR|aASPD
88	21521 43522	6	 * 	247.91	ACR|4VULN|3DUR|1TLV|2LIT	137DUR|2RCR|36BPWR|46LIT|569aVULN|8TLV
89	24436 31321	4	   	247.91	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1DUR|2LIT|3DUST|456VULN|7TLV|8RCR|9CDMG|aAART
90	24626 31321	2	   	247.91	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1DUR|2LIT|356VULN|4DUST|7TLV|8RCR|9CDMG|aAART
91	23464 16641	1	 * 	247.88	DCR|2VULN|3DUR|1TLV|1DMG	169DUR|2MBVNT|3LIT|4CGEN|56VULN|6BPWR|7DMG|8RCR|aTLV
92	33234 31442	1	 * 	247.87	ACR|4VULN|2TLV|2DUR|3LIT	1RCR|2MBVNT|3568VULN|458LIT|58BPWR|78TLV|9aDUR
93	36513 31111	5	   	247.87	ACR|4VULN|2TLV|2DUR|3LIT	1RCR|236aVULN|49DUR|58aLIT|7aTLV|aBPWR
94	36515 21111	6	   	247.87	ACR|4VULN|2TLV|2DUR|3LIT	1RCR|235aVULN|49DUR|68aLIT|7aTLV|aBPWR
95	36515 12132	10	 * 	247.87	ACR|4VULN|2TLV|2DUR|2CDMG	1RCR|2359VULN|49DUR|6aCDMG|7DUST|89TLV|9BPWR
96	22125 16523	10	 * 	247.75	DCR|2VULN|3DUR|2TLV|1DMG	169DUR|2ERES|39FEWX|4DMG|57VULN|89TLV|9BPWR|aRCR
97	23321 41316	6	   	247.69	DCR|3VULN|2DUR|1TLV	16DUR|2MLV|3RMIN|4LIT|569VULN|6BPWR|7TLV|8RCR|aASPD
98	24333 41316	6	   	247.69	DCR|3VULN|2DUR|1TLV	16DUR|2LIT|35BEXP|469VULN|6BPWR|7TLV|8RCR|aASPD
99	25321 41316	6	   	247.69	DCR|3VULN|2DUR|1TLV	16DUR|23LHND|4LIT|569VULN|6BPWR|7TLV|8RCR|aASPD
100	23352 22351	1	   	247.65	DCR|4VULN|3DUR	179DUR|2MBVNT|3LWND|479BEXP|5789VULN|6RCR|79BPWR|aASPD
101	23352 22352	1	   	247.65	DCR|4VULN|3DUR	179DUR|2MBVNT|3LWND|479BEXP|5789VULN|6RCR|79BPWR|aLIT
102	23562 22351	1	   	247.65	DCR|4VULN|3DUR	179DUR|2MBVNT|3BEXP|479LWND|5789VULN|6RCR|79BPWR|aASPD
103	23562 22352	1	   	247.65	DCR|4VULN|3DUR	179DUR|2MBVNT|3BEXP|479LWND|5789VULN|6RCR|79BPWR|aLIT
104	23862 22351	1	   	247.65	DCR|4VULN|3DUR	179DUR|2MBVNT|3FEWX|479LWND|5789VULN|6RCR|79BPWR|aASPD
105	23862 22352	1	   	247.65	DCR|4VULN|3DUR	179DUR|2MBVNT|3FEWX|479LWND|5789VULN|6RCR|79BPWR|aLIT
106	23341 22351	1	   	247.65	DCR|4VULN|3DUR	179DUR|2MBVNT|3LWND|4789VULN|579FEWX|6RCR|79BPWR|aASPD
107	23341 22352	1	   	247.65	DCR|4VULN|3DUR	179DUR|2MBVNT|3LWND|4789VULN|579FEWX|6RCR|79BPWR|aLIT
108	23342 22351	1	   	247.65	DCR|4VULN|3DUR	179DUR|2MBVNT|3LWND|4789VULN|579BEXP|6RCR|79BPWR|aASPD
109	23342 22352	1	   	247.65	DCR|4VULN|3DUR	179DUR|2MBVNT|3LWND|4789VULN|579BEXP|6RCR|79BPWR|aLIT
110	23233 28571	1	   	247.59	DCR|3VULN|2DUR|1TLV	15DUR|2MBVNT|3BELT|457VULN|5BPWR|6ASPD|8RCR|9TLV|aLIT
111	24235 31316	5	   	247.59	DCR|3VULN|2DUR|1TLV	15DUR|2LIT|3FEWX|469VULN|7TLV|8RCR|aASPD
112	24236 31343	4	   	247.59	DCR|3VULN|2DUR|1TLV	1aDUR|2LIT|3FEWX|456VULN|7TLV|8RCR|9ASPD
113	24236 31343	1	   	247.59	DCR|3VULN|2DUR|1TLV	1aDUR|256VULN|3FEWX|4LIT|7TLV|8RCR|9ASPD
114	24313 31316	1	   	247.59	DCR|3VULN|2DUR|1TLV	13DUR|269VULN|4LIT|5FEWX|7TLV|8RCR|aASPD
115	24315 31316	1	   	247.59	DCR|3VULN|2DUR|1TLV	13DUR|269VULN|4LIT|5LWND|7TLV|8RCR|aASPD
116	24335 31316	5	   	247.59	DCR|3VULN|2DUR|1TLV	15DUR|2LIT|3BEXP|469VULN|7TLV|8RCR|aASPD
117	24336 31343	4	   	247.59	DCR|3VULN|2DUR|1TLV	1aDUR|2LIT|3BEXP|456VULN|7TLV|8RCR|9ASPD
118	24316 31316	1	   	247.49	DCR|3VULN|2DUR|1TLV	13DUR|269VULN|4LIT|5LEGI|7TLV|8RCR|aASPD
119	24433 31316	4	   	247.49	DCR|3VULN|2DUR|1TLV	15DUR|2LIT|3DUST|469VULN|7TLV|8RCR|aASPD
120	24623 31316	2	   	247.49	DCR|3VULN|2DUR|1TLV	15DUR|2LIT|369VULN|4DUST|7TLV|8RCR|aASPD
121	26521 31316	5	   	247.49	DCR|3VULN|2DUR|1TLV	13DUR|23DUST|3BPWR|4LIT|569VULN|7TLV|8RCR|aASPD
122	23233 88213	1	   	247.35	DCR|4VULN|3DUR	156DUR|2MBVNT|3BELT|4568VULN|568BPWR|7BBNT|9LIT|aRCR
123	23312 22351	1	   	247.35	DCR|4VULN|3DUR	179DUR|2MBVNT|3LWND|479DUST|5789VULN|6RCR|79BPWR|aASPD
124	23312 22352	1	   	247.35	DCR|4VULN|3DUR	179DUR|2MBVNT|3LWND|479DUST|5789VULN|6RCR|79BPWR|aLIT
125	24212 31642	1	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1DUR|256aVULN|3FEWX|4DUST|7AART|8RCR|9TLV
126	31425 43331	5	   	246.69	ACR|4VULN|2DMG|2ASPD|1DUR|1CDMG	1RCR|28ASPD|36DMG|4568VULN|68BPWR|78CGEN|9CDMG|aDUR
127	33523 42324	10	 * 	246.55	ACR|5VULN|2TLV|2DUR	1RCR|27aLWND|3567aVULN|47TLV|7aBPWR|8FEWX|9aDUR
128	31425 41331	5	   	246.49	ACR|4VULN|2DMG|2ASPD|1DUR|1CDMG	1RCR|28ASPD|36DMG|4568VULN|68BPWR|78ERES|9CDMG|aDUR
129	24236 31324	4	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	1DUR|2LIT|3FEWX|456VULN|7aTLV|8RCR|9CDMG
130	24236 31324	1	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	1DUR|256VULN|3FEWX|4LIT|7aTLV|8RCR|9CDMG
131	24336 31324	4	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	1DUR|2LIT|3BEXP|456VULN|7aTLV|8RCR|9CDMG
132	16423 42321	8	   	246.30	DCR|3VULN|2DMG|1TLV	17LHND|2TLV|37DMG|467VULN|5RMIN|7BPWR|8FEWX|9LIT|aRCR
133	36623 24245	10	   	246.25	ACR|5VULN|2TLV|2DUR	1RCR|2589aVULN|3LWND|4aTLV|6MBVNT|7aDUR|aBPWR
134	23421 42632	6	   	246.20	DCR|2VULN|2DMG|2DUR|2CDMG	1aDUR|26MLV|3aDMG|4LIT|56VULN|6aBPWR|7aCDMG|8TBNT|9RCR
135	16423 42221	7	   	246.20	DCR|3VULN|2DMG|1TLV	17LHND|2TLV|37DMG|467VULN|5RMIN|7BPWR|8DUST|9LIT|aRCR
136	52123 62621	10	 * 	246.17	DCR|3VULN|2DMG|2TLV	1RCVC|279VULN|37BEXP|49TLV|5ERES|67DMG|79BPWR|89FEWX|aRCR
137	23421 32632	5	   	246.10	DCR|2VULN|2DMG|2DUR|2CDMG	1aDUR|2MLV|3aDMG|4LIT|56VULN|7aCDMG|8TBNT|9RCR|aBPWR
138	36253 32341	8	   	246.09	ACR|3VULN|2DMG|2DUR|1TLV|1AART	1RCR|259VULN|3RPLT|4AART|69DMG|7LEGI|89DUR|9BPWR|aTLV
139	16423 42331	10	   	246.07	DCR|3VULN|2DMG|2TLV	17LHND|29TLV|37DMG|467VULN|5RMIN|7BPWR|8FEWX|aRCR
140	36433 32331	6	   	246.01	ACR|4VULN|3CDMG|1DUR|2ASPD|2LIT|1AART	1RCR|257aVULN|3AART|47aCDMG|67ASPD|7aBPWR|8DUR|9aLIT
141	22421 42632	6	   	246.00	DCR|2VULN|2DMG|2DUR|2CDMG	1aDUR|26ERES|3aDMG|4LIT|56VULN|6aBPWR|7aCDMG|8TBNT|9RCR
142	23542 34554	1	   	245.98	DCR|4VULN|2DUR|1DMG	19DUR|2MBVNT|3BEXP|4569VULN|79FEWX|8RCR|9BPWR|aDMG
143	23842 71454	1	   	245.98	DCR|4VULN|2DUR|1DMG	19DUR|2MBVNT|3FEWX|4579VULN|6RCR|89BEXP|9BPWR|aDMG
144	25513 31141	7	   	245.94	DCR|2VULN|2DUR|1TLV|2ASPD|1CDMG|1AART	19DUR|2LHND|39VULN|4LWND|5AART|6RCR|7CDMG|89ASPD|9BPWR|aTLV
145	24621 41311	6	   	245.93	DCR|3VULN|2DUR|1TLV|2LIT	16DUR|23LIT|4LWND|569VULN|6BPWR|7TLV|8RCR|aRMIN
146	24621 41312	6	   	245.93	DCR|3VULN|2DUR|1TLV|2LIT	16DUR|23LIT|4LWND|569VULN|6BPWR|7TLV|8RCR|aBELT
147	25523 31141	7	   	245.84	DCR|2VULN|2DUR|1TLV|2ASPD|1CDMG|1AART	19DUR|2LHND|39VULN|4DUST|5AART|6RCR|7CDMG|89ASPD|9BPWR|aTLV
148	24611 41311	6	   	245.83	DCR|3VULN|2DUR|1TLV|2LIT	16DUR|23LIT|4DUST|569VULN|6BPWR|7TLV|8RCR|aRMIN
149	24611 41312	6	   	245.83	DCR|3VULN|2DUR|1TLV|2LIT	16DUR|23LIT|4DUST|569VULN|6BPWR|7TLV|8RCR|aBELT
150	14636 31311	4	   	245.75	DCR|4VULN|1TLV|1DUR	1LHND|2LIT|3DUR|4569VULN|7TLV|8RCR|aRMIN
151	14636 31312	4	   	245.75	DCR|4VULN|1TLV|1DUR	1LHND|2LIT|3DUR|4569VULN|7TLV|8RCR|aBELT
152	24236 31311	1	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2569VULN|3FEWX|4LIT|7TLV|8RCR|aRMIN
153	24236 31311	4	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2LIT|3FEWX|4569VULN|7TLV|8RCR|aRMIN
154	24236 31312	4	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2LIT|3FEWX|4569VULN|7TLV|8RCR|aBELT
155	24236 31312	1	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2569VULN|3FEWX|4LIT|7TLV|8RCR|aBELT
156	24236 31314	1	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2569VULN|3FEWX|4LIT|7TLV|8RCR|aCGEN
157	24236 31314	4	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2LIT|3FEWX|4569VULN|7TLV|8RCR|aCGEN
158	24236 31315	4	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2LIT|3FEWX|4569VULN|7TLV|8RCR|aBEXP
159	24236 31315	1	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2569VULN|3FEWX|4LIT|7TLV|8RCR|aBEXP
160	24336 31311	4	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2LIT|3BEXP|4569VULN|7TLV|8RCR|aRMIN
161	24336 31312	4	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2LIT|3BEXP|4569VULN|7TLV|8RCR|aBELT
162	24336 31314	4	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2LIT|3BEXP|4569VULN|7TLV|8RCR|aCGEN
163	24336 31315	4	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2LIT|3BEXP|4569VULN|7TLV|8RCR|aFEWX
164	24436 31311	1	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2569VULN|3BEXP|4LIT|7TLV|8RCR|aRMIN
165	24436 31312	1	   	245.75	DCR|4VULN|1TLV|1DUR	1DUR|2569VULN|3BEXP|4LIT|7TLV|8RCR|aBELT
166	16143 41111	8	   	245.75	DCR|4VULN|1TLV|1DUR	1LHND|2TLV|3FEWX|4568VULN|7LIT|9DUR|aRCR
167	31415 12513	8	   	245.73	ACR|2VULN|2DMG|2TLV|2DUR|2ASPD|1AART	1RCR|28ASPD|38DMG|4aDUR|59VULN|6AART|78TLV|8BPWR
168	31415 12532	10	   	245.73	ACR|2VULN|2DMG|2TLV|2DUR|2ASPD|1AART	1RCR|28ASPD|38DMG|49DUR|5aVULN|6AART|78TLV|8BPWR
169	31415 12532	9	   	245.73	ACR|2VULN|2DMG|2TLV|2DUR|2ASPD|1AART	1RCR|28ASPD|38DMG|49DUR|5aVULN|6AART|78TLV|8BPWR
170	32641 23233	8	 * 	245.72	ACR|4VULN|3DMG|3LIT|1AART	1RCR|239LIT|4AART|5789VULN|69aDMG|9BPWR
