0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23523 16441	3	 * 	292.04	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1AART	17DMG|267VULN|3AART|47DUR|5MBVNT|7BPWR|8CDMG|9RCR|aTLV
27	23561 36222	5	 * 	276.53	DCR|2VULN|3DMG|3DUR|2CDMG|1AART	14aDMG|24VULN|3AART|4aBPWR|59aDUR|6RCR|7aCDMG|8RCVC
28	23564 31434	10	 * 	276.39	DCR|5VULN|3DMG|1AART	149DMG|24589VULN|3AART|49BPWR|6MBVNT|7RPLT|aRCR
29	23561 31316	8	   	276.34	DCR|3VULN|3DMG|2DUR|1AART	148DMG|248VULN|3AART|48BPWR|58DUR|6RCVC|7RPLT|9RCR|aASPD
30	23663 12333	9	 * 	275.91	DCR|3VULN|3DUR|2DMG|2CDMG	19DMG|249VULN|34FEWX|49BPWR|56CDMG|789DUR|aRCR
31	23561 31315	8	   	275.81	DCR|3VULN|3DMG|2DUR|2AART	148DMG|248VULN|3aAART|48BPWR|58DUR|6RCVC|7RPLT|9RCR
32	23364 24211	4	   	274.42	DCR|3VULN|3DMG|2DUR|2ASPD	159DMG|29aVULN|3LHND|48DUR|69ASPD|7RCR|9BPWR
33	23621 25136	10	 * 	273.01	DCR|2VULN|3DMG|3DUR|1TLV	179DMG|27VULN|3FEWX|4BEXP|567DUR|7BPWR|8RCR|aTLV
34	63251 26442	7	   	271.60	DCR|3VULN|3DMG|3DUR	178BEXP|289VULN|367DUR|4MBVNT|578DMG|78BPWR|aRCR
35	23621 25134	9	   	271.50	DCR|3VULN|3DMG|3DUR	179DMG|27aVULN|3FEWX|4BEXP|567DUR|7BPWR|8RCR
36	23122 63552	8	 * 	271.38	DCR|3VULN|3DMG|2TLV|1AART	18aDMG|268VULN|3BELT|4AART|58TLV|7RCVC|8BPWR|9RCR
37	23162 55332	6	   	271.28	DCR|3VULN|3DMG|2TLV|1AART	19aDMG|258VULN|3BELT|45TLV|5BPWR|6RCR|7AART
38	23621 25113	8	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	17DMG|27VULN|3FEWX|4BEXP|567DUR|7BPWR|8RCR|9CDMG|aTLV
39	23621 25163	9	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	17DMG|27VULN|3FEWX|4BEXP|567DUR|7BPWR|8RCR|9CDMG|aTLV
40	23621 25112	8	   	269.50	DCR|3VULN|3DUR|2DMG|1CDMG	17DMG|27aVULN|3FEWX|4BEXP|567DUR|7BPWR|8RCR|9CDMG
41	23621 25162	9	   	269.50	DCR|3VULN|3DUR|2DMG|1CDMG	17DMG|27aVULN|3FEWX|4BEXP|567DUR|7BPWR|8RCR|9CDMG
42	23561 13421	5	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV|1AART	147DMG|24VULN|3AART|4BPWR|56DUR|8TLV|9RCR|aRPLT
43	23561 13422	5	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV|1AART	147DMG|24VULN|3AART|4BPWR|56DUR|8TLV|9RCR|aBEXP
44	23561 13423	5	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV|1AART	147DMG|24VULN|3AART|4BPWR|56DUR|8TLV|9RCR|aCGEN
45	23621 66311	6	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|289VULN|3FEWX|4BEXP|58DUR|6RCR|7BELT|8BPWR|aTLV
46	23561 15222	7	   	268.79	DCR|3VULN|2DMG|2DUR|1AART	14DMG|24aVULN|3AART|4BPWR|58DUR|6ASPD|7LIT|9RCR
47	23523 65112	10	 * 	268.60	DCR|4VULN|2DMG|1TLV|1AART	16DMG|2689VULN|3AART|4RMIN|5RPLT|6BPWR|7RCR|aTLV
48	23561 31135	5	   	268.31	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG|1AART	149DMG|24VULN|3AART|4BPWR|5DUR|6RCR|7TLV|8LEGI|aCDMG
49	23561 31236	5	   	268.31	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG|1AART	149DMG|24VULN|3AART|4BPWR|5DUR|6RCR|7TLV|8MBVNT|aCDMG
50	23561 31311	8	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	148DMG|248VULN|3AART|48BPWR|58DUR|6RCVC|7RPLT|9RCR|aLWND
51	23561 31312	8	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	148DMG|248VULN|3AART|48BPWR|58DUR|6RCVC|7RPLT|9RCR|aFEWX
52	23561 31313	8	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	148DMG|248VULN|3AART|48BPWR|58DUR|6RCVC|7RPLT|9RCR|aRMIN
53	23561 35113	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|8LHND|9LWND|aZMB
54	23561 35121	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|8LHND|9DMSP|aRMIN
55	23561 35122	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|8LHND|9DMSP|aBEXP
56	23561 35123	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|8LHND|9DMSP|aLWND
57	23561 35131	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|89LHND|aRMIN
58	23561 35132	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|89LHND|aBEXP
59	23561 35133	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|89LHND|aLWND
60	23561 35213	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|8FEWX|9LWND|aZMB
61	23561 35231	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|89FEWX|aRMIN
62	23561 35232	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|89FEWX|aBEXP
63	23561 35233	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|89FEWX|aLWND
64	23561 35311	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|8RMIN|9FEWX|aRCVC
65	23561 35312	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|8RMIN|9FEWX|aLWND
66	23561 35313	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|8RMIN|9FEWX|aLHND
67	23561 35331	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|89RMIN|aRPLT
68	23561 35332	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|89RMIN|aBEXP
69	23561 35333	5	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|89RMIN|aCGEN
70	23561 31314	8	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	148DMG|248VULN|3AART|48BPWR|58DUR|6RCVC|7RPLT|9RCR|aMBVNT
71	23561 35111	5	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|8LHND|9LWND|aERES
72	23561 35211	5	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|8FEWX|9LWND|aERES
73	23561 35223	5	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|8FEWX|9LEGI|aZMB
74	23561 35221	5	   	267.84	DCR|3VULN|3DMG|2DUR|1AART	147DMG|247VULN|3AART|47BPWR|57DUR|6RCR|8FEWX|9LEGI|aERES
75	23263 24311	6	   	267.79	DCR|3VULN|2DMG|1TLV|2ASPD|1CDMG	18DMG|248VULN|34BEXP|48BPWR|5CDMG|68ASPD|7TBNT|9RCR|aTLV
76	23663 24311	6	   	267.79	DCR|3VULN|2DMG|1TLV|2ASPD|1CDMG	18DMG|248VULN|34FEWX|48BPWR|5CDMG|68ASPD|7TBNT|9RCR|aTLV
77	23162 52313	10	   	267.77	DCR|5VULN|2TLV|1DMG	1DMG|2589aVULN|3BELT|45TLV|5BPWR|6RCR|7FEWX
78	23233 24311	6	   	267.69	DCR|3VULN|2DMG|1TLV|2ASPD|1CDMG	18DMG|248VULN|3BEXP|5CDMG|68ASPD|7TBNT|8BPWR|9RCR|aTLV
79	23156 11262	10	   	267.44	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	17DMG|27VULN|3BELT|4CDMG|5TLV|67DUR|7BPWR|8FEWX|9RCR|aAART
80	23561 36111	5	   	267.34	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	14DMG|24VULN|3AART|4BPWR|58DUR|6RCR|7CDMG|9LHND|aTLV
81	23561 36131	5	   	267.34	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	14DMG|24VULN|3AART|4BPWR|58DUR|6RCR|7CDMG|9LWND|aTLV
82	23162 52326	10	 * 	267.22	DCR|4VULN|2DMG|2TLV	1aDMG|258aVULN|3BELT|45TLV|5aBPWR|6RCR|7FEWX|9aLWND
83	23166 22153	9	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	19DMG|29VULN|3BELT|4TLV|5LHND|679DUR|8AART|9BPWR|aRCR
84	23564 12222	6	   	266.85	DCR|4VULN|2DMG|1DUR|1AART	14DMG|2456VULN|3AART|4BPWR|7TBNT|8DUR|9LIT|aRCR
85	23564 21222	5	   	266.85	DCR|4VULN|2DMG|1DUR|1AART	14DMG|2458VULN|3AART|4BPWR|6TBNT|7DUR|9LIT|aRCR
86	23232 44111	3	   	266.58	DCR|3VULN|3DMG|2DUR	159DMG|29aVULN|38BEXP|4ASPD|69DUR|7RCR|9BPWR
87	23632 44111	2	   	266.58	DCR|3VULN|3DMG|2DUR	159DMG|29aVULN|38BEXP|4ASPD|69DUR|7RCR|9BPWR
88	23523 16443	3	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	17DMG|267VULN|3AART|47DUR|5MBVNT|7BPWR|8CDMG|9RCR|aFEWX
89	23523 16444	3	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	17DMG|267VULN|3AART|47DUR|5MBVNT|7BPWR|8CDMG|9RCR|aDMSP
90	23523 16447	3	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	17DMG|267VULN|3AART|47DUR|5MBVNT|7BPWR|8CDMG|9RCR|aZMB
91	23523 16448	3	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	17DMG|267VULN|3AART|47DUR|5MBVNT|7BPWR|8CDMG|9RCR|aLHND
92	23561 36223	5	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	14DMG|24aVULN|3AART|4BPWR|59DUR|6RCR|7CDMG|8RCVC
93	23523 16442	3	   	265.73	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	17DMG|267VULN|3AART|47DUR|5MBVNT|7BPWR|8CDMG|9RCR|aBBNT
94	23162 52314	10	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|2589VULN|3BELT|45TLV|5BPWR|6RCR|7FEWX|aDUR
95	23162 54113	10	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|259aVULN|3BELT|45TLV|5BPWR|6RCR|7DUR|8DMSP
96	23162 54313	9	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|2589VULN|3BELT|45TLV|5BPWR|6RCR|7DUR|aMLV
97	23162 54323	10	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|258aVULN|3BELT|45TLV|5BPWR|6RCR|7DUR|9LWND
98	23162 54333	10	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|258aVULN|39BELT|45TLV|5BPWR|6RCR|7DUR
99	23162 15243	6	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|2578VULN|3BELT|45TLV|5BPWR|6DUR|9RCR|aMLV
100	23162 54311	10	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|2589VULN|3BELT|45TLV|5BPWR|6RCR|7DUR|aERES
101	23162 54312	10	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|2589VULN|3BELT|45TLV|5BPWR|6RCR|7DUR|aMBVNT
102	23162 54312	9	 * 	265.58	DCR|4VULN|3TLV|1DMG|1DUR	1DMG|2589VULN|3BELT|45aTLV|5BPWR|6RCR|7DUR
103	23162 15242	6	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	1DMG|2578VULN|3BELT|45aTLV|5BPWR|6DUR|9RCR
104	23333 24315	6	 * 	264.77	DCR|3VULN|3DMG|3ASPD|1CDMG	18aDMG|28aVULN|34LHND|5CDMG|68aASPD|7TBNT|8aBPWR|9RCR
105	23162 15332	6	 * 	264.59	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	1DMG|257VULN|3BELT|45TLV|5BPWR|6DUR|8aCDMG|9RCR
106	23621 25124	10	   	264.15	DCR|3VULN|3DUR|2DMG	17DMG|27aVULN|3FEWX|4BEXP|567DUR|7BPWR|8RCR|9LIT
107	23156 11532	8	 * 	264.09	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	17DMG|27VULN|38BELT|4aCDMG|5TLV|67DUR|7BPWR|9RCR
108	52162 15333	10	 * 	263.89	DCR|2VULN|2DMG|2DUR|1TLV|3LIT	146LIT|2aVULN|3aDUR|5DUST|7RCR|8TLV|9aDMG|aBPWR
109	23564 21333	7	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14DMG|245VULN|3AART|4BPWR|6BELT|7TLV|8CGEN|9RCR|aDUR
110	23561 31315	5	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14DMG|24aVULN|3AART|4BPWR|5DUR|6RCR|7TLV|8CGEN|9ZMB
111	23564 21133	7	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14DMG|245VULN|3AART|4BPWR|6BELT|7TLV|8ERES|9RCR|aDUR
112	23561 31361	5	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14DMG|249VULN|3AART|4BPWR|5DUR|6RCR|7TLV|8CGEN|aTBNT
113	23561 31362	5	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14DMG|249VULN|3AART|4BPWR|5DUR|6RCR|7TLV|8CGEN|aDUST
114	23561 31363	5	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14DMG|249VULN|3AART|4BPWR|5DUR|6RCR|7TLV|8CGEN|aERES
115	23561 31284	5	   	263.60	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14DMG|24aVULN|3AART|4BPWR|5DUR|6RCR|7TLV|8MBVNT|9ERES
116	22661 38314	1	   	263.15	DCR|4VULN|3DMG|2LIT	17aDMG|2BBNT|3MBVNT|4678VULN|57LIT|7BPWR|9RCR
117	23566 11121	5	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	145DMG|246VULN|3AART|4BPWR|7TLV|8LEGI|9RCR|aRPLT
118	23566 11122	5	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	145DMG|246VULN|3AART|4BPWR|7TLV|8LEGI|9RCR|aBEXP
119	23566 11123	5	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	145DMG|246VULN|3AART|4BPWR|7TLV|8LEGI|9RCR|aCGEN
120	23566 21133	5	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	145DMG|24aVULN|3AART|4BPWR|6RCR|7DMSP|8TBNT|9TLV
121	23566 22233	5	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	145DMG|24aVULN|3AART|4BPWR|6RCR|7TBNT|8TLV|9DMSP
122	23561 31214	5	   	262.97	DCR|2VULN|3DMG|1TLV|1DUR|1AART	14aDMG|24VULN|3AART|4BPWR|5DUR|6RCR|7TLV|8MBVNT|9LIT
123	23566 31214	4	   	262.97	DCR|2VULN|3DMG|1TLV|1DUR|1AART	14aDMG|24VULN|3AART|4BPWR|5DUR|6RCR|7TLV|8MBVNT|9LIT
124	23263 41236	10	   	262.64	DCR|4VULN|2DMG|2ASPD|1CDMG	18DMG|2489VULN|34BEXP|48BPWR|5CDMG|6LEGI|78ASPD|aRCR
125	23233 41236	10	   	262.54	DCR|4VULN|2DMG|2ASPD|1CDMG	18DMG|2489VULN|3BEXP|5CDMG|6LEGI|78ASPD|8BPWR|aRCR
