0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23322 12663	4	 * 	289.14	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1LHND|25aVULN|3LIT|4ASPD|6aDUR|7TLV|8RCR|9aDMG|aBPWR
21	23162 41314	8	   	268.50	DCR|3VULN|3DUR|3ASPD	179LHND|259VULN|357DUR|4RCVC|579BPWR|679ASPD|8RCR|aLIT
22	23342 13663	3	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	1LHND|24aVULN|34LIT|4aBPWR|5ZMB|6aDUR|7ERES|8RCR|9aDMG
23	23232 63663	2	   	268.42	DCR|3VULN|2DMG|2ASPD|1DUR	1LHND|25aVULN|3ERES|4LIT|6aASPD|7DUR|8RCR|9aDMG|aBPWR
24	22123 13663	5	 * 	267.38	DCR|2VULN|2DMG|3ASPD|1TLV|1DUR	1LHND|25aASPD|3TLV|4LIT|6aVULN|7DUR|8RCR|9aDMG|aBPWR
25	22123 23663	6	   	267.38	DCR|2VULN|2DMG|3ASPD|1TLV|1DUR	1LHND|25aASPD|3TLV|4LIT|6aVULN|7DUR|8RCR|9aDMG|aBPWR
26	22123 23663	7	   	267.38	DCR|2VULN|2DMG|3ASPD|1TLV|1DUR	1LHND|25aASPD|3TLV|4LIT|6aVULN|7DUR|8RCR|9aDMG|aBPWR
27	33142 41131	10	   	266.42	DCR|3VULN|3DUR|2ASPD|1TLV	147DUST|25aVULN|357DUR|57BPWR|67ASPD|8TLV|9RCR
28	13424 23131	8	   	266.32	DCR|5VULN|2DUR	13FEWX|2378aVULN|3BPWR|4LIT|56DUR|9RCR
29	13443 13261	7	 * 	265.55	DCR|4VULN|2DMG|2TLV	135FEWX|235aVULN|35aBPWR|4RMIN|6CGEN|7RCR|8aTLV|9aDMG
30	33443 13261	7	   	265.25	DCR|4VULN|2DMG|2TLV	135DUST|235aVULN|35aBPWR|4RMIN|6CGEN|7RCR|8aTLV|9aDMG
31	13425 63332	7	   	265.21	DCR|5VULN|1DMG|1AART	13FEWX|23679VULN|3BPWR|4LIT|5DMG|8AART|aRCR
32	13425 63332	8	   	265.21	DCR|5VULN|1DMG|1AART	13FEWX|23679VULN|3BPWR|4LIT|5DMG|8AART|aRCR
33	22121 13663	4	   	264.41	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|2LIT	1LHND|2aASPD|3TLV|45LIT|6aVULN|7DUR|8RCR|9aDMG|aBPWR
34	22131 13663	3	   	264.41	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|2LIT	1LHND|2aASPD|3TLV|45LIT|6aVULN|7DUR|8RCR|9aDMG|aBPWR
35	13162 41362	10	   	264.12	DCR|3VULN|3DUR|2ASPD|1CDMG	17FEWX|259VULN|357DUR|4RCVC|57BPWR|67ASPD|8RCR|aCDMG
36	23162 41362	10	   	264.12	DCR|3VULN|3DUR|2ASPD|1CDMG	17LHND|259VULN|357DUR|4RCVC|57BPWR|67ASPD|8RCR|aCDMG
37	23424 36332	8	   	263.66	DCR|3VULN|2DMG|1DUR|1TLV	137LHND|237VULN|37BPWR|4LIT|5DUR|67DMG|8TLV|9RPLT|aRCR
38	26132 12663	2	   	263.36	DCR|3VULN|2DMG|1DUR|1TLV	1LHND|29DMG|35aVULN|4LIT|6DUR|7TLV|8RCR
39	26132 12663	1	   	263.36	DCR|3VULN|2DMG|1DUR|1TLV	1LHND|29DMG|35aVULN|4LIT|6DUR|7TLV|8RCR
40	33425 61112	9	   	263.06	DCR|4VULN|2DMG|1AART	136DUST|2379VULN|36BPWR|4LIT|56DMG|8AART|aRCR
41	13443 25112	7	   	262.90	DCR|4VULN|3DUR|1ASPD	135FEWX|2359VULN|359BPWR|4RMIN|689DUR|7RCR|aASPD
42	33142 33151	5	   	262.60	DCR|4VULN|3DUR|1ASPD	147DUST|2578VULN|357DUR|57BPWR|6RCVC|9ASPD|aRCR
43	33142 43251	5	   	262.60	DCR|4VULN|3DUR|1ASPD	147DUST|2567VULN|357DUR|57BPWR|8ASPD|9RCVC|aRCR
44	33142 53151	6	   	262.60	DCR|4VULN|3DUR|1ASPD	147DUST|2578VULN|357DUR|57BPWR|6DMSP|9ASPD|aRCR
45	33443 25112	7	   	262.60	DCR|4VULN|3DUR|1ASPD	135DUST|2359VULN|359BPWR|4RMIN|689DUR|7RCR|aASPD
46	23321 12663	4	   	262.23	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	15LHND|2aVULN|3LIT|4ASPD|6aDUR|7TLV|8RCR|9aDMG|aBPWR
47	23532 13663	2	   	261.79	DCR|3VULN|2DMG|2DUR	1LHND|23aVULN|4LIT|5ZMB|6aDUR|7ERES|8RCR|9aDMG|aBPWR
48	33424 43312	9	   	261.72	DCR|4VULN|2TLV|1DUR|1AART	13aDUST|239aVULN|3aBPWR|4LIT|5DUR|6RCR|7AART|8aTLV
49	23124 14263	8	   	261.64	DCR|4VULN|2DMG|1DUR	19LHND|2589VULN|3DUR|4LWND|6RPLT|79DMG|9BPWR|aRCR
50	23124 14212	9	   	261.64	DCR|4VULN|2DMG|1DUR	1aLHND|258aVULN|3DUR|4LWND|6RPLT|7aDMG|9RCR|aBPWR
51	22122 13663	5	 * 	261.57	DCR|2VULN|2DMG|2ASPD|2TLV|1DUR	1LHND|2aASPD|35TLV|4LIT|6aVULN|7DUR|8RCR|9aDMG|aBPWR
52	22122 23663	6	   	261.57	DCR|2VULN|2DMG|2ASPD|2TLV|1DUR	1LHND|2aASPD|35TLV|4LIT|6aVULN|7DUR|8RCR|9aDMG|aBPWR
53	22122 23663	7	   	261.57	DCR|2VULN|2DMG|2ASPD|2TLV|1DUR	1LHND|2aASPD|35TLV|4LIT|6aVULN|7DUR|8RCR|9aDMG|aBPWR
54	16652 11311	8	 * 	261.34	DCR|4VULN|3DMG	137FEWX|239DMG|379BPWR|4RCVC|579aVULN|679LWND|8RCR
55	13264 21311	8	   	261.04	DCR|4VULN|3DMG	167FEWX|279aVULN|3LEGI|4RCVC|579DMG|79BPWR|8RCR
56	36652 11311	8	   	261.04	DCR|4VULN|3DMG	137DUST|239DMG|379BPWR|4RCVC|579aVULN|679LWND|8RCR
57	13536 14133	2	   	260.55	DCR|3VULN|2DUR|1DMG|1TLV	18FEWX|238VULN|4LIT|5BELT|6DMG|78DUR|8BPWR|9RCR|aTLV
58	13424 23135	8	   	260.43	DCR|4VULN|2DUR|1CDMG	13FEWX|2378VULN|3BPWR|4LIT|56DUR|9RCR|aCDMG
59	26132 12653	2	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	1LHND|2DMG|35aVULN|4LIT|69DUR|7TLV|8RCR
60	26132 12653	1	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	1LHND|2DMG|35aVULN|4LIT|69DUR|7TLV|8RCR
61	13425 31421	8	   	260.35	DCR|4VULN|2DMG|2LIT	136FEWX|2378VULN|38BPWR|48LIT|58DMG|9RCR|aRPLT
62	13425 31422	8	   	260.35	DCR|4VULN|2DMG|2LIT	136FEWX|2378VULN|38BPWR|48LIT|58DMG|9RCR|aRCVC
63	13431 24134	5	   	260.35	DCR|4VULN|2DMG|2LIT	138FEWX|2389VULN|38BPWR|4LHND|5aLIT|6RCR|78DMG
64	11363 15312	10	   	260.31	DCR|3VULN|2DMG|2ASPD|1DUR	1aFEWX|2RCVC|35ASPD|45aVULN|5aBPWR|6LWND|7RCR|8DUR|9aDMG
65	11363 66212	10	   	260.31	DCR|3VULN|2DMG|2ASPD|1DUR	1aFEWX|2RCVC|35ASPD|45aVULN|5aBPWR|6DUR|7LWND|8RCR|9aDMG
66	15363 15312	10	   	260.31	DCR|3VULN|2DMG|2ASPD|1DUR	12aFEWX|25aBPWR|35ASPD|45aVULN|6LWND|7RCR|8DUR|9aDMG
67	13162 41315	8	   	260.19	DCR|3VULN|3DUR|3ASPD	179FEWX|259VULN|357DUR|4aRCVC|579BPWR|679ASPD|8RCR
68	13162 41316	8	   	260.19	DCR|3VULN|3DUR|3ASPD	179FEWX|259VULN|357DUR|4RCVC|579BPWR|679ASPD|8RCR|aBEXP
69	23162 41311	8	   	260.19	DCR|3VULN|3DUR|3ASPD	179LHND|259VULN|357DUR|4RCVC|579BPWR|679ASPD|8RCR|aRMIN
70	23162 41312	8	   	260.19	DCR|3VULN|3DUR|3ASPD	179LHND|259VULN|357DUR|4RCVC|579BPWR|679ASPD|8RCR|aFEWX
71	23162 41313	8	   	260.19	DCR|3VULN|3DUR|3ASPD	179LHND|259VULN|357DUR|4RCVC|579BPWR|679ASPD|8RCR|aCGEN
72	23162 41316	8	   	260.19	DCR|3VULN|3DUR|3ASPD	179aLHND|259VULN|357DUR|4RCVC|579BPWR|679ASPD|8RCR
73	31363 15312	10	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	1aDUST|2RCVC|35ASPD|45aVULN|5aBPWR|6LWND|7RCR|8DUR|9aDMG
74	31363 66212	10	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	1aDUST|2RCVC|35ASPD|45aVULN|5aBPWR|6DUR|7LWND|8RCR|9aDMG
75	13162 41313	8	   	260.09	DCR|3VULN|3DUR|3ASPD	179FEWX|259VULN|357DUR|4RCVC|579BPWR|679ASPD|8RCR|aTBNT
76	13162 41314	8	   	260.09	DCR|3VULN|3DUR|3ASPD	179FEWX|259VULN|357DUR|4RCVC|579BPWR|679ASPD|8RCR|aERES
77	15352 61312	8	   	260.09	DCR|3VULN|3DUR|3ASPD	127FEWX|279BPWR|39aASPD|4RCVC|579VULN|679DUR|8RCR
78	23162 41315	8	   	260.09	DCR|3VULN|3DUR|3ASPD	179LHND|259VULN|357DUR|4RCVC|579BPWR|679ASPD|8RCR|aMBVNT
79	12652 61313	8	   	260.09	DCR|3VULN|3DUR|3ASPD	137FEWX|239ASPD|379BPWR|4RCVC|579VULN|679DUR|8RCR|aTBNT
80	33431 24134	5	   	260.05	DCR|4VULN|2DMG|2LIT	138DUST|2389VULN|38BPWR|4LHND|5aLIT|6RCR|78DMG
81	33142 41233	10	   	259.89	DCR|3VULN|3DUR|3ASPD	147DUST|25aVULN|357DUR|57aBPWR|67aASPD|8aCGEN|9RCR
82	32652 61313	8	   	259.79	DCR|3VULN|3DUR|3ASPD	137DUST|239ASPD|379BPWR|4RCVC|579VULN|679DUR|8RCR|aTBNT
83	35352 61312	8	   	259.79	DCR|3VULN|3DUR|3ASPD	127DUST|279BPWR|39aASPD|4RCVC|579VULN|679DUR|8RCR
