0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46231 12331	3	 * 	285.63	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1aDMG|2AART|3CDMG|4aTLV|5DUR|6FEWX|79aVULN|8RCR|aBPWR
83	21581 38133	1	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|2MBVNT|3FEWX|47aVULN|57DMG|6RCR|7BPWR|8CDMG|9ASPD
84	22323 42145	6	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	134DUR|2ZMB|578VULN|6DMG|9RCR|aTLV
85	24321 32145	5	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	134DUR|2DMG|5MLV|678VULN|9RCR|aTLV
86	24323 22145	6	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	134DUR|2DMG|578VULN|6CGEN|9RCR|aTLV
87	41321 32145	5	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|234DUR|5MLV|678VULN|9RCR|aTLV
88	41323 22145	6	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|234DUR|578VULN|6CGEN|9RCR|aTLV
89	22432 32145	1	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	123DUR|23BPWR|4DMG|5ERES|678VULN|9RCR|aTLV
90	24322 32145	4	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	134DUR|2DMG|5ERES|678VULN|9RCR|aTLV
91	24322 32145	5	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	134DUR|2DMG|5ERES|678VULN|9RCR|aTLV
92	41322 32145	4	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|234DUR|5ERES|678VULN|9RCR|aTLV
93	41322 32145	5	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|234DUR|5ERES|678VULN|9RCR|aTLV
94	24331 23461	10	   	264.05	DCR|3VULN|3DUR|2DMG	135DUR|25DMG|4RPLT|5BPWR|6LIT|789VULN|aRCR
95	24331 34211	10	   	264.05	DCR|3VULN|3DUR|2DMG	135DUR|25DMG|4RPLT|5BPWR|678VULN|9LIT|aRCR
96	41331 23461	10	   	264.05	DCR|3VULN|3DUR|2DMG	15DMG|235DUR|4RPLT|5BPWR|6LIT|789VULN|aRCR
97	41331 34211	10	   	264.05	DCR|3VULN|3DUR|2DMG	15DMG|235DUR|4RPLT|5BPWR|678VULN|9LIT|aRCR
98	23613 43512	6	   	264.00	DCR|2VULN|3DUR|2TLV|1DMG|2ASPD	189DUR|29ASPD|36TLV|4CGEN|59VULN|7RCR|9BPWR|aDMG
99	11214 12251	7	   	263.90	DCR|3VULN|2DMG|1TLV|1DUR|1AART	18FEWX|2AART|38DMG|4LWND|5DUR|689VULN|7RCR|8BPWR|aTLV
100	14341 12251	7	   	263.90	DCR|3VULN|2DMG|1TLV|1DUR|1AART	18FEWX|28DMG|3DUR|4AART|5LWND|689VULN|7RCR|8BPWR|aTLV
101	31224 62422	7	   	263.72	DCR|4VULN|2DMG|2AART|1CDMG	17DUST|24AART|37DMG|5679VULN|7BPWR|8CDMG|aRCR
102	23323 35632	10	   	262.85	DCR|3VULN|3DUR|2ASPD|2LIT|1CDMG	134DUR|28ASPD|578VULN|68LIT|8BPWR|9CDMG|aRCR
103	21123 64351	8	   	262.77	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	189DUR|2AART|3LIT|4RCVC|59VULN|69DMG|7RCR|9BPWR|aCDMG
104	21332 52212	6	   	262.59	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	14DUR|2AART|378VULN|5CDMG|6RCR|9TLV|aLIT
105	21551 32422	2	   	262.38	DCR|4VULN|1DMG|2AART|1DUR|1CDMG	1DUR|23AART|4679VULN|5CDMG|8DMG|aRCR
106	24633 32134	6	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2aDMG|3TLV|4DUST|568VULN|7LIT|9RCR
107	24633 33134	7	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2aDMG|3TLV|4DUST|568VULN|7LIT|9RCR
108	41633 32134	6	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1aDMG|2DUR|3TLV|4DUST|568VULN|7LIT|9RCR
109	41633 33134	7	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1aDMG|2DUR|3TLV|4DUST|568VULN|7LIT|9RCR
110	21225 16131	2	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	19aDUR|2AART|3TBNT|4CGEN|5aTLV|6RCR|78aVULN|aBPWR
111	21235 12541	2	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	148DUR|2AART|3TBNT|589VULN|6RCR|78TLV|8BPWR|aLHND
112	21235 12542	2	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	148DUR|2AART|3TBNT|589VULN|6RCR|78TLV|8BPWR|aBEXP
113	21235 46321	2	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	149DUR|2AART|3TBNT|579VULN|69TLV|8RCR|9BPWR|aLHND
114	21235 46322	2	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	149DUR|2AART|3TBNT|579VULN|69TLV|8RCR|9BPWR|aBEXP
115	21235 12543	2	   	261.94	DCR|3VULN|3DUR|2TLV|1AART	148DUR|2AART|3TBNT|589VULN|6RCR|78TLV|8BPWR|aBBNT
116	21235 46323	2	   	261.94	DCR|3VULN|3DUR|2TLV|1AART	149DUR|2AART|3TBNT|579VULN|69TLV|8RCR|9BPWR|aBBNT
117	21125 71843	1	   	261.11	DCR|3VULN|2TLV|2DUR|1CDMG	1aDUR|2MBVNT|3ZMB|48aVULN|5CDMG|6ASPD|7aTLV|9RCR|aBPWR
118	46251 33222	8	   	261.10	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	15DMG|2AART|3CDMG|469VULN|7TLV|8ZMB|aRCR
119	46231 35331	3	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1aDMG|2AART|3CDMG|4aTLV|5DUR|69VULN|7aFEWX|8RCR|aBPWR
120	21361 36622	3	 * 	260.92	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	1DUR|2AART|3469VULN|58CDMG|7DMG|aRCR
121	21441 32422	5	   	260.92	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	1DUR|2AART|34CDMG|5679VULN|8DMG|aRCR
122	21125 21443	1	   	260.87	DCR|3VULN|2DUR|1TLV|2ASPD|1CDMG	1aDUR|2MBVNT|3ZMB|46aVULN|5CDMG|7TLV|8aASPD|9RCR|aBPWR
123	21413 51231	6	 * 	260.80	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	1aDUR|2AART|3aCDMG|4RMIN|5TLV|6RCR|7LWND|89aVULN|aBPWR
124	21413 55231	7	   	260.80	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	1aDUR|2AART|3aCDMG|4RMIN|5TLV|6RCR|7LWND|89aVULN|aBPWR
125	21412 32331	4	   	260.80	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	1aDUR|2AART|3aCDMG|4RMIN|5FEWX|6TLV|79aVULN|8RCR|aBPWR
126	21413 12331	5	   	260.80	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	1aDUR|2AART|3aCDMG|4RMIN|5TLV|6FEWX|79aVULN|8RCR|aBPWR
127	21413 32331	6	   	260.80	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	1aDUR|2AART|3aCDMG|4RMIN|5TLV|6LHND|79aVULN|8RCR|aBPWR
128	46231 34112	8	   	260.77	DCR|2VULN|2DMG|2TLV|2AART|1CDMG	18DMG|24AART|3CDMG|58TLV|6RCVC|78VULN|8BPWR|9ASPD|aRCR
129	23611 23513	6	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	189DUR|29ASPD|3TLV|45CGEN|69aVULN|7RCR|9BPWR
130	23611 53513	5	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	189DUR|29ASPD|3TLV|45CGEN|69aVULN|7RCR|9BPWR
131	23611 53513	4	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	189DUR|29ASPD|3TLV|4CGEN|5RCVC|69aVULN|7RCR|9BPWR
132	23613 63513	5	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	189DUR|29ASPD|3TLV|46CGEN|59aVULN|7RCR|9BPWR
133	23623 53513	3	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	189DUR|29ASPD|3TLV|4RCVC|5CGEN|69aVULN|7RCR|9BPWR
134	23331 31636	7	   	260.45	DCR|3VULN|3DUR|1TLV|2ASPD	135DUR|25ASPD|4RPLT|5BPWR|689VULN|7TLV|aRCR
135	23331 34236	7	   	260.45	DCR|3VULN|3DUR|1TLV|2ASPD	135DUR|25ASPD|4RPLT|5BPWR|679VULN|8TLV|aRCR
136	31263 44121	3	   	260.39	DCR|3VULN|2DMG|2DUR|1AART	18DUST|2AART|35DMG|489VULN|6RCR|78DUR|8BPWR|aLIT
137	31263 44123	3	   	260.39	DCR|3VULN|2DMG|2DUR|1AART	18DUST|2AART|35DMG|489VULN|6RCR|78DUR|8BPWR|aASPD
138	23323 51145	7	   	260.35	DCR|3VULN|3DUR|1TLV|2ASPD	134DUR|26ASPD|568VULN|6BPWR|7ERES|9RCR|aTLV
139	23653 23313	6	   	260.35	DCR|3VULN|3DUR|1TLV|2ASPD	159DUR|29ASPD|3TLV|48ERES|69aVULN|7RCR|9BPWR
140	23653 53313	5	   	260.35	DCR|3VULN|3DUR|1TLV|2ASPD	159DUR|29ASPD|3TLV|48ERES|69aVULN|7RCR|9BPWR
141	23623 41513	6	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	1aDUR|2aASPD|3TLV|4RPLT|59VULN|6RCR|7MBVNT|8aDMG|aBPWR
142	23623 61513	5	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	1aDUR|2aASPD|3TLV|4RPLT|59VULN|6RCR|7MBVNT|8aDMG|aBPWR
143	21261 12254	7	   	260.05	DCR|3VULN|2DMG|2DUR|2AART	18DUR|2aAART|38DMG|4FEWX|5LWND|689VULN|7RCR|8BPWR
144	21414 35156	1	   	260.00	DCR|4VULN|2TLV|2DUR	1aDUR|2MBVNT|3TBNT|4ERES|568aVULN|7aTLV|9RCR|aBPWR
145	21414 37436	1	   	260.00	DCR|4VULN|2TLV|2DUR	1aDUR|2MBVNT|3TBNT|4ERES|567aVULN|8RCR|9aTLV|aBPWR
146	21734 37436	1	   	260.00	DCR|4VULN|2TLV|2DUR	1aDUR|2MBVNT|3ERES|4TBNT|567aVULN|8RCR|9aTLV|aBPWR
147	21814 37436	1	   	260.00	DCR|4VULN|2TLV|2DUR	1aDUR|2MBVNT|3BBNT|4ERES|567aVULN|8RCR|9aTLV|aBPWR
148	46232 32312	3	   	259.90	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	1DMG|2AART|3CDMG|48TLV|567VULN|9ASPD|aRCR
149	46522 13122	5	   	259.31	DCR|2VULN|2DMG|2TLV|2CDMG|1AART	17DMG|2AART|3RCVC|4ASPD|57CDMG|67TLV|7BPWR|89VULN|aRCR
150	22323 42143	6	   	259.11	DCR|4VULN|3DUR|1DMG	134DUR|2ZMB|578aVULN|6DMG|9RCR
151	22436 32143	1	   	259.11	DCR|4VULN|3DUR|1DMG	123DUR|23BPWR|4DMG|5CGEN|678aVULN|9RCR
152	24321 32143	5	   	259.11	DCR|4VULN|3DUR|1DMG	134DUR|2DMG|5MLV|678aVULN|9RCR
153	24321 42143	6	   	259.11	DCR|4VULN|3DUR|1DMG	134DUR|2DMG|5MLV|678aVULN|9RCR
154	24323 22143	6	   	259.11	DCR|4VULN|3DUR|1DMG	134DUR|2DMG|578aVULN|6CGEN|9RCR
155	24326 32143	4	   	259.11	DCR|4VULN|3DUR|1DMG	134DUR|2DMG|5CGEN|678aVULN|9RCR
156	24362 12143	6	   	259.11	DCR|4VULN|3DUR|1DMG	136DUR|2DMG|4CGEN|578aVULN|9RCR
157	41321 32143	5	   	259.11	DCR|4VULN|3DUR|1DMG	1DMG|234DUR|5MLV|678aVULN|9RCR
158	41321 42143	6	   	259.11	DCR|4VULN|3DUR|1DMG	1DMG|234DUR|5MLV|678aVULN|9RCR
159	41323 22143	6	   	259.11	DCR|4VULN|3DUR|1DMG	1DMG|234DUR|578aVULN|6CGEN|9RCR
160	41326 32143	4	   	259.11	DCR|4VULN|3DUR|1DMG	1DMG|234DUR|5CGEN|678aVULN|9RCR
161	41362 12143	6	   	259.11	DCR|4VULN|3DUR|1DMG	1DMG|236DUR|4CGEN|578aVULN|9RCR
162	22432 32143	1	   	259.01	DCR|4VULN|3DUR|1DMG	123DUR|23BPWR|4DMG|5ERES|678aVULN|9RCR
163	24322 32143	4	   	259.01	DCR|4VULN|3DUR|1DMG	134DUR|2DMG|5ERES|678aVULN|9RCR
164	24322 32143	5	   	259.01	DCR|4VULN|3DUR|1DMG	134DUR|2DMG|5ERES|678aVULN|9RCR
165	24322 42143	6	   	259.01	DCR|4VULN|3DUR|1DMG	134DUR|2DMG|5ERES|678aVULN|9RCR
166	24324 32143	3	   	259.01	DCR|4VULN|3DUR|1DMG	135DUR|2DMG|4ERES|678aVULN|9RCR
167	26432 32143	1	   	259.01	DCR|4VULN|3DUR|1DMG	123DUR|3BPWR|4DMG|5ERES|678aVULN|9RCR
168	41322 32143	4	   	259.01	DCR|4VULN|3DUR|1DMG	1DMG|234DUR|5ERES|678aVULN|9RCR
169	41322 32143	5	   	259.01	DCR|4VULN|3DUR|1DMG	1DMG|234DUR|5ERES|678aVULN|9RCR
170	41322 42143	6	   	259.01	DCR|4VULN|3DUR|1DMG	1DMG|234DUR|5ERES|678aVULN|9RCR
171	41324 32143	3	   	259.01	DCR|4VULN|3DUR|1DMG	1DMG|235DUR|4ERES|678aVULN|9RCR
