0	Index      	 *	Score 	Summary	Detail	
1	26421 63123	 * 	285.14	DCR|DCR|2TLV|1VULN|1CDMG	1ERES|2MBVNT|3LHND|4CDMG|56TLV|7VULN|8aRCR|9LIT
13	26841 72341	   	267.26	ACR|DCR|2TLV|1AEFBLL|1ASPD	1ERES|2MBVNT|3AEFBLL|48RCR|5DUST|6aTLV|7LSRICY|9ASPD
14	22621 51622	   	266.72	DCR|3TLV|2VULN|1CDMG|1DUR	1ERES|29BEXP|3DUR|4CDMG|569TLV|7LIT|89VULN|9BPWR|aRCR
15	43126 21623	 * 	265.98	ACR|DCR|1TLV|1VULN|1CDMG	1AAC|2RPLT|3RAT|46RCR|5MDPS|7CDMG|8TLV|9FRZFST|aVULN
16	43126 21631	   	265.98	ACR|DCR|1TLV|1VULN|1CDMG	1AAC|2RPLT|3RAT|46RCR|5MDPS|7CDMG|8TLV|9LIT|aVULN
17	16844 61323	 * 	265.35	ACR|DCR|1TLV|1VULN|1AEFBLL	1AME|2MBVNT|3AEFBLL|48RCR|5VENICY|6TLV|7FEWX|9RCVC|aVULN
18	16841 72323	   	265.25	ACR|DCR|1TLV|1VULN|1AEFBLL	1AME|2MBVNT|3AEFBLL|48RCR|5DUST|6TLV|7LSRICY|9RCVC|aVULN
19	16844 64323	   	265.25	ACR|DCR|1TLV|1VULN|1AEFBLL	1AME|2MBVNT|3AEFBLL|48RCR|5VENICY|6TLV|7DUST|9RCVC|aVULN
20	26841 72323	   	265.15	ACR|DCR|1TLV|1VULN|1AEFBLL	1ERES|2MBVNT|3AEFBLL|48RCR|5DUST|6TLV|7LSRICY|9RCVC|aVULN
21	12623 64311	   	264.41	ACR|3VULN|2TLV|1DUR	19aAME|29aBEXP|3DUR|4RCR|5RCVC|67TLV|89aVULN|9aBPWR
22	16841 61444	 * 	264.27	ACR|DCR|1TLV|1AEFBLL|1DMG|1DUR	1AME|2MBVNT|3AEFBLL|48RCR|5DUST|6ZMB|7DMG|9TLV|aDUR
23	33613 12625	   	263.43	DCR|DCR|1TLV|1VULN|1AART	1FEWX|2LHND|3BEXP|4RAT|5TLV|6AART|79RCR|8VULN|aMLV
24	33613 12626	   	263.43	DCR|DCR|1TLV|1VULN|1AART	1FEWX|2LHND|3aBEXP|4RAT|5TLV|6AART|79RCR|8VULN
25	16321 13167	 * 	263.37	DCR|3TLV|2VULN|2CDMG	1aAME|2MBVNT|3AAC|45CDMG|6RCR|79aTLV|8aVULN|aBPWR
26	33613 12621	   	263.33	DCR|DCR|1TLV|1VULN|1AART	1FEWX|2LHND|3BEXP|4RAT|5TLV|6AART|79RCR|8VULN|aLEGI
27	33613 12623	   	263.33	DCR|DCR|1TLV|1VULN|1AART	1FEWX|2LHND|3BEXP|4RAT|5TLV|6AART|79RCR|8VULN|aMSLREG
28	33613 12624	   	263.33	DCR|DCR|1TLV|1VULN|1AART	1FEWX|2LHND|3BEXP|4RAT|5TLV|6AART|79RCR|8VULN|aAEFRZ
29	36613 12621	   	263.33	DCR|DCR|1TLV|1VULN|1AART	1FEWX|2LWND|3BEXP|4RAT|5TLV|6AART|79RCR|8VULN|aLEGI
30	36613 12623	   	263.33	DCR|DCR|1TLV|1VULN|1AART	1FEWX|2LWND|3BEXP|4RAT|5TLV|6AART|79RCR|8VULN|aMSLREG
31	15234 52512	   	261.99	DCR|DCR|1TLV|1VULN|1DUR	1AME|2DUR|3MBVNT|4BLAICY|5TLV|6FEWX|7LHND|89RCR|aVULN
32	33343 24516	   	261.99	DCR|DCR|1TLV|1VULN|1DUR	13FEWX|2LHND|4VULN|5BLAICY|6MBVNT|7DUR|89RCR|aTLV
33	15234 54512	   	261.89	DCR|DCR|1TLV|1VULN|1DUR	1AME|2DUR|3MBVNT|4BLAICY|5TLV|6FEWX|7DUST|89RCR|aVULN
34	65336 31113	 * 	259.28	DCR|2TLV|2VULN|1AEFBLL|1DUR	1DUST|2AEFBLL|39TLV|4DUR|5LWND|6RCR|7BEXP|8aVULN
35	65331 31113	 * 	259.18	DCR|2TLV|2VULN|2AEFBLL|1DUR	1DUST|25AEFBLL|39TLV|4DUR|6RCR|7BEXP|8aVULN
36	65331 31433	   	259.18	DCR|2TLV|2VULN|2AEFBLL|1DUR	1DUST|25AEFBLL|38TLV|4DUR|6RCR|7BEXP|9aVULN
37	65331 34113	   	259.08	DCR|2TLV|2VULN|2AEFBLL|1DUR	1DUST|25AEFBLL|39TLV|4DUR|6RCR|7MBVNT|8aVULN
38	65331 34433	   	259.08	DCR|2TLV|2VULN|2AEFBLL|1DUR	1DUST|25AEFBLL|38TLV|4DUR|6RCR|7MBVNT|9aVULN
39	61543 12112	   	259.04	DCR|DCR|1TLV|1VULN|1CDMG	1DUST|2CGEN|3LIT|4VULN|5LHND|6BEXP|79RCR|8CDMG|aTLV
40	26842 41184	   	259.02	ACR|3VULN|1TLV|1AEFBLL|1AART	1ERES|2MBVNT|3AEFBLL|4RCR|5AART|689VULN|7LHND|aTLV
41	11324 43412	   	258.94	DCR|DCR|1TLV|1VULN|1ASPD	1AME|2AAC|3TLV|4BEXP|5LSRREG|6MDPS|7ASPD|89RCR|aVULN
42	26421 73123	   	258.94	DCR|DCR|1TLV|1VULN|1CDMG	1ERES|2MBVNT|3LHND|4CDMG|5TLV|6RCVC|7VULN|8aRCR|9LIT
43	64263 22112	   	258.94	ACR|DCR|1TLV|1VULN|1CDMG	1DUST|2MDPS|3MLV|46LIT|59RCR|7VULN|8CDMG|aTLV
44	26842 42184	 * 	258.92	ACR|3VULN|1TLV|2AEFBLL|1AART	1ERES|2MBVNT|37AEFBLL|4RCR|5AART|689VULN|aTLV
45	21324 43412	   	258.84	DCR|DCR|1TLV|1VULN|1ASPD	1ERES|2AAC|3TLV|4BEXP|5LSRREG|6MDPS|7ASPD|89RCR|aVULN
46	16323 13167	   	257.06	DCR|3TLV|2VULN|1CDMG	15aAME|2MBVNT|3AAC|4CDMG|6RCR|79aTLV|8aVULN|aBPWR
47	22221 51622	   	257.06	DCR|3TLV|2VULN|1CDMG	1ERES|29BEXP|3FEWX|4CDMG|569TLV|7LIT|89VULN|9BPWR|aRCR
48	33521 51622	   	257.06	DCR|3TLV|2VULN|1CDMG	1FEWX|29LHND|3ERES|4CDMG|569TLV|7LIT|89VULN|9BPWR|aRCR
49	26421 62123	   	257.05	DCR|DCR|2TLV|1CDMG|1DUR	1ERES|2MBVNT|3LHND|4CDMG|56TLV|7DUR|8aRCR|9LIT
50	26221 63174	   	256.76	DCR|3TLV|2VULN|1CDMG	1ERES|2MBVNT|3FEWX|4CDMG|56aTLV|79VULN|8RCR
51	26141 75314	   	256.66	ACR|3TLV|2VULN|1ASPD	139ERES|2MBVNT|4RCR|5DUST|679TLV|89VULN|9BPWR|aASPD
52	32554 13233	   	256.56	DCR|2TLV|2VULN|1AEFBLL	1FEWX|2TSLHEL|3RAT|49VULN|56TLV|7ERES|8AEFBLL|aRCR
53	43112 22244	   	255.40	DCR|2TLV|2VULN|2DUR	1AAC|2RPLT|3RAT|46VULN|56DUR|6BPWR|7LHND|8aTLV|9RCR
54	41336 12213	   	255.15	DCR|DCR|1TLV|1VULN|1DUR	1AAC|2CGEN|3TLV|4DUR|5LWND|6FRZFST|7BEXP|8VULN|9aRCR
