0	Index      	 *	Score 	Summary	Detail	
1	26212 51244	 * 	307.21	DCR|DCR|1TLV|3DMG|2ASPD|3RAT	1RMIN|259RAT|3MBVNT|459DMG|59BPWR|68RCR|79ASPD|aTLV
14	53232 23113	 * 	296.95	ACR|DCR|2TLV|1VULN|1AEBURN|1ASPD|1MSE	1MSE|28RCR|3aTLV|4ASPD|5ZMB|6ERES|7AEBURN|9VULN
15	53246 33113	 * 	296.52	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI|1MSE	1MSE|28RCR|3aTLV|4RMIN|5AAC|6DMG|7AEPOI|9VULN
16	53216 23113	 * 	296.42	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1MSE	1MSE|28RCR|3aTLV|4DMG|5AAC|6ERES|7AEBURN|9VULN
17	53212 23135	 * 	294.74	ACR|DCR|1TLV|1VULN|2DMG|1AEBURN|1MSE	1MSE|28RCR|3TLV|49DMG|5ZMB|6ERES|7AEBURN|aVULN
18	53216 33113	 * 	294.04	ACR|DCR|2TLV|1VULN|2DMG|1MSE	1MSE|28RCR|3aTLV|46DMG|5AAC|7CGEN|9VULN
19	53216 36113	 * 	294.04	ACR|DCR|2TLV|1VULN|2DMG|1MSE	1MSE|28RCR|3aTLV|46DMG|5AAC|7RMIN|9VULN
20	53216 31113	 * 	293.94	ACR|DCR|2TLV|1VULN|2DMG|1MSE	1MSE|28RCR|3aTLV|46DMG|5AAC|7ERES|9VULN
21	43242 33112	 * 	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUST|28RCR|3TLV|4RMIN|5ZMB|6DMG|7AEPOI|9VULN|aLHND
22	43242 33113	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUST|28RCR|3TLV|4RMIN|5ZMB|6DMG|7AEPOI|9VULN|aRPLT
23	43242 33114	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUST|28RCR|3TLV|4RMIN|5ZMB|6DMG|7AEPOI|9VULN|aAME
24	43242 33116	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUST|28RCR|3TLV|4RMIN|5ZMB|6DMG|7AEPOI|9VULN|aTSLHEL
25	43242 33162	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUST|28RCR|3TLV|4RMIN|5ZMB|6DMG|7AEPOI|9MLV|aVULN
26	13525 51132	   	292.46	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI	1ZMB|2TLV|3LWND|4AEPOI|5AAC|68RCR|7ERES|9DMG|aVULN
27	43212 23112	   	292.36	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG	1DUST|28RCR|3TLV|4DMG|5ZMB|6ERES|7AEBURN|9VULN|aLHND
28	43212 23113	   	292.36	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1DUST|28RCR|3TLV|4DMG|5ZMB|6ERES|7AEBURN|9VULN|aRPLT
29	43212 23114	   	292.36	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1DUST|28RCR|3TLV|4DMG|5ZMB|6ERES|7AEBURN|9VULN|aAME
30	43212 23115	   	292.36	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1DUST|28RCR|3TLV|4DMG|5ZMB|6ERES|7AEBURN|9VULN|aTSLHEL
31	43212 23152	   	292.36	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG	1DUST|28RCR|3TLV|4DMG|5ZMB|6ERES|7AEBURN|9RMIN|aVULN
32	43242 33111	   	292.36	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1aDUST|28RCR|3TLV|4RMIN|5ZMB|6DMG|7AEPOI|9VULN
33	43242 33115	   	292.36	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUST|28RCR|3TLV|4RMIN|5ZMB|6DMG|7AEPOI|9VULN|aAIRARM
34	43212 23111	   	292.26	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG	1aDUST|28RCR|3TLV|4DMG|5ZMB|6ERES|7AEBURN|9VULN
35	43212 23116	   	292.26	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG	1DUST|28RCR|3TLV|4DMG|5ZMB|6ERES|7AEBURN|9VULN|aMSLTOX
36	43212 23125	   	292.26	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG	19DUST|28RCR|3TLV|4DMG|5ZMB|6ERES|7AEBURN|aVULN
37	43163 33114	 * 	291.90	ACR|DCR|3VULN|1DMG|1AEBURN|2ZMB	1DUST|28RCR|3aZMB|459VULN|6DMG|7AEBURN
38	43263 33513	 * 	291.49	ACR|3VULN|1TLV|1DMG|1AEBURN|1ASPD	1DUST|2RCR|3TLV|459VULN|6DMG|7AEBURN|8DUR|aASPD
39	53232 23132	   	290.81	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD|1MSE	1MSE|28RCR|3TLV|4ASPD|5ZMB|6ERES|7AEBURN|9DMG|aVULN
40	53236 23113	 * 	290.01	ACR|DCR|2TLV|1VULN|1AEBURN|1ASPD|1MSE	1MSE|28RCR|3aTLV|4ASPD|5AAC|6ERES|7AEBURN|9VULN
41	43212 33112	 * 	289.98	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7CGEN|9VULN|aLHND
42	43212 33113	   	289.98	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7CGEN|9VULN|aRPLT
43	43212 33114	   	289.98	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7CGEN|9VULN|aAME
44	43212 33115	   	289.98	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7CGEN|9VULN|aTSLHEL
45	43212 33152	   	289.98	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7CGEN|9RMIN|aVULN
46	43212 36112	   	289.98	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7RMIN|9VULN|aLHND
47	43212 36113	   	289.98	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7RMIN|9VULN|aRPLT
48	43212 36114	   	289.98	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7RMIN|9VULN|aAME
49	43212 36116	   	289.98	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7RMIN|9VULN|aTSLHEL
50	43212 36162	   	289.98	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7RMIN|9MLV|aVULN
51	43212 31112	   	289.88	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7ERES|9VULN|aLHND
52	43212 31113	   	289.88	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7ERES|9VULN|aRPLT
53	43212 31114	   	289.88	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7ERES|9VULN|aAME
54	43212 31115	   	289.88	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7ERES|9VULN|aTSLHEL
55	43212 31152	   	289.88	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7ERES|9RMIN|aVULN
56	43212 33111	   	289.88	ACR|DCR|1TLV|1VULN|2DMG	1aDUST|28RCR|3TLV|46DMG|5ZMB|7CGEN|9VULN
57	43212 33116	   	289.88	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7CGEN|9VULN|aMSLTOX
58	43212 33125	   	289.88	ACR|DCR|1TLV|1VULN|2DMG	19DUST|28RCR|3TLV|46DMG|5ZMB|7CGEN|aVULN
59	43212 36111	   	289.88	ACR|DCR|1TLV|1VULN|2DMG	1aDUST|28RCR|3TLV|46DMG|5ZMB|7RMIN|9VULN
60	43212 36115	   	289.88	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7RMIN|9VULN|aAIRARM
61	43263 32521	 * 	289.85	ACR|2TLV|2VULN|1AEFBLL|1DMG|2CDMG	1DUST|2RCR|3aTLV|45VULN|6DMG|7aLIT|8AEFBLL|9aCDMG|aBPWR
62	43212 31111	   	289.78	ACR|DCR|1TLV|1VULN|2DMG	1aDUST|28RCR|3TLV|46DMG|5ZMB|7ERES|9VULN
63	43212 31116	   	289.78	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5ZMB|7ERES|9VULN|aMSLTOX
64	43212 31125	   	289.78	ACR|DCR|1TLV|1VULN|2DMG	19DUST|28RCR|3TLV|46DMG|5ZMB|7ERES|aVULN
65	13435 51121	   	289.12	DCR|DCR|2VULN|1TLV	1ZMB|2TLV|34VULN|5AAC|68RCR|7ERES|9RAT|aRMIN
66	13435 51122	   	289.02	DCR|DCR|2VULN|1TLV	1ZMB|2TLV|34VULN|5AAC|68RCR|7ERES|9RAT|aCANTOX
67	13435 51123	   	289.02	DCR|DCR|2VULN|1TLV	1ZMB|2TLV|34VULN|5AAC|68RCR|7ERES|9RAT|aMDPS
68	43263 22312	 * 	288.80	ACR|DCR|2VULN|1TLV|1CDMG	1DUST|29RCR|3TLV|45VULN|6ERES|7LIT|8MLV|aCDMG
69	13432 61543	 * 	288.77	DCR|3VULN|1TLV|1DMG|1AEBURN|1ASPD	1ZMB|2TLV|34aVULN|5MBVNT|6ASPD|7AEBURN|8DMG|9RCR
70	43163 33111	   	288.61	ACR|DCR|3VULN|1DMG|1AEBURN	1DUST|28RCR|3ZMB|459VULN|6DMG|7AEBURN|aBEXP
71	43163 33112	   	288.61	ACR|DCR|3VULN|1DMG|1AEBURN	1DUST|28RCR|3ZMB|459VULN|6DMG|7AEBURN|aLHND
72	43163 33113	   	288.61	ACR|DCR|3VULN|1DMG|1AEBURN	1DUST|28RCR|3ZMB|459VULN|6DMG|7AEBURN|aRPLT
73	43163 33152	   	288.61	ACR|DCR|3VULN|1DMG|1AEBURN	1DUST|28RCR|3ZMB|45aVULN|6DMG|7AEBURN|9RMIN
74	13435 53233	 * 	288.59	DCR|3VULN|2TLV|1ASPD|1CDMG	1ZMB|28TLV|347VULN|5AAC|6RCR|9CDMG|aASPD
75	43163 33115	   	288.51	ACR|DCR|3VULN|1DMG|1AEBURN	1DUST|28RCR|3ZMB|459VULN|6DMG|7AEBURN|aERES
76	63423 31511	   	286.04	DCR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1AEPOI|2AETHUN|3VULN|4TLV|5FLTARM|69RCR|7CDMG|8CGEN|aLIT
77	63423 31513	   	286.04	DCR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1AEPOI|2AETHUN|3VULN|4TLV|5FLTARM|69RCR|7CDMG|8CGEN|aRCVC
78	43232 23112	   	285.94	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUST|28RCR|3TLV|4ASPD|5ZMB|6ERES|7AEBURN|9VULN|aLHND
79	43232 23113	   	285.94	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUST|28RCR|3TLV|4ASPD|5ZMB|6ERES|7AEBURN|9VULN|aRPLT
80	43232 23114	   	285.94	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUST|28RCR|3TLV|4ASPD|5ZMB|6ERES|7AEBURN|9VULN|aAME
81	43232 23115	   	285.94	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUST|28RCR|3TLV|4ASPD|5ZMB|6ERES|7AEBURN|9VULN|aTSLHEL
82	43232 23152	   	285.94	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUST|28RCR|3TLV|4ASPD|5ZMB|6ERES|7AEBURN|9RMIN|aVULN
83	63423 35311	   	285.94	DCR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1AEPOI|2AETHUN|3VULN|4TLV|5FLTARM|69RCR|7ERES|8CDMG|aLIT
84	63423 35313	   	285.94	DCR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1AEPOI|2AETHUN|3VULN|4TLV|5FLTARM|69RCR|7ERES|8CDMG|aRCVC
85	43232 23111	   	285.84	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1aDUST|28RCR|3TLV|4ASPD|5ZMB|6ERES|7AEBURN|9VULN
86	43232 23116	   	285.84	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUST|28RCR|3TLV|4ASPD|5ZMB|6ERES|7AEBURN|9VULN|aMSLTOX
87	43232 23125	   	285.84	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	19DUST|28RCR|3TLV|4ASPD|5ZMB|6ERES|7AEBURN|aVULN
88	43246 33112	   	285.52	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUST|28RCR|3TLV|4RMIN|5AAC|6DMG|7AEPOI|9VULN|aLHND
89	43246 33113	   	285.52	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUST|28RCR|3TLV|4RMIN|5AAC|6DMG|7AEPOI|9VULN|aRPLT
90	63421 51112	 * 	285.49	DCR|2TLV|2VULN|2ASPD|2AEPOI	18AEPOI|2AETHUN|38VULN|47TLV|5CGEN|68ASPD|8BPWR|9DUR|aRCR
91	43216 23112	   	285.42	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG	1DUST|28RCR|3TLV|4DMG|5AAC|6ERES|7AEBURN|9VULN|aLHND
92	43216 23113	   	285.42	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1DUST|28RCR|3TLV|4DMG|5AAC|6ERES|7AEBURN|9VULN|aRPLT
93	43216 23114	   	285.42	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1DUST|28RCR|3TLV|4DMG|5AAC|6ERES|7AEBURN|9VULN|aAME
94	43216 23115	   	285.42	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1DUST|28RCR|3TLV|4DMG|5AAC|6ERES|7AEBURN|9VULN|aTSLHEL
95	43216 23152	   	285.42	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG	1DUST|28RCR|3TLV|4DMG|5AAC|6ERES|7AEBURN|9RMIN|aVULN
96	43246 33111	   	285.42	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1aDUST|28RCR|3TLV|4RMIN|5AAC|6DMG|7AEPOI|9VULN
97	43216 23111	   	285.32	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG	1aDUST|28RCR|3TLV|4DMG|5AAC|6ERES|7AEBURN|9VULN
98	43216 23116	   	285.32	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG	1DUST|28RCR|3TLV|4DMG|5AAC|6ERES|7AEBURN|9VULN|aMSLTOX
99	43263 23632	 * 	285.22	ACR|3VULN|2TLV|1DMG|1AART	1DUST|2RCR|37TLV|45aVULN|6ERES|8AART|9DMG
100	26212 51228	   	285.04	DCR|DCR|1TLV|2DMG|2ASPD|2RAT	1RMIN|25RAT|3MBVNT|45DMG|5BPWR|68RCR|79ASPD|aTLV
101	43263 22315	   	284.81	ACR|DCR|2VULN|1TLV	1DUST|29RCR|3TLV|45VULN|6ERES|7LIT|8MLV|aDUR
102	13425 53233	   	283.96	DCR|2TLV|2VULN|1AEBURN|1ASPD|1CDMG	1ZMB|28TLV|37VULN|4AEBURN|5AAC|6RCR|9CDMG|aASPD
103	53236 23132	   	283.87	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD|1MSE	1MSE|28RCR|3TLV|4ASPD|5AAC|6ERES|7AEBURN|9DMG|aVULN
104	53263 33513	 * 	283.69	ACR|4VULN|1TLV|1DMG|1AEBURN|1MSE	1MSE|2RCR|3TLV|459aVULN|6DMG|7AEBURN|8DUR
105	15362 53212	   	283.67	DCR|2TLV|2VULN|1DMG|1AEPOI	1ZMB|27VULN|3AEPOI|4DMG|5CGEN|6RCR|89TLV|aRAT
106	13435 53133	 * 	283.44	DCR|4VULN|1TLV|1ASPD|1CDMG	1ZMB|2TLV|3478VULN|5AAC|6RCR|9CDMG|aASPD
107	53242 34113	 * 	283.40	ACR|DCR|2TLV|1VULN|1DMG|1MSE	1MSE|28RCR|3aTLV|4RMIN|5ZMB|6DMG|7DMSP|9VULN
108	53242 36113	 * 	283.30	ACR|DCR|2TLV|1VULN|1DMG|2MSE	17MSE|28RCR|3aTLV|4RMIN|5ZMB|6DMG|9VULN
109	43216 33112	   	283.04	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7CGEN|9VULN|aLHND
110	43216 33113	   	283.04	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7CGEN|9VULN|aRPLT
111	43216 33114	   	283.04	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7CGEN|9VULN|aAME
112	43216 33115	   	283.04	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7CGEN|9VULN|aTSLHEL
113	43216 33152	   	283.04	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7CGEN|9RMIN|aVULN
114	43216 36112	   	283.04	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7RMIN|9VULN|aLHND
115	43216 36113	   	283.04	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7RMIN|9VULN|aRPLT
116	43216 31112	   	282.94	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7ERES|9VULN|aLHND
117	43216 31113	   	282.94	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7ERES|9VULN|aRPLT
118	43216 31114	   	282.94	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7ERES|9VULN|aAME
119	43216 31115	   	282.94	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7ERES|9VULN|aTSLHEL
120	43216 31152	   	282.94	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7ERES|9RMIN|aVULN
121	43216 33111	   	282.94	ACR|DCR|1TLV|1VULN|2DMG	1aDUST|28RCR|3TLV|46DMG|5AAC|7CGEN|9VULN
122	43216 33116	   	282.94	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7CGEN|9VULN|aMSLTOX
123	43216 36111	   	282.94	ACR|DCR|1TLV|1VULN|2DMG	1aDUST|28RCR|3TLV|46DMG|5AAC|7RMIN|9VULN
124	43216 31111	   	282.84	ACR|DCR|1TLV|1VULN|2DMG	1aDUST|28RCR|3TLV|46DMG|5AAC|7ERES|9VULN
125	43216 31116	   	282.84	ACR|DCR|1TLV|1VULN|2DMG	1DUST|28RCR|3TLV|46DMG|5AAC|7ERES|9VULN|aMSLTOX
126	13425 53133	   	282.45	DCR|3VULN|1TLV|1AEBURN|1ASPD|1CDMG	1ZMB|2TLV|378VULN|4AEBURN|5AAC|6RCR|9CDMG|aASPD
127	43663 23212	 * 	282.24	ACR|4VULN|2TLV	1DUST|2RCR|3CGEN|4567VULN|89TLV|aRAT
128	13435 51131	   	282.09	DCR|DCR|2VULN|1TLV	1ZMB|2TLV|34VULN|5AAC|68RCR|79ERES|aBEXP
129	13435 51132	   	282.09	DCR|DCR|2VULN|1TLV	1ZMB|2TLV|34VULN|5AAC|68RCR|79ERES|aLHND
130	13435 51133	   	281.99	DCR|DCR|2VULN|1TLV	1ZMB|2TLV|34VULN|5AAC|68RCR|79ERES|aMBVNT
131	43263 32523	   	281.83	ACR|3VULN|1TLV|1AEFBLL|1DMG|1CDMG	1DUST|2RCR|3TLV|45aVULN|6DMG|7LIT|8AEFBLL|9CDMG
132	64134 12132	   	281.26	DCR|3VULN|2TLV|1AEPOI	1AEPOI|257VULN|3MDPS|49TLV|6AME|8ZMB|aRCR
133	43263 32123	   	280.79	ACR|2TLV|2VULN|1DMG|1AEBURN|1AART	19DUST|2RCR|39TLV|45VULN|6DMG|79LIT|8AART|9BPWR|aAEBURN
134	53112 23143	   	280.55	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|2ZMB|1MSE	1MSE|28RCR|35ZMB|4DMG|6VULN|7AEBURN|9FEWX|aTLV
135	53112 33113	   	280.55	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|2ZMB|1MSE	1MSE|28RCR|35ZMB|4DMG|6BEXP|7AEPOI|9VULN|aTLV
136	53112 43113	   	280.55	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|2ZMB|1MSE	1MSE|28RCR|35ZMB|4DMG|6LWND|7AEPOI|9VULN|aTLV
137	53112 53113	   	280.45	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG|2ZMB|1MSE	1MSE|28RCR|35ZMB|4DMG|6AETHUN|7AEBURN|9VULN|aTLV
138	13425 51121	   	279.33	DCR|DCR|1TLV|1VULN|1AEBURN	1ZMB|2TLV|3VULN|4AEBURN|5AAC|68RCR|7ERES|9RAT|aRMIN
139	13425 51122	   	279.23	DCR|DCR|1TLV|1VULN|1AEBURN	1ZMB|2TLV|3VULN|4AEBURN|5AAC|68RCR|7ERES|9RAT|aCANTOX
140	13425 51123	   	279.23	DCR|DCR|1TLV|1VULN|1AEBURN	1ZMB|2TLV|3VULN|4AEBURN|5AAC|68RCR|7ERES|9RAT|aMDPS
141	43263 33631	 * 	279.01	ACR|2VULN|1TLV|2DMG|1AEBURN|1AART	1DUST|2RCR|3TLV|45VULN|69DMG|7AEBURN|8AART|aRAT
142	43236 23112	   	279.00	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUST|28RCR|3TLV|4ASPD|5AAC|6ERES|7AEBURN|9VULN|aLHND
143	43236 23113	   	279.00	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUST|28RCR|3TLV|4ASPD|5AAC|6ERES|7AEBURN|9VULN|aRPLT
144	43236 23114	   	279.00	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUST|28RCR|3TLV|4ASPD|5AAC|6ERES|7AEBURN|9VULN|aAME
145	43236 23115	   	279.00	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUST|28RCR|3TLV|4ASPD|5AAC|6ERES|7AEBURN|9VULN|aTSLHEL
146	43236 23152	   	279.00	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUST|28RCR|3TLV|4ASPD|5AAC|6ERES|7AEBURN|9RMIN|aVULN
147	43236 23111	   	278.90	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1aDUST|28RCR|3TLV|4ASPD|5AAC|6ERES|7AEBURN|9VULN
148	43236 23116	   	278.90	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUST|28RCR|3TLV|4ASPD|5AAC|6ERES|7AEBURN|9VULN|aMSLTOX
149	53212 33134	 * 	278.89	ACR|DCR|2TLV|3DMG|1MSE	1MSE|28RCR|3aTLV|469DMG|5ZMB|7CGEN
150	53212 36134	 * 	278.89	ACR|DCR|2TLV|3DMG|1MSE	1MSE|28RCR|3aTLV|469DMG|5ZMB|7RMIN
151	53212 31134	 * 	278.79	ACR|DCR|2TLV|3DMG|1MSE	1MSE|28RCR|3aTLV|469DMG|5ZMB|7ERES
152	43263 33511	   	277.84	ACR|3VULN|1TLV|1DMG|1AEBURN	1DUST|2RCR|3TLV|459VULN|6DMG|7AEBURN|8DUR|aLIT
153	43263 33512	   	277.74	ACR|3VULN|1TLV|1DMG|1AEBURN	1aDUST|2RCR|3TLV|459VULN|6DMG|7AEBURN|8DUR
154	43263 23513	   	277.46	ACR|3VULN|2TLV|1ASPD	1DUST|2RCR|37TLV|459VULN|6ERES|8DUR|aASPD
155	53242 33112	   	277.26	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1MSE	1MSE|28RCR|3TLV|4RMIN|5ZMB|6DMG|7AEPOI|9VULN|aLHND
156	53242 33114	   	277.26	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1MSE	1MSE|28RCR|3TLV|4RMIN|5ZMB|6DMG|7AEPOI|9VULN|aAME
157	53242 33116	   	277.26	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1MSE	1MSE|28RCR|3TLV|4RMIN|5ZMB|6DMG|7AEPOI|9VULN|aTSLHEL
158	53242 33162	   	277.26	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1MSE	1MSE|28RCR|3TLV|4RMIN|5ZMB|6DMG|7AEPOI|9MLV|aVULN
159	53121 33113	   	277.26	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1MSE	1MSE|28RCR|3ZMB|46BEXP|5DMG|7AEPOI|9VULN|aTLV
160	53342 33113	   	277.26	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1MSE	1MSE|28RCR|3AME|4RMIN|5ZMB|6DMG|7AEPOI|9VULN|aTLV
161	43263 51321	   	277.23	ACR|2TLV|2VULN|1AEBURN|1AART	1DUST|2RCR|38TLV|45VULN|6RAT|7DUR|9AEBURN|aAART
