0	Index      	 *	Score 	Summary	Detail	
1	13236 42142	 * 	309.22	DCR|4VULN|3TLV|3RAT	137aVULN|27aRAT|4AETHUN|57aTLV|6RMIN|7aBPWR|8RCR|9RPLT
12	13216 54333	   	295.01	DCR|3VULN|2TLV|1AEBURN|1ASPD	139VULN|2RAT|4BEXP|5AEBURN|6ASPD|78TLV|aRCR
13	11122 13678	   	294.34	DCR|3TLV|2VULN|1AEFBLL|2CDMG|1AART	17VULN|2AEFBLL|379TLV|4NUKE|5AART|67CDMG|7BPWR|8MBVNT|aRCR
14	13256 12215	   	293.99	DCR|4VULN|1TLV|2DMG	139aVULN|2RAT|4aDMG|5TLV|6RCR|7FLTFST|8aFEWX|aBPWR
15	13631 25111	   	293.19	DCR|DCR|2VULN|1TLV|1AART	18VULN|2RAT|38ERES|48LHND|5AART|6MDPS|7aRCR|8BPWR|9TLV
16	13161 31511	 * 	293.09	ACR|DCR|2VULN|1TLV|1AART	16VULN|2RAT|3FEWX|4MDPS|5aRCR|7AART|8ERES|9TLV
17	43131 32615	 * 	293.05	DCR|2TLV|2VULN|2DMG|2DUR	12DUR|3aTLV|4RAT|5LWND|6aDMG|7AIRHEL|8RCR|9aVULN|aBPWR
18	11116 23441	   	292.53	DCR|2TLV|2VULN|2ASPD|1AEFBLL	19VULN|2AEFBLL|39TLV|4LWND|5MBVNT|6ZMB|7RCR|89ASPD|9BPWR|aDUR
19	13236 42124	   	291.32	DCR|3VULN|2TLV|1CDMG|2RAT	137VULN|27RAT|4AETHUN|57TLV|6RMIN|7BPWR|8RCR|9DUR|aCDMG
20	13242 54333	   	291.21	DCR|3VULN|2TLV|1ASPD|2RAT	139VULN|24RAT|5DUR|6ASPD|78TLV|aRCR
21	13236 62126	   	291.12	DCR|3VULN|2TLV|1AEBURN	137VULN|2RAT|4AETHUN|57TLV|67CGEN|7BPWR|8RCR|9DUR|aAEBURN
22	13236 52126	   	290.92	DCR|3VULN|2TLV|1AEBURN	137VULN|2RAT|4AETHUN|57TLV|67ERES|7BPWR|8RCR|9DUR|aAEBURN
23	14333 61223	 * 	289.89	ACR|DCR|4VULN|3DUR	1678VULN|2DUST|3LWND|4aRCR|569DUR|6BPWR
24	34331 25261	 * 	289.44	DCR|DCR|2TLV|1VULN|1AART	1RAT|28TLV|3VULN|4LHND|5AART|6MDPS|7aRCR|9ERES
25	41332 63131	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUR|2VULN|3aLWND|4TLV|5DMG|6CDMG|79RCR|8DUST
26	41332 63134	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUR|2VULN|3LWND|4TLV|5DMG|6CDMG|79RCR|8DUST|aLIT
27	41332 63136	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUR|2VULN|3LWND|4TLV|5DMG|6CDMG|79RCR|8DUST|aTSLARM
28	41332 63431	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUR|2VULN|3aLWND|4TLV|5DMG|6CDMG|79RCR|8LEGI
29	41332 63133	   	288.67	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUR|2VULN|3LWND|4TLV|5DMG|6CDMG|79RCR|8DUST|aAETHUN
30	41332 63433	   	288.67	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUR|2VULN|3LWND|4TLV|5DMG|6CDMG|79RCR|8LEGI|aAETHUN
31	13361 41511	   	288.65	ACR|DCR|1TLV|1VULN|2DUR|2RAT|1AART	1VULN|26RAT|36DUR|4MDPS|5aRCR|6BPWR|7AART|8ERES|9TLV
32	13256 12225	   	288.59	DCR|3VULN|1TLV|3DMG	13aVULN|2RAT|49aDMG|5TLV|6RCR|7FLTFST|8aFEWX|aBPWR
33	13236 42116	   	288.07	DCR|3VULN|2TLV|1AEBURN|2RAT	137VULN|27RAT|4AETHUN|57TLV|6RMIN|7BPWR|8RCR|9BEXP|aAEBURN
34	13236 42136	   	288.07	DCR|3VULN|2TLV|1AEBURN|2RAT	137VULN|27RAT|4AETHUN|57TLV|6RMIN|7BPWR|8RCR|9LHND|aAEBURN
35	11143 23363	   	288.07	DCR|3VULN|2TLV|1AEFBLL|1ASPD	179VULN|2AEFBLL|38TLV|4AAC|5ASPD|6RPLT|aRCR
36	11145 51131	   	288.07	DCR|3VULN|2TLV|1AEFBLL|1ASPD	156VULN|2AEFBLL|38TLV|4AAC|7LIT|9ASPD|aRCR
37	11123 23363	   	287.97	DCR|3VULN|2TLV|1AEFBLL|1ASPD	179VULN|2AEFBLL|38TLV|4NUKE|5ASPD|6RPLT|aRCR
38	11125 51131	   	287.97	DCR|3VULN|2TLV|1AEFBLL|1ASPD	156VULN|2AEFBLL|38TLV|4NUKE|7LIT|9ASPD|aRCR
39	11125 51261	   	287.97	DCR|3VULN|2TLV|1AEFBLL|1ASPD	156VULN|2AEFBLL|39TLV|4NUKE|7LIT|8ASPD|aRCR
40	11125 61241	   	287.97	DCR|3VULN|2TLV|1AEFBLL|1ASPD	159VULN|2AEFBLL|36TLV|4NUKE|7LIT|8ASPD|aRCR
41	11143 44412	 * 	287.38	DCR|2TLV|2VULN|3ASPD|1AEFBLL	18VULN|2AEFBLL|38TLV|4AAC|589ASPD|6MBVNT|7RMIN|8BPWR|aRCR
42	11251 87412	   	287.38	DCR|2TLV|2VULN|3ASPD|1AEFBLL	18VULN|2AEFBLL|3MBVNT|4RMIN|5AAC|68TLV|789ASPD|8BPWR|aRCR
43	11123 44412	   	287.27	DCR|2TLV|2VULN|3ASPD|1AEFBLL	18VULN|2AEFBLL|38TLV|4NUKE|589ASPD|6MBVNT|7RMIN|8BPWR|aRCR
44	13251 22635	   	286.49	DCR|3VULN|1TLV|2DMG|2FLTHEA	13aVULN|2RAT|4aDMG|5LWND|6TLV|7aFLTHEA|8RCR|9DMSP|aBPWR
45	13236 42162	   	285.95	DCR|3VULN|2TLV|2RAT|1AART	137VULN|27RAT|4AETHUN|57TLV|6RMIN|7BPWR|8RCR|9ZMB|aAART
46	11115 26231	   	284.75	DCR|3VULN|2TLV|1AEFBLL|2ZMB	18aVULN|2AEFBLL|3aTLV|4LWND|5LHND|6aZMB|7RCR|9MDPS|aBPWR
47	13236 62124	   	284.70	DCR|3VULN|2TLV|1CDMG	137VULN|2RAT|4AETHUN|57TLV|67CGEN|7BPWR|8RCR|9DUR|aCDMG
48	13236 42163	   	284.60	DCR|3VULN|2TLV|2RAT	137VULN|27RAT|4AETHUN|57TLV|6RMIN|7BPWR|8RCR|9ZMB|aDUR
49	13236 52124	   	284.50	DCR|3VULN|2TLV|1CDMG	137VULN|2RAT|4AETHUN|57TLV|67ERES|7BPWR|8RCR|9DUR|aCDMG
50	13262 22615	   	283.54	DCR|4VULN|1TLV|1ASPD|2FLTHEA	139aVULN|2RAT|4aLWND|5ASPD|6TLV|7aFLTHEA|8RCR|aBPWR
51	11116 23442	   	282.87	DCR|2TLV|2VULN|2ASPD|1AEFBLL	19VULN|2AEFBLL|39TLV|4LWND|5MBVNT|6ZMB|7RCR|89ASPD|9BPWR|aRCVC
52	11116 23446	   	282.87	DCR|2TLV|2VULN|2ASPD|1AEFBLL	19VULN|2AEFBLL|39TLV|4LWND|5MBVNT|6ZMB|7RCR|89ASPD|9BPWR|aLIT
53	11116 23447	   	282.87	DCR|2TLV|2VULN|2ASPD|1AEFBLL	19VULN|2AEFBLL|39TLV|4LWND|5MBVNT|6ZMB|7RCR|89ASPD|9BPWR|aAME
54	11125 51241	   	282.81	DCR|4VULN|1TLV|1AEFBLL|1ASPD	1569VULN|2AEFBLL|3TLV|4NUKE|7LIT|8ASPD|aRCR
55	11116 23443	   	282.77	DCR|2TLV|2VULN|2ASPD|2AEFBLL	19VULN|2aAEFBLL|39TLV|4LWND|5MBVNT|6ZMB|7RCR|89ASPD|9BPWR
56	11116 23444	   	282.77	DCR|2TLV|2VULN|2ASPD|1AEFBLL	19VULN|2AEFBLL|39TLV|4LWND|5MBVNT|6ZMB|7RCR|89ASPD|9BPWR|aBLASTR
57	11116 23448	   	282.77	DCR|2TLV|2VULN|2ASPD|1AEFBLL|1MSE	19VULN|2AEFBLL|39TLV|4LWND|5MBVNT|6ZMB|7RCR|89ASPD|9BPWR|aMSE
58	11123 43864	   	282.67	DCR|2TLV|2VULN|2ASPD|1AEFBLL	19VULN|2AEFBLL|39TLV|4NUKE|59ASPD|6MBVNT|7RCR|8MDPS|9BPWR|aRAT
59	16163 11341	   	281.99	ACR|DCR|2VULN|1TLV	16VULN|2SNIFST|3AIRHEL|4DUST|5aRCR|7TLV|8ZMB|9BEXP
60	13236 42114	   	281.65	DCR|3VULN|2TLV|1CDMG|2RAT	137VULN|27RAT|4AETHUN|57TLV|6RMIN|7BPWR|8RCR|9BEXP|aCDMG
61	13236 42134	   	281.65	DCR|3VULN|2TLV|1CDMG|2RAT	137VULN|27RAT|4AETHUN|57TLV|6RMIN|7BPWR|8RCR|9LHND|aCDMG
62	13236 43142	   	281.65	DCR|3TLV|3VULN|2RAT	13aVULN|2aRAT|4AETHUN|57aTLV|6RMIN|8RCR|9RPLT|aBPWR
63	13212 44333	   	281.55	DCR|3VULN|2TLV|1ASPD|2RAT	139VULN|26RAT|4BEXP|5ASPD|78TLV|aRCR
64	13241 54333	   	281.55	DCR|3VULN|2TLV|1ASPD|2RAT	139VULN|24RAT|5LWND|6ASPD|78TLV|aRCR
65	13243 54333	   	281.55	DCR|3VULN|2TLV|1ASPD|2RAT	139VULN|24RAT|5BEXP|6ASPD|78TLV|aRCR
66	13262 44333	   	281.55	DCR|3VULN|2TLV|1ASPD|2RAT	139VULN|26RAT|4LWND|5ASPD|78TLV|aRCR
67	13236 62116	   	281.46	DCR|3VULN|2TLV|1AEBURN	137VULN|2RAT|4AETHUN|57TLV|67CGEN|7BPWR|8RCR|9BEXP|aAEBURN
68	13236 62136	   	281.46	DCR|3VULN|2TLV|1AEBURN	137VULN|2RAT|4AETHUN|57TLV|67CGEN|7BPWR|8RCR|9LHND|aAEBURN
69	13216 14333	   	281.36	DCR|3VULN|2TLV|1AEBURN	139VULN|2RAT|4BEXP|5AEBURN|6AAC|78TLV|aRCR
70	13266 14333	   	281.36	DCR|3VULN|2TLV|1AEBURN	139VULN|2RAT|4LWND|5AEBURN|6AAC|78TLV|aRCR
71	11124 52143	   	281.36	DCR|3VULN|2TLV|1AEFBLL	19aVULN|2AEFBLL|39TLV|4NUKE|5ERES|6BLAICY|7RCR|89BEXP|9BPWR
72	13236 52116	   	281.26	DCR|3VULN|2TLV|1AEBURN	137VULN|2RAT|4AETHUN|57TLV|67ERES|7BPWR|8RCR|9BEXP|aAEBURN
73	13236 52136	   	281.26	DCR|3VULN|2TLV|1AEBURN	137VULN|2RAT|4AETHUN|57TLV|67ERES|7BPWR|8RCR|9LHND|aAEBURN
74	13236 52152	   	281.16	DCR|3VULN|2TLV|1DMG	137VULN|2RAT|4AETHUN|57TLV|679ERES|7BPWR|8RCR|aDMG
75	13236 52153	   	281.16	DCR|3VULN|2TLV|1AEFBLL	137VULN|2RAT|4AETHUN|57TLV|679ERES|7BPWR|8RCR|aAEFBLL
76	11142 13132	 * 	280.63	3TLV|3VULN|2DMG|1AEFBLL|2CDMG|1AART	17aVULN|2AEFBLL|37aTLV|4AAC|5AART|67CDMG|7aBPWR|8CGEN|9aDMG
77	11142 13332	   	280.63	3TLV|3VULN|2DMG|1AEFBLL|2CDMG|1AART	17aVULN|2AEFBLL|37aTLV|4AAC|5AART|67CDMG|7aBPWR|8AME|9aDMG
78	11142 13532	   	280.63	3TLV|3VULN|2DMG|1AEFBLL|2CDMG|1AART	17aVULN|2AEFBLL|37aTLV|4AAC|5AART|67CDMG|7aBPWR|8MLV|9aDMG
79	11122 13132	   	280.53	3TLV|3VULN|2DMG|1AEFBLL|2CDMG|1AART	17aVULN|2AEFBLL|37aTLV|4NUKE|5AART|67CDMG|7aBPWR|8CGEN|9aDMG
80	11122 13332	   	280.53	3TLV|3VULN|2DMG|1AEFBLL|2CDMG|1AART	17aVULN|2AEFBLL|37aTLV|4NUKE|5AART|67CDMG|7aBPWR|8AME|9aDMG
81	11122 13532	   	280.53	3TLV|3VULN|2DMG|1AEFBLL|2CDMG|1AART	17aVULN|2AEFBLL|37aTLV|4NUKE|5AART|67CDMG|7aBPWR|8MLV|9aDMG
82	41332 63632	   	280.50	DCR|DCR|1TLV|1VULN|1DMG|1CDMG|1MSE	1DUR|2VULN|3LWND|4TLV|5DMG|6CDMG|79RCR|8MSE|aZMB
83	12631 21233	 * 	280.26	ACR|3VULN|2TLV|2ASPD	18aVULN|29ASPD|3AEWIND|4RCR|5VENICY|67TLV
84	11336 11165	   	279.43	DCR|DCR|1TLV|1VULN|1AEFBLL	1VULN|2AEFBLL|3AME|4RAT|5TLV|6AAC|7CGEN|8aRCR|9ZMB
85	13236 62162	   	279.33	DCR|3VULN|2TLV|1AART	137VULN|2RAT|4AETHUN|57TLV|67CGEN|7BPWR|8RCR|9ZMB|aAART
