0	Index      	 *	Score 	Summary	Detail	
1	33133 42364	 * 	271.95	DCR|2VULN|3DMG|2FLTARM|2DUR	1RMIN|2TBNT|35aDMG|45VULN|5aBPWR|6aFLTARM|7RCR|8aDUR|9BOSS
20	33133 54263	 * 	256.18	DCR|3VULN|3DMG|2TLV	1RMIN|2TBNT|35aDMG|459VULN|5aBPWR|6aTLV|7aBEXP|8RCR
21	12213 53237	 * 	255.24	DCR|DCR|2VULN|1TLV	1RAT|2BOSS|3LIT|47VULN|5MBVNT|69RCR|8LHND|aTLV
22	12253 53337	   	255.24	DCR|DCR|2VULN|1TLV	1RAT|2BOSS|3LIT|4LHND|5MBVNT|69RCR|78VULN|aTLV
23	12533 53237	   	255.24	DCR|DCR|2VULN|1TLV	1RAT|2BOSS|37VULN|4LIT|5MBVNT|69RCR|8LHND|aTLV
24	15133 53237	   	255.24	DCR|DCR|2VULN|1TLV	1RAT|27VULN|3BOSS|4LIT|5MBVNT|69RCR|8LHND|aTLV
25	31222 65512	   	253.66	ACR|DCR|2VULN|2DMG|1DUR	1RMIN|27VULN|3ASPD|48RCR|57BEXP|67DMG|7BPWR|9DUR|aRAT
26	31222 65522	   	253.66	ACR|DCR|2VULN|2DMG|1DUR	1RMIN|27VULN|3ASPD|48RCR|57BEXP|67DMG|7BPWR|9RCVC|aDUR
27	31222 65511	   	253.56	ACR|DCR|2VULN|2DMG|1DUR	1RMIN|27VULN|3ASPD|48RCR|57BEXP|67DMG|7BPWR|9DUR|aAIRARM
28	31222 65531	   	253.56	ACR|DCR|2VULN|2DMG|1CDMG	1RMIN|27VULN|3ASPD|48RCR|57BEXP|67DMG|7BPWR|9CDMG|aDUST
29	31222 65532	   	253.56	ACR|DCR|2VULN|2DMG|1CDMG|1SELL	1RMIN|27VULN|3ASPD|48RCR|57BEXP|67DMG|7BPWR|9CDMG|aSELL
30	31222 65533	   	253.56	ACR|DCR|2VULN|2DMG|1CDMG	1RMIN|27VULN|3ASPD|48RCR|57BEXP|67DMG|7BPWR|9CDMG|aBBNT
31	36221 61533	 * 	253.56	ACR|DCR|2DMG|1VULN|2DUR|1AART	1RMIN|27BEXP|3ASPD|48RCR|57DUR|67DMG|7BPWR|9VULN|aAART
32	36221 61513	 * 	251.36	ACR|DCR|3DUR|2DMG|1VULN	1RMIN|27BEXP|3ASPD|48RCR|579DUR|67DMG|7BPWR|aVULN
33	12213 53837	   	251.08	DCR|DCR|3VULN	1RAT|2BOSS|3LIT|47aVULN|5MBVNT|69RCR|8AETHUN
34	32361 52432	 * 	251.05	DCR|DCR|2MLV|2DUR|1TLV	1RMIN|29MLV|3MDPS|4MBVNT|59DUR|69FRZARM|78RCR|9BPWR|aTLV
35	31366 52233	 * 	250.73	DCR|3VULN|2TLV|2MLV|1DMG	1RMIN|23aVULN|4DMG|5BOSS|6DLOT|7aTLV|8RCR|9aMLV|aBPWR
36	31122 36313	 * 	249.05	DCR|4VULN|3DUR|3CDMG	1RMIN|2679VULN|359CDMG|459DUR|59BPWR|8LEGI|aRCR
37	33133 42143	   	247.70	DCR|2VULN|2DMG|1TLV|1FLTARM|1CDMG	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8CDMG|9TLV|aLIT
38	33133 42144	   	247.70	DCR|2VULN|2DMG|1TLV|1FLTARM|1CDMG	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8CDMG|9TLV|aCGEN
39	33133 42145	   	247.70	DCR|2VULN|2DMG|1TLV|1FLTARM|1CDMG	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8CDMG|9TLV|aLHND
40	33133 42146	   	247.70	DCR|2VULN|2DMG|1TLV|1FLTARM|1CDMG	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8CDMG|9TLV|aRPLT
41	33133 42246	   	247.70	DCR|2VULN|2DMG|1FLTARM|1TLV|1DUR	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8LIT|9DUR|aTLV
42	33133 42353	   	247.70	DCR|2VULN|2DMG|1FLTARM|1TLV|1DUR	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8DUR|9TLV|aLIT
43	33133 42366	   	247.70	DCR|2VULN|2DMG|1FLTARM|1TLV|1DUR	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8DUR|9BOSS|aTLV
44	33133 42142	   	247.60	DCR|2VULN|2DMG|1TLV|1FLTARM|1CDMG|1MSE	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8CDMG|9TLV|aMSE
45	33133 42351	   	247.60	DCR|2VULN|2DMG|1FLTARM|1TLV|1DUR	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8DUR|9TLV|aLEGI
46	33133 42352	   	247.60	DCR|2VULN|2DMG|1FLTARM|1TLV|1DUR	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8DUR|9TLV|aDUST
47	33133 42354	   	247.60	DCR|2VULN|2DMG|1FLTARM|1TLV|1DUR	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8DUR|9TLV|aAEFBLL
48	32322 24263	 * 	247.44	DCR|3VULN|3DMG|2MLV	1RMIN|2aMLV|3MDPS|4BEXP|56aDMG|79aVULN|8RCR|aBPWR
49	33133 34223	   	247.44	DCR|3VULN|3DMG|2MLV	1RMIN|2TBNT|359DMG|45aVULN|5aBPWR|6RCVC|7aMLV|8RCR
50	45522 22113	   	247.26	DCR|DCR|1DMG|1MLV|1DUR|2ASPD|1AART	18ASPD|2AEWIND|3DUR|4MLV|5BEXP|6DMG|7aRCR|9AART
51	31513 42531	   	246.82	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1AART|1AAC	1RMIN|26VULN|3AART|4DMG|5MLV|7RCR|8DUR|9TLV|aAAC
52	46142 23124	 * 	246.42	DCR|2VULN|1TLV|2CDMG|1DMG|1MLV|1DUR	1ASPD|2MBVNT|35CDMG|45VULN|5BPWR|6MLV|7DUR|8DMG|9TLV|aRCR
53	46142 83124	   	246.42	DCR|2VULN|1TLV|2CDMG|1DMG|1MLV|1DUR	1ASPD|2MBVNT|35CDMG|45VULN|5BPWR|6DUR|7MLV|8DMG|9TLV|aRCR
54	33133 42224	   	245.84	DCR|3VULN|3DMG|1FLTARM	1RMIN|2TBNT|35aDMG|45aVULN|5aBPWR|6FLTARM|7RCR|8LIT|9aLHND
55	33133 54261	   	245.64	DCR|3VULN|3DMG|1TLV	1RMIN|2TBNT|35aDMG|459VULN|5BPWR|6TLV|7BEXP|8RCR
56	31116 62252	   	245.64	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1RMIN|2VULN|3CDMG|4LIT|5TBNT|6MLV|7DUST|8DUR|9aRCR
57	32451 32163	 * 	244.95	DCR|2VULN|2DMG|3MLV|1TLV	1RMIN|246MLV|3BOSS|49BPWR|59DMG|79VULN|8RCR|aTLV
58	12213 54236	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1RAT|2BOSS|3LIT|4VULN|5MBVNT|69RCR|7TLV|8RMIN|aMLV
59	12533 54236	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1RAT|2BOSS|3VULN|4LIT|5MBVNT|69RCR|7TLV|8RMIN|aMLV
60	15133 54236	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1RAT|2VULN|3BOSS|4LIT|5MBVNT|69RCR|7TLV|8RMIN|aMLV
61	12213 52336	   	244.54	DCR|DCR|2VULN|1MLV	1RAT|2BOSS|3LIT|48VULN|5MBVNT|69RCR|7LEGI|aMLV
62	12213 56336	   	244.54	DCR|DCR|2VULN|1MLV	1RAT|2BOSS|3LIT|48VULN|5MBVNT|69RCR|7DUST|aMLV
63	12533 52336	   	244.54	DCR|DCR|2VULN|1MLV	1RAT|2BOSS|38VULN|4LIT|5MBVNT|69RCR|7LEGI|aMLV
64	15133 52336	   	244.54	DCR|DCR|2VULN|1MLV	1RAT|28VULN|3BOSS|4LIT|5MBVNT|69RCR|7LEGI|aMLV
65	32368 52432	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1RMIN|2MLV|3MDPS|4MBVNT|5VULN|6SPLJET|78RCR|9LWND|aTLV
66	33133 42315	   	243.64	DCR|3VULN|2DMG|1FLTARM|1DUR	1RMIN|2TBNT|35DMG|45aVULN|5BPWR|6FLTARM|7RCR|8DUR|9ZMB
67	33133 42615	   	243.64	DCR|3VULN|2DMG|1FLTARM|1DUR	1RMIN|2TBNT|35DMG|45aVULN|5BPWR|6FLTARM|7RCR|8DMSP|9DUR
68	33133 54262	   	243.64	DCR|3VULN|2DMG|1TLV|1DUR	1RMIN|2TBNT|35DMG|459VULN|5BPWR|6TLV|7BEXP|8RCR|aDUR
69	26243 22632	   	243.54	DCR|3VULN|2DMG|1TLV|2ASPD	1RPLT|28ASPD|3BASICY|48aVULN|58DMG|6RCR|7TBNT|8BPWR|9TLV
70	32135 31165	 * 	243.08	ACR|DCR|2VULN|2MLV|1DMG	1RMIN|2aMLV|3aAEPOI|4DMSP|57RCR|6DMG|8AEBURN|9aVULN|aBPWR
71	24331 57232	 * 	242.76	DCR|DCR|1VULN|1DMG|2CDMG	1RPLT|2AME|35CDMG|4MBVNT|6RAT|7VULN|8DMG|9aRCR
72	12213 53233	   	242.69	DCR|DCR|2VULN|1CDMG	1RAT|2BOSS|3LIT|47VULN|5MBVNT|69RCR|8LHND|aCDMG
73	12253 53333	   	242.69	DCR|DCR|2VULN|1CDMG	1RAT|2BOSS|3LIT|4LHND|5MBVNT|69RCR|78VULN|aCDMG
74	12533 53233	   	242.69	DCR|DCR|2VULN|1CDMG	1RAT|2BOSS|37VULN|4LIT|5MBVNT|69RCR|8LHND|aCDMG
75	15133 53233	   	242.69	DCR|DCR|2VULN|1CDMG	1RAT|27VULN|3BOSS|4LIT|5MBVNT|69RCR|8LHND|aCDMG
76	12213 28433	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2BOSS|3LIT|4aVULN|5MBVNT|6FEWX|7DUR|89RCR
77	12533 28433	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2BOSS|3aVULN|4LIT|5MBVNT|6FEWX|7DUR|89RCR
78	13353 13433	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2DUR|3aVULN|4BEXP|5BOSS|6MBVNT|7LIT|89RCR
79	13443 13433	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2DUR|3FEWX|4aVULN|5BOSS|6MBVNT|7LIT|89RCR
80	15133 28433	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2aVULN|3BOSS|4LIT|5MBVNT|6FEWX|7DUR|89RCR
81	15413 13433	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2aVULN|3FEWX|4DUR|5BOSS|6MBVNT|7LIT|89RCR
82	13316 46223	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2DUR|39VULN|4RCVC|5BELT|6AME|7aRCR|8RPLT
83	16142 16223	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2RMIN|3BELT|4AEWIND|59VULN|6DUR|7aRCR|8RPLT
84	12213 54233	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1RAT|2BOSS|3LIT|4VULN|5MBVNT|69RCR|7TLV|8RMIN|aCDMG
85	12533 54233	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1RAT|2BOSS|3VULN|4LIT|5MBVNT|69RCR|7TLV|8RMIN|aCDMG
86	15133 54233	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1RAT|2VULN|3BOSS|4LIT|5MBVNT|69RCR|7TLV|8RMIN|aCDMG
87	12213 52333	   	242.59	DCR|DCR|2VULN|1CDMG	1RAT|2BOSS|3LIT|48VULN|5MBVNT|69RCR|7LEGI|aCDMG
88	12213 53833	   	242.59	DCR|DCR|2VULN|1CDMG	1RAT|2BOSS|3LIT|47VULN|5MBVNT|69RCR|8AETHUN|aCDMG
89	12213 56333	   	242.59	DCR|DCR|2VULN|1CDMG	1RAT|2BOSS|3LIT|48VULN|5MBVNT|69RCR|7DUST|aCDMG
90	12533 52333	   	242.59	DCR|DCR|2VULN|1CDMG	1RAT|2BOSS|38VULN|4LIT|5MBVNT|69RCR|7LEGI|aCDMG
91	12533 53833	   	242.59	DCR|DCR|2VULN|1CDMG	1RAT|2BOSS|37VULN|4LIT|5MBVNT|69RCR|8AETHUN|aCDMG
92	12533 56333	   	242.59	DCR|DCR|2VULN|1CDMG	1RAT|2BOSS|38VULN|4LIT|5MBVNT|69RCR|7DUST|aCDMG
93	15133 52333	   	242.59	DCR|DCR|2VULN|1CDMG	1RAT|28VULN|3BOSS|4LIT|5MBVNT|69RCR|7LEGI|aCDMG
94	15133 53833	   	242.59	DCR|DCR|2VULN|1CDMG	1RAT|27VULN|3BOSS|4LIT|5MBVNT|69RCR|8AETHUN|aCDMG
95	15133 56333	   	242.59	DCR|DCR|2VULN|1CDMG	1RAT|28VULN|3BOSS|4LIT|5MBVNT|69RCR|7DUST|aCDMG
96	21225 34262	   	242.59	DCR|DCR|2VULN|1DUR	1RPLT|2CGEN|34VULN|5TBNT|6LIT|7aRCR|8BBNT|9DUR
97	12213 56133	   	242.59	DCR|DCR|2VULN|1DUR	1RAT|2BOSS|3LIT|4aVULN|5MBVNT|69RCR|7DUST|8DUR
98	12533 56133	   	242.59	DCR|DCR|2VULN|1DUR	1RAT|2BOSS|3aVULN|4LIT|5MBVNT|69RCR|7DUST|8DUR
99	15133 56133	   	242.59	DCR|DCR|2VULN|1DUR	1RAT|2aVULN|3BOSS|4LIT|5MBVNT|69RCR|7DUST|8DUR
