0	Index      	 *	Score 	Summary	Detail	
1	23215 33441	 * 	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1LEGI|2MLV|3TLV|4LIT|5BBNT|6BELT|7VULN|8aRCR|9DMG
15	23234 33126	 * 	244.78	DCR|2VULN|3TLV|3MLV|1AART	1LEGI|24aMLV|34aTLV|4aBPWR|5ASPD|6ZMB|7RCR|8AART|9aVULN
16	22326 63333	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1LEGI|2LHND|3TLV|4LWND|5MLV|6aRCR|7LIT|8VULN|9TBNT
17	25326 63333	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1LEGI|2BEXP|3TLV|4LWND|5MLV|6aRCR|7LIT|8VULN|9TBNT
18	23145 23136	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1LEGI|2MLV|3BOSS|4VULN|5TBNT|6TLV|7ZMB|8aRCR|9MBVNT
19	14322 33435	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1BELT|2TLV|3RAT|4DUR|5RPLT|6DMSP|7VULN|8SNITOX|9aRCR
20	21321 65361	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1LEGI|2FEWX|3TLV|4LWND|5CGEN|69RCR|7CDMG|8VULN|aRPLT
21	21321 65363	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1LEGI|2FEWX|3TLV|4LWND|5CGEN|69RCR|7CDMG|8VULN|aRMIN
22	21322 65361	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1LEGI|2FEWX|3TLV|4LWND|5ERES|69RCR|7CDMG|8VULN|aRPLT
23	21322 65363	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1LEGI|2FEWX|3TLV|4LWND|5ERES|69RCR|7CDMG|8VULN|aRMIN
24	21221 65362	   	239.03	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2FEWX|3MLV|4LWND|5CGEN|69RCR|7CDMG|8VULN|aASPD
25	21222 65362	   	238.93	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2FEWX|3MLV|4LWND|5ERES|69RCR|7CDMG|8VULN|aASPD
26	32122 64521	   	237.80	DCR|DCR|1TLV|1DUR|1AART|1AAC	1BEXP|2FEWX|3DUST|4TLV|5ERES|69RCR|7DUR|8AART|aAAC
27	23231 11324	 * 	237.79	DCR|2VULN|3MLV|2TLV|1DMG	1LEGI|248MLV|34TLV|48BPWR|58VULN|68CGEN|7DMSP|9RCR|aDMG
28	14152 42213	 * 	237.75	DCR|2VULN|2DMG|1TLV|1MSLTOX|1CDMG	1BELT|2TLV|3MSLTOX|49DMG|5BEXP|6CDMG|78VULN|aRCR
29	23231 31324	   	237.59	DCR|2VULN|3MLV|2TLV|1DMG	1LEGI|248MLV|34TLV|48BPWR|58VULN|68ERES|7DMSP|9RCR|aDMG
30	51215 11134	 * 	237.16	DCR|2VULN|3DMG|1TLV|1AART	15VULN|2FRZARM|3CGEN|45aDMG|5BPWR|6CANSTR|7AART|8RCR|9TLV
31	23323 61416	 * 	236.94	DCR|2VULN|2DMG|2MLV|1AART|1CDMG	1LEGI|28MLV|34RCVC|5CDMG|68VULN|78DMG|8BPWR|9AART|aRCR
32	26423 21361	   	236.45	DCR|DCR|1VULN|1DMG|1CDMG	1LEGI|2RAT|3CANARM|4VULN|5LWND|69RCR|7CDMG|8CGEN|aDMG
33	32641 25222	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	16BEXP|2FEWX|3BBNT|4DMG|5TBNT|78RCR|9DUR|aVULN
34	34342 23143	   	236.45	DCR|DCR|1VULN|1DMG|2ASPD	1BEXP|2LIT|3RMIN|4VULN|58ASPD|6aRCR|7TBNT|9DMG
35	33321 62324	   	236.35	DCR|DCR|1VULN|1DMG|1CDMG	1BEXP|2CDMG|3DMG|4LIT|5MGNBOS|6aRCR|7CANTOX|8MDPS|9VULN
36	33323 62324	   	236.35	DCR|DCR|1VULN|1DMG|1CDMG	1BEXP|2CDMG|3DMG|4LIT|5SPLARM|6aRCR|7CANTOX|8MDPS|9VULN
37	34252 23143	   	236.35	DCR|DCR|1VULN|1DMG|2ASPD	1BEXP|2LIT|3VULN|4AME|58ASPD|6aRCR|7TBNT|9DMG
38	34542 31133	   	235.98	DCR|DCR|1VULN|1TLV|1AAC	19BEXP|2LIT|3AAC|4VULN|5ASPD|6TLV|7BBNT|8aRCR
39	34542 33133	   	235.98	DCR|DCR|1VULN|1TLV|1AAC	19BEXP|2LIT|3AAC|4VULN|5ASPD|6TLV|7TBNT|8aRCR
40	52335 23133	   	235.98	DCR|DCR|1VULN|1TLV|1AAC	1VULN|29BEXP|3TLV|4LIT|5AAC|6aRCR|7TBNT|8ASPD
41	52335 23163	   	235.88	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2BEXP|3TLV|4LIT|5AAC|6aRCR|7TBNT|8ASPD|9AEFRZ
