0	Index      	 *	Score 	Summary	Detail	
1	16423 23631	 * 	284.91	橙橙2易伤1等级1时间	1低血量敌人2金币生成3技能点48易伤5时间6挖尘79核a等级
20	22352 43531	   	271.59	橙橙2等级1易伤	1挖尘28基地爆炸3矿等4易伤5a等级6敌人爆炸79核
21	22352 63231	   	271.59	橙橙2等级1易伤	1挖尘2基地爆炸3矿等4易伤5a等级6低血量敌人79核8双倍矿
22	22352 63531	   	271.59	橙橙2等级1易伤	1挖尘28基地爆炸3矿等4易伤5a等级6低血量敌人79核
23	22354 63231	   	271.59	橙橙2等级1易伤	1挖尘2基地爆炸3矿等4易伤5低血量敌人6a等级79核8双倍矿
24	32352 23531	   	271.59	橙橙2等级1易伤	1敌人爆炸28基地爆炸3矿等4易伤5a等级6挖尘79核
25	31363 25215	   	269.82	橙2等级2易伤1烈焰减费2策反1时间	1敌人爆炸29策反3烈焰减费4时间59等级6a低血量敌人7核89易伤9序列升级
26	31363 25216	   	269.82	橙2等级2易伤1烈焰减费2策反1时间	1敌人爆炸29策反3烈焰减费4时间59等级6低血量敌人7核89易伤9序列升级a最后敌人
27	31363 35215	   	269.82	橙2等级2易伤1烈焰减费2策反1时间	1敌人爆炸29策反3烈焰减费4时间59等级6最后敌人7核89易伤9序列升级a低血量敌人
28	31363 35216	   	269.82	橙2等级2易伤1烈焰减费2策反1时间	1敌人爆炸29策反3烈焰减费4时间59等级6最后敌人7核89易伤9序列升级a金币生成
29	21363 25212	   	269.72	橙2等级2易伤1烈焰减费2策反1时间	1挖尘29策反3烈焰减费4时间59等级6低血量敌人7核89易伤9序列升级a基地爆炸
30	21363 25213	   	269.72	橙2等级2易伤1烈焰减费2策反1时间	1挖尘29策反3烈焰减费4时间59等级6低血量敌人7核89易伤9序列升级a金币生成
31	21363 25215	   	269.72	橙2等级2易伤1烈焰减费2策反1时间	1挖尘29策反3烈焰减费4时间59等级6a低血量敌人7核89易伤9序列升级
32	21363 25216	   	269.72	橙2等级2易伤1烈焰减费2策反1时间	1挖尘29策反3烈焰减费4时间59等级6低血量敌人7核89易伤9序列升级a最后敌人
33	21363 35212	   	269.72	橙2等级2易伤1烈焰减费2策反1时间	1挖尘29策反3烈焰减费4时间59等级6最后敌人7核89易伤9序列升级a基地爆炸
34	21363 35213	   	269.72	橙2等级2易伤1烈焰减费2策反1时间	1挖尘29策反3烈焰减费4时间59等级6最后敌人7核89易伤9序列升级a金币生成
35	21363 35215	   	269.72	橙2等级2易伤1烈焰减费2策反1时间	1挖尘29策反3烈焰减费4时间59等级6最后敌人7核89易伤9序列升级a低血量敌人
36	31363 25211	   	269.72	橙2等级2易伤1烈焰减费2策反1时间	1敌人爆炸29策反3烈焰减费4时间59等级6低血量敌人7核89易伤9序列升级a挖尘
37	31363 25212	   	269.72	橙2等级2易伤1烈焰减费2策反1时间1挖怪	1敌人爆炸29策反3烈焰减费4时间59等级6低血量敌人7核89易伤9序列升级a挖怪
38	31363 35211	   	269.72	橙2等级2易伤1烈焰减费2策反1时间	1敌人爆炸29策反3烈焰减费4时间59等级6最后敌人7核89易伤9序列升级a挖尘
39	31363 35212	   	269.72	橙2等级2易伤1烈焰减费2策反1时间1挖怪	1敌人爆炸29策反3烈焰减费4时间59等级6最后敌人7核89易伤9序列升级a挖怪
40	16423 33631	   	269.71	橙橙2易伤1等级1时间1挖怪	1低血量敌人2金币生成3技能点48易伤5时间6挖怪79核a等级
41	36423 33631	   	269.71	橙橙2易伤1等级1时间1挖怪	1敌人爆炸2金币生成3技能点48易伤5时间6挖怪79核a等级
42	21363 25211	   	269.62	橙2等级2易伤1烈焰减费2策反1时间	1a挖尘29策反3烈焰减费4时间59等级6低血量敌人7核89易伤9序列升级
43	21363 35211	   	269.62	橙2等级2易伤1烈焰减费2策反1时间	1a挖尘29策反3烈焰减费4时间59等级6最后敌人7核89易伤9序列升级
44	64323 12241	 * 	268.53	橙2等级2易伤2暴击2时间	18暴击2雷电38等级45时间6矿等78易伤8序列升级9平台a核
45	21313 25214	   	267.00	橙2等级2易伤1烈焰减费2策反	1挖尘29策反3烈焰减费4基地爆炸59等级6低血量敌人7核89易伤9序列升级a随机技能
46	21313 35214	   	267.00	橙2等级2易伤1烈焰减费2策反	1挖尘29策反3烈焰减费4基地爆炸59等级6最后敌人7核89易伤9序列升级a随机技能
47	11132 36161	 * 	266.90	橙2等级2易伤1伤害2策反	1低血量敌人2a策反3雷电减费4掉矿5随机技能6a易伤7伤害8a等级9核a序列升级
48	31132 36161	   	266.90	橙2等级2易伤1伤害2策反	1敌人爆炸2a策反3雷电减费4掉矿5随机技能6a易伤7伤害8a等级9核a序列升级
49	51132 36161	   	266.90	橙2等级2易伤1伤害2策反	1最后敌人2a策反3雷电减费4掉矿5随机技能6a易伤7伤害8a等级9核a序列升级
50	21132 36161	   	266.80	橙2等级2易伤1伤害2策反	1挖尘2a策反3雷电减费4掉矿5随机技能6a易伤7伤害8a等级9核a序列升级
51	26152 43331	 * 	265.35	橙橙1等级1易伤1毒气减费	1挖尘2金币生成3雷电减费4易伤5技能点6敌人爆炸79核8毒气减费a等级
52	36152 23331	   	265.35	橙橙1等级1易伤1毒气减费	1敌人爆炸2金币生成3雷电减费4易伤5技能点6挖尘79核8毒气减费a等级
53	25152 43331	   	265.25	橙橙1等级1易伤1毒气减费	1挖尘2掉矿3雷电减费4易伤5技能点6敌人爆炸79核8毒气减费a等级
54	35152 23331	   	265.25	橙橙1等级1易伤1毒气减费	1敌人爆炸2掉矿3雷电减费4易伤5技能点6挖尘79核8毒气减费a等级
55	24112 25215	 * 	264.39	橙3易伤2等级2策反	169挖尘2双倍秒伤34策反59等级7核89a易伤9序列升级
56	16122 36161	   	263.70	橙2等级2易伤1伤害	1低血量敌人2a金币生成3雷电减费4策反5随机技能6a易伤7伤害8a等级9核a序列升级
57	36122 36161	   	263.70	橙2等级2易伤1伤害	1敌人爆炸2a金币生成3雷电减费4策反5随机技能6a易伤7伤害8a等级9核a序列升级
58	26122 36161	   	263.60	橙2等级2易伤1伤害	1挖尘2a金币生成3雷电减费4策反5随机技能6a易伤7伤害8a等级9核a序列升级
59	15122 36161	   	263.50	橙2等级2易伤1伤害	1低血量敌人2a掉矿3雷电减费4策反5随机技能6a易伤7伤害8a等级9核a序列升级
60	35122 36161	   	263.50	橙2等级2易伤1伤害	1敌人爆炸2a掉矿3雷电减费4策反5随机技能6a易伤7伤害8a等级9核a序列升级
61	25122 36161	   	263.40	橙2等级2易伤1伤害	1挖尘2a掉矿3雷电减费4策反5随机技能6a易伤7伤害8a等级9核a序列升级
62	31335 55213	 * 	261.15	橙2易伤1等级3时间1烈焰减费2策反	1敌人爆炸29策反3烈焰减费4低血量敌人59a时间6等级7核89易伤9序列升级
63	11142 33161	   	260.58	橙2等级2易伤1攻速2策反	1低血量敌人2a策反3雷电减费4攻速5随机技能6a易伤7矿等8a等级9核a序列升级
64	31142 33161	   	260.58	橙2等级2易伤1攻速2策反	1敌人爆炸2a策反3雷电减费4攻速5随机技能6a易伤7技能点8a等级9核a序列升级
65	51142 33161	   	260.58	橙2等级2易伤1攻速2策反	1最后敌人2a策反3雷电减费4攻速5随机技能6a易伤7矿等8a等级9核a序列升级
66	21142 33161	   	260.48	橙2等级2易伤1攻速2策反	1挖尘2a策反3雷电减费4攻速5随机技能6a易伤7矿等8a等级9核a序列升级
67	21313 25212	   	260.06	橙2等级2易伤1烈焰减费2策反	1挖尘29策反3烈焰减费4a基地爆炸59等级6低血量敌人7核89易伤9序列升级
68	21313 25213	 * 	260.06	橙2等级2易伤1火球减费1烈焰减费2策反	1挖尘29策反3烈焰减费4基地爆炸59等级6低血量敌人7核89易伤9序列升级a火球减费
69	21313 25215	   	260.06	橙2等级2易伤1烈焰减费2策反	1挖尘29策反3烈焰减费4基地爆炸59等级6a低血量敌人7核89易伤9序列升级
70	21313 25216	   	260.06	橙2等级2易伤1烈焰减费2策反	1挖尘29策反3烈焰减费4基地爆炸59等级6低血量敌人7核89易伤9序列升级a最后敌人
71	21313 35212	   	260.06	橙2等级2易伤1烈焰减费2策反	1挖尘29策反3烈焰减费4a基地爆炸59等级6最后敌人7核89易伤9序列升级
72	21313 35213	   	260.06	橙2等级2易伤1火球减费1烈焰减费2策反	1挖尘29策反3烈焰减费4基地爆炸59等级6最后敌人7核89易伤9序列升级a火球减费
73	21313 35215	   	260.06	橙2等级2易伤1烈焰减费2策反	1挖尘29策反3烈焰减费4基地爆炸59等级6最后敌人7核89易伤9序列升级a低血量敌人
74	21313 35216	   	260.06	橙2等级2易伤1烈焰减费2策反	1挖尘29策反3烈焰减费4基地爆炸59等级6最后敌人7核89易伤9序列升级a金币生成
75	21313 25211	   	259.96	橙2等级2易伤1烈焰减费2策反	1a挖尘29策反3烈焰减费4基地爆炸59等级6低血量敌人7核89易伤9序列升级
76	21313 35211	   	259.96	橙2等级2易伤1烈焰减费2策反	1a挖尘29策反3烈焰减费4基地爆炸59等级6最后敌人7核89易伤9序列升级
77	16152 33631	   	259.95	橙橙2易伤1等级1挖怪	1低血量敌人2金币生成3雷电减费48易伤5技能点6挖怪79核a等级
78	36152 33631	   	259.95	橙橙2易伤1等级1挖怪	1敌人爆炸2金币生成3雷电减费48易伤5技能点6挖怪79核a等级
79	21523 11511	   	259.86	橙2等级2易伤1火球减费2策反	137挖尘29策反4火球减费5平台69等级89易伤9序列升级a核
80	21553 11511	   	259.86	橙2等级2易伤1烈焰减费2策反	137挖尘29策反4烈焰减费5平台69等级89易伤9序列升级a核
81	24342 25212	 * 	259.08	橙2易伤1等级2攻速1烈焰减费1时间	169挖尘2双倍秒伤39攻速4烈焰减费5等级7核89易伤9序列升级a时间
82	66123 14122	   	256.73	橙2等级1易伤1伤害1攻速1暴击1时间	1暴击2时间3攻速4易伤5立即金币69等级7伤害8基础对冰a核
83	12352 33231	   	256.39	橙橙2等级1易伤1挖怪	1低血量敌人2基地爆炸3矿等4易伤5a等级6挖怪79核8双倍矿
84	12352 33531	   	256.39	橙橙2等级1易伤1挖怪	1低血量敌人28基地爆炸3矿等4易伤5a等级6挖怪79核
85	32352 33531	   	256.39	橙橙2等级1易伤1挖怪	1敌人爆炸28基地爆炸3矿等4易伤5a等级6挖怪79核
86	32352 23535	   	256.39	橙橙1等级1易伤1全技能	1敌人爆炸28基地爆炸3矿等4易伤5等级6挖尘79核a全技能
87	24342 25213	   	256.36	橙2易伤1等级2攻速1烈焰减费	169挖尘2双倍秒伤39攻速4烈焰减费5等级7核89易伤9序列升级a随机技能
88	32352 33331	   	256.29	橙橙2等级1易伤2挖怪	1敌人爆炸2基地爆炸3矿等4易伤5a等级68挖怪79核
89	13236 55133	   	255.92	橙橙1等级1易伤2策反	18低血量敌人268最后敌人3易伤4等级58策反7a核8序列升级9技能点
90	63123 61351	 * 	255.35	紫3易伤1等级1攻速1暴击	1暴击2风暴减费3雷电478易伤5核6攻速9金币生成a等级
91	63123 61363	   	255.35	紫3易伤1等级1攻速1暴击	1暴击2风暴减费3雷电478易伤5核6攻速9额外掉落a等级
92	12113 13266	   	255.15	橙橙1等级1易伤1时间	1低血量敌人28基地爆炸3立即金币4额外掉落5等级6时间7a核9易伤
93	12113 13366	   	255.15	橙橙1等级1易伤1时间	18低血量敌人2基地爆炸3立即金币4额外掉落5等级6时间7a核9易伤
94	12352 43235	   	255.15	橙橙1等级1易伤1时间	1低血量敌人2基地爆炸3矿等4易伤5等级6敌人爆炸79核8双倍矿a时间
95	16423 43231	   	255.15	橙橙1等级1易伤1时间	1低血量敌人2金币生成3技能点4易伤5时间6敌人爆炸79核8双倍矿a等级
96	15423 43231	   	255.05	橙橙1等级1易伤1时间	1低血量敌人2掉矿3技能点4易伤5时间6敌人爆炸79核8双倍矿a等级
97	16423 23231	   	255.05	橙橙1等级1易伤1时间	1低血量敌人2金币生成3技能点4易伤5时间6挖尘79核8双倍矿a等级
98	16423 23431	   	255.05	橙橙1等级1易伤1时间	1低血量敌人28金币生成3技能点4易伤5时间6挖尘79核a等级
99	26423 63231	   	255.05	橙橙1等级1易伤1时间	1挖尘2金币生成3技能点4易伤5时间6低血量敌人79核8双倍矿a等级
100	36423 23431	   	255.05	橙橙1等级1易伤1时间	1敌人爆炸28金币生成3技能点4易伤5时间6挖尘79核a等级
101	12352 23235	   	255.05	橙橙1等级1易伤1时间	1低血量敌人2基地爆炸3矿等4易伤5等级6挖尘79核8双倍矿a时间
102	12352 23535	   	255.05	橙橙1等级1易伤1时间	1低血量敌人28基地爆炸3矿等4易伤5等级6挖尘79核a时间
103	22352 63235	   	255.05	橙橙1等级1易伤1时间	1挖尘2基地爆炸3矿等4易伤5等级6低血量敌人79核8双倍矿a时间
104	15423 23231	   	254.95	橙橙1等级1易伤1时间	1低血量敌人2掉矿3技能点4易伤5时间6挖尘79核8双倍矿a等级
105	25423 63231	   	254.95	橙橙1等级1易伤1时间	1挖尘2掉矿3技能点4易伤5时间6低血量敌人79核8双倍矿a等级
